POA_CODE_2021	EduInstitutionType	Sex	students
POA0834	Technical or Further Educational Institution	M	23
POA0834	University or other tertiary	F	49
POA0834	University or other tertiary	M	7
POA0835		F	131
POA0835		M	142
POA0835	Infants/Primary	F	106
POA0835	Infants/Primary	M	103
POA0835	Pre-school	F	14
POA0835	Pre-school	M	28
POA0835	Secondary	F	129
POA0835	Secondary	M	117
POA0835	Technical or Further Educational Institution	F	28
POA0835	Technical or Further Educational Institution	M	34
POA0835	University or other tertiary	F	67
POA0835	University or other tertiary	M	21
POA0836		F	308
POA0836		M	347
POA0836	Infants/Primary	F	367
POA0836	Infants/Primary	M	393
POA0836	Pre-school	F	58
POA0836	Pre-school	M	81
POA0836	Secondary	F	298
POA0836	Secondary	M	276
POA0836	Technical or Further Educational Institution	F	46
POA0836	Technical or Further Educational Institution	M	66
POA0836	University or other tertiary	F	171
POA0836	University or other tertiary	M	58
POA0837		F	61
POA0837		M	59
POA0837	Infants/Primary	F	10
POA0837	Infants/Primary	M	14
POA0837	Secondary	F	9
POA0837	Secondary	M	3
POA0837	Technical or Further Educational Institution	F	3
POA0837	University or other tertiary	F	7
POA0838		F	58
POA0838		M	73
POA0838	Infants/Primary	F	41
POA0838	Infants/Primary	M	50
POA0838	Pre-school	F	9
POA0838	Pre-school	M	7
POA0838	Secondary	F	19
POA0838	Secondary	M	26
POA0838	Technical or Further Educational Institution	F	4
POA0838	Technical or Further Educational Institution	M	6
POA0838	University or other tertiary	F	7
POA0839		F	45
POA0839		M	40
POA0839	Infants/Primary	F	19
POA0839	Infants/Primary	M	15
POA0839	Pre-school	F	4
POA0839	Pre-school	M	3
POA0839	Secondary	M	12
POA0839	Technical or Further Educational Institution	F	11
POA0839	Technical or Further Educational Institution	M	8
POA0839	University or other tertiary	F	11
POA0839	University or other tertiary	M	3
POA0840		F	35
POA0840		M	45
POA0840	Infants/Primary	F	12
POA0840	Infants/Primary	M	11
POA0840	Pre-school	M	3
POA0840	Secondary	F	4
POA0840	Secondary	M	8
POA0840	University or other tertiary	F	7
POA0841		F	41
POA0841		M	75
POA0841	Infants/Primary	F	14
POA0841	Infants/Primary	M	17
POA0841	Pre-school	F	8
POA0841	Pre-school	M	4
POA0841	Secondary	F	13
POA0841	Secondary	M	16
POA0841	Technical or Further Educational Institution	M	8
POA0845		F	53
POA0845		M	46
POA0845	Infants/Primary	F	12
POA0845	Infants/Primary	M	25
POA0845	Secondary	F	5
POA0845	Secondary	M	7
POA0845	University or other tertiary	F	9
POA0846		F	27
POA0846		M	36
POA0846	Infants/Primary	F	12
POA0846	Infants/Primary	M	10
POA0846	Pre-school	F	6
POA0846	Secondary	F	3
POA0846	Secondary	M	6
POA0846	Technical or Further Educational Institution	F	4
POA0847		F	30
POA0847		M	24
POA0847	Infants/Primary	F	9
POA0847	Infants/Primary	M	12
POA0847	Pre-school	M	4
POA0847	Secondary	F	8
POA0847	Secondary	M	11
POA0847	Technical or Further Educational Institution	F	4
POA0850		F	627
POA0850		M	677
POA0850	Infants/Primary	F	347
POA0850	Infants/Primary	M	373
POA0850	Pre-school	F	57
POA0850	Pre-school	M	60
POA0850	Secondary	F	188
POA0850	Secondary	M	222
POA0850	Technical or Further Educational Institution	F	71
POA0850	Technical or Further Educational Institution	M	62
POA0850	University or other tertiary	F	129
POA0850	University or other tertiary	M	72
POA0852		F	469
POA0852		M	685
POA0852	Infants/Primary	F	476
POA0852	Infants/Primary	M	523
POA0852	Pre-school	F	80
POA0852	Pre-school	M	82
POA0852	Secondary	F	239
POA0852	Secondary	M	227
POA0852	Technical or Further Educational Institution	F	25
POA0852	Technical or Further Educational Institution	M	21
POA0852	University or other tertiary	F	65
POA0852	University or other tertiary	M	26
POA0853		F	25
POA0853		M	54
POA0853	Infants/Primary	F	62
POA0853	Infants/Primary	M	57
POA0853	Pre-school	F	15
POA0853	Pre-school	M	18
POA0853	Secondary	F	12
POA0853	Secondary	M	11
POA0853	Technical or Further Educational Institution	M	4
POA0853	University or other tertiary	F	22
POA0853	University or other tertiary	M	14
POA0854		F	31
POA0854		M	31
POA0854	Infants/Primary	F	32
POA0854	Infants/Primary	M	52
POA0854	Pre-school	F	5
POA0854	Pre-school	M	9
POA0854	Secondary	F	32
POA0854	Secondary	M	22
POA0854	University or other tertiary	F	5
POA0860		F	170
POA0860		M	243
POA0860	Infants/Primary	F	122
POA0860	Infants/Primary	M	146
POA0860	Pre-school	F	23
POA0860	Pre-school	M	26
POA0860	Secondary	F	64
POA0860	Secondary	M	76
POA0860	Technical or Further Educational Institution	F	20
POA0860	Technical or Further Educational Institution	M	25
POA0860	University or other tertiary	F	42
POA0860	University or other tertiary	M	27
POA0862		F	26
POA0862		M	35
POA0862	Infants/Primary	F	34
POA0862	Infants/Primary	M	50
POA0862	Pre-school	M	10
POA0862	Secondary	F	6
POA0862	Secondary	M	4
POA0862	Technical or Further Educational Institution	F	6
POA0862	Technical or Further Educational Institution	M	4
POA0862	University or other tertiary	F	9
POA0870		F	796
POA0870		M	752
POA0870	Infants/Primary	F	913
POA0870	Infants/Primary	M	991
POA0870	Pre-school	F	164
POA0870	Pre-school	M	215
POA0870	Secondary	F	621
POA0870	Secondary	M	629
POA0870	Technical or Further Educational Institution	F	232
POA0870	Technical or Further Educational Institution	M	194
POA0870	University or other tertiary	F	561
POA0870	University or other tertiary	M	268
POA0872		F	721
POA0872		M	1301
POA0872	Infants/Primary	F	794
POA0872	Infants/Primary	M	810
POA0872	Pre-school	F	153
POA0872	Pre-school	M	112
POA0872	Secondary	F	359
POA0872	Secondary	M	370
POA0872	Technical or Further Educational Institution	F	68
POA0872	Technical or Further Educational Institution	M	32
POA0872	University or other tertiary	F	81
POA0872	University or other tertiary	M	33
POA0873		F	180
POA0873		M	143
POA0873	Infants/Primary	F	94
POA0873	Infants/Primary	M	114
POA0873	Pre-school	F	14
POA0873	Pre-school	M	23
POA0873	Secondary	F	64
POA0873	Secondary	M	63
POA0873	Technical or Further Educational Institution	F	30
POA0873	Technical or Further Educational Institution	M	16
POA0873	University or other tertiary	F	54
POA0873	University or other tertiary	M	18
POA0874		F	20
POA0874		M	12
POA0874	Infants/Primary	F	22
POA0874	Infants/Primary	M	21
POA0874	Pre-school	F	3
POA0874	Pre-school	M	11
POA0874	Secondary	F	7
POA0874	Secondary	M	8
POA0874	Technical or Further Educational Institution	F	3
POA0874	Technical or Further Educational Institution	M	3
POA0874	University or other tertiary	F	16
POA0874	University or other tertiary	M	13
POA0875		F	115
POA0875		M	84
POA0875	Infants/Primary	F	129
POA0875	Infants/Primary	M	143
POA0875	Pre-school	F	25
POA0875	Pre-school	M	33
POA0875	Secondary	F	73
POA0875	Secondary	M	74
POA0875	Technical or Further Educational Institution	F	16
POA0875	Technical or Further Educational Institution	M	12
POA0875	University or other tertiary	F	50
POA0875	University or other tertiary	M	30
POA0880		F	403
POA0880		M	492
POA0880	Infants/Primary	F	267
POA0880	Infants/Primary	M	255
POA0880	Pre-school	F	36
POA0880	Pre-school	M	58
POA0880	Secondary	F	150
POA0880	Secondary	M	152
POA0880	Technical or Further Educational Institution	F	36
POA0880	Technical or Further Educational Institution	M	27
POA0880	University or other tertiary	F	84
POA0880	University or other tertiary	M	27
POA0885		F	55
POA0885		M	67
POA0885	Infants/Primary	F	59
POA0885	Infants/Primary	M	62
POA0885	Pre-school	F	17
POA0885	Pre-school	M	14
POA0885	Secondary	F	13
POA0885	Secondary	M	10
POA0885	Technical or Further Educational Institution	F	4
POA0885	Technical or Further Educational Institution	M	5
POA0885	University or other tertiary	F	21
POA0886		F	44
POA0886		M	52
POA0886	Infants/Primary	F	37
POA0886	Infants/Primary	M	30
POA0886	Pre-school	F	11
POA0886	Pre-school	M	6
POA0886	Secondary	F	8
POA0886	Secondary	M	13
POA0886	Technical or Further Educational Institution	F	8
POA0886	Technical or Further Educational Institution	M	11
POA0886	University or other tertiary	F	12
POA0886	University or other tertiary	M	3
POA2000		F	2589
POA2000		M	2291
POA2000	Infants/Primary	F	235
POA2000	Infants/Primary	M	233
POA2000	Pre-school	F	87
POA2000	Pre-school	M	93
POA2000	Secondary	F	185
POA2000	Secondary	M	205
POA2000	Technical or Further Educational Institution	F	1330
POA2000	Technical or Further Educational Institution	M	887
POA2000	University or other tertiary	F	1379
POA2000	University or other tertiary	M	1228
POA2007		F	473
POA2007		M	476
POA2007	Infants/Primary	F	95
POA2007	Infants/Primary	M	79
POA2007	Pre-school	F	38
POA2007	Pre-school	M	42
POA2007	Secondary	F	59
POA2007	Secondary	M	38
POA2007	Technical or Further Educational Institution	F	326
POA2007	Technical or Further Educational Institution	M	255
POA2007	University or other tertiary	F	765
POA2007	University or other tertiary	M	731
POA2008		F	564
POA2008		M	548
POA2008	Infants/Primary	F	69
POA2008	Infants/Primary	M	64
POA2008	Pre-school	F	23
POA2008	Pre-school	M	30
POA2008	Secondary	F	54
POA2008	Secondary	M	72
POA2008	Technical or Further Educational Institution	F	251
POA2008	Technical or Further Educational Institution	M	206
POA2008	University or other tertiary	F	1602
POA2008	University or other tertiary	M	1385
POA2009		F	600
POA2009		M	619
POA2009	Infants/Primary	F	205
POA2009	Infants/Primary	M	216
POA2009	Pre-school	F	75
POA2009	Pre-school	M	111
POA2009	Secondary	F	177
POA2009	Secondary	M	160
POA2009	Technical or Further Educational Institution	F	343
POA2009	Technical or Further Educational Institution	M	235
POA2009	University or other tertiary	F	379
POA2009	University or other tertiary	M	334
POA2010		F	1028
POA2010		M	1485
POA2010	Infants/Primary	F	272
POA2010	Infants/Primary	M	280
POA2010	Pre-school	F	87
POA2010	Pre-school	M	104
POA2010	Secondary	F	171
POA2010	Secondary	M	173
POA2010	Technical or Further Educational Institution	F	428
POA2010	Technical or Further Educational Institution	M	457
POA2010	University or other tertiary	F	979
POA2010	University or other tertiary	M	962
POA2011		F	906
POA2011		M	1052
POA2011	Infants/Primary	F	134
POA2011	Infants/Primary	M	137
POA2011	Pre-school	F	37
POA2011	Pre-school	M	36
POA2011	Secondary	F	97
POA2011	Secondary	M	94
POA2011	Technical or Further Educational Institution	F	251
POA2011	Technical or Further Educational Institution	M	248
POA2011	University or other tertiary	F	538
POA2011	University or other tertiary	M	461
POA2015		F	325
POA2015		M	359
POA2015	Infants/Primary	F	241
POA2015	Infants/Primary	M	266
POA2015	Pre-school	F	94
POA2015	Pre-school	M	87
POA2015	Secondary	F	129
POA2015	Secondary	M	140
POA2015	Technical or Further Educational Institution	F	175
POA2015	Technical or Further Educational Institution	M	116
POA2015	University or other tertiary	F	417
POA2015	University or other tertiary	M	374
POA2016		F	571
POA2016		M	716
POA2016	Infants/Primary	F	194
POA2016	Infants/Primary	M	207
POA2016	Pre-school	F	75
POA2016	Pre-school	M	66
POA2016	Secondary	F	122
POA2016	Secondary	M	139
POA2016	Technical or Further Educational Institution	F	234
POA2016	Technical or Further Educational Institution	M	250
POA2016	University or other tertiary	F	600
POA2016	University or other tertiary	M	571
POA2017		F	1266
POA2017		M	1445
POA2017	Infants/Primary	F	339
POA2017	Infants/Primary	M	335
POA2017	Pre-school	F	140
POA2017	Pre-school	M	174
POA2017	Secondary	F	201
POA2017	Secondary	M	208
POA2017	Technical or Further Educational Institution	F	547
POA2017	Technical or Further Educational Institution	M	461
POA2017	University or other tertiary	F	1807
POA2017	University or other tertiary	M	1734
POA2018		F	695
POA2018		M	713
POA2018	Infants/Primary	F	480
POA2018	Infants/Primary	M	528
POA2018	Pre-school	F	154
POA2018	Pre-school	M	172
POA2018	Secondary	F	384
POA2018	Secondary	M	401
POA2018	Technical or Further Educational Institution	F	286
POA2018	Technical or Further Educational Institution	M	253
POA2018	University or other tertiary	F	840
POA2018	University or other tertiary	M	812
POA2019		F	449
POA2019		M	442
POA2019	Infants/Primary	F	529
POA2019	Infants/Primary	M	559
POA2019	Pre-school	F	152
POA2019	Pre-school	M	172
POA2019	Secondary	F	380
POA2019	Secondary	M	409
POA2019	Technical or Further Educational Institution	F	166
POA2019	Technical or Further Educational Institution	M	146
POA2019	University or other tertiary	F	376
POA2019	University or other tertiary	M	226
POA2020		F	982
POA2020		M	1061
POA2020	Infants/Primary	F	466
POA2020	Infants/Primary	M	469
POA2020	Pre-school	F	155
POA2020	Pre-school	M	149
POA2020	Secondary	F	317
POA2020	Secondary	M	341
POA2020	Technical or Further Educational Institution	F	583
POA2020	Technical or Further Educational Institution	M	572
POA2020	University or other tertiary	F	1071
POA2020	University or other tertiary	M	1043
POA2021		F	450
POA2021		M	375
POA2021	Infants/Primary	F	394
POA2021	Infants/Primary	M	422
POA2021	Pre-school	F	133
POA2021	Pre-school	M	134
POA2021	Secondary	F	340
POA2021	Secondary	M	322
POA2021	Technical or Further Educational Institution	F	161
POA2021	Technical or Further Educational Institution	M	103
POA2021	University or other tertiary	F	560
POA2021	University or other tertiary	M	425
POA2022		F	589
POA2022		M	550
POA2022	Infants/Primary	F	415
POA2022	Infants/Primary	M	432
POA2022	Pre-school	F	110
POA2022	Pre-school	M	126
POA2022	Secondary	F	316
POA2022	Secondary	M	342
POA2022	Technical or Further Educational Institution	F	236
POA2022	Technical or Further Educational Institution	M	189
POA2022	University or other tertiary	F	423
POA2022	University or other tertiary	M	301
POA2023		F	260
POA2023		M	265
POA2023	Infants/Primary	F	417
POA2023	Infants/Primary	M	423
POA2023	Pre-school	F	90
POA2023	Pre-school	M	110
POA2023	Secondary	F	355
POA2023	Secondary	M	488
POA2023	Technical or Further Educational Institution	F	116
POA2023	Technical or Further Educational Institution	M	80
POA2023	University or other tertiary	F	368
POA2023	University or other tertiary	M	290
POA2024		F	487
POA2024		M	370
POA2024	Infants/Primary	F	467
POA2024	Infants/Primary	M	474
POA2024	Pre-school	F	141
POA2024	Pre-school	M	121
POA2024	Secondary	F	387
POA2024	Secondary	M	371
POA2024	Technical or Further Educational Institution	F	106
POA2024	Technical or Further Educational Institution	M	74
POA2024	University or other tertiary	F	364
POA2024	University or other tertiary	M	253
POA2025		F	252
POA2025		M	192
POA2025	Infants/Primary	F	270
POA2025	Infants/Primary	M	239
POA2025	Pre-school	F	77
POA2025	Pre-school	M	82
POA2025	Secondary	F	193
POA2025	Secondary	M	185
POA2025	Technical or Further Educational Institution	F	72
POA2025	Technical or Further Educational Institution	M	45
POA2025	University or other tertiary	F	223
POA2025	University or other tertiary	M	154
POA2026		F	1334
POA2026		M	1217
POA2026	Infants/Primary	F	862
POA2026	Infants/Primary	M	968
POA2026	Pre-school	F	316
POA2026	Pre-school	M	339
POA2026	Secondary	F	726
POA2026	Secondary	M	736
POA2026	Technical or Further Educational Institution	F	546
POA2026	Technical or Further Educational Institution	M	408
POA2026	University or other tertiary	F	980
POA2026	University or other tertiary	M	669
POA2027		F	319
POA2027		M	252
POA2027	Infants/Primary	F	190
POA2027	Infants/Primary	M	170
POA2027	Pre-school	F	37
POA2027	Pre-school	M	49
POA2027	Secondary	F	195
POA2027	Secondary	M	138
POA2027	Technical or Further Educational Institution	F	69
POA2027	Technical or Further Educational Institution	M	34
POA2027	University or other tertiary	F	237
POA2027	University or other tertiary	M	178
POA2028		F	128
POA2028		M	96
POA2028	Infants/Primary	F	97
POA2028	Infants/Primary	M	123
POA2028	Pre-school	F	38
POA2028	Pre-school	M	45
POA2028	Secondary	F	88
POA2028	Secondary	M	87
POA2028	Technical or Further Educational Institution	F	37
POA2028	Technical or Further Educational Institution	M	20
POA2028	University or other tertiary	F	165
POA2028	University or other tertiary	M	111
POA2029		F	359
POA2029		M	286
POA2029	Infants/Primary	F	371
POA2029	Infants/Primary	M	369
POA2029	Pre-school	F	113
POA2029	Pre-school	M	94
POA2029	Secondary	F	313
POA2029	Secondary	M	301
POA2029	Technical or Further Educational Institution	F	106
POA2029	Technical or Further Educational Institution	M	89
POA2029	University or other tertiary	F	303
POA2029	University or other tertiary	M	213
POA2030		F	399
POA2030		M	375
POA2030	Infants/Primary	F	638
POA2030	Infants/Primary	M	666
POA2030	Pre-school	F	167
POA2030	Pre-school	M	176
POA2030	Secondary	F	704
POA2030	Secondary	M	656
POA2030	Technical or Further Educational Institution	F	102
POA2030	Technical or Further Educational Institution	M	78
POA2030	University or other tertiary	F	499
POA2030	University or other tertiary	M	426
POA2031		F	1111
POA2031		M	974
POA2031	Infants/Primary	F	1106
POA2031	Infants/Primary	M	1182
POA2031	Pre-school	F	327
POA2031	Pre-school	M	347
POA2031	Secondary	F	843
POA2031	Secondary	M	842
POA2031	Technical or Further Educational Institution	F	463
POA2031	Technical or Further Educational Institution	M	333
POA2031	University or other tertiary	F	1486
POA2031	University or other tertiary	M	1145
POA2032		F	478
POA2032		M	500
POA2032	Infants/Primary	F	450
POA2032	Infants/Primary	M	466
POA2032	Pre-school	F	104
POA2032	Pre-school	M	129
POA2032	Secondary	F	393
POA2032	Secondary	M	393
POA2032	Technical or Further Educational Institution	F	262
POA2032	Technical or Further Educational Institution	M	217
POA2032	University or other tertiary	F	927
POA2032	University or other tertiary	M	1038
POA2033		F	415
POA2033		M	447
POA2033	Infants/Primary	F	305
POA2033	Infants/Primary	M	330
POA2033	Pre-school	F	76
POA2033	Pre-school	M	106
POA2033	Secondary	F	229
POA2033	Secondary	M	231
POA2033	Technical or Further Educational Institution	F	191
POA2033	Technical or Further Educational Institution	M	128
POA2033	University or other tertiary	F	1049
POA2033	University or other tertiary	M	1159
POA2034		F	674
POA2034		M	584
POA2034	Infants/Primary	F	657
POA2034	Infants/Primary	M	675
POA2034	Pre-school	F	184
POA2034	Pre-school	M	201
POA2034	Secondary	F	550
POA2034	Secondary	M	513
POA2034	Technical or Further Educational Institution	F	282
POA2034	Technical or Further Educational Institution	M	185
POA2034	University or other tertiary	F	722
POA2034	University or other tertiary	M	522
POA2035		F	1126
POA2035		M	1044
POA2035	Infants/Primary	F	1230
POA2035	Infants/Primary	M	1264
POA2035	Pre-school	F	300
POA2035	Pre-school	M	344
POA2035	Secondary	F	1038
POA2035	Secondary	M	1130
POA2035	Technical or Further Educational Institution	F	534
POA2035	Technical or Further Educational Institution	M	515
POA2035	University or other tertiary	F	1133
POA2035	University or other tertiary	M	892
POA2036		F	1194
POA2036		M	2139
POA2036	Infants/Primary	F	1227
POA2036	Infants/Primary	M	1211
POA2036	Pre-school	F	337
POA2036	Pre-school	M	354
POA2036	Secondary	F	991
POA2036	Secondary	M	1049
POA2036	Technical or Further Educational Institution	F	458
POA2036	Technical or Further Educational Institution	M	351
POA2036	University or other tertiary	F	925
POA2036	University or other tertiary	M	829
POA2037		F	601
POA2037		M	581
POA2037	Infants/Primary	F	363
POA2037	Infants/Primary	M	374
POA2037	Pre-school	F	106
POA2037	Pre-school	M	120
POA2037	Secondary	F	267
POA2037	Secondary	M	255
POA2037	Technical or Further Educational Institution	F	237
POA2037	Technical or Further Educational Institution	M	181
POA2037	University or other tertiary	F	1081
POA2037	University or other tertiary	M	816
POA2038		F	267
POA2038		M	285
POA2038	Infants/Primary	F	364
POA2038	Infants/Primary	M	352
POA2038	Pre-school	F	102
POA2038	Pre-school	M	98
POA2038	Secondary	F	245
POA2038	Secondary	M	222
POA2038	Technical or Further Educational Institution	F	97
POA2038	Technical or Further Educational Institution	M	77
POA2038	University or other tertiary	F	413
POA2038	University or other tertiary	M	322
POA2039		F	153
POA2039		M	164
POA2039	Infants/Primary	F	317
POA2039	Infants/Primary	M	315
POA2039	Pre-school	F	78
POA2039	Pre-school	M	117
POA2039	Secondary	F	230
POA2039	Secondary	M	201
POA2039	Technical or Further Educational Institution	F	74
POA2039	Technical or Further Educational Institution	M	76
POA2039	University or other tertiary	F	275
POA2039	University or other tertiary	M	185
POA2040		F	599
POA2040		M	529
POA2040	Infants/Primary	F	969
POA2040	Infants/Primary	M	1036
POA2040	Pre-school	F	275
POA2040	Pre-school	M	304
POA2040	Secondary	F	659
POA2040	Secondary	M	715
POA2040	Technical or Further Educational Institution	F	213
POA2040	Technical or Further Educational Institution	M	186
POA2040	University or other tertiary	F	819
POA2040	University or other tertiary	M	517
POA2041		F	357
POA2041		M	365
POA2041	Infants/Primary	F	580
POA2041	Infants/Primary	M	592
POA2041	Pre-school	F	159
POA2041	Pre-school	M	153
POA2041	Secondary	F	428
POA2041	Secondary	M	497
POA2041	Technical or Further Educational Institution	F	138
POA2041	Technical or Further Educational Institution	M	102
POA2041	University or other tertiary	F	449
POA2041	University or other tertiary	M	339
POA2042		F	531
POA2042		M	596
POA2042	Infants/Primary	F	394
POA2042	Infants/Primary	M	408
POA2042	Pre-school	F	96
POA2042	Pre-school	M	111
POA2042	Secondary	F	314
POA2042	Secondary	M	297
POA2042	Technical or Further Educational Institution	F	296
POA2042	Technical or Further Educational Institution	M	242
POA2042	University or other tertiary	F	1187
POA2042	University or other tertiary	M	906
POA2043		F	212
POA2043		M	225
POA2043	Infants/Primary	F	194
POA2043	Infants/Primary	M	197
POA2043	Pre-school	F	67
POA2043	Pre-school	M	82
POA2043	Secondary	F	120
POA2043	Secondary	M	128
POA2043	Technical or Further Educational Institution	F	106
POA2043	Technical or Further Educational Institution	M	108
POA2043	University or other tertiary	F	406
POA2043	University or other tertiary	M	301
POA2044		F	178
POA2044		M	201
POA2044	Infants/Primary	F	262
POA2044	Infants/Primary	M	263
POA2044	Pre-school	F	68
POA2044	Pre-school	M	93
POA2044	Secondary	F	157
POA2044	Secondary	M	185
POA2044	Technical or Further Educational Institution	F	111
POA2044	Technical or Further Educational Institution	M	121
POA2044	University or other tertiary	F	263
POA2044	University or other tertiary	M	228
POA2045		F	98
POA2045		M	88
POA2045	Infants/Primary	F	273
POA2045	Infants/Primary	M	279
POA2045	Pre-school	F	45
POA2045	Pre-school	M	67
POA2045	Secondary	F	259
POA2045	Secondary	M	286
POA2045	Technical or Further Educational Institution	F	51
POA2045	Technical or Further Educational Institution	M	56
POA2045	University or other tertiary	F	218
POA2045	University or other tertiary	M	200
POA2046		F	729
POA2046		M	559
POA2046	Infants/Primary	F	1072
POA2046	Infants/Primary	M	1052
POA2046	Pre-school	F	254
POA2046	Pre-school	M	293
POA2046	Secondary	F	910
POA2046	Secondary	M	878
POA2046	Technical or Further Educational Institution	F	249
POA2046	Technical or Further Educational Institution	M	211
POA2046	University or other tertiary	F	712
POA2046	University or other tertiary	M	556
POA2047		F	409
POA2047		M	268
POA2047	Infants/Primary	F	396
POA2047	Infants/Primary	M	412
POA2047	Pre-school	F	120
POA2047	Pre-school	M	138
POA2047	Secondary	F	295
POA2047	Secondary	M	334
POA2047	Technical or Further Educational Institution	F	111
POA2047	Technical or Further Educational Institution	M	88
POA2047	University or other tertiary	F	370
POA2047	University or other tertiary	M	275
POA2048		F	181
POA2048		M	211
POA2048	Infants/Primary	F	236
POA2048	Infants/Primary	M	229
POA2048	Pre-school	F	51
POA2048	Pre-school	M	64
POA2048	Secondary	F	190
POA2048	Secondary	M	208
POA2048	Technical or Further Educational Institution	F	91
POA2048	Technical or Further Educational Institution	M	95
POA2048	University or other tertiary	F	374
POA2048	University or other tertiary	M	269
POA2049		F	416
POA2049		M	430
POA2049	Infants/Primary	F	316
POA2049	Infants/Primary	M	363
POA2049	Pre-school	F	93
POA2049	Pre-school	M	114
POA2049	Secondary	F	279
POA2049	Secondary	M	311
POA2049	Technical or Further Educational Institution	F	204
POA2049	Technical or Further Educational Institution	M	152
POA2049	University or other tertiary	F	570
POA2049	University or other tertiary	M	405
POA2050		F	281
POA2050		M	361
POA2050	Infants/Primary	F	133
POA2050	Infants/Primary	M	148
POA2050	Pre-school	F	47
POA2050	Pre-school	M	45
POA2050	Secondary	F	93
POA2050	Secondary	M	92
POA2050	Technical or Further Educational Institution	F	102
POA2050	Technical or Further Educational Institution	M	82
POA2050	University or other tertiary	F	1062
POA2050	University or other tertiary	M	930
POA2060		F	512
POA2060		M	485
POA2060	Infants/Primary	F	291
POA2060	Infants/Primary	M	314
POA2060	Pre-school	F	106
POA2060	Pre-school	M	123
POA2060	Secondary	F	238
POA2060	Secondary	M	282
POA2060	Technical or Further Educational Institution	F	208
POA2060	Technical or Further Educational Institution	M	140
POA2060	University or other tertiary	F	562
POA2060	University or other tertiary	M	451
POA2061		F	313
POA2061		M	237
POA2061	Infants/Primary	F	72
POA2061	Infants/Primary	M	69
POA2061	Pre-school	F	18
