POA_CODE_2021	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
POA0830	1	1	0	48000	4
POA0830	1	1	0	60000	6
POA0830	1	1	1	0	7
POA0830	1	1	1	5400	6
POA0830	1	1	1	7200	12
POA0830	1	1	1	9600	20
POA0830	1	1	1	12000	31
POA0830	1	1	1	14400	72
POA0830	1	1	1	16800	53
POA0830	1	1	1	19200	98
POA0830	1	1	1	21600	94
POA0830	1	1	1	24000	131
POA0830	1	1	1	26400	63
POA0830	1	1	1	28800	46
POA0830	1	1	1	31200	89
POA0830	1	1	1	36000	81
POA0830	1	1	1	48000	20
POA0830	1	1	1	60000	20
POA0832		1	1	9600	3
POA0832		1	1	12000	5
POA0832		1	1	21600	3
POA0832		1	1	24000	3
POA0832		1	1	26400	5
POA0832		1	1	31200	6
POA0832	0	1	0	7200	4
POA0832	0	1	0	9600	10
POA0832	0	1	0	12000	10
POA0832	0	1	0	14400	11
POA0832	0	1	0	16800	16
POA0832	0	1	0	19200	6
POA0832	0	1	0	21600	5
POA0832	0	1	0	24000	12
POA0832	0	1	0	26400	6
POA0832	0	1	0	31200	13
POA0832	0	1	0	36000	8
POA0832	0	1	0	48000	4
POA0832	0	1	0	60000	3
POA0832	0	1	1	9600	5
POA0832	0	1	1	12000	4
POA0832	0	1	1	14400	20
POA0832	0	1	1	16800	14
POA0832	0	1	1	19200	24
POA0832	0	1	1	21600	25
POA0832	0	1	1	24000	30
POA0832	0	1	1	26400	18
POA0832	0	1	1	28800	3
POA0832	0	1	1	31200	17
POA0832	0	1	1	36000	13
POA0832	0	1	1	48000	3
POA0832	0	1	1	60000	5
POA0832	1	0	0	0	6
POA0832	1	0	0	1800	3
POA0832	1	0	0	3600	3
POA0832	1	0	0	7200	4
POA0832	1	0	0	9600	9
POA0832	1	0	0	12000	26
POA0832	1	0	0	14400	28
POA0832	1	0	0	16800	35
POA0832	1	0	0	19200	53
POA0832	1	0	0	21600	52
POA0832	1	0	0	24000	83
POA0832	1	0	0	26400	49
POA0832	1	0	0	28800	28
POA0832	1	0	0	31200	77
POA0832	1	0	0	36000	55
POA0832	1	0	0	48000	16
POA0832	1	0	0	60000	12
POA0832	1	1	0	0	10
POA0832	1	1	0	7200	4
POA0832	1	1	0	9600	12
POA0832	1	1	0	12000	12
POA0832	1	1	0	14400	5
POA0832	1	1	0	16800	12
POA0832	1	1	0	19200	20
POA0832	1	1	0	21600	17
POA0832	1	1	0	24000	32
POA0832	1	1	0	26400	24
POA0832	1	1	0	28800	13
POA0832	1	1	0	31200	30
POA0832	1	1	0	36000	46
POA0832	1	1	0	48000	11
POA0832	1	1	0	60000	8
POA0832	1	1	1	0	6
POA0832	1	1	1	3600	6
POA0832	1	1	1	5400	3
POA0832	1	1	1	7200	5
POA0832	1	1	1	9600	16
POA0832	1	1	1	12000	20
POA0832	1	1	1	14400	35
POA0832	1	1	1	16800	58
POA0832	1	1	1	19200	93
POA0832	1	1	1	21600	127
POA0832	1	1	1	24000	173
POA0832	1	1	1	26400	123
POA0832	1	1	1	28800	98
POA0832	1	1	1	31200	210
POA0832	1	1	1	36000	157
POA0832	1	1	1	48000	32
POA0832	1	1	1	60000	28
POA0834	0	1	1	36000	3
POA0834	1	0	0	0	6
POA0834	1	0	0	7200	3
POA0834	1	0	0	12000	4
POA0834	1	0	0	14400	4
POA0834	1	0	0	16800	9
POA0834	1	0	0	21600	8
POA0834	1	0	0	24000	8
POA0834	1	0	0	28800	3
POA0834	1	0	0	31200	8
POA0834	1	0	0	36000	17
POA0834	1	0	0	48000	11
POA0834	1	0	0	60000	12
POA0834	1	1	0	12000	3
POA0834	1	1	0	14400	3
POA0834	1	1	0	16800	3
POA0834	1	1	0	24000	10
POA0834	1	1	0	26400	3
POA0834	1	1	0	31200	4
POA0834	1	1	0	36000	9
POA0834	1	1	0	48000	5
POA0834	1	1	1	12000	6
POA0834	1	1	1	14400	3
POA0834	1	1	1	16800	4
POA0834	1	1	1	19200	6
POA0834	1	1	1	24000	5
POA0834	1	1	1	26400	7
POA0834	1	1	1	28800	4
POA0834	1	1	1	31200	15
POA0834	1	1	1	36000	26
POA0834	1	1	1	48000	3
POA0834	1	1	1	60000	8
POA0835	0	1	0	24000	3
POA0835	0	1	0	28800	3
POA0835	0	1	1	24000	4
POA0835	0	1	1	31200	4
POA0835	0	1	1	36000	7
POA0835	0	1	1	48000	3
POA0835	1	0	0	0	3
POA0835	1	0	0	3600	7
POA0835	1	0	0	5400	3
POA0835	1	0	0	9600	6
POA0835	1	0	0	12000	6
POA0835	1	0	0	14400	5
POA0835	1	0	0	16800	4
POA0835	1	0	0	19200	6
POA0835	1	0	0	21600	12
POA0835	1	0	0	24000	22
POA0835	1	0	0	26400	7
POA0835	1	0	0	28800	9
POA0835	1	0	0	31200	10
POA0835	1	0	0	36000	27
POA0835	1	0	0	48000	4
POA0835	1	0	0	60000	5
POA0835	1	1	0	9600	3
POA0835	1	1	0	12000	3
POA0835	1	1	0	14400	9
POA0835	1	1	0	16800	4
POA0835	1	1	0	19200	7
POA0835	1	1	0	24000	7
POA0835	1	1	0	26400	6
POA0835	1	1	0	28800	3
POA0835	1	1	0	31200	6
POA0835	1	1	0	36000	25
POA0835	1	1	0	48000	10
POA0835	1	1	0	60000	5
POA0835	1	1	1	14400	7
POA0835	1	1	1	16800	6
POA0835	1	1	1	19200	8
POA0835	1	1	1	21600	10
POA0835	1	1	1	24000	26
POA0835	1	1	1	26400	11
POA0835	1	1	1	28800	5
POA0835	1	1	1	31200	22
POA0835	1	1	1	36000	44
POA0835	1	1	1	48000	19
POA0835	1	1	1	60000	9
POA0836	0	1	0	0	3
POA0836	0	1	0	7200	4
POA0836	0	1	0	12000	3
POA0836	0	1	0	14400	6
POA0836	0	1	0	16800	3
POA0836	0	1	0	19200	4
POA0836	0	1	0	21600	4
POA0836	0	1	0	24000	7
POA0836	0	1	0	31200	8
POA0836	0	1	0	36000	9
POA0836	0	1	0	48000	6
POA0836	0	1	0	60000	6
POA0836	0	1	1	5400	5
POA0836	0	1	1	7200	3
POA0836	0	1	1	12000	10
POA0836	0	1	1	16800	10
POA0836	0	1	1	19200	5
POA0836	0	1	1	21600	5
POA0836	0	1	1	24000	6
POA0836	0	1	1	26400	3
POA0836	0	1	1	31200	6
POA0836	0	1	1	36000	8
POA0836	0	1	1	60000	8
POA0836	1	0	0	0	8
POA0836	1	0	0	1800	3
POA0836	1	0	0	5400	4
POA0836	1	0	0	7200	5
POA0836	1	0	0	9600	12
POA0836	1	0	0	12000	21
POA0836	1	0	0	14400	20
POA0836	1	0	0	16800	16
