POA_CODE_2021	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
POA0812	Flat/apartment	1 or 2 storey block	1	35
POA0812	Flat/apartment	1 or 2 storey block	2	543
POA0812	Flat/apartment	1 or 2 storey block	3	100
POA0812	Flat/apartment	1 or 2 storey block	4	8
POA0812	Flat/apartment	3 storey block	2	13
POA0812	Flat/apartment	4-8 storey block		3
POA0812	Flat/apartment	4-8 storey block	1	20
POA0812	Flat/apartment	4-8 storey block	2	38
POA0812	Flat/apartment	Attached to a house	1	4
POA0812	Separate house			76
POA0812	Separate house		0	10
POA0812	Separate house		1	28
POA0812	Separate house		2	124
POA0812	Separate house		3	3094
POA0812	Separate house		4	1161
POA0812	Separate house		5	263
POA0812	Separate house		6	46
POA0820				7
POA0820			0	6
POA0820			1	14
POA0820			2	4
POA0820			3	6
POA0820		1 storey		9
POA0820		1 storey	0	6
POA0820		1 storey	1	83
POA0820		1 storey	2	358
POA0820		1 storey	3	96
POA0820		1 storey	4	6
POA0820		2 storeys or more		13
POA0820		2 storeys or more	0	9
POA0820		2 storeys or more	1	52
POA0820		2 storeys or more	2	476
POA0820		2 storeys or more	3	487
POA0820		2 storeys or more	4	75
POA0820		2 storeys or more	5	4
POA0820	(Other)			3
POA0820	(Other)		0	10
POA0820	(Other)		1	23
POA0820	(Other)		2	7
POA0820	(Other)		3	6
POA0820	(Other)		4	6
POA0820	Flat/apartment	1 or 2 storey block		16
POA0820	Flat/apartment	1 or 2 storey block	0	5
POA0820	Flat/apartment	1 or 2 storey block	1	77
POA0820	Flat/apartment	1 or 2 storey block	2	312
POA0820	Flat/apartment	1 or 2 storey block	3	359
POA0820	Flat/apartment	1 or 2 storey block	4	46
POA0820	Flat/apartment	1 or 2 storey block	5	3
POA0820	Flat/apartment	1 or 2 storey block	6	3
POA0820	Flat/apartment	3 storey block		13
POA0820	Flat/apartment	3 storey block	0	6
POA0820	Flat/apartment	3 storey block	1	22
POA0820	Flat/apartment	3 storey block	2	352
POA0820	Flat/apartment	3 storey block	3	268
POA0820	Flat/apartment	4-8 storey block		19
POA0820	Flat/apartment	4-8 storey block	0	11
POA0820	Flat/apartment	4-8 storey block	1	148
POA0820	Flat/apartment	4-8 storey block	2	722
POA0820	Flat/apartment	4-8 storey block	3	490
POA0820	Flat/apartment	4-8 storey block	4	4
POA0820	Flat/apartment	9 or more storey block		7
POA0820	Flat/apartment	9 or more storey block	1	49
POA0820	Flat/apartment	9 or more storey block	2	220
POA0820	Flat/apartment	9 or more storey block	3	211
POA0820	Flat/apartment	9 or more storey block	4	3
POA0820	Separate house			27
POA0820	Separate house		0	13
POA0820	Separate house		1	45
POA0820	Separate house		2	117
POA0820	Separate house		3	912
POA0820	Separate house		4	983
POA0820	Separate house		5	287
POA0820	Separate house		6	76
POA0822				12
POA0822			0	6
POA0822			1	22
POA0822			2	26
POA0822			3	23
POA0822			4	13
POA0822			6	5
POA0822		1 storey		3
POA0822		1 storey	1	26
POA0822		1 storey	2	203
POA0822		1 storey	3	62
POA0822		1 storey	4	23
POA0822	(Other)			20
POA0822	(Other)		0	49
POA0822	(Other)		1	63
POA0822	(Other)		2	13
POA0822	(Other)		3	17
POA0822	(Other)		4	13
POA0822	Flat/apartment	1 or 2 storey block	1	16
POA0822	Flat/apartment	1 or 2 storey block	2	55
POA0822	Flat/apartment	1 or 2 storey block	3	4
POA0822	Flat/apartment	Attached to a house	2	4
POA0822	Separate house			108
POA0822	Separate house		0	51
POA0822	Separate house		1	283
POA0822	Separate house		2	1105
POA0822	Separate house		3	2058
POA0822	Separate house		4	843
POA0822	Separate house		5	171
POA0822	Separate house		6	88
POA0828			1	3
POA0828		1 storey		3
POA0828		1 storey	2	4
POA0828		1 storey	3	103
POA0828	(Other)			9
POA0828	(Other)		0	3
POA0828	(Other)		1	12
POA0828	(Other)		2	4
POA0828	Separate house			3
POA0828	Separate house		0	8
POA0828	Separate house		1	23
POA0828	Separate house		2	26
POA0828	Separate house		3	81
POA0828	Separate house		4	81
POA0828	Separate house		5	15
POA0828	Separate house		6	12
POA0829			1	5
POA0829	(Other)			4
POA0829	(Other)		0	16
POA0829	(Other)		1	36
POA0829	(Other)		2	3
POA0829	(Other)		3	6
POA0829	(Other)		4	3
POA0829	Separate house		1	3
POA0829	Separate house		2	4
POA0829	Separate house		3	10
POA0829	Separate house		4	10
POA0829	Separate house		5	3
POA0830			1	3
POA0830		1 storey		15
POA0830		1 storey	1	47
POA0830		1 storey	2	206
POA0830		1 storey	3	107
POA0830		1 storey	4	3
POA0830		2 storeys or more	1	7
POA0830		2 storeys or more	2	46
POA0830		2 storeys or more	3	19
POA0830		2 storeys or more	4	11
POA0830	(Other)		1	7
POA0830	Flat/apartment	1 or 2 storey block		34
POA0830	Flat/apartment	1 or 2 storey block	1	159
POA0830	Flat/apartment	1 or 2 storey block	2	442
POA0830	Flat/apartment	1 or 2 storey block	3	141
POA0830	Flat/apartment	1 or 2 storey block	4	10
POA0830	Flat/apartment	3 storey block	2	21
POA0830	Flat/apartment	3 storey block	3	18
POA0830	Flat/apartment	4-8 storey block	2	33
POA0830	Flat/apartment	4-8 storey block	3	9
POA0830	Flat/apartment	9 or more storey block	1	22
POA0830	Flat/apartment	9 or more storey block	2	33
POA0830	Flat/apartment	9 or more storey block	3	15
POA0830	Flat/apartment	Attached to a house	1	4
POA0830	Separate house			72
POA0830	Separate house		0	10
POA0830	Separate house		1	45
POA0830	Separate house		2	204
POA0830	Separate house		3	2735
POA0830	Separate house		4	1440
POA0830	Separate house		5	216
POA0830	Separate house		6	45
POA0832			4	3
POA0832		1 storey		12
POA0832		1 storey	0	4
POA0832		1 storey	1	18
POA0832		1 storey	2	195
POA0832		1 storey	3	331
POA0832		1 storey	4	15
POA0832		2 storeys or more	2	49
POA0832		2 storeys or more	3	80
POA0832		2 storeys or more	4	8
POA0832	Flat/apartment	1 or 2 storey block		11
POA0832	Flat/apartment	1 or 2 storey block	1	25
POA0832	Flat/apartment	1 or 2 storey block	2	184
POA0832	Flat/apartment	1 or 2 storey block	3	179
POA0832	Flat/apartment	1 or 2 storey block	4	3
POA0832	Flat/apartment	1 or 2 storey block	5	3
POA0832	Flat/apartment	3 storey block	1	5
POA0832	Flat/apartment	3 storey block	2	40
POA0832	Flat/apartment	3 storey block	3	14
POA0832	Flat/apartment	4-8 storey block		12
POA0832	Flat/apartment	4-8 storey block	1	14
POA0832	Flat/apartment	4-8 storey block	2	267
POA0832	Flat/apartment	4-8 storey block	3	79
POA0832	Flat/apartment	4-8 storey block	4	3
POA0832	Separate house			52
POA0832	Separate house		0	6
POA0832	Separate house		1	34
POA0832	Separate house		2	100
POA0832	Separate house		3	1984
POA0832	Separate house		4	2155
POA0832	Separate house		5	215
POA0832	Separate house		6	26
POA0834			1	6
POA0834	(Other)			7
POA0834	(Other)		0	5
POA0834	(Other)		1	8
POA0834	(Other)		3	3
POA0834	(Other)		5	4
POA0834	Separate house			14
POA0834	Separate house		0	8
POA0834	Separate house		1	30
POA0834	Separate house		2	62
POA0834	Separate house		3	208
POA0834	Separate house		4	148
POA0834	Separate house		5	65
POA0834	Separate house		6	18
POA0835		1 storey	1	3
POA0835		1 storey	2	3
POA0835	(Other)			5
POA0835	(Other)		0	10
POA0835	(Other)		1	12
POA0835	(Other)		3	6
POA0835	Separate house			17
POA0835	Separate house		0	3
POA0835	Separate house		1	45
POA0835	Separate house		2	105
POA0835	Separate house		3	339
POA0835	Separate house		4	321
POA0835	Separate house		5	89
POA0835	Separate house		6	37
POA0836			2	3
POA0836		1 storey		6
POA0836		1 storey	2	19
POA0836		1 storey	3	18
POA0836	(Other)		1	3
POA0836	(Other)		2	3
POA0836	Separate house			48
POA0836	Separate house		0	18
POA0836	Separate house		1	126
POA0836	Separate house		2	359
POA0836	Separate house		3	862
POA0836	Separate house		4	603
POA0836	Separate house		5	194
POA0836	Separate house		6	91
POA0837	(Other)			4
POA0837	(Other)		0	8
POA0837	(Other)		1	4
POA0837	Separate house			3
POA0837	Separate house		0	6
POA0837	Separate house		1	10
POA0837	Separate house		2	31
POA0837	Separate house		3	42
POA0837	Separate house		4	30
POA0837	Separate house		5	8
POA0838	(Other)		1	10
POA0838	(Other)		3	3
POA0838	Separate house			6
POA0838	Separate house		1	25
POA0838	Separate house		2	39
POA0838	Separate house		3	109
POA0838	Separate house		4	51
POA0838	Separate house		5	13
POA0838	Separate house		6	7
POA0839		1 storey	2	4
POA0839		1 storey	3	32
POA0839		1 storey	4	9
POA0839		2 storeys or more	4	5
POA0839	(Other)			3
POA0839	(Other)		0	7
POA0839	(Other)		1	24
POA0839	Flat/apartment	3 storey block		4
POA0839	Flat/apartment	3 storey block	1	27
POA0839	Flat/apartment	3 storey block	2	72
POA0839	Flat/apartment	4-8 storey block	1	5
POA0839	Flat/apartment	4-8 storey block	2	3
POA0839	Separate house		3	9
POA0839	Separate house		4	9
POA0840	(Other)		1	6
POA0840	(Other)		3	3
POA0840	Separate house			3
POA0840	Separate house		0	8
POA0840	Separate house		1	42
POA0840	Separate house		2	67
POA0840	Separate house		3	38
POA0840	Separate house		4	11
POA0841	Separate house			6
POA0841	Separate house		0	9
POA0841	Separate house		1	29
POA0841	Separate house		2	46
POA0841	Separate house		3	72
POA0841	Separate house		4	44
POA0841	Separate house		5	5
POA0841	Separate house		6	5
POA0845		1 storey	1	3
POA0845		1 storey	2	14
POA0845	Flat/apartment	1 or 2 storey block	3	3
POA0845	Separate house			5
POA0845	Separate house		1	9
POA0845	Separate house		2	27
POA0845	Separate house		3	65
POA0845	Separate house		4	6
POA0846	(Other)			6
POA0846	(Other)		0	3
POA0846	(Other)		1	10
POA0846	Separate house			4
POA0846	Separate house		0	3
POA0846	Separate house		1	10
POA0846	Separate house		2	20
POA0846	Separate house		3	33
POA0846	Separate house		4	8
POA0846	Separate house		5	3
POA0846	Separate house		6	4
POA0847		1 storey	2	3
POA0847		1 storey	3	3
POA0847	(Other)		1	5
POA0847	(Other)		3	3
POA0847	Flat/apartment	1 or 2 storey block	2	3
POA0847	Separate house		1	8
POA0847	Separate house		2	7
POA0847	Separate house		3	38
POA0847	Separate house		4	8
POA0847	Separate house		5	5
POA0847	Separate house		6	5
POA0850				15
POA0850			0	15
POA0850			1	24
POA0850			2	3
POA0850			3	6
POA0850		1 storey		29
POA0850		1 storey	0	4
POA0850		1 storey	1	81
POA0850		1 storey	2	150
POA0850		1 storey	3	30
POA0850		1 storey	4	4
POA0850		2 storeys or more		4
POA0850		2 storeys or more	1	17
POA0850		2 storeys or more	2	68
POA0850		2 storeys or more	3	38
POA0850	(Other)			4
POA0850	(Other)		0	9
POA0850	(Other)		1	32
POA0850	(Other)		2	12
POA0850	(Other)		3	8
POA0850	(Other)		4	6
POA0850	Flat/apartment	1 or 2 storey block		13
POA0850	Flat/apartment	1 or 2 storey block	1	13
POA0850	Flat/apartment	1 or 2 storey block	2	22
POA0850	Flat/apartment	4-8 storey block	2	6
POA0850	Separate house			39
POA0850	Separate house		0	13
POA0850	Separate house		1	58
POA0850	Separate house		2	124
POA0850	Separate house		3	1076
POA0850	Separate house		4	424
POA0850	Separate house		5	81
POA0850	Separate house		6	22
POA0852				15
POA0852			0	4
POA0852			1	14
POA0852			2	16
POA0852			3	14
POA0852			4	6
POA0852			6	4
POA0852		1 storey	0	8
POA0852		1 storey	1	26
POA0852		1 storey	2	80
POA0852		1 storey	3	26
POA0852	(Other)			10
POA0852	(Other)		0	38
POA0852	(Other)		1	58
POA0852	(Other)		2	14
POA0852	(Other)		3	10
POA0852	(Other)		4	4
POA0852	Flat/apartment	1 or 2 storey block	2	22
POA0852	Flat/apartment	1 or 2 storey block	3	10
POA0852	Flat/apartment	1 or 2 storey block	5	3
POA0852	Separate house			29
POA0852	Separate house		0	8
POA0852	Separate house		1	75
POA0852	Separate house		2	183
POA0852	Separate house		3	656
POA0852	Separate house		4	180
POA0852	Separate house		5	38
POA0852	Separate house		6	23
POA0853	Separate house		3	143
POA0853	Separate house		4	56
POA0853	Separate house		5	4
POA0854		1 storey	2	16
POA0854	(Other)			3
POA0854	(Other)		0	5
POA0854	(Other)		1	10
POA0854	(Other)		2	8
POA0854	(Other)		3	3
POA0854	Flat/apartment	1 or 2 storey block	2	3
POA0854	Separate house		0	6
POA0854	Separate house		1	7
POA0854	Separate house		2	37
POA0854	Separate house		3	70
POA0854	Separate house		4	23
POA0860				4
POA0860		1 storey		4
POA0860		1 storey	1	33
POA0860		1 storey	2	29
POA0860		1 storey	3	4
POA0860		2 storeys or more	0	3
POA0860		2 storeys or more	1	18
POA0860		2 storeys or more	2	6
POA0860		2 storeys or more	3	3
POA0860	(Other)		1	10
POA0860	(Other)		3	6
POA0860	Flat/apartment	1 or 2 storey block	1	18
POA0860	Flat/apartment	1 or 2 storey block	2	14
POA0860	Flat/apartment	4-8 storey block	1	4
POA0860	Flat/apartment	4-8 storey block	2	10
POA0860	Separate house			23
POA0860	Separate house		0	4
POA0860	Separate house		1	46
POA0860	Separate house		2	112
POA0860	Separate house		3	467
POA0860	Separate house		4	101
POA0860	Separate house		5	9
POA0862			4	4
POA0862	(Other)			4
POA0862	(Other)		0	4
POA0862	(Other)		1	9
POA0862	(Other)		3	5
POA0862	Separate house			3
POA0862	Separate house		1	3
POA0862	Separate house		2	25
POA0862	Separate house		3	49
POA0862	Separate house		4	28
POA0862	Separate house		5	11
POA0870				17
POA0870			0	11
POA0870			1	36
POA0870			2	29
POA0870			3	6
POA0870			4	5
POA0870			6	4
POA0870		1 storey		26
POA0870		1 storey	0	8
POA0870		1 storey	1	237
POA0870		1 storey	2	709
POA0870		1 storey	3	293
POA0870		1 storey	4	26
POA0870		1 storey	5	5
POA0870		2 storeys or more		27
POA0870		2 storeys or more	0	5
POA0870		2 storeys or more	1	100
POA0870		2 storeys or more	2	483
POA0870		2 storeys or more	3	169
POA0870		2 storeys or more	4	3
POA0870	(Other)			8
POA0870	(Other)		0	13
POA0870	(Other)		1	35
POA0870	(Other)		2	13
POA0870	(Other)		3	4
POA0870	Flat/apartment	1 or 2 storey block		4
POA0870	Flat/apartment	1 or 2 storey block	0	13
POA0870	Flat/apartment	1 or 2 storey block	1	69
POA0870	Flat/apartment	1 or 2 storey block	2	128
POA0870	Flat/apartment	1 or 2 storey block	3	11
POA0870	Flat/apartment	3 storey block		3
POA0870	Flat/apartment	3 storey block	0	3
POA0870	Flat/apartment	3 storey block	1	8
POA0870	Flat/apartment	3 storey block	2	10
POA0870	Separate house			85
POA0870	Separate house		0	19
POA0870	Separate house		1	75
POA0870	Separate house		2	241
POA0870	Separate house		3	2516
POA0870	Separate house		4	1308
POA0870	Separate house		5	233
POA0870	Separate house		6	45
POA0872				3
POA0872			0	6
POA0872			1	27
POA0872			2	18
POA0872			3	17
POA0872			4	8
POA0872		1 storey		10
POA0872		1 storey	0	22
POA0872		1 storey	1	172
POA0872		1 storey	2	84
POA0872		1 storey	3	36
POA0872		1 storey	4	10
POA0872	(Other)			16
POA0872	(Other)		0	28
POA0872	(Other)		1	35
POA0872	(Other)		2	13
POA0872	(Other)		3	10
POA0872	(Other)		4	8
POA0872	(Other)		5	3
POA0872	Flat/apartment	1 or 2 storey block		4
POA0872	Flat/apartment	1 or 2 storey block	0	3
POA0872	Flat/apartment	1 or 2 storey block	1	105
POA0872	Flat/apartment	1 or 2 storey block	2	12
POA0872	Separate house			91
POA0872	Separate house		0	9
POA0872	Separate house		1	125
POA0872	Separate house		2	519
POA0872	Separate house		3	1427
POA0872	Separate house		4	352
POA0872	Separate house		5	41
POA0872	Separate house		6	18
POA0873			0	6
POA0873			1	20
POA0873			2	6
POA0873			3	4
POA0873		1 storey	1	9
POA0873		1 storey	2	21
POA0873		1 storey	3	7
POA0873		2 storeys or more	2	27
POA0873	(Other)			3
POA0873	(Other)		0	30
POA0873	(Other)		1	44
POA0873	(Other)		2	9
POA0873	(Other)		3	5
POA0873	(Other)		4	6
POA0873	Flat/apartment	1 or 2 storey block	1	44
POA0873	Separate house			11
POA0873	Separate house		0	6
POA0873	Separate house		1	43
POA0873	Separate house		2	81
POA0873	Separate house		3	214
POA0873	Separate house		4	175
POA0873	Separate house		5	41
POA0873	Separate house		6	19
POA0874		1 storey	2	18
POA0874		1 storey	3	48
POA0874		1 storey	4	3
POA0874		2 storeys or more	3	10
POA0874	(Other)		0	4
POA0874	Flat/apartment	1 or 2 storey block	0	32
POA0874	Flat/apartment	1 or 2 storey block	1	20
POA0874	Flat/apartment	1 or 2 storey block	3	21
POA0874	Separate house			4
POA0874	Separate house		3	18
POA0874	Separate house		4	25
POA0874	Separate house		5	9
POA0875		1 storey		5
POA0875		1 storey	1	22
POA0875		1 storey	2	160
POA0875		1 storey	3	54
POA0875		2 storeys or more	2	3
POA0875	Separate house			11
POA0875	Separate house		1	14
POA0875	Separate house		2	22
POA0875	Separate house		3	391
POA0875	Separate house		4	139
POA0875	Separate house		5	22
POA0875	Separate house		6	8
POA0880			1	4
POA0880			2	7
POA0880			3	4
POA0880		1 storey		3
POA0880		1 storey	1	21
POA0880		1 storey	2	47
POA0880		1 storey	3	26
POA0880	(Other)			3
POA0880	(Other)		1	3
POA0880	(Other)		2	4
POA0880	Flat/apartment	1 or 2 storey block	1	18
POA0880	Flat/apartment	1 or 2 storey block	2	25
POA0880	Flat/apartment	1 or 2 storey block	3	8
POA0880	Separate house			19
POA0880	Separate house		1	26
POA0880	Separate house		2	100
POA0880	Separate house		3	657
POA0880	Separate house		4	170
POA0880	Separate house		5	13
POA0885		1 storey	2	13
POA0885		1 storey	3	7
POA0885	Flat/apartment	1 or 2 storey block	2	10
POA0885	Separate house		2	32
POA0885	Separate house		3	143
POA0885	Separate house		4	3
POA0886		1 storey		6
POA0886		1 storey	1	39
POA0886		1 storey	2	22
POA0886	(Other)		0	7
POA0886	Flat/apartment	1 or 2 storey block	2	10
POA0886	Flat/apartment	1 or 2 storey block	3	14
POA0886	Separate house			3
POA0886	Separate house		1	3
POA0886	Separate house		2	5
POA0886	Separate house		3	113
POA0886	Separate house		4	28
POA2000				7
POA2000			0	10
POA2000			1	35
POA2000			2	21
POA2000			3	4
POA2000		2 storeys or more		4
POA2000		2 storeys or more	0	4
POA2000		2 storeys or more	1	18
POA2000		2 storeys or more	2	72
POA2000		2 storeys or more	3	85
POA2000		2 storeys or more	4	35
POA2000		2 storeys or more	5	3
POA2000		2 storeys or more	6	6
POA2000	(Other)		0	3
POA2000	(Other)		1	9
POA2000	(Other)		3	4
POA2000	Flat/apartment	1 or 2 storey block	1	41
POA2000	Flat/apartment	1 or 2 storey block	2	13
POA2000	Flat/apartment	1 or 2 storey block	3	6
POA2000	Flat/apartment	3 storey block	2	3
POA2000	Flat/apartment	4-8 storey block		8
POA2000	Flat/apartment	4-8 storey block	0	13
POA2000	Flat/apartment	4-8 storey block	1	121
POA2000	Flat/apartment	4-8 storey block	2	347
POA2000	Flat/apartment	4-8 storey block	3	141
POA2000	Flat/apartment	4-8 storey block	4	3
POA2000	Flat/apartment	9 or more storey block		193
POA2000	Flat/apartment	9 or more storey block	0	511
POA2000	Flat/apartment	9 or more storey block	1	3601
POA2000	Flat/apartment	9 or more storey block	2	4889
POA2000	Flat/apartment	9 or more storey block	3	1147
POA2000	Flat/apartment	9 or more storey block	4	77
POA2000	Flat/apartment	9 or more storey block	5	7
POA2000	Flat/apartment	9 or more storey block	6	3
POA2000	Separate house		0	5
POA2000	Separate house		1	3
POA2000	Separate house		2	4
POA2000	Separate house		3	3
POA2000	Separate house		4	3
POA2000	Separate house		5	4
POA2000	Separate house		6	4
POA2007			0	5
POA2007			1	9
POA2007			2	5
POA2007		2 storeys or more		11
POA2007		2 storeys or more	0	3
POA2007		2 storeys or more	1	30
POA2007		2 storeys or more	2	113
POA2007		2 storeys or more	3	113
POA2007		2 storeys or more	4	49
POA2007		2 storeys or more	5	16
POA2007		2 storeys or more	6	14
POA2007	(Other)		4	3
POA2007	Flat/apartment	3 storey block		5
POA2007	Flat/apartment	3 storey block	0	18
POA2007	Flat/apartment	3 storey block	1	82
POA2007	Flat/apartment	3 storey block	2	117
POA2007	Flat/apartment	3 storey block	3	9
POA2007	Flat/apartment	4-8 storey block		143
POA2007	Flat/apartment	4-8 storey block	0	43
POA2007	Flat/apartment	4-8 storey block	1	370
POA2007	Flat/apartment	4-8 storey block	2	551
POA2007	Flat/apartment	4-8 storey block	3	152
POA2007	Flat/apartment	4-8 storey block	4	18
POA2007	Flat/apartment	4-8 storey block	5	3
POA2007	Flat/apartment	9 or more storey block		19
POA2007	Flat/apartment	9 or more storey block	0	43
POA2007	Flat/apartment	9 or more storey block	1	453
POA2007	Flat/apartment	9 or more storey block	2	384
POA2007	Flat/apartment	9 or more storey block	3	120
POA2007	Flat/apartment	9 or more storey block	4	15
POA2007	Flat/apartment	9 or more storey block	6	8
POA2008				9
POA2008			0	15
POA2008			1	11
POA2008			2	3
POA2008		1 storey	1	9
POA2008		1 storey	2	23
POA2008		1 storey	3	15
POA2008		1 storey	4	4
POA2008		2 storeys or more		5
POA2008		2 storeys or more	0	5
POA2008		2 storeys or more	1	67
POA2008		2 storeys or more	2	269
POA2008		2 storeys or more	3	317
POA2008		2 storeys or more	4	206
POA2008		2 storeys or more	5	40
POA2008		2 storeys or more	6	18
POA2008	(Other)			3
POA2008	(Other)		0	9
POA2008	(Other)		1	10
POA2008	(Other)		2	5
POA2008	(Other)		3	9
POA2008	Flat/apartment	1 or 2 storey block	0	7
POA2008	Flat/apartment	1 or 2 storey block	1	27
POA2008	Flat/apartment	1 or 2 storey block	2	24
POA2008	Flat/apartment	3 storey block		8
POA2008	Flat/apartment	3 storey block	0	36
POA2008	Flat/apartment	3 storey block	1	164
POA2008	Flat/apartment	3 storey block	2	202
POA2008	Flat/apartment	3 storey block	3	51
POA2008	Flat/apartment	4-8 storey block		20
POA2008	Flat/apartment	4-8 storey block	0	117
POA2008	Flat/apartment	4-8 storey block	1	334
POA2008	Flat/apartment	4-8 storey block	2	351
POA2008	Flat/apartment	4-8 storey block	3	57
POA2008	Flat/apartment	4-8 storey block	4	10
POA2008	Flat/apartment	4-8 storey block	6	5
POA2008	Flat/apartment	9 or more storey block		22
POA2008	Flat/apartment	9 or more storey block	0	342
POA2008	Flat/apartment	9 or more storey block	1	1134
POA2008	Flat/apartment	9 or more storey block	2	445
POA2008	Flat/apartment	9 or more storey block	3	78
POA2008	Flat/apartment	Attached to a house	1	4
POA2008	Separate house		1	4
POA2008	Separate house		2	17
POA2008	Separate house		3	7
POA2008	Separate house		4	3
POA2008	Separate house		5	5
POA2009			0	4
POA2009			1	10
POA2009			2	10
POA2009			3	3
POA2009		1 storey	1	7
POA2009		1 storey	2	26
POA2009		1 storey	3	20
POA2009		1 storey	4	5
POA2009		2 storeys or more	1	29
POA2009		2 storeys or more	2	74
POA2009		2 storeys or more	3	98
POA2009		2 storeys or more	4	28
POA2009		2 storeys or more	5	6
POA2009	Flat/apartment	1 or 2 storey block	1	5
POA2009	Flat/apartment	1 or 2 storey block	2	25
POA2009	Flat/apartment	1 or 2 storey block	3	4
POA2009	Flat/apartment	3 storey block	1	30
POA2009	Flat/apartment	3 storey block	2	38
POA2009	Flat/apartment	3 storey block	3	9
POA2009	Flat/apartment	4-8 storey block		20
POA2009	Flat/apartment	4-8 storey block	0	18
POA2009	Flat/apartment	4-8 storey block	1	512
POA2009	Flat/apartment	4-8 storey block	2	730
POA2009	Flat/apartment	4-8 storey block	3	459
POA2009	Flat/apartment	4-8 storey block	4	21
POA2009	Flat/apartment	9 or more storey block		39
POA2009	Flat/apartment	9 or more storey block	0	41
POA2009	Flat/apartment	9 or more storey block	1	742
POA2009	Flat/apartment	9 or more storey block	2	1940
POA2009	Flat/apartment	9 or more storey block	3	578
POA2009	Flat/apartment	9 or more storey block	4	12
POA2009	Flat/apartment	9 or more storey block	6	5
POA2010				13
POA2010			0	3
POA2010			1	36
POA2010			2	17
POA2010			3	6
POA2010		1 storey		4
POA2010		1 storey	1	69
POA2010		1 storey	2	169
POA2010		1 storey	3	134
POA2010		1 storey	4	27
POA2010		1 storey	5	10
POA2010		1 storey	6	3
POA2010		2 storeys or more		21
POA2010		2 storeys or more	0	44
POA2010		2 storeys or more	1	371
