POA_CODE_2021	Age	Sex	persons
POA0872	25-34	F	1405
POA0872	25-34	M	1427
POA0872	35-44	F	1026
POA0872	35-44	M	1134
POA0872	45-54	F	859
POA0872	45-54	M	873
POA0872	55-64	F	676
POA0872	55-64	M	594
POA0872	65-74	F	305
POA0872	65-74	M	261
POA0872	75-84	F	100
POA0872	75-84	M	78
POA0872	85+	F	24
POA0872	85+	M	18
POA0873	0-4	F	66
POA0873	0-4	M	98
POA0873	5-14	F	160
POA0873	5-14	M	168
POA0873	15-19	F	69
POA0873	15-19	M	84
POA0873	20-24	F	67
POA0873	20-24	M	52
POA0873	25-34	F	231
POA0873	25-34	M	175
POA0873	35-44	F	186
POA0873	35-44	M	154
POA0873	45-54	F	197
POA0873	45-54	M	191
POA0873	55-64	F	207
POA0873	55-64	M	191
POA0873	65-74	F	116
POA0873	65-74	M	142
POA0873	75-84	F	68
POA0873	75-84	M	54
POA0873	85+	F	53
POA0873	85+	M	14
POA0874	0-4	F	27
POA0874	0-4	M	21
POA0874	5-14	F	35
POA0874	5-14	M	27
POA0874	15-19	F	3
POA0874	15-19	M	5
POA0874	20-24	F	12
POA0874	20-24	M	16
POA0874	25-34	F	64
POA0874	25-34	M	66
POA0874	35-44	F	41
POA0874	35-44	M	51
POA0874	45-54	F	55
POA0874	45-54	M	33
POA0874	55-64	F	35
POA0874	55-64	M	45
POA0874	65-74	F	6
POA0874	65-74	M	7
POA0874	75-84	F	4
POA0874	85+	F	4
POA0875	0-4	F	91
POA0875	0-4	M	118
POA0875	5-14	F	193
POA0875	5-14	M	216
POA0875	15-19	F	91
POA0875	15-19	M	73
POA0875	20-24	F	74
POA0875	20-24	M	68
POA0875	25-34	F	213
POA0875	25-34	M	172
POA0875	35-44	F	214
POA0875	35-44	M	170
POA0875	45-54	F	171
POA0875	45-54	M	164
POA0875	55-64	F	138
POA0875	55-64	M	134
POA0875	65-74	F	74
POA0875	65-74	M	55
POA0875	75-84	F	27
POA0875	75-84	M	19
POA0875	85+	F	6
POA0875	85+	M	6
POA0880	0-4	F	155
POA0880	0-4	M	203
POA0880	5-14	F	448
POA0880	5-14	M	445
POA0880	15-19	F	161
POA0880	15-19	M	176
POA0880	20-24	F	138
POA0880	20-24	M	139
POA0880	25-34	F	463
POA0880	25-34	M	385
POA0880	35-44	F	460
POA0880	35-44	M	447
POA0880	45-54	F	326
POA0880	45-54	M	338
POA0880	55-64	F	227
POA0880	55-64	M	237
POA0880	65-74	F	83
POA0880	65-74	M	89
POA0880	75-84	F	19
POA0880	75-84	M	23
POA0880	85+	M	3
POA0885	0-4	F	36
POA0885	0-4	M	55
POA0885	5-14	F	74
POA0885	5-14	M	85
POA0885	15-19	F	5
POA0885	15-19	M	10
POA0885	20-24	F	11
POA0885	20-24	M	5
POA0885	25-34	F	62
POA0885	25-34	M	42
POA0885	35-44	F	79
POA0885	35-44	M	87
POA0885	45-54	F	45
POA0885	45-54	M	54
POA0885	55-64	F	36
POA0885	55-64	M	47
POA0885	65-74	M	14
POA0886	0-4	F	32
POA0886	0-4	M	30
POA0886	5-14	F	56
POA0886	5-14	M	50
POA0886	15-19	F	23
POA0886	15-19	M	21
POA0886	20-24	F	12
POA0886	20-24	M	28
POA0886	25-34	F	72
POA0886	25-34	M	58
POA0886	35-44	F	59
POA0886	35-44	M	52
POA0886	45-54	F	64
POA0886	45-54	M	73
POA0886	55-64	F	29
POA0886	55-64	M	63
POA0886	65-74	F	14
POA0886	65-74	M	10
POA0886	75-84	M	9
POA2000	0-4	F	357
POA2000	0-4	M	339
POA2000	5-14	F	352
POA2000	5-14	M	373
POA2000	15-19	F	308
POA2000	15-19	M	301
POA2000	20-24	F	1745
POA2000	20-24	M	1681
POA2000	25-34	F	5424
POA2000	25-34	M	5258
POA2000	35-44	F	2570
POA2000	35-44	M	2856
POA2000	45-54	F	1100
POA2000	45-54	M	1297
POA2000	55-64	F	860
POA2000	55-64	M	1009
POA2000	65-74	F	604
POA2000	65-74	M	702
POA2000	75-84	F	309
POA2000	75-84	M	316
POA2000	85+	F	79
POA2000	85+	M	88
POA2007	0-4	F	101
POA2007	0-4	M	113
POA2007	5-14	F	141
POA2007	5-14	M	121
POA2007	15-19	F	149
POA2007	15-19	M	116
POA2007	20-24	F	642
POA2007	20-24	M	627
POA2007	25-34	F	1303
POA2007	25-34	M	1356
POA2007	35-44	F	590
POA2007	35-44	M	688
POA2007	45-54	F	288
POA2007	45-54	M	322
POA2007	55-64	F	194
POA2007	55-64	M	194
POA2007	65-74	F	140
POA2007	65-74	M	155
POA2007	75-84	F	64
POA2007	75-84	M	59
POA2007	85+	F	31
POA2007	85+	M	23
POA2008	0-4	F	90
POA2008	0-4	M	119
POA2008	5-14	F	98
POA2008	5-14	M	103
POA2008	15-19	F	262
POA2008	15-19	M	220
POA2008	20-24	F	1449
POA2008	20-24	M	1212
POA2008	25-34	F	1889
POA2008	25-34	M	1967
POA2008	35-44	F	595
POA2008	35-44	M	789
POA2008	45-54	F	295
POA2008	45-54	M	389
POA2008	55-64	F	225
POA2008	55-64	M	282
POA2008	65-74	F	115
POA2008	65-74	M	181
POA2008	75-84	F	54
POA2008	75-84	M	43
POA2008	85+	F	9
POA2008	85+	M	12
POA2009	0-4	F	298
POA2009	0-4	M	312
POA2009	5-14	F	335
POA2009	5-14	M	349
POA2009	15-19	F	142
POA2009	15-19	M	152
POA2009	20-24	F	342
POA2009	20-24	M	369
POA2009	25-34	F	1574
POA2009	25-34	M	1620
POA2009	35-44	F	1343
POA2009	35-44	M	1365
POA2009	45-54	F	736
POA2009	45-54	M	751
POA2009	55-64	F	675
POA2009	55-64	M	647
POA2009	65-74	F	552
POA2009	65-74	M	532
POA2009	75-84	F	218
POA2009	75-84	M	235
POA2009	85+	F	51
POA2009	85+	M	49
POA2010	0-4	F	282
POA2010	0-4	M	330
POA2010	5-14	F	402
POA2010	5-14	M	422
POA2010	15-19	F	200
POA2010	15-19	M	172
POA2010	20-24	F	1027
POA2010	20-24	M	964
POA2010	25-34	F	3768
POA2010	25-34	M	4665
POA2010	35-44	F	2019
POA2010	35-44	M	3223
POA2010	45-54	F	1172
POA2010	45-54	M	2246
POA2010	55-64	F	943
POA2010	55-64	M	1766
POA2010	65-74	F	685
POA2010	65-74	M	968
POA2010	75-84	F	402
POA2010	75-84	M	462
POA2010	85+	F	188
POA2010	85+	M	138
POA2011	0-4	F	177
POA2011	0-4	M	178
POA2011	5-14	F	208
POA2011	5-14	M	207
POA2011	15-19	F	141
POA2011	15-19	M	101
POA2011	20-24	F	492
POA2011	20-24	M	505
POA2011	25-34	F	2449
POA2011	25-34	M	2759
POA2011	35-44	F	1458
POA2011	35-44	M	2005
POA2011	45-54	F	1021
POA2011	45-54	M	1413
POA2011	55-64	F	963
POA2011	55-64	M	1164
POA2011	65-74	F	825
POA2011	65-74	M	832
POA2011	75-84	F	426
POA2011	75-84	M	445
POA2011	85+	F	271
POA2011	85+	M	152
POA2015	0-4	F	268
POA2015	0-4	M	308
POA2015	5-14	F	348
