POA_CODE_2021	Age	persons
POA2031	55-64	3218
POA2031	65-74	2368
POA2031	75-84	1502
POA2031	85+	890
POA2032	0-4	622
POA2032	5-14	1356
POA2032	15-19	735
POA2032	20-24	1717
POA2032	25-34	2880
POA2032	35-44	1925
POA2032	45-54	1691
POA2032	55-64	1407
POA2032	65-74	1126
POA2032	75-84	781
POA2032	85+	397
POA2033	0-4	499
POA2033	5-14	943
POA2033	15-19	754
POA2033	20-24	1777
POA2033	25-34	2503
POA2033	35-44	1670
POA2033	45-54	1228
POA2033	55-64	1017
POA2033	65-74	717
POA2033	75-84	530
POA2033	85+	291
POA2034	0-4	1041
POA2034	5-14	2025
POA2034	15-19	874
POA2034	20-24	1035
POA2034	25-34	4648
POA2034	35-44	3337
POA2034	45-54	2636
POA2034	55-64	2058
POA2034	65-74	1460
POA2034	75-84	815
POA2034	85+	312
POA2035	0-4	1784
POA2035	5-14	3841
POA2035	15-19	1784
POA2035	20-24	1999
POA2035	25-34	5183
POA2035	35-44	5192
POA2035	45-54	4657
POA2035	55-64	3922
POA2035	65-74	3033
POA2035	75-84	2167
POA2035	85+	1030
POA2036	0-4	1886
POA2036	5-14	3837
POA2036	15-19	1751
POA2036	20-24	2163
POA2036	25-34	4930
POA2036	35-44	4941
POA2036	45-54	4635
POA2036	55-64	3948
POA2036	65-74	3083
POA2036	75-84	1861
POA2036	85+	728
POA2037	0-4	673
POA2037	5-14	1091
POA2037	15-19	557
POA2037	20-24	1596
POA2037	25-34	3813
POA2037	35-44	2724
POA2037	45-54	2005
POA2037	55-64	1863
POA2037	65-74	1468
POA2037	75-84	678
POA2037	85+	180
POA2038	0-4	487
POA2038	5-14	1027
POA2038	15-19	404
POA2038	20-24	545
POA2038	25-34	1648
POA2038	35-44	1581
POA2038	45-54	1444
POA2038	55-64	1052
POA2038	65-74	815
POA2038	75-84	343
POA2038	85+	133
POA2039	0-4	556
POA2039	5-14	914
POA2039	15-19	325
POA2039	20-24	339
POA2039	25-34	1292
POA2039	35-44	1604
POA2039	45-54	1353
POA2039	55-64	968
POA2039	65-74	796
POA2039	75-84	337
POA2039	85+	55
POA2040	0-4	1505
POA2040	5-14	2880
POA2040	15-19	1042
POA2040	20-24	1103
POA2040	25-34	3275
POA2040	35-44	4035
POA2040	45-54	3605
POA2040	55-64	2386
POA2040	65-74	1686
POA2040	75-84	854
POA2040	85+	427
POA2041	0-4	870
POA2041	5-14	1761
POA2041	15-19	694
POA2041	20-24	565
POA2041	25-34	1814
POA2041	35-44	2465
POA2041	45-54	2555
POA2041	55-64	2104
POA2041	65-74	1710
POA2041	75-84	838
POA2041	85+	208
POA2042	0-4	668
POA2042	5-14	1178
POA2042	15-19	591
POA2042	20-24	1788
POA2042	25-34	5280
POA2042	35-44	3257
POA2042	45-54	2532
POA2042	55-64	1810
POA2042	65-74	1025
POA2042	75-84	397
POA2042	85+	145
POA2043	0-4	473
POA2043	5-14	570
POA2043	15-19	209
POA2043	20-24	490
POA2043	25-34	3105
POA2043	35-44	2225
POA2043	45-54	1251
POA2043	55-64	806
POA2043	65-74	350
POA2043	75-84	145
POA2043	85+	37
POA2044	0-4	482
POA2044	5-14	767
POA2044	15-19	279
POA2044	20-24	447
POA2044	25-34	1859
POA2044	35-44	1668
POA2044	45-54	1072
POA2044	55-64	757
POA2044	65-74	573
POA2044	75-84	274
POA2044	85+	108
POA2045	0-4	245
POA2045	5-14	821
POA2045	15-19	472
POA2045	20-24	364
POA2045	25-34	506
POA2045	35-44	658
POA2045	45-54	1040
POA2045	55-64	937
POA2045	65-74	704
POA2045	75-84	445
POA2045	85+	289
POA2046	0-4	1536
POA2046	5-14	3198
POA2046	15-19	1341
POA2046	20-24	1129
POA2046	25-34	3154
POA2046	35-44	4146
POA2046	45-54	4081
POA2046	55-64	3417
POA2046	65-74	2722
POA2046	75-84	1675
POA2046	85+	885
POA2047	0-4	672
POA2047	5-14	1206
POA2047	15-19	525
POA2047	20-24	556
POA2047	25-34	1719
POA2047	35-44	1798
POA2047	45-54	1699
POA2047	55-64	1488
POA2047	65-74	1190
POA2047	75-84	746
POA2047	85+	406
POA2048	0-4	305
POA2048	5-14	688
POA2048	15-19	340
POA2048	20-24	568
POA2048	25-34	1657
POA2048	35-44	1219
POA2048	45-54	1160
POA2048	55-64	749
POA2048	65-74	479
POA2048	75-84	324
POA2048	85+	130
POA2049	0-4	553
POA2049	5-14	1035
POA2049	15-19	499
POA2049	20-24	894
POA2049	25-34	2918
POA2049	35-44	2090
POA2049	45-54	1669
POA2049	55-64	1176
POA2049	65-74	810
POA2049	75-84	430
POA2049	85+	200
POA2050	0-4	322
POA2050	5-14	403
POA2050	15-19	584
POA2050	20-24	1223
POA2050	25-34	2612
POA2050	35-44	1696
POA2050	45-54	1117
POA2050	55-64	761
POA2050	65-74	438
POA2050	75-84	173
POA2050	85+	51
POA2060	0-4	646
POA2060	5-14	928
POA2060	15-19	481
POA2060	20-24	843
POA2060	25-34	3627
POA2060	35-44	2688
POA2060	45-54	1770
POA2060	55-64	1625
POA2060	65-74	1348
POA2060	75-84	906
POA2060	85+	273
POA2061	0-4	166
POA2061	5-14	219
POA2061	15-19	119
POA2061	20-24	275
POA2061	25-34	1389
POA2061	35-44	946
POA2061	45-54	734
POA2061	55-64	851
POA2061	65-74	764
POA2061	75-84	538
POA2061	85+	155
POA2062	0-4	432
POA2062	5-14	888
POA2062	15-19	282
POA2062	20-24	226
POA2062	25-34	1058
POA2062	35-44	1247
POA2062	45-54	1083
POA2062	55-64	766
POA2062	65-74	652
POA2062	75-84	362
POA2062	85+	91
POA2063	0-4	265
POA2063	5-14	1064
POA2063	15-19	508
POA2063	20-24	291
POA2063	25-34	361
POA2063	35-44	764
POA2063	45-54	1041
POA2063	55-64	850
POA2063	65-74	669
POA2063	75-84	412
POA2063	85+	270
POA2064	0-4	517
POA2064	5-14	1339
POA2064	15-19	402
POA2064	20-24	477
POA2064	25-34	1464
POA2064	35-44	1926
POA2064	45-54	1230
POA2064	55-64	874
POA2064	65-74	702
POA2064	75-84	345
POA2064	85+	156
POA2065	0-4	1831
POA2065	5-14	2768
POA2065	15-19	1007
