POA_CODE_2021	MotorVehicles.min	occupied_private_dwellings
POA2262	4	529
POA2263		163
POA2263	0	852
POA2263	1	4281
POA2263	2	3197
POA2263	3	980
POA2263	4	544
POA2264		87
POA2264	0	276
POA2264	1	2271
POA2264	2	2290
POA2264	3	832
POA2264	4	518
POA2265		32
POA2265	0	109
POA2265	1	835
POA2265	2	978
POA2265	3	391
POA2265	4	294
POA2267		8
POA2267	0	49
POA2267	1	414
POA2267	2	479
POA2267	3	165
POA2267	4	82
POA2278		6
POA2278	0	18
POA2278	1	178
POA2278	2	342
POA2278	3	180
POA2278	4	161
POA2280		121
POA2280	0	613
POA2280	1	3404
POA2280	2	4099
POA2280	3	1407
POA2280	4	864
POA2281		88
POA2281	0	363
POA2281	1	2099
POA2281	2	2391
POA2281	3	726
POA2281	4	423
POA2282		30
POA2282	0	199
POA2282	1	2039
POA2282	2	2560
POA2282	3	850
POA2282	4	500
POA2283		120
POA2283	0	477
POA2283	1	3145
POA2283	2	3598
POA2283	3	1323
POA2283	4	764
POA2284		60
POA2284	0	235
POA2284	1	1600
POA2284	2	1851
POA2284	3	657
POA2284	4	354
POA2285		106
POA2285	0	592
POA2285	1	3789
POA2285	2	5120
POA2285	3	1736
POA2285	4	948
POA2286		16
POA2286	0	41
POA2286	1	501
POA2286	2	679
POA2286	3	274
POA2286	4	191
POA2287		136
POA2287	0	792
POA2287	1	4898
POA2287	2	6046
POA2287	3	1892
POA2287	4	1058
POA2289		56
POA2289	0	393
POA2289	1	2384
POA2289	2	3207
POA2289	3	919
POA2289	4	494
POA2290		148
POA2290	0	770
POA2290	1	4544
POA2290	2	5361
POA2290	3	1601
POA2290	4	856
POA2291		44
POA2291	0	332
POA2291	1	1813
POA2291	2	2249
POA2291	3	674
POA2291	4	366
POA2292		8
POA2292	0	86
POA2292	1	449
POA2292	2	380
POA2292	3	120
POA2292	4	40
POA2293		11
POA2293	0	92
POA2293	1	701
POA2293	2	547
POA2293	3	106
POA2293	4	45
POA2294		8
POA2294	0	71
POA2294	1	361
POA2294	2	332
POA2294	3	73
POA2294	4	18
POA2295		45
POA2295	0	220
POA2295	1	1291
POA2295	2	1187
POA2295	3	328
POA2295	4	168
POA2296		10
POA2296	0	89
POA2296	1	413
POA2296	2	299
POA2296	3	74
POA2296	4	28
POA2297		4
POA2297	0	38
