POA_CODE_2021	Age5yr	Indigenous	persons
POA0836	15-19		46
POA0836	15-19	0	387
POA0836	15-19	1	56
POA0836	20-24		22
POA0836	20-24	0	303
POA0836	20-24	1	40
POA0836	25-29		29
POA0836	25-29	0	311
POA0836	25-29	1	35
POA0836	30-34		38
POA0836	30-34	0	423
POA0836	30-34	1	37
POA0836	35-39		41
POA0836	35-39	0	494
POA0836	35-39	1	34
POA0836	40-44		48
POA0836	40-44	0	447
POA0836	40-44	1	41
POA0836	45-49		56
POA0836	45-49	0	513
POA0836	45-49	1	43
POA0836	50-54		72
POA0836	50-54	0	617
POA0836	50-54	1	31
POA0836	55-59		52
POA0836	55-59	0	515
POA0836	55-59	1	27
POA0836	60-64		35
POA0836	60-64	0	404
POA0836	60-64	1	23
POA0836	65+		57
POA0836	65+	0	700
POA0836	65+	1	35
POA0837	0-4		11
POA0837	0-4	0	10
POA0837	0-4	1	6
POA0837	5-9		10
POA0837	5-9	0	14
POA0837	5-9	1	7
POA0837	10-14		10
POA0837	10-14	0	19
POA0837	10-14	1	5
POA0837	15-19		3
POA0837	15-19	0	9
POA0837	15-19	1	5
POA0837	20-24	0	15
POA0837	20-24	1	7
POA0837	25-29		7
POA0837	25-29	0	10
POA0837	25-29	1	12
POA0837	30-34		11
POA0837	30-34	0	17
POA0837	30-34	1	3
POA0837	35-39		8
POA0837	35-39	0	18
POA0837	35-39	1	13
POA0837	40-44		11
POA0837	40-44	0	21
POA0837	40-44	1	11
POA0837	45-49		6
POA0837	45-49	0	15
POA0837	45-49	1	5
POA0837	50-54		3
POA0837	50-54	0	22
POA0837	50-54	1	3
POA0837	55-59		6
POA0837	55-59	0	36
POA0837	55-59	1	3
POA0837	60-64		4
POA0837	60-64	0	30
POA0837	60-64	1	13
POA0837	65+		23
POA0837	65+	0	57
POA0837	65+	1	8
POA0838	0-4		8
POA0838	0-4	0	40
POA0838	0-4	1	14
POA0838	5-9		14
POA0838	5-9	0	59
POA0838	5-9	1	3
POA0838	10-14		15
POA0838	10-14	0	51
POA0838	10-14	1	12
POA0838	15-19		3
POA0838	15-19	0	28
POA0838	15-19	1	4
POA0838	20-24		9
POA0838	20-24	0	18
POA0838	20-24	1	8
POA0838	25-29		7
POA0838	25-29	0	32
POA0838	25-29	1	8
POA0838	30-34		16
