POA_CODE_2021	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
POA0820	75-84	1	F	31
POA0820	75-84	1	M	33
POA0820	85+		F	26
POA0820	85+		M	19
POA0820	85+	0	F	52
POA0820	85+	0	M	57
POA0820	85+	1	F	4
POA0820	85+	1	M	9
POA0822	15-19		F	119
POA0822	15-19		M	143
POA0822	15-19	0	F	842
POA0822	15-19	0	M	963
POA0822	15-19	1	F	126
POA0822	15-19	1	M	110
POA0822	20-24		F	78
POA0822	20-24		M	92
POA0822	20-24	0	F	806
POA0822	20-24	0	M	858
POA0822	20-24	1	F	163
POA0822	20-24	1	M	146
POA0822	25-34		F	223
POA0822	25-34		M	217
POA0822	25-34	0	F	1620
POA0822	25-34	0	M	1621
POA0822	25-34	1	F	326
POA0822	25-34	1	M	250
POA0822	35-44		F	181
POA0822	35-44		M	209
POA0822	35-44	0	F	1345
POA0822	35-44	0	M	1347
POA0822	35-44	1	F	301
POA0822	35-44	1	M	219
POA0822	45-54		F	158
POA0822	45-54		M	166
POA0822	45-54	0	F	1220
POA0822	45-54	0	M	1221
POA0822	45-54	1	F	240
POA0822	45-54	1	M	161
POA0822	55-64		F	143
POA0822	55-64		M	159
POA0822	55-64	0	F	876
POA0822	55-64	0	M	936
POA0822	55-64	1	F	169
POA0822	55-64	1	M	128
POA0822	65-74		F	96
POA0822	65-74		M	97
POA0822	65-74	0	F	430
POA0822	65-74	0	M	504
POA0822	65-74	1	F	83
POA0822	65-74	1	M	53
POA0822	75-84		F	20
POA0822	75-84		M	48
POA0822	75-84	0	F	131
POA0822	75-84	0	M	165
POA0822	75-84	1	F	15
POA0822	75-84	1	M	8
POA0822	85+		F	3
POA0822	85+		M	8
POA0822	85+	0	F	23
POA0822	85+	0	M	12
POA0822	85+	1	F	5
POA0828	15-19		F	20
POA0828	15-19		M	19
POA0828	15-19	0	F	53
POA0828	15-19	0	M	57
POA0828	15-19	1	F	3
POA0828	15-19	1	M	5
POA0828	20-24		M	8
POA0828	20-24	0	F	37
POA0828	20-24	0	M	46
POA0828	20-24	1	M	4
POA0828	25-34		F	16
POA0828	25-34		M	17
POA0828	25-34	0	F	123
POA0828	25-34	0	M	113
POA0828	25-34	1	F	11
POA0828	25-34	1	M	13
POA0828	35-44		F	9
POA0828	35-44		M	11
POA0828	35-44	0	F	94
POA0828	35-44	0	M	112
POA0828	35-44	1	F	20
POA0828	35-44	1	M	6
POA0828	45-54		F	19
POA0828	45-54		M	22
POA0828	45-54	0	F	78
POA0828	45-54	0	M	92
POA0828	45-54	1	F	9
POA0828	45-54	1	M	12
POA0828	55-64		F	17
POA0828	55-64		M	19
POA0828	55-64	0	F	65
POA0828	55-64	0	M	65
POA0828	55-64	1	F	23
POA0828	55-64	1	M	4
POA0828	65-74		F	3
POA0828	65-74		M	12
POA0828	65-74	0	F	28
POA0828	65-74	0	M	42
POA0828	65-74	1	F	5
POA0828	65-74	1	M	10
POA0828	75-84		M	4
POA0828	75-84	0	F	12
POA0828	75-84	0	M	19
POA0828	75-84	1	F	3
POA0829	15-19		F	4
POA0829	15-19		M	42
POA0829	15-19	0	F	16
POA0829	15-19	0	M	44
POA0829	20-24		F	9
POA0829	20-24		M	164
POA0829	20-24	0	F	41
POA0829	20-24	0	M	228
POA0829	20-24	1	M	4
POA0829	25-34		F	34
POA0829	25-34		M	374
POA0829	25-34	0	F	27
POA0829	25-34	0	M	142
POA0829	25-34	1	F	6
POA0829	25-34	1	M	5
POA0829	35-44		F	36
POA0829	35-44		M	280
POA0829	35-44	0	F	19
POA0829	35-44	0	M	38
POA0829	45-54		F	11
POA0829	45-54		M	170
POA0829	45-54	0	F	16
POA0829	45-54	0	M	27
POA0829	45-54	1	F	3
POA0829	55-64		F	6
POA0829	55-64		M	46
POA0829	55-64	0	F	24
POA0829	55-64	0	M	30
POA0829	55-64	1	F	7
POA0829	55-64	1	M	3
POA0829	65-74		F	9
POA0829	65-74		M	20
POA0829	65-74	0	F	10
POA0829	65-74	0	M	15
POA0829	65-74	1	M	4
POA0829	75-84		M	4
POA0829	75-84	0	M	5
POA0829	85+		M	3
POA0830	15-19		F	60
POA0830	15-19		M	70
POA0830	15-19	0	F	444
POA0830	15-19	0	M	456
POA0830	15-19	1	F	31
POA0830	15-19	1	M	23
POA0830	20-24		F	65
POA0830	20-24		M	85
POA0830	20-24	0	F	437
POA0830	20-24	0	M	519
POA0830	20-24	1	F	33
POA0830	20-24	1	M	26
POA0830	25-34		F	172
POA0830	25-34		M	227
POA0830	25-34	0	F	1262
POA0830	25-34	0	M	1153
POA0830	25-34	1	F	165
POA0830	25-34	1	M	100
POA0830	35-44		F	167
POA0830	35-44		M	181
POA0830	35-44	0	F	1137
POA0830	35-44	0	M	1018
POA0830	35-44	1	F	188
POA0830	35-44	1	M	123
POA0830	45-54		F	121
POA0830	45-54		M	164
POA0830	45-54	0	F	901
POA0830	45-54	0	M	973
POA0830	45-54	1	F	197
POA0830	45-54	1	M	120
POA0830	55-64		F	94
POA0830	55-64		M	102
POA0830	55-64	0	F	654
POA0830	55-64	0	M	775
POA0830	55-64	1	F	162
POA0830	55-64	1	M	89
POA0830	65-74		F	61
POA0830	65-74		M	57
POA0830	65-74	0	F	401
POA0830	65-74	0	M	453
POA0830	65-74	1	F	67
POA0830	65-74	1	M	45
POA0830	75-84		F	25
POA0830	75-84		M	31
POA0830	75-84	0	F	153
POA0830	75-84	0	M	131
POA0830	75-84	1	F	13
POA0830	75-84	1	M	7
POA0830	85+		F	7
POA0830	85+		M	8
POA0830	85+	0	F	56
POA0830	85+	0	M	40
POA0832	15-19		F	43
POA0832	15-19		M	48
POA0832	15-19	0	F	520
POA0832	15-19	0	M	522
POA0832	15-19	1	F	25
POA0832	15-19	1	M	26
POA0832	20-24		F	57
POA0832	20-24		M	63
POA0832	20-24	0	F	585
POA0832	20-24	0	M	581
POA0832	20-24	1	F	37
POA0832	20-24	1	M	29
POA0832	25-34		F	181
POA0832	25-34		M	164
POA0832	25-34	0	F	1671
POA0832	25-34	0	M	1537
POA0832	25-34	1	F	183
POA0832	25-34	1	M	83
POA0832	35-44		F	129
POA0832	35-44		M	152
POA0832	35-44	0	F	1363
POA0832	35-44	0	M	1293
POA0832	35-44	1	F	205
POA0832	35-44	1	M	135
POA0832	45-54		F	75
POA0832	45-54		M	102
POA0832	45-54	0	F	843
POA0832	45-54	0	M	870
POA0832	45-54	1	F	136
POA0832	45-54	1	M	106
POA0832	55-64		F	43
POA0832	55-64		M	50
POA0832	55-64	0	F	498
POA0832	55-64	0	M	480
POA0832	55-64	1	F	74
POA0832	55-64	1	M	52
POA0832	65-74		F	32
POA0832	65-74		M	22
POA0832	65-74	0	F	253
POA0832	65-74	0	M	215
POA0832	65-74	1	F	41
POA0832	65-74	1	M	28
POA0832	75-84		F	10
POA0832	75-84		M	7
POA0832	75-84	0	F	85
POA0832	75-84	0	M	81
POA0832	75-84	1	F	4
POA0832	75-84	1	M	8
POA0832	85+		F	3
POA0832	85+	0	F	25
POA0832	85+	0	M	13
POA0832	85+	1	F	6
POA0834	15-19		F	4
POA0834	15-19		M	9
POA0834	15-19	0	F	58
POA0834	15-19	0	M	50
POA0834	15-19	1	F	3
POA0834	15-19	1	M	4
POA0834	20-24	0	F	35
POA0834	20-24	0	M	44
POA0834	25-34		F	8
POA0834	25-34		M	12
POA0834	25-34	0	F	75
POA0834	25-34	0	M	83
POA0834	25-34	1	F	4
POA0834	25-34	1	M	4
POA0834	35-44		F	8
POA0834	35-44		M	10
POA0834	35-44	0	F	90
POA0834	35-44	0	M	89
POA0834	35-44	1	F	16
POA0834	35-44	1	M	8
POA0834	45-54		F	18
POA0834	45-54		M	20
POA0834	45-54	0	F	121
POA0834	45-54	0	M	131
POA0834	45-54	1	F	17
POA0834	45-54	1	M	27
POA0834	55-64		F	7
POA0834	55-64		M	13
POA0834	55-64	0	F	119
POA0834	55-64	0	M	122
POA0834	55-64	1	F	22
POA0834	55-64	1	M	13
POA0834	65-74		F	11
POA0834	65-74		M	12
POA0834	65-74	0	F	72
POA0834	65-74	0	M	92
POA0834	65-74	1	F	3
POA0834	65-74	1	M	13
POA0834	75-84		F	4
POA0834	75-84	0	F	16
POA0834	75-84	0	M	21
POA0834	85+		F	5
POA0834	85+	0	F	5
POA0834	85+	0	M	3
POA0835	15-19		F	9
POA0835	15-19		M	8
POA0835	15-19	0	F	83
POA0835	15-19	0	M	85
POA0835	15-19	1	F	5
POA0835	15-19	1	M	3
POA0835	20-24		F	11
POA0835	20-24		M	5
POA0835	20-24	0	F	59
POA0835	20-24	0	M	69
POA0835	20-24	1	M	9
POA0835	25-34		F	12
POA0835	25-34		M	18
POA0835	25-34	0	F	139
POA0835	25-34	0	M	148
POA0835	25-34	1	F	12
POA0835	25-34	1	M	12
POA0835	35-44		F	21
POA0835	35-44		M	16
POA0835	35-44	0	F	158
POA0835	35-44	0	M	182
POA0835	35-44	1	F	21
POA0835	35-44	1	M	9
POA0835	45-54		F	19
POA0835	45-54		M	26
POA0835	45-54	0	F	201
POA0835	45-54	0	M	209
POA0835	45-54	1	F	42
POA0835	45-54	1	M	20
POA0835	55-64		F	21
POA0835	55-64		M	23
POA0835	55-64	0	F	175
POA0835	55-64	0	M	213
POA0835	55-64	1	F	36
POA0835	55-64	1	M	30
POA0835	65-74		F	18
POA0835	65-74		M	13
POA0835	65-74	0	F	110
POA0835	65-74	0	M	137
POA0835	65-74	1	F	25
POA0835	65-74	1	M	19
POA0835	75-84		F	3
POA0835	75-84		M	12
POA0835	75-84	0	F	40
POA0835	75-84	0	M	66
POA0835	75-84	1	F	8
POA0835	75-84	1	M	7
POA0835	85+	0	F	9
POA0835	85+	0	M	7
POA0836	15-19		F	20
POA0836	15-19		M	29
POA0836	15-19	0	F	184
POA0836	15-19	0	M	231
POA0836	15-19	1	F	16
POA0836	15-19	1	M	13
POA0836	20-24		F	15
POA0836	20-24		M	18
POA0836	20-24	0	F	148
POA0836	20-24	0	M	164
POA0836	20-24	1	F	12
POA0836	20-24	1	M	8
POA0836	25-34		F	28
POA0836	25-34		M	53
POA0836	25-34	0	F	356
POA0836	25-34	0	M	373
POA0836	25-34	1	F	46
POA0836	25-34	1	M	23
POA0836	35-44		F	57
POA0836	35-44		M	53
POA0836	35-44	0	F	462
POA0836	35-44	0	M	416
POA0836	35-44	1	F	81
POA0836	35-44	1	M	36
POA0836	45-54		F	50
POA0836	45-54		M	75
POA0836	45-54	0	F	507
POA0836	45-54	0	M	556
POA0836	45-54	1	F	79
POA0836	45-54	1	M	60
POA0836	55-64		F	36
POA0836	55-64		M	57
POA0836	55-64	0	F	362
POA0836	55-64	0	M	457
POA0836	55-64	1	F	71
POA0836	55-64	1	M	56
POA0836	65-74		F	21
POA0836	65-74		M	36
POA0836	65-74	0	F	206
POA0836	65-74	0	M	274
POA0836	65-74	1	F	28
POA0836	65-74	1	M	29
POA0836	75-84		F	3
POA0836	75-84		M	9
POA0836	75-84	0	F	49
POA0836	75-84	0	M	73
POA0836	75-84	1	F	13
POA0836	75-84	1	M	10
POA0836	85+	0	F	14
POA0836	85+	0	M	15
POA0836	85+	1	M	3
POA0837	15-19		F	6
POA0837	15-19		M	3
POA0837	15-19	0	F	3
POA0837	15-19	0	M	4
POA0837	20-24	0	F	9
POA0837	20-24	0	M	4
POA0837	25-34		F	9
POA0837	25-34		M	12
POA0837	25-34	0	F	10
POA0837	25-34	0	M	28
POA0837	25-34	1	F	3
POA0837	35-44		F	7
POA0837	35-44		M	12
POA0837	35-44	0	F	18
POA0837	35-44	0	M	34
POA0837	35-44	1	F	3
POA0837	45-54		F	8
POA0837	45-54		M	5
POA0837	45-54	0	F	19
POA0837	45-54	0	M	21
POA0837	45-54	1	F	5
POA0837	55-64		F	8
POA0837	55-64		M	8
POA0837	55-64	0	F	28
POA0837	55-64	0	M	37
POA0837	55-64	1	F	8
POA0837	55-64	1	M	4
POA0837	65-74		F	10
POA0837	65-74		M	14
POA0837	65-74	0	F	15
POA0837	65-74	0	M	23
POA0837	65-74	1	F	4
POA0837	75-84		F	3
POA0837	75-84	0	F	5
POA0837	75-84	0	M	7
POA0838	15-19		F	5
POA0838	15-19		M	5
POA0838	15-19	0	F	14
POA0838	15-19	0	M	19
POA0838	15-19	1	M	4
POA0838	20-24		F	6
POA0838	20-24		M	4
POA0838	20-24	0	F	10
POA0838	20-24	0	M	11
POA0838	25-34		F	7
POA0838	25-34		M	16
POA0838	25-34	0	F	35
POA0838	25-34	0	M	31
POA0838	25-34	1	F	9
POA0838	25-34	1	M	3
POA0838	35-44		F	6
POA0838	35-44		M	9
POA0838	35-44	0	F	53
POA0838	35-44	0	M	58
POA0838	35-44	1	F	6
POA0838	35-44	1	M	4
POA0838	45-54		F	5
POA0838	45-54		M	12
POA0838	45-54	0	F	37
POA0838	45-54	0	M	43
POA0838	45-54	1	F	17
POA0838	55-64		F	7
POA0838	55-64		M	9
POA0838	55-64	0	F	32
POA0838	55-64	0	M	68
POA0838	55-64	1	F	15
POA0838	55-64	1	M	5
POA0838	65-74		F	8
POA0838	65-74		M	5
POA0838	65-74	0	F	29
POA0838	65-74	0	M	34
POA0838	65-74	1	F	9
POA0838	65-74	1	M	8
POA0838	75-84	0	F	10
POA0838	75-84	0	M	7
POA0839	15-19	0	F	3
POA0839	15-19	0	M	9
POA0839	20-24		F	3
POA0839	20-24	0	F	30
POA0839	20-24	0	M	30
POA0839	25-34		F	9
POA0839	25-34		M	9
POA0839	25-34	0	F	70
POA0839	25-34	0	M	42
POA0839	25-34	1	F	7
POA0839	25-34	1	M	4
POA0839	35-44		F	8
POA0839	35-44		M	3
POA0839	35-44	0	F	21
POA0839	35-44	0	M	21
POA0839	45-54		F	5
POA0839	45-54		M	6
POA0839	45-54	0	F	23
POA0839	45-54	0	M	15
POA0839	55-64		F	4
POA0839	55-64		M	6
POA0839	55-64	0	F	12
POA0839	55-64	0	M	10
POA0839	65-74		F	6
POA0839	65-74		M	4
POA0839	65-74	0	F	15
POA0839	65-74	0	M	17
POA0839	65-74	1	F	3
POA0839	65-74	1	M	3
POA0839	75-84	0	F	5
POA0839	75-84	0	M	3
POA0839	75-84	1	F	3
POA0840	15-19		M	3
POA0840	25-34	0	F	5
POA0840	25-34	1	F	5
POA0840	35-44		F	3
POA0840	35-44		M	10
POA0840	35-44	0	F	13
POA0840	35-44	0	M	13
POA0840	35-44	1	F	9
POA0840	45-54		F	3
POA0840	45-54		M	15
POA0840	45-54	0	F	13
POA0840	45-54	0	M	35
POA0840	45-54	1	F	9
POA0840	45-54	1	M	3
POA0840	55-64		F	10
POA0840	55-64		M	5
POA0840	55-64	0	F	36
POA0840	55-64	0	M	45
POA0840	55-64	1	F	5
POA0840	55-64	1	M	6
POA0840	65-74		F	6
POA0840	65-74		M	7
POA0840	65-74	0	F	40
POA0840	65-74	0	M	71
POA0840	65-74	1	F	11
POA0840	65-74	1	M	6
POA0840	75-84		M	4
POA0840	75-84	0	F	10
POA0840	75-84	0	M	16
POA0841	15-19		M	3
POA0841	15-19	0	F	9
POA0841	15-19	0	M	14
POA0841	20-24	0	F	8
POA0841	20-24	0	M	11
POA0841	25-34		F	3
POA0841	25-34		M	3
POA0841	25-34	0	F	16
POA0841	25-34	0	M	22
POA0841	25-34	1	F	3
POA0841	25-34	1	M	5
POA0841	35-44		F	5
POA0841	35-44		M	6
POA0841	35-44	0	F	27
POA0841	35-44	0	M	34
POA0841	35-44	1	F	6
POA0841	35-44	1	M	4
POA0841	45-54		F	17
POA0841	45-54		M	20
POA0841	45-54	0	F	34
POA0841	45-54	0	M	51
POA0841	45-54	1	F	3
POA0841	45-54	1	M	5
POA0841	55-64		F	6
POA0841	55-64		M	14
POA0841	55-64	0	F	30
POA0841	55-64	0	M	53
POA0841	55-64	1	F	5
POA0841	65-74		F	3
POA0841	65-74		M	3
POA0841	65-74	0	F	21
POA0841	65-74	0	M	39
POA0841	65-74	1	F	3
POA0841	75-84	0	F	8
POA0841	75-84	0	M	20
POA0845	15-19		F	9
POA0845	15-19	0	F	8
POA0845	15-19	0	M	4
POA0845	20-24	0	F	4
POA0845	20-24	0	M	4
POA0845	25-34		F	9
POA0845	25-34		M	4
POA0845	25-34	0	F	11
POA0845	25-34	0	M	11
POA0845	25-34	1	F	4
POA0845	35-44		F	12
POA0845	35-44		M	9
POA0845	35-44	0	F	14
POA0845	35-44	0	M	9
POA0845	35-44	1	F	3
POA0845	45-54		F	6
POA0845	45-54		M	9
POA0845	45-54	0	F	24
POA0845	45-54	0	M	20
POA0845	45-54	1	F	5
POA0845	45-54	1	M	3
POA0845	55-64		M	8
POA0845	55-64	0	F	17
POA0845	55-64	0	M	29
POA0845	55-64	1	F	6
POA0845	55-64	1	M	4
POA0845	65-74		F	8
POA0845	65-74		M	5
POA0845	65-74	0	F	21
POA0845	65-74	0	M	24
POA0845	65-74	1	M	6
POA0845	75-84	0	F	4
POA0845	75-84	0	M	8
POA0846	15-19	0	F	5
POA0846	20-24	0	F	7
POA0846	25-34		F	10
POA0846	25-34		M	8
POA0846	25-34	0	F	14
POA0846	25-34	0	M	14
POA0846	25-34	1	F	3
POA0846	35-44		F	3
POA0846	35-44		M	4
POA0846	35-44	0	F	3
POA0846	35-44	0	M	9
POA0846	35-44	1	F	3
POA0846	45-54		F	6
POA0846	45-54		M	5
POA0846	45-54	0	F	9
POA0846	45-54	0	M	10
POA0846	45-54	1	F	4
POA0846	45-54	1	M	4
POA0846	55-64		F	11
POA0846	55-64		M	5
POA0846	55-64	0	F	13
POA0846	55-64	0	M	20
POA0846	55-64	1	F	3
POA0846	65-74		F	5
POA0846	65-74		M	9
POA0846	65-74	0	F	18
POA0846	65-74	0	M	16
POA0846	65-74	1	M	5
POA0846	75-84		F	4
POA0846	75-84		M	5
POA0846	75-84	0	F	7
POA0846	75-84	0	M	16
POA0846	85+	0	M	3
POA0847	15-19		F	4
POA0847	15-19		M	10
POA0847	15-19	0	F	6
POA0847	15-19	0	M	10
POA0847	20-24		F	3
POA0847	20-24		M	5
POA0847	20-24	0	F	4
POA0847	20-24	0	M	8
POA0847	25-34		M	5
POA0847	25-34	0	F	21
POA0847	25-34	0	M	15
POA0847	25-34	1	F	6
POA0847	35-44		F	5
POA0847	35-44		M	4
POA0847	35-44	0	F	7
POA0847	35-44	0	M	7
POA0847	45-54		F	5
POA0847	45-54		M	8
POA0847	45-54	0	F	16
POA0847	45-54	0	M	17
POA0847	55-64		F	3
POA0847	55-64		M	4
POA0847	55-64	0	F	11
POA0847	55-64	0	M	25
POA0847	65-74		F	4
POA0847	65-74	0	F	11
POA0847	65-74	0	M	16
POA0847	75-84	0	F	3
POA0847	75-84	0	M	5
POA0850	15-19		F	59
POA0850	15-19		M	49
POA0850	15-19	0	F	141
POA0850	15-19	0	M	157
POA0850	15-19	1	F	16
POA0850	15-19	1	M	21
POA0850	20-24		F	33
POA0850	20-24		M	47
POA0850	20-24	0	F	195
POA0850	20-24	0	M	212
POA0850	20-24	1	F	25
POA0850	20-24	1	M	15
POA0850	25-34		F	111
POA0850	25-34		M	125
POA0850	25-34	0	F	592
POA0850	25-34	0	M	527
POA0850	25-34	1	F	60
POA0850	25-34	1	M	35
POA0850	35-44		F	96
POA0850	35-44		M	99
POA0850	35-44	0	F	405
POA0850	35-44	0	M	393
POA0850	35-44	1	F	67
POA0850	35-44	1	M	35
POA0850	45-54		F	86
POA0850	45-54		M	83
POA0850	45-54	0	F	380
POA0850	45-54	0	M	342
POA0850	45-54	1	F	54
POA0850	45-54	1	M	41
POA0850	55-64		F	63
POA0850	55-64		M	97
POA0850	55-64	0	F	319
POA0850	55-64	0	M	323
POA0850	55-64	1	F	60
POA0850	55-64	1	M	34
POA0850	65-74		F	32
POA0850	65-74		M	50
POA0850	65-74	0	F	167
POA0850	65-74	0	M	225
POA0850	65-74	1	F	24
POA0850	65-74	1	M	26
POA0850	75-84		F	15
POA0850	75-84		M	18
POA0850	75-84	0	F	64
POA0850	75-84	0	M	95
POA0850	75-84	1	F	10
POA0850	75-84	1	M	9
POA0850	85+		F	3
POA0850	85+		M	5
POA0850	85+	0	F	16
POA0850	85+	0	M	11
POA0852	15-19		F	54
POA0852	15-19		M	54
POA0852	15-19	0	F	301
POA0852	15-19	0	M	321
POA0852	15-19	1	F	39
POA0852	15-19	1	M	29
POA0852	20-24		F	70
POA0852	20-24		M	102
POA0852	20-24	0	F	318
POA0852	20-24	0	M	304
POA0852	20-24	1	F	50
POA0852	20-24	1	M	59
POA0852	25-34		F	74
POA0852	25-34		M	138
POA0852	25-34	0	F	554
POA0852	25-34	0	M	562
POA0852	25-34	1	F	102
POA0852	25-34	1	M	90
POA0852	35-44		F	56
POA0852	35-44		M	103
POA0852	35-44	0	F	418
POA0852	35-44	0	M	401
POA0852	35-44	1	F	87
POA0852	35-44	1	M	57
POA0852	45-54		F	63
POA0852	45-54		M	89
POA0852	45-54	0	F	341
POA0852	45-54	0	M	334
POA0852	45-54	1	F	88
POA0852	45-54	1	M	59
POA0852	55-64		F	50
POA0852	55-64		M	68
POA0852	55-64	0	F	254
POA0852	55-64	0	M	253
POA0852	55-64	1	F	60
POA0852	55-64	1	M	37
POA0852	65-74		F	23
POA0852	65-74		M	44
POA0852	65-74	0	F	132
POA0852	65-74	0	M	168
POA0852	65-74	1	F	19
POA0852	65-74	1	M	10
POA0852	75-84		F	6
POA0852	75-84		M	8
POA0852	75-84	0	F	42
POA0852	75-84	0	M	38
POA0852	75-84	1	F	4
POA0852	85+	0	F	8
POA0852	85+	0	M	9
POA0853	15-19		M	3
POA0853	15-19	0	F	5
POA0853	15-19	0	M	7
POA0853	20-24		F	3
POA0853	20-24		M	11
POA0853	20-24	0	F	34
POA0853	20-24	0	M	43
POA0853	25-34		F	7
POA0853	25-34		M	21
POA0853	25-34	0	F	107
POA0853	25-34	0	M	119
POA0853	25-34	1	F	3
