GCCSA_NAME21	AgeChild	CoupleFamily	ParentsBornAus	children
Rest of NSW	15-17	0	Neither	1004
Rest of NSW	15-17	1		138
Rest of NSW	15-17	1	Both	43783
Rest of NSW	15-17	1	Father only	3474
Rest of NSW	15-17	1	Mother only	3844
Rest of NSW	15-17	1	Neither	4505
Rest of NSW	18-20	0		56
Rest of NSW	18-20	0	Both	3198
Rest of NSW	18-20	0	Father only	267
Rest of NSW	18-20	0	Mother only	447
Rest of NSW	18-20	0	Neither	410
Rest of NSW	18-20	1		24
Rest of NSW	18-20	1	Both	11508
Rest of NSW	18-20	1	Father only	1054
Rest of NSW	18-20	1	Mother only	1195
Rest of NSW	18-20	1	Neither	1887
Rest of NSW	21-24	0		16
Rest of NSW	21-24	0	Both	1172
Rest of NSW	21-24	0	Father only	136
Rest of NSW	21-24	0	Mother only	202
Rest of NSW	21-24	0	Neither	223
Rest of NSW	21-24	1		13
Rest of NSW	21-24	1	Both	4303
Rest of NSW	21-24	1	Father only	408
Rest of NSW	21-24	1	Mother only	458
Rest of NSW	21-24	1	Neither	813
Greater Melbourne	0-4	0		1054
Greater Melbourne	0-4	0	Both	12433
Greater Melbourne	0-4	0	Father only	1865
Greater Melbourne	0-4	0	Mother only	3390
Greater Melbourne	0-4	0	Neither	7280
Greater Melbourne	0-4	1		1066
Greater Melbourne	0-4	1	Both	100827
Greater Melbourne	0-4	1	Father only	23100
Greater Melbourne	0-4	1	Mother only	21716
Greater Melbourne	0-4	1	Neither	104152
Greater Melbourne	5-9	0		1229
Greater Melbourne	5-9	0	Both	19810
Greater Melbourne	5-9	0	Father only	3400
Greater Melbourne	5-9	0	Mother only	4804
Greater Melbourne	5-9	0	Neither	12613
Greater Melbourne	5-9	1		1121
Greater Melbourne	5-9	1	Both	98096
Greater Melbourne	5-9	1	Father only	21444
Greater Melbourne	5-9	1	Mother only	20768
Greater Melbourne	5-9	1	Neither	108986
Greater Melbourne	10-12	0		653
Greater Melbourne	10-12	0	Both	14166
Greater Melbourne	10-12	0	Father only	2352
Greater Melbourne	10-12	0	Mother only	3442
Greater Melbourne	10-12	0	Neither	8873
Greater Melbourne	10-12	1		545
Greater Melbourne	10-12	1	Both	59428
Greater Melbourne	10-12	1	Father only	11213
Greater Melbourne	10-12	1	Mother only	12126
Greater Melbourne	10-12	1	Neither	55327
Greater Melbourne	13-14	0		459
Greater Melbourne	13-14	0	Both	10718
Greater Melbourne	13-14	0	Father only	1791
Greater Melbourne	13-14	0	Mother only	2566
Greater Melbourne	13-14	0	Neither	6877
Greater Melbourne	13-14	1		328
Greater Melbourne	13-14	1	Both	40028
Greater Melbourne	13-14	1	Father only	6967
Greater Melbourne	13-14	1	Mother only	7981
Greater Melbourne	13-14	1	Neither	32921
Greater Melbourne	15-17	0		343
Greater Melbourne	15-17	0	Both	14536
Greater Melbourne	15-17	0	Father only	2536
Greater Melbourne	15-17	0	Mother only	3529
Greater Melbourne	15-17	0	Neither	9833
Greater Melbourne	15-17	1		216
Greater Melbourne	15-17	1	Both	52792
Greater Melbourne	15-17	1	Father only	8567
Greater Melbourne	15-17	1	Mother only	10512
Greater Melbourne	15-17	1	Neither	41758
Greater Melbourne	18-20	0		147
Greater Melbourne	18-20	0	Both	6728
Greater Melbourne	18-20	0	Father only	1325
Greater Melbourne	18-20	0	Mother only	1737
Greater Melbourne	18-20	0	Neither	7089
Greater Melbourne	18-20	1		84
Greater Melbourne	18-20	1	Both	27667
Greater Melbourne	18-20	1	Father only	4801
Greater Melbourne	18-20	1	Mother only	5580
Greater Melbourne	18-20	1	Neither	27767
Greater Melbourne	21-24	0		77
Greater Melbourne	21-24	0	Both	3438
Greater Melbourne	21-24	0	Father only	725
Greater Melbourne	21-24	0	Mother only	1013
Greater Melbourne	21-24	0	Neither	4610
Greater Melbourne	21-24	1		50
Greater Melbourne	21-24	1	Both	13395
Greater Melbourne	21-24	1	Father only	2462
Greater Melbourne	21-24	1	Mother only	2925
Greater Melbourne	21-24	1	Neither	16635
Rest of Vic.	0-4	0		481
Rest of Vic.	0-4	0	Both	10021
Rest of Vic.	0-4	0	Father only	350
Rest of Vic.	0-4	0	Mother only	799
Rest of Vic.	0-4	0	Neither	476
Rest of Vic.	0-4	1		305
Rest of Vic.	0-4	1	Both	52374
Rest of Vic.	0-4	1	Father only	4155
Rest of Vic.	0-4	1	Mother only	3507
Rest of Vic.	0-4	1	Neither	6787
Rest of Vic.	5-9	0		544
Rest of Vic.	5-9	0	Both	15112
Rest of Vic.	5-9	0	Father only	676
Rest of Vic.	5-9	0	Mother only	1351
Rest of Vic.	5-9	0	Neither	771
Rest of Vic.	5-9	1		349
Rest of Vic.	5-9	1	Both	53696
Rest of Vic.	5-9	1	Father only	4100
Rest of Vic.	5-9	1	Mother only	3855
Rest of Vic.	5-9	1	Neither	6866
Rest of Vic.	10-12	0		343
Rest of Vic.	10-12	0	Both	10260
Rest of Vic.	10-12	0	Father only	550
Rest of Vic.	10-12	0	Mother only	945
Rest of Vic.	10-12	0	Neither	595
Rest of Vic.	10-12	1		205
Rest of Vic.	10-12	1	Both	32598
Rest of Vic.	10-12	1	Father only	2285
Rest of Vic.	10-12	1	Mother only	2328
Rest of Vic.	10-12	1	Neither	3558
Rest of Vic.	13-14	0		224
Rest of Vic.	13-14	0	Both	7643
Rest of Vic.	13-14	0	Father only	437
Rest of Vic.	13-14	0	Mother only	680
Rest of Vic.	13-14	0	Neither	409
Rest of Vic.	13-14	1		143
Rest of Vic.	13-14	1	Both	21927
Rest of Vic.	13-14	1	Father only	1410
Rest of Vic.	13-14	1	Mother only	1524
Rest of Vic.	13-14	1	Neither	2254
Rest of Vic.	15-17	0		143
Rest of Vic.	15-17	0	Both	8734
Rest of Vic.	15-17	0	Father only	546
Rest of Vic.	15-17	0	Mother only	798
Rest of Vic.	15-17	0	Neither	624
Rest of Vic.	15-17	1		94
Rest of Vic.	15-17	1	Both	26354
Rest of Vic.	15-17	1	Father only	1601
Rest of Vic.	15-17	1	Mother only	1866
Rest of Vic.	15-17	1	Neither	2858
Rest of Vic.	18-20	0		41
Rest of Vic.	18-20	0	Both	2155
Rest of Vic.	18-20	0	Father only	138
Rest of Vic.	18-20	0	Mother only	253
Rest of Vic.	18-20	0	Neither	292
Rest of Vic.	18-20	1		20
Rest of Vic.	18-20	1	Both	7670
Rest of Vic.	18-20	1	Father only	493
Rest of Vic.	18-20	1	Mother only	639
Rest of Vic.	18-20	1	Neither	1182
Rest of Vic.	21-24	0		9
Rest of Vic.	21-24	0	Both	763
Rest of Vic.	21-24	0	Father only	71
Rest of Vic.	21-24	0	Mother only	98
Rest of Vic.	21-24	0	Neither	144
Rest of Vic.	21-24	1		3
Rest of Vic.	21-24	1	Both	2598
Rest of Vic.	21-24	1	Father only	191
Rest of Vic.	21-24	1	Mother only	265
Rest of Vic.	21-24	1	Neither	473
Greater Brisbane	0-4	0		836
Greater Brisbane	0-4	0	Both	12604
Greater Brisbane	0-4	0	Father only	1475
Greater Brisbane	0-4	0	Mother only	2812
Greater Brisbane	0-4	0	Neither	3146
Greater Brisbane	0-4	1		546
Greater Brisbane	0-4	1	Both	60356
Greater Brisbane	0-4	1	Father only	13160
Greater Brisbane	0-4	1	Mother only	12452
Greater Brisbane	0-4	1	Neither	35065
Greater Brisbane	5-9	0		813
Greater Brisbane	5-9	0	Both	18594
Greater Brisbane	5-9	0	Father only	2575
Greater Brisbane	5-9	0	Mother only	3876
Greater Brisbane	5-9	0	Neither	5348
Greater Brisbane	5-9	1		609
Greater Brisbane	5-9	1	Both	61954
Greater Brisbane	5-9	1	Father only	12479
Greater Brisbane	5-9	1	Mother only	12337
Greater Brisbane	5-9	1	Neither	38529
Greater Brisbane	10-12	0		436
Greater Brisbane	10-12	0	Both	12645
Greater Brisbane	10-12	0	Father only	1977
Greater Brisbane	10-12	0	Mother only	2538
Greater Brisbane	10-12	0	Neither	3883
Greater Brisbane	10-12	1		311
Greater Brisbane	10-12	1	Both	38371
Greater Brisbane	10-12	1	Father only	6938
Greater Brisbane	10-12	1	Mother only	7352
Greater Brisbane	10-12	1	Neither	21518
Greater Brisbane	13-14	0		300
Greater Brisbane	13-14	0	Both	9153
Greater Brisbane	13-14	0	Father only	1345
Greater Brisbane	13-14	0	Mother only	1822
Greater Brisbane	13-14	0	Neither	2984
Greater Brisbane	13-14	1		175
Greater Brisbane	13-14	1	Both	25256
Greater Brisbane	13-14	1	Father only	4131
Greater Brisbane	13-14	1	Mother only	4743
Greater Brisbane	13-14	1	Neither	13353
Greater Brisbane	15-17	0		211
Greater Brisbane	15-17	0	Both	10650
Greater Brisbane	15-17	0	Father only	1684
Greater Brisbane	15-17	0	Mother only	2220
Greater Brisbane	15-17	0	Neither	4142
Greater Brisbane	15-17	1		132
Greater Brisbane	15-17	1	Both	31393
Greater Brisbane	15-17	1	Father only	5183
Greater Brisbane	15-17	1	Mother only	5948
Greater Brisbane	15-17	1	Neither	17152
Greater Brisbane	18-20	0		46
Greater Brisbane	18-20	0	Both	2974
Greater Brisbane	18-20	0	Father only	603
Greater Brisbane	18-20	0	Mother only	716
Greater Brisbane	18-20	0	Neither	1933
Greater Brisbane	18-20	1		24
Greater Brisbane	18-20	1	Both	11945
Greater Brisbane	18-20	1	Father only	2038
Greater Brisbane	18-20	1	Mother only	2298
Greater Brisbane	18-20	1	Neither	8260
Greater Brisbane	21-24	0		12
Greater Brisbane	21-24	0	Both	1310
Greater Brisbane	21-24	0	Father only	292
Greater Brisbane	21-24	0	Mother only	304
Greater Brisbane	21-24	0	Neither	1041
Greater Brisbane	21-24	1		9
Greater Brisbane	21-24	1	Both	4414
Greater Brisbane	21-24	1	Father only	782
Greater Brisbane	21-24	1	Mother only	828
Greater Brisbane	21-24	1	Neither	4128
Rest of Qld	0-4	0		806
Rest of Qld	0-4	0	Both	17391
Rest of Qld	0-4	0	Father only	1295
Rest of Qld	0-4	0	Mother only	2012
Rest of Qld	0-4	0	Neither	1271
Rest of Qld	0-4	1		553
Rest of Qld	0-4	1	Both	72202
Rest of Qld	0-4	1	Father only	10601
Rest of Qld	0-4	1	Mother only	8995
Rest of Qld	0-4	1	Neither	15497
Rest of Qld	5-9	0		908
Rest of Qld	5-9	0	Both	25393
Rest of Qld	5-9	0	Father only	2447
Rest of Qld	5-9	0	Mother only	3132
Rest of Qld	5-9	0	Neither	2581
Rest of Qld	5-9	1		552
Rest of Qld	5-9	1	Both	77679
Rest of Qld	5-9	1	Father only	10746
Rest of Qld	5-9	1	Mother only	9376
Rest of Qld	5-9	1	Neither	17987
Rest of Qld	10-12	0		597
Rest of Qld	10-12	0	Both	17444
Rest of Qld	10-12	0	Father only	1841
Rest of Qld	10-12	0	Mother only	2172
Rest of Qld	10-12	0	Neither	2040
Rest of Qld	10-12	1		387
Rest of Qld	10-12	1	Both	48605
Rest of Qld	10-12	1	Father only	6058
Rest of Qld	10-12	1	Mother only	5553
Rest of Qld	10-12	1	Neither	10973
Rest of Qld	13-14	0		367
Rest of Qld	13-14	0	Both	12640
Rest of Qld	13-14	0	Father only	1309
Rest of Qld	13-14	0	Mother only	1509
Rest of Qld	13-14	0	Neither	1620
Rest of Qld	13-14	1		221
Rest of Qld	13-14	1	Both	31921
Rest of Qld	13-14	1	Father only	3675
Rest of Qld	13-14	1	Mother only	3666
Rest of Qld	13-14	1	Neither	7076
Rest of Qld	15-17	0		196
Rest of Qld	15-17	0	Both	13585
Rest of Qld	15-17	0	Father only	1629
Rest of Qld	15-17	0	Mother only	1871
Rest of Qld	15-17	0	Neither	2193
Rest of Qld	15-17	1		130
Rest of Qld	15-17	1	Both	37330
Rest of Qld	15-17	1	Father only	4520
Rest of Qld	15-17	1	Mother only	4366
Rest of Qld	15-17	1	Neither	9289
Rest of Qld	18-20	0		22
Rest of Qld	18-20	0	Both	2282
Rest of Qld	18-20	0	Father only	342
Rest of Qld	18-20	0	Mother only	405
Rest of Qld	18-20	0	Neither	772
Rest of Qld	18-20	1		25
Rest of Qld	18-20	1	Both	7410
Rest of Qld	18-20	1	Father only	1093
Rest of Qld	18-20	1	Mother only	1061
Rest of Qld	18-20	1	Neither	3017
Rest of Qld	21-24	0		14
Rest of Qld	21-24	0	Both	857
Rest of Qld	21-24	0	Father only	149
Rest of Qld	21-24	0	Mother only	165
Rest of Qld	21-24	0	Neither	386
Rest of Qld	21-24	1		3
Rest of Qld	21-24	1	Both	2434
Rest of Qld	21-24	1	Father only	379
Rest of Qld	21-24	1	Mother only	403
Rest of Qld	21-24	1	Neither	1382
Greater Adelaide	0-4	0		334
Greater Adelaide	0-4	0	Both	6409
Greater Adelaide	0-4	0	Father only	524
Greater Adelaide	0-4	0	Mother only	946
Greater Adelaide	0-4	0	Neither	1274
Greater Adelaide	0-4	1		207
Greater Adelaide	0-4	1	Both	34593
Greater Adelaide	0-4	1	Father only	5043
Greater Adelaide	0-4	1	Mother only	4319
Greater Adelaide	0-4	1	Neither	17785
Greater Adelaide	5-9	0		335
Greater Adelaide	5-9	0	Both	9823
Greater Adelaide	5-9	0	Father only	923
Greater Adelaide	5-9	0	Mother only	1456
Greater Adelaide	5-9	0	Neither	2217
Greater Adelaide	5-9	1		209
Greater Adelaide	5-9	1	Both	34617
Greater Adelaide	5-9	1	Father only	4650
Greater Adelaide	5-9	1	Mother only	4504
Greater Adelaide	5-9	1	Neither	19008
Greater Adelaide	10-12	0		215
Greater Adelaide	10-12	0	Both	7006
Greater Adelaide	10-12	0	Father only	724
Greater Adelaide	10-12	0	Mother only	989
Greater Adelaide	10-12	0	Neither	1679
Greater Adelaide	10-12	1		113
Greater Adelaide	10-12	1	Both	20566
Greater Adelaide	10-12	1	Father only	2577
Greater Adelaide	10-12	1	Mother only	2739
Greater Adelaide	10-12	1	Neither	9879
Greater Adelaide	13-14	0		173
Greater Adelaide	13-14	0	Both	5087
Greater Adelaide	13-14	0	Father only	520
Greater Adelaide	13-14	0	Mother only	700
Greater Adelaide	13-14	0	Neither	1262
Greater Adelaide	13-14	1		86
Greater Adelaide	13-14	1	Both	13750
Greater Adelaide	13-14	1	Father only	1595
Greater Adelaide	13-14	1	Mother only	1875
Greater Adelaide	13-14	1	Neither	6069
Greater Adelaide	15-17	0		100
Greater Adelaide	15-17	0	Both	5988
Greater Adelaide	15-17	0	Father only	694
Greater Adelaide	15-17	0	Mother only	1011
Greater Adelaide	15-17	0	Neither	1849
Greater Adelaide	15-17	1		44
Greater Adelaide	15-17	1	Both	17137
Greater Adelaide	15-17	1	Father only	2071
Greater Adelaide	15-17	1	Mother only	2545
Greater Adelaide	15-17	1	Neither	8172
Greater Adelaide	18-20	0		29
Greater Adelaide	18-20	0	Both	2180
Greater Adelaide	18-20	0	Father only	332
Greater Adelaide	18-20	0	Mother only	433
Greater Adelaide	18-20	0	Neither	1104
Greater Adelaide	18-20	1		19
Greater Adelaide	18-20	1	Both	7518
Greater Adelaide	18-20	1	Father only	1025
Greater Adelaide	18-20	1	Mother only	1322
Greater Adelaide	18-20	1	Neither	4935
Greater Adelaide	21-24	0		16
Greater Adelaide	21-24	0	Both	1134
Greater Adelaide	21-24	0	Father only	200
Greater Adelaide	21-24	0	Mother only	282
Greater Adelaide	21-24	0	Neither	814
Greater Adelaide	21-24	1		10
Greater Adelaide	21-24	1	Both	3870
Greater Adelaide	21-24	1	Father only	610
Greater Adelaide	21-24	1	Mother only	703
Greater Adelaide	21-24	1	Neither	2953
Rest of SA	0-4	0		112
Rest of SA	0-4	0	Both	2768
Rest of SA	0-4	0	Father only	58
Rest of SA	0-4	0	Mother only	158
Rest of SA	0-4	0	Neither	66
Rest of SA	0-4	1		98
Rest of SA	0-4	1	Both	12329
Rest of SA	0-4	1	Father only	835
Rest of SA	0-4	1	Mother only	505
Rest of SA	0-4	1	Neither	943
Rest of SA	5-9	0		156
Rest of SA	5-9	0	Both	3978
Rest of SA	5-9	0	Father only	171
Rest of SA	5-9	0	Mother only	221
Rest of SA	5-9	0	Neither	95
Rest of SA	5-9	1		98
Rest of SA	5-9	1	Both	13397
Rest of SA	5-9	1	Father only	764
Rest of SA	5-9	1	Mother only	612
Rest of SA	5-9	1	Neither	1020
Rest of SA	10-12	0		99
Rest of SA	10-12	0	Both	2677
Rest of SA	10-12	0	Father only	120
Rest of SA	10-12	0	Mother only	165
Rest of SA	10-12	0	Neither	83
Rest of SA	10-12	1		64
Rest of SA	10-12	1	Both	8428
Rest of SA	10-12	1	Father only	406
Rest of SA	10-12	1	Mother only	412
Rest of SA	10-12	1	Neither	593
Rest of SA	13-14	0		66
Rest of SA	13-14	0	Both	1969
Rest of SA	13-14	0	Father only	93
Rest of SA	13-14	0	Mother only	124
Rest of SA	13-14	0	Neither	52
Rest of SA	13-14	1		41
Rest of SA	13-14	1	Both	5510
Rest of SA	13-14	1	Father only	271
Rest of SA	13-14	1	Mother only	267
Rest of SA	13-14	1	Neither	375
Rest of SA	15-17	0		41
Rest of SA	15-17	0	Both	2144
Rest of SA	15-17	0	Father only	138
Rest of SA	15-17	0	Mother only	151
Rest of SA	15-17	0	Neither	94
Rest of SA	15-17	1		29
Rest of SA	15-17	1	Both	6152
Rest of SA	15-17	1	Father only	298
Rest of SA	15-17	1	Mother only	349
Rest of SA	15-17	1	Neither	509
Rest of SA	18-20	0		8
Rest of SA	18-20	0	Both	356
Rest of SA	18-20	0	Father only	16
Rest of SA	18-20	0	Mother only	24
Rest of SA	18-20	0	Neither	31
Rest of SA	18-20	1		6
Rest of SA	18-20	1	Both	1023
Rest of SA	18-20	1	Father only	80
Rest of SA	18-20	1	Mother only	75
Rest of SA	18-20	1	Neither	117
Rest of SA	21-24	0	Both	80
Rest of SA	21-24	0	Father only	9
Rest of SA	21-24	0	Mother only	3
Rest of SA	21-24	0	Neither	8
Rest of SA	21-24	1	Both	286
Rest of SA	21-24	1	Father only	20
Rest of SA	21-24	1	Mother only	24
Rest of SA	21-24	1	Neither	39
Greater Perth	0-4	0		506
Greater Perth	0-4	0	Both	7785
Greater Perth	0-4	0	Father only	1370
Greater Perth	0-4	0	Mother only	2055
Greater Perth	0-4	0	Neither	2612
Greater Perth	0-4	1		458
Greater Perth	0-4	1	Both	43379
Greater Perth	0-4	1	Father only	12926
Greater Perth	0-4	1	Mother only	12145
Greater Perth	0-4	1	Neither	40083
Greater Perth	5-9	0		556
Greater Perth	5-9	0	Both	11665
Greater Perth	5-9	0	Father only	2303
Greater Perth	5-9	0	Mother only	3048
Greater Perth	5-9	0	Neither	4621
Greater Perth	5-9	1		472
Greater Perth	5-9	1	Both	41634
Greater Perth	5-9	1	Father only	12137
Greater Perth	5-9	1	Mother only	11411
Greater Perth	5-9	1	Neither	42088
Greater Perth	10-12	0		334
Greater Perth	10-12	0	Both	7946
Greater Perth	10-12	0	Father only	1573
Greater Perth	10-12	0	Mother only	2106
Greater Perth	10-12	0	Neither	3505
Greater Perth	10-12	1		283
Greater Perth	10-12	1	Both	25212
Greater Perth	10-12	1	Father only	6406
Greater Perth	10-12	1	Mother only	6401
Greater Perth	10-12	1	Neither	23473
Greater Perth	13-14	0		175
Greater Perth	13-14	0	Both	5884
Greater Perth	13-14	0	Father only	1223
Greater Perth	13-14	0	Mother only	1510
Greater Perth	13-14	0	Neither	2642
Greater Perth	13-14	1		170
Greater Perth	13-14	1	Both	16483
Greater Perth	13-14	1	Father only	4127
Greater Perth	13-14	1	Mother only	4201
Greater Perth	13-14	1	Neither	14936
Greater Perth	15-17	0		130
Greater Perth	15-17	0	Both	6650
Greater Perth	15-17	0	Father only	1481
Greater Perth	15-17	0	Mother only	1800
Greater Perth	15-17	0	Neither	3809
Greater Perth	15-17	1		82
Greater Perth	15-17	1	Both	19680
Greater Perth	15-17	1	Father only	4866
Greater Perth	15-17	1	Mother only	5318
Greater Perth	15-17	1	Neither	19834
Greater Perth	18-20	0		42
Greater Perth	18-20	0	Both	1829
Greater Perth	18-20	0	Father only	531
Greater Perth	18-20	0	Mother only	642
Greater Perth	18-20	0	Neither	1916
Greater Perth	18-20	1		24
Greater Perth	18-20	1	Both	7166
Greater Perth	18-20	1	Father only	1929
Greater Perth	18-20	1	Mother only	2190
Greater Perth	18-20	1	Neither	10554
Greater Perth	21-24	0		21
Greater Perth	21-24	0	Both	1016
Greater Perth	21-24	0	Father only	335
Greater Perth	21-24	0	Mother only	356
Greater Perth	21-24	0	Neither	1363
Greater Perth	21-24	1		16
Greater Perth	21-24	1	Both	3338
Greater Perth	21-24	1	Father only	993
Greater Perth	21-24	1	Mother only	1056
Greater Perth	21-24	1	Neither	6203
Rest of WA	0-4	0		166
Rest of WA	0-4	0	Both	3351
Rest of WA	0-4	0	Father only	231
Rest of WA	0-4	0	Mother only	309
Rest of WA	0-4	0	Neither	199
Rest of WA	0-4	1		133
Rest of WA	0-4	1	Both	16237
Rest of WA	0-4	1	Father only	2555
Rest of WA	0-4	1	Mother only	1846
Rest of WA	0-4	1	Neither	3164
Rest of WA	5-9	0		241
Rest of WA	5-9	0	Both	4853
Rest of WA	5-9	0	Father only	417
Rest of WA	5-9	0	Mother only	550
Rest of WA	5-9	0	Neither	310
Rest of WA	5-9	1		164
Rest of WA	5-9	1	Both	17574
Rest of WA	5-9	1	Father only	2551
Rest of WA	5-9	1	Mother only	1912
Rest of WA	5-9	1	Neither	3335
Rest of WA	10-12	0		121
Rest of WA	10-12	0	Both	3383
Rest of WA	10-12	0	Father only	313
Rest of WA	10-12	0	Mother only	365
Rest of WA	10-12	0	Neither	253
Rest of WA	10-12	1		83
Rest of WA	10-12	1	Both	10252
Rest of WA	10-12	1	Father only	1334
Rest of WA	10-12	1	Mother only	1098
Rest of WA	10-12	1	Neither	2045
Rest of WA	13-14	0		105
Rest of WA	13-14	0	Both	2399
Rest of WA	13-14	0	Father only	242
Rest of WA	13-14	0	Mother only	258
Rest of WA	13-14	0	Neither	171
Rest of WA	13-14	1		68
Rest of WA	13-14	1	Both	6413
Rest of WA	13-14	1	Father only	798
Rest of WA	13-14	1	Mother only	692
Rest of WA	13-14	1	Neither	1295
Rest of WA	15-17	0		47
Rest of WA	15-17	0	Both	2392
Rest of WA	15-17	0	Father only	300
Rest of WA	15-17	0	Mother only	293
Rest of WA	15-17	0	Neither	282
Rest of WA	15-17	1		28
Rest of WA	15-17	1	Both	6519
Rest of WA	15-17	1	Father only	829
Rest of WA	15-17	1	Mother only	798
Rest of WA	15-17	1	Neither	1590
Rest of WA	18-20	0	Both	177
Rest of WA	18-20	0	Father only	28
Rest of WA	18-20	0	Mother only	28
Rest of WA	18-20	0	Neither	35
Rest of WA	18-20	1	Both	577
Rest of WA	18-20	1	Father only	80
Rest of WA	18-20	1	Mother only	74
Rest of WA	18-20	1	Neither	207
Rest of WA	21-24	0	Both	42
Rest of WA	21-24	0	Mother only	12
Rest of WA	21-24	0	Neither	13
Rest of WA	21-24	1	Both	150
Rest of WA	21-24	1	Father only	19
Rest of WA	21-24	1	Mother only	29
Rest of WA	21-24	1	Neither	95
Greater Hobart	0-4	0		72
Greater Hobart	0-4	0	Both	1692
Greater Hobart	0-4	0	Father only	49
Greater Hobart	0-4	0	Mother only	136
Greater Hobart	0-4	0	Neither	113
Greater Hobart	0-4	1		29
