GCCSA_NAME21	Age	UsualResidence	persons
Rest of NSW	15-24	Visitor from ACT	480
Rest of NSW	15-24	Visitor from NSW	17753
Rest of NSW	15-24	Visitor from NT	38
Rest of NSW	15-24	Visitor from QLD	1038
Rest of NSW	15-24	Visitor from SA	172
Rest of NSW	15-24	Visitor from TAS	74
Rest of NSW	15-24	Visitor from VIC	755
Rest of NSW	15-24	Visitor from WA	131
Rest of NSW	15-24	Visitor same SA2	687
Rest of NSW	25-34	Home	313606
Rest of NSW	25-34	Visitor from ACT	548
Rest of NSW	25-34	Visitor from NSW	14814
Rest of NSW	25-34	Visitor from NT	38
Rest of NSW	25-34	Visitor from OT	4
Rest of NSW	25-34	Visitor from QLD	1020
Rest of NSW	25-34	Visitor from SA	185
Rest of NSW	25-34	Visitor from TAS	73
Rest of NSW	25-34	Visitor from VIC	890
Rest of NSW	25-34	Visitor from WA	112
Rest of NSW	25-34	Visitor same SA2	568
Rest of NSW	35-44	Home	311959
Rest of NSW	35-44	Visitor from ACT	396
Rest of NSW	35-44	Visitor from NSW	11230
Rest of NSW	35-44	Visitor from NT	27
Rest of NSW	35-44	Visitor from OT	6
Rest of NSW	35-44	Visitor from QLD	710
Rest of NSW	35-44	Visitor from SA	126
Rest of NSW	35-44	Visitor from TAS	51
Rest of NSW	35-44	Visitor from VIC	560
Rest of NSW	35-44	Visitor from WA	61
Rest of NSW	35-44	Visitor same SA2	568
Rest of NSW	45-54	Home	335136
Rest of NSW	45-54	Visitor from ACT	407
Rest of NSW	45-54	Visitor from NSW	12140
Rest of NSW	45-54	Visitor from NT	33
Rest of NSW	45-54	Visitor from OT	5
Rest of NSW	45-54	Visitor from QLD	988
Rest of NSW	45-54	Visitor from SA	162
Rest of NSW	45-54	Visitor from TAS	74
Rest of NSW	45-54	Visitor from VIC	667
Rest of NSW	45-54	Visitor from WA	88
Rest of NSW	45-54	Visitor same SA2	667
Rest of NSW	55-64	Home	362413
Rest of NSW	55-64	Visitor from ACT	691
Rest of NSW	55-64	Visitor from NSW	14809
Rest of NSW	55-64	Visitor from NT	28
Rest of NSW	55-64	Visitor from OT	6
Rest of NSW	55-64	Visitor from QLD	1177
Rest of NSW	55-64	Visitor from SA	210
Rest of NSW	55-64	Visitor from TAS	166
Rest of NSW	55-64	Visitor from VIC	1045
Rest of NSW	55-64	Visitor from WA	154
Rest of NSW	55-64	Visitor same SA2	994
Rest of NSW	65-74	Home	328785
Rest of NSW	65-74	Visitor from ACT	572
Rest of NSW	65-74	Visitor from NSW	12545
Rest of NSW	65-74	Visitor from NT	17
Rest of NSW	65-74	Visitor from OT	6
Rest of NSW	65-74	Visitor from QLD	786
Rest of NSW	65-74	Visitor from SA	233
Rest of NSW	65-74	Visitor from TAS	192
Rest of NSW	65-74	Visitor from VIC	1822
Rest of NSW	65-74	Visitor from WA	141
Rest of NSW	65-74	Visitor same SA2	1132
Rest of NSW	75-84	Home	193125
Rest of NSW	75-84	Visitor from ACT	208
Rest of NSW	75-84	Visitor from NSW	5739
Rest of NSW	75-84	Visitor from NT	7
Rest of NSW	75-84	Visitor from QLD	235
Rest of NSW	75-84	Visitor from SA	103
Rest of NSW	75-84	Visitor from TAS	68
Rest of NSW	75-84	Visitor from VIC	922
Rest of NSW	75-84	Visitor from WA	38
Rest of NSW	75-84	Visitor same SA2	1010
Rest of NSW	85+	Home	74736
Rest of NSW	85+	Visitor from ACT	40
Rest of NSW	85+	Visitor from NSW	2598
Rest of NSW	85+	Visitor from QLD	52
Rest of NSW	85+	Visitor from SA	15
Rest of NSW	85+	Visitor from TAS	14
Rest of NSW	85+	Visitor from VIC	109
Rest of NSW	85+	Visitor from WA	5
Rest of NSW	85+	Visitor same SA2	469
Migratory - Offshore - Shipping (Vic.)	15-24	Visitor from TAS	4
Migratory - Offshore - Shipping (Vic.)	25-34	Home	6
Migratory - Offshore - Shipping (Vic.)	25-34	Visitor from TAS	11
Migratory - Offshore - Shipping (Vic.)	25-34	Visitor from VIC	26
Migratory - Offshore - Shipping (Vic.)	25-34	Visitor from WA	10
Migratory - Offshore - Shipping (Vic.)	35-44	Home	16
Migratory - Offshore - Shipping (Vic.)	35-44	Visitor from NSW	10
Migratory - Offshore - Shipping (Vic.)	35-44	Visitor from QLD	15
Migratory - Offshore - Shipping (Vic.)	35-44	Visitor from SA	13
Migratory - Offshore - Shipping (Vic.)	35-44	Visitor from TAS	32
Migratory - Offshore - Shipping (Vic.)	35-44	Visitor from VIC	57
Migratory - Offshore - Shipping (Vic.)	35-44	Visitor from WA	3
Migratory - Offshore - Shipping (Vic.)	45-54	Home	3
Migratory - Offshore - Shipping (Vic.)	45-54	Visitor from NSW	21
Migratory - Offshore - Shipping (Vic.)	45-54	Visitor from QLD	9
Migratory - Offshore - Shipping (Vic.)	45-54	Visitor from SA	12
Migratory - Offshore - Shipping (Vic.)	45-54	Visitor from TAS	26
Migratory - Offshore - Shipping (Vic.)	45-54	Visitor from VIC	107
Migratory - Offshore - Shipping (Vic.)	45-54	Visitor from WA	9
Migratory - Offshore - Shipping (Vic.)	55-64	Home	14
Migratory - Offshore - Shipping (Vic.)	55-64	Visitor from QLD	14
Migratory - Offshore - Shipping (Vic.)	55-64	Visitor from SA	8
Migratory - Offshore - Shipping (Vic.)	55-64	Visitor from TAS	46
Migratory - Offshore - Shipping (Vic.)	55-64	Visitor from VIC	77
Migratory - Offshore - Shipping (Vic.)	65-74	Home	5
Migratory - Offshore - Shipping (Vic.)	65-74	Visitor from TAS	4
Migratory - Offshore - Shipping (Vic.)	65-74	Visitor from VIC	12
Greater Melbourne	0-14	Home	878401
Greater Melbourne	0-14	Visitor from ACT	16
Greater Melbourne	0-14	Visitor from NSW	203
Greater Melbourne	0-14	Visitor from NT	23
Greater Melbourne	0-14	Visitor from QLD	126
Greater Melbourne	0-14	Visitor from SA	65
Greater Melbourne	0-14	Visitor from TAS	31
Greater Melbourne	0-14	Visitor from VIC	10494
Greater Melbourne	0-14	Visitor from WA	58
Greater Melbourne	0-14	Visitor same SA2	427
Greater Melbourne	15-24	Home	585255
Greater Melbourne	15-24	Visitor from ACT	76
Greater Melbourne	15-24	Visitor from NSW	725
Greater Melbourne	15-24	Visitor from NT	71
Greater Melbourne	15-24	Visitor from QLD	527
Greater Melbourne	15-24	Visitor from SA	173
Greater Melbourne	15-24	Visitor from TAS	135
Greater Melbourne	15-24	Visitor from VIC	14447
Greater Melbourne	15-24	Visitor from WA	207
Greater Melbourne	15-24	Visitor same SA2	434
Greater Melbourne	25-34	Home	766486
Greater Melbourne	25-34	Visitor from ACT	62
Greater Melbourne	25-34	Visitor from NSW	778
Greater Melbourne	25-34	Visitor from NT	74
Greater Melbourne	25-34	Visitor from QLD	435
Greater Melbourne	25-34	Visitor from SA	219
Greater Melbourne	25-34	Visitor from TAS	179
Greater Melbourne	25-34	Visitor from VIC	16960
Greater Melbourne	25-34	Visitor from WA	193
Greater Melbourne	25-34	Visitor same SA2	508
Greater Melbourne	35-44	Home	719893
Greater Melbourne	35-44	Visitor from ACT	42
Greater Melbourne	35-44	Visitor from NSW	401
Greater Melbourne	35-44	Visitor from NT	40
Greater Melbourne	35-44	Visitor from QLD	295
Greater Melbourne	35-44	Visitor from SA	139
Greater Melbourne	35-44	Visitor from TAS	94
Greater Melbourne	35-44	Visitor from VIC	11637
Greater Melbourne	35-44	Visitor from WA	108
Greater Melbourne	35-44	Visitor same SA2	484
Greater Melbourne	45-54	Home	615236
Greater Melbourne	45-54	Visitor from ACT	29
Greater Melbourne	45-54	Visitor from NSW	420
Greater Melbourne	45-54	Visitor from NT	39
Greater Melbourne	45-54	Visitor from QLD	300
Greater Melbourne	45-54	Visitor from SA	103
Greater Melbourne	45-54	Visitor from TAS	88
Greater Melbourne	45-54	Visitor from VIC	9955
Greater Melbourne	45-54	Visitor from WA	127
Greater Melbourne	45-54	Visitor same SA2	519
Greater Melbourne	55-64	Home	513274
Greater Melbourne	55-64	Visitor from ACT	36
Greater Melbourne	55-64	Visitor from NSW	479
Greater Melbourne	55-64	Visitor from NT	41
Greater Melbourne	55-64	Visitor from QLD	415
Greater Melbourne	55-64	Visitor from SA	150
Greater Melbourne	55-64	Visitor from TAS	125
Greater Melbourne	55-64	Visitor from VIC	9260
Greater Melbourne	55-64	Visitor from WA	163
Greater Melbourne	55-64	Visitor same SA2	580
Greater Melbourne	65-74	Home	387193
Greater Melbourne	65-74	Visitor from ACT	32
Greater Melbourne	65-74	Visitor from NSW	357
Greater Melbourne	65-74	Visitor from NT	25
Greater Melbourne	65-74	Visitor from QLD	355
Greater Melbourne	65-74	Visitor from SA	114
Greater Melbourne	65-74	Visitor from TAS	123
Greater Melbourne	65-74	Visitor from VIC	7486
Greater Melbourne	65-74	Visitor from WA	118
Greater Melbourne	65-74	Visitor same SA2	713
Greater Melbourne	75-84	Home	225599
Greater Melbourne	75-84	Visitor from ACT	11
Greater Melbourne	75-84	Visitor from NSW	125
Greater Melbourne	75-84	Visitor from NT	7
Greater Melbourne	75-84	Visitor from QLD	93
Greater Melbourne	75-84	Visitor from SA	35
Greater Melbourne	75-84	Visitor from TAS	45
Greater Melbourne	75-84	Visitor from VIC	5033
Greater Melbourne	75-84	Visitor from WA	34
Greater Melbourne	75-84	Visitor same SA2	612
Greater Melbourne	85+	Home	96012
Greater Melbourne	85+	Visitor from NSW	29
Greater Melbourne	85+	Visitor from QLD	25
Greater Melbourne	85+	Visitor from SA	18
Greater Melbourne	85+	Visitor from TAS	13
Greater Melbourne	85+	Visitor from VIC	3115
Greater Melbourne	85+	Visitor from WA	8
Greater Melbourne	85+	Visitor same SA2	385
Rest of Vic.	0-14	Home	271192
Rest of Vic.	0-14	Visitor from ACT	6
Rest of Vic.	0-14	Visitor from NSW	197
Rest of Vic.	0-14	Visitor from NT	10
Rest of Vic.	0-14	Visitor from QLD	70
Rest of Vic.	0-14	Visitor from SA	51
Rest of Vic.	0-14	Visitor from TAS	17
Rest of Vic.	0-14	Visitor from VIC	5591
Rest of Vic.	0-14	Visitor from WA	30
Rest of Vic.	0-14	Visitor same SA2	324
Rest of Vic.	15-24	Home	161007
Rest of Vic.	15-24	Visitor from ACT	29
Rest of Vic.	15-24	Visitor from NSW	492
Rest of Vic.	15-24	Visitor from NT	31
Rest of Vic.	15-24	Visitor from QLD	314
Rest of Vic.	15-24	Visitor from SA	262
Rest of Vic.	15-24	Visitor from TAS	59
Rest of Vic.	15-24	Visitor from VIC	8800
Rest of Vic.	15-24	Visitor from WA	89
Rest of Vic.	15-24	Visitor same SA2	331
Rest of Vic.	25-34	Home	177397
Rest of Vic.	25-34	Visitor from ACT	15
Rest of Vic.	25-34	Visitor from NSW	388
Rest of Vic.	25-34	Visitor from NT	31
Rest of Vic.	25-34	Visitor from QLD	282
Rest of Vic.	25-34	Visitor from SA	133
Rest of Vic.	25-34	Visitor from TAS	43
Rest of Vic.	25-34	Visitor from VIC	7829
Rest of Vic.	25-34	Visitor from WA	55
Rest of Vic.	25-34	Visitor same SA2	236
Rest of Vic.	35-44	Home	175988
Rest of Vic.	35-44	Visitor from ACT	14
Rest of Vic.	35-44	Visitor from NSW	215
Rest of Vic.	35-44	Visitor from NT	16
Rest of Vic.	35-44	Visitor from QLD	133
Rest of Vic.	35-44	Visitor from SA	79
Rest of Vic.	35-44	Visitor from TAS	23
Rest of Vic.	35-44	Visitor from VIC	5663
Rest of Vic.	35-44	Visitor from WA	60
Rest of Vic.	35-44	Visitor same SA2	271
Rest of Vic.	45-54	Home	189501
Rest of Vic.	45-54	Visitor from ACT	9
Rest of Vic.	45-54	Visitor from NSW	260
Rest of Vic.	45-54	Visitor from NT	22
Rest of Vic.	45-54	Visitor from QLD	185
Rest of Vic.	45-54	Visitor from SA	100
Rest of Vic.	45-54	Visitor from TAS	36
Rest of Vic.	45-54	Visitor from VIC	6185
Rest of Vic.	45-54	Visitor from WA	55
Rest of Vic.	45-54	Visitor same SA2	350
Rest of Vic.	55-64	Home	204189
Rest of Vic.	55-64	Visitor from ACT	20
Rest of Vic.	55-64	Visitor from NSW	297
Rest of Vic.	55-64	Visitor from NT	30
Rest of Vic.	55-64	Visitor from QLD	263
Rest of Vic.	55-64	Visitor from SA	128
Rest of Vic.	55-64	Visitor from TAS	71
Rest of Vic.	55-64	Visitor from VIC	7333
Rest of Vic.	55-64	Visitor from WA	83
Rest of Vic.	55-64	Visitor same SA2	524
Rest of Vic.	65-74	Home	185550
Rest of Vic.	65-74	Visitor from ACT	13
Rest of Vic.	65-74	Visitor from NSW	238
Rest of Vic.	65-74	Visitor from NT	20
Rest of Vic.	65-74	Visitor from QLD	203
Rest of Vic.	65-74	Visitor from SA	107
Rest of Vic.	65-74	Visitor from TAS	66
Rest of Vic.	65-74	Visitor from VIC	5916
Rest of Vic.	65-74	Visitor from WA	85
Rest of Vic.	65-74	Visitor same SA2	634
Rest of Vic.	75-84	Home	103516
Rest of Vic.	75-84	Visitor from ACT	5
Rest of Vic.	75-84	Visitor from NSW	103
Rest of Vic.	75-84	Visitor from NT	4
Rest of Vic.	75-84	Visitor from QLD	32
Rest of Vic.	75-84	Visitor from SA	31
Rest of Vic.	75-84	Visitor from TAS	16
Rest of Vic.	75-84	Visitor from VIC	2824
Rest of Vic.	75-84	Visitor from WA	14
Rest of Vic.	75-84	Visitor same SA2	455
Rest of Vic.	85+	Home	40414
Rest of Vic.	85+	Visitor from NSW	31
Rest of Vic.	85+	Visitor from SA	6
Rest of Vic.	85+	Visitor from VIC	1516
Rest of Vic.	85+	Visitor from WA	4
Rest of Vic.	85+	Visitor same SA2	204
Migratory - Offshore - Shipping (Qld)	0-14	Visitor from QLD	6
Migratory - Offshore - Shipping (Qld)	15-24	Home	6
Migratory - Offshore - Shipping (Qld)	15-24	Visitor from NSW	13
Migratory - Offshore - Shipping (Qld)	15-24	Visitor from QLD	6
Migratory - Offshore - Shipping (Qld)	25-34	Home	20
Migratory - Offshore - Shipping (Qld)	25-34	Visitor from NSW	21
Migratory - Offshore - Shipping (Qld)	25-34	Visitor from QLD	35
Migratory - Offshore - Shipping (Qld)	25-34	Visitor from SA	3
Migratory - Offshore - Shipping (Qld)	25-34	Visitor from VIC	3
Migratory - Offshore - Shipping (Qld)	25-34	Visitor from WA	3
Migratory - Offshore - Shipping (Qld)	35-44	Home	46
Migratory - Offshore - Shipping (Qld)	35-44	Visitor from NSW	11
Migratory - Offshore - Shipping (Qld)	35-44	Visitor from QLD	33
Migratory - Offshore - Shipping (Qld)	35-44	Visitor from SA	12
Migratory - Offshore - Shipping (Qld)	35-44	Visitor from WA	9
Migratory - Offshore - Shipping (Qld)	45-54	Home	38
Migratory - Offshore - Shipping (Qld)	45-54	Visitor from NSW	11
Migratory - Offshore - Shipping (Qld)	45-54	Visitor from QLD	25
Migratory - Offshore - Shipping (Qld)	45-54	Visitor from TAS	5
Migratory - Offshore - Shipping (Qld)	45-54	Visitor from VIC	4
Migratory - Offshore - Shipping (Qld)	55-64	Visitor from QLD	30
Migratory - Offshore - Shipping (Qld)	65-74	Visitor from NSW	3
Migratory - Offshore - Shipping (Qld)	65-74	Visitor from QLD	5
Migratory - Offshore - Shipping (Qld)	65-74	Visitor from SA	3
Greater Brisbane	0-14	Home	476550
Greater Brisbane	0-14	Visitor from ACT	26
Greater Brisbane	0-14	Visitor from NSW	351
Greater Brisbane	0-14	Visitor from NT	32
Greater Brisbane	0-14	Visitor from QLD	6454
Greater Brisbane	0-14	Visitor from SA	13
Greater Brisbane	0-14	Visitor from TAS	20
Greater Brisbane	0-14	Visitor from VIC	145
Greater Brisbane	0-14	Visitor from WA	40
Greater Brisbane	0-14	Visitor same SA2	290
Greater Brisbane	15-24	Home	318956
Greater Brisbane	15-24	Visitor from ACT	42
Greater Brisbane	15-24	Visitor from NSW	558
Greater Brisbane	15-24	Visitor from NT	62
Greater Brisbane	15-24	Visitor from QLD	10497
Greater Brisbane	15-24	Visitor from SA	57
Greater Brisbane	15-24	Visitor from TAS	19
Greater Brisbane	15-24	Visitor from VIC	234
Greater Brisbane	15-24	Visitor from WA	86
Greater Brisbane	15-24	Visitor same SA2	335
Greater Brisbane	25-34	Home	359903
Greater Brisbane	25-34	Visitor from ACT	75
Greater Brisbane	25-34	Visitor from NSW	853
Greater Brisbane	25-34	Visitor from NT	71
Greater Brisbane	25-34	Visitor from QLD	9942
Greater Brisbane	25-34	Visitor from SA	73
Greater Brisbane	25-34	Visitor from TAS	50
Greater Brisbane	25-34	Visitor from VIC	523
Greater Brisbane	25-34	Visitor from WA	89
Greater Brisbane	25-34	Visitor same SA2	358
Greater Brisbane	35-44	Home	350057
Greater Brisbane	35-44	Visitor from ACT	54
Greater Brisbane	35-44	Visitor from NSW	575
Greater Brisbane	35-44	Visitor from NT	49
Greater Brisbane	35-44	Visitor from QLD	6777
Greater Brisbane	35-44	Visitor from SA	77
Greater Brisbane	35-44	Visitor from TAS	25
Greater Brisbane	35-44	Visitor from VIC	310
Greater Brisbane	35-44	Visitor from WA	94
Greater Brisbane	35-44	Visitor same SA2	298
Greater Brisbane	45-54	Home	318798
Greater Brisbane	45-54	Visitor from ACT	62
Greater Brisbane	45-54	Visitor from NSW	587
Greater Brisbane	45-54	Visitor from NT	64
Greater Brisbane	45-54	Visitor from QLD	6414
Greater Brisbane	45-54	Visitor from SA	47
Greater Brisbane	45-54	Visitor from TAS	54
Greater Brisbane	45-54	Visitor from VIC	292
Greater Brisbane	45-54	Visitor from WA	95
Greater Brisbane	45-54	Visitor same SA2	305
Greater Brisbane	55-64	Home	262205
Greater Brisbane	55-64	Visitor from ACT	90
Greater Brisbane	55-64	Visitor from NSW	770
Greater Brisbane	55-64	Visitor from NT	50
Greater Brisbane	55-64	Visitor from OT	5
Greater Brisbane	55-64	Visitor from QLD	6398
Greater Brisbane	55-64	Visitor from SA	99
Greater Brisbane	55-64	Visitor from TAS	123
Greater Brisbane	55-64	Visitor from VIC	362
Greater Brisbane	55-64	Visitor from WA	125
Greater Brisbane	55-64	Visitor same SA2	374
Greater Brisbane	65-74	Home	204597
Greater Brisbane	65-74	Visitor from ACT	74
Greater Brisbane	65-74	Visitor from NSW	702
Greater Brisbane	65-74	Visitor from NT	43
Greater Brisbane	65-74	Visitor from OT	11
Greater Brisbane	65-74	Visitor from QLD	5051
Greater Brisbane	65-74	Visitor from SA	141
Greater Brisbane	65-74	Visitor from TAS	133
Greater Brisbane	65-74	Visitor from VIC	492
Greater Brisbane	65-74	Visitor from WA	94
Greater Brisbane	65-74	Visitor same SA2	487
Greater Brisbane	75-84	Home	112046
Greater Brisbane	75-84	Visitor from ACT	30
Greater Brisbane	75-84	Visitor from NSW	311
Greater Brisbane	75-84	Visitor from NT	10
Greater Brisbane	75-84	Visitor from QLD	2811
Greater Brisbane	75-84	Visitor from SA	40
Greater Brisbane	75-84	Visitor from TAS	53
Greater Brisbane	75-84	Visitor from VIC	206
Greater Brisbane	75-84	Visitor from WA	29
Greater Brisbane	75-84	Visitor same SA2	397
Greater Brisbane	85+	Home	41163
Greater Brisbane	85+	Visitor from ACT	6
Greater Brisbane	85+	Visitor from NSW	104
Greater Brisbane	85+	Visitor from QLD	1458
Greater Brisbane	85+	Visitor from SA	6
Greater Brisbane	85+	Visitor from TAS	10
Greater Brisbane	85+	Visitor from VIC	51
Greater Brisbane	85+	Visitor from WA	8
Greater Brisbane	85+	Visitor same SA2	204
Rest of Qld	0-14	Home	468524
Rest of Qld	0-14	Visitor from ACT	150
Rest of Qld	0-14	Visitor from NSW	1207
Rest of Qld	0-14	Visitor from NT	129
Rest of Qld	0-14	Visitor from OT	7
Rest of Qld	0-14	Visitor from QLD	10394
Rest of Qld	0-14	Visitor from SA	122
Rest of Qld	0-14	Visitor from TAS	131
Rest of Qld	0-14	Visitor from VIC	750
Rest of Qld	0-14	Visitor from WA	137
Rest of Qld	0-14	Visitor same SA2	624
Rest of Qld	15-24	Home	287127
Rest of Qld	15-24	Visitor from ACT	91
Rest of Qld	15-24	Visitor from NSW	1336
Rest of Qld	15-24	Visitor from NT	141
Rest of Qld	15-24	Visitor from QLD	16066
Rest of Qld	15-24	Visitor from SA	180
Rest of Qld	15-24	Visitor from TAS	100
Rest of Qld	15-24	Visitor from VIC	605
Rest of Qld	15-24	Visitor from WA	190
Rest of Qld	15-24	Visitor same SA2	705
Rest of Qld	25-34	Home	306715
Rest of Qld	25-34	Visitor from ACT	243
Rest of Qld	25-34	Visitor from NSW	1757
Rest of Qld	25-34	Visitor from NT	214
Rest of Qld	25-34	Visitor from QLD	19513
Rest of Qld	25-34	Visitor from SA	195
Rest of Qld	25-34	Visitor from TAS	225
Rest of Qld	25-34	Visitor from VIC	1071
Rest of Qld	25-34	Visitor from WA	348
Rest of Qld	25-34	Visitor same SA2	669
Rest of Qld	35-44	Home	309797
Rest of Qld	35-44	Visitor from ACT	154
Rest of Qld	35-44	Visitor from NSW	1553
Rest of Qld	35-44	Visitor from NT	148
Rest of Qld	35-44	Visitor from OT	7
Rest of Qld	35-44	Visitor from QLD	16560
Rest of Qld	35-44	Visitor from SA	188
Rest of Qld	35-44	Visitor from TAS	184
Rest of Qld	35-44	Visitor from VIC	960
Rest of Qld	35-44	Visitor from WA	228
Rest of Qld	35-44	Visitor same SA2	543
Rest of Qld	45-54	Home	323888
Rest of Qld	45-54	Visitor from ACT	212
Rest of Qld	45-54	Visitor from NSW	1761
Rest of Qld	45-54	Visitor from NT	200
Rest of Qld	45-54	Visitor from QLD	19547
Rest of Qld	45-54	Visitor from SA	234
Rest of Qld	45-54	Visitor from TAS	274
Rest of Qld	45-54	Visitor from VIC	1193
Rest of Qld	45-54	Visitor from WA	291
Rest of Qld	45-54	Visitor same SA2	654
Rest of Qld	55-64	Home	316544
Rest of Qld	55-64	Visitor from ACT	460
Rest of Qld	55-64	Visitor from NSW	4253
Rest of Qld	55-64	Visitor from NT	181
Rest of Qld	55-64	Visitor from OT	5
Rest of Qld	55-64	Visitor from QLD	22885
Rest of Qld	55-64	Visitor from SA	719
Rest of Qld	55-64	Visitor from TAS	789
Rest of Qld	55-64	Visitor from VIC	4702
Rest of Qld	55-64	Visitor from WA	516
Rest of Qld	55-64	Visitor same SA2	858
Rest of Qld	65-74	Home	269497
Rest of Qld	65-74	Visitor from ACT	647
Rest of Qld	65-74	Visitor from NSW	6734
Rest of Qld	65-74	Visitor from NT	124
Rest of Qld	65-74	Visitor from QLD	18030
Rest of Qld	65-74	Visitor from SA	1508
Rest of Qld	65-74	Visitor from TAS	1386
Rest of Qld	65-74	Visitor from VIC	10115
Rest of Qld	65-74	Visitor from WA	634
Rest of Qld	65-74	Visitor same SA2	915
