GCCSA_NAME21	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Greater Sydney	65-74	0			F	186066
Greater Sydney	65-74	0			M	176707
Greater Sydney	65-74	1	0	1	F	30372
Greater Sydney	65-74	1	0	1	M	17603
Greater Sydney	65-74	1	1	0	F	2833
Greater Sydney	65-74	1	1	0	M	3943
Greater Sydney	65-74	1	1	1	F	401
Greater Sydney	65-74	1	1	1	M	170
Greater Sydney	75-84				F	10697
Greater Sydney	75-84				M	8451
Greater Sydney	75-84	0			F	117481
Greater Sydney	75-84	0			M	102227
Greater Sydney	75-84	1	0	1	F	5175
Greater Sydney	75-84	1	0	1	M	4208
Greater Sydney	75-84	1	1	0	F	588
Greater Sydney	75-84	1	1	0	M	584
Greater Sydney	75-84	1	1	1	F	77
Greater Sydney	75-84	1	1	1	M	38
Greater Sydney	85+				F	11803
Greater Sydney	85+				M	5857
Greater Sydney	85+	0			F	52710
Greater Sydney	85+	0			M	34667
Greater Sydney	85+	1	0	1	F	301
Greater Sydney	85+	1	0	1	M	224
Greater Sydney	85+	1	1	0	F	88
Greater Sydney	85+	1	1	0	M	78
Greater Sydney	85+	1	1	1	F	8
Rest of NSW	15-19				F	6305
Rest of NSW	15-19				M	7138
Rest of NSW	15-19	0			F	66080
Rest of NSW	15-19	0			M	72994
Rest of NSW	15-19	1	0	1	F	5815
Rest of NSW	15-19	1	0	1	M	3201
Rest of NSW	15-19	1	1	0	F	675
Rest of NSW	15-19	1	1	0	M	307
Rest of NSW	15-19	1	1	1	F	58
Rest of NSW	15-19	1	1	1	M	23
Rest of NSW	20-24				F	5206
Rest of NSW	20-24				M	6753
Rest of NSW	20-24	0			F	57375
Rest of NSW	20-24	0			M	65699
Rest of NSW	20-24	1	0	1	F	4515
Rest of NSW	20-24	1	0	1	M	2187
Rest of NSW	20-24	1	1	0	F	6915
Rest of NSW	20-24	1	1	0	M	3171
Rest of NSW	20-24	1	1	1	F	375
Rest of NSW	20-24	1	1	1	M	98
Rest of NSW	25-34				F	11204
Rest of NSW	25-34				M	14702
Rest of NSW	25-34	0			F	77221
Rest of NSW	25-34	0			M	97697
Rest of NSW	25-34	1	0	1	F	6528
Rest of NSW	25-34	1	0	1	M	3817
Rest of NSW	25-34	1	1	0	F	68045
Rest of NSW	25-34	1	1	0	M	44436
Rest of NSW	25-34	1	1	1	F	3631
Rest of NSW	25-34	1	1	1	M	1239
Rest of NSW	35-44				F	10563
Rest of NSW	35-44				M	13187
Rest of NSW	35-44	0			F	44128
Rest of NSW	35-44	0			M	56578
Rest of NSW	35-44	1	0	1	F	4895
Rest of NSW	35-44	1	0	1	M	3112
Rest of NSW	35-44	1	1	0	F	101195
Rest of NSW	35-44	1	1	0	M	82163
Rest of NSW	35-44	1	1	1	F	5199
Rest of NSW	35-44	1	1	1	M	2534
Rest of NSW	45-54				F	10218
Rest of NSW	45-54				M	12568
Rest of NSW	45-54	0			F	105086
Rest of NSW	45-54	0			M	100167
Rest of NSW	45-54	1	0	1	F	12842
Rest of NSW	45-54	1	0	1	M	5180
Rest of NSW	45-54	1	1	0	F	48585
Rest of NSW	45-54	1	1	0	M	50075
Rest of NSW	45-54	1	1	1	F	2005
Rest of NSW	45-54	1	1	1	M	1377
Rest of NSW	55-64				F	10580
Rest of NSW	55-64				M	12265
Rest of NSW	55-64	0			F	145539
Rest of NSW	55-64	0			M	148460
Rest of NSW	55-64	1	0	1	F	35122
Rest of NSW	55-64	1	0	1	M	14505
Rest of NSW	55-64	1	1	0	F	4297
Rest of NSW	55-64	1	1	0	M	9524
Rest of NSW	55-64	1	1	1	F	366
Rest of NSW	55-64	1	1	1	M	304
Rest of NSW	65-74				F	10326
Rest of NSW	65-74				M	11117
Rest of NSW	65-74	0			F	138412
Rest of NSW	65-74	0			M	141669
Rest of NSW	65-74	1	0	1	F	26704
Rest of NSW	65-74	1	0	1	M	16958
Rest of NSW	65-74	1	1	0	F	1111
Rest of NSW	65-74	1	1	0	M	1655
Rest of NSW	65-74	1	1	1	F	156
Rest of NSW	65-74	1	1	1	M	100
Rest of NSW	75-84				F	9543
Rest of NSW	75-84				M	7876
Rest of NSW	75-84	0			F	91733
Rest of NSW	75-84	0			M	83959
Rest of NSW	75-84	1	0	1	F	4504
Rest of NSW	75-84	1	0	1	M	3458
Rest of NSW	75-84	1	1	0	F	279
Rest of NSW	75-84	1	1	0	M	324
Rest of NSW	75-84	1	1	1	F	28
Rest of NSW	75-84	1	1	1	M	21
Rest of NSW	85+				F	7428
Rest of NSW	85+				M	4109
Rest of NSW	85+	0			F	40101
Rest of NSW	85+	0			M	25882
Rest of NSW	85+	1	0	1	F	283
Rest of NSW	85+	1	0	1	M	196
Rest of NSW	85+	1	1	0	F	58
Rest of NSW	85+	1	1	0	M	39
Rest of NSW	85+	1	1	1	F	9
No usual address (Vic.)	15-19				F	84
No usual address (Vic.)	15-19				M	94
No usual address (Vic.)	15-19	0			F	125
No usual address (Vic.)	15-19	0			M	133
No usual address (Vic.)	15-19	1	0	1	F	14
No usual address (Vic.)	15-19	1	0	1	M	8
No usual address (Vic.)	15-19	1	1	0	F	3
No usual address (Vic.)	20-24				F	91
No usual address (Vic.)	20-24				M	128
No usual address (Vic.)	20-24	0			F	187
No usual address (Vic.)	20-24	0			M	199
No usual address (Vic.)	20-24	1	0	1	F	17
No usual address (Vic.)	20-24	1	0	1	M	7
No usual address (Vic.)	20-24	1	1	0	F	28
No usual address (Vic.)	20-24	1	1	0	M	12
No usual address (Vic.)	20-24	1	1	1	F	5
No usual address (Vic.)	25-34				F	306
No usual address (Vic.)	25-34				M	385
No usual address (Vic.)	25-34	0			F	372
No usual address (Vic.)	25-34	0			M	433
No usual address (Vic.)	25-34	1	0	1	F	34
No usual address (Vic.)	25-34	1	0	1	M	15
No usual address (Vic.)	25-34	1	1	0	F	157
No usual address (Vic.)	25-34	1	1	0	M	99
No usual address (Vic.)	25-34	1	1	1	F	10
No usual address (Vic.)	25-34	1	1	1	M	7
No usual address (Vic.)	35-44				F	345
No usual address (Vic.)	35-44				M	523
No usual address (Vic.)	35-44	0			F	219
No usual address (Vic.)	35-44	0			M	324
No usual address (Vic.)	35-44	1	0	1	F	25
No usual address (Vic.)	35-44	1	0	1	M	16
No usual address (Vic.)	35-44	1	1	0	F	135
No usual address (Vic.)	35-44	1	1	0	M	132
No usual address (Vic.)	35-44	1	1	1	F	3
No usual address (Vic.)	35-44	1	1	1	M	4
No usual address (Vic.)	45-54				F	181
No usual address (Vic.)	45-54				M	463
No usual address (Vic.)	45-54	0			F	227
No usual address (Vic.)	45-54	0			M	374
No usual address (Vic.)	45-54	1	0	1	F	18
No usual address (Vic.)	45-54	1	0	1	M	11
No usual address (Vic.)	45-54	1	1	0	F	52
No usual address (Vic.)	45-54	1	1	0	M	64
No usual address (Vic.)	55-64				F	117
No usual address (Vic.)	55-64				M	294
No usual address (Vic.)	55-64	0			F	262
No usual address (Vic.)	55-64	0			M	327
No usual address (Vic.)	55-64	1	0	1	F	45
No usual address (Vic.)	55-64	1	0	1	M	12
No usual address (Vic.)	55-64	1	1	0	F	6
No usual address (Vic.)	55-64	1	1	0	M	11
No usual address (Vic.)	65-74				F	62
No usual address (Vic.)	65-74				M	135
No usual address (Vic.)	65-74	0			F	128
No usual address (Vic.)	65-74	0			M	231
No usual address (Vic.)	65-74	1	0	1	F	23
No usual address (Vic.)	65-74	1	0	1	M	26
No usual address (Vic.)	75-84				F	7
No usual address (Vic.)	75-84				M	29
No usual address (Vic.)	75-84	0			F	42
No usual address (Vic.)	75-84	0			M	61
No usual address (Vic.)	75-84	1	0	1	F	3
No usual address (Vic.)	85+				F	10
No usual address (Vic.)	85+				M	11
No usual address (Vic.)	85+	0			F	12
No usual address (Vic.)	85+	0			M	4
Migratory - Offshore - Shipping (Vic.)	35-44				M	9
Migratory - Offshore - Shipping (Vic.)	35-44	0			M	4
Migratory - Offshore - Shipping (Vic.)	45-54				M	3
Migratory - Offshore - Shipping (Vic.)	55-64				F	3
Migratory - Offshore - Shipping (Vic.)	55-64				M	7
Migratory - Offshore - Shipping (Vic.)	55-64	0			M	3
Greater Melbourne	15-19				F	6532
Greater Melbourne	15-19				M	7101
Greater Melbourne	15-19	0			F	119630
Greater Melbourne	15-19	0			M	129150
Greater Melbourne	15-19	1	0	1	F	7158
Greater Melbourne	15-19	1	0	1	M	4233
Greater Melbourne	15-19	1	1	0	F	469
Greater Melbourne	15-19	1	1	0	M	344
Greater Melbourne	15-19	1	1	1	F	43
Greater Melbourne	15-19	1	1	1	M	40
Greater Melbourne	20-24				F	8517
Greater Melbourne	20-24				M	10365
Greater Melbourne	20-24	0			F	139774
Greater Melbourne	20-24	0			M	152676
Greater Melbourne	20-24	1	0	1	F	6828
Greater Melbourne	20-24	1	0	1	M	3445
Greater Melbourne	20-24	1	1	0	F	4740
Greater Melbourne	20-24	1	1	0	M	1904
Greater Melbourne	20-24	1	1	1	F	229
Greater Melbourne	20-24	1	1	1	M	64
Greater Melbourne	25-34				F	22752
Greater Melbourne	25-34				M	26776
Greater Melbourne	25-34	0			F	254700
Greater Melbourne	25-34	0			M	293717
Greater Melbourne	25-34	1	0	1	F	11706
Greater Melbourne	25-34	1	0	1	M	6145
Greater Melbourne	25-34	1	1	0	F	106084
Greater Melbourne	25-34	1	1	0	M	63032
Greater Melbourne	25-34	1	1	1	F	2857
Greater Melbourne	25-34	1	1	1	M	929
Greater Melbourne	35-44				F	17483
Greater Melbourne	35-44				M	20521
Greater Melbourne	35-44	0			F	120172
Greater Melbourne	35-44	0			M	153333
Greater Melbourne	35-44	1	0	1	F	7807
Greater Melbourne	35-44	1	0	1	M	4185
Greater Melbourne	35-44	1	1	0	F	219711
Greater Melbourne	35-44	1	1	0	M	183339
Greater Melbourne	35-44	1	1	1	F	6035
Greater Melbourne	35-44	1	1	1	M	2521
Greater Melbourne	45-54				F	13313
Greater Melbourne	45-54				M	15045
Greater Melbourne	45-54	0			F	184025
Greater Melbourne	45-54	0			M	172756
Greater Melbourne	45-54	1	0	1	F	11473
Greater Melbourne	45-54	1	0	1	M	4273
Greater Melbourne	45-54	1	1	0	F	111442
Greater Melbourne	45-54	1	1	0	M	112812
Greater Melbourne	45-54	1	1	1	F	2515
Greater Melbourne	45-54	1	1	1	M	1457
Greater Melbourne	55-64				F	10872
Greater Melbourne	55-64				M	11590
Greater Melbourne	55-64	0			F	209738
Greater Melbourne	55-64	0			M	210062
Greater Melbourne	55-64	1	0	1	F	41435
Greater Melbourne	55-64	1	0	1	M	13991
Greater Melbourne	55-64	1	1	0	F	10649
Greater Melbourne	55-64	1	1	0	M	20642
Greater Melbourne	55-64	1	1	1	F	660
Greater Melbourne	55-64	1	1	1	M	339
Greater Melbourne	65-74				F	9793
Greater Melbourne	65-74				M	8982
Greater Melbourne	65-74	0			F	157236
Greater Melbourne	65-74	0			M	152021
Greater Melbourne	65-74	1	0	1	F	44601
Greater Melbourne	65-74	1	0	1	M	25629
Greater Melbourne	65-74	1	1	0	F	2848
Greater Melbourne	65-74	1	1	0	M	3392
Greater Melbourne	65-74	1	1	1	F	353
Greater Melbourne	65-74	1	1	1	M	171
Greater Melbourne	75-84				F	8614
Greater Melbourne	75-84				M	7022
Greater Melbourne	75-84	0			F	110689
Greater Melbourne	75-84	0			M	93225
Greater Melbourne	75-84	1	0	1	F	7566
Greater Melbourne	75-84	1	0	1	M	6530
Greater Melbourne	75-84	1	1	0	F	652
Greater Melbourne	75-84	1	1	0	M	577
Greater Melbourne	75-84	1	1	1	F	84
Greater Melbourne	75-84	1	1	1	M	39
Greater Melbourne	85+				F	7400
Greater Melbourne	85+				M	3962
Greater Melbourne	85+	0			F	53653
Greater Melbourne	85+	0			M	34131
Greater Melbourne	85+	1	0	1	F	364
Greater Melbourne	85+	1	0	1	M	322
Greater Melbourne	85+	1	1	0	F	113
Greater Melbourne	85+	1	1	0	M	67
Greater Melbourne	85+	1	1	1	F	8
Greater Melbourne	85+	1	1	1	M	7
Rest of Vic.	15-19				F	3449
Rest of Vic.	15-19				M	3729
Rest of Vic.	15-19	0			F	35856
Rest of Vic.	15-19	0			M	39853
Rest of Vic.	15-19	1	0	1	F	3005
Rest of Vic.	15-19	1	0	1	M	1661
Rest of Vic.	15-19	1	1	0	F	288
Rest of Vic.	15-19	1	1	0	M	160
Rest of Vic.	15-19	1	1	1	F	18
Rest of Vic.	15-19	1	1	1	M	10
Rest of Vic.	20-24				F	2581
Rest of Vic.	20-24				M	3192
Rest of Vic.	20-24	0			F	31151
Rest of Vic.	20-24	0			M	35858
Rest of Vic.	20-24	1	0	1	F	2417
Rest of Vic.	20-24	1	0	1	M	1212
Rest of Vic.	20-24	1	1	0	F	3068
Rest of Vic.	20-24	1	1	0	M	1440
Rest of Vic.	20-24	1	1	1	F	172
Rest of Vic.	20-24	1	1	1	M	34
Rest of Vic.	25-34				F	5996
Rest of Vic.	25-34				M	7642
Rest of Vic.	25-34	0			F	45231
Rest of Vic.	25-34	0			M	56644
Rest of Vic.	25-34	1	0	1	F	3879
Rest of Vic.	25-34	1	0	1	M	2156
Rest of Vic.	25-34	1	1	0	F	36443
Rest of Vic.	25-34	1	1	0	M	24405
Rest of Vic.	25-34	1	1	1	F	1969
Rest of Vic.	25-34	1	1	1	M	603
Rest of Vic.	35-44				F	5897
Rest of Vic.	35-44				M	7093
Rest of Vic.	35-44	0			F	25510
Rest of Vic.	35-44	0			M	30932
Rest of Vic.	35-44	1	0	1	F	2691
Rest of Vic.	35-44	1	0	1	M	1527
Rest of Vic.	35-44	1	1	0	F	57174
Rest of Vic.	35-44	1	1	0	M	47042
Rest of Vic.	35-44	1	1	1	F	2824
Rest of Vic.	35-44	1	1	1	M	1197
Rest of Vic.	45-54				F	5814
Rest of Vic.	45-54				M	6964
Rest of Vic.	45-54	0			F	59351
Rest of Vic.	45-54	0			M	55604
Rest of Vic.	45-54	1	0	1	F	6588
Rest of Vic.	45-54	1	0	1	M	2557
Rest of Vic.	45-54	1	1	0	F	28530
Rest of Vic.	45-54	1	1	0	M	29383
Rest of Vic.	45-54	1	1	1	F	1031
Rest of Vic.	45-54	1	1	1	M	556
Rest of Vic.	55-64				F	6125
Rest of Vic.	55-64				M	6960
Rest of Vic.	55-64	0			F	82492
Rest of Vic.	55-64	0			M	83841
Rest of Vic.	55-64	1	0	1	F	20079
Rest of Vic.	55-64	1	0	1	M	7743
Rest of Vic.	55-64	1	1	0	F	2594
Rest of Vic.	55-64	1	1	0	M	5286
Rest of Vic.	55-64	1	1	1	F	235
Rest of Vic.	55-64	1	1	1	M	125
Rest of Vic.	65-74				F	6315
Rest of Vic.	65-74				M	6911
Rest of Vic.	65-74	0			F	78156
Rest of Vic.	65-74	0			M	80629
Rest of Vic.	65-74	1	0	1	F	16270
Rest of Vic.	65-74	1	0	1	M	9894
Rest of Vic.	65-74	1	1	0	F	651
Rest of Vic.	65-74	1	1	0	M	970
Rest of Vic.	65-74	1	1	1	F	81
Rest of Vic.	65-74	1	1	1	M	39
Rest of Vic.	75-84				F	5444
Rest of Vic.	75-84				M	4666
Rest of Vic.	75-84	0			F	49128
Rest of Vic.	75-84	0			M	45637
Rest of Vic.	75-84	1	0	1	F	2462
Rest of Vic.	75-84	1	0	1	M	1956
Rest of Vic.	75-84	1	1	0	F	170
Rest of Vic.	75-84	1	1	0	M	169
Rest of Vic.	75-84	1	1	1	F	10
Rest of Vic.	75-84	1	1	1	M	9
Rest of Vic.	85+				F	3916
Rest of Vic.	85+				M	2305
Rest of Vic.	85+	0			F	21808
Rest of Vic.	85+	0			M	14102
Rest of Vic.	85+	1	0	1	F	147
Rest of Vic.	85+	1	0	1	M	96
Rest of Vic.	85+	1	1	0	F	28
Rest of Vic.	85+	1	1	0	M	8
No usual address (Qld)	15-19				F	60
No usual address (Qld)	15-19				M	72
No usual address (Qld)	15-19	0			F	207
No usual address (Qld)	15-19	0			M	187
No usual address (Qld)	15-19	1	0	1	F	23
No usual address (Qld)	15-19	1	0	1	M	10
No usual address (Qld)	15-19	1	1	0	F	4
No usual address (Qld)	20-24				F	123
No usual address (Qld)	20-24				M	151
No usual address (Qld)	20-24	0			F	284
No usual address (Qld)	20-24	0			M	253
No usual address (Qld)	20-24	1	0	1	F	28
No usual address (Qld)	20-24	1	0	1	M	10
No usual address (Qld)	20-24	1	1	0	F	45
No usual address (Qld)	20-24	1	1	0	M	23
No usual address (Qld)	25-34				F	365
No usual address (Qld)	25-34				M	407
No usual address (Qld)	25-34	0			F	701
No usual address (Qld)	25-34	0			M	688
No usual address (Qld)	25-34	1	0	1	F	37
No usual address (Qld)	25-34	1	0	1	M	37
No usual address (Qld)	25-34	1	1	0	F	225
No usual address (Qld)	25-34	1	1	0	M	163
No usual address (Qld)	25-34	1	1	1	F	14
No usual address (Qld)	25-34	1	1	1	M	3
No usual address (Qld)	35-44				F	264
No usual address (Qld)	35-44				M	462
No usual address (Qld)	35-44	0			F	307
No usual address (Qld)	35-44	0			M	447
No usual address (Qld)	35-44	1	0	1	F	11
No usual address (Qld)	35-44	1	0	1	M	31
No usual address (Qld)	35-44	1	1	0	F	283
No usual address (Qld)	35-44	1	1	0	M	253
No usual address (Qld)	35-44	1	1	1	F	20
No usual address (Qld)	35-44	1	1	1	M	13
No usual address (Qld)	45-54				F	220
No usual address (Qld)	45-54				M	395
No usual address (Qld)	45-54	0			F	519
No usual address (Qld)	45-54	0			M	529
No usual address (Qld)	45-54	1	0	1	F	50
No usual address (Qld)	45-54	1	0	1	M	18
No usual address (Qld)	45-54	1	1	0	F	97
No usual address (Qld)	45-54	1	1	0	M	94
No usual address (Qld)	45-54	1	1	1	F	9
No usual address (Qld)	45-54	1	1	1	M	6
No usual address (Qld)	55-64				F	188
No usual address (Qld)	55-64				M	306
No usual address (Qld)	55-64	0			F	884
No usual address (Qld)	55-64	0			M	934
No usual address (Qld)	55-64	1	0	1	F	91
No usual address (Qld)	55-64	1	0	1	M	35
No usual address (Qld)	55-64	1	1	0	F	4
No usual address (Qld)	55-64	1	1	0	M	16
No usual address (Qld)	65-74				F	113
No usual address (Qld)	65-74				M	216
No usual address (Qld)	65-74	0			F	687
No usual address (Qld)	65-74	0			M	997
No usual address (Qld)	65-74	1	0	1	F	67
No usual address (Qld)	65-74	1	0	1	M	43
No usual address (Qld)	65-74	1	1	0	M	5
No usual address (Qld)	75-84				F	22
No usual address (Qld)	75-84				M	50
No usual address (Qld)	75-84	0			F	140
No usual address (Qld)	75-84	0			M	222
No usual address (Qld)	75-84	1	0	1	M	9
No usual address (Qld)	85+				F	5
No usual address (Qld)	85+				M	8
No usual address (Qld)	85+	0			F	16
No usual address (Qld)	85+	0			M	15
Migratory - Offshore - Shipping (Qld)	20-24				F	4
Migratory - Offshore - Shipping (Qld)	20-24				M	9
Migratory - Offshore - Shipping (Qld)	20-24	0			M	4
Migratory - Offshore - Shipping (Qld)	25-34				F	13
Migratory - Offshore - Shipping (Qld)	25-34				M	30
Migratory - Offshore - Shipping (Qld)	25-34	0			F	3
Migratory - Offshore - Shipping (Qld)	25-34	0			M	11
Migratory - Offshore - Shipping (Qld)	35-44				F	5
Migratory - Offshore - Shipping (Qld)	35-44				M	45
Migratory - Offshore - Shipping (Qld)	35-44	0			M	14
Migratory - Offshore - Shipping (Qld)	45-54				M	31
Migratory - Offshore - Shipping (Qld)	45-54	0			M	15
Migratory - Offshore - Shipping (Qld)	55-64				M	3
Migratory - Offshore - Shipping (Qld)	65-74	0			M	3
Greater Brisbane	15-19				F	3917
Greater Brisbane	15-19				M	4192
Greater Brisbane	15-19	0			F	66638
Greater Brisbane	15-19	0			M	72591
Greater Brisbane	15-19	1	0	1	F	5646
Greater Brisbane	15-19	1	0	1	M	3229
Greater Brisbane	15-19	1	1	0	F	529
Greater Brisbane	15-19	1	1	0	M	308
Greater Brisbane	15-19	1	1	1	F	48
Greater Brisbane	15-19	1	1	1	M	20
Greater Brisbane	20-24				F	4951
Greater Brisbane	20-24				M	6000
Greater Brisbane	20-24	0			F	71433
Greater Brisbane	20-24	0			M	76626
Greater Brisbane	20-24	1	0	1	F	4439
Greater Brisbane	20-24	1	0	1	M	2392
Greater Brisbane	20-24	1	1	0	F	5622
Greater Brisbane	20-24	1	1	0	M	2778
Greater Brisbane	20-24	1	1	1	F	312
Greater Brisbane	20-24	1	1	1	M	92
Greater Brisbane	25-34				F	11109
Greater Brisbane	25-34				M	14160
Greater Brisbane	25-34	0			F	107230
Greater Brisbane	25-34	0			M	124764
Greater Brisbane	25-34	1	0	1	F	6619
Greater Brisbane	25-34	1	0	1	M	3748
Greater Brisbane	25-34	1	1	0	F	62625
Greater Brisbane	25-34	1	1	0	M	40146
Greater Brisbane	25-34	1	1	1	F	2648
Greater Brisbane	25-34	1	1	1	M	1030
Greater Brisbane	35-44				F	8748
Greater Brisbane	35-44				M	11306
Greater Brisbane	35-44	0			F	56012
Greater Brisbane	35-44	0			M	70239
Greater Brisbane	35-44	1	0	1	F	4908
Greater Brisbane	35-44	1	0	1	M	2951
Greater Brisbane	35-44	1	1	0	F	110357
Greater Brisbane	35-44	1	1	0	M	89507
Greater Brisbane	35-44	1	1	1	F	4184
Greater Brisbane	35-44	1	1	1	M	2120
Greater Brisbane	45-54				F	6893
Greater Brisbane	45-54				M	8947
Greater Brisbane	45-54	0			F	98574
Greater Brisbane	45-54	0			M	92661
Greater Brisbane	45-54	1	0	1	F	9494
Greater Brisbane	45-54	1	0	1	M	3945
Greater Brisbane	45-54	1	1	0	F	51806
Greater Brisbane	45-54	1	1	0	M	53958
Greater Brisbane	45-54	1	1	1	F	1742
Greater Brisbane	45-54	1	1	1	M	1040
Greater Brisbane	55-64				F	5461
Greater Brisbane	55-64				M	6495
Greater Brisbane	55-64	0			F	107913
Greater Brisbane	55-64	0			M	107898
Greater Brisbane	55-64	1	0	1	F	23388
Greater Brisbane	55-64	1	0	1	M	9100
Greater Brisbane	55-64	1	1	0	F	4064
Greater Brisbane	55-64	1	1	0	M	8988
Greater Brisbane	55-64	1	1	1	F	326
Greater Brisbane	55-64	1	1	1	M	173
Greater Brisbane	65-74				F	4831
Greater Brisbane	65-74				M	4912
Greater Brisbane	65-74	0			F	85137
