GCCSA_NAME21	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
Greater Perth	1	1	1	1	4270
Rest of WA					1751
Rest of WA	0	0	0	1	6374
Rest of WA	0	0	1	0	1386
Rest of WA	0	0	1	1	537
Rest of WA	0	1	0	0	8802
Rest of WA	0	1	0	1	1082
Rest of WA	0	1	1	0	1471
Rest of WA	0	1	1	1	287
Rest of WA	1	0	0	1	8380
Rest of WA	1	0	1	0	3090
Rest of WA	1	0	1	1	1793
Rest of WA	1	1	0	0	31591
Rest of WA	1	1	0	1	2032
Rest of WA	1	1	1	0	5091
Rest of WA	1	1	1	1	973
Greater Hobart					1052
Greater Hobart	0	0	0	1	4067
Greater Hobart	0	0	1	0	1169
Greater Hobart	0	0	1	1	432
Greater Hobart	0	1	0	0	4784
Greater Hobart	0	1	0	1	429
Greater Hobart	0	1	1	0	907
Greater Hobart	0	1	1	1	161
Greater Hobart	1	0	0	1	4593
Greater Hobart	1	0	1	0	2070
Greater Hobart	1	0	1	1	1154
Greater Hobart	1	1	0	0	14341
Greater Hobart	1	1	0	1	683
Greater Hobart	1	1	1	0	2441
Greater Hobart	1	1	1	1	401
Rest of Tas.					1070
Rest of Tas.	0	0	0	1	4896
Rest of Tas.	0	0	1	0	1175
Rest of Tas.	0	0	1	1	435
Rest of Tas.	0	1	0	0	5801
Rest of Tas.	0	1	0	1	535
Rest of Tas.	0	1	1	0	1024
Rest of Tas.	0	1	1	1	180
Rest of Tas.	1	0	0	1	6068
Rest of Tas.	1	0	1	0	2187
Rest of Tas.	1	0	1	1	1249
Rest of Tas.	1	1	0	0	15814
Rest of Tas.	1	1	0	1	1008
Rest of Tas.	1	1	1	0	2875
Rest of Tas.	1	1	1	1	563
Greater Darwin					578
Greater Darwin	0	0	0	1	1725
Greater Darwin	0	0	1	0	430
Greater Darwin	0	0	1	1	177
Greater Darwin	0	1	0	0	2584
Greater Darwin	0	1	0	1	243
Greater Darwin	0	1	1	0	368
Greater Darwin	0	1	1	1	81
Greater Darwin	1	0	0	1	2212
Greater Darwin	1	0	1	0	978
Greater Darwin	1	0	1	1	500
Greater Darwin	1	1	0	0	9762
Greater Darwin	1	1	0	1	507
Greater Darwin	1	1	1	0	1436
Greater Darwin	1	1	1	1	277
Rest of NT					539
Rest of NT	0	0	0	1	1299
Rest of NT	0	0	1	0	161
Rest of NT	0	0	1	1	66
Rest of NT	0	1	0	0	2131
Rest of NT	0	1	0	1	508
Rest of NT	0	1	1	0	214
Rest of NT	0	1	1	1	82
Rest of NT	1	0	0	1	1100
Rest of NT	1	0	1	0	301
Rest of NT	1	0	1	1	157
Rest of NT	1	1	0	0	5428
Rest of NT	1	1	0	1	869
Rest of NT	1	1	1	0	603
Rest of NT	1	1	1	1	240
Australian Capital Territory					1773
Australian Capital Territory	0	0	0	1	5582
Australian Capital Territory	0	0	1	0	1893
Australian Capital Territory	0	0	1	1	715
Australian Capital Territory	0	1	0	0	6535
Australian Capital Territory	0	1	0	1	410
Australian Capital Territory	0	1	1	0	1283
Australian Capital Territory	0	1	1	1	224
Australian Capital Territory	1	0	0	1	7448
Australian Capital Territory	1	0	1	0	4816
Australian Capital Territory	1	0	1	1	2380
Australian Capital Territory	1	1	0	0	32746
Australian Capital Territory	1	1	0	1	940
Australian Capital Territory	1	1	1	0	5278
Australian Capital Territory	1	1	1	1	660
Other Territories					22
Other Territories	0	0	0	1	44
Other Territories	0	0	1	0	9
Other Territories	0	0	1	1	4
Other Territories	0	1	0	0	56
Other Territories	0	1	0	1	5
Other Territories	0	1	1	0	14
Other Territories	1	0	0	1	67
Other Territories	1	0	1	0	19
Other Territories	1	0	1	1	10
Other Territories	1	1	0	0	259
Other Territories	1	1	0	1	21
Other Territories	1	1	1	0	36
Other Territories	1	1	1	1	5
