GCCSA_NAME21	Age	Sex	persons
Greater Perth	65-74	F	99302
Greater Perth	65-74	M	90651
Greater Perth	75-84	F	55001
Greater Perth	75-84	M	48100
Greater Perth	85+	F	25048
Greater Perth	85+	M	15791
Rest of WA	0-4	F	15458
Rest of WA	0-4	M	16402
Rest of WA	5-14	F	34933
Rest of WA	5-14	M	36983
Rest of WA	15-19	F	14251
Rest of WA	15-19	M	15418
Rest of WA	20-24	F	12084
Rest of WA	20-24	M	13513
Rest of WA	25-34	F	33035
Rest of WA	25-34	M	33781
Rest of WA	35-44	F	35076
Rest of WA	35-44	M	35786
Rest of WA	45-54	F	35283
Rest of WA	45-54	M	36989
Rest of WA	55-64	F	35206
Rest of WA	55-64	M	36850
Rest of WA	65-74	F	27493
Rest of WA	65-74	M	29161
Rest of WA	75-84	F	14003
Rest of WA	75-84	M	13867
Rest of WA	85+	F	5399
Rest of WA	85+	M	3843
No usual address (Tas.)	0-4	F	19
No usual address (Tas.)	0-4	M	21
No usual address (Tas.)	5-14	F	36
No usual address (Tas.)	5-14	M	50
No usual address (Tas.)	15-19	F	48
No usual address (Tas.)	15-19	M	43
No usual address (Tas.)	20-24	F	53
No usual address (Tas.)	20-24	M	71
No usual address (Tas.)	25-34	F	92
No usual address (Tas.)	25-34	M	135
No usual address (Tas.)	35-44	F	97
No usual address (Tas.)	35-44	M	99
No usual address (Tas.)	45-54	F	78
No usual address (Tas.)	45-54	M	130
No usual address (Tas.)	55-64	F	98
No usual address (Tas.)	55-64	M	104
No usual address (Tas.)	65-74	F	72
No usual address (Tas.)	65-74	M	90
No usual address (Tas.)	75-84	F	13
No usual address (Tas.)	75-84	M	18
No usual address (Tas.)	85+	F	4
Migratory - Offshore - Shipping (Tas.)	25-34	M	4
Migratory - Offshore - Shipping (Tas.)	35-44	M	7
Migratory - Offshore - Shipping (Tas.)	45-54	M	7
Greater Hobart	0-4	F	6216
Greater Hobart	0-4	M	6632
Greater Hobart	5-14	F	14013
Greater Hobart	5-14	M	14715
Greater Hobart	15-19	F	6453
Greater Hobart	15-19	M	6871
Greater Hobart	20-24	F	7341
Greater Hobart	20-24	M	7479
Greater Hobart	25-34	F	19834
Greater Hobart	25-34	M	19920
Greater Hobart	35-44	F	16250
Greater Hobart	35-44	M	15407
Greater Hobart	45-54	F	15439
Greater Hobart	45-54	M	14213
Greater Hobart	55-64	F	15666
Greater Hobart	55-64	M	14272
Greater Hobart	65-74	F	13805
Greater Hobart	65-74	M	12337
Greater Hobart	75-84	F	8028
Greater Hobart	75-84	M	6566
Greater Hobart	85+	F	3516
Greater Hobart	85+	M	2116
Rest of Tas.	0-4	F	7515
Rest of Tas.	0-4	M	7871
Rest of Tas.	5-14	F	17308
Rest of Tas.	5-14	M	18231
Rest of Tas.	15-19	F	8039
Rest of Tas.	15-19	M	8613
Rest of Tas.	20-24	F	7822
Rest of Tas.	20-24	M	8257
Rest of Tas.	25-34	F	18362
Rest of Tas.	25-34	M	18305
Rest of Tas.	35-44	F	17708
Rest of Tas.	35-44	M	16385
Rest of Tas.	45-54	F	20349
Rest of Tas.	45-54	M	18985
Rest of Tas.	55-64	F	23258
Rest of Tas.	55-64	M	21995
Rest of Tas.	65-74	F	20461
Rest of Tas.	65-74	M	20225
Rest of Tas.	75-84	F	11369
Rest of Tas.	75-84	M	10656
Rest of Tas.	85+	F	4415
Rest of Tas.	85+	M	2948
No usual address (NT)	0-4	F	69
No usual address (NT)	0-4	M	89
No usual address (NT)	5-14	F	122
No usual address (NT)	5-14	M	166
No usual address (NT)	15-19	F	64
No usual address (NT)	15-19	M	30
No usual address (NT)	20-24	F	99
No usual address (NT)	20-24	M	84
No usual address (NT)	25-34	F	364
No usual address (NT)	25-34	M	292
No usual address (NT)	35-44	F	268
No usual address (NT)	35-44	M	305
No usual address (NT)	45-54	F	280
No usual address (NT)	45-54	M	311
No usual address (NT)	55-64	F	279
No usual address (NT)	55-64	M	300
No usual address (NT)	65-74	F	114
No usual address (NT)	65-74	M	205
No usual address (NT)	75-84	F	17
No usual address (NT)	75-84	M	33
No usual address (NT)	85+	F	4
No usual address (NT)	85+	M	6
Migratory - Offshore - Shipping (NT)	15-19	M	4
Migratory - Offshore - Shipping (NT)	20-24	F	3
Migratory - Offshore - Shipping (NT)	20-24	M	6
Migratory - Offshore - Shipping (NT)	25-34	F	4
Migratory - Offshore - Shipping (NT)	25-34	M	16
Migratory - Offshore - Shipping (NT)	35-44	M	22
Migratory - Offshore - Shipping (NT)	45-54	F	3
Migratory - Offshore - Shipping (NT)	45-54	M	18
Migratory - Offshore - Shipping (NT)	55-64	M	17
Greater Darwin	0-4	F	4653
Greater Darwin	0-4	M	4900
Greater Darwin	5-14	F	9209
Greater Darwin	5-14	M	9532
Greater Darwin	15-19	F	3735
Greater Darwin	15-19	M	3914
Greater Darwin	20-24	F	4144
Greater Darwin	20-24	M	4903
Greater Darwin	25-34	F	13199
Greater Darwin	25-34	M	12750
Greater Darwin	35-44	F	11286
Greater Darwin	35-44	M	10821
Greater Darwin	45-54	F	9043
Greater Darwin	45-54	M	9359
Greater Darwin	55-64	F	7139
Greater Darwin	55-64	M	7494
Greater Darwin	65-74	F	4513
Greater Darwin	65-74	M	4858
Greater Darwin	75-84	F	1776
Greater Darwin	75-84	M	1830
Greater Darwin	85+	F	465
Greater Darwin	85+	M	370
Rest of NT	0-4	F	3048
Rest of NT	0-4	M	3457
Rest of NT	5-14	F	6568
Rest of NT	5-14	M	7089
Rest of NT	15-19	F	3057
Rest of NT	15-19	M	3375
Rest of NT	20-24	F	3225
Rest of NT	20-24	M	3326
Rest of NT	25-34	F	8392
Rest of NT	25-34	M	7872
Rest of NT	35-44	F	6607
Rest of NT	35-44	M	6512
Rest of NT	45-54	F	5597
Rest of NT	45-54	M	5358
Rest of NT	55-64	F	4514
Rest of NT	55-64	M	4487
Rest of NT	65-74	F	2299
Rest of NT	65-74	M	2507
Rest of NT	75-84	F	722
Rest of NT	75-84	M	780
Rest of NT	85+	F	198
Rest of NT	85+	M	123
No usual address (ACT)	0-4	F	9
No usual address (ACT)	0-4	M	18
No usual address (ACT)	5-14	F	13
No usual address (ACT)	5-14	M	13
No usual address (ACT)	15-19	F	37
No usual address (ACT)	15-19	M	23
No usual address (ACT)	20-24	F	40
No usual address (ACT)	20-24	M	44
No usual address (ACT)	25-34	F	53
No usual address (ACT)	25-34	M	60
No usual address (ACT)	35-44	F	33
No usual address (ACT)	35-44	M	62
No usual address (ACT)	45-54	F	30
No usual address (ACT)	45-54	M	53
No usual address (ACT)	55-64	F	35
No usual address (ACT)	55-64	M	38
No usual address (ACT)	65-74	F	10
No usual address (ACT)	65-74	M	21
No usual address (ACT)	75-84	F	8
No usual address (ACT)	75-84	M	6
Australian Capital Territory	0-4	F	12907
Australian Capital Territory	0-4	M	13746
Australian Capital Territory	5-14	F	27230
Australian Capital Territory	5-14	M	29005
Australian Capital Territory	15-19	F	12899
Australian Capital Territory	15-19	M	13386
Australian Capital Territory	20-24	F	17132
Australian Capital Territory	20-24	M	17042
Australian Capital Territory	25-34	F	38992
Australian Capital Territory	25-34	M	38637
Australian Capital Territory	35-44	F	35006
Australian Capital Territory	35-44	M	34275
Australian Capital Territory	45-54	F	28342
Australian Capital Territory	45-54	M	27785
Australian Capital Territory	55-64	F	23462
Australian Capital Territory	55-64	M	21866
Australian Capital Territory	65-74	F	19022
Australian Capital Territory	65-74	M	16625
Australian Capital Territory	75-84	F	10556
Australian Capital Territory	75-84	M	8781
Australian Capital Territory	85+	F	4315
Australian Capital Territory	85+	M	2868
No usual address (OT)	25-34	M	4
No usual address (OT)	55-64	M	3
Other Territories	0-4	F	109
Other Territories	0-4	M	132
Other Territories	5-14	F	268
Other Territories	5-14	M	313
Other Territories	15-19	F	103
Other Territories	15-19	M	88
Other Territories	20-24	F	108
Other Territories	20-24	M	108
Other Territories	25-34	F	240
Other Territories	25-34	M	335
Other Territories	35-44	F	310
Other Territories	35-44	M	328
Other Territories	45-54	F	316
Other Territories	45-54	M	347
Other Territories	55-64	F	382
Other Territories	55-64	M	378
Other Territories	65-74	F	267
Other Territories	65-74	M	318
Other Territories	75-84	F	135
Other Territories	75-84	M	120
Other Territories	85+	F	34
Other Territories	85+	M	36
