GCCSA_NAME21	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Greater Sydney	75-84	1	M	11571
Greater Sydney	85+		F	12081
Greater Sydney	85+		M	5999
Greater Sydney	85+	0	F	50040
Greater Sydney	85+	0	M	31211
Greater Sydney	85+	1	F	2782
Greater Sydney	85+	1	M	3604
Rest of NSW	15-19		F	6459
Rest of NSW	15-19		M	7265
Rest of NSW	15-19	0	F	68099
Rest of NSW	15-19	0	M	72618
Rest of NSW	15-19	1	F	4380
Rest of NSW	15-19	1	M	3776
Rest of NSW	20-24		F	5355
Rest of NSW	20-24		M	6997
Rest of NSW	20-24	0	F	63607
Rest of NSW	20-24	0	M	66904
Rest of NSW	20-24	1	F	5419
Rest of NSW	20-24	1	M	4009
Rest of NSW	25-34		F	11699
Rest of NSW	25-34		M	15108
Rest of NSW	25-34	0	F	137228
Rest of NSW	25-34	0	M	136201
Rest of NSW	25-34	1	F	17699
Rest of NSW	25-34	1	M	10590
Rest of NSW	35-44		F	11128
Rest of NSW	35-44		M	13679
Rest of NSW	35-44	0	F	126993
Rest of NSW	35-44	0	M	127809
Rest of NSW	35-44	1	F	27855
Rest of NSW	35-44	1	M	16094
Rest of NSW	45-54		F	10571
Rest of NSW	45-54		M	12987
Rest of NSW	45-54	0	F	129673
Rest of NSW	45-54	0	M	133305
Rest of NSW	45-54	1	F	38490
Rest of NSW	45-54	1	M	23075
Rest of NSW	55-64		F	10922
Rest of NSW	55-64		M	12627
Rest of NSW	55-64	0	F	138812
Rest of NSW	55-64	0	M	143808
Rest of NSW	55-64	1	F	46171
Rest of NSW	55-64	1	M	28625
Rest of NSW	65-74		F	10845
Rest of NSW	65-74		M	11454
Rest of NSW	65-74	0	F	136471
Rest of NSW	65-74	0	M	139349
Rest of NSW	65-74	1	F	29389
Rest of NSW	65-74	1	M	20692
Rest of NSW	75-84		F	10086
Rest of NSW	75-84		M	8277
Rest of NSW	75-84	0	F	83967
Rest of NSW	75-84	0	M	76770
Rest of NSW	75-84	1	F	12034
Rest of NSW	75-84	1	M	10594
Rest of NSW	85+		F	7688
Rest of NSW	85+		M	4257
Rest of NSW	85+	0	F	37928
Rest of NSW	85+	0	M	23030
Rest of NSW	85+	1	F	2274
Rest of NSW	85+	1	M	2945
No usual address (Vic.)	15-19		F	91
No usual address (Vic.)	15-19		M	97
No usual address (Vic.)	15-19	0	F	127
No usual address (Vic.)	15-19	0	M	130
No usual address (Vic.)	15-19	1	F	12
No usual address (Vic.)	15-19	1	M	6
No usual address (Vic.)	20-24		F	92
No usual address (Vic.)	20-24		M	127
No usual address (Vic.)	20-24	0	F	195
No usual address (Vic.)	20-24	0	M	199
No usual address (Vic.)	20-24	1	F	34
No usual address (Vic.)	20-24	1	M	26
No usual address (Vic.)	25-34		F	310
No usual address (Vic.)	25-34		M	391
No usual address (Vic.)	25-34	0	F	485
No usual address (Vic.)	25-34	0	M	506
No usual address (Vic.)	25-34	1	F	79
No usual address (Vic.)	25-34	1	M	46
No usual address (Vic.)	35-44		F	346
No usual address (Vic.)	35-44		M	524
No usual address (Vic.)	35-44	0	F	304
No usual address (Vic.)	35-44	0	M	422
No usual address (Vic.)	35-44	1	F	82
No usual address (Vic.)	35-44	1	M	56
No usual address (Vic.)	45-54		F	181
No usual address (Vic.)	45-54		M	467
No usual address (Vic.)	45-54	0	F	220
No usual address (Vic.)	45-54	0	M	366
No usual address (Vic.)	45-54	1	F	81
No usual address (Vic.)	45-54	1	M	81
No usual address (Vic.)	55-64		F	118
No usual address (Vic.)	55-64		M	295
No usual address (Vic.)	55-64	0	F	229
No usual address (Vic.)	55-64	0	M	290
No usual address (Vic.)	55-64	1	F	79
No usual address (Vic.)	55-64	1	M	57
No usual address (Vic.)	65-74		F	62
No usual address (Vic.)	65-74		M	132
No usual address (Vic.)	65-74	0	F	133
No usual address (Vic.)	65-74	0	M	225
No usual address (Vic.)	65-74	1	F	23
No usual address (Vic.)	65-74	1	M	36
No usual address (Vic.)	75-84		F	7
No usual address (Vic.)	75-84		M	30
No usual address (Vic.)	75-84	0	F	47
No usual address (Vic.)	75-84	0	M	61
No usual address (Vic.)	75-84	1	F	5
No usual address (Vic.)	75-84	1	M	5
No usual address (Vic.)	85+		F	9
No usual address (Vic.)	85+		M	6
No usual address (Vic.)	85+	0	F	13
No usual address (Vic.)	85+	0	M	4
Migratory - Offshore - Shipping (Vic.)	35-44		M	9
Migratory - Offshore - Shipping (Vic.)	35-44	0	M	4
Migratory - Offshore - Shipping (Vic.)	45-54		M	3
Migratory - Offshore - Shipping (Vic.)	55-64		F	3
Migratory - Offshore - Shipping (Vic.)	55-64		M	7
Migratory - Offshore - Shipping (Vic.)	55-64	0	M	3
Greater Melbourne	15-19		F	6841
Greater Melbourne	15-19		M	7413
Greater Melbourne	15-19	0	F	120260
Greater Melbourne	15-19	0	M	127490
Greater Melbourne	15-19	1	F	6736
Greater Melbourne	15-19	1	M	5966
Greater Melbourne	20-24		F	8895
Greater Melbourne	20-24		M	10799
Greater Melbourne	20-24	0	F	140021
Greater Melbourne	20-24	0	M	148915
Greater Melbourne	20-24	1	F	11170
Greater Melbourne	20-24	1	M	8741
Greater Melbourne	25-34		F	23905
Greater Melbourne	25-34		M	27785
Greater Melbourne	25-34	0	F	339810
Greater Melbourne	25-34	0	M	339701
Greater Melbourne	25-34	1	F	34378
Greater Melbourne	25-34	1	M	23106
Greater Melbourne	35-44		F	18635
Greater Melbourne	35-44		M	21557
Greater Melbourne	35-44	0	F	299462
Greater Melbourne	35-44	0	M	307228
Greater Melbourne	35-44	1	F	53110
Greater Melbourne	35-44	1	M	35111
Greater Melbourne	45-54		F	14001
Greater Melbourne	45-54		M	15860
Greater Melbourne	45-54	0	F	236937
Greater Melbourne	45-54	0	M	246198
Greater Melbourne	45-54	1	F	71824
Greater Melbourne	45-54	1	M	44283
Greater Melbourne	55-64		F	11286
Greater Melbourne	55-64		M	12085
Greater Melbourne	55-64	0	F	193523
Greater Melbourne	55-64	0	M	201620
Greater Melbourne	55-64	1	F	68545
Greater Melbourne	55-64	1	M	42920
Greater Melbourne	65-74		F	10369
Greater Melbourne	65-74		M	9323
Greater Melbourne	65-74	0	F	165458
Greater Melbourne	65-74	0	M	155297
Greater Melbourne	65-74	1	F	39003
Greater Melbourne	65-74	1	M	25570
Greater Melbourne	75-84		F	9129
Greater Melbourne	75-84		M	7373
Greater Melbourne	75-84	0	F	103082
Greater Melbourne	75-84	0	M	87105
Greater Melbourne	75-84	1	F	15394
Greater Melbourne	75-84	1	M	12917
Greater Melbourne	85+		F	7715
Greater Melbourne	85+		M	4134
Greater Melbourne	85+	0	F	50882
Greater Melbourne	85+	0	M	30239
Greater Melbourne	85+	1	F	2934
Greater Melbourne	85+	1	M	4114
Rest of Vic.	15-19		F	3490
Rest of Vic.	15-19		M	3833
Rest of Vic.	15-19	0	F	36555
Rest of Vic.	15-19	0	M	39487
Rest of Vic.	15-19	1	F	2572
Rest of Vic.	15-19	1	M	2098
Rest of Vic.	20-24		F	2666
Rest of Vic.	20-24		M	3275
Rest of Vic.	20-24	0	F	33528
Rest of Vic.	20-24	0	M	36020
Rest of Vic.	20-24	1	F	3200
Rest of Vic.	20-24	1	M	2443
Rest of Vic.	25-34		F	6259
Rest of Vic.	25-34		M	7898
Rest of Vic.	25-34	0	F	76621
Rest of Vic.	25-34	0	M	77197
Rest of Vic.	25-34	1	F	10648
Rest of Vic.	25-34	1	M	6365
Rest of Vic.	35-44		F	6231
Rest of Vic.	35-44		M	7345
Rest of Vic.	35-44	0	F	71135
Rest of Vic.	35-44	0	M	70838
Rest of Vic.	35-44	1	F	16730
Rest of Vic.	35-44	1	M	9612
Rest of Vic.	45-54		F	6003
Rest of Vic.	45-54		M	7171
Rest of Vic.	45-54	0	F	71422
Rest of Vic.	45-54	0	M	74112
Rest of Vic.	45-54	1	F	23882
Rest of Vic.	45-54	1	M	13783
Rest of Vic.	55-64		F	6315
Rest of Vic.	55-64		M	7157
Rest of Vic.	55-64	0	F	76963
Rest of Vic.	55-64	0	M	79990
Rest of Vic.	55-64	1	F	28246
Rest of Vic.	55-64	1	M	16812
Rest of Vic.	65-74		F	6543
Rest of Vic.	65-74		M	6973
Rest of Vic.	65-74	0	F	76876
Rest of Vic.	65-74	0	M	78836
Rest of Vic.	65-74	1	F	18047
Rest of Vic.	65-74	1	M	12632
Rest of Vic.	75-84		F	5711
Rest of Vic.	75-84		M	4926
Rest of Vic.	75-84	0	F	44513
Rest of Vic.	75-84	0	M	41475
Rest of Vic.	75-84	1	F	6986
Rest of Vic.	75-84	1	M	6036
Rest of Vic.	85+		F	4080
Rest of Vic.	85+		M	2411
Rest of Vic.	85+	0	F	20744
Rest of Vic.	85+	0	M	12613
Rest of Vic.	85+	1	F	1083
Rest of Vic.	85+	1	M	1495
No usual address (Qld)	15-19		F	61
No usual address (Qld)	15-19		M	70
No usual address (Qld)	15-19	0	F	214
No usual address (Qld)	15-19	0	M	193
No usual address (Qld)	15-19	1	F	15
No usual address (Qld)	15-19	1	M	9
No usual address (Qld)	20-24		F	127
No usual address (Qld)	20-24		M	153
No usual address (Qld)	20-24	0	F	339
No usual address (Qld)	20-24	0	M	271
No usual address (Qld)	20-24	1	F	19
No usual address (Qld)	20-24	1	M	12
No usual address (Qld)	25-34		F	369
No usual address (Qld)	25-34		M	408
No usual address (Qld)	25-34	0	F	896
No usual address (Qld)	25-34	0	M	839
No usual address (Qld)	25-34	1	F	79
No usual address (Qld)	25-34	1	M	58
No usual address (Qld)	35-44		F	270
No usual address (Qld)	35-44		M	467
No usual address (Qld)	35-44	0	F	527
No usual address (Qld)	35-44	0	M	652
No usual address (Qld)	35-44	1	F	89
No usual address (Qld)	35-44	1	M	66
No usual address (Qld)	45-54		F	222
No usual address (Qld)	45-54		M	403
No usual address (Qld)	45-54	0	F	556
No usual address (Qld)	45-54	0	M	575
No usual address (Qld)	45-54	1	F	112
No usual address (Qld)	45-54	1	M	59
No usual address (Qld)	55-64		F	195
No usual address (Qld)	55-64		M	313
No usual address (Qld)	55-64	0	F	827
No usual address (Qld)	55-64	0	M	879
No usual address (Qld)	55-64	1	F	156
No usual address (Qld)	55-64	1	M	102
No usual address (Qld)	65-74		F	113
No usual address (Qld)	65-74		M	214
No usual address (Qld)	65-74	0	F	674
No usual address (Qld)	65-74	0	M	952
No usual address (Qld)	65-74	1	F	83
No usual address (Qld)	65-74	1	M	96
No usual address (Qld)	75-84		F	24
No usual address (Qld)	75-84		M	42
No usual address (Qld)	75-84	0	F	131
No usual address (Qld)	75-84	0	M	207
No usual address (Qld)	75-84	1	F	9
No usual address (Qld)	75-84	1	M	29
No usual address (Qld)	85+		F	3
No usual address (Qld)	85+		M	8
No usual address (Qld)	85+	0	F	22
No usual address (Qld)	85+	0	M	16
Migratory - Offshore - Shipping (Qld)	20-24		F	4
Migratory - Offshore - Shipping (Qld)	20-24		M	9
Migratory - Offshore - Shipping (Qld)	20-24	0	M	4
Migratory - Offshore - Shipping (Qld)	25-34		F	13
Migratory - Offshore - Shipping (Qld)	25-34		M	30
Migratory - Offshore - Shipping (Qld)	25-34	0	F	3
Migratory - Offshore - Shipping (Qld)	25-34	0	M	8
Migratory - Offshore - Shipping (Qld)	35-44		F	5
Migratory - Offshore - Shipping (Qld)	35-44		M	45
Migratory - Offshore - Shipping (Qld)	35-44	0	M	14
Migratory - Offshore - Shipping (Qld)	45-54		M	31
Migratory - Offshore - Shipping (Qld)	45-54	0	M	12
Migratory - Offshore - Shipping (Qld)	55-64		M	3
Greater Brisbane	15-19		F	4073
Greater Brisbane	15-19		M	4421
Greater Brisbane	15-19	0	F	68766
Greater Brisbane	15-19	0	M	72496
Greater Brisbane	15-19	1	F	3940
Greater Brisbane	15-19	1	M	3419
Greater Brisbane	20-24		F	5128
Greater Brisbane	20-24		M	6219
Greater Brisbane	20-24	0	F	76507
Greater Brisbane	20-24	0	M	77658
Greater Brisbane	20-24	1	F	5127
Greater Brisbane	20-24	1	M	4004
Greater Brisbane	25-34		F	11590
Greater Brisbane	25-34		M	14578
Greater Brisbane	25-34	0	F	162438
Greater Brisbane	25-34	0	M	159163
Greater Brisbane	25-34	1	F	16209
Greater Brisbane	25-34	1	M	10099
Greater Brisbane	35-44		F	9295
Greater Brisbane	35-44		M	11827
Greater Brisbane	35-44	0	F	148419
Greater Brisbane	35-44	0	M	148549
Greater Brisbane	35-44	1	F	26488
Greater Brisbane	35-44	1	M	15755
Greater Brisbane	45-54		F	7207
Greater Brisbane	45-54		M	9257
Greater Brisbane	45-54	0	F	128485
Greater Brisbane	45-54	0	M	131766
Greater Brisbane	45-54	1	F	32814
Greater Brisbane	45-54	1	M	19523
Greater Brisbane	55-64		F	5651
Greater Brisbane	55-64		M	6678
Greater Brisbane	55-64	0	F	104568
Greater Brisbane	55-64	0	M	107054
Greater Brisbane	55-64	1	F	30921
Greater Brisbane	55-64	1	M	18923
Greater Brisbane	65-74		F	5053
Greater Brisbane	65-74		M	5092
Greater Brisbane	65-74	0	F	88162
Greater Brisbane	65-74	0	M	84150
Greater Brisbane	65-74	1	F	18901
Greater Brisbane	65-74	1	M	12802
Greater Brisbane	75-84		F	4592
Greater Brisbane	75-84		M	3599
Greater Brisbane	75-84	0	F	50218
Greater Brisbane	75-84	0	M	43946
Greater Brisbane	75-84	1	F	7253
Greater Brisbane	75-84	1	M	6409
Greater Brisbane	85+		F	3911
Greater Brisbane	85+		M	1895
Greater Brisbane	85+	0	F	21772
Greater Brisbane	85+	0	M	12667
Greater Brisbane	85+	1	F	1091
Greater Brisbane	85+	1	M	1545
Rest of Qld	15-19		F	6090
Rest of Qld	15-19		M	6901
Rest of Qld	15-19	0	F	66047
Rest of Qld	15-19	0	M	69595
Rest of Qld	15-19	1	F	3776
Rest of Qld	15-19	1	M	3412
Rest of Qld	20-24		F	6429
Rest of Qld	20-24		M	8137
Rest of Qld	20-24	0	F	62959
Rest of Qld	20-24	0	M	63151
Rest of Qld	20-24	1	F	4209
Rest of Qld	20-24	1	M	3263
Rest of Qld	25-34		F	14513
Rest of Qld	25-34		M	18571
Rest of Qld	25-34	0	F	136975
Rest of Qld	25-34	0	M	131738
Rest of Qld	25-34	1	F	14582
Rest of Qld	25-34	1	M	8578
Rest of Qld	35-44		F	12428
Rest of Qld	35-44		M	16211
Rest of Qld	35-44	0	F	130987
Rest of Qld	35-44	0	M	127044
Rest of Qld	35-44	1	F	24915
Rest of Qld	35-44	1	M	13750
Rest of Qld	45-54		F	11927
Rest of Qld	45-54		M	15885
Rest of Qld	45-54	0	F	131558
Rest of Qld	45-54	0	M	132339
Rest of Qld	45-54	1	F	32410
Rest of Qld	45-54	1	M	18982
Rest of Qld	55-64		F	10884
Rest of Qld	55-64		M	13627
Rest of Qld	55-64	0	F	127403
Rest of Qld	55-64	0	M	130619
Rest of Qld	55-64	1	F	35535
Rest of Qld	55-64	1	M	20961
Rest of Qld	65-74		F	9359
Rest of Qld	65-74		M	10519
Rest of Qld	65-74	0	F	112607
Rest of Qld	65-74	0	M	115750
Rest of Qld	65-74	1	F	23113
Rest of Qld	65-74	1	M	15828
Rest of Qld	75-84		F	7814
Rest of Qld	75-84		M	6789
Rest of Qld	75-84	0	F	64441
Rest of Qld	75-84	0	M	61582
Rest of Qld	75-84	1	F	9448
Rest of Qld	75-84	1	M	8462
Rest of Qld	85+		F	5266
Rest of Qld	85+		M	3082
Rest of Qld	85+	0	F	25567
Rest of Qld	85+	0	M	16738
Rest of Qld	85+	1	F	1496
Rest of Qld	85+	1	M	2064
No usual address (SA)	15-19		F	19
No usual address (SA)	15-19		M	14
No usual address (SA)	15-19	0	F	76
No usual address (SA)	15-19	0	M	50
No usual address (SA)	15-19	1	F	13
No usual address (SA)	15-19	1	M	9
No usual address (SA)	20-24		F	19
No usual address (SA)	20-24		M	27
No usual address (SA)	20-24	0	F	75
No usual address (SA)	20-24	0	M	78
No usual address (SA)	20-24	1	F	13
No usual address (SA)	20-24	1	M	6
No usual address (SA)	25-34		F	74
No usual address (SA)	25-34		M	88
No usual address (SA)	25-34	0	F	196
No usual address (SA)	25-34	0	M	216
No usual address (SA)	25-34	1	F	32
No usual address (SA)	25-34	1	M	23
No usual address (SA)	35-44		F	82
No usual address (SA)	35-44		M	95
No usual address (SA)	35-44	0	F	131
No usual address (SA)	35-44	0	M	169
No usual address (SA)	35-44	1	F	32
No usual address (SA)	35-44	1	M	24
No usual address (SA)	45-54		F	45
No usual address (SA)	45-54		M	95
No usual address (SA)	45-54	0	F	111
No usual address (SA)	45-54	0	M	176
No usual address (SA)	45-54	1	F	23
No usual address (SA)	45-54	1	M	28
No usual address (SA)	55-64		F	27
No usual address (SA)	55-64		M	102
No usual address (SA)	55-64	0	F	143
No usual address (SA)	55-64	0	M	194
No usual address (SA)	55-64	1	F	29
No usual address (SA)	55-64	1	M	20
No usual address (SA)	65-74		F	17
No usual address (SA)	65-74		M	46
No usual address (SA)	65-74	0	F	101
No usual address (SA)	65-74	0	M	149
No usual address (SA)	65-74	1	F	23
No usual address (SA)	65-74	1	M	17
No usual address (SA)	75-84		F	4
No usual address (SA)	75-84		M	5
No usual address (SA)	75-84	0	F	20
No usual address (SA)	75-84	0	M	24
No usual address (SA)	75-84	1	F	4
No usual address (SA)	75-84	1	M	4
No usual address (SA)	85+	0	F	4
No usual address (SA)	85+	1	M	4
Migratory - Offshore - Shipping (SA)	45-54		M	6
Greater Adelaide	15-19		F	1668
Greater Adelaide	15-19		M	1812
Greater Adelaide	15-19	0	F	34513
Greater Adelaide	15-19	0	M	36654
Greater Adelaide	15-19	1	F	1931
Greater Adelaide	15-19	1	M	1702
Greater Adelaide	20-24		F	1894
Greater Adelaide	20-24		M	2262
Greater Adelaide	20-24	0	F	39572
Greater Adelaide	20-24	0	M	41896
Greater Adelaide	20-24	1	F	3000
Greater Adelaide	20-24	1	M	2439
Greater Adelaide	25-34		F	4316
Greater Adelaide	25-34		M	5231
Greater Adelaide	25-34	0	F	83618
Greater Adelaide	25-34	0	M	85447
Greater Adelaide	25-34	1	F	9163
Greater Adelaide	25-34	1	M	5939
Greater Adelaide	35-44		F	3633
Greater Adelaide	35-44		M	4558
Greater Adelaide	35-44	0	F	75469
Greater Adelaide	35-44	0	M	77219
Greater Adelaide	35-44	1	F	14631
Greater Adelaide	35-44	1	M	9139
Greater Adelaide	45-54		F	3107
Greater Adelaide	45-54		M	3976
Greater Adelaide	45-54	0	F	66301
Greater Adelaide	45-54	0	M	70120
Greater Adelaide	45-54	1	F	19425
Greater Adelaide	45-54	1	M	12137
Greater Adelaide	55-64		F	2874
Greater Adelaide	55-64		M	3314
Greater Adelaide	55-64	0	F	62118
Greater Adelaide	55-64	0	M	64039
Greater Adelaide	55-64	1	F	22168
Greater Adelaide	55-64	1	M	13895
Greater Adelaide	65-74		F	2878
Greater Adelaide	65-74		M	2697
Greater Adelaide	65-74	0	F	58290
Greater Adelaide	65-74	0	M	54239
Greater Adelaide	65-74	1	F	13487
Greater Adelaide	65-74	1	M	9146
Greater Adelaide	75-84		F	2698
Greater Adelaide	75-84		M	1972
Greater Adelaide	75-84	0	F	36727
Greater Adelaide	75-84	0	M	30238
Greater Adelaide	75-84	1	F	5412
Greater Adelaide	75-84	1	M	4516
Greater Adelaide	85+		F	1978
Greater Adelaide	85+		M	1137
Greater Adelaide	85+	0	F	19578
Greater Adelaide	85+	0	M	11232
Greater Adelaide	85+	1	F	973
Greater Adelaide	85+	1	M	1360
Rest of SA	15-19		F	892
Rest of SA	15-19		M	1025
Rest of SA	15-19	0	F	8360
Rest of SA	15-19	0	M	9318
Rest of SA	15-19	1	F	569
Rest of SA	15-19	1	M	533
Rest of SA	20-24		F	583
Rest of SA	20-24		M	890
Rest of SA	20-24	0	F	7227
Rest of SA	20-24	0	M	8017
Rest of SA	20-24	1	F	643
Rest of SA	20-24	1	M	536
Rest of SA	25-34		F	1431
Rest of SA	25-34		M	2297
Rest of SA	25-34	0	F	16529
Rest of SA	25-34	0	M	17071
Rest of SA	25-34	1	F	2262
Rest of SA	25-34	1	M	1365
Rest of SA	35-44		F	1374
Rest of SA	35-44		M	2252
Rest of SA	35-44	0	F	15894
Rest of SA	35-44	0	M	16362
Rest of SA	35-44	1	F	3544
Rest of SA	35-44	1	M	2050
Rest of SA	45-54		F	1622
Rest of SA	45-54		M	2266
Rest of SA	45-54	0	F	17832
Rest of SA	45-54	0	M	19045
Rest of SA	45-54	1	F	5150
Rest of SA	45-54	1	M	3174
Rest of SA	55-64		F	1737
Rest of SA	55-64		M	2174
Rest of SA	55-64	0	F	20573
Rest of SA	55-64	0	M	22826
Rest of SA	55-64	1	F	6709
Rest of SA	55-64	1	M	4204
Rest of SA	65-74		F	1755
Rest of SA	65-74		M	1929
Rest of SA	65-74	0	F	20924
Rest of SA	65-74	0	M	22687
Rest of SA	65-74	1	F	4607
Rest of SA	65-74	1	M	3339
Rest of SA	75-84		F	1394
Rest of SA	75-84		M	1329
Rest of SA	75-84	0	F	12690
Rest of SA	75-84	0	M	12156
Rest of SA	75-84	1	F	1778
Rest of SA	75-84	1	M	1683
Rest of SA	85+		F	813
Rest of SA	85+		M	520
Rest of SA	85+	0	F	5457
Rest of SA	85+	0	M	3527
Rest of SA	85+	1	F	289
Rest of SA	85+	1	M	443
No usual address (WA)	15-19		F	60
No usual address (WA)	15-19		M	44
No usual address (WA)	15-19	0	F	74
No usual address (WA)	15-19	0	M	65
No usual address (WA)	15-19	1	F	12
No usual address (WA)	15-19	1	M	12
No usual address (WA)	20-24		F	103
No usual address (WA)	20-24		M	133
No usual address (WA)	20-24	0	F	141
No usual address (WA)	20-24	0	M	157
No usual address (WA)	20-24	1	F	12
No usual address (WA)	20-24	1	M	14
No usual address (WA)	25-34		F	266
No usual address (WA)	25-34		M	391
No usual address (WA)	25-34	0	F	404
No usual address (WA)	25-34	0	M	402
No usual address (WA)	25-34	1	F	21
No usual address (WA)	25-34	1	M	27
No usual address (WA)	35-44		F	284
No usual address (WA)	35-44		M	531
No usual address (WA)	35-44	0	F	277
No usual address (WA)	35-44	0	M	359
No usual address (WA)	35-44	1	F	55
No usual address (WA)	35-44	1	M	38
No usual address (WA)	45-54		F	219
No usual address (WA)	45-54		M	514
No usual address (WA)	45-54	0	F	213
No usual address (WA)	45-54	0	M	297
No usual address (WA)	45-54	1	F	38
No usual address (WA)	45-54	1	M	36
No usual address (WA)	55-64		F	160
No usual address (WA)	55-64		M	331
No usual address (WA)	55-64	0	F	278
No usual address (WA)	55-64	0	M	303
No usual address (WA)	55-64	1	F	43
No usual address (WA)	55-64	1	M	29
No usual address (WA)	65-74		F	95
No usual address (WA)	65-74		M	152
No usual address (WA)	65-74	0	F	197
No usual address (WA)	65-74	0	M	269
No usual address (WA)	65-74	1	F	24
No usual address (WA)	65-74	1	M	25
No usual address (WA)	75-84		F	14
No usual address (WA)	75-84		M	48
No usual address (WA)	75-84	0	F	23
No usual address (WA)	75-84	0	M	64
No usual address (WA)	75-84	1	M	3
No usual address (WA)	85+		F	12
No usual address (WA)	85+		M	9
No usual address (WA)	85+	0	F	5
No usual address (WA)	85+	0	M	7
Migratory - Offshore - Shipping (WA)	15-19		M	7
Migratory - Offshore - Shipping (WA)	15-19	0	M	3
Migratory - Offshore - Shipping (WA)	20-24		F	5
Migratory - Offshore - Shipping (WA)	20-24		M	13
Migratory - Offshore - Shipping (WA)	20-24	0	F	5
Migratory - Offshore - Shipping (WA)	20-24	0	M	9
Migratory - Offshore - Shipping (WA)	25-34		F	3
Migratory - Offshore - Shipping (WA)	25-34		M	44
Migratory - Offshore - Shipping (WA)	25-34	0	F	8
Migratory - Offshore - Shipping (WA)	25-34	0	M	54
Migratory - Offshore - Shipping (WA)	35-44		F	3
Migratory - Offshore - Shipping (WA)	35-44		M	71
Migratory - Offshore - Shipping (WA)	35-44	0	F	9
Migratory - Offshore - Shipping (WA)	35-44	0	M	82
