GCCSA_NAME21	EduInstitutionType	Sex	students
No usual address (WA)	Secondary	F	54
No usual address (WA)	Secondary	M	52
No usual address (WA)	Technical or Further Educational Institution	F	60
No usual address (WA)	Technical or Further Educational Institution	M	40
No usual address (WA)	University or other tertiary	F	70
No usual address (WA)	University or other tertiary	M	45
Migratory - Offshore - Shipping (WA)		F	20
Migratory - Offshore - Shipping (WA)		M	193
Migratory - Offshore - Shipping (WA)	Technical or Further Educational Institution	M	7
Migratory - Offshore - Shipping (WA)	University or other tertiary	M	3
Greater Perth		F	58912
Greater Perth		M	68561
Greater Perth	Infants/Primary	F	86948
Greater Perth	Infants/Primary	M	91142
Greater Perth	Pre-school	F	17696
Greater Perth	Pre-school	M	19258
Greater Perth	Secondary	F	69589
Greater Perth	Secondary	M	73175
Greater Perth	Technical or Further Educational Institution	F	27051
Greater Perth	Technical or Further Educational Institution	M	22181
Greater Perth	University or other tertiary	F	60181
Greater Perth	University or other tertiary	M	44091
Rest of WA		F	26120
Rest of WA		M	33708
Rest of WA	Infants/Primary	F	21152
Rest of WA	Infants/Primary	M	22687
Rest of WA	Pre-school	F	4157
Rest of WA	Pre-school	M	4300
Rest of WA	Secondary	F	16336
Rest of WA	Secondary	M	16413
Rest of WA	Technical or Further Educational Institution	F	6057
Rest of WA	Technical or Further Educational Institution	M	4487
Rest of WA	University or other tertiary	F	5474
Rest of WA	University or other tertiary	M	2187
No usual address (Tas.)		F	139
No usual address (Tas.)		M	210
No usual address (Tas.)	Infants/Primary	F	18
No usual address (Tas.)	Infants/Primary	M	30
No usual address (Tas.)	Pre-school	F	5
No usual address (Tas.)	Pre-school	M	9
No usual address (Tas.)	Secondary	F	19
No usual address (Tas.)	Secondary	M	12
No usual address (Tas.)	Technical or Further Educational Institution	F	21
No usual address (Tas.)	Technical or Further Educational Institution	M	17
No usual address (Tas.)	University or other tertiary	F	27
No usual address (Tas.)	University or other tertiary	M	12
Migratory - Offshore - Shipping (Tas.)		M	3
Greater Hobart		F	7070
Greater Hobart		M	7120
Greater Hobart	Infants/Primary	F	9936
Greater Hobart	Infants/Primary	M	10496
Greater Hobart	Pre-school	F	1564
Greater Hobart	Pre-school	M	1662
Greater Hobart	Secondary	F	7165
Greater Hobart	Secondary	M	7386
Greater Hobart	Technical or Further Educational Institution	F	3723
Greater Hobart	Technical or Further Educational Institution	M	4077
Greater Hobart	University or other tertiary	F	6974
Greater Hobart	University or other tertiary	M	5122
Rest of Tas.		F	10511
Rest of Tas.		M	10655
Rest of Tas.	Infants/Primary	F	12080
Rest of Tas.	Infants/Primary	M	12618
Rest of Tas.	Pre-school	F	1598
Rest of Tas.	Pre-school	M	1661
Rest of Tas.	Secondary	F	8654
Rest of Tas.	Secondary	M	8894
Rest of Tas.	Technical or Further Educational Institution	F	3560
Rest of Tas.	Technical or Further Educational Institution	M	3350
Rest of Tas.	University or other tertiary	F	4883
Rest of Tas.	University or other tertiary	M	2815
No usual address (NT)		F	593
No usual address (NT)		M	654
No usual address (NT)	Infants/Primary	F	45
No usual address (NT)	Infants/Primary	M	69
No usual address (NT)	Pre-school	F	8
No usual address (NT)	Pre-school	M	5
No usual address (NT)	Secondary	F	27
No usual address (NT)	Secondary	M	25
No usual address (NT)	Technical or Further Educational Institution	F	11
No usual address (NT)	Technical or Further Educational Institution	M	4
No usual address (NT)	University or other tertiary	F	19
No usual address (NT)	University or other tertiary	M	17
Migratory - Offshore - Shipping (NT)		M	20
Greater Darwin		F	6726
Greater Darwin		M	8120
Greater Darwin	Infants/Primary	F	5950
Greater Darwin	Infants/Primary	M	6099
Greater Darwin	Pre-school	F	1272
Greater Darwin	Pre-school	M	1350
Greater Darwin	Secondary	F	4316
Greater Darwin	Secondary	M	4331
Greater Darwin	Technical or Further Educational Institution	F	1709
Greater Darwin	Technical or Further Educational Institution	M	1442
Greater Darwin	University or other tertiary	F	4624
Greater Darwin	University or other tertiary	M	2663
Rest of NT		F	4713
Rest of NT		M	5808
Rest of NT	Infants/Primary	F	4353
Rest of NT	Infants/Primary	M	4738
Rest of NT	Pre-school	F	764
Rest of NT	Pre-school	M	853
Rest of NT	Secondary	F	2427
Rest of NT	Secondary	M	2514
Rest of NT	Technical or Further Educational Institution	F	624
Rest of NT	Technical or Further Educational Institution	M	486
Rest of NT	University or other tertiary	F	1278
Rest of NT	University or other tertiary	M	611
No usual address (ACT)		F	42
No usual address (ACT)		M	100
No usual address (ACT)	Infants/Primary	F	5
No usual address (ACT)	Infants/Primary	M	6
No usual address (ACT)	Pre-school	M	3
No usual address (ACT)	Secondary	F	23
No usual address (ACT)	Secondary	M	9
No usual address (ACT)	Technical or Further Educational Institution	F	8
No usual address (ACT)	Technical or Further Educational Institution	M	3
No usual address (ACT)	University or other tertiary	F	15
No usual address (ACT)	University or other tertiary	M	18
Australian Capital Territory		F	11633
Australian Capital Territory		M	12230
Australian Capital Territory	Infants/Primary	F	18521
Australian Capital Territory	Infants/Primary	M	19682
Australian Capital Territory	Pre-school	F	4236
Australian Capital Territory	Pre-school	M	4604
Australian Capital Territory	Secondary	F	13554
Australian Capital Territory	Secondary	M	14343
Australian Capital Territory	Technical or Further Educational Institution	F	5997
Australian Capital Territory	Technical or Further Educational Institution	M	5826
Australian Capital Territory	University or other tertiary	F	19997
Australian Capital Territory	University or other tertiary	M	16220
No usual address (OT)		M	3
Other Territories		F	335
Other Territories		M	586
Other Territories	Infants/Primary	F	167
Other Territories	Infants/Primary	M	185
Other Territories	Pre-school	F	33
Other Territories	Pre-school	M	46
Other Territories	Secondary	F	115
Other Territories	Secondary	M	116
Other Territories	Technical or Further Educational Institution	F	41
Other Territories	Technical or Further Educational Institution	M	34
Other Territories	University or other tertiary	F	40
Other Territories	University or other tertiary	M	8
