GCCSA_NAME21	CountryOfBirth	YearOfArrival.max	persons_born_overseas
No usual address (NSW)	NPL	2017	3
No usual address (NSW)	NZL		8
No usual address (NSW)	NZL	1960	4
No usual address (NSW)	NZL	1970	8
No usual address (NSW)	NZL	1980	22
No usual address (NSW)	NZL	1990	52
No usual address (NSW)	NZL	2000	42
No usual address (NSW)	NZL	2010	17
No usual address (NSW)	NZL	2015	16
No usual address (NSW)	NZL	2018	5
No usual address (NSW)	NZL	2021	5
No usual address (NSW)	PAK	2010	4
No usual address (NSW)	PAK	2015	4
No usual address (NSW)	PHL	1990	9
No usual address (NSW)	PHL	2000	12
No usual address (NSW)	PHL	2010	10
No usual address (NSW)	PHL	2015	12
No usual address (NSW)	PHL	2017	3
No usual address (NSW)	PHL	2018	3
No usual address (NSW)	PHL	2019	7
No usual address (NSW)	POL	1990	6
No usual address (NSW)	POL	2010	4
No usual address (NSW)	THA		4
No usual address (NSW)	THA	1990	3
No usual address (NSW)	TWN	2018	8
No usual address (NSW)	TWN	2019	28
No usual address (NSW)	TWN	2020	3
No usual address (NSW)	USA		3
No usual address (NSW)	USA	1970	5
No usual address (NSW)	USA	2000	4
No usual address (NSW)	USA	2010	9
No usual address (NSW)	USA	2015	3
No usual address (NSW)	USA	2019	4
No usual address (NSW)	USA	2020	3
No usual address (NSW)	USA	2021	30
No usual address (NSW)	VNM		3
No usual address (NSW)	VNM	1990	9
No usual address (NSW)	VNM	2000	8
No usual address (NSW)	VNM	2010	9
No usual address (NSW)	VNM	2015	3
No usual address (NSW)	VNM	2019	6
No usual address (NSW)	ZAF	1980	3
No usual address (NSW)	ZAF	1990	9
No usual address (NSW)	ZAF	2000	16
No usual address (NSW)	ZAF	2010	14
No usual address (NSW)	ZAF	2015	3
No usual address (NSW)	ZAF	2021	6
Greater Sydney			7905
Greater Sydney		1951	3780
Greater Sydney		1960	9213
Greater Sydney		1970	22811
Greater Sydney		1980	39137
Greater Sydney		1990	43885
Greater Sydney		2000	47504
Greater Sydney		2010	52795
Greater Sydney		2015	37676
Greater Sydney		2016	14338
Greater Sydney		2017	13921
Greater Sydney		2018	13695
Greater Sydney		2019	14829
Greater Sydney		2020	5359
Greater Sydney		2021	1377
Greater Sydney	AFG		258
Greater Sydney	AFG	1970	7
Greater Sydney	AFG	1980	95
Greater Sydney	AFG	1990	908
Greater Sydney	AFG	2000	2834
Greater Sydney	AFG	2010	4349
Greater Sydney	AFG	2015	3133
Greater Sydney	AFG	2016	516
Greater Sydney	AFG	2017	485
Greater Sydney	AFG	2018	477
Greater Sydney	AFG	2019	494
Greater Sydney	AFG	2020	219
Greater Sydney	AFG	2021	175
Greater Sydney	BGD		391
Greater Sydney	BGD	1970	16
Greater Sydney	BGD	1980	171
Greater Sydney	BGD	1990	809
Greater Sydney	BGD	2000	4056
Greater Sydney	BGD	2010	11009
Greater Sydney	BGD	2015	5696
Greater Sydney	BGD	2016	1211
Greater Sydney	BGD	2017	1323
Greater Sydney	BGD	2018	1235
Greater Sydney	BGD	2019	1159
Greater Sydney	BGD	2020	563
Greater Sydney	BGD	2021	226
Greater Sydney	CAN		158
Greater Sydney	CAN	1951	37
Greater Sydney	CAN	1960	119
Greater Sydney	CAN	1970	590
Greater Sydney	CAN	1980	1074
Greater Sydney	CAN	1990	1143
Greater Sydney	CAN	2000	1494
Greater Sydney	CAN	2010	2358
Greater Sydney	CAN	2015	1507
Greater Sydney	CAN	2016	359
Greater Sydney	CAN	2017	338
Greater Sydney	CAN	2018	431
Greater Sydney	CAN	2019	505
Greater Sydney	CAN	2020	294
Greater Sydney	CAN	2021	87
Greater Sydney	CHN		5355
Greater Sydney	CHN	1951	398
Greater Sydney	CHN	1960	1215
Greater Sydney	CHN	1970	1433
Greater Sydney	CHN	1980	2940
Greater Sydney	CHN	1990	27118
Greater Sydney	CHN	2000	37999
Greater Sydney	CHN	2010	74266
Greater Sydney	CHN	2015	41151
Greater Sydney	CHN	2016	10036
Greater Sydney	CHN	2017	11092
Greater Sydney	CHN	2018	9617
Greater Sydney	CHN	2019	11188
Greater Sydney	CHN	2020	3848
Greater Sydney	CHN	2021	662
Greater Sydney	DEU		517
Greater Sydney	DEU	1951	2163
Greater Sydney	DEU	1960	2548
Greater Sydney	DEU	1970	1897
Greater Sydney	DEU	1980	1340
Greater Sydney	DEU	1990	1559
Greater Sydney	DEU	2000	1592
Greater Sydney	DEU	2010	2911
Greater Sydney	DEU	2015	1507
Greater Sydney	DEU	2016	341
Greater Sydney	DEU	2017	346
Greater Sydney	DEU	2018	360
Greater Sydney	DEU	2019	478
Greater Sydney	DEU	2020	218
Greater Sydney	DEU	2021	75
Greater Sydney	EGY		548
Greater Sydney	EGY	1951	402
Greater Sydney	EGY	1960	1177
Greater Sydney	EGY	1970	2943
Greater Sydney	EGY	1980	1905
Greater Sydney	EGY	1990	2755
Greater Sydney	EGY	2000	2569
Greater Sydney	EGY	2010	3012
Greater Sydney	EGY	2015	2216
Greater Sydney	EGY	2016	495
Greater Sydney	EGY	2017	562
Greater Sydney	EGY	2018	466
Greater Sydney	EGY	2019	391
Greater Sydney	EGY	2020	189
Greater Sydney	EGY	2021	69
Greater Sydney	FJI		744
Greater Sydney	FJI	1951	55
Greater Sydney	FJI	1960	152
Greater Sydney	FJI	1970	423
Greater Sydney	FJI	1980	2026
Greater Sydney	FJI	1990	9043
Greater Sydney	FJI	2000	8727
Greater Sydney	FJI	2010	7480
Greater Sydney	FJI	2015	2684
Greater Sydney	FJI	2016	575
Greater Sydney	FJI	2017	502
Greater Sydney	FJI	2018	665
Greater Sydney	FJI	2019	752
Greater Sydney	FJI	2020	324
Greater Sydney	FJI	2021	57
Greater Sydney	GBR		4274
Greater Sydney	GBR	1951	3338
Greater Sydney	GBR	1960	10000
Greater Sydney	GBR	1970	30182
Greater Sydney	GBR	1980	22118
Greater Sydney	GBR	1990	20566
Greater Sydney	GBR	2000	18517
Greater Sydney	GBR	2010	33136
Greater Sydney	GBR	2015	20490
Greater Sydney	GBR	2016	4118
Greater Sydney	GBR	2017	3876
Greater Sydney	GBR	2018	3976
Greater Sydney	GBR	2019	4234
Greater Sydney	GBR	2020	1992
Greater Sydney	GBR	2021	671
Greater Sydney	GRC		1362
Greater Sydney	GRC	1951	344
Greater Sydney	GRC	1960	5195
Greater Sydney	GRC	1970	13273
Greater Sydney	GRC	1980	3162
Greater Sydney	GRC	1990	928
Greater Sydney	GRC	2000	575
Greater Sydney	GRC	2010	465
Greater Sydney	GRC	2015	1136
Greater Sydney	GRC	2016	164
Greater Sydney	GRC	2017	127
Greater Sydney	GRC	2018	103
Greater Sydney	GRC	2019	88
Greater Sydney	GRC	2020	47
Greater Sydney	GRC	2021	17
Greater Sydney	HKG		736
Greater Sydney	HKG	1951	98
Greater Sydney	HKG	1960	336
Greater Sydney	HKG	1970	974
Greater Sydney	HKG	1980	4157
Greater Sydney	HKG	1990	12200
Greater Sydney	HKG	2000	12888
Greater Sydney	HKG	2010	5714
Greater Sydney	HKG	2015	3448
Greater Sydney	HKG	2016	1023
Greater Sydney	HKG	2017	1067
Greater Sydney	HKG	2018	954
Greater Sydney	HKG	2019	1098
Greater Sydney	HKG	2020	1060
Greater Sydney	HKG	2021	431
Greater Sydney	HRV		413
Greater Sydney	HRV	1951	78
Greater Sydney	HRV	1960	1098
Greater Sydney	HRV	1970	5562
Greater Sydney	HRV	1980	1794
Greater Sydney	HRV	1990	788
Greater Sydney	HRV	2000	2134
Greater Sydney	HRV	2010	683
Greater Sydney	HRV	2015	205
Greater Sydney	HRV	2016	43
Greater Sydney	HRV	2017	28
Greater Sydney	HRV	2018	38
Greater Sydney	HRV	2019	24
Greater Sydney	HRV	2020	9
Greater Sydney	HRV	2021	9
Greater Sydney	IDN		740
Greater Sydney	IDN	1951	72
Greater Sydney	IDN	1960	212
Greater Sydney	IDN	1970	330
Greater Sydney	IDN	1980	1692
Greater Sydney	IDN	1990	4157
Greater Sydney	IDN	2000	7434
Greater Sydney	IDN	2010	8694
Greater Sydney	IDN	2015	4822
Greater Sydney	IDN	2016	1390
Greater Sydney	IDN	2017	1390
Greater Sydney	IDN	2018	1612
Greater Sydney	IDN	2019	1954
Greater Sydney	IDN	2020	816
Greater Sydney	IDN	2021	92
Greater Sydney	IND		2661
Greater Sydney	IND	1951	205
Greater Sydney	IND	1960	228
Greater Sydney	IND	1970	1716
Greater Sydney	IND	1980	2754
Greater Sydney	IND	1990	6345
Greater Sydney	IND	2000	16235
Greater Sydney	IND	2010	53770
Greater Sydney	IND	2015	36900
Greater Sydney	IND	2016	12137
Greater Sydney	IND	2017	13423
Greater Sydney	IND	2018	16106
Greater Sydney	IND	2019	17588
Greater Sydney	IND	2020	6102
Greater Sydney	IND	2021	1631
Greater Sydney	IRL		379
Greater Sydney	IRL	1951	67
Greater Sydney	IRL	1960	323
Greater Sydney	IRL	1970	1448
Greater Sydney	IRL	1980	1607
Greater Sydney	IRL	1990	2902
Greater Sydney	IRL	2000	2309
Greater Sydney	IRL	2010	4727
Greater Sydney	IRL	2015	4260
Greater Sydney	IRL	2016	645
Greater Sydney	IRL	2017	841
Greater Sydney	IRL	2018	1046
Greater Sydney	IRL	2019	1259
Greater Sydney	IRL	2020	499
Greater Sydney	IRL	2021	102
Greater Sydney	IRN		476
Greater Sydney	IRN	1951	9
Greater Sydney	IRN	1960	14
Greater Sydney	IRN	1970	282
Greater Sydney	IRN	1980	1020
Greater Sydney	IRN	1990	3412
Greater Sydney	IRN	2000	3388
Greater Sydney	IRN	2010	5610
Greater Sydney	IRN	2015	7442
Greater Sydney	IRN	2016	884
Greater Sydney	IRN	2017	971
Greater Sydney	IRN	2018	816
Greater Sydney	IRN	2019	1086
Greater Sydney	IRN	2020	438
Greater Sydney	IRN	2021	190
Greater Sydney	IRQ		813
Greater Sydney	IRQ	1951	13
Greater Sydney	IRQ	1960	17
Greater Sydney	IRQ	1970	675
Greater Sydney	IRQ	1980	1018
Greater Sydney	IRQ	1990	1103
Greater Sydney	IRQ	2000	10242
Greater Sydney	IRQ	2010	13872
Greater Sydney	IRQ	2015	10414
Greater Sydney	IRQ	2016	4468
Greater Sydney	IRQ	2017	3130
Greater Sydney	IRQ	2018	1805
Greater Sydney	IRQ	2019	4018
Greater Sydney	IRQ	2020	914
Greater Sydney	IRQ	2021	92
Greater Sydney	ITA		1805
Greater Sydney	ITA	1951	1142
Greater Sydney	ITA	1960	10472
Greater Sydney	ITA	1970	12654
Greater Sydney	ITA	1980	3252
Greater Sydney	ITA	1990	1213
Greater Sydney	ITA	2000	988
Greater Sydney	ITA	2010	1745
Greater Sydney	ITA	2015	3029
Greater Sydney	ITA	2016	557
Greater Sydney	ITA	2017	551
Greater Sydney	ITA	2018	499
Greater Sydney	ITA	2019	610
Greater Sydney	ITA	2020	209
Greater Sydney	ITA	2021	48
Greater Sydney	JPN		306
Greater Sydney	JPN	1951	17
Greater Sydney	JPN	1960	92
Greater Sydney	JPN	1970	138
Greater Sydney	JPN	1980	469
Greater Sydney	JPN	1990	1518
Greater Sydney	JPN	2000	2568
Greater Sydney	JPN	2010	3397
Greater Sydney	JPN	2015	1771
Greater Sydney	JPN	2016	458
Greater Sydney	JPN	2017	457
Greater Sydney	JPN	2018	540
Greater Sydney	JPN	2019	683
Greater Sydney	JPN	2020	332
Greater Sydney	JPN	2021	201
Greater Sydney	KOR		1175
Greater Sydney	KOR	1951	9
Greater Sydney	KOR	1960	9
Greater Sydney	KOR	1970	49
Greater Sydney	KOR	1980	2009
Greater Sydney	KOR	1990	7442
Greater Sydney	KOR	2000	9618
Greater Sydney	KOR	2010	16889
Greater Sydney	KOR	2015	7063
Greater Sydney	KOR	2016	1487
Greater Sydney	KOR	2017	1304
Greater Sydney	KOR	2018	1367
Greater Sydney	KOR	2019	1517
Greater Sydney	KOR	2020	606
Greater Sydney	KOR	2021	154
Greater Sydney	LBN		2185
Greater Sydney	LBN	1951	218
Greater Sydney	LBN	1960	1384
Greater Sydney	LBN	1970	7968
Greater Sydney	LBN	1980	14339
Greater Sydney	LBN	1990	11611
Greater Sydney	LBN	2000	8452
Greater Sydney	LBN	2010	8061
Greater Sydney	LBN	2015	3547
Greater Sydney	LBN	2016	722
Greater Sydney	LBN	2017	846
Greater Sydney	LBN	2018	763
Greater Sydney	LBN	2019	854
Greater Sydney	LBN	2020	447
Greater Sydney	LBN	2021	214
Greater Sydney	LKA		480
Greater Sydney	LKA	1951	23
Greater Sydney	LKA	1960	93
Greater Sydney	LKA	1970	502
Greater Sydney	LKA	1980	1202
Greater Sydney	LKA	1990	5121
Greater Sydney	LKA	2000	6308
Greater Sydney	LKA	2010	7630
Greater Sydney	LKA	2015	4050
Greater Sydney	LKA	2016	706
Greater Sydney	LKA	2017	669
Greater Sydney	LKA	2018	682
Greater Sydney	LKA	2019	839
Greater Sydney	LKA	2020	344
Greater Sydney	LKA	2021	147
Greater Sydney	MKD		330
Greater Sydney	MKD	1951	9
Greater Sydney	MKD	1960	200
Greater Sydney	MKD	1970	3334
Greater Sydney	MKD	1980	3261
Greater Sydney	MKD	1990	1618
Greater Sydney	MKD	2000	1399
Greater Sydney	MKD	2010	894
Greater Sydney	MKD	2015	349
Greater Sydney	MKD	2016	88
Greater Sydney	MKD	2017	81
Greater Sydney	MKD	2018	61
Greater Sydney	MKD	2019	75
Greater Sydney	MKD	2020	25
Greater Sydney	MKD	2021	13
Greater Sydney	MYS		795
Greater Sydney	MYS	1951	52
Greater Sydney	MYS	1960	249
Greater Sydney	MYS	1970	1401
Greater Sydney	MYS	1980	3520
Greater Sydney	MYS	1990	7708
Greater Sydney	MYS	2000	3739
Greater Sydney	MYS	2010	6496
Greater Sydney	MYS	2015	3963
Greater Sydney	MYS	2016	1514
Greater Sydney	MYS	2017	1770
Greater Sydney	MYS	2018	1621
Greater Sydney	MYS	2019	1503
Greater Sydney	MYS	2020	529
Greater Sydney	MYS	2021	139
Greater Sydney	NLD		265
Greater Sydney	NLD	1951	399
Greater Sydney	NLD	1960	2664
Greater Sydney	NLD	1970	977
Greater Sydney	NLD	1980	586
Greater Sydney	NLD	1990	609
Greater Sydney	NLD	2000	594
Greater Sydney	NLD	2010	1042
Greater Sydney	NLD	2015	648
Greater Sydney	NLD	2016	185
Greater Sydney	NLD	2017	163
Greater Sydney	NLD	2018	200
Greater Sydney	NLD	2019	238
Greater Sydney	NLD	2020	96
Greater Sydney	NLD	2021	37
Greater Sydney	NPL		1066
Greater Sydney	NPL	1970	4
Greater Sydney	NPL	1980	11
Greater Sydney	NPL	1990	83
Greater Sydney	NPL	2000	1320
Greater Sydney	NPL	2010	12394
Greater Sydney	NPL	2015	8446
Greater Sydney	NPL	2016	3616
Greater Sydney	NPL	2017	7253
Greater Sydney	NPL	2018	12194
Greater Sydney	NPL	2019	10082
Greater Sydney	NPL	2020	2463
Greater Sydney	NPL	2021	134
Greater Sydney	NZL		2673
Greater Sydney	NZL	1951	339
Greater Sydney	NZL	1960	732
Greater Sydney	NZL	1970	3737
Greater Sydney	NZL	1980	9056
Greater Sydney	NZL	1990	14057
Greater Sydney	NZL	2000	17412
Greater Sydney	NZL	2010	18491
Greater Sydney	NZL	2015	10002
Greater Sydney	NZL	2016	1742
Greater Sydney	NZL	2017	1785
Greater Sydney	NZL	2018	1841
Greater Sydney	NZL	2019	1846
Greater Sydney	NZL	2020	938
Greater Sydney	NZL	2021	837
Greater Sydney	PAK		481
Greater Sydney	PAK	1951	3
Greater Sydney	PAK	1960	21
Greater Sydney	PAK	1970	89
Greater Sydney	PAK	1980	404
Greater Sydney	PAK	1990	1666
Greater Sydney	PAK	2000	3144
Greater Sydney	PAK	2010	6465
Greater Sydney	PAK	2015	8316
Greater Sydney	PAK	2016	2120
Greater Sydney	PAK	2017	2246
Greater Sydney	PAK	2018	2329
Greater Sydney	PAK	2019	2229
Greater Sydney	PAK	2020	1124
Greater Sydney	PAK	2021	394
Greater Sydney	PHL		1624
Greater Sydney	PHL	1951	19
Greater Sydney	PHL	1960	32
Greater Sydney	PHL	1970	526
Greater Sydney	PHL	1980	4335
Greater Sydney	PHL	1990	19608
Greater Sydney	PHL	2000	16804
Greater Sydney	PHL	2010	18466
Greater Sydney	PHL	2015	12848
Greater Sydney	PHL	2016	3111
Greater Sydney	PHL	2017	3111
Greater Sydney	PHL	2018	3810
Greater Sydney	PHL	2019	5115
Greater Sydney	PHL	2020	1627
Greater Sydney	PHL	2021	311
Greater Sydney	POL		293
Greater Sydney	POL	1951	449
Greater Sydney	POL	1960	406
Greater Sydney	POL	1970	544
Greater Sydney	POL	1980	987
Greater Sydney	POL	1990	4160
Greater Sydney	POL	2000	1330
Greater Sydney	POL	2010	1433
Greater Sydney	POL	2015	1007
Greater Sydney	POL	2016	249
Greater Sydney	POL	2017	257
Greater Sydney	POL	2018	240
Greater Sydney	POL	2019	226
Greater Sydney	POL	2020	76
Greater Sydney	POL	2021	21
Greater Sydney	SGP		225
Greater Sydney	SGP	1951	33
Greater Sydney	SGP	1960	168
Greater Sydney	SGP	1970	450
Greater Sydney	SGP	1980	1251
Greater Sydney	SGP	1990	2006
Greater Sydney	SGP	2000	1712
Greater Sydney	SGP	2010	3172
Greater Sydney	SGP	2015	1713
Greater Sydney	SGP	2016	504
Greater Sydney	SGP	2017	496
Greater Sydney	SGP	2018	502
Greater Sydney	SGP	2019	467
Greater Sydney	SGP	2020	350
Greater Sydney	SGP	2021	146
Greater Sydney	THA		806
Greater Sydney	THA	1951	3
Greater Sydney	THA	1960	13
Greater Sydney	THA	1970	98
Greater Sydney	THA	1980	554
Greater Sydney	THA	1990	2549
Greater Sydney	THA	2000	3232
Greater Sydney	THA	2010	7571
Greater Sydney	THA	2015	5724
Greater Sydney	THA	2016	1734
Greater Sydney	THA	2017	1184
Greater Sydney	THA	2018	1070
Greater Sydney	THA	2019	1265
Greater Sydney	THA	2020	419
Greater Sydney	THA	2021	105
Greater Sydney	TWN		288
Greater Sydney	TWN	1960	3
Greater Sydney	TWN	1970	36
Greater Sydney	TWN	1980	195
Greater Sydney	TWN	1990	2298
Greater Sydney	TWN	2000	2868
Greater Sydney	TWN	2010	2381
Greater Sydney	TWN	2015	2098
Greater Sydney	TWN	2016	579
Greater Sydney	TWN	2017	606
Greater Sydney	TWN	2018	655
Greater Sydney	TWN	2019	749
Greater Sydney	TWN	2020	258
Greater Sydney	TWN	2021	41
Greater Sydney	USA		561
Greater Sydney	USA	1951	78
Greater Sydney	USA	1960	169
Greater Sydney	USA	1970	981
Greater Sydney	USA	1980	1822
Greater Sydney	USA	1990	2230
Greater Sydney	USA	2000	3281
Greater Sydney	USA	2010	5703
Greater Sydney	USA	2015	4274
Greater Sydney	USA	2016	1119
Greater Sydney	USA	2017	1169
Greater Sydney	USA	2018	1317
Greater Sydney	USA	2019	1667
Greater Sydney	USA	2020	1111
Greater Sydney	USA	2021	411
Greater Sydney	VNM		3403
Greater Sydney	VNM	1951	19
Greater Sydney	VNM	1960	41
Greater Sydney	VNM	1970	193
Greater Sydney	VNM	1980	12654
Greater Sydney	VNM	1990	26659
Greater Sydney	VNM	2000	16629
Greater Sydney	VNM	2010	12669
Greater Sydney	VNM	2015	9891
Greater Sydney	VNM	2016	2497
Greater Sydney	VNM	2017	2462
Greater Sydney	VNM	2018	2317
Greater Sydney	VNM	2019	2623
Greater Sydney	VNM	2020	1335
Greater Sydney	VNM	2021	385
Greater Sydney	ZAF		543
Greater Sydney	ZAF	1951	32
Greater Sydney	ZAF	1960	158
Greater Sydney	ZAF	1970	718
Greater Sydney	ZAF	1980	3212
Greater Sydney	ZAF	1990	6295
Greater Sydney	ZAF	2000	7965
Greater Sydney	ZAF	2010	10652
Greater Sydney	ZAF	2015	3996
Greater Sydney	ZAF	2016	1279
Greater Sydney	ZAF	2017	1133
Greater Sydney	ZAF	2018	1168
Greater Sydney	ZAF	2019	1356
Greater Sydney	ZAF	2020	778
Greater Sydney	ZAF	2021	281
Rest of NSW			1982
Rest of NSW		1951	1364
Rest of NSW		1960	3756
Rest of NSW		1970	6801
Rest of NSW		1980	7442
Rest of NSW		1990	5137
Rest of NSW		2000	4671
Rest of NSW		2010	8208
Rest of NSW		2015	5899
Rest of NSW		2016	1799
Rest of NSW		2017	1511
Rest of NSW		2018	1945
Rest of NSW		2019	2714
Rest of NSW		2020	1046
Rest of NSW		2021	471
Rest of NSW	AFG		25
Rest of NSW	AFG	1980	3
Rest of NSW	AFG	1990	14
Rest of NSW	AFG	2000	24
Rest of NSW	AFG	2010	79
Rest of NSW	AFG	2015	325
Rest of NSW	AFG	2016	45
Rest of NSW	AFG	2017	50
Rest of NSW	AFG	2018	28
Rest of NSW	AFG	2019	60
Rest of NSW	AFG	2020	5
Rest of NSW	AFG	2021	9
Rest of NSW	BGD		22
Rest of NSW	BGD	1980	11
Rest of NSW	BGD	1990	18
Rest of NSW	BGD	2000	82
Rest of NSW	BGD	2010	413
Rest of NSW	BGD	2015	501
Rest of NSW	BGD	2016	123
Rest of NSW	BGD	2017	213
Rest of NSW	BGD	2018	147
Rest of NSW	BGD	2019	152
Rest of NSW	BGD	2020	37
Rest of NSW	BGD	2021	16
Rest of NSW	CAN		95
Rest of NSW	CAN	1951	25
Rest of NSW	CAN	1960	64
Rest of NSW	CAN	1970	385
Rest of NSW	CAN	1980	602
Rest of NSW	CAN	1990	546
Rest of NSW	CAN	2000	577
Rest of NSW	CAN	2010	1056
Rest of NSW	CAN	2015	639
Rest of NSW	CAN	2016	111
Rest of NSW	CAN	2017	138
Rest of NSW	CAN	2018	131
Rest of NSW	CAN	2019	172
Rest of NSW	CAN	2020	117
Rest of NSW	CAN	2021	25
Rest of NSW	CHN		343
Rest of NSW	CHN	1951	66
Rest of NSW	CHN	1960	136
Rest of NSW	CHN	1970	123
Rest of NSW	CHN	1980	190
Rest of NSW	CHN	1990	601
Rest of NSW	CHN	2000	813
Rest of NSW	CHN	2010	2375
Rest of NSW	CHN	2015	1634
Rest of NSW	CHN	2016	471
Rest of NSW	CHN	2017	640
Rest of NSW	CHN	2018	646
Rest of NSW	CHN	2019	901
Rest of NSW	CHN	2020	192
Rest of NSW	CHN	2021	57
Rest of NSW	DEU		401
Rest of NSW	DEU	1951	1766
Rest of NSW	DEU	1960	3085
Rest of NSW	DEU	1970	1427
Rest of NSW	DEU	1980	754
Rest of NSW	DEU	1990	1066
Rest of NSW	DEU	2000	658
Rest of NSW	DEU	2010	936
Rest of NSW	DEU	2015	463
Rest of NSW	DEU	2016	88
Rest of NSW	DEU	2017	110
Rest of NSW	DEU	2018	90
Rest of NSW	DEU	2019	98
Rest of NSW	DEU	2020	75
Rest of NSW	DEU	2021	12
Rest of NSW	EGY		59
Rest of NSW	EGY	1951	68
Rest of NSW	EGY	1960	202
Rest of NSW	EGY	1970	228
Rest of NSW	EGY	1980	96
Rest of NSW	EGY	1990	60
Rest of NSW	EGY	2000	89
Rest of NSW	EGY	2010	215
Rest of NSW	EGY	2015	167
Rest of NSW	EGY	2016	30
