GCCSA_NAME21	Age	NeedsAssistance	Sex	persons
Australian Capital Territory	25-34	0	F	36561
Australian Capital Territory	25-34	0	M	36009
Australian Capital Territory	25-34	1	F	730
Australian Capital Territory	25-34	1	M	565
Australian Capital Territory	35-44		F	1258
Australian Capital Territory	35-44		M	1512
Australian Capital Territory	35-44	0	F	32962
Australian Capital Territory	35-44	0	M	32170
Australian Capital Territory	35-44	1	F	791
Australian Capital Territory	35-44	1	M	587
Australian Capital Territory	45-54		F	939
Australian Capital Territory	45-54		M	1097
Australian Capital Territory	45-54	0	F	26478
Australian Capital Territory	45-54	0	M	25966
Australian Capital Territory	45-54	1	F	922
Australian Capital Territory	45-54	1	M	721
Australian Capital Territory	55-64		F	747
Australian Capital Territory	55-64		M	895
Australian Capital Territory	55-64	0	F	21545
Australian Capital Territory	55-64	0	M	20091
Australian Capital Territory	55-64	1	F	1174
Australian Capital Territory	55-64	1	M	882
Australian Capital Territory	65-74		F	733
Australian Capital Territory	65-74		M	670
Australian Capital Territory	65-74	0	F	16658
Australian Capital Territory	65-74	0	M	14753
Australian Capital Territory	65-74	1	F	1624
Australian Capital Territory	65-74	1	M	1206
Australian Capital Territory	75-84		F	468
Australian Capital Territory	75-84		M	449
Australian Capital Territory	75-84	0	F	7739
Australian Capital Territory	75-84	0	M	6887
Australian Capital Territory	75-84	1	F	2344
Australian Capital Territory	75-84	1	M	1450
Australian Capital Territory	85+		F	297
Australian Capital Territory	85+		M	192
Australian Capital Territory	85+	0	F	1698
Australian Capital Territory	85+	0	M	1475
Australian Capital Territory	85+	1	F	2318
Australian Capital Territory	85+	1	M	1196
No usual address (OT)	55-64	0	M	3
Other Territories	0-4		F	16
Other Territories	0-4		M	15
Other Territories	0-4	0	F	98
Other Territories	0-4	0	M	115
Other Territories	5-14		F	36
Other Territories	5-14		M	49
Other Territories	5-14	0	F	231
Other Territories	5-14	0	M	256
Other Territories	5-14	1	F	5
Other Territories	5-14	1	M	9
Other Territories	15-19		F	14
Other Territories	15-19		M	12
Other Territories	15-19	0	F	88
Other Territories	15-19	0	M	76
Other Territories	20-24		F	18
Other Territories	20-24		M	40
Other Territories	20-24	0	F	89
Other Territories	20-24	0	M	72
Other Territories	20-24	1	M	6
Other Territories	25-34		F	46
Other Territories	25-34		M	154
Other Territories	25-34	0	F	186
Other Territories	25-34	0	M	176
Other Territories	25-34	1	F	6
Other Territories	35-44		F	48
Other Territories	35-44		M	106
Other Territories	35-44	0	F	260
Other Territories	35-44	0	M	221
Other Territories	35-44	1	F	3
Other Territories	35-44	1	M	3
Other Territories	45-54		F	39
Other Territories	45-54		M	92
Other Territories	45-54	0	F	269
Other Territories	45-54	0	M	254
Other Territories	45-54	1	F	3
Other Territories	55-64		F	44
Other Territories	55-64		M	54
Other Territories	55-64	0	F	324
Other Territories	55-64	0	M	317
Other Territories	55-64	1	F	12
Other Territories	55-64	1	M	12
Other Territories	65-74		F	26
Other Territories	65-74		M	45
Other Territories	65-74	0	F	215
Other Territories	65-74	0	M	256
Other Territories	65-74	1	F	21
Other Territories	65-74	1	M	17
Other Territories	75-84		F	17
Other Territories	75-84		M	20
Other Territories	75-84	0	F	87
Other Territories	75-84	0	M	91
Other Territories	75-84	1	F	25
Other Territories	75-84	1	M	14
Other Territories	85+	0	F	13
Other Territories	85+	0	M	17
Other Territories	85+	1	F	14
Other Territories	85+	1	M	14
