GCCSA_NAME21	Age	NeedsAssistance	Sex	persons
No usual address (Vic.)	20-24	1	M	20
No usual address (Vic.)	25-34		F	301
No usual address (Vic.)	25-34		M	382
No usual address (Vic.)	25-34	0	F	548
No usual address (Vic.)	25-34	0	M	527
No usual address (Vic.)	25-34	1	F	33
No usual address (Vic.)	25-34	1	M	24
No usual address (Vic.)	35-44		F	337
No usual address (Vic.)	35-44		M	519
No usual address (Vic.)	35-44	0	F	342
No usual address (Vic.)	35-44	0	M	449
No usual address (Vic.)	35-44	1	F	48
No usual address (Vic.)	35-44	1	M	42
No usual address (Vic.)	45-54		F	185
No usual address (Vic.)	45-54		M	458
No usual address (Vic.)	45-54	0	F	238
No usual address (Vic.)	45-54	0	M	397
No usual address (Vic.)	45-54	1	F	58
No usual address (Vic.)	45-54	1	M	63
No usual address (Vic.)	55-64		F	112
No usual address (Vic.)	55-64		M	283
No usual address (Vic.)	55-64	0	F	285
No usual address (Vic.)	55-64	0	M	315
No usual address (Vic.)	55-64	1	F	33
No usual address (Vic.)	55-64	1	M	46
No usual address (Vic.)	65-74		F	61
No usual address (Vic.)	65-74		M	134
No usual address (Vic.)	65-74	0	F	142
No usual address (Vic.)	65-74	0	M	232
No usual address (Vic.)	65-74	1	F	15
No usual address (Vic.)	65-74	1	M	21
No usual address (Vic.)	75-84		F	5
No usual address (Vic.)	75-84		M	25
No usual address (Vic.)	75-84	0	F	45
No usual address (Vic.)	75-84	0	M	61
No usual address (Vic.)	75-84	1	F	14
No usual address (Vic.)	75-84	1	M	12
No usual address (Vic.)	85+		F	8
No usual address (Vic.)	85+		M	8
No usual address (Vic.)	85+	0	F	9
No usual address (Vic.)	85+	0	M	3
No usual address (Vic.)	85+	1	F	7
No usual address (Vic.)	85+	1	M	4
Migratory - Offshore - Shipping (Vic.)	35-44		M	9
Migratory - Offshore - Shipping (Vic.)	35-44	0	M	4
Migratory - Offshore - Shipping (Vic.)	45-54		M	3
Migratory - Offshore - Shipping (Vic.)	55-64		F	3
Migratory - Offshore - Shipping (Vic.)	55-64		M	7
Migratory - Offshore - Shipping (Vic.)	55-64	0	M	3
Greater Melbourne	0-4		F	7307
Greater Melbourne	0-4		M	7498
Greater Melbourne	0-4	0	F	132727
Greater Melbourne	0-4	0	M	139410
Greater Melbourne	0-4	1	F	1356
Greater Melbourne	0-4	1	M	2351
Greater Melbourne	5-14		F	14306
Greater Melbourne	5-14		M	15115
Greater Melbourne	5-14	0	F	270342
Greater Melbourne	5-14	0	M	277460
Greater Melbourne	5-14	1	F	7682
Greater Melbourne	5-14	1	M	16031
Greater Melbourne	15-19		F	5976
Greater Melbourne	15-19		M	6401
Greater Melbourne	15-19	0	F	124515
Greater Melbourne	15-19	0	M	129224
Greater Melbourne	15-19	1	F	3339
Greater Melbourne	15-19	1	M	5243
Greater Melbourne	20-24		F	7774
Greater Melbourne	20-24		M	9493
Greater Melbourne	20-24	0	F	149464
Greater Melbourne	20-24	0	M	155219
Greater Melbourne	20-24	1	F	2847
Greater Melbourne	20-24	1	M	3739
Greater Melbourne	25-34		F	21070
Greater Melbourne	25-34		M	23640
Greater Melbourne	25-34	0	F	370973
Greater Melbourne	25-34	0	M	360966
Greater Melbourne	25-34	1	F	6046
Greater Melbourne	25-34	1	M	5987
Greater Melbourne	35-44		F	17029
Greater Melbourne	35-44		M	18847
Greater Melbourne	35-44	0	F	347061
Greater Melbourne	35-44	0	M	338686
Greater Melbourne	35-44	1	F	7116
Greater Melbourne	35-44	1	M	6367
Greater Melbourne	45-54		F	13217
Greater Melbourne	45-54		M	14565
Greater Melbourne	45-54	0	F	298367
Greater Melbourne	45-54	0	M	282823
Greater Melbourne	45-54	1	F	11178
Greater Melbourne	45-54	1	M	8962
Greater Melbourne	55-64		F	10733
Greater Melbourne	55-64		M	11438
Greater Melbourne	55-64	0	F	245968
Greater Melbourne	55-64	0	M	232058
Greater Melbourne	55-64	1	F	16653
Greater Melbourne	55-64	1	M	13124
