GCCSA_NAME21	CountryOfBirth	persons
No usual address (Vic.)	USA	36
No usual address (Vic.)	VNM	38
No usual address (Vic.)	WSM	6
No usual address (Vic.)	ZAF	28
No usual address (Vic.)	ZWE	5
Migratory - Offshore - Shipping (Vic.)		27
Migratory - Offshore - Shipping (Vic.)	AUS	9
Migratory - Offshore - Shipping (Vic.)	PHL	5
Greater Melbourne		405802
Greater Melbourne	AFG	23525
Greater Melbourne	AUS	2947151
Greater Melbourne	BGD	9693
Greater Melbourne	BIH	8502
Greater Melbourne	BRA	5427
Greater Melbourne	CAN	8449
Greater Melbourne	CHL	7870
Greater Melbourne	CHN	166023
Greater Melbourne	DEU	19125
Greater Melbourne	EGY	13312
Greater Melbourne	FJI	11450
Greater Melbourne	FRA	7063
Greater Melbourne	GBR	156074
Greater Melbourne	GRC	44956
Greater Melbourne	HKG	24428
Greater Melbourne	HRV	12902
Greater Melbourne	IDN	19294
Greater Melbourne	IND	242635
Greater Melbourne	IRL	14742
Greater Melbourne	IRN	20922
Greater Melbourne	IRQ	25041
Greater Melbourne	ITA	58081
Greater Melbourne	JPN	8476
Greater Melbourne	KHM	16277
Greater Melbourne	KOR	14730
Greater Melbourne	LBN	18333
Greater Melbourne	LKA	65152
Greater Melbourne	MKD	18028
Greater Melbourne	MLT	15128
Greater Melbourne	MMR	12392
Greater Melbourne	MUS	11700
Greater Melbourne	MYS	57345
Greater Melbourne	NLD	11558
Greater Melbourne	NPL	18510
Greater Melbourne	NZL	82939
Greater Melbourne	PAK	29067
Greater Melbourne	PHL	58935
Greater Melbourne	PNG	2023
Greater Melbourne	POL	13052
Greater Melbourne	SGP	17087
Greater Melbourne	THA	17360
Greater Melbourne	TUR	17716
Greater Melbourne	TWN	9362
Greater Melbourne	USA	20231
Greater Melbourne	VNM	90552
Greater Melbourne	WSM	7200
Greater Melbourne	ZAF	27056
Greater Melbourne	ZWE	5075
Rest of Vic.		124314
Rest of Vic.	AFG	1898
Rest of Vic.	AUS	1277245
Rest of Vic.	BGD	591
Rest of Vic.	BIH	681
Rest of Vic.	BRA	445
Rest of Vic.	CAN	1967
Rest of Vic.	CHL	415
Rest of Vic.	CHN	5373
Rest of Vic.	DEU	6209
Rest of Vic.	EGY	767
Rest of Vic.	FJI	975
Rest of Vic.	FRA	1001
Rest of Vic.	GBR	48908
Rest of Vic.	GRC	1664
Rest of Vic.	HKG	884
Rest of Vic.	HRV	2349
Rest of Vic.	IDN	1332
Rest of Vic.	IND	15463
Rest of Vic.	IRL	2689
Rest of Vic.	IRN	978
Rest of Vic.	IRQ	1036
Rest of Vic.	ITA	6700
Rest of Vic.	JPN	766
Rest of Vic.	KHM	476
Rest of Vic.	KOR	696
Rest of Vic.	LBN	351
Rest of Vic.	LKA	2883
Rest of Vic.	MKD	986
Rest of Vic.	MLT	1712
Rest of Vic.	MMR	1823
Rest of Vic.	MUS	642
Rest of Vic.	MYS	5243
Rest of Vic.	NLD	6901
Rest of Vic.	NPL	1632
Rest of Vic.	NZL	16247
Rest of Vic.	PAK	1854
Rest of Vic.	PHL	9480
Rest of Vic.	PNG	688
Rest of Vic.	POL	1140
Rest of Vic.	SGP	853
Rest of Vic.	THA	3690
Rest of Vic.	TUR	946
Rest of Vic.	TWN	1348
Rest of Vic.	USA	3691
Rest of Vic.	VNM	3011
Rest of Vic.	WSM	512
Rest of Vic.	ZAF	4186
Rest of Vic.	ZWE	967
No usual address (Qld)		3152
No usual address (Qld)	AFG	5
No usual address (Qld)	AUS	9019
No usual address (Qld)	BIH	8
No usual address (Qld)	BRA	25
No usual address (Qld)	CAN	46
No usual address (Qld)	CHL	37
No usual address (Qld)	CHN	69
No usual address (Qld)	DEU	101
No usual address (Qld)	EGY	3
No usual address (Qld)	FJI	16
No usual address (Qld)	FRA	81
No usual address (Qld)	GBR	734
No usual address (Qld)	GRC	3
No usual address (Qld)	HKG	14
No usual address (Qld)	HRV	4
No usual address (Qld)	IDN	34
No usual address (Qld)	IND	48
No usual address (Qld)	IRL	51
No usual address (Qld)	IRN	10
No usual address (Qld)	IRQ	4
No usual address (Qld)	ITA	54
No usual address (Qld)	JPN	21
No usual address (Qld)	KOR	29
No usual address (Qld)	LBN	3
No usual address (Qld)	LKA	9
No usual address (Qld)	MLT	9
No usual address (Qld)	MMR	3
No usual address (Qld)	MYS	29
No usual address (Qld)	NLD	72
No usual address (Qld)	NPL	8
No usual address (Qld)	NZL	565
No usual address (Qld)	PAK	14
No usual address (Qld)	PHL	61
No usual address (Qld)	PNG	41
No usual address (Qld)	POL	9
No usual address (Qld)	SGP	3
No usual address (Qld)	THA	17
No usual address (Qld)	TUR	3
No usual address (Qld)	TWN	45
No usual address (Qld)	USA	62
No usual address (Qld)	VNM	24
No usual address (Qld)	WSM	7
No usual address (Qld)	ZAF	89
No usual address (Qld)	ZWE	15
Migratory - Offshore - Shipping (Qld)		128
Migratory - Offshore - Shipping (Qld)	AUS	29
Migratory - Offshore - Shipping (Qld)	ITA	3
Migratory - Offshore - Shipping (Qld)	PHL	16
Greater Brisbane		188874
Greater Brisbane	AFG	4293
Greater Brisbane	AUS	1726655
Greater Brisbane	BGD	2325
Greater Brisbane	BIH	2510
Greater Brisbane	BRA	5626
Greater Brisbane	CAN	6093
Greater Brisbane	CHL	1908
Greater Brisbane	CHN	41978
Greater Brisbane	DEU	9477
Greater Brisbane	EGY	1641
Greater Brisbane	FJI	10800
Greater Brisbane	FRA	3547
Greater Brisbane	GBR	110305
Greater Brisbane	GRC	2261
Greater Brisbane	HKG	9799
Greater Brisbane	HRV	1972
Greater Brisbane	IDN	5261
Greater Brisbane	IND	51650
Greater Brisbane	IRL	7654
Greater Brisbane	IRN	6288
Greater Brisbane	IRQ	2673
Greater Brisbane	ITA	6540
Greater Brisbane	JPN	5646
Greater Brisbane	KHM	1930
Greater Brisbane	KOR	13305
Greater Brisbane	LBN	1158
Greater Brisbane	LKA	8748
Greater Brisbane	MKD	709
Greater Brisbane	MLT	932
Greater Brisbane	MMR	3410
Greater Brisbane	MUS	934
Greater Brisbane	MYS	11826
Greater Brisbane	NLD	6402
Greater Brisbane	NPL	6459
Greater Brisbane	NZL	111649
Greater Brisbane	PAK	4897
Greater Brisbane	PHL	27907
Greater Brisbane	PNG	9044
Greater Brisbane	POL	3261
Greater Brisbane	SGP	5171
Greater Brisbane	THA	7521
Greater Brisbane	TUR	1247
Greater Brisbane	TWN	12826
Greater Brisbane	USA	10530
Greater Brisbane	VNM	20308
Greater Brisbane	WSM	8032
Greater Brisbane	ZAF	26918
Greater Brisbane	ZWE	5348
Rest of Qld		239032
Rest of Qld	AFG	437
Rest of Qld	AUS	1944312
Rest of Qld	BGD	984
Rest of Qld	BIH	1100
Rest of Qld	BRA	6896
Rest of Qld	CAN	6741
Rest of Qld	CHL	1464
Rest of Qld	CHN	13713
Rest of Qld	DEU	11402
Rest of Qld	EGY	1313
Rest of Qld	FJI	3644
Rest of Qld	FRA	3451
Rest of Qld	GBR	109618
Rest of Qld	GRC	1094
Rest of Qld	HKG	3019
Rest of Qld	HRV	1654
Rest of Qld	IDN	3403
Rest of Qld	IND	20124
Rest of Qld	IRL	4901
Rest of Qld	IRN	1724
Rest of Qld	IRQ	2649
Rest of Qld	ITA	6624
Rest of Qld	JPN	7568
Rest of Qld	KHM	565
Rest of Qld	KOR	6325
Rest of Qld	LBN	498
Rest of Qld	LKA	3252
Rest of Qld	MKD	429
Rest of Qld	MLT	1539
Rest of Qld	MMR	883
Rest of Qld	MUS	866
Rest of Qld	MYS	4767
Rest of Qld	NLD	7273
Rest of Qld	NPL	4341
Rest of Qld	NZL	96351
Rest of Qld	PAK	1517
Rest of Qld	PHL	23549
Rest of Qld	PNG	8003
Rest of Qld	POL	2466
Rest of Qld	SGP	2361
Rest of Qld	THA	6334
Rest of Qld	TUR	876
Rest of Qld	TWN	3732
Rest of Qld	USA	9680
Rest of Qld	VNM	4119
Rest of Qld	WSM	1027
Rest of Qld	ZAF	22699
Rest of Qld	ZWE	4735
No usual address (SA)		676
No usual address (SA)	AFG	6
No usual address (SA)	AUS	2262
No usual address (SA)	CAN	5
No usual address (SA)	CHN	19
No usual address (SA)	DEU	19
No usual address (SA)	EGY	3
No usual address (SA)	FJI	4
No usual address (SA)	FRA	11
No usual address (SA)	GBR	168
No usual address (SA)	HKG	12
No usual address (SA)	HRV	5
No usual address (SA)	IDN	11
No usual address (SA)	IND	32
No usual address (SA)	IRL	8
No usual address (SA)	IRN	9
No usual address (SA)	ITA	12
No usual address (SA)	KHM	4
No usual address (SA)	KOR	3
No usual address (SA)	MMR	5
No usual address (SA)	MYS	5
No usual address (SA)	NLD	15
No usual address (SA)	NPL	6
No usual address (SA)	NZL	53
No usual address (SA)	PAK	5
No usual address (SA)	PHL	6
No usual address (SA)	POL	6
No usual address (SA)	TWN	4
No usual address (SA)	USA	13
No usual address (SA)	VNM	8
No usual address (SA)	ZAF	4
Migratory - Offshore - Shipping (SA)		5
Greater Adelaide		94388
Greater Adelaide	AFG	7909
Greater Adelaide	AUS	953204
Greater Adelaide	BGD	2167
Greater Adelaide	BIH	2147
Greater Adelaide	BRA	1935
Greater Adelaide	CAN	2310
Greater Adelaide	CHL	776
Greater Adelaide	CHN	24921
Greater Adelaide	DEU	7680
Greater Adelaide	EGY	1605
Greater Adelaide	FJI	1162
Greater Adelaide	FRA	1383
Greater Adelaide	GBR	90207
Greater Adelaide	GRC	7590
Greater Adelaide	HKG	4116
Greater Adelaide	HRV	2518
Greater Adelaide	IDN	2088
Greater Adelaide	IND	42933
Greater Adelaide	IRL	2908
Greater Adelaide	IRN	5147
Greater Adelaide	IRQ	1586
Greater Adelaide	ITA	15667
Greater Adelaide	JPN	1527
Greater Adelaide	KHM	3594
Greater Adelaide	KOR	3699
Greater Adelaide	LBN	1787
Greater Adelaide	LKA	4993
Greater Adelaide	MKD	345
Greater Adelaide	MLT	1195
Greater Adelaide	MMR	2102
Greater Adelaide	MUS	263
Greater Adelaide	MYS	8509
Greater Adelaide	NLD	4564
Greater Adelaide	NPL	7055
Greater Adelaide	NZL	10238
Greater Adelaide	PAK	5432
Greater Adelaide	PHL	12826
Greater Adelaide	PNG	881
Greater Adelaide	POL	4561
Greater Adelaide	SGP	2680
Greater Adelaide	THA	3003
Greater Adelaide	TUR	639
Greater Adelaide	TWN	1573
Greater Adelaide	USA	4499
Greater Adelaide	VNM	16564
Greater Adelaide	WSM	107
Greater Adelaide	ZAF	6983
Greater Adelaide	ZWE	1324
Rest of SA		31678
Rest of SA	AFG	301
Rest of SA	AUS	317889
Rest of SA	BGD	82
Rest of SA	BIH	44
Rest of SA	BRA	87
Rest of SA	CAN	312
Rest of SA	CHL	42
Rest of SA	CHN	769
Rest of SA	DEU	1790
Rest of SA	EGY	80
Rest of SA	FJI	149
Rest of SA	FRA	222
Rest of SA	GBR	19102
Rest of SA	GRC	556
Rest of SA	HKG	117
Rest of SA	HRV	301
Rest of SA	IDN	284
Rest of SA	IND	1924
Rest of SA	IRL	386
Rest of SA	IRN	67
Rest of SA	IRQ	42
Rest of SA	ITA	973
Rest of SA	JPN	106
Rest of SA	KHM	118
Rest of SA	KOR	135
Rest of SA	LBN	35
Rest of SA	LKA	318
Rest of SA	MKD	30
Rest of SA	MLT	126
Rest of SA	MMR	246
Rest of SA	MUS	18
Rest of SA	MYS	584
Rest of SA	NLD	1579
Rest of SA	NPL	183
Rest of SA	NZL	3166
Rest of SA	PAK	233
Rest of SA	PHL	2667
Rest of SA	PNG	174
Rest of SA	POL	220
Rest of SA	SGP	110
Rest of SA	THA	600
Rest of SA	TUR	89
Rest of SA	TWN	163
Rest of SA	USA	720
Rest of SA	VNM	468
Rest of SA	WSM	49
Rest of SA	ZAF	1227
Rest of SA	ZWE	304
No usual address (WA)		2033
No usual address (WA)	AFG	25
No usual address (WA)	AUS	4775
No usual address (WA)	BIH	3
No usual address (WA)	BRA	5
No usual address (WA)	CAN	24
No usual address (WA)	CHL	6
No usual address (WA)	CHN	19
No usual address (WA)	DEU	46
No usual address (WA)	FRA	40
No usual address (WA)	GBR	412
No usual address (WA)	HKG	4
No usual address (WA)	HRV	6
No usual address (WA)	IDN	15
No usual address (WA)	IND	30
No usual address (WA)	IRL	31
No usual address (WA)	IRN	9
No usual address (WA)	IRQ	6
No usual address (WA)	ITA	41
No usual address (WA)	KHM	4
No usual address (WA)	KOR	4
No usual address (WA)	LKA	5
No usual address (WA)	MMR	12
No usual address (WA)	MUS	4
No usual address (WA)	MYS	13
No usual address (WA)	NLD	21
No usual address (WA)	NZL	257
No usual address (WA)	PAK	3
No usual address (WA)	PHL	35
No usual address (WA)	PNG	3
No usual address (WA)	POL	9
No usual address (WA)	SGP	11
No usual address (WA)	THA	8
No usual address (WA)	TWN	13
No usual address (WA)	USA	43
No usual address (WA)	VNM	11
No usual address (WA)	WSM	3
No usual address (WA)	ZAF	55
No usual address (WA)	ZWE	15
Migratory - Offshore - Shipping (WA)		231
Migratory - Offshore - Shipping (WA)	AUS	151
Migratory - Offshore - Shipping (WA)	BRA	4
Migratory - Offshore - Shipping (WA)	FRA	4
Migratory - Offshore - Shipping (WA)	GBR	31
Migratory - Offshore - Shipping (WA)	IDN	7
Migratory - Offshore - Shipping (WA)	IND	4
Migratory - Offshore - Shipping (WA)	IRL	4
Migratory - Offshore - Shipping (WA)	KHM	3
Migratory - Offshore - Shipping (WA)	NLD	3
Migratory - Offshore - Shipping (WA)	NZL	27
Migratory - Offshore - Shipping (WA)	PHL	21
Migratory - Offshore - Shipping (WA)	POL	4
Migratory - Offshore - Shipping (WA)	THA	4
Migratory - Offshore - Shipping (WA)	USA	3
Migratory - Offshore - Shipping (WA)	ZAF	3
Greater Perth		175910
Greater Perth	AFG	5389
Greater Perth	AUS	1258510
Greater Perth	BGD	2680
Greater Perth	BIH	2890
Greater Perth	BRA	4293
Greater Perth	CAN	5293
Greater Perth	CHL	1829
Greater Perth	CHN	27237
Greater Perth	DEU	9053
Greater Perth	EGY	2384
Greater Perth	FJI	1070
Greater Perth	FRA	3579
Greater Perth	GBR	199097
Greater Perth	GRC	2019
Greater Perth	HKG	6271
Greater Perth	HRV	4293
Greater Perth	IDN	13031
Greater Perth	IND	58229
Greater Perth	IRL	16412
Greater Perth	IRN	6224
Greater Perth	IRQ	3536
Greater Perth	ITA	16536
Greater Perth	JPN	4379
Greater Perth	KHM	1395
Greater Perth	KOR	6041
Greater Perth	LBN	1159
Greater Perth	LKA	8630
Greater Perth	MKD	3328
Greater Perth	MLT	773
Greater Perth	MMR	8885
Greater Perth	MUS	4978
Greater Perth	MYS	31268
Greater Perth	NLD	7083
Greater Perth	NPL	4212
Greater Perth	NZL	59459
Greater Perth	PAK	7222
Greater Perth	PHL	30806
Greater Perth	PNG	1467
Greater Perth	POL	5215
Greater Perth	SGP	15387
Greater Perth	THA	8372
Greater Perth	TUR	1388
Greater Perth	TWN	3400
Greater Perth	USA	8837
Greater Perth	VNM	17174
Greater Perth	WSM	487
Greater Perth	ZAF	38793
Greater Perth	ZWE	10743
Rest of WA		62172
Rest of WA	AFG	308
Rest of WA	AUS	385366
Rest of WA	BGD	136
Rest of WA	BIH	73
Rest of WA	BRA	310
Rest of WA	CAN	966
Rest of WA	CHL	197
Rest of WA	CHN	1157
Rest of WA	DEU	2267
Rest of WA	EGY	141
Rest of WA	FJI	402
Rest of WA	FRA	776
Rest of WA	GBR	30174
Rest of WA	GRC	123
Rest of WA	HKG	256
Rest of WA	HRV	203
Rest of WA	IDN	1007
Rest of WA	IND	2825
Rest of WA	IRL	1703
Rest of WA	IRN	207
Rest of WA	IRQ	94
Rest of WA	ITA	1596
Rest of WA	JPN	332
Rest of WA	KHM	90
Rest of WA	KOR	379
Rest of WA	LBN	90
Rest of WA	LKA	522
Rest of WA	MKD	98
Rest of WA	MLT	106
Rest of WA	MMR	455
Rest of WA	MUS	224
Rest of WA	MYS	995
Rest of WA	NLD	1733
Rest of WA	NPL	232
Rest of WA	NZL	15849
Rest of WA	PAK	395
Rest of WA	PHL	6657
Rest of WA	PNG	465
Rest of WA	POL	380
Rest of WA	SGP	592
Rest of WA	THA	1618
Rest of WA	TUR	67
Rest of WA	TWN	591
Rest of WA	USA	1472
Rest of WA	VNM	893
Rest of WA	WSM	98
Rest of WA	ZAF	6032
Rest of WA	ZWE	1977
No usual address (Tas.)		267
No usual address (Tas.)	AUS	973
No usual address (Tas.)	BRA	3
No usual address (Tas.)	CAN	4
No usual address (Tas.)	CHN	6
No usual address (Tas.)	DEU	5
No usual address (Tas.)	GBR	45
No usual address (Tas.)	HKG	4
No usual address (Tas.)	IDN	3
No usual address (Tas.)	IRL	3
No usual address (Tas.)	MYS	3
No usual address (Tas.)	NLD	4
No usual address (Tas.)	NPL	6
No usual address (Tas.)	NZL	25
No usual address (Tas.)	PAK	6
No usual address (Tas.)	USA	3
No usual address (Tas.)	VNM	3
Migratory - Offshore - Shipping (Tas.)		3
Migratory - Offshore - Shipping (Tas.)	AUS	6
Greater Hobart		15713
Greater Hobart	AFG	113
Greater Hobart	AUS	189218
Greater Hobart	BGD	473
Greater Hobart	BIH	76
Greater Hobart	BRA	341
Greater Hobart	CAN	527
Greater Hobart	CHL	166
Greater Hobart	CHN	5541
Greater Hobart	DEU	1037
Greater Hobart	EGY	104
Greater Hobart	FJI	149
Greater Hobart	FRA	231
Greater Hobart	GBR	9416
Greater Hobart	GRC	377
Greater Hobart	HKG	617
Greater Hobart	HRV	166
Greater Hobart	IDN	363
Greater Hobart	IND	4074
Greater Hobart	IRL	374
Greater Hobart	IRN	273
Greater Hobart	IRQ	71
Greater Hobart	ITA	505
Greater Hobart	JPN	306
Greater Hobart	KHM	61
Greater Hobart	KOR	533
Greater Hobart	LBN	71
Greater Hobart	LKA	840
Greater Hobart	MKD	17
Greater Hobart	MLT	43
Greater Hobart	MMR	125
Greater Hobart	MUS	49
Greater Hobart	MYS	878
Greater Hobart	NLD	778
Greater Hobart	NPL	4107
Greater Hobart	NZL	2108
Greater Hobart	PAK	846
Greater Hobart	PHL	1165
Greater Hobart	PNG	156
Greater Hobart	POL	353
Greater Hobart	SGP	354
Greater Hobart	THA	487
Greater Hobart	TUR	48
Greater Hobart	TWN	392
Greater Hobart	USA	1093
Greater Hobart	VNM	1015
Greater Hobart	WSM	18
Greater Hobart	ZAF	1108
Greater Hobart	ZWE	217
Rest of Tas.		23709
Rest of Tas.	AFG	176
Rest of Tas.	AUS	250612
Rest of Tas.	BGD	124
Rest of Tas.	BIH	34
Rest of Tas.	BRA	94
Rest of Tas.	CAN	495
Rest of Tas.	CHL	124
Rest of Tas.	CHN	1282
Rest of Tas.	DEU	1044
Rest of Tas.	EGY	91
Rest of Tas.	FJI	117
Rest of Tas.	FRA	214
Rest of Tas.	GBR	12700
Rest of Tas.	GRC	86
Rest of Tas.	HKG	238
Rest of Tas.	HRV	62
Rest of Tas.	IDN	240
Rest of Tas.	IND	2063
Rest of Tas.	IRL	371
Rest of Tas.	IRN	282
Rest of Tas.	IRQ	48
Rest of Tas.	ITA	372
Rest of Tas.	JPN	152
Rest of Tas.	KHM	24
Rest of Tas.	KOR	243
Rest of Tas.	LBN	37
Rest of Tas.	LKA	518
Rest of Tas.	MKD	18
Rest of Tas.	MLT	77
Rest of Tas.	MMR	222
Rest of Tas.	MUS	37
Rest of Tas.	MYS	568
Rest of Tas.	NLD	1355
Rest of Tas.	NPL	2109
Rest of Tas.	NZL	3349
Rest of Tas.	PAK	618
Rest of Tas.	PHL	1275
Rest of Tas.	PNG	192
Rest of Tas.	POL	230
Rest of Tas.	SGP	226
Rest of Tas.	THA	372
Rest of Tas.	TUR	42
Rest of Tas.	TWN	307
Rest of Tas.	USA	966
Rest of Tas.	VNM	371
Rest of Tas.	WSM	48
Rest of Tas.	ZAF	976
Rest of Tas.	ZWE	182
No usual address (NT)		987
No usual address (NT)	AUS	2106
No usual address (NT)	BRA	3
No usual address (NT)	CAN	3
No usual address (NT)	CHL	4
No usual address (NT)	CHN	5
No usual address (NT)	DEU	24
No usual address (NT)	FJI	3
No usual address (NT)	FRA	27
No usual address (NT)	GBR	137
No usual address (NT)	GRC	3
No usual address (NT)	HKG	5
No usual address (NT)	IDN	4
No usual address (NT)	IND	14
No usual address (NT)	IRL	5
No usual address (NT)	ITA	19
No usual address (NT)	LKA	3
No usual address (NT)	MYS	3
No usual address (NT)	NLD	13
No usual address (NT)	NZL	77
No usual address (NT)	PAK	4
No usual address (NT)	PHL	4
No usual address (NT)	PNG	3
No usual address (NT)	SGP	3
No usual address (NT)	THA	3
No usual address (NT)	USA	14
No usual address (NT)	ZAF	3
No usual address (NT)	ZWE	3
Migratory - Offshore - Shipping (NT)		21
Migratory - Offshore - Shipping (NT)	AUS	56
Migratory - Offshore - Shipping (NT)	GBR	8
Migratory - Offshore - Shipping (NT)	IDN	5
Migratory - Offshore - Shipping (NT)	LKA	5
Migratory - Offshore - Shipping (NT)	NZL	7
Migratory - Offshore - Shipping (NT)	PNG	3
Greater Darwin		16233
Greater Darwin	AFG	27
Greater Darwin	AUS	89266
Greater Darwin	BGD	638
Greater Darwin	BIH	42
Greater Darwin	BRA	169
Greater Darwin	CAN	256
Greater Darwin	CHL	56
Greater Darwin	CHN	1407
Greater Darwin	DEU	590
Greater Darwin	EGY	56
Greater Darwin	FJI	292
Greater Darwin	FRA	233
Greater Darwin	GBR	4312
Greater Darwin	GRC	1146
Greater Darwin	HKG	273
Greater Darwin	HRV	29
Greater Darwin	IDN	1292
Greater Darwin	IND	3820
Greater Darwin	IRL	609
Greater Darwin	IRN	87
Greater Darwin	IRQ	15
Greater Darwin	ITA	365
Greater Darwin	JPN	169
Greater Darwin	KHM	199
Greater Darwin	KOR	301
Greater Darwin	LBN	41
Greater Darwin	LKA	1060
Greater Darwin	MKD	7
Greater Darwin	MLT	32
Greater Darwin	MMR	174
Greater Darwin	MUS	67
