GCCSA_NAME21	Landlord	Rent.min	occupied_private_dwellings_being_rented
Rest of Qld	(Other)	10500	1166
Rest of Qld	(Other)	11812	2535
Rest of Qld	(Other)	14437	2461
Rest of Qld	(Other)	18375	3493
Rest of Qld	(Other)	23625	1832
Rest of Qld	(Other)	28875	603
Rest of Qld	(Other)	34125	253
Rest of Qld	(Other)	39375	95
Rest of Qld	(Other)	44625	30
Rest of Qld	(Other)	49875	83
Rest of Qld	Co-op/church group etc	52	256
Rest of Qld	Co-op/church group etc	3937	356
Rest of Qld	Co-op/church group etc	5250	1138
Rest of Qld	Co-op/church group etc	7875	1946
Rest of Qld	Co-op/church group etc	10500	653
Rest of Qld	Co-op/church group etc	11812	817
Rest of Qld	Co-op/church group etc	14437	576
Rest of Qld	Co-op/church group etc	18375	376
Rest of Qld	Co-op/church group etc	23625	87
Rest of Qld	Co-op/church group etc	28875	33
Rest of Qld	Co-op/church group etc	34125	10
Rest of Qld	Co-op/church group etc	39375	7
Rest of Qld	Co-op/church group etc	44625	6
Rest of Qld	Person not in same household	52	496
Rest of Qld	Person not in same household	3937	339
Rest of Qld	Person not in same household	5250	2532
Rest of Qld	Person not in same household	7875	4640
Rest of Qld	Person not in same household	10500	5626
Rest of Qld	Person not in same household	11812	8690
Rest of Qld	Person not in same household	14437	12590
Rest of Qld	Person not in same household	18375	12479
Rest of Qld	Person not in same household	23625	6026
Rest of Qld	Person not in same household	28875	2307
Rest of Qld	Person not in same household	34125	1014
Rest of Qld	Person not in same household	39375	478
Rest of Qld	Person not in same household	44625	240
Rest of Qld	Person not in same household	49875	452
Rest of Qld	Real estate agent	52	271
Rest of Qld	Real estate agent	3937	119
Rest of Qld	Real estate agent	5250	1039
Rest of Qld	Real estate agent	7875	4211
Rest of Qld	Real estate agent	10500	6102
Rest of Qld	Real estate agent	11812	18257
Rest of Qld	Real estate agent	14437	36296
Rest of Qld	Real estate agent	18375	53274
Rest of Qld	Real estate agent	23625	33700
Rest of Qld	Real estate agent	28875	13991
Rest of Qld	Real estate agent	34125	5568
Rest of Qld	Real estate agent	39375	2461
Rest of Qld	Real estate agent	44625	1246
Rest of Qld	Real estate agent	49875	1629
Rest of Qld	State or territory housing authority	52	2105
Rest of Qld	State or territory housing authority	3937	2325
Rest of Qld	State or territory housing authority	5250	8920
Rest of Qld	State or territory housing authority	7875	4997
Rest of Qld	State or territory housing authority	10500	1664
Rest of Qld	State or territory housing authority	11812	1774
Rest of Qld	State or territory housing authority	14437	1056
Rest of Qld	State or territory housing authority	18375	446
Rest of Qld	State or territory housing authority	23625	106
Rest of Qld	State or territory housing authority	28875	26
Rest of Qld	State or territory housing authority	34125	14
Rest of Qld	State or territory housing authority	39375	9
Rest of Qld	State or territory housing authority	44625	4
Rest of Qld	State or territory housing authority	49875	9
Greater Adelaide		52	12
Greater Adelaide		3937	16
Greater Adelaide		5250	112
Greater Adelaide		7875	98
Greater Adelaide		10500	44
Greater Adelaide		11812	137
Greater Adelaide		14437	119
Greater Adelaide		18375	91
Greater Adelaide		23625	22
