GCCSA_NAME21	Age	IncomeTotPersonal.max	Sex	adults
No usual address (NSW)	25-34	78750	F	42
No usual address (NSW)	25-34	78750	M	59
No usual address (NSW)	25-34	91875	F	36
No usual address (NSW)	25-34	91875	M	46
No usual address (NSW)	25-34	105000	F	22
No usual address (NSW)	25-34	105000	M	35
No usual address (NSW)	25-34	157500	F	28
No usual address (NSW)	25-34	157500	M	57
No usual address (NSW)	25-34	183750	F	4
No usual address (NSW)	25-34	183750	M	11
No usual address (NSW)	25-34	Inf	F	5
No usual address (NSW)	25-34	Inf	M	19
No usual address (NSW)	35-44		F	277
No usual address (NSW)	35-44		M	466
No usual address (NSW)	35-44	0	F	46
No usual address (NSW)	35-44	0	M	51
No usual address (NSW)	35-44	7875	F	16
No usual address (NSW)	35-44	7875	M	14
No usual address (NSW)	35-44	15750	F	37
No usual address (NSW)	35-44	15750	M	57
No usual address (NSW)	35-44	21000	F	66
No usual address (NSW)	35-44	21000	M	111
No usual address (NSW)	35-44	26250	F	56
No usual address (NSW)	35-44	26250	M	45
No usual address (NSW)	35-44	34125	F	44
No usual address (NSW)	35-44	34125	M	39
No usual address (NSW)	35-44	42000	F	39
No usual address (NSW)	35-44	42000	M	30
No usual address (NSW)	35-44	52500	F	37
No usual address (NSW)	35-44	52500	M	47
No usual address (NSW)	35-44	65625	F	28
No usual address (NSW)	35-44	65625	M	44
No usual address (NSW)	35-44	78750	F	22
No usual address (NSW)	35-44	78750	M	44
No usual address (NSW)	35-44	91875	F	27
No usual address (NSW)	35-44	91875	M	33
No usual address (NSW)	35-44	105000	F	19
No usual address (NSW)	35-44	105000	M	29
No usual address (NSW)	35-44	157500	F	21
No usual address (NSW)	35-44	157500	M	46
No usual address (NSW)	35-44	183750	F	6
No usual address (NSW)	35-44	183750	M	15
No usual address (NSW)	35-44	Inf	F	16
No usual address (NSW)	35-44	Inf	M	21
No usual address (NSW)	45-54		F	193
No usual address (NSW)	45-54		M	415
No usual address (NSW)	45-54	0	F	52
No usual address (NSW)	45-54	0	M	51
No usual address (NSW)	45-54	7875	F	14
No usual address (NSW)	45-54	7875	M	13
No usual address (NSW)	45-54	15750	F	47
No usual address (NSW)	45-54	15750	M	76
No usual address (NSW)	45-54	21000	F	80
No usual address (NSW)	45-54	21000	M	103
No usual address (NSW)	45-54	26250	F	53
No usual address (NSW)	45-54	26250	M	74
No usual address (NSW)	45-54	34125	F	51
No usual address (NSW)	45-54	34125	M	38
No usual address (NSW)	45-54	42000	F	33
No usual address (NSW)	45-54	42000	M	27
No usual address (NSW)	45-54	52500	F	31
No usual address (NSW)	45-54	52500	M	34
No usual address (NSW)	45-54	65625	F	35
No usual address (NSW)	45-54	65625	M	48
No usual address (NSW)	45-54	78750	F	14
No usual address (NSW)	45-54	78750	M	35
No usual address (NSW)	45-54	91875	F	17
No usual address (NSW)	45-54	91875	M	18
No usual address (NSW)	45-54	105000	F	7
No usual address (NSW)	45-54	105000	M	14
No usual address (NSW)	45-54	157500	F	21
No usual address (NSW)	45-54	157500	M	29
No usual address (NSW)	45-54	183750	F	7
No usual address (NSW)	45-54	183750	M	6
No usual address (NSW)	45-54	Inf	F	15
No usual address (NSW)	45-54	Inf	M	21
No usual address (NSW)	55-64		F	142
No usual address (NSW)	55-64		M	309
No usual address (NSW)	55-64	0	F	88
No usual address (NSW)	55-64	0	M	75
No usual address (NSW)	55-64	7875	F	25
No usual address (NSW)	55-64	7875	M	23
No usual address (NSW)	55-64	15750	F	62
No usual address (NSW)	55-64	15750	M	57
No usual address (NSW)	55-64	21000	F	86
No usual address (NSW)	55-64	21000	M	105
No usual address (NSW)	55-64	26250	F	72
No usual address (NSW)	55-64	26250	M	84
No usual address (NSW)	55-64	34125	F	61
No usual address (NSW)	55-64	34125	M	51
No usual address (NSW)	55-64	42000	F	48
No usual address (NSW)	55-64	42000	M	54
No usual address (NSW)	55-64	52500	F	38
No usual address (NSW)	55-64	52500	M	42
No usual address (NSW)	55-64	65625	F	29
No usual address (NSW)	55-64	65625	M	43
No usual address (NSW)	55-64	78750	F	10
No usual address (NSW)	55-64	78750	M	19
No usual address (NSW)	55-64	91875	F	6
No usual address (NSW)	55-64	91875	M	25
No usual address (NSW)	55-64	105000	F	6
No usual address (NSW)	55-64	105000	M	17
No usual address (NSW)	55-64	157500	F	19
No usual address (NSW)	55-64	157500	M	20
No usual address (NSW)	55-64	183750	F	6
No usual address (NSW)	55-64	183750	M	7
No usual address (NSW)	55-64	Inf	F	4
No usual address (NSW)	55-64	Inf	M	14
No usual address (NSW)	65-74		F	60
No usual address (NSW)	65-74		M	124
No usual address (NSW)	65-74	0	F	26
No usual address (NSW)	65-74	0	M	40
No usual address (NSW)	65-74	7875	F	6
No usual address (NSW)	65-74	7875	M	11
No usual address (NSW)	65-74	15750	F	23
No usual address (NSW)	65-74	15750	M	26
No usual address (NSW)	65-74	21000	F	78
No usual address (NSW)	65-74	21000	M	102
No usual address (NSW)	65-74	26250	F	88
No usual address (NSW)	65-74	26250	M	167
No usual address (NSW)	65-74	34125	F	44
No usual address (NSW)	65-74	34125	M	59
No usual address (NSW)	65-74	42000	F	23
No usual address (NSW)	65-74	42000	M	33
No usual address (NSW)	65-74	52500	F	13
No usual address (NSW)	65-74	52500	M	18
No usual address (NSW)	65-74	65625	F	14
No usual address (NSW)	65-74	65625	M	30
No usual address (NSW)	65-74	78750	F	5
No usual address (NSW)	65-74	78750	M	12
No usual address (NSW)	65-74	91875	F	4
No usual address (NSW)	65-74	91875	M	9
No usual address (NSW)	65-74	105000	F	5
No usual address (NSW)	65-74	105000	M	7
No usual address (NSW)	65-74	157500	M	6
No usual address (NSW)	65-74	Inf	F	5
No usual address (NSW)	75-84		F	18
No usual address (NSW)	75-84		M	36
No usual address (NSW)	75-84	0	F	7
No usual address (NSW)	75-84	0	M	7
No usual address (NSW)	75-84	7875	F	6
No usual address (NSW)	75-84	15750	F	4
No usual address (NSW)	75-84	15750	M	8
No usual address (NSW)	75-84	21000	F	23
No usual address (NSW)	75-84	21000	M	26
No usual address (NSW)	75-84	26250	F	24
No usual address (NSW)	75-84	26250	M	40
No usual address (NSW)	75-84	34125	F	11
No usual address (NSW)	75-84	34125	M	12
No usual address (NSW)	75-84	42000	F	6
No usual address (NSW)	75-84	42000	M	17
No usual address (NSW)	75-84	52500	M	9
No usual address (NSW)	75-84	65625	M	5
No usual address (NSW)	75-84	157500	M	5
No usual address (NSW)	75-84	183750	M	4
No usual address (NSW)	75-84	Inf	M	3
No usual address (NSW)	85+		F	7
No usual address (NSW)	85+		M	6
No usual address (NSW)	85+	0	F	5
No usual address (NSW)	85+	21000	F	3
No usual address (NSW)	85+	26250	F	12
No usual address (NSW)	85+	26250	M	3
No usual address (NSW)	85+	34125	F	3
Greater Sydney	15-19		F	7594
Greater Sydney	15-19		M	8627
Greater Sydney	15-19	0	F	67146
Greater Sydney	15-19	0	M	77127
Greater Sydney	15-19	7875	F	26391
Greater Sydney	15-19	7875	M	22006
Greater Sydney	15-19	15750	F	17116
Greater Sydney	15-19	15750	M	14040
Greater Sydney	15-19	21000	F	7636
Greater Sydney	15-19	21000	M	6170
Greater Sydney	15-19	26250	F	5396
Greater Sydney	15-19	26250	M	5871
Greater Sydney	15-19	34125	F	4970
Greater Sydney	15-19	34125	M	8140
Greater Sydney	15-19	42000	F	3200
Greater Sydney	15-19	42000	M	5068
Greater Sydney	15-19	52500	F	1748
Greater Sydney	15-19	52500	M	2845
Greater Sydney	15-19	65625	F	809
Greater Sydney	15-19	65625	M	1403
Greater Sydney	15-19	78750	F	243
Greater Sydney	15-19	78750	M	433
Greater Sydney	15-19	91875	F	108
Greater Sydney	15-19	91875	M	220
Greater Sydney	15-19	105000	F	57
Greater Sydney	15-19	105000	M	113
Greater Sydney	15-19	157500	F	48
Greater Sydney	15-19	157500	M	90
Greater Sydney	15-19	183750	F	25
Greater Sydney	15-19	183750	M	40
Greater Sydney	15-19	Inf	F	47
Greater Sydney	15-19	Inf	M	47
Greater Sydney	20-24		F	10276
Greater Sydney	20-24		M	12384
Greater Sydney	20-24	0	F	16147
Greater Sydney	20-24	0	M	19230
Greater Sydney	20-24	7875	F	6423
Greater Sydney	20-24	7875	M	6167
Greater Sydney	20-24	15750	F	13905
Greater Sydney	20-24	15750	M	12567
Greater Sydney	20-24	21000	F	13421
Greater Sydney	20-24	21000	M	11555
Greater Sydney	20-24	26250	F	13231
Greater Sydney	20-24	26250	M	11549
Greater Sydney	20-24	34125	F	18749
Greater Sydney	20-24	34125	M	17749
Greater Sydney	20-24	42000	F	18709
Greater Sydney	20-24	42000	M	20215
Greater Sydney	20-24	52500	F	19036
Greater Sydney	20-24	52500	M	21437
Greater Sydney	20-24	65625	F	17643
Greater Sydney	20-24	65625	M	19425
Greater Sydney	20-24	78750	F	10982
Greater Sydney	20-24	78750	M	11687
Greater Sydney	20-24	91875	F	4658
Greater Sydney	20-24	91875	M	6123
Greater Sydney	20-24	105000	F	1756
Greater Sydney	20-24	105000	M	2811
Greater Sydney	20-24	157500	F	1188
Greater Sydney	20-24	157500	M	2723
Greater Sydney	20-24	183750	F	190
Greater Sydney	20-24	183750	M	418
Greater Sydney	20-24	Inf	F	256
Greater Sydney	20-24	Inf	M	454
Greater Sydney	25-34		F	26428
Greater Sydney	25-34		M	30056
Greater Sydney	25-34	0	F	33383
Greater Sydney	25-34	0	M	16666
Greater Sydney	25-34	7875	F	5468
Greater Sydney	25-34	7875	M	2448
Greater Sydney	25-34	15750	F	11491
Greater Sydney	25-34	15750	M	6910
Greater Sydney	25-34	21000	F	15156
Greater Sydney	25-34	21000	M	11249
Greater Sydney	25-34	26250	F	16776
Greater Sydney	25-34	26250	M	11179
Greater Sydney	25-34	34125	F	26942
Greater Sydney	25-34	34125	M	17529
Greater Sydney	25-34	42000	F	31964
Greater Sydney	25-34	42000	M	23362
Greater Sydney	25-34	52500	F	39038
Greater Sydney	25-34	52500	M	38020
Greater Sydney	25-34	65625	F	48778
Greater Sydney	25-34	65625	M	53034
Greater Sydney	25-34	78750	F	42990
Greater Sydney	25-34	78750	M	45450
Greater Sydney	25-34	91875	F	37323
Greater Sydney	25-34	91875	M	40003
Greater Sydney	25-34	105000	F	26042
Greater Sydney	25-34	105000	M	29263
Greater Sydney	25-34	157500	F	37111
Greater Sydney	25-34	157500	M	51913
Greater Sydney	25-34	183750	F	5555
Greater Sydney	25-34	183750	M	10318
Greater Sydney	25-34	Inf	F	5731
Greater Sydney	25-34	Inf	M	13718
Greater Sydney	35-44		F	21544
Greater Sydney	35-44		M	24559
Greater Sydney	35-44	0	F	35429
Greater Sydney	35-44	0	M	11022
Greater Sydney	35-44	7875	F	7468
Greater Sydney	35-44	7875	M	1880
Greater Sydney	35-44	15750	F	12697
Greater Sydney	35-44	15750	M	5387
Greater Sydney	35-44	21000	F	15329
Greater Sydney	35-44	21000	M	8776
Greater Sydney	35-44	26250	F	16108
Greater Sydney	35-44	26250	M	8275
Greater Sydney	35-44	34125	F	24119
Greater Sydney	35-44	34125	M	11131
Greater Sydney	35-44	42000	F	27560
Greater Sydney	35-44	42000	M	14932
Greater Sydney	35-44	52500	F	31697
Greater Sydney	35-44	52500	M	24749
Greater Sydney	35-44	65625	F	36691
Greater Sydney	35-44	65625	M	36870
Greater Sydney	35-44	78750	F	30442
Greater Sydney	35-44	78750	M	33626
Greater Sydney	35-44	91875	F	29273
Greater Sydney	35-44	91875	M	33976
Greater Sydney	35-44	105000	F	24259
Greater Sydney	35-44	105000	M	30051
Greater Sydney	35-44	157500	F	48675
Greater Sydney	35-44	157500	M	73214
Greater Sydney	35-44	183750	F	11632
Greater Sydney	35-44	183750	M	22566
Greater Sydney	35-44	Inf	F	19333
Greater Sydney	35-44	Inf	M	44486
Greater Sydney	45-54		F	16600
Greater Sydney	45-54		M	18837
Greater Sydney	45-54	0	F	28514
Greater Sydney	45-54	0	M	11499
Greater Sydney	45-54	7875	F	6812
Greater Sydney	45-54	7875	M	2287
Greater Sydney	45-54	15750	F	11570
Greater Sydney	45-54	15750	M	6219
Greater Sydney	45-54	21000	F	16996
Greater Sydney	45-54	21000	M	10190
Greater Sydney	45-54	26250	F	16578
Greater Sydney	45-54	26250	M	9362
Greater Sydney	45-54	34125	F	22120
Greater Sydney	45-54	34125	M	10867
Greater Sydney	45-54	42000	F	24599
Greater Sydney	45-54	42000	M	13537
Greater Sydney	45-54	52500	F	29088
Greater Sydney	45-54	52500	M	21570
Greater Sydney	45-54	65625	F	31976
Greater Sydney	45-54	65625	M	30711
Greater Sydney	45-54	78750	F	25494
Greater Sydney	45-54	78750	M	26292
Greater Sydney	45-54	91875	F	23862
Greater Sydney	45-54	91875	M	26667
Greater Sydney	45-54	105000	F	19775
Greater Sydney	45-54	105000	M	23141
Greater Sydney	45-54	157500	F	36916
Greater Sydney	45-54	157500	M	51901
Greater Sydney	45-54	183750	F	9522
Greater Sydney	45-54	183750	M	16892
Greater Sydney	45-54	Inf	F	19980
Greater Sydney	45-54	Inf	M	46808
Greater Sydney	55-64		F	13905
Greater Sydney	55-64		M	15516
Greater Sydney	55-64	0	F	37706
Greater Sydney	55-64	0	M	17592
Greater Sydney	55-64	7875	F	9224
Greater Sydney	55-64	7875	M	4109
Greater Sydney	55-64	15750	F	15474
Greater Sydney	55-64	15750	M	9545
Greater Sydney	55-64	21000	F	23708
Greater Sydney	55-64	21000	M	15452
Greater Sydney	55-64	26250	F	21085
Greater Sydney	55-64	26250	M	13070
Greater Sydney	55-64	34125	F	21899
Greater Sydney	55-64	34125	M	13608
Greater Sydney	55-64	42000	F	21802
Greater Sydney	55-64	42000	M	15010
Greater Sydney	55-64	52500	F	23542
Greater Sydney	55-64	52500	M	21703
Greater Sydney	55-64	65625	F	25738
Greater Sydney	55-64	65625	M	28293
Greater Sydney	55-64	78750	F	18766
Greater Sydney	55-64	78750	M	21942
Greater Sydney	55-64	91875	F	16248
Greater Sydney	55-64	91875	M	20621
Greater Sydney	55-64	105000	F	12672
Greater Sydney	55-64	105000	M	16885
Greater Sydney	55-64	157500	F	20698
Greater Sydney	55-64	157500	M	32898
Greater Sydney	55-64	183750	F	4720
Greater Sydney	55-64	183750	M	9753
Greater Sydney	55-64	Inf	F	9307
Greater Sydney	55-64	Inf	M	26676
Greater Sydney	65-74		F	13310
Greater Sydney	65-74		M	12303
Greater Sydney	65-74	0	F	27642
Greater Sydney	65-74	0	M	18979
Greater Sydney	65-74	7875	F	8819
Greater Sydney	65-74	7875	M	5715
Greater Sydney	65-74	15750	F	15964
Greater Sydney	65-74	15750	M	11597
Greater Sydney	65-74	21000	F	37006
Greater Sydney	65-74	21000	M	29855
Greater Sydney	65-74	26250	F	34960
Greater Sydney	65-74	26250	M	21938
Greater Sydney	65-74	34125	F	23307
Greater Sydney	65-74	34125	M	17520
Greater Sydney	65-74	42000	F	16541
Greater Sydney	65-74	42000	M	13989
Greater Sydney	65-74	52500	F	13419
Greater Sydney	65-74	52500	M	13948
Greater Sydney	65-74	65625	F	12099
Greater Sydney	65-74	65625	M	15807
Greater Sydney	65-74	78750	F	7374
Greater Sydney	65-74	78750	M	10939
Greater Sydney	65-74	91875	F	5863
Greater Sydney	65-74	91875	M	8904
Greater Sydney	65-74	105000	F	4126
Greater Sydney	65-74	105000	M	6237
Greater Sydney	65-74	157500	F	5546
Greater Sydney	65-74	157500	M	10039
Greater Sydney	65-74	183750	F	1533
Greater Sydney	65-74	183750	M	2952
Greater Sydney	65-74	Inf	F	3072
Greater Sydney	65-74	Inf	M	8150
Greater Sydney	75-84		F	13548
Greater Sydney	75-84		M	10464
Greater Sydney	75-84	0	F	11330
Greater Sydney	75-84	0	M	8800
Greater Sydney	75-84	7875	F	3848
Greater Sydney	75-84	7875	M	2859
Greater Sydney	75-84	15750	F	9074
Greater Sydney	75-84	15750	M	7304
Greater Sydney	75-84	21000	F	23653
Greater Sydney	75-84	21000	M	24345
Greater Sydney	75-84	26250	F	30026
Greater Sydney	75-84	26250	M	16103
Greater Sydney	75-84	34125	F	14738
Greater Sydney	75-84	34125	M	11132
Greater Sydney	75-84	42000	F	8711
Greater Sydney	75-84	42000	M	8385
Greater Sydney	75-84	52500	F	6112
Greater Sydney	75-84	52500	M	6236
Greater Sydney	75-84	65625	F	4119
Greater Sydney	75-84	65625	M	5797
Greater Sydney	75-84	78750	F	2210
Greater Sydney	75-84	78750	M	3434
Greater Sydney	75-84	91875	F	1944
Greater Sydney	75-84	91875	M	2733
Greater Sydney	75-84	105000	F	1228
Greater Sydney	75-84	105000	M	1846
Greater Sydney	75-84	157500	F	1598
Greater Sydney	75-84	157500	M	2710
Greater Sydney	75-84	183750	F	530
Greater Sydney	75-84	183750	M	883
Greater Sydney	75-84	Inf	F	1355
Greater Sydney	75-84	Inf	M	2476
Greater Sydney	85+		F	15461
Greater Sydney	85+		M	7495
Greater Sydney	85+	0	F	4756
Greater Sydney	85+	0	M	3055
Greater Sydney	85+	7875	F	1274
Greater Sydney	85+	7875	M	965
Greater Sydney	85+	15750	F	2951
Greater Sydney	85+	15750	M	2486
Greater Sydney	85+	21000	F	7232
Greater Sydney	85+	21000	M	7912
Greater Sydney	85+	26250	F	16605
Greater Sydney	85+	26250	M	6945
Greater Sydney	85+	34125	F	6979
Greater Sydney	85+	34125	M	3484
Greater Sydney	85+	42000	F	2835
Greater Sydney	85+	42000	M	2381
Greater Sydney	85+	52500	F	2167
Greater Sydney	85+	52500	M	1684
Greater Sydney	85+	65625	F	1376
Greater Sydney	85+	65625	M	1175
Greater Sydney	85+	78750	F	775
Greater Sydney	85+	78750	M	736
Greater Sydney	85+	91875	F	710
Greater Sydney	85+	91875	M	635
Greater Sydney	85+	105000	F	425
Greater Sydney	85+	105000	M	408
Greater Sydney	85+	157500	F	560
Greater Sydney	85+	157500	M	589
Greater Sydney	85+	183750	F	239
Greater Sydney	85+	183750	M	216
Greater Sydney	85+	Inf	F	562
Greater Sydney	85+	Inf	M	650
Rest of NSW	15-19		F	6320
Rest of NSW	15-19		M	7112
Rest of NSW	15-19	0	F	24988
Rest of NSW	15-19	0	M	30213
Rest of NSW	15-19	7875	F	19223
Rest of NSW	15-19	7875	M	15427
Rest of NSW	15-19	15750	F	10636
Rest of NSW	15-19	15750	M	8467
Rest of NSW	15-19	21000	F	4786
Rest of NSW	15-19	21000	M	3596
Rest of NSW	15-19	26250	F	3889
Rest of NSW	15-19	26250	M	4648
Rest of NSW	15-19	34125	F	3976
Rest of NSW	15-19	34125	M	6236
Rest of NSW	15-19	42000	F	2585
Rest of NSW	15-19	42000	M	3862
Rest of NSW	15-19	52500	F	1460
Rest of NSW	15-19	52500	M	2331
Rest of NSW	15-19	65625	F	654
Rest of NSW	15-19	65625	M	1100
Rest of NSW	15-19	78750	F	200
Rest of NSW	15-19	78750	M	356
Rest of NSW	15-19	91875	F	76
Rest of NSW	15-19	91875	M	143
Rest of NSW	15-19	105000	F	36
Rest of NSW	15-19	105000	M	52
Rest of NSW	15-19	157500	F	25
Rest of NSW	15-19	157500	M	41
Rest of NSW	15-19	183750	F	13
Rest of NSW	15-19	183750	M	12
Rest of NSW	15-19	Inf	F	74
Rest of NSW	15-19	Inf	M	76
Rest of NSW	20-24		F	5457
Rest of NSW	20-24		M	7120
Rest of NSW	20-24	0	F	3488
Rest of NSW	20-24	0	M	4561
Rest of NSW	20-24	7875	F	2075
Rest of NSW	20-24	7875	M	1917
Rest of NSW	20-24	15750	F	5749
Rest of NSW	20-24	15750	M	5505
Rest of NSW	20-24	21000	F	6140
Rest of NSW	20-24	21000	M	5205
Rest of NSW	20-24	26250	F	6370
Rest of NSW	20-24	26250	M	4813
Rest of NSW	20-24	34125	F	9573
Rest of NSW	20-24	34125	M	7269
Rest of NSW	20-24	42000	F	10786
Rest of NSW	20-24	42000	M	9952
Rest of NSW	20-24	52500	F	10541
Rest of NSW	20-24	52500	M	12102
Rest of NSW	20-24	65625	F	7402
Rest of NSW	20-24	65625	M	9315
Rest of NSW	20-24	78750	F	4070
Rest of NSW	20-24	78750	M	4848
Rest of NSW	20-24	91875	F	1568
Rest of NSW	20-24	91875	M	2535
Rest of NSW	20-24	105000	F	563
Rest of NSW	20-24	105000	M	1230
Rest of NSW	20-24	157500	F	414
Rest of NSW	20-24	157500	M	1195
Rest of NSW	20-24	183750	F	53
Rest of NSW	20-24	183750	M	136
Rest of NSW	20-24	Inf	F	118
Rest of NSW	20-24	Inf	M	192
Rest of NSW	25-34		F	11627
Rest of NSW	25-34		M	15286
Rest of NSW	25-34	0	F	8140
Rest of NSW	25-34	0	M	4186
Rest of NSW	25-34	7875	F	2635
Rest of NSW	25-34	7875	M	960
Rest of NSW	25-34	15750	F	5960
Rest of NSW	25-34	15750	M	4208
Rest of NSW	25-34	21000	F	8017
Rest of NSW	25-34	21000	M	5924
Rest of NSW	25-34	26250	F	9842
Rest of NSW	25-34	26250	M	5621
Rest of NSW	25-34	34125	F	16151
Rest of NSW	25-34	34125	M	6998
Rest of NSW	25-34	42000	F	18510
Rest of NSW	25-34	42000	M	10200
Rest of NSW	25-34	52500	F	20887
Rest of NSW	25-34	52500	M	18638
Rest of NSW	25-34	65625	F	20841
Rest of NSW	25-34	65625	M	23965
Rest of NSW	25-34	78750	F	15012
Rest of NSW	25-34	78750	M	18138
Rest of NSW	25-34	91875	F	12095
Rest of NSW	25-34	91875	M	15302
Rest of NSW	25-34	105000	F	7527
Rest of NSW	25-34	105000	M	10918
Rest of NSW	25-34	157500	F	7588
Rest of NSW	25-34	157500	M	16257
Rest of NSW	25-34	183750	F	858
Rest of NSW	25-34	183750	M	2635
Rest of NSW	25-34	Inf	F	925
Rest of NSW	25-34	Inf	M	2665
Rest of NSW	35-44		F	11208
Rest of NSW	35-44		M	13919
Rest of NSW	35-44	0	F	8192
Rest of NSW	35-44	0	M	3559
Rest of NSW	35-44	7875	F	2927
Rest of NSW	35-44	7875	M	943
Rest of NSW	35-44	15750	F	5673
Rest of NSW	35-44	15750	M	3344
Rest of NSW	35-44	21000	F	7782
Rest of NSW	35-44	21000	M	4959
Rest of NSW	35-44	26250	F	9363
Rest of NSW	35-44	26250	M	5051
Rest of NSW	35-44	34125	F	14405
Rest of NSW	35-44	34125	M	5690
Rest of NSW	35-44	42000	F	16693
Rest of NSW	35-44	42000	M	7131
Rest of NSW	35-44	52500	F	18268
Rest of NSW	35-44	52500	M	12907
Rest of NSW	35-44	65625	F	18814
Rest of NSW	35-44	65625	M	18549
Rest of NSW	35-44	78750	F	13573
Rest of NSW	35-44	78750	M	15459
Rest of NSW	35-44	91875	F	11582
Rest of NSW	35-44	91875	M	14785
Rest of NSW	35-44	105000	F	8816
Rest of NSW	35-44	105000	M	12742
Rest of NSW	35-44	157500	F	13801
Rest of NSW	35-44	157500	M	25370
Rest of NSW	35-44	183750	F	2080
Rest of NSW	35-44	183750	M	5476
Rest of NSW	35-44	Inf	F	2808
Rest of NSW	35-44	Inf	M	7694
Rest of NSW	45-54		F	11154
Rest of NSW	45-54		M	13865
Rest of NSW	45-54	0	F	8984
Rest of NSW	45-54	0	M	4647
Rest of NSW	45-54	7875	F	3188
Rest of NSW	45-54	7875	M	1441
Rest of NSW	45-54	15750	F	6231
Rest of NSW	45-54	15750	M	4229
Rest of NSW	45-54	21000	F	9759
Rest of NSW	45-54	21000	M	7200
Rest of NSW	45-54	26250	F	11180
Rest of NSW	45-54	26250	M	7341
Rest of NSW	45-54	34125	F	15118
Rest of NSW	45-54	34125	M	7173
Rest of NSW	45-54	42000	F	16423
Rest of NSW	45-54	42000	M	7923
Rest of NSW	45-54	52500	F	19304
Rest of NSW	45-54	52500	M	13857
Rest of NSW	45-54	65625	F	20120
Rest of NSW	45-54	65625	M	18858
Rest of NSW	45-54	78750	F	14058
Rest of NSW	45-54	78750	M	15055
Rest of NSW	45-54	91875	F	12156
Rest of NSW	45-54	91875	M	14301
Rest of NSW	45-54	105000	F	9560
Rest of NSW	45-54	105000	M	12640
Rest of NSW	45-54	157500	F	15316
Rest of NSW	45-54	157500	M	25162
Rest of NSW	45-54	183750	F	2350
Rest of NSW	45-54	183750	M	5802
Rest of NSW	45-54	Inf	F	3837
Rest of NSW	45-54	Inf	M	9871
Rest of NSW	55-64		F	12075
Rest of NSW	55-64		M	13684
Rest of NSW	55-64	0	F	18409
Rest of NSW	55-64	0	M	9108
Rest of NSW	55-64	7875	F	6031
Rest of NSW	55-64	7875	M	3012
Rest of NSW	55-64	15750	F	10952
Rest of NSW	55-64	15750	M	7063
Rest of NSW	55-64	21000	F	17242
Rest of NSW	55-64	21000	M	12771
Rest of NSW	55-64	26250	F	18072
Rest of NSW	55-64	26250	M	12776
Rest of NSW	55-64	34125	F	18902
Rest of NSW	55-64	34125	M	11619
Rest of NSW	55-64	42000	F	16913
Rest of NSW	55-64	42000	M	11109
Rest of NSW	55-64	52500	F	18075
Rest of NSW	55-64	52500	M	16411
Rest of NSW	55-64	65625	F	18335
Rest of NSW	55-64	65625	M	20499
Rest of NSW	55-64	78750	F	11353
Rest of NSW	55-64	78750	M	14711
Rest of NSW	55-64	91875	F	9163
