GCCSA_NAME21	Age	HoursHousekeeping	Sex	adults
No usual address (NSW)	45-54	<5	M	127
No usual address (NSW)	45-54	5-14	F	132
No usual address (NSW)	45-54	5-14	M	102
No usual address (NSW)	45-54	15-29	F	71
No usual address (NSW)	45-54	15-29	M	41
No usual address (NSW)	45-54	30+	F	37
No usual address (NSW)	45-54	30+	M	24
No usual address (NSW)	55-64		F	145
No usual address (NSW)	55-64		M	323
No usual address (NSW)	55-64	0	F	142
No usual address (NSW)	55-64	0	M	268
No usual address (NSW)	55-64	<5	F	118
No usual address (NSW)	55-64	<5	M	143
No usual address (NSW)	55-64	5-14	F	159
No usual address (NSW)	55-64	5-14	M	157
No usual address (NSW)	55-64	15-29	F	89
No usual address (NSW)	55-64	15-29	M	33
No usual address (NSW)	55-64	30+	F	46
No usual address (NSW)	55-64	30+	M	22
No usual address (NSW)	65-74		F	59
No usual address (NSW)	65-74		M	133
No usual address (NSW)	65-74	0	F	122
No usual address (NSW)	65-74	0	M	236
No usual address (NSW)	65-74	<5	F	56
No usual address (NSW)	65-74	<5	M	87
No usual address (NSW)	65-74	5-14	F	77
No usual address (NSW)	65-74	5-14	M	117
No usual address (NSW)	65-74	15-29	F	62
No usual address (NSW)	65-74	15-29	M	47
No usual address (NSW)	65-74	30+	F	28
No usual address (NSW)	65-74	30+	M	29
No usual address (NSW)	75-84		F	22
No usual address (NSW)	75-84		M	36
No usual address (NSW)	75-84	0	F	40
No usual address (NSW)	75-84	0	M	69
No usual address (NSW)	75-84	<5	F	16
No usual address (NSW)	75-84	<5	M	17
No usual address (NSW)	75-84	5-14	F	17
No usual address (NSW)	75-84	5-14	M	23
No usual address (NSW)	75-84	15-29	F	6
No usual address (NSW)	75-84	15-29	M	11
No usual address (NSW)	75-84	30+	F	15
No usual address (NSW)	75-84	30+	M	13
No usual address (NSW)	85+		F	12
No usual address (NSW)	85+		M	4
No usual address (NSW)	85+	0	F	14
No usual address (NSW)	85+	0	M	8
No usual address (NSW)	85+	<5	F	6
No usual address (NSW)	85+	<5	M	5
No usual address (NSW)	85+	30+	F	5
Greater Sydney	15-19		F	7171
Greater Sydney	15-19		M	8125
Greater Sydney	15-19	0	F	53331
Greater Sydney	15-19	0	M	67310
Greater Sydney	15-19	<5	F	61002
Greater Sydney	15-19	<5	M	61792
Greater Sydney	15-19	5-14	F	18001
Greater Sydney	15-19	5-14	M	13163
Greater Sydney	15-19	15-29	F	2148
Greater Sydney	15-19	15-29	M	1269
Greater Sydney	15-19	30+	F	885
Greater Sydney	15-19	30+	M	576
Greater Sydney	20-24		F	9732
Greater Sydney	20-24		M	11876
Greater Sydney	20-24	0	F	54645
Greater Sydney	20-24	0	M	77171
Greater Sydney	20-24	<5	F	51237
Greater Sydney	20-24	<5	M	55023
Greater Sydney	20-24	5-14	F	38622
Greater Sydney	20-24	5-14	M	26496
Greater Sydney	20-24	15-29	F	8036
Greater Sydney	20-24	15-29	M	3945
Greater Sydney	20-24	30+	F	4297
Greater Sydney	20-24	30+	M	1979
Greater Sydney	25-34		F	26143
Greater Sydney	25-34		M	29728
Greater Sydney	25-34	0	F	106477
Greater Sydney	25-34	0	M	140631
Greater Sydney	25-34	<5	F	70929
Greater Sydney	25-34	<5	M	100231
Greater Sydney	25-34	5-14	F	116659
Greater Sydney	25-34	5-14	M	99864
Greater Sydney	25-34	15-29	F	44389
Greater Sydney	25-34	15-29	M	20952
Greater Sydney	25-34	30+	F	45593
Greater Sydney	25-34	30+	M	9713
Greater Sydney	35-44		F	21034
Greater Sydney	35-44		M	24294
Greater Sydney	35-44	0	F	74268
Greater Sydney	35-44	0	M	100717
Greater Sydney	35-44	<5	F	36780
Greater Sydney	35-44	<5	M	81571
Greater Sydney	35-44	5-14	F	106683
Greater Sydney	35-44	5-14	M	122171
Greater Sydney	35-44	15-29	F	75296
Greater Sydney	35-44	15-29	M	38736
Greater Sydney	35-44	30+	F	78184
Greater Sydney	35-44	30+	M	18001
Greater Sydney	45-54		F	15287
Greater Sydney	45-54		M	17652
Greater Sydney	45-54	0	F	59140
Greater Sydney	45-54	0	M	78866
Greater Sydney	45-54	<5	F	32191
Greater Sydney	45-54	<5	M	72598
Greater Sydney	45-54	5-14	F	105255
Greater Sydney	45-54	5-14	M	109402
Greater Sydney	45-54	15-29	F	72774
Greater Sydney	45-54	15-29	M	33778
Greater Sydney	45-54	30+	F	55731
Greater Sydney	45-54	30+	M	14483
Greater Sydney	55-64		F	12686
Greater Sydney	55-64		M	14416
Greater Sydney	55-64	0	F	62842
Greater Sydney	55-64	0	M	75970
Greater Sydney	55-64	<5	F	28930
Greater Sydney	55-64	<5	M	59950
Greater Sydney	55-64	5-14	F	87078
Greater Sydney	55-64	5-14	M	89402
Greater Sydney	55-64	15-29	F	60091
Greater Sydney	55-64	15-29	M	29395
Greater Sydney	55-64	30+	F	44867
Greater Sydney	55-64	30+	M	13533
Greater Sydney	65-74		F	11548
Greater Sydney	65-74		M	10903
Greater Sydney	65-74	0	F	61950
Greater Sydney	65-74	0	M	64525
Greater Sydney	65-74	<5	F	19406
Greater Sydney	65-74	<5	M	36408
Greater Sydney	65-74	5-14	F	54479
Greater Sydney	65-74	5-14	M	58371
Greater Sydney	65-74	15-29	F	46396
Greater Sydney	65-74	15-29	M	25530
Greater Sydney	65-74	30+	F	36815
Greater Sydney	65-74	30+	M	13137
Greater Sydney	75-84		F	11134
Greater Sydney	75-84		M	8776
Greater Sydney	75-84	0	F	45537
Greater Sydney	75-84	0	M	42012
Greater Sydney	75-84	<5	F	13291
Greater Sydney	75-84	<5	M	18654
Greater Sydney	75-84	5-14	F	26340
Greater Sydney	75-84	5-14	M	26623
Greater Sydney	75-84	15-29	F	20599
Greater Sydney	75-84	15-29	M	12403
Greater Sydney	75-84	30+	F	17124
Greater Sydney	75-84	30+	M	7032
Greater Sydney	85+		F	12033
Greater Sydney	85+		M	5949
Greater Sydney	85+	0	F	30487
Greater Sydney	85+	0	M	18864
Greater Sydney	85+	<5	F	6967
Greater Sydney	85+	<5	M	5452
Greater Sydney	85+	5-14	F	8206
Greater Sydney	85+	5-14	M	6065
Greater Sydney	85+	15-29	F	4268
Greater Sydney	85+	15-29	M	2733
Greater Sydney	85+	30+	F	2946
Greater Sydney	85+	30+	M	1755
Rest of NSW	15-19		F	6203
Rest of NSW	15-19		M	7014
Rest of NSW	15-19	0	F	26191
Rest of NSW	15-19	0	M	33819
Rest of NSW	15-19	<5	F	35241
Rest of NSW	15-19	<5	M	35248
Rest of NSW	15-19	5-14	F	9680
Rest of NSW	15-19	5-14	M	6625
Rest of NSW	15-19	15-29	F	1145
Rest of NSW	15-19	15-29	M	657
Rest of NSW	15-19	30+	F	479
Rest of NSW	15-19	30+	M	303
Rest of NSW	20-24		F	5247
Rest of NSW	20-24		M	6852
Rest of NSW	20-24	0	F	18862
Rest of NSW	20-24	0	M	29365
Rest of NSW	20-24	<5	F	22343
Rest of NSW	20-24	<5	M	26113
Rest of NSW	20-24	5-14	F	20084
Rest of NSW	20-24	5-14	M	12771
Rest of NSW	20-24	15-29	F	4700
Rest of NSW	20-24	15-29	M	1926
Rest of NSW	20-24	30+	F	3149
Rest of NSW	20-24	30+	M	885
Rest of NSW	25-34		F	11383
Rest of NSW	25-34		M	14876
Rest of NSW	25-34	0	F	27021
Rest of NSW	25-34	0	M	42339
Rest of NSW	25-34	<5	F	24385
Rest of NSW	25-34	<5	M	43611
Rest of NSW	25-34	5-14	F	52199
Rest of NSW	25-34	5-14	M	46000
Rest of NSW	25-34	15-29	F	25049
Rest of NSW	25-34	15-29	M	10515
Rest of NSW	25-34	30+	F	26598
Rest of NSW	25-34	30+	M	4549
Rest of NSW	35-44		F	10766
Rest of NSW	35-44		M	13441
Rest of NSW	35-44	0	F	18234
Rest of NSW	35-44	0	M	29808
Rest of NSW	35-44	<5	F	14686
Rest of NSW	35-44	<5	M	36690
Rest of NSW	35-44	5-14	F	52546
Rest of NSW	35-44	5-14	M	53912
Rest of NSW	35-44	15-29	F	36657
Rest of NSW	35-44	15-29	M	16410
Rest of NSW	35-44	30+	F	33092
Rest of NSW	35-44	30+	M	7320
Rest of NSW	45-54		F	10381
Rest of NSW	45-54		M	12881
Rest of NSW	45-54	0	F	22765
Rest of NSW	45-54	0	M	34555
Rest of NSW	45-54	<5	F	18813
Rest of NSW	45-54	<5	M	40239
Rest of NSW	45-54	5-14	F	64259
Rest of NSW	45-54	5-14	M	57318
Rest of NSW	45-54	15-29	F	38355
Rest of NSW	45-54	15-29	M	17034
Rest of NSW	45-54	30+	F	24164
Rest of NSW	45-54	30+	M	7338
Rest of NSW	55-64		F	10886
Rest of NSW	55-64		M	12577
Rest of NSW	55-64	0	F	32444
Rest of NSW	55-64	0	M	43662
Rest of NSW	55-64	<5	F	20354
Rest of NSW	55-64	<5	M	41235
Rest of NSW	55-64	5-14	F	63072
Rest of NSW	55-64	5-14	M	58272
Rest of NSW	55-64	15-29	F	41251
Rest of NSW	55-64	15-29	M	19424
Rest of NSW	55-64	30+	F	27902
Rest of NSW	55-64	30+	M	9889
Rest of NSW	65-74		F	10915
Rest of NSW	65-74		M	11585
Rest of NSW	65-74	0	F	41722
Rest of NSW	65-74	0	M	47608
Rest of NSW	65-74	<5	F	12722
Rest of NSW	65-74	<5	M	28109
Rest of NSW	65-74	5-14	F	40450
Rest of NSW	65-74	5-14	M	47236
Rest of NSW	65-74	15-29	F	38160
Rest of NSW	65-74	15-29	M	23208
Rest of NSW	65-74	30+	F	32734
Rest of NSW	65-74	30+	M	13745
Rest of NSW	75-84		F	10095
Rest of NSW	75-84		M	8296
Rest of NSW	75-84	0	F	35730
Rest of NSW	75-84	0	M	32844
Rest of NSW	75-84	<5	F	8703
Rest of NSW	75-84	<5	M	13330
Rest of NSW	75-84	5-14	F	18598
Rest of NSW	75-84	5-14	M	21061
Rest of NSW	75-84	15-29	F	16476
Rest of NSW	75-84	15-29	M	11686
Rest of NSW	75-84	30+	F	16490
Rest of NSW	75-84	30+	M	8428
Rest of NSW	85+		F	7574
Rest of NSW	85+		M	4191
Rest of NSW	85+	0	F	23834
Rest of NSW	85+	0	M	14055
Rest of NSW	85+	<5	F	4845
Rest of NSW	85+	<5	M	3667
Rest of NSW	85+	5-14	F	5894
Rest of NSW	85+	5-14	M	4338
Rest of NSW	85+	15-29	F	3154
Rest of NSW	85+	15-29	M	2254
Rest of NSW	85+	30+	F	2588
Rest of NSW	85+	30+	M	1736
No usual address (Vic.)	15-19		F	87
No usual address (Vic.)	15-19		M	88
No usual address (Vic.)	15-19	0	F	56
No usual address (Vic.)	15-19	0	M	76
No usual address (Vic.)	15-19	<5	F	62
No usual address (Vic.)	15-19	<5	M	44
No usual address (Vic.)	15-19	5-14	F	22
No usual address (Vic.)	15-19	5-14	M	14
No usual address (Vic.)	15-19	15-29	F	4
No usual address (Vic.)	15-19	30+	F	8
No usual address (Vic.)	20-24		F	93
No usual address (Vic.)	20-24		M	125
No usual address (Vic.)	20-24	0	F	74
No usual address (Vic.)	20-24	0	M	95
No usual address (Vic.)	20-24	<5	F	75
No usual address (Vic.)	20-24	<5	M	71
No usual address (Vic.)	20-24	5-14	F	47
No usual address (Vic.)	20-24	5-14	M	36
No usual address (Vic.)	20-24	15-29	F	20
No usual address (Vic.)	20-24	15-29	M	13
No usual address (Vic.)	20-24	30+	F	10
No usual address (Vic.)	20-24	30+	M	6
No usual address (Vic.)	25-34		F	313
No usual address (Vic.)	25-34		M	391
No usual address (Vic.)	25-34	0	F	150
No usual address (Vic.)	25-34	0	M	241
No usual address (Vic.)	25-34	<5	F	126
No usual address (Vic.)	25-34	<5	M	147
No usual address (Vic.)	25-34	5-14	F	166
No usual address (Vic.)	25-34	5-14	M	124
No usual address (Vic.)	25-34	15-29	F	61
No usual address (Vic.)	25-34	15-29	M	29
No usual address (Vic.)	25-34	30+	F	69
No usual address (Vic.)	25-34	30+	M	16
No usual address (Vic.)	35-44		F	343
No usual address (Vic.)	35-44		M	525
No usual address (Vic.)	35-44	0	F	77
No usual address (Vic.)	35-44	0	M	176
No usual address (Vic.)	35-44	<5	F	75
No usual address (Vic.)	35-44	<5	M	127
No usual address (Vic.)	35-44	5-14	F	103
No usual address (Vic.)	35-44	5-14	M	116
No usual address (Vic.)	35-44	15-29	F	58
No usual address (Vic.)	35-44	15-29	M	30
No usual address (Vic.)	35-44	30+	F	75
No usual address (Vic.)	35-44	30+	M	24
No usual address (Vic.)	45-54		F	178
No usual address (Vic.)	45-54		M	465
No usual address (Vic.)	45-54	0	F	83
No usual address (Vic.)	45-54	0	M	209
No usual address (Vic.)	45-54	<5	F	62
No usual address (Vic.)	45-54	<5	M	105
No usual address (Vic.)	45-54	5-14	F	82
No usual address (Vic.)	45-54	5-14	M	91
No usual address (Vic.)	45-54	15-29	F	39
No usual address (Vic.)	45-54	15-29	M	24
No usual address (Vic.)	45-54	30+	F	36
No usual address (Vic.)	45-54	30+	M	17
No usual address (Vic.)	55-64		F	118
No usual address (Vic.)	55-64		M	291
No usual address (Vic.)	55-64	0	F	67
No usual address (Vic.)	55-64	0	M	153
No usual address (Vic.)	55-64	<5	F	62
No usual address (Vic.)	55-64	<5	M	82
No usual address (Vic.)	55-64	5-14	F	111
No usual address (Vic.)	55-64	5-14	M	82
No usual address (Vic.)	55-64	15-29	F	46
No usual address (Vic.)	55-64	15-29	M	19
No usual address (Vic.)	55-64	30+	F	25
No usual address (Vic.)	55-64	30+	M	13
No usual address (Vic.)	65-74		F	63
No usual address (Vic.)	65-74		M	136
No usual address (Vic.)	65-74	0	F	49
No usual address (Vic.)	65-74	0	M	113
No usual address (Vic.)	65-74	<5	F	31
No usual address (Vic.)	65-74	<5	M	54
No usual address (Vic.)	65-74	5-14	F	37
No usual address (Vic.)	65-74	5-14	M	70
No usual address (Vic.)	65-74	15-29	F	30
No usual address (Vic.)	65-74	15-29	M	11
No usual address (Vic.)	65-74	30+	F	10
No usual address (Vic.)	65-74	30+	M	13
No usual address (Vic.)	75-84		F	6
No usual address (Vic.)	75-84		M	27
No usual address (Vic.)	75-84	0	F	28
No usual address (Vic.)	75-84	0	M	28
No usual address (Vic.)	75-84	<5	F	7
No usual address (Vic.)	75-84	<5	M	18
No usual address (Vic.)	75-84	5-14	F	12
No usual address (Vic.)	75-84	5-14	M	9
No usual address (Vic.)	75-84	15-29	F	3
No usual address (Vic.)	75-84	15-29	M	6
No usual address (Vic.)	75-84	30+	F	6
No usual address (Vic.)	85+		F	10
No usual address (Vic.)	85+		M	11
No usual address (Vic.)	85+	0	F	9
Migratory - Offshore - Shipping (Vic.)	35-44		M	9
Migratory - Offshore - Shipping (Vic.)	35-44	0	M	4
Migratory - Offshore - Shipping (Vic.)	45-54		M	3
Migratory - Offshore - Shipping (Vic.)	55-64		F	3
Migratory - Offshore - Shipping (Vic.)	55-64		M	7
Greater Melbourne	15-19		F	6583
Greater Melbourne	15-19		M	7208
Greater Melbourne	15-19	0	F	50958
Greater Melbourne	15-19	0	M	63172
Greater Melbourne	15-19	<5	F	59588
Greater Melbourne	15-19	<5	M	59233
Greater Melbourne	15-19	5-14	F	14599
Greater Melbourne	15-19	5-14	M	10035
Greater Melbourne	15-19	15-29	F	1557
Greater Melbourne	15-19	15-29	M	835
Greater Melbourne	15-19	30+	F	547
Greater Melbourne	15-19	30+	M	387
Greater Melbourne	20-24		F	8661
Greater Melbourne	20-24		M	10509
Greater Melbourne	20-24	0	F	50930
Greater Melbourne	20-24	0	M	73052
Greater Melbourne	20-24	<5	F	53374
Greater Melbourne	20-24	<5	M	55551
Greater Melbourne	20-24	5-14	F	37315
Greater Melbourne	20-24	5-14	M	24721
Greater Melbourne	20-24	15-29	F	6663
Greater Melbourne	20-24	15-29	M	3201
Greater Melbourne	20-24	30+	F	3147
Greater Melbourne	20-24	30+	M	1414
Greater Melbourne	25-34		F	23343
Greater Melbourne	25-34		M	27199
Greater Melbourne	25-34	0	F	95465
Greater Melbourne	25-34	0	M	131033
Greater Melbourne	25-34	<5	F	74663
Greater Melbourne	25-34	<5	M	105290
Greater Melbourne	25-34	5-14	F	121791
Greater Melbourne	25-34	5-14	M	101312
Greater Melbourne	25-34	15-29	F	42297
Greater Melbourne	25-34	15-29	M	18435
Greater Melbourne	25-34	30+	F	40530
Greater Melbourne	25-34	30+	M	7333
Greater Melbourne	35-44		F	18074
Greater Melbourne	35-44		M	21041
Greater Melbourne	35-44	0	F	65179
Greater Melbourne	35-44	0	M	91271
Greater Melbourne	35-44	<5	F	38151
Greater Melbourne	35-44	<5	M	84492
Greater Melbourne	35-44	5-14	F	108636
Greater Melbourne	35-44	5-14	M	120109
Greater Melbourne	35-44	15-29	F	71435
Greater Melbourne	35-44	15-29	M	33496
Greater Melbourne	35-44	30+	F	69732
Greater Melbourne	35-44	30+	M	13496
Greater Melbourne	45-54		F	13706
Greater Melbourne	45-54		M	15640
Greater Melbourne	45-54	0	F	53247
Greater Melbourne	45-54	0	M	72312
Greater Melbourne	45-54	<5	F	32786
Greater Melbourne	45-54	<5	M	75822
Greater Melbourne	45-54	5-14	F	107512
Greater Melbourne	45-54	5-14	M	104814
Greater Melbourne	45-54	15-29	F	67747
Greater Melbourne	45-54	15-29	M	27253
Greater Melbourne	45-54	30+	F	47763
Greater Melbourne	45-54	30+	M	10500
Greater Melbourne	55-64		F	11274
Greater Melbourne	55-64		M	12109
Greater Melbourne	55-64	0	F	55054
Greater Melbourne	55-64	0	M	69004
Greater Melbourne	55-64	<5	F	28317
Greater Melbourne	55-64	<5	M	60228
Greater Melbourne	55-64	5-14	F	86282
Greater Melbourne	55-64	5-14	M	82866
Greater Melbourne	55-64	15-29	F	54839
Greater Melbourne	55-64	15-29	M	23019
Greater Melbourne	55-64	30+	F	37584
Greater Melbourne	55-64	30+	M	9393
Greater Melbourne	65-74		F	10379
Greater Melbourne	65-74		M	9339
Greater Melbourne	65-74	0	F	57356
Greater Melbourne	65-74	0	M	58743
Greater Melbourne	65-74	<5	F	17830
Greater Melbourne	65-74	<5	M	35493
Greater Melbourne	65-74	5-14	F	52003
Greater Melbourne	65-74	5-14	M	54224
Greater Melbourne	65-74	15-29	F	43706
Greater Melbourne	65-74	15-29	M	21928
Greater Melbourne	65-74	30+	F	33552
Greater Melbourne	65-74	30+	M	10468
Greater Melbourne	75-84		F	9136
Greater Melbourne	75-84		M	7374
Greater Melbourne	75-84	0	F	44281
Greater Melbourne	75-84	0	M	39747
Greater Melbourne	75-84	<5	F	12106
Greater Melbourne	75-84	<5	M	17510
Greater Melbourne	75-84	5-14	F	24697
Greater Melbourne	75-84	5-14	M	24817
Greater Melbourne	75-84	15-29	F	20430
Greater Melbourne	75-84	15-29	M	11599
Greater Melbourne	75-84	30+	F	16954
Greater Melbourne	75-84	30+	M	6350
Greater Melbourne	85+		F	7644
Greater Melbourne	85+		M	4101
Greater Melbourne	85+	0	F	32107
Greater Melbourne	85+	0	M	18804
Greater Melbourne	85+	<5	F	6442
Greater Melbourne	85+	<5	M	5277
Greater Melbourne	85+	5-14	F	8075
Greater Melbourne	85+	5-14	M	5900
Greater Melbourne	85+	15-29	F	4316
Greater Melbourne	85+	15-29	M	2636
Greater Melbourne	85+	30+	F	2947
Greater Melbourne	85+	30+	M	1769
Rest of Vic.	15-19		F	3385
Rest of Vic.	15-19		M	3673
Rest of Vic.	15-19	0	F	13783
Rest of Vic.	15-19	0	M	17928
Rest of Vic.	15-19	<5	F	19729
Rest of Vic.	15-19	<5	M	19921
Rest of Vic.	15-19	5-14	F	4976
Rest of Vic.	15-19	5-14	M	3459
Rest of Vic.	15-19	15-29	F	547
Rest of Vic.	15-19	15-29	M	288
Rest of Vic.	15-19	30+	F	211
Rest of Vic.	15-19	30+	M	143
Rest of Vic.	20-24		F	2607
Rest of Vic.	20-24		M	3202
Rest of Vic.	20-24	0	F	10175
Rest of Vic.	20-24	0	M	15822
Rest of Vic.	20-24	<5	F	11914
Rest of Vic.	20-24	<5	M	14425
Rest of Vic.	20-24	5-14	F	10643
Rest of Vic.	20-24	5-14	M	6855
Rest of Vic.	20-24	15-29	F	2464
Rest of Vic.	20-24	15-29	M	987
Rest of Vic.	20-24	30+	F	1597
Rest of Vic.	20-24	30+	M	441
Rest of Vic.	25-34		F	6092
Rest of Vic.	25-34		M	7775
Rest of Vic.	25-34	0	F	15268
Rest of Vic.	25-34	0	M	23841
Rest of Vic.	25-34	<5	F	13272
Rest of Vic.	25-34	<5	M	24905
Rest of Vic.	25-34	5-14	F	29732
Rest of Vic.	25-34	5-14	M	26456
Rest of Vic.	25-34	15-29	F	13797
Rest of Vic.	25-34	15-29	M	5875
Rest of Vic.	25-34	30+	F	15357
Rest of Vic.	25-34	30+	M	2599
Rest of Vic.	35-44		F	6020
Rest of Vic.	35-44		M	7210
Rest of Vic.	35-44	0	F	9986
Rest of Vic.	35-44	0	M	15817
Rest of Vic.	35-44	<5	F	8106
Rest of Vic.	35-44	<5	M	21011
Rest of Vic.	35-44	5-14	F	28943
Rest of Vic.	35-44	5-14	M	30444
Rest of Vic.	35-44	15-29	F	20839
Rest of Vic.	35-44	15-29	M	9190
Rest of Vic.	35-44	30+	F	20196
Rest of Vic.	35-44	30+	M	4120
Rest of Vic.	45-54		F	5950
Rest of Vic.	45-54		M	7173
Rest of Vic.	45-54	0	F	12180
Rest of Vic.	45-54	0	M	18809
Rest of Vic.	45-54	<5	F	9923
Rest of Vic.	45-54	<5	M	23425
Rest of Vic.	45-54	5-14	F	36158
Rest of Vic.	45-54	5-14	M	32376
Rest of Vic.	45-54	15-29	F	22313
Rest of Vic.	45-54	15-29	M	9240
Rest of Vic.	45-54	30+	F	14793
Rest of Vic.	45-54	30+	M	4051
Rest of Vic.	55-64		F	6270
Rest of Vic.	55-64		M	7112
Rest of Vic.	55-64	0	F	18146
Rest of Vic.	55-64	0	M	24268
Rest of Vic.	55-64	<5	F	10858
Rest of Vic.	55-64	<5	M	23997
Rest of Vic.	55-64	5-14	F	35520
Rest of Vic.	55-64	5-14	M	32837
Rest of Vic.	55-64	15-29	F	24289
Rest of Vic.	55-64	15-29	M	10575
Rest of Vic.	55-64	30+	F	16446
Rest of Vic.	55-64	30+	M	5175
Rest of Vic.	65-74		F	6615
Rest of Vic.	65-74		M	7061
Rest of Vic.	65-74	0	F	23328
Rest of Vic.	65-74	0	M	27073
Rest of Vic.	65-74	<5	F	6703
Rest of Vic.	65-74	<5	M	16663
Rest of Vic.	65-74	5-14	F	22650
Rest of Vic.	65-74	5-14	M	26883
Rest of Vic.	65-74	15-29	F	22054
Rest of Vic.	65-74	15-29	M	12973
Rest of Vic.	65-74	30+	F	20123
Rest of Vic.	65-74	30+	M	7801
Rest of Vic.	75-84		F	5731
Rest of Vic.	75-84		M	4925
Rest of Vic.	75-84	0	F	18679
Rest of Vic.	75-84	0	M	17900
Rest of Vic.	75-84	<5	F	4258
Rest of Vic.	75-84	<5	M	7298
Rest of Vic.	75-84	5-14	F	9570
Rest of Vic.	75-84	5-14	M	11529
Rest of Vic.	75-84	15-29	F	9137
Rest of Vic.	75-84	15-29	M	6231
Rest of Vic.	75-84	30+	F	9832
Rest of Vic.	75-84	30+	M	4551
Rest of Vic.	85+		F	4036
Rest of Vic.	85+		M	2353
Rest of Vic.	85+	0	F	13033
Rest of Vic.	85+	0	M	7679
Rest of Vic.	85+	<5	F	2396
Rest of Vic.	85+	<5	M	1950
Rest of Vic.	85+	5-14	F	3000
Rest of Vic.	85+	5-14	M	2261
Rest of Vic.	85+	15-29	F	1863
Rest of Vic.	85+	15-29	M	1261
Rest of Vic.	85+	30+	F	1584
Rest of Vic.	85+	30+	M	1012
No usual address (Qld)	15-19		F	61
No usual address (Qld)	15-19		M	71
No usual address (Qld)	15-19	0	F	97
No usual address (Qld)	15-19	0	M	104
No usual address (Qld)	15-19	<5	F	87
No usual address (Qld)	15-19	<5	M	80
No usual address (Qld)	15-19	5-14	F	33
No usual address (Qld)	15-19	5-14	M	11
No usual address (Qld)	15-19	15-29	F	7
No usual address (Qld)	15-19	15-29	M	4
No usual address (Qld)	15-19	30+	F	3
No usual address (Qld)	15-19	30+	M	3
No usual address (Qld)	20-24		F	127
No usual address (Qld)	20-24		M	152
No usual address (Qld)	20-24	0	F	131
No usual address (Qld)	20-24	0	M	149
No usual address (Qld)	20-24	<5	F	94
No usual address (Qld)	20-24	<5	M	83
No usual address (Qld)	20-24	5-14	F	96
No usual address (Qld)	20-24	5-14	M	39
No usual address (Qld)	20-24	15-29	F	20
No usual address (Qld)	20-24	15-29	M	10
No usual address (Qld)	20-24	30+	F	17
No usual address (Qld)	20-24	30+	M	3
No usual address (Qld)	25-34		F	370
No usual address (Qld)	25-34		M	406
No usual address (Qld)	25-34	0	F	314
No usual address (Qld)	25-34	0	M	390
No usual address (Qld)	25-34	<5	F	244
No usual address (Qld)	25-34	<5	M	244
No usual address (Qld)	25-34	5-14	F	228
No usual address (Qld)	25-34	5-14	M	174
No usual address (Qld)	25-34	15-29	F	89
No usual address (Qld)	25-34	15-29	M	43
No usual address (Qld)	25-34	30+	F	105
No usual address (Qld)	25-34	30+	M	41
No usual address (Qld)	35-44		F	271
No usual address (Qld)	35-44		M	461
No usual address (Qld)	35-44	0	F	119
No usual address (Qld)	35-44	0	M	283
No usual address (Qld)	35-44	<5	F	113
No usual address (Qld)	35-44	<5	M	180
No usual address (Qld)	35-44	5-14	F	193
No usual address (Qld)	35-44	5-14	M	172
No usual address (Qld)	35-44	15-29	F	86
No usual address (Qld)	35-44	15-29	M	55
