GCCSA_NAME21	Ancestry	responses
Greater Melbourne	Korean	19582
Greater Melbourne	Lebanese	47510
Greater Melbourne	Macedonian	46232
Greater Melbourne	Maltese	71119
Greater Melbourne	Maori	21685
Greater Melbourne	NZ	31908
Greater Melbourne	(Other)	915255
Greater Melbourne	Polish	52556
Greater Melbourne	Russian	24464
Greater Melbourne	Samoan	21702
Greater Melbourne	Scottish	349741
Greater Melbourne	Serbian	26934
Greater Melbourne	South African	22438
Greater Melbourne	Spanish	24780
Greater Melbourne	Sri Lankan	48411
Greater Melbourne	Vietnamese	117503
Greater Melbourne	Welsh	22987
Rest of Vic.		109594
Rest of Vic.	Australian	617533
Rest of Vic.	Australian Aboriginal	30226
Rest of Vic.	Chinese	17983
Rest of Vic.	Croatian	8928
Rest of Vic.	Dutch	35943
Rest of Vic.	English	640747
Rest of Vic.	Filipino	12655
Rest of Vic.	French	6677
Rest of Vic.	German	72101
Rest of Vic.	Greek	9621
Rest of Vic.	Hungarian	4250
Rest of Vic.	Indian	15969
Rest of Vic.	Irish	202681
Rest of Vic.	Italian	60815
Rest of Vic.	Korean	924
Rest of Vic.	Lebanese	1551
Rest of Vic.	Macedonian	3171
Rest of Vic.	Maltese	10371
Rest of Vic.	Maori	4129
Rest of Vic.	NZ	8254
Rest of Vic.	(Other)	98288
Rest of Vic.	Polish	9965
Rest of Vic.	Russian	2921
Rest of Vic.	Samoan	1363
Rest of Vic.	Scottish	184151
Rest of Vic.	Serbian	3178
Rest of Vic.	South African	3612
Rest of Vic.	Spanish	4061
Rest of Vic.	Sri Lankan	2347
Rest of Vic.	Vietnamese	3572
Rest of Vic.	Welsh	9010
No usual address (Qld)		3610
No usual address (Qld)	Australian	4192
No usual address (Qld)	Australian Aboriginal	785
No usual address (Qld)	Chinese	175
No usual address (Qld)	Croatian	31
No usual address (Qld)	Dutch	208
No usual address (Qld)	English	4534
No usual address (Qld)	Filipino	100
No usual address (Qld)	French	133
No usual address (Qld)	German	630
No usual address (Qld)	Greek	37
No usual address (Qld)	Hungarian	33
No usual address (Qld)	Indian	82
No usual address (Qld)	Irish	1284
No usual address (Qld)	Italian	332
No usual address (Qld)	Korean	31
No usual address (Qld)	Lebanese	28
No usual address (Qld)	Maltese	42
No usual address (Qld)	Maori	154
No usual address (Qld)	NZ	198
No usual address (Qld)	(Other)	1210
No usual address (Qld)	Polish	91
No usual address (Qld)	Russian	19
No usual address (Qld)	Samoan	27
No usual address (Qld)	Scottish	1233
No usual address (Qld)	Serbian	10
No usual address (Qld)	South African	47
No usual address (Qld)	Spanish	96
No usual address (Qld)	Sri Lankan	12
No usual address (Qld)	Vietnamese	28
No usual address (Qld)	Welsh	88
Migratory - Offshore - Shipping (Qld)		128
Migratory - Offshore - Shipping (Qld)	Australian	8
Migratory - Offshore - Shipping (Qld)	English	18
Migratory - Offshore - Shipping (Qld)	Filipino	16
Migratory - Offshore - Shipping (Qld)	(Other)	5
Migratory - Offshore - Shipping (Qld)	Scottish	4
Greater Brisbane		142660
Greater Brisbane	Australian	797108
Greater Brisbane	Australian Aboriginal	70633
Greater Brisbane	Chinese	117496
Greater Brisbane	Croatian	8865
Greater Brisbane	Dutch	41169
Greater Brisbane	English	920854
Greater Brisbane	Filipino	40940
Greater Brisbane	French	16765
Greater Brisbane	German	143863
Greater Brisbane	Greek	19998
Greater Brisbane	Hungarian	7715
Greater Brisbane	Indian	68571
Greater Brisbane	Irish	281104
Greater Brisbane	Italian	69300
Greater Brisbane	Korean	17272
Greater Brisbane	Lebanese	5899
Greater Brisbane	Macedonian	1993
Greater Brisbane	Maltese	8364
Greater Brisbane	Maori	38111
Greater Brisbane	NZ	35524
Greater Brisbane	(Other)	322357
Greater Brisbane	Polish	18500
Greater Brisbane	Russian	10223
Greater Brisbane	Samoan	29500
Greater Brisbane	Scottish	255100
Greater Brisbane	Serbian	6495
Greater Brisbane	South African	19425
Greater Brisbane	Spanish	13818
Greater Brisbane	Sri Lankan	6731
Greater Brisbane	Vietnamese	28535
Greater Brisbane	Welsh	17984
Rest of Qld		207772
Rest of Qld	Australian	923351
Rest of Qld	Australian Aboriginal	134505
Rest of Qld	Chinese	42402
Rest of Qld	Croatian	7877
Rest of Qld	Dutch	39461
Rest of Qld	English	1034481
Rest of Qld	Filipino	32770
Rest of Qld	French	16229
Rest of Qld	German	165246
Rest of Qld	Greek	12663
Rest of Qld	Hungarian	6703
Rest of Qld	Indian	24988
Rest of Qld	Irish	285535
Rest of Qld	Italian	82932
Rest of Qld	Korean	8086
Rest of Qld	Lebanese	3500
Rest of Qld	Macedonian	1342
Rest of Qld	Maltese	13713
Rest of Qld	Maori	26776
Rest of Qld	NZ	31527
Rest of Qld	(Other)	241489
Rest of Qld	Polish	14230
Rest of Qld	Russian	7339
Rest of Qld	Samoan	5703
Rest of Qld	Scottish	270676
Rest of Qld	Serbian	3622
Rest of Qld	South African	15746
Rest of Qld	Spanish	11789
Rest of Qld	Sri Lankan	2814
Rest of Qld	Vietnamese	5292
Rest of Qld	Welsh	16588
No usual address (SA)		801
No usual address (SA)	Australian	936
No usual address (SA)	Australian Aboriginal	251
No usual address (SA)	Chinese	66
No usual address (SA)	Croatian	6
No usual address (SA)	Dutch	48
No usual address (SA)	English	1119
No usual address (SA)	Filipino	9
No usual address (SA)	French	24
No usual address (SA)	German	200
No usual address (SA)	Greek	19
No usual address (SA)	Hungarian	13
No usual address (SA)	Indian	21
No usual address (SA)	Irish	226
No usual address (SA)	Italian	116
No usual address (SA)	Korean	3
No usual address (SA)	Lebanese	6
No usual address (SA)	Macedonian	8
No usual address (SA)	Maltese	10
No usual address (SA)	Maori	23
No usual address (SA)	NZ	24
No usual address (SA)	(Other)	232
No usual address (SA)	Polish	34
No usual address (SA)	Russian	10
No usual address (SA)	Scottish	249
No usual address (SA)	Serbian	3
No usual address (SA)	South African	6
No usual address (SA)	Spanish	13
No usual address (SA)	Vietnamese	6
No usual address (SA)	Welsh	15
Migratory - Offshore - Shipping (SA)		5
Migratory - Offshore - Shipping (SA)	(Other)	8
Greater Adelaide		58448
Greater Adelaide	Australian	419534
Greater Adelaide	Australian Aboriginal	22283
Greater Adelaide	Chinese	56788
Greater Adelaide	Croatian	8781
Greater Adelaide	Dutch	22963
Greater Adelaide	English	511163
Greater Adelaide	Filipino	17827
Greater Adelaide	French	6717
Greater Adelaide	German	93337
Greater Adelaide	Greek	37716
Greater Adelaide	Hungarian	5386
Greater Adelaide	Indian	41836
Greater Adelaide	Irish	105714
Greater Adelaide	Italian	95001
Greater Adelaide	Korean	4625
Greater Adelaide	Lebanese	5620
Greater Adelaide	Macedonian	1713
Greater Adelaide	Maltese	7082
Greater Adelaide	Maori	2745
Greater Adelaide	NZ	5358
Greater Adelaide	(Other)	177830
Greater Adelaide	Polish	18167
Greater Adelaide	Russian	6394
Greater Adelaide	Samoan	495
Greater Adelaide	Scottish	113162
Greater Adelaide	Serbian	6952
Greater Adelaide	South African	5354
Greater Adelaide	Spanish	4983
Greater Adelaide	Sri Lankan	3319
Greater Adelaide	Vietnamese	22337
Greater Adelaide	Welsh	10495
Rest of SA		28327
Rest of SA	Australian	158355
Rest of SA	Australian Aboriginal	16837
Rest of SA	Chinese	2062
Rest of SA	Croatian	1388
Rest of SA	Dutch	6585
Rest of SA	English	164273
Rest of SA	Filipino	3409
Rest of SA	French	1425
Rest of SA	German	41686
Rest of SA	Greek	2977
Rest of SA	Hungarian	730
Rest of SA	Indian	1731
Rest of SA	Irish	30084
Rest of SA	Italian	8793
Rest of SA	Korean	184
Rest of SA	Lebanese	307
Rest of SA	Macedonian	97
Rest of SA	Maltese	782
Rest of SA	Maori	1160
Rest of SA	NZ	1433
Rest of SA	(Other)	17455
Rest of SA	Polish	2215
Rest of SA	Russian	523
Rest of SA	Samoan	88
Rest of SA	Scottish	36036
Rest of SA	Serbian	363
Rest of SA	South African	919
Rest of SA	Spanish	802
Rest of SA	Sri Lankan	224
Rest of SA	Vietnamese	550
Rest of SA	Welsh	2297
No usual address (WA)		3489
No usual address (WA)	Australian	1742
No usual address (WA)	Australian Aboriginal	399
No usual address (WA)	Chinese	59
No usual address (WA)	Croatian	24
No usual address (WA)	Dutch	86
No usual address (WA)	English	1858
No usual address (WA)	Filipino	43
No usual address (WA)	French	49
No usual address (WA)	German	227
No usual address (WA)	Greek	18
No usual address (WA)	Hungarian	10
No usual address (WA)	Indian	23
No usual address (WA)	Irish	478
No usual address (WA)	Italian	171
No usual address (WA)	Korean	8
No usual address (WA)	Maltese	3
No usual address (WA)	Maori	57
No usual address (WA)	NZ	77
No usual address (WA)	(Other)	451
No usual address (WA)	Polish	34
No usual address (WA)	Russian	12
No usual address (WA)	Samoan	4
No usual address (WA)	Scottish	459
No usual address (WA)	South African	46
No usual address (WA)	Spanish	25
No usual address (WA)	Sri Lankan	9
No usual address (WA)	Vietnamese	14
No usual address (WA)	Welsh	29
Migratory - Offshore - Shipping (WA)		230
Migratory - Offshore - Shipping (WA)	Australian	83
Migratory - Offshore - Shipping (WA)	Australian Aboriginal	7
Migratory - Offshore - Shipping (WA)	Chinese	4
Migratory - Offshore - Shipping (WA)	Dutch	3
Migratory - Offshore - Shipping (WA)	English	114
Migratory - Offshore - Shipping (WA)	Filipino	16
Migratory - Offshore - Shipping (WA)	French	4
Migratory - Offshore - Shipping (WA)	German	18
Migratory - Offshore - Shipping (WA)	Irish	35
Migratory - Offshore - Shipping (WA)	Italian	15
Migratory - Offshore - Shipping (WA)	Maori	14
Migratory - Offshore - Shipping (WA)	NZ	7
Migratory - Offshore - Shipping (WA)	(Other)	48
Migratory - Offshore - Shipping (WA)	Polish	4
Migratory - Offshore - Shipping (WA)	Scottish	38
Greater Perth		116126
Greater Perth	Australian	593238
Greater Perth	Australian Aboriginal	39053
Greater Perth	Chinese	112293
Greater Perth	Croatian	21722
Greater Perth	Dutch	42455
Greater Perth	English	784943
Greater Perth	Filipino	38669
Greater Perth	French	14534
Greater Perth	German	60103
Greater Perth	Greek	14567
Greater Perth	Hungarian	4976
Greater Perth	Indian	73382
Greater Perth	Irish	186792
Greater Perth	Italian	116539
Greater Perth	Korean	8212
Greater Perth	Lebanese	3156
Greater Perth	Macedonian	10624
Greater Perth	Maltese	4549
Greater Perth	Maori	24220
Greater Perth	NZ	23343
Greater Perth	(Other)	314661
Greater Perth	Polish	19927
Greater Perth	Russian	6335
Greater Perth	Samoan	2824
Greater Perth	Scottish	183795
Greater Perth	Serbian	8108
Greater Perth	South African	28912
Greater Perth	Spanish	10866
Greater Perth	Sri Lankan	6702
Greater Perth	Vietnamese	22643
Greater Perth	Welsh	19877
Rest of WA		56529
Rest of WA	Australian	194219
Rest of WA	Australian Aboriginal	41668
Rest of WA	Chinese	4495
Rest of WA	Croatian	2364
Rest of WA	Dutch	10291
Rest of WA	English	213886
Rest of WA	Filipino	8064
Rest of WA	French	2705
Rest of WA	German	17984
Rest of WA	Greek	1519
Rest of WA	Hungarian	713
Rest of WA	Indian	3949
Rest of WA	Irish	46009
Rest of WA	Italian	20525
Rest of WA	Korean	510
Rest of WA	Lebanese	263
Rest of WA	Macedonian	697
Rest of WA	Maltese	692
Rest of WA	Maori	6766
Rest of WA	NZ	5993
Rest of WA	(Other)	34486
Rest of WA	Polish	3607
Rest of WA	Russian	873
Rest of WA	Samoan	518
Rest of WA	Scottish	48242
Rest of WA	Serbian	449
Rest of WA	South African	4358
Rest of WA	Spanish	1691
Rest of WA	Sri Lankan	411
Rest of WA	Vietnamese	1029
Rest of WA	Welsh	3901
No usual address (Tas.)		338
No usual address (Tas.)	Australian	449
No usual address (Tas.)	Australian Aboriginal	116
No usual address (Tas.)	Chinese	12
No usual address (Tas.)	Croatian	5
No usual address (Tas.)	Dutch	15
No usual address (Tas.)	English	442
No usual address (Tas.)	French	3
No usual address (Tas.)	German	52
No usual address (Tas.)	Indian	4
No usual address (Tas.)	Irish	100
No usual address (Tas.)	Italian	17
No usual address (Tas.)	Maori	5
No usual address (Tas.)	NZ	3
No usual address (Tas.)	(Other)	94
No usual address (Tas.)	Polish	15
No usual address (Tas.)	Scottish	87
No usual address (Tas.)	Welsh	10
Migratory - Offshore - Shipping (Tas.)		3
Migratory - Offshore - Shipping (Tas.)	Australian	4
Migratory - Offshore - Shipping (Tas.)	English	10
Greater Hobart		12289
Greater Hobart	Australian	92785
Greater Hobart	Australian Aboriginal	10052
Greater Hobart	Chinese	9088
Greater Hobart	Croatian	820
Greater Hobart	Dutch	4954
Greater Hobart	English	105132
Greater Hobart	Filipino	1614
Greater Hobart	French	1115
Greater Hobart	German	9115
Greater Hobart	Greek	1914
Greater Hobart	Hungarian	570
Greater Hobart	Indian	3845
Greater Hobart	Irish	26430
Greater Hobart	Italian	4598
Greater Hobart	Korean	680
Greater Hobart	Lebanese	271
Greater Hobart	Macedonian	75
Greater Hobart	Maltese	365
Greater Hobart	Maori	498
Greater Hobart	NZ	1197
Greater Hobart	(Other)	24467
Greater Hobart	Polish	2521
Greater Hobart	Russian	569
Greater Hobart	Samoan	83
Greater Hobart	Scottish	23232
Greater Hobart	Serbian	300
Greater Hobart	South African	767
Greater Hobart	Spanish	697
Greater Hobart	Sri Lankan	438
Greater Hobart	Vietnamese	1059
Greater Hobart	Welsh	1566
Rest of Tas.		18324
Rest of Tas.	Australian	131976
Rest of Tas.	Australian Aboriginal	16757
Rest of Tas.	Chinese	3234
Rest of Tas.	Croatian	471
Rest of Tas.	Dutch	6872
Rest of Tas.	English	138002
Rest of Tas.	Filipino	1777
Rest of Tas.	French	1160
Rest of Tas.	German	10718
Rest of Tas.	Greek	690
Rest of Tas.	Hungarian	548
Rest of Tas.	Indian	2007
Rest of Tas.	Irish	30085
Rest of Tas.	Italian	3833
Rest of Tas.	Korean	290
Rest of Tas.	Lebanese	175
Rest of Tas.	Macedonian	60
Rest of Tas.	Maltese	485
Rest of Tas.	Maori	764
Rest of Tas.	NZ	1449
Rest of Tas.	(Other)	18455
Rest of Tas.	Polish	1589
Rest of Tas.	Russian	459
Rest of Tas.	Samoan	130
Rest of Tas.	Scottish	29284
Rest of Tas.	Serbian	165
Rest of Tas.	South African	705
Rest of Tas.	Spanish	609
Rest of Tas.	Sri Lankan	296
Rest of Tas.	Vietnamese	436
Rest of Tas.	Welsh	1679
No usual address (NT)		1076
No usual address (NT)	Australian	635
No usual address (NT)	Australian Aboriginal	825
No usual address (NT)	Chinese	21
No usual address (NT)	Croatian	10
No usual address (NT)	Dutch	45
No usual address (NT)	English	672
No usual address (NT)	Filipino	7
No usual address (NT)	French	44
No usual address (NT)	German	101
No usual address (NT)	Greek	21
No usual address (NT)	Hungarian	7
No usual address (NT)	Indian	16
No usual address (NT)	Irish	209
No usual address (NT)	Italian	67
No usual address (NT)	Maori	3
No usual address (NT)	NZ	27
No usual address (NT)	(Other)	198
No usual address (NT)	Polish	8
No usual address (NT)	Russian	3
No usual address (NT)	Samoan	6
No usual address (NT)	Scottish	174
No usual address (NT)	South African	6
No usual address (NT)	Spanish	9
No usual address (NT)	Welsh	14
Migratory - Offshore - Shipping (NT)		21
Migratory - Offshore - Shipping (NT)	Australian	19
Migratory - Offshore - Shipping (NT)	Australian Aboriginal	4
Migratory - Offshore - Shipping (NT)	English	28
Migratory - Offshore - Shipping (NT)	Filipino	3
Migratory - Offshore - Shipping (NT)	Irish	13
Migratory - Offshore - Shipping (NT)	(Other)	11
Migratory - Offshore - Shipping (NT)	Scottish	9
Migratory - Offshore - Shipping (NT)	Sri Lankan	5
Greater Darwin		13766
Greater Darwin	Australian	40415
Greater Darwin	Australian Aboriginal	12486
Greater Darwin	Chinese	5961
Greater Darwin	Croatian	283
Greater Darwin	Dutch	1879
Greater Darwin	English	38734
Greater Darwin	Filipino	6865
Greater Darwin	French	763
Greater Darwin	German	5739
Greater Darwin	Greek	4027
Greater Darwin	Hungarian	253
Greater Darwin	Indian	3930
Greater Darwin	Irish	11932
Greater Darwin	Italian	3282
Greater Darwin	Korean	387
Greater Darwin	Lebanese	134
Greater Darwin	Macedonian	70
Greater Darwin	Maltese	348
Greater Darwin	Maori	1001
Greater Darwin	NZ	1044
Greater Darwin	(Other)	23507
Greater Darwin	Polish	719
Greater Darwin	Russian	292
Greater Darwin	Samoan	200
Greater Darwin	Scottish	10433
Greater Darwin	Serbian	115
Greater Darwin	South African	515
Greater Darwin	Spanish	694
Greater Darwin	Sri Lankan	612
Greater Darwin	Vietnamese	1457
Greater Darwin	Welsh	727
Rest of NT		8455
Rest of NT	Australian	14973
Rest of NT	Australian Aboriginal	43765
Rest of NT	Chinese	947
Rest of NT	Croatian	74
Rest of NT	Dutch	716
Rest of NT	English	14387
Rest of NT	Filipino	1367
Rest of NT	French	284
Rest of NT	German	2492
Rest of NT	Greek	211
Rest of NT	Hungarian	80
Rest of NT	Indian	1245
Rest of NT	Irish	4772
Rest of NT	Italian	1044
Rest of NT	Korean	113
Rest of NT	Lebanese	46
Rest of NT	Macedonian	14
Rest of NT	Maltese	81
Rest of NT	Maori	723
Rest of NT	NZ	454
Rest of NT	(Other)	6918
Rest of NT	Polish	252
Rest of NT	Russian	92
Rest of NT	Samoan	205
Rest of NT	Scottish	4026
Rest of NT	Serbian	31
Rest of NT	South African	213
Rest of NT	Spanish	188
Rest of NT	Sri Lankan	130
Rest of NT	Vietnamese	271
Rest of NT	Welsh	252
No usual address (ACT)		141
No usual address (ACT)	Australian	174
No usual address (ACT)	Australian Aboriginal	28
No usual address (ACT)	Chinese	19
No usual address (ACT)	Dutch	7
No usual address (ACT)	English	147
No usual address (ACT)	Filipino	7
No usual address (ACT)	French	5
No usual address (ACT)	German	33
No usual address (ACT)	Hungarian	3
No usual address (ACT)	Indian	17
No usual address (ACT)	Irish	54
No usual address (ACT)	Italian	12
No usual address (ACT)	(Other)	87
No usual address (ACT)	Scottish	47
No usual address (ACT)	Spanish	3
Australian Capital Territory		20699
Australian Capital Territory	Australian	143167
Australian Capital Territory	Australian Aboriginal	8595
Australian Capital Territory	Chinese	26031
Australian Capital Territory	Croatian	5617
Australian Capital Territory	Dutch	7810
Australian Capital Territory	English	145144
Australian Capital Territory	Filipino	7280
Australian Capital Territory	French	3108
Australian Capital Territory	German	19075
Australian Capital Territory	Greek	5526
Australian Capital Territory	Hungarian	2010
Australian Capital Territory	Indian	20369
Australian Capital Territory	Irish	52616
Australian Capital Territory	Italian	15212
Australian Capital Territory	Korean	3479
Australian Capital Territory	Lebanese	1619
Australian Capital Territory	Macedonian	1462
Australian Capital Territory	Maltese	1967
Australian Capital Territory	Maori	1391
Australian Capital Territory	NZ	2881
Australian Capital Territory	(Other)	76150
Australian Capital Territory	Polish	5038
Australian Capital Territory	Russian	2001
Australian Capital Territory	Samoan	1059
Australian Capital Territory	Scottish	45413
Australian Capital Territory	Serbian	2187
Australian Capital Territory	South African	1984
Australian Capital Territory	Spanish	3111
Australian Capital Territory	Sri Lankan	2333
Australian Capital Territory	Vietnamese	5950
Australian Capital Territory	Welsh	3628
No usual address (OT)		3
No usual address (OT)	Australian	4
No usual address (OT)	English	4
No usual address (OT)	Irish	3
No usual address (OT)	(Other)	5
No usual address (OT)	Scottish	4
Other Territories		902
Other Territories	Australian	1120
Other Territories	Australian Aboriginal	153
Other Territories	Chinese	395
Other Territories	Croatian	13
Other Territories	Dutch	48
Other Territories	English	905
Other Territories	Filipino	75
Other Territories	French	27
Other Territories	German	88
Other Territories	Hungarian	6
Other Territories	Indian	34
Other Territories	Irish	227
Other Territories	Italian	33
Other Territories	Korean	6
Other Territories	Lebanese	3
Other Territories	Maltese	9
Other Territories	Maori	53
Other Territories	NZ	151
Other Territories	(Other)	1581
Other Territories	Polish	9
Other Territories	Russian	7
Other Territories	Samoan	6
Other Territories	Scottish	265
Other Territories	Serbian	3
Other Territories	South African	16
Other Territories	Spanish	12
Other Territories	Vietnamese	3
Other Territories	Welsh	19
