GCCSA_NAME21	Age	MaxSchoolingCompleted	Sex	adults
Rest of Vic.	15-19	Year 10	F	2068
Rest of Vic.	15-19	Year 10	M	3965
Rest of Vic.	15-19	Year 11	F	1846
Rest of Vic.	15-19	Year 11	M	3325
Rest of Vic.	15-19	Year 12	F	9004
Rest of Vic.	15-19	Year 12	M	7666
Rest of Vic.	20-24		F	2467
Rest of Vic.	20-24		M	2848
Rest of Vic.	20-24	Did not go to school	F	126
Rest of Vic.	20-24	Did not go to school	M	170
Rest of Vic.	20-24	Year 8 or below	F	292
Rest of Vic.	20-24	Year 8 or below	M	480
Rest of Vic.	20-24	Year 9	F	637
Rest of Vic.	20-24	Year 9	M	1114
Rest of Vic.	20-24	Year 10	F	2912
Rest of Vic.	20-24	Year 10	M	4835
Rest of Vic.	20-24	Year 11	F	3318
Rest of Vic.	20-24	Year 11	M	5597
Rest of Vic.	20-24	Year 12	F	29532
Rest of Vic.	20-24	Year 12	M	26596
Rest of Vic.	25-34		F	5805
Rest of Vic.	25-34		M	6478
Rest of Vic.	25-34	Did not go to school	F	425
Rest of Vic.	25-34	Did not go to school	M	580
Rest of Vic.	25-34	Year 8 or below	F	948
Rest of Vic.	25-34	Year 8 or below	M	1584
Rest of Vic.	25-34	Year 9	F	2030
Rest of Vic.	25-34	Year 9	M	3522
Rest of Vic.	25-34	Year 10	F	8459
Rest of Vic.	25-34	Year 10	M	13839
Rest of Vic.	25-34	Year 11	F	7851
Rest of Vic.	25-34	Year 11	M	11397
Rest of Vic.	25-34	Year 12	F	67958
Rest of Vic.	25-34	Year 12	M	53989
Rest of Vic.	35-44		F	5904
Rest of Vic.	35-44		M	6186
Rest of Vic.	35-44	Did not go to school	F	501
Rest of Vic.	35-44	Did not go to school	M	573
Rest of Vic.	35-44	Year 8 or below	F	1105
Rest of Vic.	35-44	Year 8 or below	M	1881
Rest of Vic.	35-44	Year 9	F	2341
Rest of Vic.	35-44	Year 9	M	4170
Rest of Vic.	35-44	Year 10	F	9147
Rest of Vic.	35-44	Year 10	M	14718
Rest of Vic.	35-44	Year 11	F	7927
Rest of Vic.	35-44	Year 11	M	10738
Rest of Vic.	35-44	Year 12	F	67115
Rest of Vic.	35-44	Year 12	M	49474
Rest of Vic.	45-54		F	6019
Rest of Vic.	45-54		M	6835
Rest of Vic.	45-54	Did not go to school	F	602
Rest of Vic.	45-54	Did not go to school	M	675
Rest of Vic.	45-54	Year 8 or below	F	1612
Rest of Vic.	45-54	Year 8 or below	M	2277
Rest of Vic.	45-54	Year 9	F	4313
Rest of Vic.	45-54	Year 9	M	6168
Rest of Vic.	45-54	Year 10	F	14380
Rest of Vic.	45-54	Year 10	M	19540
Rest of Vic.	45-54	Year 11	F	17708
Rest of Vic.	45-54	Year 11	M	18962
Rest of Vic.	45-54	Year 12	F	56614
Rest of Vic.	45-54	Year 12	M	40562
Rest of Vic.	55-64		F	6866
Rest of Vic.	55-64		M	7505
Rest of Vic.	55-64	Did not go to school	F	588
Rest of Vic.	55-64	Did not go to school	M	653
Rest of Vic.	55-64	Year 8 or below	F	3299
Rest of Vic.	55-64	Year 8 or below	M	3963
Rest of Vic.	55-64	Year 9	F	8459
Rest of Vic.	55-64	Year 9	M	9708
Rest of Vic.	55-64	Year 10	F	22588
Rest of Vic.	55-64	Year 10	M	27354
Rest of Vic.	55-64	Year 11	F	26533
Rest of Vic.	55-64	Year 11	M	23984
Rest of Vic.	55-64	Year 12	F	43134
Rest of Vic.	55-64	Year 12	M	30737
Rest of Vic.	65-74		F	7843
Rest of Vic.	65-74		M	7936
Rest of Vic.	65-74	Did not go to school	F	554
Rest of Vic.	65-74	Did not go to school	M	535
Rest of Vic.	65-74	Year 8 or below	F	7423
Rest of Vic.	65-74	Year 8 or below	M	7709
Rest of Vic.	65-74	Year 9	F	11265
Rest of Vic.	65-74	Year 9	M	11480
Rest of Vic.	65-74	Year 10	F	24434
Rest of Vic.	65-74	Year 10	M	23203
Rest of Vic.	65-74	Year 11	F	18716
Rest of Vic.	65-74	Year 11	M	16245
Rest of Vic.	65-74	Year 12	F	31206
Rest of Vic.	65-74	Year 12	M	31295
Rest of Vic.	75-84		F	7237
Rest of Vic.	75-84		M	5999
Rest of Vic.	75-84	Did not go to school	F	536
Rest of Vic.	75-84	Did not go to school	M	472
Rest of Vic.	75-84	Year 8 or below	F	9655
Rest of Vic.	75-84	Year 8 or below	M	9311
Rest of Vic.	75-84	Year 9	F	7574
Rest of Vic.	75-84	Year 9	M	7916
Rest of Vic.	75-84	Year 10	F	13433
Rest of Vic.	75-84	Year 10	M	11181
Rest of Vic.	75-84	Year 11	F	7187
Rest of Vic.	75-84	Year 11	M	5001
Rest of Vic.	75-84	Year 12	F	11573
Rest of Vic.	75-84	Year 12	M	12527
Rest of Vic.	85+		F	5339
Rest of Vic.	85+		M	2943
Rest of Vic.	85+	Did not go to school	F	361
Rest of Vic.	85+	Did not go to school	M	235
Rest of Vic.	85+	Year 8 or below	F	6931
Rest of Vic.	85+	Year 8 or below	M	4598
Rest of Vic.	85+	Year 9	F	3368
Rest of Vic.	85+	Year 9	M	2119
Rest of Vic.	85+	Year 10	F	4339
Rest of Vic.	85+	Year 10	M	2585
Rest of Vic.	85+	Year 11	F	1849
Rest of Vic.	85+	Year 11	M	1101
Rest of Vic.	85+	Year 12	F	3707
Rest of Vic.	85+	Year 12	M	2921
No usual address (Qld)	15-19		F	57
No usual address (Qld)	15-19		M	73
No usual address (Qld)	15-19	Year 8 or below	F	8
No usual address (Qld)	15-19	Year 8 or below	M	4
No usual address (Qld)	15-19	Year 9	F	21
No usual address (Qld)	15-19	Year 9	M	23
No usual address (Qld)	15-19	Year 10	F	45
No usual address (Qld)	15-19	Year 10	M	38
No usual address (Qld)	15-19	Year 11	F	25
No usual address (Qld)	15-19	Year 11	M	25
No usual address (Qld)	15-19	Year 12	F	59
No usual address (Qld)	15-19	Year 12	M	46
No usual address (Qld)	20-24		F	130
No usual address (Qld)	20-24		M	152
No usual address (Qld)	20-24	Year 8 or below	F	9
No usual address (Qld)	20-24	Year 8 or below	M	7
No usual address (Qld)	20-24	Year 9	F	10
No usual address (Qld)	20-24	Year 9	M	23
No usual address (Qld)	20-24	Year 10	F	37
No usual address (Qld)	20-24	Year 10	M	51
No usual address (Qld)	20-24	Year 11	F	23
No usual address (Qld)	20-24	Year 11	M	27
No usual address (Qld)	20-24	Year 12	F	281
No usual address (Qld)	20-24	Year 12	M	181
No usual address (Qld)	25-34		F	362
No usual address (Qld)	25-34		M	398
No usual address (Qld)	25-34	Did not go to school	F	8
No usual address (Qld)	25-34	Did not go to school	M	7
No usual address (Qld)	25-34	Year 8 or below	F	9
No usual address (Qld)	25-34	Year 8 or below	M	23
No usual address (Qld)	25-34	Year 9	F	32
No usual address (Qld)	25-34	Year 9	M	48
No usual address (Qld)	25-34	Year 10	F	113
No usual address (Qld)	25-34	Year 10	M	168
No usual address (Qld)	25-34	Year 11	F	64
No usual address (Qld)	25-34	Year 11	M	71
No usual address (Qld)	25-34	Year 12	F	760
No usual address (Qld)	25-34	Year 12	M	576
No usual address (Qld)	35-44		F	265
No usual address (Qld)	35-44		M	461
No usual address (Qld)	35-44	Did not go to school	F	3
No usual address (Qld)	35-44	Did not go to school	M	5
No usual address (Qld)	35-44	Year 8 or below	F	16
No usual address (Qld)	35-44	Year 8 or below	M	22
No usual address (Qld)	35-44	Year 9	F	18
No usual address (Qld)	35-44	Year 9	M	46
No usual address (Qld)	35-44	Year 10	F	96
No usual address (Qld)	35-44	Year 10	M	183
No usual address (Qld)	35-44	Year 11	F	61
No usual address (Qld)	35-44	Year 11	M	80
No usual address (Qld)	35-44	Year 12	F	422
No usual address (Qld)	35-44	Year 12	M	382
No usual address (Qld)	45-54		F	225
No usual address (Qld)	45-54		M	407
No usual address (Qld)	45-54	Did not go to school	F	4
No usual address (Qld)	45-54	Did not go to school	M	5
No usual address (Qld)	45-54	Year 8 or below	F	5
No usual address (Qld)	45-54	Year 8 or below	M	23
No usual address (Qld)	45-54	Year 9	F	38
No usual address (Qld)	45-54	Year 9	M	54
No usual address (Qld)	45-54	Year 10	F	187
No usual address (Qld)	45-54	Year 10	M	207
No usual address (Qld)	45-54	Year 11	F	80
No usual address (Qld)	45-54	Year 11	M	81
No usual address (Qld)	45-54	Year 12	F	355
No usual address (Qld)	45-54	Year 12	M	272
No usual address (Qld)	55-64		F	197
No usual address (Qld)	55-64		M	316
No usual address (Qld)	55-64	Did not go to school	M	8
No usual address (Qld)	55-64	Year 8 or below	F	22
No usual address (Qld)	55-64	Year 8 or below	M	51
No usual address (Qld)	55-64	Year 9	F	75
No usual address (Qld)	55-64	Year 9	M	90
No usual address (Qld)	55-64	Year 10	F	365
No usual address (Qld)	55-64	Year 10	M	384
No usual address (Qld)	55-64	Year 11	F	144
No usual address (Qld)	55-64	Year 11	M	118
No usual address (Qld)	55-64	Year 12	F	363
No usual address (Qld)	55-64	Year 12	M	323
No usual address (Qld)	65-74		F	115
No usual address (Qld)	65-74		M	228
No usual address (Qld)	65-74	Did not go to school	F	7
No usual address (Qld)	65-74	Did not go to school	M	4
No usual address (Qld)	65-74	Year 8 or below	F	46
No usual address (Qld)	65-74	Year 8 or below	M	89
No usual address (Qld)	65-74	Year 9	F	76
No usual address (Qld)	65-74	Year 9	M	105
No usual address (Qld)	65-74	Year 10	F	336
No usual address (Qld)	65-74	Year 10	M	397
No usual address (Qld)	65-74	Year 11	F	83
No usual address (Qld)	65-74	Year 11	M	101
No usual address (Qld)	65-74	Year 12	F	205
No usual address (Qld)	65-74	Year 12	M	333
No usual address (Qld)	75-84		F	35
No usual address (Qld)	75-84		M	51
No usual address (Qld)	75-84	Year 8 or below	F	22
No usual address (Qld)	75-84	Year 8 or below	M	34
No usual address (Qld)	75-84	Year 9	F	15
No usual address (Qld)	75-84	Year 9	M	33
No usual address (Qld)	75-84	Year 10	F	52
No usual address (Qld)	75-84	Year 10	M	62
No usual address (Qld)	75-84	Year 11	F	4
No usual address (Qld)	75-84	Year 11	M	21
No usual address (Qld)	75-84	Year 12	F	35
No usual address (Qld)	75-84	Year 12	M	77
No usual address (Qld)	85+		F	3
No usual address (Qld)	85+		M	3
No usual address (Qld)	85+	Year 8 or below	M	4
No usual address (Qld)	85+	Year 9	M	3
No usual address (Qld)	85+	Year 10	F	4
No usual address (Qld)	85+	Year 12	F	6
No usual address (Qld)	85+	Year 12	M	3
Migratory - Offshore - Shipping (Qld)	20-24		F	4
Migratory - Offshore - Shipping (Qld)	20-24		M	9
Migratory - Offshore - Shipping (Qld)	20-24	Year 11	M	4
Migratory - Offshore - Shipping (Qld)	25-34		F	13
Migratory - Offshore - Shipping (Qld)	25-34		M	30
Migratory - Offshore - Shipping (Qld)	25-34	Year 10	M	4
Migratory - Offshore - Shipping (Qld)	25-34	Year 12	F	6
Migratory - Offshore - Shipping (Qld)	25-34	Year 12	M	3
Migratory - Offshore - Shipping (Qld)	35-44		F	5
Migratory - Offshore - Shipping (Qld)	35-44		M	40
Migratory - Offshore - Shipping (Qld)	35-44	Year 10	M	3
Migratory - Offshore - Shipping (Qld)	35-44	Year 12	M	12
Migratory - Offshore - Shipping (Qld)	45-54		M	31
Migratory - Offshore - Shipping (Qld)	45-54	Year 10	M	9
Migratory - Offshore - Shipping (Qld)	45-54	Year 12	M	11
Migratory - Offshore - Shipping (Qld)	55-64		M	3
Greater Brisbane	15-19		F	3110
Greater Brisbane	15-19		M	3254
Greater Brisbane	15-19	Did not go to school	F	50
Greater Brisbane	15-19	Did not go to school	M	79
Greater Brisbane	15-19	Year 8 or below	F	242
Greater Brisbane	15-19	Year 8 or below	M	425
Greater Brisbane	15-19	Year 9	F	796
Greater Brisbane	15-19	Year 9	M	1284
Greater Brisbane	15-19	Year 10	F	2813
Greater Brisbane	15-19	Year 10	M	4146
Greater Brisbane	15-19	Year 11	F	1876
Greater Brisbane	15-19	Year 11	M	2573
Greater Brisbane	15-19	Year 12	F	25253
Greater Brisbane	15-19	Year 12	M	24181
Greater Brisbane	20-24		F	4377
Greater Brisbane	20-24		M	4891
Greater Brisbane	20-24	Did not go to school	F	187
Greater Brisbane	20-24	Did not go to school	M	227
Greater Brisbane	20-24	Year 8 or below	F	250
Greater Brisbane	20-24	Year 8 or below	M	352
Greater Brisbane	20-24	Year 9	F	620
Greater Brisbane	20-24	Year 9	M	932
Greater Brisbane	20-24	Year 10	F	3757
Greater Brisbane	20-24	Year 10	M	5055
Greater Brisbane	20-24	Year 11	F	2906
Greater Brisbane	20-24	Year 11	M	3850
Greater Brisbane	20-24	Year 12	F	74532
Greater Brisbane	20-24	Year 12	M	72430
Greater Brisbane	25-34		F	10297
Greater Brisbane	25-34		M	11335
Greater Brisbane	25-34	Did not go to school	F	898
Greater Brisbane	25-34	Did not go to school	M	1061
Greater Brisbane	25-34	Year 8 or below	F	1086
Greater Brisbane	25-34	Year 8 or below	M	1396
Greater Brisbane	25-34	Year 9	F	2203
Greater Brisbane	25-34	Year 9	M	3043
Greater Brisbane	25-34	Year 10	F	13332
Greater Brisbane	25-34	Year 10	M	18342
Greater Brisbane	25-34	Year 11	F	8622
Greater Brisbane	25-34	Year 11	M	9947
Greater Brisbane	25-34	Year 12	F	153671
Greater Brisbane	25-34	Year 12	M	138595
Greater Brisbane	35-44		F	8294
Greater Brisbane	35-44		M	9489
Greater Brisbane	35-44	Did not go to school	F	1144
Greater Brisbane	35-44	Did not go to school	M	1025
Greater Brisbane	35-44	Year 8 or below	F	1584
Greater Brisbane	35-44	Year 8 or below	M	1897
Greater Brisbane	35-44	Year 9	F	2813
Greater Brisbane	35-44	Year 9	M	3839
Greater Brisbane	35-44	Year 10	F	14601
Greater Brisbane	35-44	Year 10	M	20114
Greater Brisbane	35-44	Year 11	F	8497
Greater Brisbane	35-44	Year 11	M	9943
Greater Brisbane	35-44	Year 12	F	147178
Greater Brisbane	35-44	Year 12	M	129741
Greater Brisbane	45-54		F	6767
Greater Brisbane	45-54		M	8192
Greater Brisbane	45-54	Did not go to school	F	1388
Greater Brisbane	45-54	Did not go to school	M	1105
Greater Brisbane	45-54	Year 8 or below	F	2341
Greater Brisbane	45-54	Year 8 or below	M	2579
Greater Brisbane	45-54	Year 9	F	4119
Greater Brisbane	45-54	Year 9	M	5127
Greater Brisbane	45-54	Year 10	F	27956
Greater Brisbane	45-54	Year 10	M	30612
Greater Brisbane	45-54	Year 11	F	11235
Greater Brisbane	45-54	Year 11	M	11539
Greater Brisbane	45-54	Year 12	F	114607
Greater Brisbane	45-54	Year 12	M	101299
Greater Brisbane	55-64		F	5872
Greater Brisbane	55-64		M	6597
Greater Brisbane	55-64	Did not go to school	F	1393
Greater Brisbane	55-64	Did not go to school	M	1177
Greater Brisbane	55-64	Year 8 or below	F	3465
Greater Brisbane	55-64	Year 8 or below	M	3751
Greater Brisbane	55-64	Year 9	F	5996
Greater Brisbane	55-64	Year 9	M	6670
Greater Brisbane	55-64	Year 10	F	44614
Greater Brisbane	55-64	Year 10	M	39949
Greater Brisbane	55-64	Year 11	F	10087
Greater Brisbane	55-64	Year 11	M	10360
Greater Brisbane	55-64	Year 12	F	69626
Greater Brisbane	55-64	Year 12	M	64083
Greater Brisbane	65-74		F	6061
Greater Brisbane	65-74		M	5762
Greater Brisbane	65-74	Did not go to school	F	1143
Greater Brisbane	65-74	Did not go to school	M	933
Greater Brisbane	65-74	Year 8 or below	F	8416
Greater Brisbane	65-74	Year 8 or below	M	7198
Greater Brisbane	65-74	Year 9	F	6870
Greater Brisbane	65-74	Year 9	M	6173
Greater Brisbane	65-74	Year 10	F	41832
Greater Brisbane	65-74	Year 10	M	31347
Greater Brisbane	65-74	Year 11	F	6252
Greater Brisbane	65-74	Year 11	M	5858
Greater Brisbane	65-74	Year 12	F	41450
Greater Brisbane	65-74	Year 12	M	44717
Greater Brisbane	75-84		F	5809
Greater Brisbane	75-84		M	4584
Greater Brisbane	75-84	Did not go to school	F	847
Greater Brisbane	75-84	Did not go to school	M	585
Greater Brisbane	75-84	Year 8 or below	F	11316
Greater Brisbane	75-84	Year 8 or below	M	9197
Greater Brisbane	75-84	Year 9	F	4423
Greater Brisbane	75-84	Year 9	M	3625
Greater Brisbane	75-84	Year 10	F	19834
Greater Brisbane	75-84	Year 10	M	14082
Greater Brisbane	75-84	Year 11	F	2803
Greater Brisbane	75-84	Year 11	M	2351
Greater Brisbane	75-84	Year 12	F	16992
Greater Brisbane	75-84	Year 12	M	19496
Greater Brisbane	85+		F	4995
Greater Brisbane	85+		M	2519
Greater Brisbane	85+	Did not go to school	F	590
Greater Brisbane	85+	Did not go to school	M	302
Greater Brisbane	85+	Year 8 or below	F	6746
Greater Brisbane	85+	Year 8 or below	M	3656
Greater Brisbane	85+	Year 9	F	1876
Greater Brisbane	85+	Year 9	M	1194
Greater Brisbane	85+	Year 10	F	6672
Greater Brisbane	85+	Year 10	M	3377
Greater Brisbane	85+	Year 11	F	763
Greater Brisbane	85+	Year 11	M	533
Greater Brisbane	85+	Year 12	F	5109
Greater Brisbane	85+	Year 12	M	4526
Rest of Qld	15-19		F	4681
Rest of Qld	15-19		M	5190
Rest of Qld	15-19	Did not go to school	F	78
Rest of Qld	15-19	Did not go to school	M	92
Rest of Qld	15-19	Year 8 or below	F	334
Rest of Qld	15-19	Year 8 or below	M	592
Rest of Qld	15-19	Year 9	F	1262
Rest of Qld	15-19	Year 9	M	1935
Rest of Qld	15-19	Year 10	F	4377
Rest of Qld	15-19	Year 10	M	6626
Rest of Qld	15-19	Year 11	F	2453
Rest of Qld	15-19	Year 11	M	3633
Rest of Qld	15-19	Year 12	F	20496
Rest of Qld	15-19	Year 12	M	19181
Rest of Qld	20-24		F	5762
Rest of Qld	20-24		M	7002
Rest of Qld	20-24	Did not go to school	F	165
Rest of Qld	20-24	Did not go to school	M	189
Rest of Qld	20-24	Year 8 or below	F	306
Rest of Qld	20-24	Year 8 or below	M	515
Rest of Qld	20-24	Year 9	F	860
Rest of Qld	20-24	Year 9	M	1243
Rest of Qld	20-24	Year 10	F	5021
Rest of Qld	20-24	Year 10	M	6914
Rest of Qld	20-24	Year 11	F	3473
Rest of Qld	20-24	Year 11	M	4767
Rest of Qld	20-24	Year 12	F	57929
Rest of Qld	20-24	Year 12	M	53834
Rest of Qld	25-34		F	13315
Rest of Qld	25-34		M	16276
Rest of Qld	25-34	Did not go to school	F	597
Rest of Qld	25-34	Did not go to school	M	661
Rest of Qld	25-34	Year 8 or below	F	909
Rest of Qld	25-34	Year 8 or below	M	1405
Rest of Qld	25-34	Year 9	F	2646
Rest of Qld	25-34	Year 9	M	3679
Rest of Qld	25-34	Year 10	F	16676
Rest of Qld	25-34	Year 10	M	23478
Rest of Qld	25-34	Year 11	F	9698
Rest of Qld	25-34	Year 11	M	11636
Rest of Qld	25-34	Year 12	F	122144
Rest of Qld	25-34	Year 12	M	101649
Rest of Qld	35-44		F	11576
Rest of Qld	35-44		M	14511
Rest of Qld	35-44	Did not go to school	F	670
Rest of Qld	35-44	Did not go to school	M	611
Rest of Qld	35-44	Year 8 or below	F	1383
Rest of Qld	35-44	Year 8 or below	M	2053
Rest of Qld	35-44	Year 9	F	3471
Rest of Qld	35-44	Year 9	M	5039
Rest of Qld	35-44	Year 10	F	20856
Rest of Qld	35-44	Year 10	M	27561
Rest of Qld	35-44	Year 11	F	11103
Rest of Qld	35-44	Year 11	M	12360
Rest of Qld	35-44	Year 12	F	119168
Rest of Qld	35-44	Year 12	M	94773
Rest of Qld	45-54		F	11409
Rest of Qld	45-54		M	15027
Rest of Qld	45-54	Did not go to school	F	708
Rest of Qld	45-54	Did not go to school	M	710
Rest of Qld	45-54	Year 8 or below	F	2125
Rest of Qld	45-54	Year 8 or below	M	3131
Rest of Qld	45-54	Year 9	F	5308
Rest of Qld	45-54	Year 9	M	7210
Rest of Qld	45-54	Year 10	F	38547
Rest of Qld	45-54	Year 10	M	43946
Rest of Qld	45-54	Year 11	F	15399
Rest of Qld	45-54	Year 11	M	15191
Rest of Qld	45-54	Year 12	F	102303
Rest of Qld	45-54	Year 12	M	81908
Rest of Qld	55-64		F	11202
Rest of Qld	55-64		M	13896
Rest of Qld	55-64	Did not go to school	F	759
Rest of Qld	55-64	Did not go to school	M	771
Rest of Qld	55-64	Year 8 or below	F	4156
Rest of Qld	55-64	Year 8 or below	M	5715
Rest of Qld	55-64	Year 9	F	9155
Rest of Qld	55-64	Year 9	M	10790
Rest of Qld	55-64	Year 10	F	64696
Rest of Qld	55-64	Year 10	M	62837
Rest of Qld	55-64	Year 11	F	16341
Rest of Qld	55-64	Year 11	M	15059
Rest of Qld	55-64	Year 12	F	67423
Rest of Qld	55-64	Year 12	M	56046
Rest of Qld	65-74		F	10470
Rest of Qld	65-74		M	11379
Rest of Qld	65-74	Did not go to school	F	769
Rest of Qld	65-74	Did not go to school	M	769
Rest of Qld	65-74	Year 8 or below	F	10349
Rest of Qld	65-74	Year 8 or below	M	11977
Rest of Qld	65-74	Year 9	F	10902
Rest of Qld	65-74	Year 9	M	11215
Rest of Qld	65-74	Year 10	F	58639
Rest of Qld	65-74	Year 10	M	49380
Rest of Qld	65-74	Year 11	F	10153
Rest of Qld	65-74	Year 11	M	9460
Rest of Qld	65-74	Year 12	F	43696
Rest of Qld	65-74	Year 12	M	47843
Rest of Qld	75-84		F	9462
Rest of Qld	75-84		M	8181
Rest of Qld	75-84	Did not go to school	F	613
Rest of Qld	75-84	Did not go to school	M	628
Rest of Qld	75-84	Year 8 or below	F	14431
Rest of Qld	75-84	Year 8 or below	M	14612
Rest of Qld	75-84	Year 9	F	6824
Rest of Qld	75-84	Year 9	M	6376
Rest of Qld	75-84	Year 10	F	26552
Rest of Qld	75-84	Year 10	M	20908
Rest of Qld	75-84	Year 11	F	4425
Rest of Qld	75-84	Year 11	M	3936
Rest of Qld	75-84	Year 12	F	19338
Rest of Qld	75-84	Year 12	M	22139
Rest of Qld	85+		F	6502
Rest of Qld	85+		M	3752
Rest of Qld	85+	Did not go to school	F	400
Rest of Qld	85+	Did not go to school	M	315
Rest of Qld	85+	Year 8 or below	F	8408
Rest of Qld	85+	Year 8 or below	M	5670
Rest of Qld	85+	Year 9	F	2768
Rest of Qld	85+	Year 9	M	1828
Rest of Qld	85+	Year 10	F	7837
Rest of Qld	85+	Year 10	M	4521
Rest of Qld	85+	Year 11	F	1116
Rest of Qld	85+	Year 11	M	843
Rest of Qld	85+	Year 12	F	5278
Rest of Qld	85+	Year 12	M	4942
No usual address (SA)	15-19		F	18
No usual address (SA)	15-19		M	14
No usual address (SA)	15-19	Year 8 or below	F	6
No usual address (SA)	15-19	Year 8 or below	M	6
No usual address (SA)	15-19	Year 9	F	4
No usual address (SA)	15-19	Year 10	F	7
No usual address (SA)	15-19	Year 10	M	3
No usual address (SA)	15-19	Year 11	F	12
No usual address (SA)	15-19	Year 11	M	13
No usual address (SA)	15-19	Year 12	F	10
No usual address (SA)	15-19	Year 12	M	10
No usual address (SA)	20-24		F	16
No usual address (SA)	20-24		M	17
No usual address (SA)	20-24	Year 8 or below	M	7
No usual address (SA)	20-24	Year 9	M	7
No usual address (SA)	20-24	Year 10	F	15
No usual address (SA)	20-24	Year 10	M	14
No usual address (SA)	20-24	Year 11	F	15
No usual address (SA)	20-24	Year 11	M	23
No usual address (SA)	20-24	Year 12	F	45
No usual address (SA)	20-24	Year 12	M	35
No usual address (SA)	25-34		F	75
No usual address (SA)	25-34		M	94
No usual address (SA)	25-34	Year 8 or below	F	8
No usual address (SA)	25-34	Year 8 or below	M	4
No usual address (SA)	25-34	Year 9	F	11
No usual address (SA)	25-34	Year 9	M	17
No usual address (SA)	25-34	Year 10	F	35
No usual address (SA)	25-34	Year 10	M	41
No usual address (SA)	25-34	Year 11	F	45
No usual address (SA)	25-34	Year 11	M	48
No usual address (SA)	25-34	Year 12	F	126
No usual address (SA)	25-34	Year 12	M	117
No usual address (SA)	35-44		F	90
No usual address (SA)	35-44		M	91
No usual address (SA)	35-44	Year 8 or below	F	5
No usual address (SA)	35-44	Year 8 or below	M	15
No usual address (SA)	35-44	Year 9	F	11
No usual address (SA)	35-44	Year 9	M	14
No usual address (SA)	35-44	Year 10	F	32
No usual address (SA)	35-44	Year 10	M	55
No usual address (SA)	35-44	Year 11	F	39
No usual address (SA)	35-44	Year 11	M	31
No usual address (SA)	35-44	Year 12	F	71
No usual address (SA)	35-44	Year 12	M	73
No usual address (SA)	45-54		F	43
No usual address (SA)	45-54		M	97
No usual address (SA)	45-54	Did not go to school	M	3
No usual address (SA)	45-54	Year 8 or below	F	5
No usual address (SA)	45-54	Year 8 or below	M	12
No usual address (SA)	45-54	Year 9	F	10
No usual address (SA)	45-54	Year 9	M	13
No usual address (SA)	45-54	Year 10	F	33
No usual address (SA)	45-54	Year 10	M	47
No usual address (SA)	45-54	Year 11	F	26
No usual address (SA)	45-54	Year 11	M	57
No usual address (SA)	45-54	Year 12	F	58
No usual address (SA)	45-54	Year 12	M	69
No usual address (SA)	55-64		F	31
No usual address (SA)	55-64		M	105
No usual address (SA)	55-64	Did not go to school	F	3
No usual address (SA)	55-64	Did not go to school	M	3
No usual address (SA)	55-64	Year 8 or below	M	6
No usual address (SA)	55-64	Year 9	F	17
No usual address (SA)	55-64	Year 9	M	19
No usual address (SA)	55-64	Year 10	F	53
No usual address (SA)	55-64	Year 10	M	59
No usual address (SA)	55-64	Year 11	F	47
No usual address (SA)	55-64	Year 11	M	53
No usual address (SA)	55-64	Year 12	F	51
No usual address (SA)	55-64	Year 12	M	63
No usual address (SA)	65-74		F	18
No usual address (SA)	65-74		M	48
No usual address (SA)	65-74	Did not go to school	M	3
No usual address (SA)	65-74	Year 8 or below	F	7
No usual address (SA)	65-74	Year 8 or below	M	18
No usual address (SA)	65-74	Year 9	F	9
No usual address (SA)	65-74	Year 9	M	14
No usual address (SA)	65-74	Year 10	F	42
No usual address (SA)	65-74	Year 10	M	46
No usual address (SA)	65-74	Year 11	F	27
No usual address (SA)	65-74	Year 11	M	44
No usual address (SA)	65-74	Year 12	F	35
No usual address (SA)	65-74	Year 12	M	47
No usual address (SA)	75-84		F	6
No usual address (SA)	75-84		M	5
No usual address (SA)	75-84	Year 8 or below	F	4
No usual address (SA)	75-84	Year 8 or below	M	3
No usual address (SA)	75-84	Year 9	M	8
No usual address (SA)	75-84	Year 10	F	11
No usual address (SA)	75-84	Year 10	M	15
No usual address (SA)	75-84	Year 11	F	4
No usual address (SA)	75-84	Year 11	M	6
No usual address (SA)	75-84	Year 12	F	3
No usual address (SA)	75-84	Year 12	M	6
No usual address (SA)	85+		F	3
No usual address (SA)	85+	Did not go to school	M	6
No usual address (SA)	85+	Year 10	F	3
No usual address (SA)	85+	Year 10	M	6
Migratory - Offshore - Shipping (SA)	45-54		M	7
Migratory - Offshore - Shipping (SA)	45-54	Year 12	M	8
Greater Adelaide	15-19		F	1206
Greater Adelaide	15-19		M	1272
Greater Adelaide	15-19	Did not go to school	F	21
Greater Adelaide	15-19	Did not go to school	M	39
Greater Adelaide	15-19	Year 8 or below	F	103
Greater Adelaide	15-19	Year 8 or below	M	195
Greater Adelaide	15-19	Year 9	F	251
Greater Adelaide	15-19	Year 9	M	400
Greater Adelaide	15-19	Year 10	F	883
Greater Adelaide	15-19	Year 10	M	1428
Greater Adelaide	15-19	Year 11	F	1296
Greater Adelaide	15-19	Year 11	M	2107
Greater Adelaide	15-19	Year 12	F	11378
Greater Adelaide	15-19	Year 12	M	10652
Greater Adelaide	20-24		F	1638
Greater Adelaide	20-24		M	1920
Greater Adelaide	20-24	Did not go to school	F	92
Greater Adelaide	20-24	Did not go to school	M	161
Greater Adelaide	20-24	Year 8 or below	F	137
Greater Adelaide	20-24	Year 8 or below	M	257
