GCCSA_NAME21	Age	persons
Greater Perth	45-54	274565
Greater Perth	55-64	240188
Greater Perth	65-74	189951
Greater Perth	75-84	103099
Greater Perth	85+	40831
Rest of WA	0-4	31859
Rest of WA	5-14	71916
Rest of WA	15-19	29670
Rest of WA	20-24	25595
Rest of WA	25-34	66822
Rest of WA	35-44	70860
Rest of WA	45-54	72266
Rest of WA	55-64	72050
Rest of WA	65-74	56655
Rest of WA	75-84	27867
Rest of WA	85+	9237
No usual address (Tas.)	0-4	42
No usual address (Tas.)	5-14	92
No usual address (Tas.)	15-19	95
No usual address (Tas.)	20-24	119
No usual address (Tas.)	25-34	228
No usual address (Tas.)	35-44	198
No usual address (Tas.)	45-54	203
No usual address (Tas.)	55-64	199
No usual address (Tas.)	65-74	163
No usual address (Tas.)	75-84	31
No usual address (Tas.)	85+	3
Migratory - Offshore - Shipping (Tas.)	25-34	4
Migratory - Offshore - Shipping (Tas.)	35-44	4
Migratory - Offshore - Shipping (Tas.)	45-54	7
Greater Hobart	0-4	12856
Greater Hobart	5-14	28727
Greater Hobart	15-19	13323
Greater Hobart	20-24	14817
Greater Hobart	25-34	39761
Greater Hobart	35-44	31656
Greater Hobart	45-54	29653
Greater Hobart	55-64	29934
Greater Hobart	65-74	26145
Greater Hobart	75-84	14594
Greater Hobart	85+	5631
Rest of Tas.	0-4	15385
Rest of Tas.	5-14	35543
Rest of Tas.	15-19	16655
Rest of Tas.	20-24	16081
Rest of Tas.	25-34	36669
Rest of Tas.	35-44	34094
Rest of Tas.	45-54	39338
Rest of Tas.	55-64	45251
Rest of Tas.	65-74	40695
Rest of Tas.	75-84	22020
Rest of Tas.	85+	7361
No usual address (NT)	0-4	164
No usual address (NT)	5-14	285
No usual address (NT)	15-19	95
No usual address (NT)	20-24	183
No usual address (NT)	25-34	661
No usual address (NT)	35-44	573
No usual address (NT)	45-54	591
No usual address (NT)	55-64	579
No usual address (NT)	65-74	318
No usual address (NT)	75-84	49
No usual address (NT)	85+	7
Migratory - Offshore - Shipping (NT)	15-19	4
Migratory - Offshore - Shipping (NT)	20-24	6
Migratory - Offshore - Shipping (NT)	25-34	23
Migratory - Offshore - Shipping (NT)	35-44	22
Migratory - Offshore - Shipping (NT)	45-54	19
Migratory - Offshore - Shipping (NT)	55-64	17
Greater Darwin	0-4	9555
Greater Darwin	5-14	18738
Greater Darwin	15-19	7651
Greater Darwin	20-24	9046
Greater Darwin	25-34	25950
Greater Darwin	35-44	22108
Greater Darwin	45-54	18400
Greater Darwin	55-64	14637
Greater Darwin	65-74	9374
Greater Darwin	75-84	3608
Greater Darwin	85+	833
Rest of NT	0-4	6503
Rest of NT	5-14	13655
Rest of NT	15-19	6424
Rest of NT	20-24	6550
Rest of NT	25-34	16263
Rest of NT	35-44	13120
Rest of NT	45-54	10954
Rest of NT	55-64	8995
Rest of NT	65-74	4809
Rest of NT	75-84	1499
Rest of NT	85+	326
No usual address (ACT)	0-4	19
No usual address (ACT)	5-14	25
No usual address (ACT)	15-19	58
No usual address (ACT)	20-24	82
No usual address (ACT)	25-34	108
No usual address (ACT)	35-44	104
No usual address (ACT)	45-54	77
No usual address (ACT)	55-64	78
No usual address (ACT)	65-74	34
No usual address (ACT)	75-84	10
No usual address (ACT)	85+	4
Australian Capital Territory	0-4	26660
Australian Capital Territory	5-14	56236
Australian Capital Territory	15-19	26286
Australian Capital Territory	20-24	34174
Australian Capital Territory	25-34	77634
Australian Capital Territory	35-44	69285
Australian Capital Territory	45-54	56126
Australian Capital Territory	55-64	45328
Australian Capital Territory	65-74	35639
Australian Capital Territory	75-84	19340
Australian Capital Territory	85+	7180
No usual address (OT)	25-34	4
No usual address (OT)	55-64	3
Other Territories	0-4	243
Other Territories	5-14	587
Other Territories	15-19	189
Other Territories	20-24	218
Other Territories	25-34	577
Other Territories	35-44	638
Other Territories	45-54	665
Other Territories	55-64	765
Other Territories	65-74	587
Other Territories	75-84	257
Other Territories	85+	62
