GCCSA_NAME21	Age.min	Sex	persons
Greater Sydney	21	F	32685
Greater Sydney	21	M	35372
Greater Sydney	22	F	33027
Greater Sydney	22	M	35242
Greater Sydney	23	F	34316
Greater Sydney	23	M	35849
Greater Sydney	24	F	36004
Greater Sydney	24	M	37146
Greater Sydney	25	F	37040
Greater Sydney	25	M	38225
Greater Sydney	26	F	38583
Greater Sydney	26	M	39329
Greater Sydney	27	F	39385
Greater Sydney	27	M	39496
Greater Sydney	28	F	40164
Greater Sydney	28	M	40073
Greater Sydney	29	F	41333
Greater Sydney	29	M	39910
Greater Sydney	30	F	42781
Greater Sydney	30	M	41108
Greater Sydney	31	F	42963
Greater Sydney	31	M	41406
Greater Sydney	32	F	42795
Greater Sydney	32	M	41307
Greater Sydney	33	F	42594
Greater Sydney	33	M	40226
Greater Sydney	34	F	42552
Greater Sydney	34	M	40056
Greater Sydney	35	F	42273
Greater Sydney	35	M	40850
Greater Sydney	36	F	42201
Greater Sydney	36	M	40876
Greater Sydney	37	F	42072
Greater Sydney	37	M	40989
Greater Sydney	38	F	42259
Greater Sydney	38	M	41156
Greater Sydney	39	F	40694
Greater Sydney	39	M	40040
Greater Sydney	40	F	39254
Greater Sydney	40	M	39534
Greater Sydney	41	F	37152
Greater Sydney	41	M	37365
Greater Sydney	42	F	36587
Greater Sydney	42	M	36044
Greater Sydney	43	F	35155
Greater Sydney	43	M	34587
Greater Sydney	44	F	34603
Greater Sydney	44	M	34060
Greater Sydney	45	F	34375
Greater Sydney	45	M	33575
Greater Sydney	46	F	34380
Greater Sydney	46	M	33536
Greater Sydney	47	F	34765
Greater Sydney	47	M	33637
Greater Sydney	48	F	35319
Greater Sydney	48	M	34043
Greater Sydney	49	F	36303
Greater Sydney	49	M	34778
Greater Sydney	50	F	36885
Greater Sydney	50	M	34672
Greater Sydney	51	F	33474
Greater Sydney	51	M	31951
Greater Sydney	52	F	33058
Greater Sydney	52	M	31306
Greater Sydney	53	F	31642
Greater Sydney	53	M	29984
Greater Sydney	54	F	30183
Greater Sydney	54	M	29296
Greater Sydney	55	F	29926
Greater Sydney	55	M	29536
Greater Sydney	56	F	30569
Greater Sydney	56	M	29590
Greater Sydney	57	F	31292
Greater Sydney	57	M	30039
Greater Sydney	58	F	31665
Greater Sydney	58	M	30498
Greater Sydney	59	F	30555
Greater Sydney	59	M	29814
Greater Sydney	60	F	30440
Greater Sydney	60	M	28793
Greater Sydney	61	F	29129
Greater Sydney	61	M	27251
Greater Sydney	62	F	27773
Greater Sydney	62	M	26369
Greater Sydney	63	F	28104
Greater Sydney	63	M	25925
Greater Sydney	64	F	27041
Greater Sydney	64	M	24859
Greater Sydney	65	F	26289
Greater Sydney	65	M	23989
Greater Sydney	66	F	25718
Greater Sydney	66	M	23085
Greater Sydney	67	F	24539
Greater Sydney	67	M	22332
Greater Sydney	68	F	23982
Greater Sydney	68	M	21569
Greater Sydney	69	F	22811
Greater Sydney	69	M	20267
Greater Sydney	70	F	22330
Greater Sydney	70	M	20185
Greater Sydney	71	F	21964
Greater Sydney	71	M	19936
Greater Sydney	72	F	20887
Greater Sydney	72	M	18922
Greater Sydney	73	F	20959
Greater Sydney	73	M	19238
Greater Sydney	74	F	21116
Greater Sydney	74	M	19346
Greater Sydney	75	F	18056
Greater Sydney	75	M	16277
Greater Sydney	76	F	16746
Greater Sydney	76	M	14883
Greater Sydney	77	F	15714
Greater Sydney	77	M	14384
Greater Sydney	78	F	13979
Greater Sydney	78	M	12275
Greater Sydney	79	F	13313
Greater Sydney	79	M	11700
Greater Sydney	80	F	56208
Greater Sydney	80	M	45992
Greater Sydney	85	F	36678
Greater Sydney	90	M	11665
Greater Sydney	95	F	6611
Greater Sydney	95	M	2735
Greater Sydney	100	F	942
Greater Sydney	100	M	251
Rest of NSW	0	F	14721
Rest of NSW	0	M	15346
Rest of NSW	1	F	14993
Rest of NSW	1	M	15919
Rest of NSW	2	F	14881
Rest of NSW	2	M	16057
Rest of NSW	3	F	15282
Rest of NSW	3	M	16037
Rest of NSW	4	F	15695
Rest of NSW	4	M	16307
Rest of NSW	5	F	16250
Rest of NSW	5	M	17354
Rest of NSW	6	F	16254
Rest of NSW	6	M	17081
Rest of NSW	7	F	16518
Rest of NSW	7	M	17476
Rest of NSW	8	F	16817
Rest of NSW	8	M	18126
Rest of NSW	9	F	17255
Rest of NSW	9	M	18174
Rest of NSW	10	F	17026
Rest of NSW	10	M	18046
Rest of NSW	11	F	17700
Rest of NSW	11	M	18340
Rest of NSW	12	F	17425
Rest of NSW	12	M	18456
Rest of NSW	13	F	17569
Rest of NSW	13	M	18346
Rest of NSW	14	F	17459
Rest of NSW	14	M	18631
Rest of NSW	15	F	16868
Rest of NSW	15	M	17759
Rest of NSW	16	F	16191
Rest of NSW	16	M	17270
Rest of NSW	17	F	15701
Rest of NSW	17	M	16664
Rest of NSW	18	F	15232
Rest of NSW	18	M	16247
Rest of NSW	19	F	14943
Rest of NSW	19	M	15717
Rest of NSW	20	F	14705
Rest of NSW	20	M	15848
Rest of NSW	21	F	14956
Rest of NSW	21	M	15578
Rest of NSW	22	F	14985
Rest of NSW	22	M	15510
Rest of NSW	23	F	14813
Rest of NSW	23	M	15335
Rest of NSW	24	F	14929
Rest of NSW	24	M	15640
Rest of NSW	25	F	15270
Rest of NSW	25	M	15516
Rest of NSW	26	F	15992
Rest of NSW	26	M	16025
Rest of NSW	27	F	16158
Rest of NSW	27	M	16133
Rest of NSW	28	F	16550
Rest of NSW	28	M	16248
Rest of NSW	29	F	16822
Rest of NSW	29	M	16608
Rest of NSW	30	F	17350
Rest of NSW	30	M	16439
Rest of NSW	31	F	17439
Rest of NSW	31	M	16745
Rest of NSW	32	F	17106
Rest of NSW	32	M	16103
Rest of NSW	33	F	16892
Rest of NSW	33	M	15976
Rest of NSW	34	F	17053
Rest of NSW	34	M	16114
Rest of NSW	35	F	17032
Rest of NSW	35	M	16368
Rest of NSW	36	F	17131
Rest of NSW	36	M	16364
Rest of NSW	37	F	17122
Rest of NSW	37	M	15914
Rest of NSW	38	F	17064
Rest of NSW	38	M	16172
Rest of NSW	39	F	16624
Rest of NSW	39	M	16048
Rest of NSW	40	F	16871
Rest of NSW	40	M	15802
Rest of NSW	41	F	15991
Rest of NSW	41	M	15415
Rest of NSW	42	F	16015
Rest of NSW	42	M	15199
Rest of NSW	43	F	16068
Rest of NSW	43	M	15048
Rest of NSW	44	F	16075
Rest of NSW	44	M	15256
Rest of NSW	45	F	16276
Rest of NSW	45	M	15567
Rest of NSW	46	F	16541
Rest of NSW	46	M	15933
Rest of NSW	47	F	17474
Rest of NSW	47	M	16577
Rest of NSW	48	F	18216
Rest of NSW	48	M	17102
Rest of NSW	49	F	19339
Rest of NSW	49	M	18311
Rest of NSW	50	F	19573
Rest of NSW	50	M	18690
Rest of NSW	51	F	18004
Rest of NSW	51	M	17098
Rest of NSW	52	F	18194
Rest of NSW	52	M	17167
Rest of NSW	53	F	17389
Rest of NSW	53	M	16284
Rest of NSW	54	F	17734
Rest of NSW	54	M	16650
Rest of NSW	55	F	17582
Rest of NSW	55	M	16633
Rest of NSW	56	F	18019
Rest of NSW	56	M	17099
Rest of NSW	57	F	19181
Rest of NSW	57	M	18369
Rest of NSW	58	F	20155
Rest of NSW	58	M	18856
Rest of NSW	59	F	20498
Rest of NSW	59	M	19426
Rest of NSW	60	F	20603
Rest of NSW	60	M	19483
Rest of NSW	61	F	20187
Rest of NSW	61	M	19041
Rest of NSW	62	F	20272
Rest of NSW	62	M	19002
Rest of NSW	63	F	19922
Rest of NSW	63	M	18683
Rest of NSW	64	F	19483
Rest of NSW	64	M	18463
Rest of NSW	65	F	18917
Rest of NSW	65	M	18328
Rest of NSW	66	F	18863
Rest of NSW	66	M	17918
Rest of NSW	67	F	18442
Rest of NSW	67	M	17498
Rest of NSW	68	F	18431
Rest of NSW	68	M	17888
Rest of NSW	69	F	17782
Rest of NSW	69	M	17203
Rest of NSW	70	F	17464
Rest of NSW	70	M	17105
Rest of NSW	71	F	17007
Rest of NSW	71	M	16522
Rest of NSW	72	F	16435
Rest of NSW	72	M	16179
Rest of NSW	73	F	16116
Rest of NSW	73	M	16083
Rest of NSW	74	F	17236
Rest of NSW	74	M	16779
Rest of NSW	75	F	13714
Rest of NSW	75	M	13448
Rest of NSW	76	F	13544
Rest of NSW	76	M	12886
Rest of NSW	77	F	12848
Rest of NSW	77	M	11863
Rest of NSW	78	F	11299
Rest of NSW	78	M	10290
Rest of NSW	79	F	10772
Rest of NSW	79	M	9945
Rest of NSW	80	F	43907
Rest of NSW	80	M	37216
Rest of NSW	85	F	27874
Rest of NSW	90	M	8430
Rest of NSW	95	F	4415
Rest of NSW	95	M	1712
Rest of NSW	100	F	580
Rest of NSW	100	M	141
No usual address (Vic.)	0	F	47
No usual address (Vic.)	0	M	43
No usual address (Vic.)	1	F	36
No usual address (Vic.)	1	M	45
No usual address (Vic.)	2	F	50
No usual address (Vic.)	2	M	49
No usual address (Vic.)	3	F	23
No usual address (Vic.)	3	M	52
No usual address (Vic.)	4	F	35
No usual address (Vic.)	4	M	38
No usual address (Vic.)	5	F	36
No usual address (Vic.)	5	M	39
No usual address (Vic.)	6	F	43
No usual address (Vic.)	6	M	28
No usual address (Vic.)	7	F	26
No usual address (Vic.)	7	M	47
No usual address (Vic.)	8	F	40
No usual address (Vic.)	8	M	52
No usual address (Vic.)	9	F	40
No usual address (Vic.)	9	M	38
No usual address (Vic.)	10	F	35
No usual address (Vic.)	10	M	30
No usual address (Vic.)	11	F	37
No usual address (Vic.)	11	M	37
No usual address (Vic.)	12	F	35
No usual address (Vic.)	12	M	31
No usual address (Vic.)	13	F	37
No usual address (Vic.)	13	M	25
No usual address (Vic.)	14	F	33
No usual address (Vic.)	14	M	27
No usual address (Vic.)	15	F	24
No usual address (Vic.)	15	M	36
No usual address (Vic.)	16	F	38
No usual address (Vic.)	16	M	32
No usual address (Vic.)	17	F	48
No usual address (Vic.)	17	M	36
No usual address (Vic.)	18	F	54
No usual address (Vic.)	18	M	54
No usual address (Vic.)	19	F	69
No usual address (Vic.)	19	M	73
No usual address (Vic.)	20	F	67
No usual address (Vic.)	20	M	65
No usual address (Vic.)	21	F	71
No usual address (Vic.)	21	M	65
No usual address (Vic.)	22	F	60
No usual address (Vic.)	22	M	74
No usual address (Vic.)	23	F	65
No usual address (Vic.)	23	M	63
No usual address (Vic.)	24	F	58
No usual address (Vic.)	24	M	77
No usual address (Vic.)	25	F	75
No usual address (Vic.)	25	M	107
No usual address (Vic.)	26	F	86
No usual address (Vic.)	26	M	84
No usual address (Vic.)	27	F	89
No usual address (Vic.)	27	M	106
No usual address (Vic.)	28	F	86
No usual address (Vic.)	28	M	96
No usual address (Vic.)	29	F	114
No usual address (Vic.)	29	M	83
No usual address (Vic.)	30	F	109
No usual address (Vic.)	30	M	131
No usual address (Vic.)	31	F	83
No usual address (Vic.)	31	M	98
No usual address (Vic.)	32	F	62
No usual address (Vic.)	32	M	81
No usual address (Vic.)	33	F	97
No usual address (Vic.)	33	M	88
No usual address (Vic.)	34	F	74
No usual address (Vic.)	34	M	61
No usual address (Vic.)	35	F	87
No usual address (Vic.)	35	M	159
No usual address (Vic.)	36	F	92
No usual address (Vic.)	36	M	81
No usual address (Vic.)	37	F	83
No usual address (Vic.)	37	M	106
No usual address (Vic.)	38	F	65
No usual address (Vic.)	38	M	85
No usual address (Vic.)	39	F	74
No usual address (Vic.)	39	M	83
No usual address (Vic.)	40	F	81
No usual address (Vic.)	40	M	142
No usual address (Vic.)	41	F	84
No usual address (Vic.)	41	M	97
No usual address (Vic.)	42	F	62
No usual address (Vic.)	42	M	89
No usual address (Vic.)	43	F	52
No usual address (Vic.)	43	M	69
No usual address (Vic.)	44	F	44
No usual address (Vic.)	44	M	88
No usual address (Vic.)	45	F	61
No usual address (Vic.)	45	M	140
No usual address (Vic.)	46	F	32
No usual address (Vic.)	46	M	78
No usual address (Vic.)	47	F	42
No usual address (Vic.)	47	M	87
No usual address (Vic.)	48	F	44
No usual address (Vic.)	48	M	99
No usual address (Vic.)	49	F	59
No usual address (Vic.)	49	M	87
No usual address (Vic.)	50	F	50
No usual address (Vic.)	50	M	134
No usual address (Vic.)	51	F	49
No usual address (Vic.)	51	M	87
No usual address (Vic.)	52	F	62
No usual address (Vic.)	52	M	68
No usual address (Vic.)	53	F	52
No usual address (Vic.)	53	M	60
No usual address (Vic.)	54	F	32
No usual address (Vic.)	54	M	69
No usual address (Vic.)	55	F	44
No usual address (Vic.)	55	M	100
No usual address (Vic.)	56	F	43
No usual address (Vic.)	56	M	56
No usual address (Vic.)	57	F	42
No usual address (Vic.)	57	M	56
No usual address (Vic.)	58	F	46
No usual address (Vic.)	58	M	59
No usual address (Vic.)	59	F	41
No usual address (Vic.)	59	M	82
No usual address (Vic.)	60	F	49
No usual address (Vic.)	60	M	75
No usual address (Vic.)	61	F	47
No usual address (Vic.)	61	M	51
No usual address (Vic.)	62	F	46
No usual address (Vic.)	62	M	61
No usual address (Vic.)	63	F	39
No usual address (Vic.)	63	M	56
No usual address (Vic.)	64	F	41
No usual address (Vic.)	64	M	48
No usual address (Vic.)	65	F	33
No usual address (Vic.)	65	M	71
No usual address (Vic.)	66	F	35
No usual address (Vic.)	66	M	52
No usual address (Vic.)	67	F	36
No usual address (Vic.)	67	M	46
No usual address (Vic.)	68	F	21
No usual address (Vic.)	68	M	64
No usual address (Vic.)	69	F	20
No usual address (Vic.)	69	M	37
No usual address (Vic.)	70	F	16
No usual address (Vic.)	70	M	35
No usual address (Vic.)	71	F	19
No usual address (Vic.)	71	M	17
No usual address (Vic.)	72	F	9
No usual address (Vic.)	72	M	25
No usual address (Vic.)	73	F	13
No usual address (Vic.)	73	M	16
No usual address (Vic.)	74	F	14
No usual address (Vic.)	74	M	25
No usual address (Vic.)	75	F	14
No usual address (Vic.)	75	M	31
No usual address (Vic.)	76	F	15
No usual address (Vic.)	76	M	15
No usual address (Vic.)	77	F	8
No usual address (Vic.)	77	M	8
No usual address (Vic.)	78	F	8
No usual address (Vic.)	78	M	12
No usual address (Vic.)	79	M	12
No usual address (Vic.)	80	F	14
No usual address (Vic.)	80	M	20
No usual address (Vic.)	85	F	14
No usual address (Vic.)	90	M	5
No usual address (Vic.)	95	F	3
Migratory - Offshore - Shipping (Vic.)	31	M	6
Migratory - Offshore - Shipping (Vic.)	38	M	3
Migratory - Offshore - Shipping (Vic.)	40	M	5
Migratory - Offshore - Shipping (Vic.)	42	M	3
Migratory - Offshore - Shipping (Vic.)	50	M	3
Migratory - Offshore - Shipping (Vic.)	56	F	6
Migratory - Offshore - Shipping (Vic.)	56	M	5
Migratory - Offshore - Shipping (Vic.)	62	M	3
Migratory - Offshore - Shipping (Vic.)	64	M	3
Migratory - Offshore - Shipping (Vic.)	66	M	5
Greater Melbourne	0	F	27632
Greater Melbourne	0	M	28850
Greater Melbourne	1	F	28007
Greater Melbourne	1	M	29651
Greater Melbourne	2	F	28188
Greater Melbourne	2	M	29672
Greater Melbourne	3	F	28413
Greater Melbourne	3	M	30112
Greater Melbourne	4	F	29147
Greater Melbourne	4	M	30972
Greater Melbourne	5	F	30060
Greater Melbourne	5	M	31879
Greater Melbourne	6	F	29851
Greater Melbourne	6	M	31425
Greater Melbourne	7	F	29620
Greater Melbourne	7	M	31699
Greater Melbourne	8	F	30306
Greater Melbourne	8	M	31909
Greater Melbourne	9	F	29713
Greater Melbourne	9	M	31062
Greater Melbourne	10	F	28702
Greater Melbourne	10	M	30302
Greater Melbourne	11	F	29394
Greater Melbourne	11	M	30538
Greater Melbourne	12	F	28243
Greater Melbourne	12	M	29971
Greater Melbourne	13	F	28396
Greater Melbourne	13	M	30019
Greater Melbourne	14	F	28055
Greater Melbourne	14	M	29804
Greater Melbourne	15	F	27250
Greater Melbourne	15	M	28782
Greater Melbourne	16	F	26317
Greater Melbourne	16	M	28086
Greater Melbourne	17	F	26176
Greater Melbourne	17	M	27774
Greater Melbourne	18	F	26513
Greater Melbourne	18	M	27861
Greater Melbourne	19	F	27582
Greater Melbourne	19	M	28364
Greater Melbourne	20	F	29654
Greater Melbourne	20	M	31277
Greater Melbourne	21	F	31711
Greater Melbourne	21	M	33067
Greater Melbourne	22	F	31701
Greater Melbourne	22	M	33345
Greater Melbourne	23	F	32591
Greater Melbourne	23	M	34267
Greater Melbourne	24	F	34424
Greater Melbourne	24	M	36504
Greater Melbourne	25	F	35747
Greater Melbourne	25	M	38230
Greater Melbourne	26	F	37287
Greater Melbourne	26	M	39149
Greater Melbourne	27	F	37927
Greater Melbourne	27	M	38997
Greater Melbourne	28	F	39128
Greater Melbourne	28	M	38635
Greater Melbourne	29	F	39832
Greater Melbourne	29	M	38197
Greater Melbourne	30	F	41319
Greater Melbourne	30	M	39297
Greater Melbourne	31	F	42195
Greater Melbourne	31	M	39571
Greater Melbourne	32	F	41798
Greater Melbourne	32	M	39251
Greater Melbourne	33	F	41793
Greater Melbourne	33	M	39524
Greater Melbourne	34	F	41056
Greater Melbourne	34	M	39731
Greater Melbourne	35	F	41430
Greater Melbourne	35	M	39442
Greater Melbourne	36	F	41311
Greater Melbourne	36	M	39443
Greater Melbourne	37	F	39922
Greater Melbourne	37	M	38915
Greater Melbourne	38	F	39883
Greater Melbourne	38	M	39076
Greater Melbourne	39	F	38424
Greater Melbourne	39	M	37948
Greater Melbourne	40	F	36838
Greater Melbourne	40	M	36778
Greater Melbourne	41	F	34932
Greater Melbourne	41	M	34802
Greater Melbourne	42	F	33890
Greater Melbourne	42	M	33593
Greater Melbourne	43	F	32578
Greater Melbourne	43	M	32271
Greater Melbourne	44	F	31994
Greater Melbourne	44	M	31618
Greater Melbourne	45	F	31623
Greater Melbourne	45	M	31254
Greater Melbourne	46	F	32330
Greater Melbourne	46	M	31183
Greater Melbourne	47	F	32831
Greater Melbourne	47	M	30941
Greater Melbourne	48	F	32740
Greater Melbourne	48	M	31213
Greater Melbourne	49	F	34290
Greater Melbourne	49	M	31951
Greater Melbourne	50	F	35199
Greater Melbourne	50	M	32302
Greater Melbourne	51	F	32405
Greater Melbourne	51	M	30728
Greater Melbourne	52	F	31952
Greater Melbourne	52	M	30108
Greater Melbourne	53	F	30393
Greater Melbourne	53	M	29058
Greater Melbourne	54	F	28993
Greater Melbourne	54	M	27613
Greater Melbourne	55	F	28707
Greater Melbourne	55	M	27309
Greater Melbourne	56	F	28463
Greater Melbourne	56	M	27071
Greater Melbourne	57	F	28842
Greater Melbourne	57	M	27101
Greater Melbourne	58	F	28562
Greater Melbourne	58	M	27468
Greater Melbourne	59	F	27855
Greater Melbourne	59	M	26595
Greater Melbourne	60	F	27671
Greater Melbourne	60	M	26148
Greater Melbourne	61	F	26904
Greater Melbourne	61	M	24756
Greater Melbourne	62	F	26051
Greater Melbourne	62	M	24357
Greater Melbourne	63	F	25357
Greater Melbourne	63	M	23278
Greater Melbourne	64	F	24953
Greater Melbourne	64	M	22537
Greater Melbourne	65	F	24259
Greater Melbourne	65	M	22309
Greater Melbourne	66	F	23488
Greater Melbourne	66	M	21193
Greater Melbourne	67	F	22468
Greater Melbourne	67	M	19857
Greater Melbourne	68	F	21982
Greater Melbourne	68	M	19588
Greater Melbourne	69	F	21263
Greater Melbourne	69	M	18790
Greater Melbourne	70	F	21167
Greater Melbourne	70	M	18331
Greater Melbourne	71	F	20428
Greater Melbourne	71	M	17760
Greater Melbourne	72	F	19624
Greater Melbourne	72	M	17140
Greater Melbourne	73	F	19739
Greater Melbourne	73	M	17271
Greater Melbourne	74	F	20413
Greater Melbourne	74	M	17951
Greater Melbourne	75	F	16695
Greater Melbourne	75	M	14978
Greater Melbourne	76	F	15683
Greater Melbourne	76	M	13723
Greater Melbourne	77	F	14945
Greater Melbourne	77	M	12865
Greater Melbourne	78	F	13253
Greater Melbourne	78	M	11231
Greater Melbourne	79	F	12962
Greater Melbourne	79	M	11137
Greater Melbourne	80	F	54062
Greater Melbourne	80	M	43462
Greater Melbourne	85	F	35577
Greater Melbourne	90	M	11013
Greater Melbourne	95	F	5816
Greater Melbourne	95	M	2540
Greater Melbourne	100	F	816
Greater Melbourne	100	M	225
Rest of Vic.	0	F	8168
Rest of Vic.	0	M	8336
Rest of Vic.	1	F	8038
Rest of Vic.	1	M	8510
Rest of Vic.	2	F	8420
Rest of Vic.	2	M	8494
Rest of Vic.	3	F	8368
Rest of Vic.	3	M	8996
Rest of Vic.	4	F	8645
Rest of Vic.	4	M	8858
Rest of Vic.	5	F	9006
Rest of Vic.	5	M	9578
Rest of Vic.	6	F	9028
Rest of Vic.	6	M	9510
Rest of Vic.	7	F	9280
Rest of Vic.	7	M	9620
Rest of Vic.	8	F	9128
Rest of Vic.	8	M	9865
Rest of Vic.	9	F	9251
Rest of Vic.	9	M	9987
Rest of Vic.	10	F	9159
Rest of Vic.	10	M	9793
Rest of Vic.	11	F	9450
Rest of Vic.	11	M	9925
Rest of Vic.	12	F	9461
Rest of Vic.	12	M	10177
Rest of Vic.	13	F	9353
Rest of Vic.	13	M	10118
Rest of Vic.	14	F	9757
Rest of Vic.	14	M	10444
Rest of Vic.	15	F	9295
Rest of Vic.	15	M	9740
Rest of Vic.	16	F	8610
