GCCSA_NAME21	Age5yr	Indigenous	Sex	persons
Rest of NSW	65+	0	M	274602
Rest of NSW	65+	1	F	6586
Rest of NSW	65+	1	M	5922
No usual address (Vic.)	0-4		F	15
No usual address (Vic.)	0-4		M	26
No usual address (Vic.)	0-4	0	F	153
No usual address (Vic.)	0-4	0	M	178
No usual address (Vic.)	0-4	1	F	25
No usual address (Vic.)	0-4	1	M	19
No usual address (Vic.)	5-9		F	22
No usual address (Vic.)	5-9		M	26
No usual address (Vic.)	5-9	0	F	144
No usual address (Vic.)	5-9	0	M	174
No usual address (Vic.)	5-9	1	F	14
No usual address (Vic.)	5-9	1	M	6
No usual address (Vic.)	10-14		F	20
No usual address (Vic.)	10-14		M	24
No usual address (Vic.)	10-14	0	F	139
No usual address (Vic.)	10-14	0	M	125
No usual address (Vic.)	10-14	1	F	14
No usual address (Vic.)	10-14	1	M	7
No usual address (Vic.)	15-19		F	31
No usual address (Vic.)	15-19		M	23
No usual address (Vic.)	15-19	0	F	188
No usual address (Vic.)	15-19	0	M	194
No usual address (Vic.)	15-19	1	F	14
No usual address (Vic.)	15-19	1	M	18
No usual address (Vic.)	20-24		F	28
No usual address (Vic.)	20-24		M	35
No usual address (Vic.)	20-24	0	F	278
No usual address (Vic.)	20-24	0	M	282
No usual address (Vic.)	20-24	1	F	20
No usual address (Vic.)	20-24	1	M	27
No usual address (Vic.)	25-29		F	52
No usual address (Vic.)	25-29		M	74
No usual address (Vic.)	25-29	0	F	381
No usual address (Vic.)	25-29	0	M	379
No usual address (Vic.)	25-29	1	F	22
No usual address (Vic.)	25-29	1	M	23
No usual address (Vic.)	30-34		F	51
No usual address (Vic.)	30-34		M	81
No usual address (Vic.)	30-34	0	F	351
No usual address (Vic.)	30-34	0	M	358
No usual address (Vic.)	30-34	1	F	21
No usual address (Vic.)	30-34	1	M	18
No usual address (Vic.)	35-39		F	59
No usual address (Vic.)	35-39		M	118
No usual address (Vic.)	35-39	0	F	328
No usual address (Vic.)	35-39	0	M	382
No usual address (Vic.)	35-39	1	F	22
No usual address (Vic.)	35-39	1	M	23
No usual address (Vic.)	40-44		F	45
No usual address (Vic.)	40-44		M	119
No usual address (Vic.)	40-44	0	F	253
No usual address (Vic.)	40-44	0	M	339
No usual address (Vic.)	40-44	1	F	20
No usual address (Vic.)	40-44	1	M	23
No usual address (Vic.)	45-49		F	40
No usual address (Vic.)	45-49		M	114
No usual address (Vic.)	45-49	0	F	183
No usual address (Vic.)	45-49	0	M	354
No usual address (Vic.)	45-49	1	F	20
No usual address (Vic.)	45-49	1	M	22
No usual address (Vic.)	50-54		F	47
No usual address (Vic.)	50-54		M	129
No usual address (Vic.)	50-54	0	F	183
No usual address (Vic.)	50-54	0	M	275
No usual address (Vic.)	50-54	1	F	5
No usual address (Vic.)	50-54	1	M	23
No usual address (Vic.)	55-59		F	26
No usual address (Vic.)	55-59		M	87
No usual address (Vic.)	55-59	0	F	179
No usual address (Vic.)	55-59	0	M	243
No usual address (Vic.)	55-59	1	F	9
No usual address (Vic.)	55-59	1	M	12
No usual address (Vic.)	60-64		F	31
No usual address (Vic.)	60-64		M	76
No usual address (Vic.)	60-64	0	F	189
No usual address (Vic.)	60-64	0	M	212
No usual address (Vic.)	60-64	1	F	4
No usual address (Vic.)	60-64	1	M	9
No usual address (Vic.)	65+		F	54
No usual address (Vic.)	65+		M	102
No usual address (Vic.)	65+	0	F	238
No usual address (Vic.)	65+	0	M	387
No usual address (Vic.)	65+	1	F	9
No usual address (Vic.)	65+	1	M	11
Migratory - Offshore - Shipping (Vic.)	35-39		M	4
Migratory - Offshore - Shipping (Vic.)	40-44		M	7
Migratory - Offshore - Shipping (Vic.)	40-44	0	M	3
Migratory - Offshore - Shipping (Vic.)	50-54		M	3
Migratory - Offshore - Shipping (Vic.)	55-59		F	3
Migratory - Offshore - Shipping (Vic.)	55-59		M	3
Migratory - Offshore - Shipping (Vic.)	60-64		M	4
Migratory - Offshore - Shipping (Vic.)	60-64	0	M	4
Greater Melbourne	0-4		F	5185
Greater Melbourne	0-4		M	5382
Greater Melbourne	0-4	0	F	134577
Greater Melbourne	0-4	0	M	142143
Greater Melbourne	0-4	1	F	1633
Greater Melbourne	0-4	1	M	1728
Greater Melbourne	5-9		F	5909
Greater Melbourne	5-9		M	6169
Greater Melbourne	5-9	0	F	142081
Greater Melbourne	5-9	0	M	150194
Greater Melbourne	5-9	1	F	1557
Greater Melbourne	5-9	1	M	1611
Greater Melbourne	10-14		F	5523
Greater Melbourne	10-14		M	5840
Greater Melbourne	10-14	0	F	135691
Greater Melbourne	10-14	0	M	143204
Greater Melbourne	10-14	1	F	1563
Greater Melbourne	10-14	1	M	1592
Greater Melbourne	15-19		F	4910
Greater Melbourne	15-19		M	5290
Greater Melbourne	15-19	0	F	127507
Greater Melbourne	15-19	0	M	134055
