GCCSA_NAME21	Age5yr	ChildrenEverBorn	females
No usual address (Vic.)	25-29	0	218
No usual address (Vic.)	25-29	1	29
No usual address (Vic.)	25-29	2	41
No usual address (Vic.)	25-29	3	13
No usual address (Vic.)	25-29	4	10
No usual address (Vic.)	25-29	6	4
No usual address (Vic.)	30-34		162
No usual address (Vic.)	30-34	0	145
No usual address (Vic.)	30-34	1	41
No usual address (Vic.)	30-34	2	33
No usual address (Vic.)	30-34	3	27
No usual address (Vic.)	30-34	4	8
No usual address (Vic.)	30-34	5	9
No usual address (Vic.)	30-34	6	7
No usual address (Vic.)	35-39		182
No usual address (Vic.)	35-39	0	86
No usual address (Vic.)	35-39	1	39
No usual address (Vic.)	35-39	2	41
No usual address (Vic.)	35-39	3	28
No usual address (Vic.)	35-39	4	17
No usual address (Vic.)	35-39	5	4
No usual address (Vic.)	35-39	6	10
No usual address (Vic.)	40-44		162
No usual address (Vic.)	40-44	0	53
No usual address (Vic.)	40-44	1	23
No usual address (Vic.)	40-44	2	34
No usual address (Vic.)	40-44	3	23
No usual address (Vic.)	40-44	4	10
No usual address (Vic.)	40-44	5	4
No usual address (Vic.)	40-44	6	7
No usual address (Vic.)	45-49		106
No usual address (Vic.)	45-49	0	41
No usual address (Vic.)	45-49	1	26
No usual address (Vic.)	45-49	2	33
No usual address (Vic.)	45-49	3	12
No usual address (Vic.)	45-49	4	13
No usual address (Vic.)	45-49	6	5
No usual address (Vic.)	50-54		88
No usual address (Vic.)	50-54	0	53
No usual address (Vic.)	50-54	1	19
No usual address (Vic.)	50-54	2	41
No usual address (Vic.)	50-54	3	24
No usual address (Vic.)	50-54	4	13
No usual address (Vic.)	50-54	5	6
No usual address (Vic.)	50-54	6	5
No usual address (Vic.)	55-59		63
No usual address (Vic.)	55-59	0	30
No usual address (Vic.)	55-59	1	17
No usual address (Vic.)	55-59	2	45
No usual address (Vic.)	55-59	3	41
No usual address (Vic.)	55-59	4	8
No usual address (Vic.)	60-64		56
No usual address (Vic.)	60-64	0	31
No usual address (Vic.)	60-64	1	24
No usual address (Vic.)	60-64	2	55
No usual address (Vic.)	60-64	3	38
No usual address (Vic.)	60-64	4	14
No usual address (Vic.)	60-64	5	4
No usual address (Vic.)	65-69		51
No usual address (Vic.)	65-69	0	20
No usual address (Vic.)	65-69	1	13
No usual address (Vic.)	65-69	2	27
No usual address (Vic.)	65-69	3	16
No usual address (Vic.)	65-69	4	5
No usual address (Vic.)	65-69	5	5
No usual address (Vic.)	70-74		23
No usual address (Vic.)	70-74	0	9
No usual address (Vic.)	70-74	1	5
No usual address (Vic.)	70-74	2	29
No usual address (Vic.)	70-74	3	14
No usual address (Vic.)	70-74	4	4
No usual address (Vic.)	75-79		16
No usual address (Vic.)	75-79	0	5
No usual address (Vic.)	75-79	1	3
No usual address (Vic.)	75-79	2	9
No usual address (Vic.)	75-79	3	11
No usual address (Vic.)	75-79	4	3
No usual address (Vic.)	80-84	2	4
No usual address (Vic.)	80-84	3	6
No usual address (Vic.)	85+		5
No usual address (Vic.)	85+	3	4
No usual address (Vic.)	85+	4	3
No usual address (Vic.)	85+	5	5
Migratory - Offshore - Shipping (Vic.)	55-59		3
Greater Melbourne	15-19		10608
Greater Melbourne	15-19	0	122839
Greater Melbourne	15-19	1	331
Greater Melbourne	15-19	2	34
Greater Melbourne	15-19	3	4
Greater Melbourne	15-19	5	4
Greater Melbourne	15-19	6	18
Greater Melbourne	20-24		12371
Greater Melbourne	20-24	0	141617
Greater Melbourne	20-24	1	4321
Greater Melbourne	20-24	2	1453
Greater Melbourne	20-24	3	250
Greater Melbourne	20-24	4	39
Greater Melbourne	20-24	5	9
Greater Melbourne	20-24	6	27
Greater Melbourne	25-29		14109
Greater Melbourne	25-29	0	143463
Greater Melbourne	25-29	1	18858
Greater Melbourne	25-29	2	9639
Greater Melbourne	25-29	3	2876
Greater Melbourne	25-29	4	708
Greater Melbourne	25-29	5	175
Greater Melbourne	25-29	6	94
Greater Melbourne	30-34		12114
Greater Melbourne	30-34	0	101463
Greater Melbourne	30-34	1	44954
Greater Melbourne	30-34	2	35938
Greater Melbourne	30-34	3	9945
Greater Melbourne	30-34	4	2622
Greater Melbourne	30-34	5	754
Greater Melbourne	30-34	6	392
Greater Melbourne	35-39		10110
Greater Melbourne	35-39	0	53606
Greater Melbourne	35-39	1	41465
Greater Melbourne	35-39	2	66989
Greater Melbourne	35-39	3	20799
Greater Melbourne	35-39	4	5433
Greater Melbourne	35-39	5	1546
Greater Melbourne	35-39	6	1025
Greater Melbourne	40-44		7698
Greater Melbourne	40-44	0	32792
Greater Melbourne	40-44	1	28486
Greater Melbourne	40-44	2	65904
Greater Melbourne	40-44	3	25031
Greater Melbourne	40-44	4	6782
Greater Melbourne	40-44	5	2053
Greater Melbourne	40-44	6	1488
Greater Melbourne	45-49		7149
Greater Melbourne	45-49	0	28502
Greater Melbourne	45-49	1	25551
Greater Melbourne	45-49	2	62969
Greater Melbourne	45-49	3	27538
Greater Melbourne	45-49	4	7851
Greater Melbourne	45-49	5	2439
Greater Melbourne	45-49	6	1816
Greater Melbourne	50-54		6706
Greater Melbourne	50-54	0	25711
Greater Melbourne	50-54	1	23252
Greater Melbourne	50-54	2	62069
Greater Melbourne	50-54	3	28690
Greater Melbourne	50-54	4	8388
Greater Melbourne	50-54	5	2388
Greater Melbourne	50-54	6	1732
Greater Melbourne	55-59		5958
Greater Melbourne	55-59	0	21287
Greater Melbourne	55-59	1	20223
Greater Melbourne	55-59	2	54506
Greater Melbourne	55-59	3	27935
Greater Melbourne	55-59	4	8606
Greater Melbourne	55-59	5	2314
Greater Melbourne	55-59	6	1593
Greater Melbourne	60-64		5543
Greater Melbourne	60-64	0	17559
Greater Melbourne	60-64	1	17739
Greater Melbourne	60-64	2	49075
Greater Melbourne	60-64	3	27647
Greater Melbourne	60-64	4	9264
Greater Melbourne	60-64	5	2467
Greater Melbourne	60-64	6	1640
Greater Melbourne	65-69		5361
Greater Melbourne	65-69	0	13407
Greater Melbourne	65-69	1	14780
Greater Melbourne	65-69	2	42251
Greater Melbourne	65-69	3	24903
Greater Melbourne	65-69	4	8752
Greater Melbourne	65-69	5	2444
Greater Melbourne	65-69	6	1562
Greater Melbourne	70-74		5633
Greater Melbourne	70-74	0	9609
Greater Melbourne	70-74	1	10413
Greater Melbourne	70-74	2	38465
Greater Melbourne	70-74	3	24212
Greater Melbourne	70-74	4	8839
Greater Melbourne	70-74	5	2528
Greater Melbourne	70-74	6	1668
Greater Melbourne	75-79		5014
Greater Melbourne	75-79	0	5819
Greater Melbourne	75-79	1	6094
Greater Melbourne	75-79	2	26247
Greater Melbourne	75-79	3	18428
Greater Melbourne	75-79	4	7618
Greater Melbourne	75-79	5	2473
Greater Melbourne	75-79	6	1849
Greater Melbourne	80-84		4748
Greater Melbourne	80-84	0	3637
Greater Melbourne	80-84	1	3875
Greater Melbourne	80-84	2	16363
Greater Melbourne	80-84	3	13602
Greater Melbourne	80-84	4	6892
Greater Melbourne	80-84	5	2576
Greater Melbourne	80-84	6	2359
Greater Melbourne	85+		7820
Greater Melbourne	85+	0	4067
Greater Melbourne	85+	1	4828
Greater Melbourne	85+	2	15823
Greater Melbourne	85+	3	13687
Greater Melbourne	85+	4	7801
Greater Melbourne	85+	5	3533
Greater Melbourne	85+	6	3973
Rest of Vic.	15-19		4386
Rest of Vic.	15-19	0	37928
Rest of Vic.	15-19	1	258
Rest of Vic.	15-19	2	28
Rest of Vic.	15-19	3	7
Rest of Vic.	15-19	4	5
Rest of Vic.	15-19	6	15
Rest of Vic.	20-24		3449
Rest of Vic.	20-24	0	32092
Rest of Vic.	20-24	1	2600
Rest of Vic.	20-24	2	1006
Rest of Vic.	20-24	3	198
Rest of Vic.	20-24	4	24
Rest of Vic.	20-24	5	3
Rest of Vic.	20-24	6	18
Rest of Vic.	25-29		3544
Rest of Vic.	25-29	0	27655
Rest of Vic.	25-29	1	7058
Rest of Vic.	25-29	2	5118
Rest of Vic.	25-29	3	1722
Rest of Vic.	25-29	4	437
Rest of Vic.	25-29	5	94
Rest of Vic.	25-29	6	46
Rest of Vic.	30-34		3135
Rest of Vic.	30-34	0	16166
Rest of Vic.	30-34	1	9872
Rest of Vic.	30-34	2	11588
Rest of Vic.	30-34	3	5124
Rest of Vic.	30-34	4	1386
Rest of Vic.	30-34	5	388
Rest of Vic.	30-34	6	177
Rest of Vic.	35-39		3218
Rest of Vic.	35-39	0	9325
Rest of Vic.	35-39	1	7349
Rest of Vic.	35-39	2	16096
Rest of Vic.	35-39	3	8437
Rest of Vic.	35-39	4	2669
Rest of Vic.	35-39	5	749
Rest of Vic.	35-39	6	420
Rest of Vic.	40-44		2959
Rest of Vic.	40-44	0	7016
Rest of Vic.	40-44	1	5838
Rest of Vic.	40-44	2	15869
Rest of Vic.	40-44	3	9294
Rest of Vic.	40-44	4	3278
Rest of Vic.	40-44	5	933
Rest of Vic.	40-44	6	637
Rest of Vic.	45-49		3069
Rest of Vic.	45-49	0	7197
Rest of Vic.	45-49	1	5891
Rest of Vic.	45-49	2	16786
Rest of Vic.	45-49	3	10527
Rest of Vic.	45-49	4	3760
Rest of Vic.	45-49	5	1142
Rest of Vic.	45-49	6	795
Rest of Vic.	50-54		3155
Rest of Vic.	50-54	0	7264
Rest of Vic.	50-54	1	5868
Rest of Vic.	50-54	2	17877
Rest of Vic.	50-54	3	11540
Rest of Vic.	50-54	4	4353
Rest of Vic.	50-54	5	1229
Rest of Vic.	50-54	6	857
Rest of Vic.	55-59		3367
Rest of Vic.	55-59	0	7361
Rest of Vic.	55-59	1	5367
Rest of Vic.	55-59	2	18484
Rest of Vic.	55-59	3	12740
Rest of Vic.	55-59	4	5007
Rest of Vic.	55-59	5	1437
Rest of Vic.	55-59	6	877
Rest of Vic.	60-64		3609
Rest of Vic.	60-64	0	7115
Rest of Vic.	60-64	1	5189
Rest of Vic.	60-64	2	18629
Rest of Vic.	60-64	3	14105
Rest of Vic.	60-64	4	5801
Rest of Vic.	60-64	5	1543
Rest of Vic.	60-64	6	882
Rest of Vic.	65-69		3658
Rest of Vic.	65-69	0	5587
Rest of Vic.	65-69	1	4384
Rest of Vic.	65-69	2	18174
Rest of Vic.	65-69	3	13670
Rest of Vic.	65-69	4	5706
Rest of Vic.	65-69	5	1575
Rest of Vic.	65-69	6	810
Rest of Vic.	70-74		3782
Rest of Vic.	70-74	0	4147
Rest of Vic.	70-74	1	3359
Rest of Vic.	70-74	2	15948
Rest of Vic.	70-74	3	12563
Rest of Vic.	70-74	4	5519
Rest of Vic.	70-74	5	1686
Rest of Vic.	70-74	6	906
Rest of Vic.	75-79		3342
Rest of Vic.	75-79	0	2487
Rest of Vic.	75-79	1	1946
Rest of Vic.	75-79	2	9603
Rest of Vic.	75-79	3	8809
Rest of Vic.	75-79	4	4703
Rest of Vic.	75-79	5	1662
Rest of Vic.	75-79	6	1156
Rest of Vic.	80-84		3002
Rest of Vic.	80-84	0	1486
Rest of Vic.	80-84	1	1097
Rest of Vic.	80-84	2	4992
Rest of Vic.	80-84	3	5798
Rest of Vic.	80-84	4	3857
Rest of Vic.	80-84	5	1782
Rest of Vic.	80-84	6	1493
Rest of Vic.	85+		4238
Rest of Vic.	85+	0	1500
Rest of Vic.	85+	1	1460
Rest of Vic.	85+	2	4712
Rest of Vic.	85+	3	5334
Rest of Vic.	85+	4	4273
Rest of Vic.	85+	5	2122
Rest of Vic.	85+	6	2277
No usual address (Qld)	15-19		66
No usual address (Qld)	15-19	0	210
No usual address (Qld)	15-19	1	4
No usual address (Qld)	20-24		139
No usual address (Qld)	20-24	0	288
No usual address (Qld)	20-24	1	31
No usual address (Qld)	20-24	2	16
No usual address (Qld)	20-24	3	3
No usual address (Qld)	20-24	4	5
No usual address (Qld)	25-29		224
No usual address (Qld)	25-29	0	411
No usual address (Qld)	25-29	1	57
No usual address (Qld)	25-29	2	28
No usual address (Qld)	25-29	3	29
No usual address (Qld)	25-29	4	11
No usual address (Qld)	25-29	6	3
No usual address (Qld)	30-34		149
No usual address (Qld)	30-34	0	253
No usual address (Qld)	30-34	1	51
No usual address (Qld)	30-34	2	67
No usual address (Qld)	30-34	3	33
No usual address (Qld)	30-34	4	19
No usual address (Qld)	30-34	5	7
No usual address (Qld)	30-34	6	6
No usual address (Qld)	35-39		130
No usual address (Qld)	35-39	0	100
No usual address (Qld)	35-39	1	48
No usual address (Qld)	35-39	2	88
No usual address (Qld)	35-39	3	48
No usual address (Qld)	35-39	4	27
No usual address (Qld)	35-39	5	8
No usual address (Qld)	35-39	6	8
No usual address (Qld)	40-44		139
No usual address (Qld)	40-44	0	79
No usual address (Qld)	40-44	1	46
No usual address (Qld)	40-44	2	59
No usual address (Qld)	40-44	3	47
No usual address (Qld)	40-44	4	25
No usual address (Qld)	40-44	5	18
No usual address (Qld)	40-44	6	13
No usual address (Qld)	45-49		116
No usual address (Qld)	45-49	0	87
No usual address (Qld)	45-49	1	55
No usual address (Qld)	45-49	2	60
No usual address (Qld)	45-49	3	52
No usual address (Qld)	45-49	4	27
No usual address (Qld)	45-49	5	12
No usual address (Qld)	45-49	6	4
No usual address (Qld)	50-54		114
No usual address (Qld)	50-54	0	94
No usual address (Qld)	50-54	1	61
No usual address (Qld)	50-54	2	92
No usual address (Qld)	50-54	3	58
No usual address (Qld)	50-54	4	27
No usual address (Qld)	50-54	5	15
No usual address (Qld)	50-54	6	12
No usual address (Qld)	55-59		102
No usual address (Qld)	55-59	0	87
No usual address (Qld)	55-59	1	47
No usual address (Qld)	55-59	2	151
No usual address (Qld)	55-59	3	87
No usual address (Qld)	55-59	4	31
No usual address (Qld)	55-59	5	11
No usual address (Qld)	55-59	6	10
No usual address (Qld)	60-64		92
No usual address (Qld)	60-64	0	79
No usual address (Qld)	60-64	1	58
No usual address (Qld)	60-64	2	216
No usual address (Qld)	60-64	3	122
No usual address (Qld)	60-64	4	59
No usual address (Qld)	60-64	5	20
No usual address (Qld)	60-64	6	12
No usual address (Qld)	65-69		77
No usual address (Qld)	65-69	0	50
No usual address (Qld)	65-69	1	43
No usual address (Qld)	65-69	2	159
No usual address (Qld)	65-69	3	130
No usual address (Qld)	65-69	4	54
No usual address (Qld)	65-69	5	12
No usual address (Qld)	65-69	6	8
No usual address (Qld)	70-74		41
No usual address (Qld)	70-74	0	22
No usual address (Qld)	70-74	1	17
No usual address (Qld)	70-74	2	129
No usual address (Qld)	70-74	3	71
No usual address (Qld)	70-74	4	30
No usual address (Qld)	70-74	5	14
No usual address (Qld)	70-74	6	3
No usual address (Qld)	75-79		19
No usual address (Qld)	75-79	0	12
No usual address (Qld)	75-79	1	9
No usual address (Qld)	75-79	2	40
No usual address (Qld)	75-79	3	29
No usual address (Qld)	75-79	4	9
No usual address (Qld)	75-79	5	8
No usual address (Qld)	75-79	6	4
No usual address (Qld)	80-84		10
No usual address (Qld)	80-84	0	6
No usual address (Qld)	80-84	2	11
No usual address (Qld)	80-84	3	8
No usual address (Qld)	80-84	5	5
No usual address (Qld)	80-84	6	5
No usual address (Qld)	85+		3
No usual address (Qld)	85+	2	3
No usual address (Qld)	85+	3	6
No usual address (Qld)	85+	5	3
Migratory - Offshore - Shipping (Qld)	20-24		4
Migratory - Offshore - Shipping (Qld)	25-29		3
Migratory - Offshore - Shipping (Qld)	25-29	0	3
Migratory - Offshore - Shipping (Qld)	30-34		4
Migratory - Offshore - Shipping (Qld)	35-39		3
Greater Brisbane	15-19		5587
Greater Brisbane	15-19	0	70585
Greater Brisbane	15-19	1	529
Greater Brisbane	15-19	2	52
Greater Brisbane	15-19	3	12
Greater Brisbane	15-19	4	3
Greater Brisbane	15-19	5	3
Greater Brisbane	15-19	6	10
Greater Brisbane	20-24		6600
Greater Brisbane	20-24	0	72956
Greater Brisbane	20-24	1	4730
Greater Brisbane	20-24	2	1919
Greater Brisbane	20-24	3	424
Greater Brisbane	20-24	4	82
