GCCSA_NAME21	Age5yr	Indigenous	persons
Rest of NSW	55-59	1	8056
Rest of NSW	60-64		9936
Rest of NSW	60-64	0	178157
Rest of NSW	60-64	1	7044
Rest of NSW	65+		35710
Rest of NSW	65+	0	579831
Rest of NSW	65+	1	12510
No usual address (Vic.)	0-4		43
No usual address (Vic.)	0-4	0	331
No usual address (Vic.)	0-4	1	42
No usual address (Vic.)	5-9		54
No usual address (Vic.)	5-9	0	319
No usual address (Vic.)	5-9	1	25
No usual address (Vic.)	10-14		47
No usual address (Vic.)	10-14	0	261
No usual address (Vic.)	10-14	1	24
No usual address (Vic.)	15-19		52
No usual address (Vic.)	15-19	0	378
No usual address (Vic.)	15-19	1	28
No usual address (Vic.)	20-24		65
No usual address (Vic.)	20-24	0	555
No usual address (Vic.)	20-24	1	49
No usual address (Vic.)	25-29		126
No usual address (Vic.)	25-29	0	756
No usual address (Vic.)	25-29	1	40
No usual address (Vic.)	30-34		134
No usual address (Vic.)	30-34	0	713
No usual address (Vic.)	30-34	1	43
No usual address (Vic.)	35-39		174
No usual address (Vic.)	35-39	0	706
No usual address (Vic.)	35-39	1	45
No usual address (Vic.)	40-44		166
No usual address (Vic.)	40-44	0	597
No usual address (Vic.)	40-44	1	41
No usual address (Vic.)	45-49		151
No usual address (Vic.)	45-49	0	538
No usual address (Vic.)	45-49	1	36
No usual address (Vic.)	50-54		184
No usual address (Vic.)	50-54	0	453
No usual address (Vic.)	50-54	1	33
No usual address (Vic.)	55-59		115
No usual address (Vic.)	55-59	0	419
No usual address (Vic.)	55-59	1	24
No usual address (Vic.)	60-64		103
No usual address (Vic.)	60-64	0	397
No usual address (Vic.)	60-64	1	13
No usual address (Vic.)	65+		154
No usual address (Vic.)	65+	0	626
No usual address (Vic.)	65+	1	18
Migratory - Offshore - Shipping (Vic.)	35-39		4
Migratory - Offshore - Shipping (Vic.)	40-44		7
Migratory - Offshore - Shipping (Vic.)	40-44	0	3
Migratory - Offshore - Shipping (Vic.)	50-54		3
Migratory - Offshore - Shipping (Vic.)	55-59		5
Migratory - Offshore - Shipping (Vic.)	55-59	0	3
Migratory - Offshore - Shipping (Vic.)	60-64		4
Migratory - Offshore - Shipping (Vic.)	60-64	0	4
Greater Melbourne	0-4		10571
Greater Melbourne	0-4	0	276722
Greater Melbourne	0-4	1	3363
Greater Melbourne	5-9		12072
Greater Melbourne	5-9	0	292278
Greater Melbourne	5-9	1	3168
Greater Melbourne	10-14		11366
Greater Melbourne	10-14	0	278897
Greater Melbourne	10-14	1	3155
Greater Melbourne	15-19		10205
Greater Melbourne	15-19	0	261562
Greater Melbourne	15-19	1	2939
Greater Melbourne	20-24		13977
Greater Melbourne	20-24	0	311247
Greater Melbourne	20-24	1	3321
Greater Melbourne	25-29		18732
Greater Melbourne	25-29	0	361311
Greater Melbourne	25-29	1	3097
Greater Melbourne	30-34		17723
Greater Melbourne	30-34	0	385262
Greater Melbourne	30-34	1	2565
Greater Melbourne	35-39		16269
Greater Melbourne	35-39	0	377532
Greater Melbourne	35-39	1	2000
Greater Melbourne	40-44		13297
Greater Melbourne	40-44	0	324250
Greater Melbourne	40-44	1	1753
Greater Melbourne	45-49		12101
Greater Melbourne	45-49	0	306525
Greater Melbourne	45-49	1	1736
Greater Melbourne	50-54		11112
Greater Melbourne	50-54	0	295947
Greater Melbourne	50-54	1	1693
Greater Melbourne	55-59		9889
Greater Melbourne	55-59	0	266789
Greater Melbourne	55-59	1	1301
Greater Melbourne	60-64		8576
Greater Melbourne	60-64	0	242426
Greater Melbourne	60-64	1	1005
Greater Melbourne	65+		31222
Greater Melbourne	65+	0	706954
Greater Melbourne	65+	1	1866
Rest of Vic.	0-4		4400
Rest of Vic.	0-4	0	76819
Rest of Vic.	0-4	1	3613
Rest of Vic.	5-9		5838
Rest of Vic.	5-9	0	84538
Rest of Vic.	5-9	1	3875
Rest of Vic.	10-14		5968
Rest of Vic.	10-14	0	87871
Rest of Vic.	10-14	1	3807
Rest of Vic.	15-19		5186
Rest of Vic.	15-19	0	79807
Rest of Vic.	15-19	1	3050
Rest of Vic.	20-24		4744
Rest of Vic.	20-24	0	73805
Rest of Vic.	20-24	1	2574
Rest of Vic.	25-29		5350
Rest of Vic.	25-29	0	83777
Rest of Vic.	25-29	1	2346
Rest of Vic.	30-34		5196
Rest of Vic.	30-34	0	86294
Rest of Vic.	30-34	1	2024
Rest of Vic.	35-39		5513
Rest of Vic.	35-39	0	85985
Rest of Vic.	35-39	1	1691
Rest of Vic.	40-44		5204
Rest of Vic.	40-44	0	82012
Rest of Vic.	40-44	1	1472
Rest of Vic.	45-49		5499
Rest of Vic.	45-49	0	88444
Rest of Vic.	45-49	1	1494
Rest of Vic.	50-54		5549
Rest of Vic.	50-54	0	93806
Rest of Vic.	50-54	1	1586
Rest of Vic.	55-59		5719
Rest of Vic.	55-59	0	98232
Rest of Vic.	55-59	1	1421
Rest of Vic.	60-64		5844
Rest of Vic.	60-64	0	103056
Rest of Vic.	60-64	1	1211
Rest of Vic.	65+		20936
Rest of Vic.	65+	0	328985
Rest of Vic.	65+	1	2078
No usual address (Qld)	0-4		68
No usual address (Qld)	0-4	0	344
No usual address (Qld)	0-4	1	96
No usual address (Qld)	5-9		56
No usual address (Qld)	5-9	0	383
No usual address (Qld)	5-9	1	75
No usual address (Qld)	10-14		52
No usual address (Qld)	10-14	0	302
No usual address (Qld)	10-14	1	70
No usual address (Qld)	15-19		82
No usual address (Qld)	15-19	0	386
No usual address (Qld)	15-19	1	98
No usual address (Qld)	20-24		184
No usual address (Qld)	20-24	0	631
No usual address (Qld)	20-24	1	120
No usual address (Qld)	25-29		324
No usual address (Qld)	25-29	0	976
No usual address (Qld)	25-29	1	101
No usual address (Qld)	30-34		250
No usual address (Qld)	30-34	0	876
No usual address (Qld)	30-34	1	113
No usual address (Qld)	35-39		240
No usual address (Qld)	35-39	0	734
No usual address (Qld)	35-39	1	99
No usual address (Qld)	40-44		228
No usual address (Qld)	40-44	0	669
No usual address (Qld)	40-44	1	108
No usual address (Qld)	45-49		232
No usual address (Qld)	45-49	0	656
No usual address (Qld)	45-49	1	85
No usual address (Qld)	50-54		178
No usual address (Qld)	50-54	0	690
No usual address (Qld)	50-54	1	85
No usual address (Qld)	55-59		204
No usual address (Qld)	55-59	0	851
No usual address (Qld)	55-59	1	44
No usual address (Qld)	60-64		170
No usual address (Qld)	60-64	0	1149
No usual address (Qld)	60-64	1	52
No usual address (Qld)	65+		298
No usual address (Qld)	65+	0	2271
No usual address (Qld)	65+	1	42
Migratory - Offshore - Shipping (Qld)	20-24		14
Migratory - Offshore - Shipping (Qld)	20-24	0	3
Migratory - Offshore - Shipping (Qld)	25-29		21
Migratory - Offshore - Shipping (Qld)	25-29	0	6
Migratory - Offshore - Shipping (Qld)	30-34		17
Migratory - Offshore - Shipping (Qld)	30-34	0	6
Migratory - Offshore - Shipping (Qld)	35-39		32
Migratory - Offshore - Shipping (Qld)	35-39	0	5
Migratory - Offshore - Shipping (Qld)	40-44		17
Migratory - Offshore - Shipping (Qld)	40-44	0	10
Migratory - Offshore - Shipping (Qld)	45-49		20
Migratory - Offshore - Shipping (Qld)	45-49	0	10
Migratory - Offshore - Shipping (Qld)	50-54		8
Migratory - Offshore - Shipping (Qld)	50-54	0	5
Migratory - Offshore - Shipping (Qld)	55-59		3
Migratory - Offshore - Shipping (Qld)	65+	0	3
Greater Brisbane	0-4		5824
Greater Brisbane	0-4	0	136076
Greater Brisbane	0-4	1	8602
Greater Brisbane	5-9		6870
Greater Brisbane	5-9	0	150138
Greater Brisbane	5-9	1	8669
Greater Brisbane	10-14		6705
Greater Brisbane	10-14	0	152662
Greater Brisbane	10-14	1	8595
Greater Brisbane	15-19		6026
Greater Brisbane	15-19	0	143371
Greater Brisbane	15-19	1	7720
Greater Brisbane	20-24		8059
Greater Brisbane	20-24	0	159282
Greater Brisbane	20-24	1	7307
Greater Brisbane	25-29		9369
Greater Brisbane	25-29	0	169142
Greater Brisbane	25-29	1	6506
Greater Brisbane	30-34		8812
Greater Brisbane	30-34	0	174932
Greater Brisbane	30-34	1	5308
Greater Brisbane	35-39		8319
Greater Brisbane	35-39	0	176883
Greater Brisbane	35-39	1	4344
Greater Brisbane	40-44		6796
Greater Brisbane	40-44	0	160266
Greater Brisbane	40-44	1	3723
Greater Brisbane	45-49		6615
Greater Brisbane	45-49	0	158542
Greater Brisbane	45-49	1	3848
Greater Brisbane	50-54		6048
Greater Brisbane	50-54	0	150497
Greater Brisbane	50-54	1	3501
Greater Brisbane	55-59		5270
Greater Brisbane	55-59	0	135644
Greater Brisbane	55-59	1	2818
Greater Brisbane	60-64		4650
Greater Brisbane	60-64	0	123145
Greater Brisbane	60-64	1	2274
Greater Brisbane	65+		15521
Greater Brisbane	65+	0	353826
Greater Brisbane	65+	1	3717
Rest of Qld	0-4		7943
Rest of Qld	0-4	0	116469
Rest of Qld	0-4	1	17042
Rest of Qld	5-9		10042
Rest of Qld	5-9	0	134947
Rest of Qld	5-9	1	18131
Rest of Qld	10-14		10541
Rest of Qld	10-14	0	144719
Rest of Qld	10-14	1	18907
Rest of Qld	15-19		9615
Rest of Qld	15-19	0	130373
Rest of Qld	15-19	1	15843
Rest of Qld	20-24		11614
Rest of Qld	20-24	0	123430
Rest of Qld	20-24	1	13110
Rest of Qld	25-29		13563
Rest of Qld	25-29	0	136008
Rest of Qld	25-29	1	11668
Rest of Qld	30-34		12999
Rest of Qld	30-34	0	140805
Rest of Qld	30-34	1	9909
Rest of Qld	35-39		12389
Rest of Qld	35-39	0	145155
Rest of Qld	35-39	1	8919
Rest of Qld	40-44		11315
Rest of Qld	40-44	0	139533
Rest of Qld	40-44	1	8026
Rest of Qld	45-49		12147
Rest of Qld	45-49	0	149898
Rest of Qld	45-49	1	8245
Rest of Qld	50-54		11990
Rest of Qld	50-54	0	152909
Rest of Qld	50-54	1	7920
Rest of Qld	55-59		11585
Rest of Qld	55-59	0	153242
Rest of Qld	55-59	1	6707
Rest of Qld	60-64		10232
Rest of Qld	60-64	0	151794
Rest of Qld	60-64	1	5457
Rest of Qld	65+		30222
Rest of Qld	65+	0	460391
Rest of Qld	65+	1	9300
No usual address (SA)	0-4		21
No usual address (SA)	0-4	0	91
No usual address (SA)	0-4	1	29
No usual address (SA)	5-9		27
No usual address (SA)	5-9	0	94
No usual address (SA)	5-9	1	23
No usual address (SA)	10-14		25
No usual address (SA)	10-14	0	77
No usual address (SA)	10-14	1	24
No usual address (SA)	15-19		30
No usual address (SA)	15-19	0	135
No usual address (SA)	15-19	1	30
No usual address (SA)	20-24		28
No usual address (SA)	20-24	0	154
No usual address (SA)	20-24	1	24
No usual address (SA)	25-29		54
No usual address (SA)	25-29	0	217
No usual address (SA)	25-29	1	37
No usual address (SA)	30-34		56
No usual address (SA)	30-34	0	223
No usual address (SA)	30-34	1	32
No usual address (SA)	35-39		48
No usual address (SA)	35-39	0	194
No usual address (SA)	35-39	1	51
No usual address (SA)	40-44		39
No usual address (SA)	40-44	0	161
No usual address (SA)	40-44	1	33
No usual address (SA)	45-49		36
No usual address (SA)	45-49	0	159
No usual address (SA)	45-49	1	37
No usual address (SA)	50-54		36
No usual address (SA)	50-54	0	181
No usual address (SA)	50-54	1	28
No usual address (SA)	55-59		48
No usual address (SA)	55-59	0	177
No usual address (SA)	55-59	1	24
No usual address (SA)	60-64		38
No usual address (SA)	60-64	0	213
No usual address (SA)	60-64	1	17
No usual address (SA)	65+		65
No usual address (SA)	65+	0	361
No usual address (SA)	65+	1	7
Migratory - Offshore - Shipping (SA)	45-49		4
Migratory - Offshore - Shipping (SA)	50-54	0	3
Greater Adelaide	0-4		2182
Greater Adelaide	0-4	0	70007
Greater Adelaide	0-4	1	2555
Greater Adelaide	5-9		2557
Greater Adelaide	5-9	0	76224
Greater Adelaide	5-9	1	2648
Greater Adelaide	10-14		2494
Greater Adelaide	10-14	0	76181
Greater Adelaide	10-14	1	2679
Greater Adelaide	15-19		2407
Greater Adelaide	15-19	0	73524
Greater Adelaide	15-19	1	2353
Greater Adelaide	20-24		3057
Greater Adelaide	20-24	0	85769
Greater Adelaide	20-24	1	2242
Greater Adelaide	25-29		3503
Greater Adelaide	25-29	0	91351
Greater Adelaide	25-29	1	1999
Greater Adelaide	30-34		3330
Greater Adelaide	30-34	0	91863
Greater Adelaide	30-34	1	1666
Greater Adelaide	35-39		3320
Greater Adelaide	35-39	0	92782
Greater Adelaide	35-39	1	1375
Greater Adelaide	40-44		2924
Greater Adelaide	40-44	0	83178
Greater Adelaide	40-44	1	1090
Greater Adelaide	45-49		2888
Greater Adelaide	45-49	0	82647
Greater Adelaide	45-49	1	1153
Greater Adelaide	50-54		2792
Greater Adelaide	50-54	0	84428
Greater Adelaide	50-54	1	1164
Greater Adelaide	55-59		2678
Greater Adelaide	55-59	0	82339
Greater Adelaide	55-59	1	886
Greater Adelaide	60-64		2476
Greater Adelaide	60-64	0	79255
Greater Adelaide	60-64	1	767
Greater Adelaide	65+		8838
Greater Adelaide	65+	0	248535
Greater Adelaide	65+	1	1193
Rest of SA	0-4		1015
Rest of SA	0-4	0	16369
Rest of SA	0-4	1	1961
Rest of SA	5-9		1339
Rest of SA	5-9	0	18853
Rest of SA	5-9	1	1968
Rest of SA	10-14		1486
Rest of SA	10-14	0	20173
Rest of SA	10-14	1	2022
Rest of SA	15-19		1301
Rest of SA	15-19	0	17674
Rest of SA	15-19	1	1714
Rest of SA	20-24		1109
Rest of SA	20-24	0	15381
Rest of SA	20-24	1	1412
Rest of SA	25-29		1259
Rest of SA	25-29	0	17431
Rest of SA	25-29	1	1342
Rest of SA	30-34		1315
Rest of SA	30-34	0	18323
Rest of SA	30-34	1	1275
Rest of SA	35-39		1315
Rest of SA	35-39	0	18825
Rest of SA	35-39	1	1084
Rest of SA	40-44		1293
Rest of SA	40-44	0	18030
Rest of SA	40-44	1	920
Rest of SA	45-49		1531
Rest of SA	45-49	0	20326
Rest of SA	45-49	1	938
Rest of SA	50-54		1625
Rest of SA	50-54	0	23684
Rest of SA	50-54	1	983
Rest of SA	55-59		1703
Rest of SA	55-59	0	25585
Rest of SA	55-59	1	862
Rest of SA	60-64		1722
Rest of SA	60-64	0	27612
Rest of SA	60-64	1	740
Rest of SA	65+		5618
Rest of SA	65+	0	90511
Rest of SA	65+	1	1186
No usual address (WA)	0-4		42
No usual address (WA)	0-4	0	188
No usual address (WA)	0-4	1	69
No usual address (WA)	5-9		20
No usual address (WA)	5-9	0	193
No usual address (WA)	5-9	1	48
No usual address (WA)	10-14		25
No usual address (WA)	10-14	0	159
No usual address (WA)	10-14	1	30
No usual address (WA)	15-19		31
No usual address (WA)	15-19	0	166
No usual address (WA)	15-19	1	68
No usual address (WA)	20-24		93
No usual address (WA)	20-24	0	344
No usual address (WA)	20-24	1	119
No usual address (WA)	25-29		137
No usual address (WA)	25-29	0	497
No usual address (WA)	25-29	1	115
No usual address (WA)	30-34		123
No usual address (WA)	30-34	0	518
No usual address (WA)	30-34	1	127
No usual address (WA)	35-39		109
No usual address (WA)	35-39	0	500
No usual address (WA)	35-39	1	155
No usual address (WA)	40-44		107
No usual address (WA)	40-44	0	467
No usual address (WA)	40-44	1	202
No usual address (WA)	45-49		116
No usual address (WA)	45-49	0	400
No usual address (WA)	45-49	1	165
No usual address (WA)	50-54		92
No usual address (WA)	50-54	0	392
No usual address (WA)	50-54	1	145
No usual address (WA)	55-59		94
No usual address (WA)	55-59	0	387
No usual address (WA)	55-59	1	69
No usual address (WA)	60-64		101
No usual address (WA)	60-64	0	407
No usual address (WA)	60-64	1	80
No usual address (WA)	65+		150
No usual address (WA)	65+	0	715
No usual address (WA)	65+	1	84
Migratory - Offshore - Shipping (WA)	15-19		5
Migratory - Offshore - Shipping (WA)	15-19	0	6
Migratory - Offshore - Shipping (WA)	20-24		15
Migratory - Offshore - Shipping (WA)	20-24	0	15
Migratory - Offshore - Shipping (WA)	25-29		21
Migratory - Offshore - Shipping (WA)	25-29	0	32
Migratory - Offshore - Shipping (WA)	30-34		22
Migratory - Offshore - Shipping (WA)	30-34	0	32
Migratory - Offshore - Shipping (WA)	35-39		39
Migratory - Offshore - Shipping (WA)	35-39	0	45
Migratory - Offshore - Shipping (WA)	35-39	1	5
Migratory - Offshore - Shipping (WA)	40-44		36
Migratory - Offshore - Shipping (WA)	40-44	0	44
Migratory - Offshore - Shipping (WA)	45-49		23
Migratory - Offshore - Shipping (WA)	45-49	0	35
Migratory - Offshore - Shipping (WA)	50-54		18
Migratory - Offshore - Shipping (WA)	50-54	0	30
Migratory - Offshore - Shipping (WA)	50-54	1	4
Migratory - Offshore - Shipping (WA)	55-59		11
Migratory - Offshore - Shipping (WA)	55-59	0	15
Migratory - Offshore - Shipping (WA)	60-64		14
Migratory - Offshore - Shipping (WA)	60-64	0	22
Migratory - Offshore - Shipping (WA)	65+		8
Migratory - Offshore - Shipping (WA)	65+	0	10
Greater Perth	0-4		4072
Greater Perth	0-4	0	120819
Greater Perth	0-4	1	4706
Greater Perth	5-9		4698
Greater Perth	5-9	0	126980
Greater Perth	5-9	1	4737
Greater Perth	10-14		4513
Greater Perth	10-14	0	125963
Greater Perth	10-14	1	4748
Greater Perth	15-19		4064
Greater Perth	15-19	0	115119
Greater Perth	15-19	1	4138
Greater Perth	20-24		5827
Greater Perth	20-24	0	122987
Greater Perth	20-24	1	3813
Greater Perth	25-29		7619
Greater Perth	25-29	0	132620
Greater Perth	25-29	1	3613
Greater Perth	30-34		8048
Greater Perth	30-34	0	148824
Greater Perth	30-34	1	3175
Greater Perth	35-39		7741
Greater Perth	35-39	0	153142
Greater Perth	35-39	1	2550
Greater Perth	40-44		6392
Greater Perth	40-44	0	135034
Greater Perth	40-44	1	2062
Greater Perth	45-49		6181
Greater Perth	45-49	0	130321
Greater Perth	45-49	1	2015
Greater Perth	50-54		5900
Greater Perth	50-54	0	128320
Greater Perth	50-54	1	1829
Greater Perth	55-59		5287
Greater Perth	55-59	0	118844
Greater Perth	55-59	1	1590
Greater Perth	60-64		4400
Greater Perth	60-64	0	108884
Greater Perth	60-64	1	1184
Greater Perth	65+		13584
Greater Perth	65+	0	318378
Greater Perth	65+	1	1924
Rest of WA	0-4		2458
Rest of WA	0-4	0	24914
Rest of WA	0-4	1	4488
Rest of WA	5-9		3196
Rest of WA	5-9	0	28028
Rest of WA	5-9	1	4747
Rest of WA	10-14		3119
Rest of WA	10-14	0	27973
Rest of WA	10-14	1	4851
Rest of WA	15-19		2416
Rest of WA	15-19	0	22930
Rest of WA	15-19	1	4325
Rest of WA	20-24		2724
Rest of WA	20-24	0	19336
Rest of WA	20-24	1	3539
Rest of WA	25-29		3666
Rest of WA	25-29	0	24404
Rest of WA	25-29	1	3322
Rest of WA	30-34		3910
Rest of WA	30-34	0	28365
Rest of WA	30-34	1	3155
Rest of WA	35-39		3929
Rest of WA	35-39	0	29826
Rest of WA	35-39	1	2860
Rest of WA	40-44		3583
Rest of WA	40-44	0	28053
Rest of WA	40-44	1	2605
Rest of WA	45-49		3637
Rest of WA	45-49	0	29306
Rest of WA	45-49	1	2439
Rest of WA	50-54		3786
Rest of WA	50-54	0	30747
Rest of WA	50-54	1	2363
Rest of WA	55-59		3521
Rest of WA	55-59	0	30907
Rest of WA	55-59	1	2042
Rest of WA	60-64		3041
Rest of WA	60-64	0	30870
Rest of WA	60-64	1	1662
Rest of WA	65+		7367
Rest of WA	65+	0	83695
Rest of WA	65+	1	2702
No usual address (Tas.)	0-4	0	37
No usual address (Tas.)	0-4	1	4
No usual address (Tas.)	5-9		12
No usual address (Tas.)	5-9	0	37
No usual address (Tas.)	5-9	1	4
No usual address (Tas.)	10-14		3
No usual address (Tas.)	10-14	0	31
No usual address (Tas.)	10-14	1	8
No usual address (Tas.)	15-19		12
No usual address (Tas.)	15-19	0	52
No usual address (Tas.)	15-19	1	28
No usual address (Tas.)	20-24		15
No usual address (Tas.)	20-24	0	88
No usual address (Tas.)	20-24	1	15
No usual address (Tas.)	25-29		5
No usual address (Tas.)	25-29	0	92
No usual address (Tas.)	25-29	1	11
No usual address (Tas.)	30-34		17
No usual address (Tas.)	30-34	0	89
No usual address (Tas.)	30-34	1	12
No usual address (Tas.)	35-39		8
No usual address (Tas.)	35-39	0	71
No usual address (Tas.)	35-39	1	10
No usual address (Tas.)	40-44		12
No usual address (Tas.)	40-44	0	81
No usual address (Tas.)	40-44	1	19
No usual address (Tas.)	45-49		10
No usual address (Tas.)	45-49	0	64
No usual address (Tas.)	45-49	1	12
No usual address (Tas.)	50-54		16
No usual address (Tas.)	50-54	0	91
No usual address (Tas.)	50-54	1	13
No usual address (Tas.)	55-59		23
No usual address (Tas.)	55-59	0	86
No usual address (Tas.)	55-59	1	5
No usual address (Tas.)	60-64		23
No usual address (Tas.)	60-64	0	65
No usual address (Tas.)	65+		70
No usual address (Tas.)	65+	0	118
No usual address (Tas.)	65+	1	7
Migratory - Offshore - Shipping (Tas.)	35-39	0	4
Migratory - Offshore - Shipping (Tas.)	45-49	0	3
Greater Hobart	0-4		445
Greater Hobart	0-4	0	11327
Greater Hobart	0-4	1	1085
Greater Hobart	5-9		610
Greater Hobart	5-9	0	12264
Greater Hobart	5-9	1	1170
Greater Hobart	10-14		565
Greater Hobart	10-14	0	12803
Greater Hobart	10-14	1	1315
Greater Hobart	15-19		539
Greater Hobart	15-19	0	11702
Greater Hobart	15-19	1	1080
Greater Hobart	20-24		562
Greater Hobart	20-24	0	13294
Greater Hobart	20-24	1	964
Greater Hobart	25-29		769
Greater Hobart	25-29	0	18318
Greater Hobart	25-29	1	836
Greater Hobart	30-34		763
Greater Hobart	30-34	0	18256
Greater Hobart	30-34	1	819
Greater Hobart	35-39		679
Greater Hobart	35-39	0	15752
Greater Hobart	35-39	1	696
Greater Hobart	40-44		525
Greater Hobart	40-44	0	13444
Greater Hobart	40-44	1	562
Greater Hobart	45-49		542
Greater Hobart	45-49	0	13665
Greater Hobart	45-49	1	513
Greater Hobart	50-54		566
Greater Hobart	50-54	0	13828
Greater Hobart	50-54	1	539
Greater Hobart	55-59		538
Greater Hobart	55-59	0	13774
Greater Hobart	55-59	1	485
Greater Hobart	60-64		525
Greater Hobart	60-64	0	14181
Greater Hobart	60-64	1	436
Greater Hobart	65+		2032
Greater Hobart	65+	0	43605
Greater Hobart	65+	1	733
Rest of Tas.	0-4		752
Rest of Tas.	0-4	0	12838
Rest of Tas.	0-4	1	1790
Rest of Tas.	5-9		829
Rest of Tas.	5-9	0	14238
Rest of Tas.	5-9	1	1984
Rest of Tas.	10-14		939
Rest of Tas.	10-14	0	15396
Rest of Tas.	10-14	1	2157
Rest of Tas.	15-19		856
Rest of Tas.	15-19	0	14021
Rest of Tas.	15-19	1	1777
Rest of Tas.	20-24		896
Rest of Tas.	20-24	0	13727
Rest of Tas.	20-24	1	1464
Rest of Tas.	25-29		949
Rest of Tas.	25-29	0	16538
Rest of Tas.	25-29	1	1236
Rest of Tas.	30-34		961
Rest of Tas.	30-34	0	15880
Rest of Tas.	30-34	1	1108
Rest of Tas.	35-39		930
Rest of Tas.	35-39	0	15482
Rest of Tas.	35-39	1	1075
Rest of Tas.	40-44		854
Rest of Tas.	40-44	0	14838
Rest of Tas.	40-44	1	908
Rest of Tas.	45-49		921
Rest of Tas.	45-49	0	16548
Rest of Tas.	45-49	1	954
Rest of Tas.	50-54		1073
Rest of Tas.	50-54	0	18761
Rest of Tas.	50-54	1	1079
Rest of Tas.	55-59		1128
Rest of Tas.	55-59	0	20082
Rest of Tas.	55-59	1	890
Rest of Tas.	60-64		1147
Rest of Tas.	60-64	0	21151
Rest of Tas.	60-64	1	856
Rest of Tas.	65+		3721
Rest of Tas.	65+	0	64786
Rest of Tas.	65+	1	1568
