SA2_NAME16	medianRent
Corowa	11960
Corowa Surrounds	13780
Deniliquin	11960
Deniliquin Surrounds	8840
Moama	16744
Tocumwal - Finley - Jerilderie	10400
Armidale	15080
Armidale Surrounds - North	13000
Armidale Surrounds - South	13000
Walcha	10400
Glen Innes	11440
Inverell	14040
Inverell Surrounds - East	10400
Inverell Surrounds - West	10920
Tenterfield	12480
Moree	11960
Moree Surrounds	9100
Narrabri	13520
Narrabri Surrounds	10400
Gunnedah	15600
Gunnedah Surrounds	14300
Quirindi	11960
Tamworth - East	15600
Tamworth - North	16640
Tamworth - West	15080
Tamworth Surrounds	14300
Belmont - Bennetts Green	18720
Belmont South - Blacksmiths	17160
Charlestown - Dudley	20280
Glendale - Cardiff - Hillsborough	19760
Mount Hutton - Windale	13260
Redhead	21840
Swansea - Caves Beach	18720
Valentine - Eleebana	25480
Warners Bay - Boolaroo	21320
Bolton Point - Teralba	17316
Bonnells Bay - Silverwater	20800
Edgeworth - Cameron Park	23400
Morisset - Cooranbong	19760
Toronto - Awaba	17680
Wangi Wangi - Rathmines	19240
West Wallsend - Barnsley - Killingworth	20280
Adamstown - Kotara	21320
Beresfield - Hexham	17680
Hamilton - Broadmeadow	19760
Lambton - New Lambton	20280
Maryland - Fletcher - Minmi	24440
Mayfield - Warabrook	19760
Merewether - The Junction	21840
Newcastle - Cooks Hill	23140
Newcastle Port - Kooragang	28600
Shortland - Jesmond	18980
Stockton - Fullerton Cove	22360
Wallsend - Elermore Vale	19760
Waratah - North Lambton	19760
Wickham - Carrington - Tighes Hill	23400
Ballina	20280
Ballina Surrounds	21320
Bangalow	28600
Brunswick Heads - Ocean Shores	25896
Byron Bay	32240
Evans Head	16640
Lennox Head - Skennars Head	30160
Mullumbimby	23400
Casino	14560
Casino Surrounds	13000
Goonellabah	16640
Kyogle	14040
Lismore	15600
Lismore Surrounds	17368
Kingscliff - Fingal Head	25116
Murwillumbah	18200
Murwillumbah Surrounds	18200
Pottsville	24336
Tweed Heads	20280
Banora Point	22880
Terranora - North Tumbulgum	27976
Tweed Heads South	20280
Griffith (NSW)	15600
Griffith Surrounds	11440
Leeton	13000
Narrandera	10400
Tumbarumba	10816
Tumut	12740
Tumut Surrounds	10400
Cootamundra	11388
Gundagai	11440
Junee	13520
Temora	11440
Wagga Wagga - East	15600
Wagga Wagga - North	19760
Wagga Wagga - South	15600
Wagga Wagga - West	14040
Wagga Wagga Surrounds	14560
Berry - Kangaroo Valley	20800
Callala Bay - Currarong	19760
Culburra Beach	17212
Ettrema - Sassafras - Budawang	
Huskisson - Vincentia	20800
North Nowra - Bomaderry	17992
Nowra	17160
St Georges Basin - Erowal Bay	18720
Sussex Inlet - Berrara	16120
Tomerong - Wandandian - Woollamia	17420
Ulladulla	18252
Ulladulla Surrounds	17160
Bowral	26000
Hill Top - Colo Vale	22360
Mittagong	22620
Moss Vale - Berrima	20800
Robertson - Fitzroy Falls	22880
Southern Highlands	20800
Baulkham Hills - East	26520
Baulkham Hills (West) - Bella Vista	31720
Glenhaven	33800
West Pennant Hills	36400
Castle Hill - Central	28600
Castle Hill - East	28444
Castle Hill - North	31200
Castle Hill - South	28600
Castle Hill - West	35984
Cherrybrook	36140
Kellyville - East	33800
Kellyville - West	31200
Dural - Kenthurst - Wisemans Ferry	28600
Galston - Laughtondale	23920
Bilpin - Colo - St Albans	16640
Kurrajong Heights - Ebenezer	22880
Pitt Town - McGraths Hill	26000
Box Hill - Nelson	30940
North Kellyville	31200
Rouse Hill - Beaumont Hills	31720
Blacktown (East) - Kings Park	19760
Blacktown (North) - Marayong	20800
Doonside - Woodcroft	19760
Lalor Park - Kings Langley	19760
Blacktown - South	20800
Blacktown - West	21320
Seven Hills - Prospect	21840
Toongabbie - West	21840
Glenwood	30680
Acacia Gardens	28080
Quakers Hill	23920
Kellyville Ridge - The Ponds	31200
Marsden Park - Shanes Park	29640
Riverstone	25480
Schofields (West) - Colebee	30160
Schofields - East	28600
Stanhope Gardens - Parklea	30160
Bidwill - Hebersham - Emerton	15600
Glendenning - Dean Park	21840
Hassall Grove - Plumpton	21840
Lethbridge Park - Tregear	16640
Mount Druitt - Whalan	17940
Prospect Reservoir	27560
Rooty Hill - Minchinbury	21840
Banksmeadow	32240
Botany	28600
Pagewood - Hillsdale - Daceyville	25740
Port Botany Industrial	62400
Sydney Airport	
Eastlakes	20020
Mascot	31200
Petersham - Stanmore	24440
Sydenham - Tempe - St Peters	32760
Marrickville - North	28600
Marrickville - South	23400
Darlinghurst	28600
Erskineville - Alexandria	30732
Glebe - Forest Lodge	26260
Potts Point - Woolloomooloo	25480
Surry Hills	28600
Camperdown - Darlington	31200
Chippendale	27040
Newtown (NSW)	28600
Pyrmont	30160
Redfern	26000
Rosebery - Beaconsfield	31200
Sydney (North) - Millers Point	33280
Sydney (South) - Haymarket	32240
Ultimo	26000
Waterloo	27560
Zetland	31200
Bondi - Tamarama - Bronte	35100
Bondi Beach - North Bondi	35828
Bondi Junction - Waverly	33904
Centennial Park	
Dover Heights	33800
Paddington - Moore Park	30680
Rose Bay - Vaucluse - Watsons Bay	37076
Woollahra	35100
Bellevue Hill	34320
Double Bay - Darling Point	37440
Kensington (NSW)	26000
Kingsford	24700
Maroubra - North	31200
Maroubra - South	25480
Maroubra - West	28600
Randwick - North	29640
Randwick - South	29900
Coogee - Clovelly	33800
Malabar - La Perouse	27820
Matraville - Chifley	24700
South Coogee	10764
Bass Hill - Georges Hall	20800
Chullora	26000
Condell Park	26000
Padstow	24440
Revesby	23920
Yagoona - Birrong	20800
Bankstown - North	20800
Bankstown - South	21580
Greenacre - North	20800
Greenacre - South	23400
Panania (North) - Milperra	24960
Panania (South) - Picnic Point	24960
Belmore - Belfield	20540
Punchbowl	19760
Roselands	22100
Lakemba	18200
Wiley Park	18200
Campsie - North	20800
Campsie - South	19760
Canterbury - South	23400
Earlwood	29640
Kingsgrove - North	23400
Narwee - Beverly Hills	20800
Oatley - Hurstville Grove	25480
Peakhurst - Lugarno	23400
Riverwood	15600
South Hurstville - Blakehurst	25480
Hurstville - Central	23920
Hurstville - North	25480
Mortdale - Oatley	21840
Penshurst	20800
Kingsgrove (South) - Bardwell Park	26000
Kogarah	24128
Kogarah Bay - Carlton - Allawah	23400
Monterey - Brighton-le-Sands - Kyeemagh	23400
Rockdale - Banksia	23920
Sans Souci - Ramsgate	26000
Arncliffe - Bardwell Valley	26000
Bexley - North	27040
Bexley - South	21840
Wolli Creek	28080
Concord - Mortlake - Cabarita	31200
Drummoyne - Rodd Point	31200
Five Dock - Abbotsford	29952
Concord West - North Strathfield	26000
Rhodes	29120
Balmain	33280
Lilyfield - Rozelle	31200
Annandale (NSW)	29640
Leichhardt	31200
Canterbury (North) - Ashbury	24960
Croydon Park - Enfield	22360
Dulwich Hill - Lewisham	24960
Haberfield - Summer Hill	24440
Homebush	23400
Strathfield South	23920
Ashfield - North	21840
Ashfield - South	24440
Burwood (NSW)	26000
Croydon	23920
Strathfield - East	24960
Strathfield - West	27560
Chatswood (West) - Lane Cove North	26000
St Leonards - Naremburn	31200
Artarmon	27300
Castle Cove - Northbridge	44200
Chatswood - East	30680
Greenwich - Riverview	31200
Lane Cove	28600
Willoughby	30992
Asquith - Mount Colah	26000
Berowra - Brooklyn - Cowan	29120
Normanhurst - Thornleigh - Westleigh	28600
Hornsby - East	22880
Hornsby - West	23400
Wahroonga (West) - Waitara	25480
Gordon - Killara	31200
Lindfield - Roseville	32240
Pymble	33800
St Ives	36400
Turramurra	31720
Wahroonga (East) - Warrawee	33800
Cremorne - Cammeray	31200
Crows Nest - Waverton	29900
Neutral Bay - Kirribilli	28132
North Sydney - Lavender Bay	31200
Mosman - North	31200
Mosman - South	30160
Balgowlah - Clontarf - Seaforth	36244
Manly - Fairlight	37700
Avalon - Palm Beach	38740
Bayview - Elanora Heights	38740
Newport - Bilgola	32656
Mona Vale - Warriewood (North)	34320
North Narrabeen - Warriewood (South)	36920
Beacon Hill - Narraweena	28600
Cromer	33800
Forestville - Killarney Heights	37440
Freshwater - Brookvale	31200
Manly Vale - Allambie Heights	28600
Terrey Hills - Duffys Forest	31720
Belrose	46020
Collaroy - Collaroy Plateau	31200
Dee Why (South) - North Curl Curl	29796
Dee Why - North	28600
Frenchs Forest - Oxford Falls	43056
Narrabeen - Wheeler Heights	30160
Camden - Ellis Lane	21840
Currans Hill	23920
Elderslie - Narellan	23400
Harrington Park	28600
Mount Annan	24440
Spring Farm	26520
Bradbury - Wedderburn	19240
Campbelltown - Woodbine	20280
Claymore - Eagle Vale - Raby	19500
Holsworthy Military Area	17160
Leumeah - Minto Heights	18720
Minto - St Andrews	19240
Rosemeadow - Glen Alpine	19240
Denham Court - Bardia	28600
Glenfield	21840
Ingleburn	19760
Macquarie Fields	17680
Bargo	21580
Douglas Park - Appin	25480
Picton - Tahmoor - Buxton	20800
The Oaks - Oakdale	21320
Blackheath - Megalong Valley	19760
Blaxland - Warrimoo - Lapstone	22880
Blue Mountains - North	
Katoomba - Leura	19760
Lawson - Hazelbrook - Linden	20800
Springwood - Winmalee	21840
Wentworth Falls	22360
Blue Mountains - South	7800
Cambridge Park	20800
Emu Plains - Leonay	22724
Glenmore Park - Regentville	24180
Jamisontown - South Penrith	20800
Kingswood - Werrington	19240
Mulgoa - Luddenham - Orchard Hills	27560
Penrith	19760
Warragamba - Silverdale	21632
Cranebrook - Castlereagh	21320
Jordan Springs - Llandilo	27560
Richmond - Clarendon	20800
Windsor - Bligh Park	20280
Yarramundi - Londonderry	24440
Erskine Park	23400
St Clair	22880
Colyton - Oxley Park	20280
St Marys - North St Marys	18720
Rookwood Cemetery	12636
Auburn - Central	23400
Auburn - North	19760
Auburn - South	22620
Berala	19760
Lidcombe	24960
Regents Park	19500
Silverwater - Newington	27040
Wentworth Point - Sydney Olympic Park	26520
Ermington - Rydalmere	22360
Oatlands - Dundas Valley	21840
Carlingford - East	27040
Carlingford - West	25480
Chester Hill - Sefton	20800
Fairfield - East	15600
Granville - Clyde	21840
Guildford - South Granville	18720
Guildford West - Merrylands West	20800
Smithfield Industrial	7800
Yennora Industrial	24024
Greystanes - South	24960
Merrylands - Holroyd	20800
Pemulwuy - Greystanes (North)	26000
South Wentworthville	23920
North Parramatta	21320
North Rocks	28600
Northmead	21840
Toongabbie - Constitution Hill	22776
Winston Hills	27560
Pendle Hill - Girraween	21840
Wentworthville - Westmead	21840
Parramatta - North	23400
Parramatta - South	20800
Rosehill - Harris Park	19500
Pennant Hills - Cheltenham	27560
Epping (East) - North Epping	26000
Epping (NSW) - West	26000
Gladesville - Huntleys Point	23920
Hunters Hill - Woolwich	28080
Macquarie Park - Marsfield	24440
North Ryde - East Ryde	27092
West Ryde - Meadowbank	21840
Putney	36400
Denistone	31200
Eastwood	23400
Ryde - North	22360
Ryde - South	26000
Ashcroft - Busby - Miller	13832
Austral - Greendale	26000
Badgerys Creek	9464
Cecil Hills	28600
Green Valley	23400
Hinchinbrook	24960
Hoxton Park - Carnes Hill - Horningsea Park	26000
West Hoxton - Middleton Grange	27300
Cobbitty - Bringelly	27560
Gledswood Hills - Gregory Hills	27560
Leppington - Catherine Field	28600
Oran Park	27560
Bonnyrigg Heights - Bonnyrigg	20800
Bossley Park - Abbotsbury	24440
Cabramatta - Lansvale	17160
Cabramatta West - Mount Pritchard	19760
Canley Vale - Canley Heights	18720
Edensor Park	23400
Fairfield	19084
Fairfield - West	23400
Greenfield Park - Prairiewood	23400
Horsley Park - Kemps Creek	22880
Smithfield - Wetherill Park	21840
St Johns Park - Wakeley	23400
Wetherill Park Industrial	20800
Casula	23400
Chipping Norton - Moorebank	26000
Holsworthy - Wattle Grove	25740
Lurnea - Cartwright	18200
Warwick Farm	16640
Edmondson Park	28600
Liverpool - East	19760
Liverpool - West	18720
Prestons	27040
Gymea - Grays Point	27560
Miranda - Yowie Bay	25480
Sylvania - Taren Point	28600
Caringbah	24440
Caringbah South	37960
Cronulla - Kurnell - Bundeena	26000
Lilli Pilli - Port Hacking - Dolans Bay	43316
Woolooware - Burraneer	28600
Heathcote - Waterfall	27040
Illawong - Alfords Point	35360
Menai - Lucas Heights - Woronora	30160
Oyster Bay - Como - Jannali	26000
Royal National Park	20280
Sutherland - Kirrawee	23920
Engadine	26000
Loftus - Yarrawarrah	28600
Woronora Heights	38376
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Alfredton	19240
Ballarat	16276
Buninyong	17160
Delacombe	18720
Smythes Creek	18200
Wendouree - Miners Rest	13520
Ballarat East - Warrenheip	14976
Ballarat North - Invermay	15600
Canadian - Mount Clear	15340
Sebastopol - Redan	13520
Bacchus Marsh Surrounds	17160
Creswick - Clunes	13000
Daylesford	17160
Gordon (Vic.)	14040
Avoca	10400
Beaufort	11336
Golden Plains - North	13000
Maryborough (Vic.)	12480
Maryborough Surrounds	10400
Bendigo	14560
California Gully - Eaglehawk	14560
East Bendigo - Kennington	15340
Flora Hill - Spring Gully	15080
Kangaroo Flat - Golden Square	15080
Maiden Gully	19760
Strathfieldsaye	20800
White Hills - Ascot	17160
Bendigo Surrounds - South	16640
Castlemaine	16120
Castlemaine Surrounds	14560
Heathcote	13520
Kyneton	18252
Woodend	20384
Bendigo Surrounds - North	11960
Loddon	8840
Bannockburn	20072
Golden Plains - South	16016
Winchelsea	15600
Belmont	18200
Geelong	17680
Geelong West - Hamlyn Heights	17420
Highton	18980
Lara	19240
Leopold	19500
Newcomb - Moolap	15600
Newtown (Vic.)	18720
North Geelong - Bell Park	17680
Charlemont	21840
Corio - Lovely Banks	14560
Grovedale - Mount Duneed	20280
Norlane	13208
Clifton Springs	19760
Lorne - Anglesea	20280
Portarlington	17680
Point Lonsdale - Queenscliff	20800
Torquay	26000
Barwon Heads - Armstrong Creek	21840
Ocean Grove	21840
Alexandra	13000
Euroa	13000
Kilmore - Broadford	17160
Mansfield (Vic.)	16640
Nagambie	14820
Seymour	13000
Seymour Surrounds	13780
Upper Yarra Valley	13520
Yea	15600
Benalla	13000
Benalla Surrounds	11440
Rutherglen	12636
Wangaratta	13520
Wangaratta Surrounds	13000
Beechworth	15600
Bright - Mount Beauty	15496
Chiltern - Indigo Valley	13520
Myrtleford	13000
Towong	10920
West Wodonga	15080
Yackandandah	14560
Baranduda - Leneva	20020
Wodonga	13520
Drouin	17160
Mount Baw Baw Region	13000
Trafalgar (Vic.)	15600
Warragul	16640
Alps - East	
Bairnsdale	14560
Bruthen - Omeo	13000
Lake King	
Lakes Entrance	14040
Orbost	9880
Paynesville	16120
Foster	13000
French Island	17992
Korumburra	14560
Leongatha	14040
Phillip Island	17160
Wilsons Promontory	5200
Wonthaggi - Inverloch	15496
Churchill	11960
Moe - Newborough	10920
Morwell	11180
Yallourn North - Glengarry	13000
Traralgon - East	13000
Traralgon - West	15600
Alps - West	1040
Longford - Loch Sport	10400
Maffra	13000
Rosedale	12272
Sale	14560
Yarram	12480
Brunswick East	21892
Brunswick West	18980
Pascoe Vale South	21892
Brunswick - North	22412
Brunswick - South	23400
Coburg - East	21632
Coburg - West	23400
Alphington - Fairfield	19812
Thornbury	20592
Northcote - East	23972
Northcote - West	25480
Ascot Vale	19240
Flemington	16848
Moonee Ponds	20800
Essendon (West) - Aberfeldie	19864
Essendon - East	19292
Carlton	18980
Docklands	21372
East Melbourne	24960
Flemington Racecourse	20852
Kensington (Vic.)	21632
Parkville	20592
South Yarra - West	23764
West Melbourne - Industrial	
Melbourne CBD - East	19500
Melbourne CBD - North	18772
Melbourne CBD - West	19552
North Melbourne	19812
Royal Botanic Gardens Victoria	
Southbank (West) - South Wharf	22360
Southbank - East	21216
West Melbourne - Residential	20280
Albert Park	25636
Elwood	21580
Port Melbourne	27144
St Kilda East	19968
Port Melbourne Industrial	30420
South Melbourne	21892
St Kilda - Central	19812
St Kilda - West	20384
Armadale	21892
Prahran - Windsor	21892
Toorak	25480
South Yarra - North	22152
South Yarra - South	20540
Abbotsford	22100
Carlton North - Princes Hill	28132
Collingwood	22100
Fitzroy	23452
Fitzroy North	25012
Clifton Hill - Alphington	26000
Richmond (South) - Cremorne	26416
Richmond - North	20800
Ashburton (Vic.)	23660
Balwyn	23972
Balwyn North	28808
Camberwell	25480
Glen Iris - East	27144
Hawthorn East	21372
Kew East	24232
Surrey Hills (West) - Canterbury	24700
Hawthorn - North	20852
Hawthorn - South	20800
Kew - South	26052
Kew - West	23712
Bulleen	23920
Doncaster	23400
Templestowe	26676
Templestowe Lower	24700
Doncaster East - North	25844
Doncaster East - South	23920
Blackburn	21840
Blackburn South	21320
Box Hill	20332
Box Hill North	22776
Burwood (Vic.)	20852
Burwood East	22828
Surrey Hills (East) - Mont Albert	24024
Beaumaris	31824
Brighton (Vic.)	31200
Brighton East	31304
Highett (West) - Cheltenham	23400
Hampton	24492
Sandringham - Black Rock	25272
Bentleigh - McKinnon	25532
Carnegie	20540
Caulfield - North	22152
Caulfield - South	25116
Elsternwick	22152
Hughesdale	21632
Murrumbeena	20280
Ormond - Glen Huntly	20332
Bentleigh East - North	26416
Bentleigh East - South	25480
Aspendale Gardens - Waterways	26520
Braeside	26208
Carrum - Patterson Lakes	21840
Chelsea - Bonbeach	19812
Chelsea Heights	21424
Highett (East) - Cheltenham	21892
Edithvale - Aspendale	22880
Mentone	20384
Moorabbin - Heatherton	22880
Moorabbin Airport	25272
Mordialloc - Parkdale	20800
Malvern - Glen Iris	21320
Malvern East	21892
Bundoora - East	20020
Greensborough	20800
Heidelberg - Rosanna	20852
Heidelberg West	18356
Ivanhoe	22880
Ivanhoe East - Eaglemont	23452
Montmorency - Briar Hill	21580
Viewbank - Yallambie	20800
Watsonia	20280
Kingsbury	19188
Preston - East	20332
Preston - West	20800
Reservoir - North East	18616
Reservoir - North West	19292
Reservoir - South East	18148
Reservoir - South West	18772
Eltham	23192
Hurstbridge	21840
Kinglake	15912
Panton Hill - St Andrews	15600
Plenty - Yarrambat	24960
Research - North Warrandyte	24024
Wattle Glen - Diamond Creek	22308
Bundoora - North	19812
Bundoora - West	19760
Mill Park - North	18980
Mill Park - South	19188
Thomastown	18200
Wallan	18772
Whittlesea	19500
Epping - East	18720
Epping - South	18200
Epping (Vic.) - West	19812
South Morang - North	20800
South Morang - South	19760
Wollert	20332
Doreen - North	20800
Doreen - South	20072
Lalor - East	18200
Lalor - West	19032
Mernda - North	19656
Mernda - South	20280
Airport West	20852
Essendon Airport	
Keilor	20592
Niddrie - Essendon West	22620
Strathmore	23400
Avondale Heights	20800
Keilor East	21216
Gisborne	22360
Macedon	18772
Riddells Creek	20800
Romsey	18980
Coburg North	20852
Fawkner	19760
Gowanbrae	21996
Hadfield	19552
Glenroy - East	19188
Glenroy - West	19188
Oak Park	20852
Pascoe Vale	20800
Sunbury	19292
Diggers Rest	20592
Sunbury - South	18252
Sunbury - West	19552
Broadmeadows	17212
Campbellfield - Coolaroo	17160
Gladstone Park - Westmeadows	19292
Greenvale - Bulla	22360
Meadow Heights	17992
Melbourne Airport	13000
Tullamarine	18252
Craigieburn - Central	18200
Craigieburn - North	19292
Craigieburn - South	19500
Mickleham - Yuroke	20800
Craigieburn - North West	20592
Craigieburn - West	19812
Roxburgh Park (South) - Somerton	19500
Roxburgh Park - North	20540
Bayswater	19552
Knoxfield - Scoresby	22100
Lysterfield	22620
Rowville - Central	22100
Rowville - North	23400
Rowville - South	24492
Wantirna	22204
Wantirna South	22152
Boronia	19552
Ferntree Gully - North	19240
Ferntree Gully (South) - Upper Ferntree Gully	21060
The Basin	19032
Donvale - Park Orchards	23452
Warrandyte - Wonga Park	25012
Bayswater North	18772
Croydon Hills - Warranwood	22412
Ringwood	19812
Ringwood East	20020
Ringwood North	22672
Croydon - East	19292
Croydon - West	20748
Croydon South	21320
Forest Hill	20592
Mitcham (Vic.)	21112
Nunawading	20332
Vermont	22152
Vermont South	25792
Belgrave - Selby	20800
Chirnside Park	23036
Healesville - Yarra Glen	18200
Kilsyth	20592
Lilydale - Coldstream	19188
Monbulk - Silvan	18720
Montrose	18980
Mooroolbark	20800
Mount Dandenong - Olinda	20800
Mount Evelyn	18980
Upwey - Tecoma	19500
Wandin - Seville	18720
Yarra Valley	16380
Emerald - Cockatoo	19240
Beaconsfield - Officer	20332
Bunyip - Garfield	16172
Koo Wee Rup	16640
Pakenham - North East	17992
Pakenham - North West	19032
Pakenham - South East	17420
Pakenham - South West	19188
Berwick - North	19760
Doveton	16640
Hallam	18772
Narre Warren North	20800
Endeavour Hills - North	19188
Endeavour Hills - South	19916
Narre Warren - North East	19240
Narre Warren - South West	18720
Berwick - South East	22360
Berwick - South West	20800
Cranbourne	17784
Cranbourne South	21216
Cranbourne West	19760
Lynbrook - Lyndhurst	21632
Pearcedale - Tooradin	19240
Narre Warren South - East	22360
Narre Warren South - West	20384
Clyde North - North	21892
Clyde North - South	21320
Cranbourne East - North	20800
Cranbourne East - South	20852
Cranbourne North - East	20852
Cranbourne North - West	18460
Hampton Park - East	18460
Hampton Park - West	18200
Clarinda - Oakleigh South	20800
Clayton South	19812
Dandenong North	17732
Dingley Village	23400
Noble Park North	18252
Springvale	18512
Springvale South	18460
Noble Park - East	17212
Noble Park - West	17992
Dandenong - North	16120
Dandenong - South	17732
Keysborough - North	19812
Keysborough - South	27040
Ashwood - Chadstone	21580
Glen Waverley - East	26000
Glen Waverley - West	24024
Mount Waverley - North	25220
Mount Waverley - South	24440
Mulgrave	22360
Oakleigh - Huntingdale	21580
Wheelers Hill	25012
Clayton (North) - Notting Hill	19760
Clayton - Central	20852
Ardeer - Albion	16640
Cairnlea	20800
Delahey	18200
Keilor Downs	18720
Kings Park (Vic.)	16796
St Albans - North	17160
St Albans - South	16796
Sunshine	17680
Sunshine North	17732
Sunshine West	17992
Sydenham	19032
Taylors Lakes	21424
Deer Park	18200
Derrimut	20800
Altona	20280
Altona Meadows	17732
Altona North	20800
Newport	23920
Seabrook	18772
Williamstown	23400
Braybrook	18200
Footscray	18460
Maribyrnong	20592
Seddon - Kingsville	21528
West Footscray - Tottenham	18252
Yarraville	24024
Bacchus Marsh	17680
Melton West	17680
Rockbank - Mount Cottrell	20800
Taylors Hill	20800
Burnside	20800
Burnside Heights	21372
Caroline Springs	20852
Brookfield	18200
Cobblebank - Strathtulloh	19292
Eynesbury - Exford	19760
Fraser Rise - Plumpton	22308
Hillside	19760
Kurunjang - Toolern Vale	16692
Melton	15600
Melton South - Weir Views	16692
Hoppers Crossing - North	17732
Hoppers Crossing - South	17680
Laverton	19760
Werribee - South	18252
Point Cook - East	20852
Point Cook - South	21320
Werribee - East	16380
Werribee - West	18720
Manor Lakes - Quandong	18772
Point Cook - North East	20280
Point Cook - North West	20800
Tarneit (West) - Mount Cottrell	20020
Tarneit - Central	19760
Tarneit - North	20332
Tarneit - South	19188
Truganina - North	20904
Truganina - South East	20540
Truganina - South West	19604
Wyndham Vale - North	18200
Wyndham Vale - South	17472
