SA2_NAME16	MotorVehicles.min	occupied_private_dwellings
Warnervale - Wadalba	2	2758
Warnervale - Wadalba	3	946
Warnervale - Wadalba	4	559
Wyong		57
Wyong	0	355
Wyong	1	1406
Wyong	2	1064
Wyong	3	383
Wyong	4	215
Bathurst - East		58
Bathurst - East	0	187
Bathurst - East	1	1162
Bathurst - East	2	1740
Bathurst - East	3	638
Bathurst - East	4	402
Bathurst Surrounds		26
Bathurst Surrounds	0	28
Bathurst Surrounds	1	421
Bathurst Surrounds	2	920
Bathurst Surrounds	3	513
Bathurst Surrounds	4	455
Oberon		39
Oberon	0	62
Oberon	1	554
Oberon	2	689
Oberon	3	277
Oberon	4	171
Bathurst - South		87
Bathurst - South	0	508
Bathurst - South	1	2182
Bathurst - South	2	1147
Bathurst - South	3	316
Bathurst - South	4	137
Bathurst - West		48
Bathurst - West	0	199
Bathurst - West	1	1651
Bathurst - West	2	2154
Bathurst - West	3	774
Bathurst - West	4	411
Condobolin		37
Condobolin	0	127
Condobolin	1	762
Condobolin	2	796
Condobolin	3	354
Condobolin	4	217
Cowra		82
Cowra	0	287
Cowra	1	1474
Cowra	2	1263
Cowra	3	443
Cowra	4	211
Cowra Surrounds		37
Cowra Surrounds	0	57
Cowra Surrounds	1	619
Cowra Surrounds	2	866
Cowra Surrounds	3	359
Cowra Surrounds	4	251
Forbes		89
Forbes	0	191
Forbes	1	1296
Forbes	2	1403
Forbes	3	531
Forbes	4	297
Grenfell		25
Grenfell	0	83
Grenfell	1	489
Grenfell	2	499
Grenfell	3	248
Grenfell	4	159
Parkes (NSW)		77
Parkes (NSW)	0	280
Parkes (NSW)	1	1512
Parkes (NSW)	2	1509
Parkes (NSW)	3	455
Parkes (NSW)	4	314
Parkes Surrounds		30
Parkes Surrounds	0	62
Parkes Surrounds	1	341
Parkes Surrounds	2	390
Parkes Surrounds	3	216
Parkes Surrounds	4	162
West Wyalong		55
West Wyalong	0	89
West Wyalong	1	662
West Wyalong	2	768
West Wyalong	3	344
West Wyalong	4	223
Lithgow		121
Lithgow	0	584
Lithgow	1	2094
Lithgow	2	1516
Lithgow	3	519
Lithgow	4	315
Lithgow Surrounds		40
Lithgow Surrounds	0	83
Lithgow Surrounds	1	853
Lithgow Surrounds	2	1186
Lithgow Surrounds	3	596
Lithgow Surrounds	4	405
Mudgee		106
Mudgee	0	277
Mudgee	1	1546
Mudgee	2	1843
Mudgee	3	634
Mudgee	4	326
Mudgee Surrounds - East		37
Mudgee Surrounds - East	0	68
Mudgee Surrounds - East	1	531
Mudgee Surrounds - East	2	482
Mudgee Surrounds - East	3	200
Mudgee Surrounds - East	4	146
Mudgee Surrounds - West		82
Mudgee Surrounds - West	0	104
Mudgee Surrounds - West	1	992
Mudgee Surrounds - West	2	1485
Mudgee Surrounds - West	3	756
Mudgee Surrounds - West	4	557
Blayney		41
Blayney	0	77
Blayney	1	796
Blayney	2	1065
Blayney	3	497
Blayney	4	302
Orange		159
Orange	0	677
Orange	1	3203
Orange	2	2489
Orange	3	730
Orange	4	323
Orange - North		101
Orange - North	0	299
Orange - North	1	2506
Orange - North	2	3445
Orange - North	3	1132
Orange - North	4	557
Orange Surrounds		72
Orange Surrounds	0	87
Orange Surrounds	1	815
Orange Surrounds	2	1728
Orange Surrounds	3	844
Orange Surrounds	4	611
Grafton		146
Grafton	0	580
Grafton	1	3216
Grafton	2	2522
Grafton	3	804
Grafton	4	356
Grafton Surrounds		122
Grafton Surrounds	0	95
Grafton Surrounds	1	1571
Grafton Surrounds	2	2390
Grafton Surrounds	3	1052
Grafton Surrounds	4	628
Maclean - Yamba - Iluka		152
Maclean - Yamba - Iluka	0	313
Maclean - Yamba - Iluka	1	2926
Maclean - Yamba - Iluka	2	2778
Maclean - Yamba - Iluka	3	762
Maclean - Yamba - Iluka	4	346
Bellingen		24
Bellingen	0	60
Bellingen	1	843
Bellingen	2	883
Bellingen	3	298
Bellingen	4	161
Coffs Harbour - North		137
Coffs Harbour - North	0	559
Coffs Harbour - North	1	2984
Coffs Harbour - North	2	2388
Coffs Harbour - North	3	716
Coffs Harbour - North	4	371
Coffs Harbour - South		86
Coffs Harbour - South	0	427
Coffs Harbour - South	1	1843
Coffs Harbour - South	2	1329
Coffs Harbour - South	3	429
Coffs Harbour - South	4	189
Coramba - Nana Glen - Bucca		18
Coramba - Nana Glen - Bucca	0	16
Coramba - Nana Glen - Bucca	1	287
Coramba - Nana Glen - Bucca	2	542
Coramba - Nana Glen - Bucca	3	278
Coramba - Nana Glen - Bucca	4	194
Dorrigo		35
Dorrigo	0	57
Dorrigo	1	510
Dorrigo	2	476
Dorrigo	3	193
Dorrigo	4	96
Korora - Emerald Beach		41
Korora - Emerald Beach	0	42
Korora - Emerald Beach	1	969
Korora - Emerald Beach	2	1760
Korora - Emerald Beach	3	553
Korora - Emerald Beach	4	300
Sawtell - Boambee		110
Sawtell - Boambee	0	342
Sawtell - Boambee	1	2903
Sawtell - Boambee	2	2889
Sawtell - Boambee	3	939
Sawtell - Boambee	4	534
Urunga		36
Urunga	0	80
Urunga	1	695
Urunga	2	766
Urunga	3	249
Urunga	4	149
Woolgoolga - Arrawarra		114
Woolgoolga - Arrawarra	0	204
Woolgoolga - Arrawarra	1	1965
Woolgoolga - Arrawarra	2	2023
Woolgoolga - Arrawarra	3	666
Woolgoolga - Arrawarra	4	393
Bourke - Brewarrina		64
Bourke - Brewarrina	0	151
Bourke - Brewarrina	1	393
Bourke - Brewarrina	2	316
Bourke - Brewarrina	3	122
Bourke - Brewarrina	4	93
Cobar		35
Cobar	0	108
Cobar	1	498
Cobar	2	504
Cobar	3	185
Cobar	4	110
Coonamble		44
Coonamble	0	106
Coonamble	1	461
Coonamble	2	429
Coonamble	3	190
Coonamble	4	128
Nyngan - Warren		61
Nyngan - Warren	0	109
Nyngan - Warren	1	557
Nyngan - Warren	2	588
Nyngan - Warren	3	271
Nyngan - Warren	4	163
Walgett - Lightning Ridge		59
Walgett - Lightning Ridge	0	140
Walgett - Lightning Ridge	1	651
Walgett - Lightning Ridge	2	567
Walgett - Lightning Ridge	3	198
Walgett - Lightning Ridge	4	152
Broken Hill		161
Broken Hill	0	700
Broken Hill	1	3068
Broken Hill	2	2366
Broken Hill	3	718
Broken Hill	4	297
Far West		29
Far West	0	94
Far West	1	263
Far West	2	183
Far West	3	96
Far West	4	111
Coonabarabran		71
Coonabarabran	0	136
Coonabarabran	1	982
Coonabarabran	2	1009
Coonabarabran	3	408
Coonabarabran	4	272
Dubbo - East		65
Dubbo - East	0	167
Dubbo - East	1	1216
Dubbo - East	2	1372
Dubbo - East	3	543
Dubbo - East	4	301
Dubbo - South		132
Dubbo - South	0	502
Dubbo - South	1	2743
Dubbo - South	2	2803
Dubbo - South	3	803
Dubbo - South	4	360
Dubbo - West		63
Dubbo - West	0	167
Dubbo - West	1	1312
Dubbo - West	2	1395
Dubbo - West	3	437
Dubbo - West	4	196
Dubbo Surrounds		31
Dubbo Surrounds	0	20
Dubbo Surrounds	1	295
Dubbo Surrounds	2	768
Dubbo Surrounds	3	421
Dubbo Surrounds	4	364
Gilgandra		51
Gilgandra	0	99
Gilgandra	1	495
Gilgandra	2	586
Gilgandra	3	264
Gilgandra	4	135
Narromine		42
Narromine	0	116
Narromine	1	740
Narromine	2	781
Narromine	3	326
Narromine	4	245
Wellington		63
Wellington	0	182
Wellington	1	1090
Wellington	2	988
Wellington	3	356
Wellington	4	264
Branxton - Greta - Pokolbin		40
Branxton - Greta - Pokolbin	0	81
Branxton - Greta - Pokolbin	1	1072
Branxton - Greta - Pokolbin	2	1850
Branxton - Greta - Pokolbin	3	843
Branxton - Greta - Pokolbin	4	542
Cessnock		131
Cessnock	0	533
Cessnock	1	3097
Cessnock	2	2838
Cessnock	3	1049
Cessnock	4	606
Cessnock Surrounds		45
Cessnock Surrounds	0	37
Cessnock Surrounds	1	700
Cessnock Surrounds	2	1220
Cessnock Surrounds	3	597
Cessnock Surrounds	4	521
Dungog		63
Dungog	0	87
Dungog	1	916
Dungog	2	1430
Dungog	3	608
Dungog	4	472
Kurri Kurri - Abermain		97
Kurri Kurri - Abermain	0	337
Kurri Kurri - Abermain	1	2391
Kurri Kurri - Abermain	2	2851
Kurri Kurri - Abermain	3	1118
Kurri Kurri - Abermain	4	724
Singleton		64
Singleton	0	274
Singleton	1	1819
Singleton	2	2408
Singleton	3	930
Singleton	4	530
Singleton Surrounds		20
Singleton Surrounds	0	18
Singleton Surrounds	1	303
Singleton Surrounds	2	701
Singleton Surrounds	3	384
Singleton Surrounds	4	306
Maitland		34
Maitland	0	164
Maitland	1	1016
Maitland	2	1250
Maitland	3	404
Maitland	4	255
Maitland - North		18
Maitland - North	0	57
Maitland - North	1	710
Maitland - North	2	1231
Maitland - North	3	549
Maitland - North	4	373
East Maitland - Metford		84
East Maitland - Metford	0	441
East Maitland - Metford	1	2287
East Maitland - Metford	2	2591
East Maitland - Metford	3	947
East Maitland - Metford	4	480
Rutherford (North) - Aberglasslyn		57
Rutherford (North) - Aberglasslyn	0	224
Rutherford (North) - Aberglasslyn	1	1856
Rutherford (North) - Aberglasslyn	2	2462
Rutherford (North) - Aberglasslyn	3	971
Rutherford (North) - Aberglasslyn	4	575
Rutherford (South) - Telarah		42
Rutherford (South) - Telarah	0	219
Rutherford (South) - Telarah	1	1032
Rutherford (South) - Telarah	2	1138
Rutherford (South) - Telarah	3	387
Rutherford (South) - Telarah	4	195
Tenambit - East Maitland		57
Tenambit - East Maitland	0	215
Tenambit - East Maitland	1	1549
Tenambit - East Maitland	2	1534
Tenambit - East Maitland	3	471
Tenambit - East Maitland	4	255
Thornton - Millers Forest		39
Thornton - Millers Forest	0	97
Thornton - Millers Forest	1	1172
Thornton - Millers Forest	2	2647
Thornton - Millers Forest	3	874
Thornton - Millers Forest	4	506
Anna Bay		24
Anna Bay	0	54
Anna Bay	1	957
Anna Bay	2	967
Anna Bay	3	314
Anna Bay	4	206
Lemon Tree Passage - Tanilba Bay		34
Lemon Tree Passage - Tanilba Bay	0	91
Lemon Tree Passage - Tanilba Bay	1	1024
Lemon Tree Passage - Tanilba Bay	2	1092
Lemon Tree Passage - Tanilba Bay	3	338
Lemon Tree Passage - Tanilba Bay	4	196
Nelson Bay Peninsula		133
Nelson Bay Peninsula	0	447
Nelson Bay Peninsula	1	3808
Nelson Bay Peninsula	2	3448
Nelson Bay Peninsula	3	898
Nelson Bay Peninsula	4	445
Raymond Terrace		97
Raymond Terrace	0	366
Raymond Terrace	1	2176
Raymond Terrace	2	1889
Raymond Terrace	3	668
Raymond Terrace	4	344
Seaham - Woodville		17
Seaham - Woodville	0	15
Seaham - Woodville	1	229
Seaham - Woodville	2	730
Seaham - Woodville	3	389
Seaham - Woodville	4	430
Tea Gardens - Hawks Nest		40
Tea Gardens - Hawks Nest	0	88
Tea Gardens - Hawks Nest	1	1099
Tea Gardens - Hawks Nest	2	1003
Tea Gardens - Hawks Nest	3	258
Tea Gardens - Hawks Nest	4	115
Williamtown - Medowie - Karuah		54
Williamtown - Medowie - Karuah	0	97
Williamtown - Medowie - Karuah	1	1349
Williamtown - Medowie - Karuah	2	2080
Williamtown - Medowie - Karuah	3	910
Williamtown - Medowie - Karuah	4	661
Muswellbrook		81
Muswellbrook	0	294
Muswellbrook	1	1689
Muswellbrook	2	1650
Muswellbrook	3	551
Muswellbrook	4	280
Muswellbrook Surrounds		24
Muswellbrook Surrounds	0	46
Muswellbrook Surrounds	1	389
Muswellbrook Surrounds	2	539
Muswellbrook Surrounds	3	261
Muswellbrook Surrounds	4	192
Scone		37
Scone	0	129
Scone	1	844
Scone	2	906
Scone	3	298
Scone	4	145
Scone Surrounds		54
Scone Surrounds	0	107
Scone Surrounds	1	958
Scone Surrounds	2	1170
Scone Surrounds	3	542
Scone Surrounds	4	324
Dapto - Avondale		107
Dapto - Avondale	0	580
Dapto - Avondale	1	3123
Dapto - Avondale	2	3403
Dapto - Avondale	3	1203
Dapto - Avondale	4	709
Horsley - Kembla Grange		34
Horsley - Kembla Grange	0	78
Horsley - Kembla Grange	1	874
Horsley - Kembla Grange	2	1838
Horsley - Kembla Grange	3	660
Horsley - Kembla Grange	4	411
Unanderra - Mount Kembla		77
Unanderra - Mount Kembla	0	314
Unanderra - Mount Kembla	1	1565
Unanderra - Mount Kembla	2	2095
Unanderra - Mount Kembla	3	810
Unanderra - Mount Kembla	4	501
Berkeley - Lake Heights - Cringila		91
Berkeley - Lake Heights - Cringila	0	539
Berkeley - Lake Heights - Cringila	1	1806
Berkeley - Lake Heights - Cringila	2	1701
Berkeley - Lake Heights - Cringila	3	641
Berkeley - Lake Heights - Cringila	4	362
Port Kembla - Warrawong		65
Port Kembla - Warrawong	0	616
Port Kembla - Warrawong	1	1524
Port Kembla - Warrawong	2	1044
Port Kembla - Warrawong	3	361
Port Kembla - Warrawong	4	173
Windang - Primbee		36
Windang - Primbee	0	199
Windang - Primbee	1	770
Windang - Primbee	2	517
Windang - Primbee	3	191
Windang - Primbee	4	104
Albion Park - Macquarie Pass		65
Albion Park - Macquarie Pass	0	151
Albion Park - Macquarie Pass	1	1592
Albion Park - Macquarie Pass	2	2861
Albion Park - Macquarie Pass	3	1024
Albion Park - Macquarie Pass	4	713
Albion Park Rail		37
Albion Park Rail	0	159
Albion Park Rail	1	875
Albion Park Rail	2	908
Albion Park Rail	3	357
Albion Park Rail	4	231
Kiama		43
Kiama	0	172
Kiama	1	1347
Kiama	2	1426
Kiama	3	380
Kiama	4	192
Kiama Downs - Minnamurra		7
Kiama Downs - Minnamurra	0	44
Kiama Downs - Minnamurra	1	539
Kiama Downs - Minnamurra	2	971
Kiama Downs - Minnamurra	3	329
Kiama Downs - Minnamurra	4	212
Kiama Hinterland - Gerringong		36
Kiama Hinterland - Gerringong	0	83
Kiama Hinterland - Gerringong	1	805
Kiama Hinterland - Gerringong	2	1243
Kiama Hinterland - Gerringong	3	428
Kiama Hinterland - Gerringong	4	324
Shellharbour - Flinders		65
Shellharbour - Flinders	0	179
Shellharbour - Flinders	1	1817
Shellharbour - Flinders	2	2823
Shellharbour - Flinders	3	1045
Shellharbour - Flinders	4	683
Shellharbour - Oak Flats		44
Shellharbour - Oak Flats	0	210
Shellharbour - Oak Flats	1	1363
Shellharbour - Oak Flats	2	1449
Shellharbour - Oak Flats	3	563
Shellharbour - Oak Flats	4	343
Warilla		145
Warilla	0	703
Warilla	1	3118
Warilla	2	2679
Warilla	3	825
Warilla	4	529
Balgownie - Fairy Meadow		98
Balgownie - Fairy Meadow	0	735
Balgownie - Fairy Meadow	1	2941
Balgownie - Fairy Meadow	2	2863
Balgownie - Fairy Meadow	3	949
Balgownie - Fairy Meadow	4	580
Corrimal - Tarrawanna - Bellambi		87
Corrimal - Tarrawanna - Bellambi	0	682
Corrimal - Tarrawanna - Bellambi	1	2519
Corrimal - Tarrawanna - Bellambi	2	2269
Corrimal - Tarrawanna - Bellambi	3	628
Corrimal - Tarrawanna - Bellambi	4	352
Figtree - Keiraville		68
Figtree - Keiraville	0	423
Figtree - Keiraville	1	2436
Figtree - Keiraville	2	3118
Figtree - Keiraville	3	1019
Figtree - Keiraville	4	651
Helensburgh		21
Helensburgh	0	68
Helensburgh	1	732
Helensburgh	2	1380
Helensburgh	3	472
Helensburgh	4	314
Thirroul - Austinmer - Coalcliff		44
Thirroul - Austinmer - Coalcliff	0	149
Thirroul - Austinmer - Coalcliff	1	1363
Thirroul - Austinmer - Coalcliff	2	1770
Thirroul - Austinmer - Coalcliff	3	585
Thirroul - Austinmer - Coalcliff	4	309
Woonona - Bulli - Russell Vale		59
Woonona - Bulli - Russell Vale	0	504
Woonona - Bulli - Russell Vale	1	2535
Woonona - Bulli - Russell Vale	2	3004
Woonona - Bulli - Russell Vale	3	943
Woonona - Bulli - Russell Vale	4	529
Wollongong - East		99
Wollongong - East	0	1112
Wollongong - East	1	3977
Wollongong - East	2	2033
Wollongong - East	3	378
Wollongong - East	4	191
Wollongong - West		87
Wollongong - West	0	769
Wollongong - West	1	2705
Wollongong - West	2	2028
Wollongong - West	3	646
Wollongong - West	4	307
Bulahdelah - Stroud		49
Bulahdelah - Stroud	0	45
Bulahdelah - Stroud	1	566
Bulahdelah - Stroud	2	763
Bulahdelah - Stroud	3	313
Bulahdelah - Stroud	4	214
Forster		116
Forster	0	425
Forster	1	2981
Forster	2	2148
Forster	3	582
Forster	4	225
Forster-Tuncurry Surrounds		54
Forster-Tuncurry Surrounds	0	52
Forster-Tuncurry Surrounds	1	918
Forster-Tuncurry Surrounds	2	1066
Forster-Tuncurry Surrounds	3	387
Forster-Tuncurry Surrounds	4	228
Tuncurry		65
Tuncurry	0	237
Tuncurry	1	1543
Tuncurry	2	811
Tuncurry	3	231
Tuncurry	4	101
Kempsey		138
Kempsey	0	386
Kempsey	1	1957
Kempsey	2	1763
Kempsey	3	675
Kempsey	4	422
Kempsey Surrounds		81
Kempsey Surrounds	0	117
Kempsey Surrounds	1	1110
Kempsey Surrounds	2	1363
Kempsey Surrounds	3	612
Kempsey Surrounds	4	338
Macksville - Scotts Head		51
Macksville - Scotts Head	0	116
Macksville - Scotts Head	1	793
Macksville - Scotts Head	2	747
Macksville - Scotts Head	3	226
Macksville - Scotts Head	4	120
Nambucca Heads		79
Nambucca Heads	0	277
Nambucca Heads	1	1594
Nambucca Heads	2	838
Nambucca Heads	3	247
Nambucca Heads	4	107
Nambucca Heads Surrounds		68
Nambucca Heads Surrounds	0	77
Nambucca Heads Surrounds	1	994
Nambucca Heads Surrounds	2	1216
Nambucca Heads Surrounds	3	430
Nambucca Heads Surrounds	4	284
South West Rocks		40
South West Rocks	0	91
South West Rocks	1	1034
South West Rocks	2	899
South West Rocks	3	252
South West Rocks	4	102
Lord Howe Island		3
Lord Howe Island	0	33
Lord Howe Island	1	83
Lord Howe Island	2	29
Lord Howe Island	3	3
Laurieton - Bonny Hills		372
Laurieton - Bonny Hills	0	277
Laurieton - Bonny Hills	1	2900
