SA2_NAME21	medianTotalHouseholdIncome
Branxton - Greta - Pokolbin	110656
Cessnock	65416
Cessnock Surrounds	94328
Dungog	77220
Kurri Kurri - Abermain	76128
Singleton	100620
Singleton Surrounds	105768
Maitland	91312
Maitland - North	118820
East Maitland - Metford	82680
Rutherford (North) - Aberglasslyn	95420
Rutherford (South) - Telarah	76440
Tenambit - East Maitland	74152
Thornton - Millers Forest	114868
Anna Bay	66716
Lemon Tree Passage - Tanilba Bay	57772
Nelson Bay Peninsula	65884
Raymond Terrace	66144
Seaham - Woodville	121004
Tea Gardens - Hawks Nest	53872
Williamtown - Medowie - Karuah	91676
Muswellbrook	83356
Muswellbrook Surrounds	90532
Scone	79352
Scone Surrounds	70824
Dapto - Avondale	75140
Horsley - Kembla Grange	118872
Port Kembla Industrial	
Unanderra - Mount Kembla	99840
Berkeley - Lake Heights - Cringila	65052
Port Kembla - Warrawong	57616
Windang - Primbee	53872
Illawarra Catchment Reserve	168948
Albion Park - Macquarie Pass	108576
Albion Park Rail	73372
Kiama	82628
Kiama Downs - Minnamurra	106756
Kiama Hinterland - Gerringong	103220
Shellharbour - Flinders	110604
Shellharbour - Oak Flats	76856
Warilla	61932
Balgownie - Fairy Meadow	85020
Corrimal - Tarrawanna - Bellambi	74412
Figtree - Keiraville	100776
Helensburgh	132184
Thirroul - Austinmer - Coalcliff	125996
Woonona - Bulli - Russell Vale	102336
Wollongong - East	82056
Wollongong - West	82940
Bulahdelah - Stroud	61828
Forster	52780
Forster-Tuncurry Surrounds	59384
Tuncurry	44408
Kempsey	56212
Kempsey Surrounds	60320
Macksville - Scotts Head	51896
Nambucca Heads	44200
Nambucca Heads Surrounds	57772
South West Rocks	51844
Lord Howe Island	88348
Laurieton - Bonny Hills	56628
Port Macquarie - West	62036
Port Macquarie Surrounds	69368
Wauchope	70460
Port Macquarie - East	72592
Port Macquarie - South	72020
Gloucester	55588
Old Bar - Manning Point - Red Head	64636
Taree	53092
Taree Surrounds	55588
Wingham	57460
Albury - East	93184
Albury - North	69160
Albury - South	74828
Albury Surrounds	78936
Lavington	59176
Hay	64272
Wentworth - Buronga	72072
Wentworth-Balranald Region	73008
Corowa	58760
Corowa Surrounds	64896
Deniliquin	62348
Deniliquin Surrounds	62816
Moama	70096
Tocumwal - Finley - Jerilderie	59592
Armidale	74464
Armidale Surrounds - North	63856
Armidale Surrounds - South	72904
Walcha	62972
Glen Innes	48568
Inverell	61724
Inverell Surrounds - East	54964
Inverell Surrounds - West	53768
Tenterfield	46020
Moree	77688
Moree Surrounds	84604
Narrabri	81016
Narrabri Surrounds	74568
Gunnedah	79820
Gunnedah Surrounds	82420
Quirindi	60580
Tamworth - East	71916
Tamworth - North	78676
Tamworth - West	64116
Tamworth Surrounds	74412
Belmont - Bennetts Green	79976
Belmont South - Blacksmiths	64480
Charlestown - Dudley	94016
Glendale - Cardiff - Hillsborough	94536
Mount Hutton - Windale	63492
Redhead	83096
Swansea - Caves Beach	73788
Valentine - Eleebana	114452
Warners Bay - Boolaroo	85696
Bolton Point - Teralba	76440
Bonnells Bay - Silverwater	77532
Edgeworth - Cameron Park	105716
Morisset - Cooranbong	71656
Toronto - Awaba	72800
Wangi Wangi - Rathmines	80756
West Wallsend - Barnsley - Killingworth	91988
Adamstown - Kotara	107692
Beresfield - Hexham	64324
Hamilton - Broadmeadow	86788
Lambton - New Lambton	96876
Maryland - Fletcher - Minmi	112840
Mayfield - Warabrook	83408
Merewether - The Junction	118404
Newcastle - Cooks Hill	100308
Newcastle Port - Kooragang	97500
Shortland - Jesmond	68900
Stockton - Fullerton Cove	73788
Wallsend - Elermore Vale	76440
Waratah - North Lambton	85228
Wickham - Carrington - Tighes Hill	99580
Ballina	59800
Ballina Surrounds	81380
Bangalow	109512
Brunswick Heads - Ocean Shores	76024
Byron Bay	90896
Evans Head	58604
Lennox Head - Skennars Head	105820
Mullumbimby	70928
Casino	56836
Casino Surrounds	59644
Goonellabah	68900
Kyogle	52676
Lismore	61152
Lismore Surrounds	76856
Kingscliff - Fingal Head	79924
Murwillumbah	60008
Murwillumbah Surrounds	72124
Pottsville	76232
Tweed Heads	61464
Banora Point	68432
Terranora - North Tumbulgum	109200
Tweed Heads South	49348
Griffith (NSW)	88348
Griffith Surrounds	84760
Leeton	74204
Narrandera	61568
Tumbarumba	69264
Tumut	64688
Tumut Surrounds	72280
Cootamundra	54808
Gundagai	70252
Junee	72124
Temora	60736
Wagga Wagga - East	88348
Wagga Wagga - North	106184
Wagga Wagga - South	83668
Wagga Wagga - West	66508
Wagga Wagga Surrounds	90896
Berry - Kangaroo Valley	74308
Callala Bay - Currarong	64324
Culburra Beach	62140
Ettrema - Sassafras - Budawang	60632
Huskisson - Vincentia	78052
North Nowra - Bomaderry	70876
Nowra	67808
St Georges Basin - Erowal Bay	57096
Sussex Inlet - Berrara	47268
Tomerong - Wandandian - Woollamia	89232
Ulladulla	60684
Ulladulla Surrounds	59488
Bowral	85800
Hill Top - Colo Vale	100724
Mittagong	85124
Moss Vale - Berrima	80704
Robertson - Fitzroy Falls	99528
Southern Highlands	81848
Baulkham Hills - East	124228
Baulkham Hills (West) - Bella Vista	148044
Glenhaven	129532
West Pennant Hills	167284
Castle Hill - Central	122772
Castle Hill - East	104728
Castle Hill - North	141492
Castle Hill - South	129064
Castle Hill - West	174772
Cherrybrook	152048
Kellyville - East	158652
Kellyville - West	154180
Dural - Kenthurst - Wisemans Ferry	134940
Galston - Laughtondale	122928
Bilpin - Colo - St Albans	87776
Kurrajong Heights - Ebenezer	119132
Pitt Town - McGraths Hill	121680
Box Hill - Nelson	154752
North Kellyville	162240
Rouse Hill - Beaumont Hills	166712
Blacktown (East) - Kings Park	91156
Blacktown (North) - Marayong	92092
Doonside - Woodcroft	104208
Lalor Park - Kings Langley	102492
Blacktown - South	92352
Blacktown - West	96564
Seven Hills - Prospect	101920
Toongabbie - West	107172
Glenwood	159536
Acacia Gardens	145392
Quakers Hill	124800
Kellyville Ridge - The Ponds	164528
Marsden Park - Shanes Park	141908
Riverstone	118144
Schofields (West) - Colebee	163280
Schofields - East	139464
Stanhope Gardens - Parklea	148720
Bidwill - Hebersham - Emerton	63232
Glendenning - Dean Park	107796
Hassall Grove - Plumpton	109824
Lethbridge Park - Tregear	73372
Mount Druitt - Whalan	72384
Prospect Reservoir	84448
Rooty Hill - Minchinbury	106600
Banksmeadow	115700
Botany	123396
Pagewood - Hillsdale - Daceyville	94016
Port Botany Industrial	129948
Sydney Airport	143000
Eastlakes	73372
Mascot	117156
Petersham - Stanmore	119756
Sydenham - Tempe - St Peters	136188
Marrickville - North	122616
Marrickville - South	104936
Darlinghurst	118508
Erskineville - Alexandria	146900
Glebe - Forest Lodge	108160
Potts Point - Woolloomooloo	106132
Surry Hills	120016
Camperdown - Darlington	126880
Chippendale	83512
Newtown (NSW)	120900
Pyrmont	125944
Redfern	110032
Rosebery - Beaconsfield	123032
Sydney (North) - Millers Point	127764
Sydney (South) - Haymarket	109616
Ultimo	93860
Waterloo	105456
Zetland	113984
Bondi - Tamarama - Bronte	153452
Bondi Beach - North Bondi	156676
Bondi Junction - Waverly	133432
Centennial Park	
Dover Heights	147056
Paddington - Moore Park	146120
Rose Bay - Vaucluse - Watsons Bay	180388
Woollahra	157092
Bellevue Hill	171652
Double Bay - Darling Point	151892
Kensington (NSW)	110084
Kingsford	98540
Maroubra - North	125580
Maroubra - South	98436
Maroubra - West	111696
Randwick - North	124956
Randwick - South	127400
Coogee - Clovelly	160784
Malabar - La Perouse	115180
Matraville - Chifley	110864
South Coogee	109460
Bass Hill - Georges Hall	73320
Chullora	115336
Condell Park	84604
Padstow	98748
Revesby	100464
Yagoona - Birrong	75556
Bankstown - North	68744
Bankstown - South	70460
Greenacre - North	74308
Greenacre - South	76284
Panania (North) - Milperra	107328
Panania (South) - Picnic Point	112632
Belmore - Belfield	79300
Punchbowl	71968
Roselands	88608
Lakemba	63804
Wiley Park	64896
Campsie - North	77532
Campsie - South	71604
Canterbury - South	93600
Earlwood	112476
Kingsgrove - North	95732
Narwee - Beverly Hills	85592
Oatley - Hurstville Grove	126776
Peakhurst - Lugarno	108732
Riverwood	62816
South Hurstville - Blakehurst	109044
Hurstville - Central	89284
Hurstville - North	96616
Mortdale - Oatley	111852
Penshurst	87828
Kingsgrove (South) - Bardwell Park	105404
Kogarah	101868
Kogarah Bay - Carlton - Allawah	101608
Monterey - Brighton-le-Sands - Kyeemagh	85644
Rockdale - Banksia	99320
Sans Souci - Ramsgate	93496
Arncliffe - Bardwell Valley	107484
Bexley - North	101348
Bexley - South	93496
Wolli Creek	112320
Concord - Mortlake - Cabarita	124176
Drummoyne - Rodd Point	143208
Five Dock - Abbotsford	121316
Concord West - North Strathfield	124020
Rhodes	113516
Balmain	163748
Lilyfield - Rozelle	159068
Annandale (NSW)	139204
Leichhardt	141492
Canterbury (North) - Ashbury	108784
Croydon Park - Enfield	95888
Dulwich Hill - Lewisham	112424
Haberfield - Summer Hill	123604
Homebush	105924
Strathfield South	106340
Ashfield - North	98176
Ashfield - South	99736
Burwood (NSW)	86424
Croydon	110292
Strathfield - East	111020
Strathfield - West	141752
Chatswood (West) - Lane Cove North	125580
St Leonards - Naremburn	142896
Artarmon	125840
Castle Cove - Northbridge	207324
Chatswood - East	110396
Greenwich - Riverview	190424
Lane Cove	137696
Willoughby	149760
Asquith - Mount Colah	127400
Berowra - Brooklyn - Cowan	129844
Normanhurst - Thornleigh - Westleigh	144612
Hornsby - East	94484
Hornsby - West	113360
Wahroonga (West) - Waitara	112060
Gordon - Killara	137280
Lindfield - Roseville	162500
Pymble	177528
St Ives	154180
Turramurra	151684
Wahroonga (East) - Warrawee	168116
Cremorne - Cammeray	139828
Crows Nest - Waverton	135980
Neutral Bay - Kirribilli	122928
North Sydney - Lavender Bay	140868
Mosman - North	146744
Mosman - South	154232
Balgowlah - Clontarf - Seaforth	177268
Manly - Fairlight	165620
Avalon - Palm Beach	132444
Bayview - Elanora Heights	133120
Newport - Bilgola	135564
Mona Vale - Warriewood (North)	118404
North Narrabeen - Warriewood (South)	143208
Beacon Hill - Narraweena	127140
Cromer	123708
Forestville - Killarney Heights	145288
Freshwater - Brookvale	141648
Manly Vale - Allambie Heights	142324
Terrey Hills - Duffys Forest	150748
Belrose	135252
Collaroy - Collaroy Plateau	135252
Dee Why (South) - North Curl Curl	132600
Dee Why - North	107588
Frenchs Forest - Oxford Falls	163384
Narrabeen - Wheeler Heights	103896
Camden - Ellis Lane	106756
Currans Hill	112840
Elderslie - Narellan	113828
Harrington Park	151476
Mount Annan	124540
Spring Farm	124956
Bradbury - Wedderburn	80652
Campbelltown - Woodbine	80444
Claymore - Eagle Vale - Raby	93288
Holsworthy Military Area	143000
Leumeah - Minto Heights	82992
Minto - St Andrews	89804
Rosemeadow - Glen Alpine	86476
Denham Court - Bardia	126724
Glenfield	107640
Ingleburn	86892
Macquarie Fields	71656
Bargo	95732
Douglas Park - Appin	129168
Picton - Tahmoor - Buxton	98072
The Oaks - Oakdale	119392
Blackheath - Megalong Valley	68484
Blaxland - Warrimoo - Lapstone	119288
Blue Mountains - North	71500
Katoomba - Leura	64376
Lawson - Hazelbrook - Linden	91260
Springwood - Winmalee	106236
Wentworth Falls	79456
Blue Mountains - South	46800
Cambridge Park	93912
Emu Plains - Leonay	110344
Glenmore Park - Regentville	126100
Jamisontown - South Penrith	91312
Kingswood - Werrington	88764
Mulgoa - Luddenham - Orchard Hills	140348
Penrith	72644
Warragamba - Silverdale	121160
Cranebrook - Castlereagh	110136
Jordan Springs - Llandilo	127192
Richmond - Clarendon	82524
Windsor - Bligh Park	93860
Yarramundi - Londonderry	118092
Erskine Park	122148
St Clair	107484
Colyton - Oxley Park	81224
St Marys - North St Marys	72540
Rookwood Cemetery	97448
Auburn - Central	81328
Auburn - North	77636
Auburn - South	78884
Berala	80080
Lidcombe	98072
Regents Park	73684
Silverwater - Newington	118144
Wentworth Point - Sydney Olympic Park	104104
Ermington - Rydalmere	101816
Oatlands - Dundas Valley	95576
Carlingford - East	111436
Carlingford - West	109252
Chester Hill - Sefton	73580
Fairfield - East	61724
Granville - Clyde	82420
Guildford - South Granville	63596
Guildford West - Merrylands West	75816
Smithfield Industrial	84500
Yennora Industrial	58500
Greystanes - South	100256
Merrylands - Holroyd	75972
Pemulwuy - Greystanes (North)	121628
South Wentworthville	89804
North Parramatta	96824
North Rocks	124748
Northmead	107900
Toongabbie - Constitution Hill	104624
Winston Hills	125892
Pendle Hill - Girraween	106964
Wentworthville - Westmead	113152
Parramatta - North	111748
Parramatta - South	101244
Rosehill - Harris Park	91364
Pennant Hills - Cheltenham	144768
Epping (East) - North Epping	124020
Epping (NSW) - West	116376
Gladesville - Huntleys Point	120380
Hunters Hill - Woolwich	175136
Macquarie Park - Marsfield	100048
North Ryde - East Ryde	126828
West Ryde - Meadowbank	104988
Putney	158912
Denistone	133276
Eastwood	101556
Ryde - North	98228
Ryde - South	112216
Ashcroft - Busby - Miller	53404
Austral - Greendale	106444
Badgerys Creek	108316
Cecil Hills	125268
Green Valley	92300
Hinchinbrook	106028
Hoxton Park - Carnes Hill - Horningsea Park	116896
West Hoxton - Middleton Grange	125424
Cobbitty - Bringelly	118196
Gledswood Hills - Gregory Hills	132652
Leppington - Catherine Field	118092
Oran Park	122148
Bonnyrigg Heights - Bonnyrigg	81692
Bossley Park - Abbotsbury	90428
Cabramatta - Lansvale	63232
Cabramatta West - Mount Pritchard	74880
Canley Vale - Canley Heights	73268
Edensor Park	94484
Fairfield	56524
Fairfield - West	71396
Greenfield Park - Prairiewood	76804
Horsley Park - Kemps Creek	123344
Smithfield - Wetherill Park	71240
St Johns Park - Wakeley	81120
Wetherill Park Industrial	55224
Casula	89960
Chipping Norton - Moorebank	110240
Holsworthy - Wattle Grove	128076
Lurnea - Cartwright	59072
Warwick Farm	58240
Edmondson Park	133224
Liverpool - East	69940
Liverpool - West	64168
Prestons	120068
Gymea - Grays Point	126256
Miranda - Yowie Bay	104260
Sylvania - Taren Point	104884
Caringbah	98488
Caringbah South	141544
Cronulla - Kurnell - Bundeena	109460
Lilli Pilli - Port Hacking - Dolans Bay	181012
Woolooware - Burraneer	133588
Heathcote - Waterfall	116428
Illawong - Alfords Point	147160
Menai - Lucas Heights - Woronora	139984
Oyster Bay - Como - Jannali	142740
Royal National Park	97500
Sutherland - Kirrawee	104520
Engadine	119496
Loftus - Yarrawarrah	131976
Woronora Heights	164008
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Alfredton	101504
Ballarat	81796
Buninyong	100204
Delacombe	84604
Smythes Creek	107380
Wendouree - Miners Rest	61932
Ballarat East - Warrenheip	62868
Ballarat North - Invermay	85488
Canadian - Mount Clear	72592
Sebastopol - Redan	53040
Bacchus Marsh Surrounds	90012
Creswick - Clunes	64376
Daylesford	69836
Gordon (Vic.)	94276
Avoca	51220
Beaufort	62036
Golden Plains - North	75660
Maryborough (Vic.)	45552
Maryborough Surrounds	49712
Bendigo	65884
California Gully - Eaglehawk	63596
East Bendigo - Kennington	73216
Flora Hill - Spring Gully	76180
Kangaroo Flat - Golden Square	64376
Maiden Gully	114556
Strathfieldsaye	115284
White Hills - Ascot	87828
Bendigo Surrounds - South	106080
Castlemaine	62400
Castlemaine Surrounds	68484
Heathcote	57980
Kyneton	88140
Woodend	109876
Bendigo Surrounds - North	75608
Loddon	53404
Bannockburn	112268
Golden Plains - South	98696
Winchelsea	95940
Belmont	78520
Geelong	80184
Geelong West - Hamlyn Heights	89388
Highton	109772
Lara	102232
Leopold	82628
Newcomb - Moolap	60372
Newtown (Vic.)	108784
North Geelong - Bell Park	72072
Charlemont	103376
Corio - Lovely Banks	63960
Grovedale - Mount Duneed	92508
Norlane	48152
Clifton Springs	74048
Lorne - Anglesea	87568
Portarlington	59228
Point Lonsdale - Queenscliff	79092
Torquay	118612
Barwon Heads - Armstrong Creek	114452
Ocean Grove	97864
Alexandra	59020
Euroa	58916
Kilmore - Broadford	81848
Mansfield (Vic.)	69212
Nagambie	67236
Seymour	60580
Seymour Surrounds	98800
Upper Yarra Valley	46800
Yea	63544
Benalla	59384
Benalla Surrounds	70876
Rutherglen	69888
Wangaratta	64584
Wangaratta Surrounds	78052
Beechworth	74568
Bright - Mount Beauty	72644
Chiltern - Indigo Valley	77636
Myrtleford	63752
Towong	66560
West Wodonga	76440
Yackandandah	95316
Baranduda - Leneva	111436
Wodonga	63128
Drouin	75504
Mount Baw Baw Region	75712
Trafalgar (Vic.)	75504
Warragul	82680
Alps - East	
Bairnsdale	62088
Bruthen - Omeo	68796
Lake King	
Lakes Entrance	52728
Orbost	48152
Paynesville	55692
Foster	57720
French Island	52728
Korumburra	71968
Leongatha	68380
Phillip Island	61100
Wilsons Promontory	69316
Wonthaggi - Inverloch	60008
Churchill	73268
Moe - Newborough	52884
Morwell	48984
Yallourn North - Glengarry	86112
Traralgon - East	72072
Traralgon - West	85020
Alps - West	36348
Longford - Loch Sport	56108
Maffra	68848
Rosedale	77324
Sale	69212
Yarram	52624
Brunswick East	108524
Brunswick West	92872
Pascoe Vale South	116740
Brunswick - North	107224
Brunswick - South	110552
Coburg - East	101088
Coburg - West	113672
Alphington - Fairfield	109824
Thornbury	102856
Northcote - East	117052
Northcote - West	120536
Ascot Vale	113984
Flemington	81692
Moonee Ponds	109772
Essendon (West) - Aberfeldie	114140
Essendon - East	106860
Carlton	67028
Docklands	101712
East Melbourne	121940
Flemington Racecourse	113256
Kensington (Vic.)	115232
Parkville	98020
South Yarra - West	117468
West Melbourne - Industrial	
Melbourne CBD - East	78572
Melbourne CBD - North	56628
Melbourne CBD - West	75192
North Melbourne	89336
Royal Botanic Gardens Victoria	364000
Southbank (West) - South Wharf	106808
Southbank - East	97760
West Melbourne - Residential	92768
Albert Park	119756
Elwood	108836
Port Melbourne	122044
St Kilda East	103376
Port Melbourne Industrial	125164
South Melbourne	109356
St Kilda - Central	92976
St Kilda - West	96148
Armadale	114764
Prahran - Windsor	109096
Toorak	131976
South Yarra - North	106184
South Yarra - South	104052
Abbotsford	114244
Carlton North - Princes Hill	122460
Collingwood	110760
Fitzroy	114088
Fitzroy North	119600
Clifton Hill - Alphington	131508
Richmond (South) - Cremorne	134004
Richmond - North	104468
Ashburton (Vic.)	142636
Balwyn	104884
Balwyn North	122200
Camberwell	128544
Glen Iris - East	151528
Hawthorn East	115856
Kew East	129220
Surrey Hills (West) - Canterbury	140868
Hawthorn - North	119600
Hawthorn - South	106860
Kew - South	134004
Kew - West	127868
Bulleen	94224
Doncaster	82940
Templestowe	112476
Templestowe Lower	99788
Doncaster East - North	100568
Doncaster East - South	86112
Blackburn	106600
Blackburn South	96772
Box Hill	74932
Box Hill North	99840
Burwood (Vic.)	81328
Burwood East	83720
Surrey Hills (East) - Mont Albert	124176
Beaumaris	136344
Brighton (Vic.)	141336
Brighton East	141440
Highett (West) - Cheltenham	119132
Hampton	125580
Sandringham - Black Rock	122512
Bentleigh - McKinnon	116480
Carnegie	97396
Caulfield - North	113568
Caulfield - South	119028
Elsternwick	112892
Hughesdale	106964
Murrumbeena	108628
Ormond - Glen Huntly	102856
Bentleigh East - North	117000
Bentleigh East - South	112996
Aspendale Gardens - Waterways	122096
Braeside	48516
Carrum - Patterson Lakes	96356
Chelsea - Bonbeach	89336
Chelsea Heights	97084
Highett (East) - Cheltenham	96356
Edithvale - Aspendale	115596
Mentone	98228
Moorabbin - Heatherton	106392
Moorabbin Airport	
Mordialloc - Parkdale	108680
Malvern - Glen Iris	122928
Malvern East	124072
Bundoora - East	88660
Greensborough	108056
Heidelberg - Rosanna	109304
Heidelberg West	84136
Ivanhoe	118560
Ivanhoe East - Eaglemont	151528
Montmorency - Briar Hill	107536
Viewbank - Yallambie	105300
Watsonia	101972
Kingsbury	89804
Preston - East	92924
Preston - West	102440
Reservoir - North East	80288
Reservoir - North West	74984
Reservoir - South East	72852
Reservoir - South West	90636
Eltham	128128
Hurstbridge	112736
Kinglake	94068
Panton Hill - St Andrews	117208
Plenty - Yarrambat	132808
Research - North Warrandyte	147212
Wattle Glen - Diamond Creek	129792
Bundoora - North	95316
Bundoora - West	73996
Mill Park - North	93496
Mill Park - South	85644
Thomastown	63700
Wallan	104104
Whittlesea	96460
Epping - East	87100
Epping - South	75036
Epping (Vic.) - West	96096
South Morang - North	116584
South Morang - South	98748
Wollert	102908
Doreen - North	112996
Doreen - South	110240
Lalor - East	63648
Lalor - West	75400
Mernda - North	98644
Mernda - South	109668
Airport West	91572
Essendon Airport	
Keilor	94640
Niddrie - Essendon West	116428
Strathmore	126880
Avondale Heights	82524
Keilor East	99476
Gisborne	120172
Macedon	127764
Riddells Creek	112112
Romsey	104208
Coburg North	102960
Fawkner	74672
Gowanbrae	112424
Hadfield	79976
Glenroy - East	79352
Glenroy - West	97188
Oak Park	114608
Pascoe Vale	104156
Sunbury	109512
Diggers Rest	104468
Sunbury - South	89804
Sunbury - West	103324
Broadmeadows	60944
Campbellfield - Coolaroo	57408
Gladstone Park - Westmeadows	83200
Greenvale - Bulla	117000
Meadow Heights	66248
Melbourne Airport	74724
Tullamarine	73008
Craigieburn - Central	79196
Craigieburn - North	101816
Craigieburn - South	95420
Mickleham - Yuroke	103064
Craigieburn - North West	97552
Craigieburn - West	91104
Roxburgh Park (South) - Somerton	85384
Roxburgh Park - North	84188
Bayswater	83720
Knoxfield - Scoresby	101556
Lysterfield	143312
Rowville - Central	108316
Rowville - North	118820
Rowville - South	122876
Wantirna	97916
Wantirna South	94692
Boronia	83668
Ferntree Gully - North	83512
Ferntree Gully (South) - Upper Ferntree Gully	101920
The Basin	106548
Donvale - Park Orchards	118768
Warrandyte - Wonga Park	144508
Bayswater North	93600
Croydon Hills - Warranwood	123604
Ringwood	86320
Ringwood East	101140
Ringwood North	121160
Croydon - East	81432
Croydon - West	88140
Croydon South	98176
Forest Hill	86216
Mitcham (Vic.)	105560
Nunawading	100776
Vermont	106184
Vermont South	101088
Belgrave - Selby	117156
Chirnside Park	108368
Healesville - Yarra Glen	82888
Kilsyth	86008
Lilydale - Coldstream	92768
Monbulk - Silvan	97344
Montrose	108888
Mooroolbark	103584
Mount Dandenong - Olinda	109304
Mount Evelyn	106340
Upwey - Tecoma	111696
Wandin - Seville	107432
Yarra Valley	74828
Emerald - Cockatoo	113152
Beaconsfield - Officer	111592
Bunyip - Garfield	98644
Koo Wee Rup	94796
Pakenham - North East	85852
Pakenham - North West	98124
Pakenham - South East	64220
Pakenham - South West	93756
Berwick - North	98020
Doveton	65624
Hallam	77792
Narre Warren North	138268
Endeavour Hills - North	94796
Endeavour Hills - South	90116
Narre Warren - North East	99840
Narre Warren - South West	83980
Berwick - South East	122772
Berwick - South West	113100
Cranbourne	76804
Cranbourne South	115856
Cranbourne West	98956
Lynbrook - Lyndhurst	121160
Pearcedale - Tooradin	98540
Narre Warren South - East	122304
Narre Warren South - West	104572
Clyde North - North	118976
Clyde North - South	114036
Cranbourne East - North	100412
Cranbourne East - South	101816
Cranbourne North - East	113568
Cranbourne North - West	87672
Hampton Park - East	84396
Hampton Park - West	76024
Clarinda - Oakleigh South	86268
Clayton South	84760
Dandenong North	74672
Dingley Village	103012
Noble Park North	75556
Springvale	72852
Springvale South	78260
Noble Park - East	70668
Noble Park - West	72748
Dandenong - North	62816
Dandenong - South	66976
Keysborough - North	79300
Keysborough - South	129636
Ashwood - Chadstone	104572
Glen Waverley - East	101348
Glen Waverley - West	98280
Mount Waverley - North	106548
Mount Waverley - South	108108
Mulgrave	99476
Oakleigh - Huntingdale	101712
Wheelers Hill	94536
Clayton (North) - Notting Hill	66456
Clayton - Central	88972
Ardeer - Albion	71032
Cairnlea	107224
Delahey	77272
Keilor Downs	80756
Kings Park (Vic.)	64792
St Albans - North	61516
St Albans - South	64064
Sunshine	81432
Sunshine North	72748
Sunshine West	73632
Sydenham	94640
Taylors Lakes	112684
Deer Park	75868
Derrimut	118092
Altona	96772
Altona Meadows	81796
Altona North	90480
Newport	132860
Seabrook	106184
Williamstown	123864
Braybrook	87672
Footscray	91676
Maribyrnong	105040
Seddon - Kingsville	122928
West Footscray - Tottenham	103376
Yarraville	129116
Bacchus Marsh	93964
Melton West	84292
Rockbank - Mount Cottrell	110396
Taylors Hill	120380
Burnside	97292
Burnside Heights	116792
Caroline Springs	110916
Brookfield	84604
Cobblebank - Strathtulloh	106912
Eynesbury - Exford	133224
Fraser Rise - Plumpton	117208
Hillside	115024
Kurunjang - Toolern Vale	80912
Melton	55172
Melton South - Weir Views	70876
Hoppers Crossing - North	88660
Hoppers Crossing - South	76440
Laverton	108732
Werribee - South	93704
Point Cook - East	123812
Point Cook - South	131144
Werribee - East	71448
Werribee - West	103740
Manor Lakes - Quandong	120068
Point Cook - North East	113620
Point Cook - North West	126828
Tarneit (West) - Mount Cottrell	108472
Tarneit - Central	112528
Tarneit - North	114296
Tarneit - South	98020
Truganina - North	119964
Truganina - South East	121524
Truganina - South West	101244
