SA2_NAME21	MaxSchoolingCompleted	adults
Budgewoi - Buff Point - Halekulani	Year 8	389
Budgewoi - Buff Point - Halekulani	Year 9	864
Budgewoi - Buff Point - Halekulani	Year 10	2864
Budgewoi - Buff Point - Halekulani	Year 11	681
Budgewoi - Buff Point - Halekulani	Year 12	2706
Chittaway Bay - Tumbi Umbi	Did not go to school	27
Chittaway Bay - Tumbi Umbi	Year 8	417
Chittaway Bay - Tumbi Umbi	Year 9	980
Chittaway Bay - Tumbi Umbi	Year 10	4151
Chittaway Bay - Tumbi Umbi	Year 11	976
Chittaway Bay - Tumbi Umbi	Year 12	5724
Gorokan - Kanwal - Charmhaven	Did not go to school	82
Gorokan - Kanwal - Charmhaven	Year 8	1013
Gorokan - Kanwal - Charmhaven	Year 9	1865
Gorokan - Kanwal - Charmhaven	Year 10	6116
Gorokan - Kanwal - Charmhaven	Year 11	1453
Gorokan - Kanwal - Charmhaven	Year 12	6345
Jilliby - Yarramalong	Did not go to school	8
Jilliby - Yarramalong	Year 8	93
Jilliby - Yarramalong	Year 9	171
Jilliby - Yarramalong	Year 10	818
Jilliby - Yarramalong	Year 11	191
Jilliby - Yarramalong	Year 12	1393
Lake Munmorah - Mannering Park	Did not go to school	30
Lake Munmorah - Mannering Park	Year 8	486
Lake Munmorah - Mannering Park	Year 9	1063
Lake Munmorah - Mannering Park	Year 10	3616
Lake Munmorah - Mannering Park	Year 11	693
Lake Munmorah - Mannering Park	Year 12	2817
Ourimbah - Fountaindale	Did not go to school	14
Ourimbah - Fountaindale	Year 8	97
Ourimbah - Fountaindale	Year 9	243
Ourimbah - Fountaindale	Year 10	1093
Ourimbah - Fountaindale	Year 11	262
Ourimbah - Fountaindale	Year 12	2142
Summerland Point - Gwandalan	Did not go to school	16
Summerland Point - Gwandalan	Year 8	216
Summerland Point - Gwandalan	Year 9	555
Summerland Point - Gwandalan	Year 10	2051
Summerland Point - Gwandalan	Year 11	411
Summerland Point - Gwandalan	Year 12	1844
The Entrance	Did not go to school	59
The Entrance	Year 8	581
The Entrance	Year 9	1209
The Entrance	Year 10	4251
The Entrance	Year 11	927
The Entrance	Year 12	5516
Toukley - Norah Head	Did not go to school	31
Toukley - Norah Head	Year 8	419
Toukley - Norah Head	Year 9	813
Toukley - Norah Head	Year 10	2872
Toukley - Norah Head	Year 11	626
Toukley - Norah Head	Year 12	2901
Tuggerah - Kangy Angy	Did not go to school	8
Tuggerah - Kangy Angy	Year 8	116
Tuggerah - Kangy Angy	Year 9	307
Tuggerah - Kangy Angy	Year 10	1140
Tuggerah - Kangy Angy	Year 11	309
Tuggerah - Kangy Angy	Year 12	2135
Warnervale - Wadalba	Did not go to school	109
Warnervale - Wadalba	Year 8	620
Warnervale - Wadalba	Year 9	1169
Warnervale - Wadalba	Year 10	4472
Warnervale - Wadalba	Year 11	1232
Warnervale - Wadalba	Year 12	6786
Wyong	Did not go to school	29
Wyong	Year 8	392
Wyong	Year 9	674
Wyong	Year 10	2241
Wyong	Year 11	535
Wyong	Year 12	2956
Bathurst - East	Did not go to school	30
Bathurst - East	Year 8	371
Bathurst - East	Year 9	782
Bathurst - East	Year 10	2848
Bathurst - East	Year 11	771
Bathurst - East	Year 12	4218
Bathurst Surrounds	Did not go to school	3
Bathurst Surrounds	Year 8	201
Bathurst Surrounds	Year 9	364
Bathurst Surrounds	Year 10	1666
Bathurst Surrounds	Year 11	374
Bathurst Surrounds	Year 12	2501
Oberon	Did not go to school	27
Oberon	Year 8	200
Oberon	Year 9	322
Oberon	Year 10	1305
Oberon	Year 11	229
Oberon	Year 12	1349
Bathurst - South	Did not go to school	52
Bathurst - South	Year 8	427
Bathurst - South	Year 9	607
Bathurst - South	Year 10	2056
Bathurst - South	Year 11	596
Bathurst - South	Year 12	4338
Bathurst - West	Did not go to school	27
Bathurst - West	Year 8	376
Bathurst - West	Year 9	826
Bathurst - West	Year 10	3050
Bathurst - West	Year 11	833
Bathurst - West	Year 12	5570
Condobolin	Did not go to school	30
Condobolin	Year 8	270
Condobolin	Year 9	427
Condobolin	Year 10	1513
Condobolin	Year 11	343
Condobolin	Year 12	1752
Cowra	Did not go to school	21
Cowra	Year 8	492
Cowra	Year 9	754
Cowra	Year 10	2680
Cowra	Year 11	509
Cowra	Year 12	2467
Cowra Surrounds	Did not go to school	19
Cowra Surrounds	Year 8	291
Cowra Surrounds	Year 9	475
Cowra Surrounds	Year 10	1574
Cowra Surrounds	Year 11	290
Cowra Surrounds	Year 12	1574
Forbes	Did not go to school	31
Forbes	Year 8	477
Forbes	Year 9	707
Forbes	Year 10	2482
Forbes	Year 11	615
Forbes	Year 12	2877
Grenfell	Did not go to school	11
Grenfell	Year 8	165
Grenfell	Year 9	339
Grenfell	Year 10	1017
Grenfell	Year 11	219
Grenfell	Year 12	1027
Parkes (NSW)	Did not go to school	27
Parkes (NSW)	Year 8	496
Parkes (NSW)	Year 9	735
Parkes (NSW)	Year 10	2893
Parkes (NSW)	Year 11	679
Parkes (NSW)	Year 12	3162
Parkes Surrounds	Did not go to school	10
Parkes Surrounds	Year 8	169
Parkes Surrounds	Year 9	262
Parkes Surrounds	Year 10	814
Parkes Surrounds	Year 11	163
Parkes Surrounds	Year 12	878
West Wyalong	Did not go to school	10
West Wyalong	Year 8	235
West Wyalong	Year 9	434
West Wyalong	Year 10	1498
West Wyalong	Year 11	333
West Wyalong	Year 12	1466
Lithgow	Did not go to school	28
Lithgow	Year 8	549
Lithgow	Year 9	1063
Lithgow	Year 10	3397
Lithgow	Year 11	756
Lithgow	Year 12	3457
Lithgow Surrounds	Did not go to school	22
Lithgow Surrounds	Year 8	340
Lithgow Surrounds	Year 9	645
Lithgow Surrounds	Year 10	2434
Lithgow Surrounds	Year 11	531
Lithgow Surrounds	Year 12	2467
Mudgee	Did not go to school	38
Mudgee	Year 8	405
Mudgee	Year 9	746
Mudgee	Year 10	3079
Mudgee	Year 11	781
Mudgee	Year 12	4193
Mudgee Surrounds - East	Did not go to school	10
Mudgee Surrounds - East	Year 8	212
Mudgee Surrounds - East	Year 9	323
Mudgee Surrounds - East	Year 10	913
Mudgee Surrounds - East	Year 11	195
Mudgee Surrounds - East	Year 12	922
Mudgee Surrounds - West	Did not go to school	18
Mudgee Surrounds - West	Year 8	471
Mudgee Surrounds - West	Year 9	809
Mudgee Surrounds - West	Year 10	2961
Mudgee Surrounds - West	Year 11	579
Mudgee Surrounds - West	Year 12	3138
Blayney	Did not go to school	21
Blayney	Year 8	287
Blayney	Year 9	497
Blayney	Year 10	1927
Blayney	Year 11	418
Blayney	Year 12	2393
Orange	Did not go to school	84
Orange	Year 8	886
Orange	Year 9	1337
Orange	Year 10	4265
Orange	Year 11	1013
Orange	Year 12	6574
Orange - North	Did not go to school	93
Orange - North	Year 8	632
Orange - North	Year 9	1130
Orange - North	Year 10	4706
Orange - North	Year 11	1260
Orange - North	Year 12	8689
Orange Surrounds	Did not go to school	26
Orange Surrounds	Year 8	364
Orange Surrounds	Year 9	697
Orange Surrounds	Year 10	2722
Orange Surrounds	Year 11	646
Orange Surrounds	Year 12	4192
Grafton	Did not go to school	76
Grafton	Year 8	907
Grafton	Year 9	1609
Grafton	Year 10	5169
Grafton	Year 11	1153
Grafton	Year 12	5293
Grafton Surrounds	Did not go to school	35
Grafton Surrounds	Year 8	743
Grafton Surrounds	Year 9	1304
Grafton Surrounds	Year 10	4726
Grafton Surrounds	Year 11	1000
Grafton Surrounds	Year 12	4330
Maclean - Yamba - Iluka	Did not go to school	29
Maclean - Yamba - Iluka	Year 8	670
Maclean - Yamba - Iluka	Year 9	1444
Maclean - Yamba - Iluka	Year 10	5036
Maclean - Yamba - Iluka	Year 11	1165
Maclean - Yamba - Iluka	Year 12	5596
Bellingen	Did not go to school	12
Bellingen	Year 8	136
Bellingen	Year 9	314
Bellingen	Year 10	1092
Bellingen	Year 11	372
Bellingen	Year 12	2595
Coffs Harbour - North	Did not go to school	180
Coffs Harbour - North	Year 8	786
Coffs Harbour - North	Year 9	1295
Coffs Harbour - North	Year 10	4282
Coffs Harbour - North	Year 11	1199
Coffs Harbour - North	Year 12	6069
Coffs Harbour - South	Did not go to school	164
Coffs Harbour - South	Year 8	507
Coffs Harbour - South	Year 9	708
Coffs Harbour - South	Year 10	2430
Coffs Harbour - South	Year 11	669
Coffs Harbour - South	Year 12	3935
Coramba - Nana Glen - Bucca	Did not go to school	14
Coramba - Nana Glen - Bucca	Year 8	106
Coramba - Nana Glen - Bucca	Year 9	236
Coramba - Nana Glen - Bucca	Year 10	1000
Coramba - Nana Glen - Bucca	Year 11	252
Coramba - Nana Glen - Bucca	Year 12	1329
Dorrigo	Did not go to school	13
Dorrigo	Year 8	154
Dorrigo	Year 9	264
Dorrigo	Year 10	775
Dorrigo	Year 11	204
Dorrigo	Year 12	1071
Korora - Emerald Beach	Did not go to school	27
Korora - Emerald Beach	Year 8	197
Korora - Emerald Beach	Year 9	488
Korora - Emerald Beach	Year 10	2072
Korora - Emerald Beach	Year 11	619
Korora - Emerald Beach	Year 12	4436
Sawtell - Boambee	Did not go to school	40
Sawtell - Boambee	Year 8	709
Sawtell - Boambee	Year 9	1403
Sawtell - Boambee	Year 10	4959
Sawtell - Boambee	Year 11	1331
Sawtell - Boambee	Year 12	7035
Urunga	Did not go to school	11
Urunga	Year 8	180
Urunga	Year 9	411
Urunga	Year 10	1298
Urunga	Year 11	280
Urunga	Year 12	1695
Woolgoolga - Arrawarra	Did not go to school	103
Woolgoolga - Arrawarra	Year 8	509
Woolgoolga - Arrawarra	Year 9	859
Woolgoolga - Arrawarra	Year 10	3338
Woolgoolga - Arrawarra	Year 11	903
Woolgoolga - Arrawarra	Year 12	5412
Bourke - Brewarrina	Did not go to school	23
Bourke - Brewarrina	Year 8	190
Bourke - Brewarrina	Year 9	243
Bourke - Brewarrina	Year 10	640
Bourke - Brewarrina	Year 11	198
Bourke - Brewarrina	Year 12	865
Cobar	Did not go to school	11
Cobar	Year 8	206
Cobar	Year 9	265
Cobar	Year 10	958
Cobar	Year 11	284
Cobar	Year 12	1019
Coonamble	Did not go to school	24
Coonamble	Year 8	211
Coonamble	Year 9	274
Coonamble	Year 10	822
Coonamble	Year 11	230
Coonamble	Year 12	1021
Nyngan - Warren	Did not go to school	21
Nyngan - Warren	Year 8	205
Nyngan - Warren	Year 9	354
Nyngan - Warren	Year 10	1119
Nyngan - Warren	Year 11	250
Nyngan - Warren	Year 12	1327
Walgett - Lightning Ridge	Did not go to school	37
Walgett - Lightning Ridge	Year 8	286
Walgett - Lightning Ridge	Year 9	406
Walgett - Lightning Ridge	Year 10	1026
Walgett - Lightning Ridge	Year 11	261
Walgett - Lightning Ridge	Year 12	1312
Broken Hill	Did not go to school	44
Broken Hill	Year 8	1218
Broken Hill	Year 9	1650
Broken Hill	Year 10	4858
Broken Hill	Year 11	1211
Broken Hill	Year 12	4145
Far West	Did not go to school	19
Far West	Year 8	153
Far West	Year 9	236
Far West	Year 10	450
Far West	Year 11	154
Far West	Year 12	500
Coonabarabran	Did not go to school	15
Coonabarabran	Year 8	421
Coonabarabran	Year 9	568
Coonabarabran	Year 10	1990
Coonabarabran	Year 11	417
Coonabarabran	Year 12	2105
Dubbo - East	Did not go to school	33
Dubbo - East	Year 8	390
Dubbo - East	Year 9	541
Dubbo - East	Year 10	2486
Dubbo - East	Year 11	620
Dubbo - East	Year 12	3453
Dubbo - South	Did not go to school	63
Dubbo - South	Year 8	643
Dubbo - South	Year 9	954
Dubbo - South	Year 10	3974
Dubbo - South	Year 11	1058
Dubbo - South	Year 12	7485
Dubbo - West	Did not go to school	25
Dubbo - West	Year 8	347
Dubbo - West	Year 9	642
Dubbo - West	Year 10	2276
Dubbo - West	Year 11	577
Dubbo - West	Year 12	3300
Dubbo Surrounds	Did not go to school	10
Dubbo Surrounds	Year 8	217
Dubbo Surrounds	Year 9	359
Dubbo Surrounds	Year 10	1502
Dubbo Surrounds	Year 11	308
Dubbo Surrounds	Year 12	1811
Gilgandra	Did not go to school	10
Gilgandra	Year 8	233
Gilgandra	Year 9	402
Gilgandra	Year 10	1108
Gilgandra	Year 11	238
Gilgandra	Year 12	1084
Narromine	Did not go to school	26
Narromine	Year 8	279
Narromine	Year 9	445
Narromine	Year 10	1493
Narromine	Year 11	340
Narromine	Year 12	1772
Wellington	Did not go to school	11
Wellington	Year 8	437
Wellington	Year 9	612
Wellington	Year 10	1926
Wellington	Year 11	448
Wellington	Year 12	2168
Branxton - Greta - Pokolbin	Did not go to school	26
Branxton - Greta - Pokolbin	Year 8	350
Branxton - Greta - Pokolbin	Year 9	803
Branxton - Greta - Pokolbin	Year 10	3282
Branxton - Greta - Pokolbin	Year 11	869
Branxton - Greta - Pokolbin	Year 12	4142
Cessnock	Did not go to school	79
Cessnock	Year 8	1060
Cessnock	Year 9	2029
Cessnock	Year 10	6349
Cessnock	Year 11	1511
Cessnock	Year 12	5430
Cessnock Surrounds	Did not go to school	24
Cessnock Surrounds	Year 8	284
Cessnock Surrounds	Year 9	630
Cessnock Surrounds	Year 10	2503
Cessnock Surrounds	Year 11	573
Cessnock Surrounds	Year 12	2911
Dungog	Did not go to school	16
Dungog	Year 8	335
Dungog	Year 9	692
Dungog	Year 10	2819
Dungog	Year 11	560
Dungog	Year 12	2911
Kurri Kurri - Abermain	Did not go to school	58
Kurri Kurri - Abermain	Year 8	891
Kurri Kurri - Abermain	Year 9	1919
Kurri Kurri - Abermain	Year 10	6016
Kurri Kurri - Abermain	Year 11	1382
Kurri Kurri - Abermain	Year 12	5024
Singleton	Did not go to school	49
Singleton	Year 8	549
Singleton	Year 9	1155
Singleton	Year 10	4427
Singleton	Year 11	1331
Singleton	Year 12	5097
Singleton Surrounds	Did not go to school	11
Singleton Surrounds	Year 8	161
Singleton Surrounds	Year 9	365
Singleton Surrounds	Year 10	1581
Singleton Surrounds	Year 11	340
Singleton Surrounds	Year 12	1406
Maitland	Did not go to school	24
Maitland	Year 8	248
Maitland	Year 9	532
Maitland	Year 10	1991
Maitland	Year 11	533
Maitland	Year 12	3023
Maitland - North	Did not go to school	16
Maitland - North	Year 8	187
Maitland - North	Year 9	445
Maitland - North	Year 10	1907
Maitland - North	Year 11	536
Maitland - North	Year 12	3461
East Maitland - Metford	Did not go to school	61
East Maitland - Metford	Year 8	555
East Maitland - Metford	Year 9	1232
East Maitland - Metford	Year 10	4540
East Maitland - Metford	Year 11	1158
East Maitland - Metford	Year 12	6195
Rutherford (North) - Aberglasslyn	Did not go to school	45
Rutherford (North) - Aberglasslyn	Year 8	568
Rutherford (North) - Aberglasslyn	Year 9	1299
Rutherford (North) - Aberglasslyn	Year 10	4569
Rutherford (North) - Aberglasslyn	Year 11	1189
Rutherford (North) - Aberglasslyn	Year 12	5304
Rutherford (South) - Telarah	Did not go to school	23
Rutherford (South) - Telarah	Year 8	340
Rutherford (South) - Telarah	Year 9	681
Rutherford (South) - Telarah	Year 10	2117
Rutherford (South) - Telarah	Year 11	561
Rutherford (South) - Telarah	Year 12	2196
Tenambit - East Maitland	Did not go to school	19
Tenambit - East Maitland	Year 8	344
Tenambit - East Maitland	Year 9	742
Tenambit - East Maitland	Year 10	2611
Tenambit - East Maitland	Year 11	613
Tenambit - East Maitland	Year 12	3532
Thornton - Millers Forest	Did not go to school	56
Thornton - Millers Forest	Year 8	376
Thornton - Millers Forest	Year 9	869
Thornton - Millers Forest	Year 10	3729
Thornton - Millers Forest	Year 11	966
Thornton - Millers Forest	Year 12	5850
Anna Bay	Did not go to school	9
Anna Bay	Year 8	192
Anna Bay	Year 9	526
Anna Bay	Year 10	1850
Anna Bay	Year 11	410
Anna Bay	Year 12	2138
Lemon Tree Passage - Tanilba Bay	Did not go to school	16
Lemon Tree Passage - Tanilba Bay	Year 8	273
Lemon Tree Passage - Tanilba Bay	Year 9	634
Lemon Tree Passage - Tanilba Bay	Year 10	2179
Lemon Tree Passage - Tanilba Bay	Year 11	478
Lemon Tree Passage - Tanilba Bay	Year 12	1821
Nelson Bay Peninsula	Did not go to school	61
Nelson Bay Peninsula	Year 8	700
Nelson Bay Peninsula	Year 9	1534
Nelson Bay Peninsula	Year 10	5891
Nelson Bay Peninsula	Year 11	1440
Nelson Bay Peninsula	Year 12	8190
Raymond Terrace	Did not go to school	59
Raymond Terrace	Year 8	658
Raymond Terrace	Year 9	1282
Raymond Terrace	Year 10	3981
Raymond Terrace	Year 11	1024
Raymond Terrace	Year 12	3777
Seaham - Woodville	Did not go to school	12
Seaham - Woodville	Year 8	140
Seaham - Woodville	Year 9	324
Seaham - Woodville	Year 10	1598
Seaham - Woodville	Year 11	359
Seaham - Woodville	Year 12	1977
Tea Gardens - Hawks Nest	Did not go to school	14
Tea Gardens - Hawks Nest	Year 8	201
Tea Gardens - Hawks Nest	Year 9	518
Tea Gardens - Hawks Nest	Year 10	1862
Tea Gardens - Hawks Nest	Year 11	368
Tea Gardens - Hawks Nest	Year 12	1913
Williamtown - Medowie - Karuah	Did not go to school	28
Williamtown - Medowie - Karuah	Year 8	475
Williamtown - Medowie - Karuah	Year 9	1122
Williamtown - Medowie - Karuah	Year 10	3903
Williamtown - Medowie - Karuah	Year 11	1004
Williamtown - Medowie - Karuah	Year 12	4730
Muswellbrook	Did not go to school	25
Muswellbrook	Year 8	533
Muswellbrook	Year 9	953
Muswellbrook	Year 10	3198
Muswellbrook	Year 11	883
Muswellbrook	Year 12	3058
Muswellbrook Surrounds	Did not go to school	14
Muswellbrook Surrounds	Year 8	184
Muswellbrook Surrounds	Year 9	294
Muswellbrook Surrounds	Year 10	1216
Muswellbrook Surrounds	Year 11	273
Muswellbrook Surrounds	Year 12	1060
Scone	Did not go to school	35
Scone	Year 8	227
Scone	Year 9	433
Scone	Year 10	1467
Scone	Year 11	383
Scone	Year 12	1932
Scone Surrounds	Did not go to school	27
Scone Surrounds	Year 8	368
Scone Surrounds	Year 9	616
Scone Surrounds	Year 10	2292
Scone Surrounds	Year 11	474
Scone Surrounds	Year 12	2378
Dapto - Avondale	Did not go to school	102
Dapto - Avondale	Year 8	976
Dapto - Avondale	Year 9	1959
Dapto - Avondale	Year 10	6767
