SA2_NAME16	PrivateDwelling	Sex	persons
Warnervale - Wadalba	0	M	553
Warnervale - Wadalba	1	F	9895
Warnervale - Wadalba	1	M	9133
Wyong	0	F	323
Wyong	0	M	329
Wyong	1	F	4276
Wyong	1	M	4202
Bathurst - East	0	F	399
Bathurst - East	0	M	355
Bathurst - East	1	F	5768
Bathurst - East	1	M	5696
Bathurst Surrounds	0	F	202
Bathurst Surrounds	0	M	443
Bathurst Surrounds	1	F	3067
Bathurst Surrounds	1	M	3172
Oberon	0	F	317
Oberon	0	M	474
Oberon	1	F	2001
Oberon	1	M	2081
Bathurst - South	0	F	758
Bathurst - South	0	M	1618
Bathurst - South	1	F	4474
Bathurst - South	1	M	4187
Bathurst - West	0	F	389
Bathurst - West	0	M	373
Bathurst - West	1	F	6987
Bathurst - West	1	M	6575
Condobolin	0	F	464
Condobolin	0	M	433
Condobolin	1	F	2698
Condobolin	1	M	2777
Cowra	0	F	429
Cowra	0	M	404
Cowra	1	F	4339
Cowra	1	M	4131
Cowra Surrounds	0	F	342
Cowra Surrounds	0	M	338
Cowra Surrounds	1	F	2530
Cowra Surrounds	1	M	2530
Forbes	0	F	583
Forbes	0	M	602
Forbes	1	F	4540
Forbes	1	M	4423
Grenfell	0	F	137
Grenfell	0	M	134
Grenfell	1	F	1575
Grenfell	1	M	1675
Parkes (NSW)	0	F	438
Parkes (NSW)	0	M	544
Parkes (NSW)	1	F	5108
Parkes (NSW)	1	M	4865
Parkes Surrounds	0	F	166
Parkes Surrounds	0	M	197
Parkes Surrounds	1	F	1383
Parkes Surrounds	1	M	1516
West Wyalong	0	F	307
West Wyalong	0	M	518
West Wyalong	1	F	2454
West Wyalong	1	M	2474
Lithgow	0	F	399
Lithgow	0	M	826
Lithgow	1	F	5728
Lithgow	1	M	5426
Lithgow Surrounds	0	F	393
Lithgow Surrounds	0	M	459
Lithgow Surrounds	1	F	3805
Lithgow Surrounds	1	M	3876
Mudgee	0	F	499
Mudgee	0	M	583
Mudgee	1	F	5972
Mudgee	1	M	5709
Mudgee Surrounds - East	0	F	182
Mudgee Surrounds - East	0	M	215
Mudgee Surrounds - East	1	F	1485
Mudgee Surrounds - East	1	M	1564
Mudgee Surrounds - West	0	F	528
Mudgee Surrounds - West	0	M	671
Mudgee Surrounds - West	1	F	4856
Mudgee Surrounds - West	1	M	5144
Blayney	0	F	248
Blayney	0	M	296
Blayney	1	F	3491
Blayney	1	M	3412
Orange	0	F	1283
Orange	0	M	1357
Orange	1	F	8815
Orange	1	M	8150
Orange - North	0	F	593
Orange - North	0	M	575
Orange - North	1	F	11126
Orange - North	1	M	10488
Orange Surrounds	0	F	391
Orange Surrounds	0	M	405
Orange Surrounds	1	F	5454
Orange Surrounds	1	M	5530
Grafton	0	F	867
Grafton	0	M	868
Grafton	1	F	9151
Grafton	1	M	8452
Grafton Surrounds	0	F	746
Grafton Surrounds	0	M	1648
Grafton Surrounds	1	F	7154
Grafton Surrounds	1	M	7303
Maclean - Yamba - Iluka	0	F	1114
Maclean - Yamba - Iluka	0	M	1093
Maclean - Yamba - Iluka	1	F	8252
Maclean - Yamba - Iluka	1	M	7839
Bellingen	0	F	300
Bellingen	0	M	278
Bellingen	1	F	2935
Bellingen	1	M	2685
Coffs Harbour - North	0	F	776
Coffs Harbour - North	0	M	728
Coffs Harbour - North	1	F	8789
Coffs Harbour - North	1	M	7982
Coffs Harbour - South	0	F	993
Coffs Harbour - South	0	M	876
Coffs Harbour - South	1	F	5182
Coffs Harbour - South	1	M	4563
Coramba - Nana Glen - Bucca	0	F	140
Coramba - Nana Glen - Bucca	0	M	167
Coramba - Nana Glen - Bucca	1	F	1793
Coramba - Nana Glen - Bucca	1	M	1834
Dorrigo	0	F	146
Dorrigo	0	M	162
Dorrigo	1	F	1455
Dorrigo	1	M	1459
Korora - Emerald Beach	0	F	278
Korora - Emerald Beach	0	M	272
Korora - Emerald Beach	1	F	4990
Korora - Emerald Beach	1	M	4711
Sawtell - Boambee	0	F	568
Sawtell - Boambee	0	M	516
Sawtell - Boambee	1	F	9887
Sawtell - Boambee	1	M	9089
Urunga	0	F	336
Urunga	0	M	308
Urunga	1	F	2268
Urunga	1	M	2187
Woolgoolga - Arrawarra	0	F	607
Woolgoolga - Arrawarra	0	M	596
Woolgoolga - Arrawarra	1	F	6950
Woolgoolga - Arrawarra	1	M	6701
Bourke - Brewarrina	0	F	403
Bourke - Brewarrina	0	M	413
Bourke - Brewarrina	1	F	1410
Bourke - Brewarrina	1	M	1407
Cobar	0	F	429
Cobar	0	M	689
Cobar	1	F	1667
Cobar	1	M	1704
Coonamble	0	F	342
Coonamble	0	M	357
Coonamble	1	F	1657
Coonamble	1	M	1678
Nyngan - Warren	0	F	286
Nyngan - Warren	0	M	387
Nyngan - Warren	1	F	2063
Nyngan - Warren	1	M	2043
Walgett - Lightning Ridge	0	F	969
Walgett - Lightning Ridge	0	M	1005
Walgett - Lightning Ridge	1	F	1946
Walgett - Lightning Ridge	1	M	2047
Broken Hill	0	F	1033
Broken Hill	0	M	994
Broken Hill	1	F	8090
Broken Hill	1	M	7646
Far West	0	F	370
Far West	0	M	460
Far West	1	F	933
Far West	1	M	994
Coonabarabran	0	F	732
Coonabarabran	0	M	695
Coonabarabran	1	F	3320
Coonabarabran	1	M	3342
Dubbo - East	0	F	622
Dubbo - East	0	M	603
Dubbo - East	1	F	4928
Dubbo - East	1	M	4627
Dubbo - South	0	F	957
Dubbo - South	0	M	960
Dubbo - South	1	F	9455
Dubbo - South	1	M	8369
Dubbo - West	0	F	551
Dubbo - West	0	M	603
Dubbo - West	1	F	4736
Dubbo - West	1	M	4532
Dubbo Surrounds	0	F	256
Dubbo Surrounds	0	M	258
Dubbo Surrounds	1	F	2595
Dubbo Surrounds	1	M	2726
Gilgandra	0	F	323
Gilgandra	0	M	345
Gilgandra	1	F	1918
Gilgandra	1	M	1859
Narromine	0	F	422
Narromine	0	M	452
Narromine	1	F	2745
Narromine	1	M	2798
Wellington	0	F	482
Wellington	0	M	909
Wellington	1	F	3546
Wellington	1	M	3488
Branxton - Greta - Pokolbin	0	F	287
Branxton - Greta - Pokolbin	0	M	304
Branxton - Greta - Pokolbin	1	F	6131
Branxton - Greta - Pokolbin	1	M	6074
Cessnock	0	F	789
Cessnock	0	M	2204
Cessnock	1	F	10539
Cessnock	1	M	9889
Cessnock Surrounds	0	F	245
Cessnock Surrounds	0	M	277
Cessnock Surrounds	1	F	4348
Cessnock Surrounds	1	M	4300
Dungog	0	F	269
Dungog	0	M	272
Dungog	1	F	4537
Dungog	1	M	4487
Kurri Kurri - Abermain	0	F	482
Kurri Kurri - Abermain	0	M	455
Kurri Kurri - Abermain	1	F	9948
Kurri Kurri - Abermain	1	M	9602
Singleton	0	F	431
Singleton	0	M	1239
Singleton	1	F	7827
Singleton	1	M	7756
Singleton Surrounds	0	F	223
Singleton Surrounds	0	M	255
Singleton Surrounds	1	F	2411
Singleton Surrounds	1	M	2495
Maitland	0	F	331
Maitland	0	M	278
Maitland	1	F	4145
Maitland	1	M	3997
Maitland - North	0	F	210
Maitland - North	0	M	141
Maitland - North	1	F	4328
Maitland - North	1	M	4023
East Maitland - Metford	0	F	368
East Maitland - Metford	0	M	368
East Maitland - Metford	1	F	8799
East Maitland - Metford	1	M	8330
Rutherford (North) - Aberglasslyn	0	F	407
Rutherford (North) - Aberglasslyn	0	M	371
Rutherford (North) - Aberglasslyn	1	F	8655
Rutherford (North) - Aberglasslyn	1	M	8128
Rutherford (South) - Telarah	0	F	177
Rutherford (South) - Telarah	0	M	184
Rutherford (South) - Telarah	1	F	3844
Rutherford (South) - Telarah	1	M	3699
Tenambit - East Maitland	0	F	153
Tenambit - East Maitland	0	M	164
Tenambit - East Maitland	1	F	5092
Tenambit - East Maitland	1	M	4584
Thornton - Millers Forest	0	F	130
Thornton - Millers Forest	0	M	141
Thornton - Millers Forest	1	F	7883
Thornton - Millers Forest	1	M	7568
Anna Bay	0	F	182
Anna Bay	0	M	202
Anna Bay	1	F	3066
Anna Bay	1	M	2929
Lemon Tree Passage - Tanilba Bay	0	F	179
Lemon Tree Passage - Tanilba Bay	0	M	171
Lemon Tree Passage - Tanilba Bay	1	F	3234
Lemon Tree Passage - Tanilba Bay	1	M	3229
Nelson Bay Peninsula	0	F	792
Nelson Bay Peninsula	0	M	683
Nelson Bay Peninsula	1	F	10611
Nelson Bay Peninsula	1	M	9720
Raymond Terrace	0	F	448
Raymond Terrace	0	M	498
Raymond Terrace	1	F	6871
Raymond Terrace	1	M	6681
Seaham - Woodville	0	F	74
Seaham - Woodville	0	M	82
Seaham - Woodville	1	F	2728
Seaham - Woodville	1	M	2715
Tea Gardens - Hawks Nest	0	F	346
Tea Gardens - Hawks Nest	0	M	310
Tea Gardens - Hawks Nest	1	F	2627
Tea Gardens - Hawks Nest	1	M	2582
Williamtown - Medowie - Karuah	0	F	254
Williamtown - Medowie - Karuah	0	M	335
Williamtown - Medowie - Karuah	1	F	7067
Williamtown - Medowie - Karuah	1	M	7129
Muswellbrook	0	F	384
Muswellbrook	0	M	815
Muswellbrook	1	F	5572
Muswellbrook	1	M	5636
Muswellbrook Surrounds	0	F	210
Muswellbrook Surrounds	0	M	257
Muswellbrook Surrounds	1	F	1808
Muswellbrook Surrounds	1	M	1876
Scone	0	F	180
Scone	0	M	247
Scone	1	F	2899
Scone	1	M	2777
Scone Surrounds	0	F	385
Scone Surrounds	0	M	424
Scone Surrounds	1	F	3725
Scone Surrounds	1	M	3749
Dapto - Avondale	0	F	531
Dapto - Avondale	0	M	472
Dapto - Avondale	1	F	11782
Dapto - Avondale	1	M	11249
Horsley - Kembla Grange	0	F	169
Horsley - Kembla Grange	0	M	150
Horsley - Kembla Grange	1	F	5999
Horsley - Kembla Grange	1	M	5818
Port Kembla Industrial	0	M	8
Unanderra - Mount Kembla	0	F	397
Unanderra - Mount Kembla	0	M	250
Unanderra - Mount Kembla	1	F	7402
Unanderra - Mount Kembla	1	M	7116
Berkeley - Lake Heights - Cringila	0	F	344
Berkeley - Lake Heights - Cringila	0	M	349
Berkeley - Lake Heights - Cringila	1	F	6776
Berkeley - Lake Heights - Cringila	1	M	6658
Port Kembla - Warrawong	0	F	374
Port Kembla - Warrawong	0	M	371
