SA2_NAME21	FamilyHousehold	IncomeHousehold.max	households
Broulee - Tomakin	0	21000	28
Broulee - Tomakin	0	26250	82
Broulee - Tomakin	0	34125	63
Broulee - Tomakin	0	42000	40
Broulee - Tomakin	0	52500	50
Broulee - Tomakin	0	65625	45
Broulee - Tomakin	0	78750	33
Broulee - Tomakin	0	91875	22
Broulee - Tomakin	0	105000	14
Broulee - Tomakin	0	131250	20
Broulee - Tomakin	0	183750	8
Broulee - Tomakin	0	Inf	8
Broulee - Tomakin	1		93
Broulee - Tomakin	1	0	8
Broulee - Tomakin	1	7875	3
Broulee - Tomakin	1	15750	9
Broulee - Tomakin	1	21000	7
Broulee - Tomakin	1	26250	13
Broulee - Tomakin	1	34125	18
Broulee - Tomakin	1	42000	69
Broulee - Tomakin	1	52500	82
Broulee - Tomakin	1	65625	74
Broulee - Tomakin	1	78750	115
Broulee - Tomakin	1	91875	58
Broulee - Tomakin	1	105000	70
Broulee - Tomakin	1	131250	105
Broulee - Tomakin	1	157500	94
Broulee - Tomakin	1	183750	76
Broulee - Tomakin	1	210000	45
Broulee - Tomakin	1	Inf	106
Deua - Wadbilliga	1		3
Deua - Wadbilliga	1	42000	3
Deua - Wadbilliga	1	52500	6
Eden	0		56
Eden	0	0	19
Eden	0	7875	12
Eden	0	15750	19
Eden	0	21000	44
Eden	0	26250	109
Eden	0	34125	73
Eden	0	42000	33
Eden	0	52500	36
Eden	0	65625	39
Eden	0	78750	20
Eden	0	91875	17
Eden	0	105000	8
Eden	0	131250	8
Eden	1		97
Eden	1	0	16
Eden	1	7875	3
Eden	1	15750	4
Eden	1	21000	6
Eden	1	26250	28
Eden	1	34125	30
Eden	1	42000	92
Eden	1	52500	71
Eden	1	65625	74
Eden	1	78750	90
Eden	1	91875	51
Eden	1	105000	63
Eden	1	131250	97
Eden	1	157500	59
Eden	1	183750	37
Eden	1	210000	15
Eden	1	Inf	27
Eurobodalla Hinterland	0		22
Eurobodalla Hinterland	0	0	15
Eurobodalla Hinterland	0	7875	8
Eurobodalla Hinterland	0	15750	17
Eurobodalla Hinterland	0	21000	26
Eurobodalla Hinterland	0	26250	67
Eurobodalla Hinterland	0	34125	35
Eurobodalla Hinterland	0	42000	30
Eurobodalla Hinterland	0	52500	45
Eurobodalla Hinterland	0	65625	35
Eurobodalla Hinterland	0	78750	23
Eurobodalla Hinterland	0	91875	11
Eurobodalla Hinterland	0	105000	19
Eurobodalla Hinterland	0	131250	17
Eurobodalla Hinterland	0	183750	6
Eurobodalla Hinterland	0	Inf	9
Eurobodalla Hinterland	1		83
Eurobodalla Hinterland	1	0	13
Eurobodalla Hinterland	1	7875	7
Eurobodalla Hinterland	1	15750	7
Eurobodalla Hinterland	1	26250	25
Eurobodalla Hinterland	1	34125	26
Eurobodalla Hinterland	1	42000	84
Eurobodalla Hinterland	1	52500	71
Eurobodalla Hinterland	1	65625	88
Eurobodalla Hinterland	1	78750	90
Eurobodalla Hinterland	1	91875	56
Eurobodalla Hinterland	1	105000	70
