SA2_NAME16	medianMortgageRepayment
Hamilton - Broadmeadow	25380
Lambton - New Lambton	25428
Maryland - Fletcher - Minmi	24000
Mayfield - Warabrook	22596
Merewether - The Junction	30000
Newcastle - Cooks Hill	26028
Newcastle Port - Kooragang	30552
Shortland - Jesmond	20400
Stockton - Fullerton Cove	26004
Wallsend - Elermore Vale	21324
Waratah - North Lambton	23244
Wickham - Carrington - Tighes Hill	23820
Ballina	20796
Ballina Surrounds	22800
Bangalow	27960
Brunswick Heads - Ocean Shores	23400
Byron Bay	28080
Evans Head	18756
Lennox Head - Skennars Head	26400
Mullumbimby	23400
Casino	15600
Casino Surrounds	15648
Goonellabah	18720
Kyogle	15600
Lismore	16116
Lismore Surrounds	20796
Kingscliff - Fingal Head	26880
Murwillumbah	20796
Murwillumbah Surrounds	20940
Pottsville	23400
Tweed Heads	20796
Banora Point	22800
Terranora - North Tumbulgum	26004
Tweed Heads South	20796
Griffith (NSW)	18000
Griffith Surrounds	14400
Leeton	15600
Narrandera	12000
Tumbarumba	13524
Tumut	15600
Tumut Surrounds	15600
Cootamundra	13332
Gundagai	15492
Junee	14964
Temora	12996
Wagga Wagga - East	18204
Wagga Wagga - North	20796
Wagga Wagga - South	18204
Wagga Wagga - West	15624
Wagga Wagga Surrounds	17880
Berry - Kangaroo Valley	26004
Callala Bay - Currarong	20796
Culburra Beach	20520
Ettrema - Sassafras - Budawang	26604
Huskisson - Vincentia	24000
North Nowra - Bomaderry	20796
Nowra	20796
St Georges Basin - Erowal Bay	18204
Sussex Inlet - Berrara	18048
Tomerong - Wandandian - Woollamia	24000
Ulladulla	19764
Ulladulla Surrounds	19032
Bowral	27600
Hill Top - Colo Vale	24000
Mittagong	26004
Moss Vale - Berrima	24000
Robertson - Fitzroy Falls	26004
Southern Highlands	25296
Baulkham Hills - East	31200
Baulkham Hills (West) - Bella Vista	36000
Glenhaven	36396
West Pennant Hills	36396
Castle Hill - Central	32400
Castle Hill - East	36000
Castle Hill - North	36000
Castle Hill - South	36000
Castle Hill - West	36000
Cherrybrook	36000
Kellyville - East	34800
Kellyville - West	38400
Dural - Kenthurst - Wisemans Ferry	36396
Galston - Laughtondale	33408
Bilpin - Colo - St Albans	26004
Kurrajong Heights - Ebenezer	28596
Pitt Town - McGraths Hill	31200
Box Hill - Nelson	36000
North Kellyville	39000
Rouse Hill - Beaumont Hills	34800
Blacktown (East) - Kings Park	24000
Blacktown (North) - Marayong	27240
Doonside - Woodcroft	26400
Lalor Park - Kings Langley	27600
Blacktown - South	24516
Blacktown - West	25200
Seven Hills - Prospect	26004
Toongabbie - West	26004
Glenwood	31200
Acacia Gardens	29808
Quakers Hill	27816
Kellyville Ridge - The Ponds	33600
Marsden Park - Shanes Park	34584
Riverstone	31200
Schofields (West) - Colebee	36000
Schofields - East	33804
Stanhope Gardens - Parklea	32292
Bidwill - Hebersham - Emerton	20796
Glendenning - Dean Park	26004
Hassall Grove - Plumpton	25440
Lethbridge Park - Tregear	24960
Mount Druitt - Whalan	21600
Prospect Reservoir	19500
Rooty Hill - Minchinbury	26004
Banksmeadow	36000
Botany	32892
Pagewood - Hillsdale - Daceyville	31200
Port Botany Industrial	38148
Sydney Airport	27624
Eastlakes	27564
Mascot	31200
Petersham - Stanmore	36000
Sydenham - Tempe - St Peters	34800
Marrickville - North	33804
Marrickville - South	30000
Darlinghurst	35568
Erskineville - Alexandria	33024
Glebe - Forest Lodge	35388
Potts Point - Woolloomooloo	30000
Surry Hills	34068
Camperdown - Darlington	36000
Chippendale	28908
Newtown (NSW)	36000
Pyrmont	33600
Redfern	33468
Rosebery - Beaconsfield	31200
Sydney (North) - Millers Point	36000
Sydney (South) - Haymarket	31200
Ultimo	30000
Waterloo	30000
Zetland	31704
Bondi - Tamarama - Bronte	41604
Bondi Beach - North Bondi	41604
Bondi Junction - Waverly	42000
Centennial Park	
Dover Heights	45456
Paddington - Moore Park	45600
Rose Bay - Vaucluse - Watsons Bay	50340
Woollahra	48000
Bellevue Hill	44400
Double Bay - Darling Point	38400
Kensington (NSW)	33600
Kingsford	36000
Maroubra - North	36396
Maroubra - South	36000
Maroubra - West	35640
Randwick - North	36000
Randwick - South	37920
Coogee - Clovelly	41604
Malabar - La Perouse	38400
Matraville - Chifley	36000
South Coogee	48000
Bass Hill - Georges Hall	28800
Chullora	31200
Condell Park	27600
Padstow	29124
Revesby	30000
Yagoona - Birrong	25572
Bankstown - North	21168
Bankstown - South	21840
Greenacre - North	27036
Greenacre - South	27960
Panania (North) - Milperra	31200
Panania (South) - Picnic Point	32340
Belmore - Belfield	26028
Punchbowl	24312
Roselands	27600
Lakemba	20544
Wiley Park	20436
Campsie - North	24000
Campsie - South	23400
Canterbury - South	26652
Earlwood	33708
Kingsgrove - North	31200
Narwee - Beverly Hills	27036
Oatley - Hurstville Grove	36000
Peakhurst - Lugarno	31200
Riverwood	25200
South Hurstville - Blakehurst	31200
Hurstville - Central	24120
Hurstville - North	31200
Mortdale - Oatley	30000
Penshurst	25200
Kingsgrove (South) - Bardwell Park	32400
Kogarah	27012
Kogarah Bay - Carlton - Allawah	27660
Monterey - Brighton-le-Sands - Kyeemagh	29808
Rockdale - Banksia	26220
Sans Souci - Ramsgate	31200
Arncliffe - Bardwell Valley	28800
Bexley - North	30000
Bexley - South	26004
Wolli Creek	28596
Concord - Mortlake - Cabarita	36000
Drummoyne - Rodd Point	39000
Five Dock - Abbotsford	36000
Concord West - North Strathfield	31200
Rhodes	30000
Balmain	48000
Lilyfield - Rozelle	42000
Annandale (NSW)	41604
Leichhardt	41364
Canterbury (North) - Ashbury	28800
Croydon Park - Enfield	30000
Dulwich Hill - Lewisham	31200
Haberfield - Summer Hill	36000
Homebush	25524
Strathfield South	28800
Ashfield - North	26004
Ashfield - South	28224
Burwood (NSW)	28800
Croydon	31680
Strathfield - East	30000
Strathfield - West	38400
Chatswood (West) - Lane Cove North	32496
St Leonards - Naremburn	36000
Artarmon	33264
Castle Cove - Northbridge	51996
Chatswood - East	36000
Greenwich - Riverview	42000
Lane Cove	36000
Willoughby	43200
Asquith - Mount Colah	30600
Berowra - Brooklyn - Cowan	30336
Normanhurst - Thornleigh - Westleigh	36000
Hornsby - East	25380
Hornsby - West	31200
Wahroonga (West) - Waitara	28560
Gordon - Killara	38400
Lindfield - Roseville	43200
Pymble	42000
St Ives	42000
Turramurra	42000
Wahroonga (East) - Warrawee	43200
Cremorne - Cammeray	38856
Crows Nest - Waverton	35400
Neutral Bay - Kirribilli	35880
North Sydney - Lavender Bay	34200
Mosman - North	42000
Mosman - South	48000
Balgowlah - Clontarf - Seaforth	48000
Manly - Fairlight	41604
Avalon - Palm Beach	39600
Bayview - Elanora Heights	41604
Newport - Bilgola	36396
Mona Vale - Warriewood (North)	36396
North Narrabeen - Warriewood (South)	37116
Beacon Hill - Narraweena	38400
Cromer	38148
Forestville - Killarney Heights	40800
Freshwater - Brookvale	36396
Manly Vale - Allambie Heights	39000
Terrey Hills - Duffys Forest	38400
Belrose	41568
Collaroy - Collaroy Plateau	36000
Dee Why (South) - North Curl Curl	36000
Dee Why - North	28800
Frenchs Forest - Oxford Falls	40800
Narrabeen - Wheeler Heights	33804
Camden - Ellis Lane	28032
Currans Hill	26400
Elderslie - Narellan	29124
Harrington Park	31200
Mount Annan	26352
Spring Farm	30000
Bradbury - Wedderburn	24000
Campbelltown - Woodbine	24276
Claymore - Eagle Vale - Raby	24000
Holsworthy Military Area	
Leumeah - Minto Heights	24000
Minto - St Andrews	24420
Rosemeadow - Glen Alpine	23400
Denham Court - Bardia	32400
Glenfield	26004
Ingleburn	24000
Macquarie Fields	21600
Bargo	26004
Douglas Park - Appin	31200
Picton - Tahmoor - Buxton	26100
The Oaks - Oakdale	28596
Blackheath - Megalong Valley	20796
Blaxland - Warrimoo - Lapstone	27180
Blue Mountains - North	28236
Katoomba - Leura	20796
Lawson - Hazelbrook - Linden	23400
Springwood - Winmalee	26004
Wentworth Falls	24960
Blue Mountains - South	
Cambridge Park	24696
Emu Plains - Leonay	26400
Glenmore Park - Regentville	27600
Jamisontown - South Penrith	25356
Kingswood - Werrington	25536
Mulgoa - Luddenham - Orchard Hills	33276
Penrith	21396
Warragamba - Silverdale	28596
Cranebrook - Castlereagh	26004
Jordan Springs - Llandilo	31200
Richmond - Clarendon	26004
Windsor - Bligh Park	25200
Yarramundi - Londonderry	30000
Erskine Park	26004
St Clair	26004
Colyton - Oxley Park	23400
St Marys - North St Marys	22104
Rookwood Cemetery	
Auburn - Central	24672
Auburn - North	20796
Auburn - South	26004
Berala	24000
Lidcombe	26760
Regents Park	23712
Silverwater - Newington	28692
Wentworth Point - Sydney Olympic Park	27600
Ermington - Rydalmere	31200
Oatlands - Dundas Valley	31200
Carlingford - East	31200
Carlingford - West	30000
Chester Hill - Sefton	26004
Fairfield - East	22200
Granville - Clyde	24000
Guildford - South Granville	25200
Guildford West - Merrylands West	26004
Smithfield Industrial	
Yennora Industrial	
Greystanes - South	30000
Merrylands - Holroyd	24000
Pemulwuy - Greystanes (North)	30000
South Wentworthville	27936
North Parramatta	24960
North Rocks	35340
Northmead	26004
Toongabbie - Constitution Hill	26400
Winston Hills	32400
Pendle Hill - Girraween	27000
Wentworthville - Westmead	26004
Parramatta - North	24936
Parramatta - South	22596
Rosehill - Harris Park	22800
Pennant Hills - Cheltenham	36000
Epping (East) - North Epping	31260
Epping (NSW) - West	31800
Gladesville - Huntleys Point	36000
Hunters Hill - Woolwich	51996
Macquarie Park - Marsfield	28596
North Ryde - East Ryde	33600
West Ryde - Meadowbank	28800
Putney	41604
Denistone	33804
Eastwood	33000
Ryde - North	30000
Ryde - South	30000
Ashcroft - Busby - Miller	22104
Austral - Greendale	30000
Badgerys Creek	
Cecil Hills	26004
Green Valley	24492
Hinchinbrook	26004
Hoxton Park - Carnes Hill - Horningsea Park	28104
West Hoxton - Middleton Grange	29124
Cobbitty - Bringelly	31956
Gledswood Hills - Gregory Hills	31200
Leppington - Catherine Field	31800
Oran Park	31512
Bonnyrigg Heights - Bonnyrigg	24000
Bossley Park - Abbotsbury	26004
Cabramatta - Lansvale	18204
Cabramatta West - Mount Pritchard	23400
Canley Vale - Canley Heights	21780
Edensor Park	26004
Fairfield	20796
Fairfield - West	24684
Greenfield Park - Prairiewood	24444
Horsley Park - Kemps Creek	36000
Smithfield - Wetherill Park	26004
St Johns Park - Wakeley	24780
Wetherill Park Industrial	
Casula	26004
Chipping Norton - Moorebank	28800
Holsworthy - Wattle Grove	27300
Lurnea - Cartwright	24000
Warwick Farm	18204
Edmondson Park	33600
Liverpool - East	20796
Liverpool - West	20796
Prestons	26400
Gymea - Grays Point	34320
Miranda - Yowie Bay	31200
Sylvania - Taren Point	33804
Caringbah	30528
Caringbah South	40800
Cronulla - Kurnell - Bundeena	31200
Lilli Pilli - Port Hacking - Dolans Bay	46800
Woolooware - Burraneer	36000
Heathcote - Waterfall	30156
Illawong - Alfords Point	33600
Menai - Lucas Heights - Woronora	32244
Oyster Bay - Como - Jannali	36000
Royal National Park	
Sutherland - Kirrawee	28596
Engadine	31200
Loftus - Yarrawarrah	32208
Woronora Heights	32064
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Alfredton	20376
Ballarat	20400
Buninyong	19944
Delacombe	18000
Smythes Creek	20796
Wendouree - Miners Rest	15600
Ballarat East - Warrenheip	15600
Ballarat North - Invermay	18720
Canadian - Mount Clear	16644
Sebastopol - Redan	14148
Bacchus Marsh Surrounds	20400
Creswick - Clunes	15600
Daylesford	19200
Gordon (Vic.)	20340
Avoca	12072
Beaufort	14592
Golden Plains - North	16644
Maryborough (Vic.)	12000
Maryborough Surrounds	12552
Bendigo	15600
California Gully - Eaglehawk	15600
East Bendigo - Kennington	17160
Flora Hill - Spring Gully	16788
Kangaroo Flat - Golden Square	15600
Maiden Gully	20280
Strathfieldsaye	20904
White Hills - Ascot	17628
Bendigo Surrounds - South	19500
Castlemaine	16896
Castlemaine Surrounds	17676
Heathcote	16644
Kyneton	20844
Woodend	24000
Bendigo Surrounds - North	15600
Loddon	10404
Bannockburn	22884
Golden Plains - South	20796
Winchelsea	20796
Belmont	20400
Geelong	20436
Geelong West - Hamlyn Heights	22104
Highton	24000
Lara	21060
Leopold	19236
Newcomb - Moolap	16404
Newtown (Vic.)	26004
North Geelong - Bell Park	18720
Charlemont	21060
Corio - Lovely Banks	15600
Grovedale - Mount Duneed	20796
Norlane	14400
Clifton Springs	19800
Lorne - Anglesea	26004
Portarlington	20004
Point Lonsdale - Queenscliff	24000
Torquay	26004
Barwon Heads - Armstrong Creek	22884
Ocean Grove	24000
Alexandra	15600
Euroa	14040
Kilmore - Broadford	19236
Mansfield (Vic.)	18000
Nagambie	18000
Seymour	15600
Seymour Surrounds	20796
Upper Yarra Valley	13200
Yea	18000
Benalla	15036
Benalla Surrounds	16380
Rutherglen	15600
Wangaratta	15600
Wangaratta Surrounds	18000
Beechworth	18720
Bright - Mount Beauty	18000
Chiltern - Indigo Valley	16668
Myrtleford	16800
Towong	14400
West Wodonga	16644
Yackandandah	20280
Baranduda - Leneva	20484
Wodonga	15600
Drouin	19500
Mount Baw Baw Region	18204
Trafalgar (Vic.)	18000
Warragul	19764
Alps - East	
Bairnsdale	15600
Bruthen - Omeo	16116
Lake King	
Lakes Entrance	15600
Orbost	12996
Paynesville	15600
Foster	15600
French Island	21600
Korumburra	17988
Leongatha	17484
Phillip Island	18204
Wilsons Promontory	
Wonthaggi - Inverloch	17604
Churchill	15600
Moe - Newborough	12996
Morwell	11436
Yallourn North - Glengarry	15600
Traralgon - East	15600
Traralgon - West	15912
Alps - West	20160
Longford - Loch Sport	15600
Maffra	15600
Rosedale	15600
Sale	15600
Yarram	14304
Brunswick East	24000
Brunswick West	24000
Pascoe Vale South	26004
Brunswick - North	26004
Brunswick - South	24216
Coburg - East	25200
Coburg - West	27588
Alphington - Fairfield	26400
Thornbury	26400
Northcote - East	29124
Northcote - West	28152
Ascot Vale	29496
Flemington	24000
Moonee Ponds	26004
Essendon (West) - Aberfeldie	28800
Essendon - East	26004
Carlton	22452
Docklands	24000
East Melbourne	28596
Flemington Racecourse	21264
Kensington (Vic.)	25944
Parkville	24000
South Yarra - West	25200
West Melbourne - Industrial	
Melbourne CBD - East	21240
Melbourne CBD - North	20700
Melbourne CBD - West	20520
North Melbourne	24420
Royal Botanic Gardens Victoria	
Southbank (West) - South Wharf	24000
Southbank - East	21840
West Melbourne - Residential	25620
Albert Park	31200
Elwood	27600
Port Melbourne	30180
St Kilda East	25200
Port Melbourne Industrial	27348
South Melbourne	26604
St Kilda - Central	23976
St Kilda - West	24000
Armadale	29748
Prahran - Windsor	26400
Toorak	37752
South Yarra - North	24000
South Yarra - South	26400
Abbotsford	26004
Carlton North - Princes Hill	31200
Collingwood	26004
Fitzroy	30000
Fitzroy North	30000
Clifton Hill - Alphington	31200
Richmond (South) - Cremorne	30000
Richmond - North	24564
Ashburton (Vic.)	36000
Balwyn	36000
Balwyn North	37224
Camberwell	36000
Glen Iris - East	36000
Hawthorn East	29904
Kew East	36000
Surrey Hills (West) - Canterbury	37800
Hawthorn - North	33600
Hawthorn - South	25200
Kew - South	36600
Kew - West	36000
Bulleen	28800
Doncaster	26004
Templestowe	32400
Templestowe Lower	30000
Doncaster East - North	28800
Doncaster East - South	28596
Blackburn	27600
Blackburn South	27012
Box Hill	25056
Box Hill North	29892
Burwood (Vic.)	29484
Burwood East	25764
Surrey Hills (East) - Mont Albert	31200
Beaumaris	36000
Brighton (Vic.)	41604
Brighton East	40020
Highett (West) - Cheltenham	30000
Hampton	36000
Sandringham - Black Rock	33600
Bentleigh - McKinnon	30000
Carnegie	24300
Caulfield - North	30000
Caulfield - South	33576
Elsternwick	29364
Hughesdale	26004
Murrumbeena	26400
Ormond - Glen Huntly	25836
Bentleigh East - North	30000
Bentleigh East - South	30144
Aspendale Gardens - Waterways	25380
Braeside	23976
Carrum - Patterson Lakes	25200
Chelsea - Bonbeach	24780
Chelsea Heights	24012
Highett (East) - Cheltenham	26004
Edithvale - Aspendale	26400
Mentone	26004
Moorabbin - Heatherton	27600
Moorabbin Airport	
Mordialloc - Parkdale	27036
Malvern - Glen Iris	33600
Malvern East	35328
Bundoora - East	24156
Greensborough	26004
Heidelberg - Rosanna	27600
Heidelberg West	24708
Ivanhoe	30000
Ivanhoe East - Eaglemont	36000
Montmorency - Briar Hill	26004
Viewbank - Yallambie	26400
Watsonia	24444
Kingsbury	24000
Preston - East	24000
Preston - West	25728
Reservoir - North East	22356
Reservoir - North West	24000
Reservoir - South East	23604
Reservoir - South West	24240
Eltham	27564
Hurstbridge	24000
Kinglake	21732
Panton Hill - St Andrews	26400
Plenty - Yarrambat	27264
Research - North Warrandyte	30000
Wattle Glen - Diamond Creek	26004
Bundoora - North	24000
Bundoora - West	22800
Mill Park - North	21168
Mill Park - South	20796
Thomastown	20400
Wallan	21600
Whittlesea	24000
Epping - East	20496
Epping - South	18000
Epping (Vic.) - West	21840
South Morang - North	23400
South Morang - South	21444
Wollert	24000
Doreen - North	24000
Doreen - South	24000
Lalor - East	19956
Lalor - West	22512
Mernda - North	22800
Mernda - South	23400
Airport West	25020
Essendon Airport	
Keilor	24228
Niddrie - Essendon West	28800
Strathmore	30000
Avondale Heights	26004
Keilor East	26004
Gisborne	26004
Macedon	29904
Riddells Creek	24000
Romsey	23136
Coburg North	26004
Fawkner	22560
Gowanbrae	24000
Hadfield	24000
Glenroy - East	22620
Glenroy - West	23760
Oak Park	26004
Pascoe Vale	25200
Sunbury	21468
Diggers Rest	21600
Sunbury - South	21600
Sunbury - West	20796
Broadmeadows	17028
Campbellfield - Coolaroo	18000
Gladstone Park - Westmeadows	22800
Greenvale - Bulla	26004
Meadow Heights	17520
Melbourne Airport	11820
Tullamarine	20796
Craigieburn - Central	18204
Craigieburn - North	22104
Craigieburn - South	22800
Mickleham - Yuroke	24000
Craigieburn - North West	22884
Craigieburn - West	22800
Roxburgh Park (South) - Somerton	19764
Roxburgh Park - North	21000
Bayswater	21924
Knoxfield - Scoresby	25404
Lysterfield	26400
Rowville - Central	24000
Rowville - North	25872
Rowville - South	24744
Wantirna	26004
Wantirna South	25200
Boronia	22428
Ferntree Gully - North	22668
Ferntree Gully (South) - Upper Ferntree Gully	23400
The Basin	23400
Donvale - Park Orchards	30984
Warrandyte - Wonga Park	27600
Bayswater North	22188
Croydon Hills - Warranwood	26004
Ringwood	24000
Ringwood East	25200
Ringwood North	26400
Croydon - East	22620
Croydon - West	24936
Croydon South	24000
Forest Hill	25476
Mitcham (Vic.)	26004
Nunawading	26004
Vermont	28596
Vermont South	28596
Belgrave - Selby	23400
Chirnside Park	26004
Healesville - Yarra Glen	20796
Kilsyth	23640
Lilydale - Coldstream	23400
Monbulk - Silvan	24000
Montrose	24000
Mooroolbark	24000
Mount Dandenong - Olinda	24336
Mount Evelyn	24000
Upwey - Tecoma	23400
Wandin - Seville	23400
Yarra Valley	20280
Emerald - Cockatoo	23760
Beaconsfield - Officer	24000
Bunyip - Garfield	23400
Koo Wee Rup	23280
Pakenham - North East	20796
Pakenham - North West	23400
Pakenham - South East	18204
Pakenham - South West	21600
Berwick - North	24000
Doveton	18000
Hallam	20400
Narre Warren North	28464
Endeavour Hills - North	22032
Endeavour Hills - South	23016
Narre Warren - North East	20796
Narre Warren - South West	20856
Berwick - South East	25200
Berwick - South West	24000
Cranbourne	19524
Cranbourne South	26004
Cranbourne West	22104
Lynbrook - Lyndhurst	24960
Pearcedale - Tooradin	22812
Narre Warren South - East	24000
Narre Warren South - West	21840
Clyde North - North	27600
Clyde North - South	26004
Cranbourne East - North	24000
Cranbourne East - South	24000
Cranbourne North - East	24348
Cranbourne North - West	20508
Hampton Park - East	19200
Hampton Park - West	18600
Clarinda - Oakleigh South	24120
Clayton South	23964
Dandenong North	20796
Dingley Village	24696
Noble Park North	21108
Springvale	20940
Springvale South	19200
Noble Park - East	19200
Noble Park - West	20400
Dandenong - North	18000
Dandenong - South	19764
Keysborough - North	20796
Keysborough - South	29736
Ashwood - Chadstone	30000
Glen Waverley - East	31200
Glen Waverley - West	28800
Mount Waverley - North	31200
Mount Waverley - South	31200
Mulgrave	26004
Oakleigh - Huntingdale	26004
Wheelers Hill	30000
Clayton (North) - Notting Hill	22320
Clayton - Central	24000
Ardeer - Albion	20400
Cairnlea	22596
Delahey	18204
Keilor Downs	20796
Kings Park (Vic.)	18000
St Albans - North	17676
St Albans - South	18000
Sunshine	22104
Sunshine North	20796
Sunshine West	20400
Sydenham	19800
Taylors Lakes	21840
Deer Park	20280
Derrimut	23712
Altona	26400
Altona Meadows	20400
Altona North	26004
Newport	30000
Seabrook	21636
Williamstown	31200
Braybrook	23424
Footscray	23280
Maribyrnong	24000
Seddon - Kingsville	30000
West Footscray - Tottenham	25548
Yarraville	30000
Bacchus Marsh	20796
Melton West	19500
Rockbank - Mount Cottrell	24204
Taylors Hill	24000
Burnside	24000
Burnside Heights	24000
Caroline Springs	23400
Brookfield	19896
Cobblebank - Strathtulloh	22848
Eynesbury - Exford	23256
Fraser Rise - Plumpton	25200
Hillside	23040
Kurunjang - Toolern Vale	18204
Melton	15600
Melton South - Weir Views	18204
Hoppers Crossing - North	19200
Hoppers Crossing - South	18612
Laverton	24000
Werribee - South	24000
Point Cook - East	26400
Point Cook - South	26004
Werribee - East	18000
Werribee - West	22104
Manor Lakes - Quandong	23160
Point Cook - North East	23400
Point Cook - North West	24000
Tarneit (West) - Mount Cottrell	24000
Tarneit - Central	22800
Tarneit - North	24780
Tarneit - South	21732
Truganina - North	26004
Truganina - South East	24000
Truganina - South West	22716
Wyndham Vale - North	21600
Wyndham Vale - South	20016
