SA2_NAME16	PrivateDwelling	persons
Dungog	1	9030
Kurri Kurri - Abermain	0	937
Kurri Kurri - Abermain	1	19554
Singleton	0	1675
Singleton	1	15582
Singleton Surrounds	0	476
Singleton Surrounds	1	4904
Maitland	0	610
Maitland	1	8147
Maitland - North	0	349
Maitland - North	1	8357
East Maitland - Metford	0	736
East Maitland - Metford	1	17131
Rutherford (North) - Aberglasslyn	0	769
Rutherford (North) - Aberglasslyn	1	16788
Rutherford (South) - Telarah	0	360
Rutherford (South) - Telarah	1	7540
Tenambit - East Maitland	0	315
Tenambit - East Maitland	1	9672
Thornton - Millers Forest	0	273
Thornton - Millers Forest	1	15455
Anna Bay	0	384
Anna Bay	1	5996
Lemon Tree Passage - Tanilba Bay	0	341
Lemon Tree Passage - Tanilba Bay	1	6462
Nelson Bay Peninsula	0	1471
Nelson Bay Peninsula	1	20324
Raymond Terrace	0	943
Raymond Terrace	1	13552
Seaham - Woodville	0	151
Seaham - Woodville	1	5438
Tea Gardens - Hawks Nest	0	654
Tea Gardens - Hawks Nest	1	5212
Williamtown - Medowie - Karuah	0	583
Williamtown - Medowie - Karuah	1	14194
Muswellbrook	0	1202
Muswellbrook	1	11209
Muswellbrook Surrounds	0	469
Muswellbrook Surrounds	1	3682
Scone	0	436
Scone	1	5680
Scone Surrounds	0	808
Scone Surrounds	1	7469
Dapto - Avondale	0	1004
Dapto - Avondale	1	23033
Horsley - Kembla Grange	0	324
Horsley - Kembla Grange	1	11817
Port Kembla Industrial	0	8
Unanderra - Mount Kembla	0	652
Unanderra - Mount Kembla	1	14520
Berkeley - Lake Heights - Cringila	0	694
Berkeley - Lake Heights - Cringila	1	13432
Port Kembla - Warrawong	0	743
Port Kembla - Warrawong	1	8990
Windang - Primbee	0	231
Windang - Primbee	1	3971
Illawarra Catchment Reserve	1	6
Albion Park - Macquarie Pass	0	475
Albion Park - Macquarie Pass	1	18407
Albion Park Rail	0	403
Albion Park Rail	1	6463
Kiama	0	568
Kiama	1	8174
Kiama Downs - Minnamurra	0	209
Kiama Downs - Minnamurra	1	5719
Kiama Hinterland - Gerringong	0	641
Kiama Hinterland - Gerringong	1	7511
Shellharbour - Flinders	0	648
Shellharbour - Flinders	1	18557
Shellharbour - Oak Flats	0	623
Shellharbour - Oak Flats	1	10009
Warilla	0	1141
Warilla	1	19151
Balgownie - Fairy Meadow	0	1135
Balgownie - Fairy Meadow	1	20157
Corrimal - Tarrawanna - Bellambi	0	692
Corrimal - Tarrawanna - Bellambi	1	15261
Figtree - Keiraville	0	1742
Figtree - Keiraville	1	20849
Helensburgh	0	338
Helensburgh	1	8711
Thirroul - Austinmer - Coalcliff	0	412
Thirroul - Austinmer - Coalcliff	1	11422
Woonona - Bulli - Russell Vale	0	936
Woonona - Bulli - Russell Vale	1	19635
Wollongong - East	0	1181
Wollongong - East	1	14749
Wollongong - West	0	1369
Wollongong - West	1	15484
Bulahdelah - Stroud	0	575
Bulahdelah - Stroud	1	4708
Forster	0	1207
Forster	1	13609
Forster-Tuncurry Surrounds	0	974
Forster-Tuncurry Surrounds	1	6341
Tuncurry	0	639
Tuncurry	1	5792
Kempsey	0	2299
Kempsey	1	13395
Kempsey Surrounds	0	1022
Kempsey Surrounds	1	8639
Macksville - Scotts Head	0	563
Macksville - Scotts Head	1	4768
Nambucca Heads	0	906
Nambucca Heads	1	6387
Nambucca Heads Surrounds	0	638
Nambucca Heads Surrounds	1	7491
South West Rocks	0	754
South West Rocks	1	5231
Lord Howe Island	0	102
Lord Howe Island	1	356
Laurieton - Bonny Hills	0	1022
Laurieton - Bonny Hills	1	17428
Port Macquarie - West	0	1893
Port Macquarie - West	1	19403
Port Macquarie Surrounds	0	438
Port Macquarie Surrounds	1	4812
Wauchope	0	623
Wauchope	1	12075
Port Macquarie - East	0	1286
Port Macquarie - East	1	11127
Port Macquarie - South	0	801
Port Macquarie - South	1	16419
Gloucester	0	462
Gloucester	1	4929
Old Bar - Manning Point - Red Head	0	744
Old Bar - Manning Point - Red Head	1	11664
Taree	0	2242
Taree	1	19068
Taree Surrounds	0	957
Taree Surrounds	1	12128
Wingham	0	335
Wingham	1	5034
Albury - East	0	1008
Albury - East	1	16754
Albury - North	0	852
Albury - North	1	9547
Albury - South	0	1235
Albury - South	1	9383
Albury Surrounds	0	1087
Albury Surrounds	1	11262
Lavington	0	940
Lavington	1	14587
Hay	0	419
Hay	1	2477
Wentworth - Buronga	0	944
Wentworth - Buronga	1	5623
Wentworth-Balranald Region	0	941
Wentworth-Balranald Region	1	2968
Corowa	0	389
Corowa	1	5074
Corowa Surrounds	0	670
Corowa Surrounds	1	6432
Deniliquin	0	812
Deniliquin	1	6194
Deniliquin Surrounds	0	683
Deniliquin Surrounds	1	6045
Moama	0	514
Moama	1	6231
Tocumwal - Finley - Jerilderie	0	1127
Tocumwal - Finley - Jerilderie	1	8448
Armidale	0	3433
Armidale	1	20382
Armidale Surrounds - North	0	556
Armidale Surrounds - North	1	3951
Armidale Surrounds - South	0	372
Armidale Surrounds - South	1	5488
Walcha	0	402
Walcha	1	2740
Glen Innes	0	1124
Glen Innes	1	7774
Inverell	0	1241
Inverell	1	10849
Inverell Surrounds - East	0	799
Inverell Surrounds - East	1	4446
Inverell Surrounds - West	0	671
Inverell Surrounds - West	1	5069
Tenterfield	0	931
Tenterfield	1	6064
Moree	0	1889
Moree	1	6399
Moree Surrounds	0	1433
Moree Surrounds	1	4010
Narrabri	0	900
Narrabri	1	6256
Narrabri Surrounds	0	756
Narrabri Surrounds	1	3891
Gunnedah	0	1006
Gunnedah	1	8847
Gunnedah Surrounds	0	605
Gunnedah Surrounds	1	3921
Quirindi	0	927
Quirindi	1	6658
Tamworth - East	0	1771
Tamworth - East	1	19735
Tamworth - North	0	1782
Tamworth - North	1	15037
Tamworth - West	0	694
Tamworth - West	1	5307
Tamworth Surrounds	0	1259
Tamworth Surrounds	1	17630
Belmont - Bennetts Green	0	688
Belmont - Bennetts Green	1	17019
Belmont South - Blacksmiths	0	314
Belmont South - Blacksmiths	1	5358
Charlestown - Dudley	0	967
Charlestown - Dudley	1	24106
Glendale - Cardiff - Hillsborough	0	797
Glendale - Cardiff - Hillsborough	1	23557
Mount Hutton - Windale	0	755
Mount Hutton - Windale	1	8697
Redhead	0	276
Redhead	1	3423
Swansea - Caves Beach	0	501
Swansea - Caves Beach	1	11951
Valentine - Eleebana	0	186
Valentine - Eleebana	1	12128
Warners Bay - Boolaroo	0	523
Warners Bay - Boolaroo	1	14022
Bolton Point - Teralba	0	752
Bolton Point - Teralba	1	9216
Bonnells Bay - Silverwater	0	298
Bonnells Bay - Silverwater	1	9235
Edgeworth - Cameron Park	0	578
Edgeworth - Cameron Park	1	15629
Morisset - Cooranbong	0	1146
Morisset - Cooranbong	1	16721
Toronto - Awaba	0	779
Toronto - Awaba	1	13030
Wangi Wangi - Rathmines	0	352
Wangi Wangi - Rathmines	1	8929
West Wallsend - Barnsley - Killingworth	0	178
West Wallsend - Barnsley - Killingworth	1	6981
Adamstown - Kotara	0	434
Adamstown - Kotara	1	15957
Beresfield - Hexham	0	315
Beresfield - Hexham	1	8134
Hamilton - Broadmeadow	0	1106
Hamilton - Broadmeadow	1	11599
Lambton - New Lambton	0	1331
Lambton - New Lambton	1	16476
Maryland - Fletcher - Minmi	0	301
Maryland - Fletcher - Minmi	1	15989
Mayfield - Warabrook	0	1222
Mayfield - Warabrook	1	14198
Merewether - The Junction	0	556
Merewether - The Junction	1	13722
Newcastle - Cooks Hill	0	902
Newcastle - Cooks Hill	1	11641
Newcastle Port - Kooragang	0	10
Newcastle Port - Kooragang	1	18
Shortland - Jesmond	0	2091
Shortland - Jesmond	1	10211
Stockton - Fullerton Cove	0	538
Stockton - Fullerton Cove	1	8191
Wallsend - Elermore Vale	0	1333
Wallsend - Elermore Vale	1	19438
Waratah - North Lambton	0	1503
Waratah - North Lambton	1	11504
Wickham - Carrington - Tighes Hill	0	413
Wickham - Carrington - Tighes Hill	1	8541
Ballina	0	1739
Ballina	1	16972
Ballina Surrounds	0	879
Ballina Surrounds	1	17358
Bangalow	0	910
Bangalow	1	6147
Brunswick Heads - Ocean Shores	0	845
Brunswick Heads - Ocean Shores	1	8360
Byron Bay	0	1889
Byron Bay	1	9373
Evans Head	0	780
Evans Head	1	5080
Lennox Head - Skennars Head	0	556
Lennox Head - Skennars Head	1	8684
Mullumbimby	0	1215
Mullumbimby	1	7655
Casino	0	1211
Casino	1	11170
Casino Surrounds	0	893
Casino Surrounds	1	6441
Goonellabah	0	827
Goonellabah	1	12728
Kyogle	0	792
Kyogle	1	6821
Lismore	0	1857
Lismore	1	13762
Lismore Surrounds	0	1403
Lismore Surrounds	1	14406
Kingscliff - Fingal Head	0	1503
Kingscliff - Fingal Head	1	13693
Murwillumbah	0	841
Murwillumbah	1	8677
Murwillumbah Surrounds	0	1211
Murwillumbah Surrounds	1	9108
Pottsville	0	1323
Pottsville	1	12831
Tweed Heads	0	2092
Tweed Heads	1	18700
Banora Point	0	808
Banora Point	1	15322
Terranora - North Tumbulgum	0	112
Terranora - North Tumbulgum	1	3192
Tweed Heads South	0	961
Tweed Heads South	1	7749
Griffith (NSW)	0	1787
Griffith (NSW)	1	18993
Griffith Surrounds	0	1785
Griffith Surrounds	1	11083
Leeton	0	1279
Leeton	1	9020
Narrandera	0	748
Narrandera	1	5131
Tumbarumba	0	497
Tumbarumba	1	3021
Tumut	0	652
Tumut	1	6046
Tumut Surrounds	0	519
Tumut Surrounds	1	4225
Cootamundra	0	630
Cootamundra	1	7034
Gundagai	0	543
Gundagai	1	3220
Junee	0	1329
Junee	1	5075
Temora	0	501
Temora	1	6068
Wagga Wagga - East	0	665
Wagga Wagga - East	1	16040
Wagga Wagga - North	0	990
Wagga Wagga - North	1	4800
Wagga Wagga - South	0	1218
Wagga Wagga - South	1	21154
Wagga Wagga - West	0	2468
Wagga Wagga - West	1	10507
Wagga Wagga Surrounds	0	2011
Wagga Wagga Surrounds	1	15882
Berry - Kangaroo Valley	0	930
Berry - Kangaroo Valley	1	8885
Callala Bay - Currarong	0	290
Callala Bay - Currarong	1	3390
Culburra Beach	0	348
Culburra Beach	1	4815
Ettrema - Sassafras - Budawang	0	10
Ettrema - Sassafras - Budawang	1	52
Huskisson - Vincentia	0	404
Huskisson - Vincentia	1	4454
North Nowra - Bomaderry	0	956
North Nowra - Bomaderry	1	14987
Nowra	0	3206
Nowra	1	19605
St Georges Basin - Erowal Bay	0	976
St Georges Basin - Erowal Bay	1	14121
Sussex Inlet - Berrara	0	424
Sussex Inlet - Berrara	1	4232
Tomerong - Wandandian - Woollamia	0	279
Tomerong - Wandandian - Woollamia	1	3430
Ulladulla	0	1324
Ulladulla	1	15791
Ulladulla Surrounds	0	667
Ulladulla Surrounds	1	5263
Bowral	0	1022
Bowral	1	12696
Hill Top - Colo Vale	0	159
Hill Top - Colo Vale	1	6173
Mittagong	0	674
Mittagong	1	10233
Moss Vale - Berrima	0	732
Moss Vale - Berrima	1	9920
Robertson - Fitzroy Falls	0	367
Robertson - Fitzroy Falls	1	3601
Southern Highlands	0	723
Southern Highlands	1	6758
Baulkham Hills - East	0	898
Baulkham Hills - East	1	23794
Baulkham Hills (West) - Bella Vista	0	746
Baulkham Hills (West) - Bella Vista	1	21180
Glenhaven	0	214
Glenhaven	1	6046
West Pennant Hills	0	190
West Pennant Hills	1	12395
Castle Hill - Central	0	199
Castle Hill - Central	1	7439
Castle Hill - East	0	805
Castle Hill - East	1	4826
Castle Hill - North	0	246
Castle Hill - North	1	11899
Castle Hill - South	0	255
Castle Hill - South	1	10132
Castle Hill - West	0	51
Castle Hill - West	1	5105
Cherrybrook	0	482
Cherrybrook	1	18519
Kellyville - East	0	208
Kellyville - East	1	17434
Kellyville - West	0	499
Kellyville - West	1	10853
Dural - Kenthurst - Wisemans Ferry	0	820
Dural - Kenthurst - Wisemans Ferry	1	21597
Galston - Laughtondale	0	273
Galston - Laughtondale	1	5127
Bilpin - Colo - St Albans	0	342
Bilpin - Colo - St Albans	1	2546
Kurrajong Heights - Ebenezer	0	547
Kurrajong Heights - Ebenezer	1	21461
Pitt Town - McGraths Hill	0	424
Pitt Town - McGraths Hill	1	10937
Box Hill - Nelson	0	196
Box Hill - Nelson	1	10045
North Kellyville	0	532
North Kellyville	1	16824
Rouse Hill - Beaumont Hills	0	217
Rouse Hill - Beaumont Hills	1	17317
Blacktown (East) - Kings Park	0	1486
Blacktown (East) - Kings Park	1	15838
Blacktown (North) - Marayong	0	1144
Blacktown (North) - Marayong	1	19371
Doonside - Woodcroft	0	1107
Doonside - Woodcroft	1	22202
Lalor Park - Kings Langley	0	1246
Lalor Park - Kings Langley	1	24056
Blacktown - South	0	563
Blacktown - South	1	12014
Blacktown - West	0	1239
Blacktown - West	1	15824
Seven Hills - Prospect	0	598
Seven Hills - Prospect	1	14182
Toongabbie - West	0	462
Toongabbie - West	1	11073
Glenwood	0	213
Glenwood	1	15629
Acacia Gardens	0	25
Acacia Gardens	1	3627
Quakers Hill	0	882
Quakers Hill	1	23757
Kellyville Ridge - The Ponds	0	454
Kellyville Ridge - The Ponds	1	20523
Marsden Park - Shanes Park	0	503
Marsden Park - Shanes Park	1	15021
Riverstone	0	661
Riverstone	1	13155
Schofields (West) - Colebee	0	299
Schofields (West) - Colebee	1	9719
Schofields - East	0	999
Schofields - East	1	24135
Stanhope Gardens - Parklea	0	1491
Stanhope Gardens - Parklea	1	11539
Bidwill - Hebersham - Emerton	0	1880
Bidwill - Hebersham - Emerton	1	16647
Glendenning - Dean Park	0	420
Glendenning - Dean Park	1	7903
Hassall Grove - Plumpton	0	1004
Hassall Grove - Plumpton	1	20317
Lethbridge Park - Tregear	0	1703
Lethbridge Park - Tregear	1	19769
Mount Druitt - Whalan	0	1538
Mount Druitt - Whalan	1	21352
Prospect Reservoir	0	34
Prospect Reservoir	1	9
Rooty Hill - Minchinbury	0	1845
Rooty Hill - Minchinbury	1	21092
Banksmeadow	0	88
Banksmeadow	1	413
Botany	0	613
Botany	1	12208
Pagewood - Hillsdale - Daceyville	0	775
Pagewood - Hillsdale - Daceyville	1	13814
Port Botany Industrial	0	3
Port Botany Industrial	1	11
Sydney Airport	0	82
Sydney Airport	1	10
Eastlakes	0	373
Eastlakes	1	8511
Mascot	0	1945
Mascot	1	20374
Petersham - Stanmore	0	1333
Petersham - Stanmore	1	18182
Sydenham - Tempe - St Peters	0	322
Sydenham - Tempe - St Peters	1	7837
Marrickville - North	0	686
Marrickville - North	1	11399
Marrickville - South	0	798
Marrickville - South	1	13241
Darlinghurst	0	1852
Darlinghurst	1	8988
Erskineville - Alexandria	0	782
Erskineville - Alexandria	1	17947
Glebe - Forest Lodge	0	1664
Glebe - Forest Lodge	1	18175
Potts Point - Woolloomooloo	0	5580
Potts Point - Woolloomooloo	1	15113
Surry Hills	0	1856
Surry Hills	1	13747
Camperdown - Darlington	0	2604
Camperdown - Darlington	1	6107
Chippendale	0	1052
Chippendale	1	6650
Newtown (NSW)	0	1009
Newtown (NSW)	1	13279
Pyrmont	0	971
Pyrmont	1	11449
Redfern	0	1583
Redfern	1	11812
Rosebery - Beaconsfield	0	571
Rosebery - Beaconsfield	1	11585
Sydney (North) - Millers Point	0	2713
Sydney (North) - Millers Point	1	6793
Sydney (South) - Haymarket	0	3460
Sydney (South) - Haymarket	1	17747
Ultimo	0	1261
Ultimo	1	6056
Waterloo	0	1386
Waterloo	1	14840
Zetland	0	975
Zetland	1	11888
Bondi - Tamarama - Bronte	0	1171
Bondi - Tamarama - Bronte	1	17405
Bondi Beach - North Bondi	0	1323
Bondi Beach - North Bondi	1	18822
Bondi Junction - Waverly	0	1548
Bondi Junction - Waverly	1	15907
Dover Heights	0	418
Dover Heights	1	10538
Paddington - Moore Park	0	883
Paddington - Moore Park	1	13307
Rose Bay - Vaucluse - Watsons Bay	0	759
Rose Bay - Vaucluse - Watsons Bay	1	10877
Woollahra	0	533
Woollahra	1	6687
Bellevue Hill	0	674
Bellevue Hill	1	13299
Double Bay - Darling Point	0	652
Double Bay - Darling Point	1	8981
Kensington (NSW)	0	1859
Kensington (NSW)	1	9683
Kingsford	0	871
Kingsford	1	12592
Maroubra - North	0	465
Maroubra - North	1	9181
Maroubra - South	0	576
Maroubra - South	1	10402
Maroubra - West	0	290
Maroubra - West	1	9474
Randwick - North	0	1078
Randwick - North	1	14819
Randwick - South	0	1953
Randwick - South	1	11270
Coogee - Clovelly	0	939
Coogee - Clovelly	1	18105
Malabar - La Perouse	0	1622
Malabar - La Perouse	1	8871
Matraville - Chifley	0	685
Matraville - Chifley	1	12647
South Coogee	0	297
South Coogee	1	5242
Bass Hill - Georges Hall	0	2174
Bass Hill - Georges Hall	1	21627
Chullora	0	78
Chullora	1	1385
Condell Park	0	848
Condell Park	1	11884
Padstow	0	688
Padstow	1	16392
Revesby	0	804
Revesby	1	16756
Yagoona - Birrong	0	1443
Yagoona - Birrong	1	20922
Bankstown - North	0	1018
Bankstown - North	1	15838
Bankstown - South	0	1799
Bankstown - South	1	16826
Greenacre - North	0	1200
Greenacre - North	1	13396
Greenacre - South	0	827
Greenacre - South	1	12496
Panania (North) - Milperra	0	318
Panania (North) - Milperra	1	10938
Panania (South) - Picnic Point	0	366
Panania (South) - Picnic Point	1	15439
Belmore - Belfield	0	1324
Belmore - Belfield	1	18814
Punchbowl	0	1339
Punchbowl	1	20130
Roselands	0	591
Roselands	1	13920
Lakemba	0	1467
Lakemba	1	15478
Wiley Park	0	659
Wiley Park	1	9403
Campsie - North	0	702
Campsie - North	1	11035
Campsie - South	0	933
Campsie - South	1	8175
Canterbury - South	0	846
Canterbury - South	1	11281
Earlwood	0	590
Earlwood	1	17273
Kingsgrove - North	0	206
Kingsgrove - North	1	6005
Narwee - Beverly Hills	0	548
Narwee - Beverly Hills	1	13179
Oatley - Hurstville Grove	0	251
Oatley - Hurstville Grove	1	12182
Peakhurst - Lugarno	0	885
Peakhurst - Lugarno	1	19149
Riverwood	0	619
Riverwood	1	10907
South Hurstville - Blakehurst	0	1039
South Hurstville - Blakehurst	1	24090
Hurstville - Central	0	458
Hurstville - Central	1	11564
Hurstville - North	0	560
Hurstville - North	1	11591
Mortdale - Oatley	0	521
Mortdale - Oatley	1	14020
Penshurst	0	525
Penshurst	1	8914
Kingsgrove (South) - Bardwell Park	0	328
Kingsgrove (South) - Bardwell Park	1	12538
Kogarah	0	1497
Kogarah	1	12029
Kogarah Bay - Carlton - Allawah	0	770
Kogarah Bay - Carlton - Allawah	1	15408
Monterey - Brighton-le-Sands - Kyeemagh	0	776
Monterey - Brighton-le-Sands - Kyeemagh	1	13133
Rockdale - Banksia	0	1108
Rockdale - Banksia	1	18590
Sans Souci - Ramsgate	0	783
Sans Souci - Ramsgate	1	15760
Arncliffe - Bardwell Valley	0	1172
Arncliffe - Bardwell Valley	1	15342
Bexley - North	0	639
Bexley - North	1	9477
Bexley - South	0	902
Bexley - South	1	14830
Wolli Creek	0	657
Wolli Creek	1	10059
Concord - Mortlake - Cabarita	0	799
Concord - Mortlake - Cabarita	1	22196
Drummoyne - Rodd Point	0	784
Drummoyne - Rodd Point	1	17325
Five Dock - Abbotsford	0	794
Five Dock - Abbotsford	1	20022
Concord West - North Strathfield	0	1200
Concord West - North Strathfield	1	12054
Rhodes	0	477
Rhodes	1	10979
Balmain	0	723
Balmain	1	14573
Lilyfield - Rozelle	0	685
Lilyfield - Rozelle	1	12974
Annandale (NSW)	0	716
Annandale (NSW)	1	8563
Leichhardt	0	806
Leichhardt	1	16476
Canterbury (North) - Ashbury	0	373
Canterbury (North) - Ashbury	1	11490
Croydon Park - Enfield	0	866
Croydon Park - Enfield	1	16483
Dulwich Hill - Lewisham	0	1070
Dulwich Hill - Lewisham	1	16685
Haberfield - Summer Hill	0	777
Haberfield - Summer Hill	1	12538
Homebush	0	1021
Homebush	1	19612
Strathfield South	0	90
Strathfield South	1	3532
Ashfield - North	0	774
Ashfield - North	1	10585
Ashfield - South	0	905
Ashfield - South	1	11311
Burwood (NSW)	0	919
Burwood (NSW)	1	15002
Croydon	0	559
Croydon	1	10343
Strathfield - East	0	1041
Strathfield - East	1	15426
Strathfield - West	0	450
Strathfield - West	1	8788
Chatswood (West) - Lane Cove North	0	769
Chatswood (West) - Lane Cove North	1	20278
St Leonards - Naremburn	0	1534
St Leonards - Naremburn	1	11259
Artarmon	0	280
Artarmon	1	8981
Castle Cove - Northbridge	0	447
Castle Cove - Northbridge	1	12778
Chatswood - East	0	1388
Chatswood - East	1	18260
Greenwich - Riverview	0	549
Greenwich - Riverview	1	12277
Lane Cove	0	501
Lane Cove	1	15101
Willoughby	0	419
Willoughby	1	12368
Asquith - Mount Colah	0	329
Asquith - Mount Colah	1	21567
Berowra - Brooklyn - Cowan	0	147
Berowra - Brooklyn - Cowan	1	11533
Normanhurst - Thornleigh - Westleigh	0	526
Normanhurst - Thornleigh - Westleigh	1	18445
Hornsby - East	0	647
Hornsby - East	1	11425
Hornsby - West	0	365
Hornsby - West	1	10258
Wahroonga (West) - Waitara	0	721
Wahroonga (West) - Waitara	1	11063
Gordon - Killara	0	652
Gordon - Killara	1	21616
Lindfield - Roseville	0	564
Lindfield - Roseville	1	23696
Pymble	0	334
Pymble	1	16690
St Ives	0	459
St Ives	1	21082
Turramurra	0	784
Turramurra	1	19273
Wahroonga (East) - Warrawee	0	1057
