SA3_NAME21	MaxSchoolingCompleted	adults
Kempsey - Nambucca	Year 8	2485
Kempsey - Nambucca	Year 9	4581
Kempsey - Nambucca	Year 10	13885
Kempsey - Nambucca	Year 11	3044
Kempsey - Nambucca	Year 12	14015
Lord Howe Island	Year 8	6
Lord Howe Island	Year 9	14
Lord Howe Island	Year 10	94
Lord Howe Island	Year 11	25
Lord Howe Island	Year 12	207
Port Macquarie	Did not go to school	168
Port Macquarie	Year 8	3167
Port Macquarie	Year 9	6532
Port Macquarie	Year 10	22182
Port Macquarie	Year 11	5486
Port Macquarie	Year 12	31039
Taree - Gloucester	Did not go to school	119
Taree - Gloucester	Year 8	2715
Taree - Gloucester	Year 9	5091
Taree - Gloucester	Year 10	16575
Taree - Gloucester	Year 11	3366
Taree - Gloucester	Year 12	16082
Albury	Did not go to school	421
Albury	Year 8	2381
Albury	Year 9	4009
Albury	Year 10	13576
Albury	Year 11	5936
Albury	Year 12	24122
Lower Murray	Did not go to school	46
Lower Murray	Year 8	733
Lower Murray	Year 9	964
Lower Murray	Year 10	2443
Lower Murray	Year 11	1367
Lower Murray	Year 12	3569
Upper Murray exc. Albury	Did not go to school	121
Upper Murray exc. Albury	Year 8	2269
Upper Murray exc. Albury	Year 9	3585
Upper Murray exc. Albury	Year 10	9361
Upper Murray exc. Albury	Year 11	5063
Upper Murray exc. Albury	Year 12	12277
Armidale	Did not go to school	230
Armidale	Year 8	1307
Armidale	Year 9	2000
Armidale	Year 10	6707
Armidale	Year 11	1888
Armidale	Year 12	15499
Inverell - Tenterfield	Did not go to school	150
Inverell - Tenterfield	Year 8	2161
Inverell - Tenterfield	Year 9	3079
Inverell - Tenterfield	Year 10	10160
Inverell - Tenterfield	Year 11	2216
Inverell - Tenterfield	Year 12	10716
Moree - Narrabri	Did not go to school	92
Moree - Narrabri	Year 8	989
Moree - Narrabri	Year 9	1584
Moree - Narrabri	Year 10	5274
Moree - Narrabri	Year 11	1331
Moree - Narrabri	Year 12	6936
Tamworth - Gunnedah	Did not go to school	275
Tamworth - Gunnedah	Year 8	3448
Tamworth - Gunnedah	Year 9	6150
Tamworth - Gunnedah	Year 10	20849
Tamworth - Gunnedah	Year 11	4993
Tamworth - Gunnedah	Year 12	25716
Lake Macquarie - East	Did not go to school	315
Lake Macquarie - East	Year 8	3741
Lake Macquarie - East	Year 9	8794
Lake Macquarie - East	Year 10	31396
Lake Macquarie - East	Year 11	7173
Lake Macquarie - East	Year 12	47370
Lake Macquarie - West	Did not go to school	250
Lake Macquarie - West	Year 8	2819
Lake Macquarie - West	Year 9	6497
Lake Macquarie - West	Year 10	22778
Lake Macquarie - West	Year 11	5470
Lake Macquarie - West	Year 12	28069
Newcastle	Did not go to school	745
Newcastle	Year 8	4914
Newcastle	Year 9	9792
Newcastle	Year 10	33768
Newcastle	Year 11	8991
Newcastle	Year 12	82475
Richmond Valley - Coastal	Did not go to school	176
Richmond Valley - Coastal	Year 8	2300
Richmond Valley - Coastal	Year 9	4295
Richmond Valley - Coastal	Year 10	17243
Richmond Valley - Coastal	Year 11	5066
Richmond Valley - Coastal	Year 12	38153
Richmond Valley - Hinterland	Did not go to school	189
Richmond Valley - Hinterland	Year 8	2847
Richmond Valley - Hinterland	Year 9	4911
Richmond Valley - Hinterland	Year 10	17739
Richmond Valley - Hinterland	Year 11	4354
Richmond Valley - Hinterland	Year 12	23913
Tweed Valley	Did not go to school	224
Tweed Valley	Year 8	3390
Tweed Valley	Year 9	5898
Tweed Valley	Year 10	22577
Tweed Valley	Year 11	6291
Tweed Valley	Year 12	36176
Griffith - Murrumbidgee (West)	Did not go to school	436
Griffith - Murrumbidgee (West)	Year 8	2549
Griffith - Murrumbidgee (West)	Year 9	3242
Griffith - Murrumbidgee (West)	Year 10	11785
Griffith - Murrumbidgee (West)	Year 11	3014
Griffith - Murrumbidgee (West)	Year 12	14775
Tumut - Tumbarumba	Did not go to school	47
Tumut - Tumbarumba	Year 8	659
Tumut - Tumbarumba	Year 9	1102
Tumut - Tumbarumba	Year 10	3811
Tumut - Tumbarumba	Year 11	1038
Tumut - Tumbarumba	Year 12	4253
Wagga Wagga	Did not go to school	511
Wagga Wagga	Year 8	3699
Wagga Wagga	Year 9	6294
Wagga Wagga	Year 10	22522
Wagga Wagga	Year 11	6088
Wagga Wagga	Year 12	34093
Shoalhaven	Did not go to school	304
Shoalhaven	Year 8	4323
Shoalhaven	Year 9	8427
Shoalhaven	Year 10	28402
Shoalhaven	Year 11	6274
Shoalhaven	Year 12	35958
Southern Highlands	Did not go to school	128
Southern Highlands	Year 8	1155
Southern Highlands	Year 9	2714
Southern Highlands	Year 10	10947
Southern Highlands	Year 11	3001
Southern Highlands	Year 12	23254
Baulkham Hills	Did not go to school	693
Baulkham Hills	Year 8	2335
Baulkham Hills	Year 9	4528
Baulkham Hills	Year 10	16549
Baulkham Hills	Year 11	5567
Baulkham Hills	Year 12	90862
Dural - Wisemans Ferry	Did not go to school	132
Dural - Wisemans Ferry	Year 8	623
Dural - Wisemans Ferry	Year 9	1175
Dural - Wisemans Ferry	Year 10	5174
Dural - Wisemans Ferry	Year 11	1359
Dural - Wisemans Ferry	Year 12	13482
Hawkesbury	Did not go to school	53
Hawkesbury	Year 8	618
Hawkesbury	Year 9	1536
Hawkesbury	Year 10	6728
Hawkesbury	Year 11	1421
Hawkesbury	Year 12	9095
Rouse Hill - McGraths Hill	Did not go to school	175
Rouse Hill - McGraths Hill	Year 8	872
Rouse Hill - McGraths Hill	Year 9	1781
Rouse Hill - McGraths Hill	Year 10	7693
Rouse Hill - McGraths Hill	Year 11	2246
Rouse Hill - McGraths Hill	Year 12	28473
Blacktown	Did not go to school	1681
Blacktown	Year 8	4856
Blacktown	Year 9	5537
Blacktown	Year 10	19530
Blacktown	Year 11	5768
Blacktown	Year 12	69680
Blacktown - North	Did not go to school	746
Blacktown - North	Year 8	2185
Blacktown - North	Year 9	3575
Blacktown - North	Year 10	14385
Blacktown - North	Year 11	4889
Blacktown - North	Year 12	75444
Mount Druitt	Did not go to school	1545
Mount Druitt	Year 8	4445
Mount Druitt	Year 9	5608
Mount Druitt	Year 10	17357
Mount Druitt	Year 11	5481
Mount Druitt	Year 12	46247
Botany	Did not go to school	669
Botany	Year 8	1702
Botany	Year 9	1509
Botany	Year 10	5703
Botany	Year 11	2338
Botany	Year 12	34650
Marrickville - Sydenham - Petersham	Did not go to school	918
Marrickville - Sydenham - Petersham	Year 8	1938
Marrickville - Sydenham - Petersham	Year 9	1132
Marrickville - Sydenham - Petersham	Year 10	4219
Marrickville - Sydenham - Petersham	Year 11	1804
Marrickville - Sydenham - Petersham	Year 12	34876
Sydney Inner City	Did not go to school	1502
Sydney Inner City	Year 8	2593
Sydney Inner City	Year 9	2912
Sydney Inner City	Year 10	11171
Sydney Inner City	Year 11	6421
Sydney Inner City	Year 12	161123
Eastern Suburbs - North	Did not go to school	267
Eastern Suburbs - North	Year 8	1195
Eastern Suburbs - North	Year 9	2061
Eastern Suburbs - North	Year 10	6901
Eastern Suburbs - North	Year 11	3774
Eastern Suburbs - North	Year 12	86666
Eastern Suburbs - South	Did not go to school	753
Eastern Suburbs - South	Year 8	2727
Eastern Suburbs - South	Year 9	3226
Eastern Suburbs - South	Year 10	11550
Eastern Suburbs - South	Year 11	4443
Eastern Suburbs - South	Year 12	82795
Bankstown	Did not go to school	4128
Bankstown	Year 8	7953
Bankstown	Year 9	7035
Bankstown	Year 10	24604
Bankstown	Year 11	7404
Bankstown	Year 12	84714
Canterbury	Did not go to school	3858
Canterbury	Year 8	7504
Canterbury	Year 9	4534
Canterbury	Year 10	14389
Canterbury	Year 11	4881
Canterbury	Year 12	70291
Hurstville	Did not go to school	1849
Hurstville	Year 8	4380
Hurstville	Year 9	4309
Hurstville	Year 10	14457
Hurstville	Year 11	4534
Hurstville	Year 12	75131
Kogarah - Rockdale	Did not go to school	2217
Kogarah - Rockdale	Year 8	5570
Kogarah - Rockdale	Year 9	3886
Kogarah - Rockdale	Year 10	15475
Kogarah - Rockdale	Year 11	5511
Kogarah - Rockdale	Year 12	82623
Canada Bay	Did not go to school	742
Canada Bay	Year 8	2428
Canada Bay	Year 9	2248
Canada Bay	Year 10	8779
Canada Bay	Year 11	2828
Canada Bay	Year 12	52202
Leichhardt	Did not go to school	200
Leichhardt	Year 8	902
Leichhardt	Year 9	1147
Leichhardt	Year 10	4218
Leichhardt	Year 11	1763
Leichhardt	Year 12	35836
Strathfield - Burwood - Ashfield	Did not go to school	2357
Strathfield - Burwood - Ashfield	Year 8	5173
Strathfield - Burwood - Ashfield	Year 9	3490
Strathfield - Burwood - Ashfield	Year 10	11965
Strathfield - Burwood - Ashfield	Year 11	4867
Strathfield - Burwood - Ashfield	Year 12	103768
Chatswood - Lane Cove	Did not go to school	615
Chatswood - Lane Cove	Year 8	1522
Chatswood - Lane Cove	Year 9	2270
Chatswood - Lane Cove	Year 10	6793
Chatswood - Lane Cove	Year 11	3463
Chatswood - Lane Cove	Year 12	77197
Hornsby	Did not go to school	490
Hornsby	Year 8	1217
Hornsby	Year 9	2384
Hornsby	Year 10	8957
Hornsby	Year 11	3167
Hornsby	Year 12	51665
Ku-ring-gai	Did not go to school	412
Ku-ring-gai	Year 8	1316
Ku-ring-gai	Year 9	2844
Ku-ring-gai	Year 10	7846
Ku-ring-gai	Year 11	4198
Ku-ring-gai	Year 12	80475
North Sydney - Mosman	Did not go to school	194
North Sydney - Mosman	Year 8	636
North Sydney - Mosman	Year 9	1400
North Sydney - Mosman	Year 10	5564
North Sydney - Mosman	Year 11	2856
North Sydney - Mosman	Year 12	67269
Manly	Did not go to school	51
Manly	Year 8	400
Manly	Year 9	919
Manly	Year 10	3264
Manly	Year 11	1526
Manly	Year 12	27905
Pittwater	Did not go to school	119
Pittwater	Year 8	758
Pittwater	Year 9	1915
Pittwater	Year 10	8906
Pittwater	Year 11	3086
Pittwater	Year 12	34702
Warringah	Did not go to school	763
Warringah	Year 8	2764
Warringah	Year 9	4922
Warringah	Year 10	19736
Warringah	Year 11	6651
Warringah	Year 12	87383
Camden	Did not go to school	246
Camden	Year 8	1653
Camden	Year 9	3663
Camden	Year 10	15517
Camden	Year 11	4097
Camden	Year 12	28958
Campbelltown (NSW)	Did not go to school	1547
Campbelltown (NSW)	Year 8	5319
Campbelltown (NSW)	Year 9	8873
Campbelltown (NSW)	Year 10	30502
Campbelltown (NSW)	Year 11	8949
Campbelltown (NSW)	Year 12	74371
Wollondilly	Did not go to school	109
Wollondilly	Year 8	1236
Wollondilly	Year 9	2843
Wollondilly	Year 10	12009
Wollondilly	Year 11	2683
Wollondilly	Year 12	14892
Blue Mountains	Did not go to school	154
Blue Mountains	Year 8	1365
Blue Mountains	Year 9	3273
Blue Mountains	Year 10	14444
Blue Mountains	Year 11	4010
Blue Mountains	Year 12	38559
Blue Mountains - South	Year 9	4
Penrith	Did not go to school	749
Penrith	Year 8	4322
Penrith	Year 9	8292
Penrith	Year 10	33745
Penrith	Year 11	8732
Penrith	Year 12	61938
Richmond - Windsor	Did not go to school	155
Richmond - Windsor	Year 8	1380
Richmond - Windsor	Year 9	2521
Richmond - Windsor	Year 10	9447
Richmond - Windsor	Year 11	2161
Richmond - Windsor	Year 12	12274
St Marys	Did not go to school	489
St Marys	Year 8	2006
St Marys	Year 9	3032
St Marys	Year 10	11682
St Marys	Year 11	3151
St Marys	Year 12	20856
Auburn	Did not go to school	3299
Auburn	Year 8	4141
Auburn	Year 9	2735
Auburn	Year 10	7190
Auburn	Year 11	3011
Auburn	Year 12	59122
Carlingford	Did not go to school	713
Carlingford	Year 8	1566
Carlingford	Year 9	2260
Carlingford	Year 10	7039
Carlingford	Year 11	2610
Carlingford	Year 12	42459
Merrylands - Guildford	Did not go to school	5230
Merrylands - Guildford	Year 8	7916
Merrylands - Guildford	Year 9	6199
Merrylands - Guildford	Year 10	20215
Merrylands - Guildford	Year 11	6372
Merrylands - Guildford	Year 12	70950
Parramatta	Did not go to school	1431
Parramatta	Year 8	3256
Parramatta	Year 9	3724
Parramatta	Year 10	13659
Parramatta	Year 11	4421
Parramatta	Year 12	88551
Pennant Hills - Epping	Did not go to school	352
Pennant Hills - Epping	Year 8	640
Pennant Hills - Epping	Year 9	1232
Pennant Hills - Epping	Year 10	3607
Pennant Hills - Epping	Year 11	1634
Pennant Hills - Epping	Year 12	35388
Ryde - Hunters Hill	Did not go to school	1236
Ryde - Hunters Hill	Year 8	3074
Ryde - Hunters Hill	Year 9	3438
Ryde - Hunters Hill	Year 10	12158
Ryde - Hunters Hill	Year 11	4349
Ryde - Hunters Hill	Year 12	92853
Bringelly - Green Valley	Did not go to school	3229
Bringelly - Green Valley	Year 8	5392
Bringelly - Green Valley	Year 9	5545
Bringelly - Green Valley	Year 10	19790
Bringelly - Green Valley	Year 11	6543
Bringelly - Green Valley	Year 12	61859
Fairfield	Did not go to school	12822
Fairfield	Year 8	15479
Fairfield	Year 9	9651
Fairfield	Year 10	23422
Fairfield	Year 11	8586
Fairfield	Year 12	79755
Liverpool	Did not go to school	2830
Liverpool	Year 8	5226
Liverpool	Year 9	4878
Liverpool	Year 10	16523
Liverpool	Year 11	5801
Liverpool	Year 12	63112
Cronulla - Miranda - Caringbah	Did not go to school	396
Cronulla - Miranda - Caringbah	Year 8	2204
Cronulla - Miranda - Caringbah	Year 9	4797
Cronulla - Miranda - Caringbah	Year 10	21167
Cronulla - Miranda - Caringbah	Year 11	5460
Cronulla - Miranda - Caringbah	Year 12	58821
Sutherland - Menai - Heathcote	Did not go to school	319
Sutherland - Menai - Heathcote	Year 8	1972
Sutherland - Menai - Heathcote	Year 9	4489
Sutherland - Menai - Heathcote	Year 10	20518
Sutherland - Menai - Heathcote	Year 11	5189
Sutherland - Menai - Heathcote	Year 12	54477
No usual address (NSW)	Did not go to school	75
No usual address (NSW)	Year 8	332
No usual address (NSW)	Year 9	576
No usual address (NSW)	Year 10	1883
No usual address (NSW)	Year 11	526
No usual address (NSW)	Year 12	3320
Ballarat	Did not go to school	354
Ballarat	Year 8	4481
Ballarat	Year 9	7007
Ballarat	Year 10	15700
Ballarat	Year 11	13519
Ballarat	Year 12	47548
Creswick - Daylesford - Ballan	Did not go to school	64
Creswick - Daylesford - Ballan	Year 8	1130
Creswick - Daylesford - Ballan	Year 9	1955
Creswick - Daylesford - Ballan	Year 10	4420
Creswick - Daylesford - Ballan	Year 11	3815
Creswick - Daylesford - Ballan	Year 12	12332
Maryborough - Pyrenees	Did not go to school	78
Maryborough - Pyrenees	Year 8	1602
Maryborough - Pyrenees	Year 9	2349
Maryborough - Pyrenees	Year 10	5071
Maryborough - Pyrenees	Year 11	3601
Maryborough - Pyrenees	Year 12	7720
Bendigo	Did not go to school	658
Bendigo	Year 8	4520
Bendigo	Year 9	6437
Bendigo	Year 10	15130
Bendigo	Year 11	12056
Bendigo	Year 12	39328
Heathcote - Castlemaine - Kyneton	Did not go to school	127
Heathcote - Castlemaine - Kyneton	Year 8	1838
Heathcote - Castlemaine - Kyneton	Year 9	2914
Heathcote - Castlemaine - Kyneton	Year 10	7120
Heathcote - Castlemaine - Kyneton	Year 11	5896
Heathcote - Castlemaine - Kyneton	Year 12	22396
Loddon - Elmore	Did not go to school	24
Loddon - Elmore	Year 8	660
Loddon - Elmore	Year 9	1017
Loddon - Elmore	Year 10	2189
Loddon - Elmore	Year 11	1688
Loddon - Elmore	Year 12	3407
Barwon - West	Did not go to school	43
Barwon - West	Year 8	623
Barwon - West	Year 9	1235
Barwon - West	Year 10	3061
Barwon - West	Year 11	3006
Barwon - West	Year 12	8404
Geelong	Did not go to school	1476
Geelong	Year 8	8674
Geelong	Year 9	11360
Geelong	Year 10	26038
Geelong	Year 11	24192
Geelong	Year 12	92899
Surf Coast - Bellarine Peninsula	Did not go to school	157
Surf Coast - Bellarine Peninsula	Year 8	2169
Surf Coast - Bellarine Peninsula	Year 9	3998
Surf Coast - Bellarine Peninsula	Year 10	10538
Surf Coast - Bellarine Peninsula	Year 11	11099
Surf Coast - Bellarine Peninsula	Year 12	43783
Upper Goulburn Valley	Did not go to school	204
Upper Goulburn Valley	Year 8	2690
Upper Goulburn Valley	Year 9	4296
Upper Goulburn Valley	Year 10	9639
Upper Goulburn Valley	Year 11	7836
Upper Goulburn Valley	Year 12	21033
Wangaratta - Benalla	Did not go to school	151
Wangaratta - Benalla	Year 8	2260
Wangaratta - Benalla	Year 9	3361
Wangaratta - Benalla	Year 10	8007
Wangaratta - Benalla	Year 11	6849
Wangaratta - Benalla	Year 12	16626
Wodonga - Alpine	Did not go to school	302
Wodonga - Alpine	Year 8	2818
Wodonga - Alpine	Year 9	4289
Wodonga - Alpine	Year 10	12976
Wodonga - Alpine	Year 11	9526
Wodonga - Alpine	Year 12	28087
Baw Baw	Did not go to school	173
Baw Baw	Year 8	2409
Baw Baw	Year 9	3870
Baw Baw	Year 10	9214
Baw Baw	Year 11	7558
Baw Baw	Year 12	20457
Gippsland - East	Did not go to school	127
Gippsland - East	Year 8	2303
Gippsland - East	Year 9	3800
Gippsland - East	Year 10	8961
Gippsland - East	Year 11	6578
Gippsland - East	Year 12	15852
Gippsland - South West	Did not go to school	245
Gippsland - South West	Year 8	3018
Gippsland - South West	Year 9	4932
Gippsland - South West	Year 10	11441
Gippsland - South West	Year 11	10043
Gippsland - South West	Year 12	25603
Latrobe Valley	Did not go to school	408
Latrobe Valley	Year 8	4063
Latrobe Valley	Year 9	5504
Latrobe Valley	Year 10	12829
Latrobe Valley	Year 11	10738
Latrobe Valley	Year 12	24183
Wellington	Did not go to school	133
Wellington	Year 8	2061
Wellington	Year 9	3330
Wellington	Year 10	8293
Wellington	Year 11	6337
Wellington	Year 12	14203
Brunswick - Coburg	Did not go to school	1197
Brunswick - Coburg	Year 8	3815
Brunswick - Coburg	Year 9	1942
Brunswick - Coburg	Year 10	4324
Brunswick - Coburg	Year 11	4740
Brunswick - Coburg	Year 12	59158
Darebin - South	Did not go to school	670
Darebin - South	Year 8	2211
Darebin - South	Year 9	1172
Darebin - South	Year 10	2527
Darebin - South	Year 11	2730
Darebin - South	Year 12	34077
Essendon	Did not go to school	705
Essendon	Year 8	2239
Essendon	Year 9	1755
Essendon	Year 10	4240
Essendon	Year 11	4809
Essendon	Year 12	41674
Melbourne City	Did not go to school	1037
Melbourne City	Year 8	1452
Melbourne City	Year 9	1695
Melbourne City	Year 10	4778
Melbourne City	Year 11	6156
Melbourne City	Year 12	113320
Port Phillip	Did not go to school	442
Port Phillip	Year 8	1689
Port Phillip	Year 9	1826
Port Phillip	Year 10	5140
Port Phillip	Year 11	5907
Port Phillip	Year 12	68682
Stonnington - West	Did not go to school	272
Stonnington - West	Year 8	957
Stonnington - West	Year 9	868
Stonnington - West	Year 10	2373
Stonnington - West	Year 11	2928
Stonnington - West	Year 12	45930
Yarra	Did not go to school	862
Yarra	Year 8	2123
Yarra	Year 9	1460
Yarra	Year 10	3502
Yarra	Year 11	3995
Yarra	Year 12	64776
Boroondara	Did not go to school	811
Boroondara	Year 8	3310
Boroondara	Year 9	3896
Boroondara	Year 10	7813
Boroondara	Year 11	9383
Boroondara	Year 12	110572
Manningham - West	Did not go to school	1155
Manningham - West	Year 8	4578
Manningham - West	Year 9	3311
Manningham - West	Year 10	6665
Manningham - West	Year 11	6590
Manningham - West	Year 12	57041
Whitehorse - West	Did not go to school	1056
Whitehorse - West	Year 8	3245
Whitehorse - West	Year 9	3304
Whitehorse - West	Year 10	6281
Whitehorse - West	Year 11	6848
Whitehorse - West	Year 12	65729
Bayside	Did not go to school	304
Bayside	Year 8	1973
Bayside	Year 9	2666
Bayside	Year 10	6641
Bayside	Year 11	7765
Bayside	Year 12	60792
Glen Eira	Did not go to school	859
Glen Eira	Year 8	3906
Glen Eira	Year 9	3779
Glen Eira	Year 10	8597
Glen Eira	Year 11	9348
Glen Eira	Year 12	97229
Kingston	Did not go to school	687
Kingston	Year 8	3682
Kingston	Year 9	4501
Kingston	Year 10	11282
Kingston	Year 11	11481
Kingston	Year 12	64990
Stonnington - East	Did not go to school	206
Stonnington - East	Year 8	891
Stonnington - East	Year 9	911
Stonnington - East	Year 10	1929
Stonnington - East	Year 11	2437
Stonnington - East	Year 12	27909
Banyule	Did not go to school	918
Banyule	Year 8	4312
Banyule	Year 9	4761
Banyule	Year 10	10320
Banyule	Year 11	10513
Banyule	Year 12	68956
Darebin - North	Did not go to school	1676
Darebin - North	Year 8	5853
Darebin - North	Year 9	3325
Darebin - North	Year 10	6682
Darebin - North	Year 11	6296
Darebin - North	Year 12	52240
Nillumbik - Kinglake	Did not go to school	131
Nillumbik - Kinglake	Year 8	1423
Nillumbik - Kinglake	Year 9	2741
Nillumbik - Kinglake	Year 10	6681
Nillumbik - Kinglake	Year 11	7563
Nillumbik - Kinglake	Year 12	34101
Whittlesea - Wallan	Did not go to school	3753
Whittlesea - Wallan	Year 8	12091
Whittlesea - Wallan	Year 9	10787
Whittlesea - Wallan	Year 10	24169
Whittlesea - Wallan	Year 11	20486
Whittlesea - Wallan	Year 12	116092
Keilor	Did not go to school	751
Keilor	Year 8	3767
Keilor	Year 9	2723
Keilor	Year 10	5587
Keilor	Year 11	5670
Keilor	Year 12	30316
Macedon Ranges	Did not go to school	38
Macedon Ranges	Year 8	822
Macedon Ranges	Year 9	1582
Macedon Ranges	Year 10	3800
Macedon Ranges	Year 11	3827
Macedon Ranges	Year 12	14587
Moreland - North	Did not go to school	1286
Moreland - North	Year 8	4472
Moreland - North	Year 9	2817
Moreland - North	Year 10	5897
Moreland - North	Year 11	5291
Moreland - North	Year 12	41510
Sunbury	Did not go to school	171
Sunbury	Year 8	1300
Sunbury	Year 9	2198
Sunbury	Year 10	5996
Sunbury	Year 11	5435
Sunbury	Year 12	19538
Tullamarine - Broadmeadows	Did not go to school	5385
Tullamarine - Broadmeadows	Year 8	11467
Tullamarine - Broadmeadows	Year 9	9144
Tullamarine - Broadmeadows	Year 10	17731
Tullamarine - Broadmeadows	Year 11	14133
Tullamarine - Broadmeadows	Year 12	89022
Knox	Did not go to school	1063
Knox	Year 8	4869
Knox	Year 9	7071
Knox	Year 10	17443
Knox	Year 11	16158
Knox	Year 12	80138
Manningham - East	Did not go to school	129
Manningham - East	Year 8	747
Manningham - East	Year 9	979
Manningham - East	Year 10	2267
Manningham - East	Year 11	2505
Manningham - East	Year 12	14547
Maroondah	Did not go to school	871
Maroondah	Year 8	3585
Maroondah	Year 9	4719
Maroondah	Year 10	11669
Maroondah	Year 11	11871
Maroondah	Year 12	57206
Whitehorse - East	Did not go to school	622
Whitehorse - East	Year 8	1979
Whitehorse - East	Year 9	2192
Whitehorse - East	Year 10	4733
Whitehorse - East	Year 11	4753
Whitehorse - East	Year 12	35485
Yarra Ranges	Did not go to school	698
Yarra Ranges	Year 8	4686
Yarra Ranges	Year 9	8535
Yarra Ranges	Year 10	21040
Yarra Ranges	Year 11	19236
