SA3_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Wyong			183750	17
Wyong			210000	6
Wyong			Inf	12
Wyong	0			791
Wyong	0		0	153
Wyong	0		7875	36
Wyong	0		15750	99
Wyong	0		21000	194
Wyong	0		26250	383
Wyong	0		34125	781
Wyong	0		42000	913
Wyong	0		52500	1208
Wyong	0		65625	1284
Wyong	0		78750	1055
Wyong	0		91875	682
Wyong	0		105000	577
Wyong	0		131250	884
Wyong	0		157500	390
Wyong	0		183750	191
Wyong	0		210000	86
Wyong	0		Inf	151
Wyong	1	0		2401
Wyong	1	0	0	365
Wyong	1	0	7875	130
Wyong	1	0	15750	76
Wyong	1	0	21000	91
Wyong	1	0	26250	503
Wyong	1	0	34125	329
Wyong	1	0	42000	2618
Wyong	1	0	52500	1857
Wyong	1	0	65625	2120
Wyong	1	0	78750	2828
Wyong	1	0	91875	2127
Wyong	1	0	105000	2371
Wyong	1	0	131250	5176
Wyong	1	0	157500	3929
Wyong	1	0	183750	2956
Wyong	1	0	210000	1732
Wyong	1	0	Inf	3398
Wyong	1	1	7875	11
Wyong	1	1	15750	17
Wyong	1	1	21000	19
Wyong	1	1	26250	49
Wyong	1	1	34125	74
Wyong	1	1	42000	213
Bathurst				3
Bathurst			26250	8
Bathurst			42000	13
Bathurst			52500	18
Bathurst			65625	20
Bathurst			78750	27
Bathurst			91875	17
Bathurst			105000	13
Bathurst			131250	23
Bathurst			157500	11
Bathurst			183750	6
Bathurst			Inf	3
Bathurst	0			224
Bathurst	0		0	28
Bathurst	0		7875	12
Bathurst	0		15750	23
Bathurst	0		21000	57
Bathurst	0		26250	82
Bathurst	0		34125	164
Bathurst	0		42000	185
Bathurst	0		52500	282
Bathurst	0		65625	282
Bathurst	0		78750	222
Bathurst	0		91875	167
Bathurst	0		105000	141
Bathurst	0		131250	243
Bathurst	0		157500	92
Bathurst	0		183750	51
Bathurst	0		210000	15
Bathurst	0		Inf	42
Bathurst	1	0		823
Bathurst	1	0	0	87
Bathurst	1	0	7875	38
Bathurst	1	0	15750	24
Bathurst	1	0	21000	32
Bathurst	1	0	26250	130
Bathurst	1	0	34125	62
Bathurst	1	0	42000	529
Bathurst	1	0	52500	431
Bathurst	1	0	65625	617
Bathurst	1	0	78750	776
Bathurst	1	0	91875	560
Bathurst	1	0	105000	645
Bathurst	1	0	131250	1429
Bathurst	1	0	157500	1189
Bathurst	1	0	183750	878
Bathurst	1	0	210000	639
Bathurst	1	0	Inf	1203
Bathurst	1	1	7875	4
Bathurst	1	1	15750	10
Bathurst	1	1	26250	10
Bathurst	1	1	34125	19
Bathurst	1	1	42000	55
Lachlan Valley				8
Lachlan Valley			0	3
Lachlan Valley			15750	3
Lachlan Valley			26250	8
Lachlan Valley			34125	13
Lachlan Valley			42000	19
Lachlan Valley			52500	39
Lachlan Valley			65625	27
Lachlan Valley			78750	27
Lachlan Valley			91875	10
Lachlan Valley			105000	10
Lachlan Valley			131250	16
Lachlan Valley			157500	3
Lachlan Valley			183750	4
Lachlan Valley			210000	5
Lachlan Valley	0			260
Lachlan Valley	0		0	26
Lachlan Valley	0		7875	6
Lachlan Valley	0		15750	30
Lachlan Valley	0		21000	71
Lachlan Valley	0		26250	137
Lachlan Valley	0		34125	213
Lachlan Valley	0		42000	266
Lachlan Valley	0		52500	332
Lachlan Valley	0		65625	316
Lachlan Valley	0		78750	200
Lachlan Valley	0		91875	143
Lachlan Valley	0		105000	117
Lachlan Valley	0		131250	164
Lachlan Valley	0		157500	55
Lachlan Valley	0		183750	40
Lachlan Valley	0		210000	16
Lachlan Valley	0		Inf	37
Lachlan Valley	1	0		1120
Lachlan Valley	1	0	0	170
Lachlan Valley	1	0	7875	77
Lachlan Valley	1	0	15750	37
Lachlan Valley	1	0	21000	26
Lachlan Valley	1	0	26250	229
Lachlan Valley	1	0	34125	133
Lachlan Valley	1	0	42000	1009
Lachlan Valley	1	0	52500	644
Lachlan Valley	1	0	65625	777
Lachlan Valley	1	0	78750	1000
Lachlan Valley	1	0	91875	667
Lachlan Valley	1	0	105000	751
Lachlan Valley	1	0	131250	1466
Lachlan Valley	1	0	157500	1106
Lachlan Valley	1	0	183750	787
Lachlan Valley	1	0	210000	407
Lachlan Valley	1	0	Inf	919
Lachlan Valley	1	1	7875	7
Lachlan Valley	1	1	15750	9
Lachlan Valley	1	1	21000	10
Lachlan Valley	1	1	26250	22
Lachlan Valley	1	1	34125	32
Lachlan Valley	1	1	42000	95
Lithgow - Mudgee				5
Lithgow - Mudgee			26250	5
Lithgow - Mudgee			34125	5
Lithgow - Mudgee			42000	18
Lithgow - Mudgee			52500	29
Lithgow - Mudgee			65625	28
Lithgow - Mudgee			78750	18
Lithgow - Mudgee			91875	10
Lithgow - Mudgee			105000	10
Lithgow - Mudgee			131250	18
Lithgow - Mudgee			157500	7
Lithgow - Mudgee			183750	4
Lithgow - Mudgee			210000	7
Lithgow - Mudgee	0			190
Lithgow - Mudgee	0		0	30
Lithgow - Mudgee	0		7875	11
Lithgow - Mudgee	0		15750	28
Lithgow - Mudgee	0		21000	65
Lithgow - Mudgee	0		26250	118
Lithgow - Mudgee	0		34125	178
Lithgow - Mudgee	0		42000	219
Lithgow - Mudgee	0		52500	295
Lithgow - Mudgee	0		65625	243
Lithgow - Mudgee	0		78750	186
Lithgow - Mudgee	0		91875	139
Lithgow - Mudgee	0		105000	92
Lithgow - Mudgee	0		131250	160
Lithgow - Mudgee	0		157500	67
Lithgow - Mudgee	0		183750	54
Lithgow - Mudgee	0		210000	12
Lithgow - Mudgee	0		Inf	47
Lithgow - Mudgee	1	0		905
Lithgow - Mudgee	1	0	0	114
Lithgow - Mudgee	1	0	7875	61
Lithgow - Mudgee	1	0	15750	20
Lithgow - Mudgee	1	0	21000	22
Lithgow - Mudgee	1	0	26250	189
Lithgow - Mudgee	1	0	34125	109
Lithgow - Mudgee	1	0	42000	767
Lithgow - Mudgee	1	0	52500	533
