SA3_NAME16	medianTotalHouseholdIncome
Maryborough - Pyrenees	53404
Bendigo	74620
Heathcote - Castlemaine - Kyneton	77584
Loddon - Elmore	61100
Barwon - West	102648
Geelong	82472
Surf Coast - Bellarine Peninsula	92040
Upper Goulburn Valley	69056
Wangaratta - Benalla	66768
Wodonga - Alpine	75972
Baw Baw	77844
Gippsland - East	57668
Gippsland - South West	62504
Latrobe Valley	65468
Wellington	66196
Brunswick - Coburg	106548
Darebin - South	111332
Essendon	106392
Melbourne City	87204
Port Phillip	107588
Stonnington - West	111332
Yarra	118040
Boroondara	123552
Manningham - West	94120
Whitehorse - West	93080
Bayside	129324
Glen Eira	110708
Kingston	102180
Stonnington - East	123448
Banyule	105404
Darebin - North	86736
Nillumbik - Kinglake	126204
Whittlesea - Wallan	93080
Keilor	100620
Macedon Ranges	113516
Moreland - North	93340
Sunbury	100828
Tullamarine - Broadmeadows	86216
Knox	97968
Manningham - East	127348
Maroondah	96980
Whitehorse - East	100412
Yarra Ranges	97864
Cardinia	97448
Casey - North	96200
Casey - South	101660
Dandenong	77636
Monash	98488
Brimbank	77688
Hobsons Bay	104312
Maribyrnong	103896
Melton - Bacchus Marsh	97396
Wyndham	104728
Frankston	85956
Mornington Peninsula	80860
Grampians	64584
Mildura	69732
Murray River - Swan Hill	64012
Campaspe	65884
Moira	61984
Shepparton	72696
Glenelg - Southern Grampians	64272
Colac - Corangamite	66092
Warrnambool	75452
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Capalaba	99684
Cleveland - Stradbroke	87984
Wynnum - Manly	109200
Bald Hills - Everton Park	115544
Chermside	100776
Nundah	103220
Sandgate	90272
Carindale	120432
Holland Park - Yeronga	105664
Mt Gravatt	104260
Nathan	107224
Rocklea - Acacia Ridge	100932
Sunnybank	91676
Centenary	121316
Kenmore - Brookfield - Moggill	146692
Sherwood - Indooroopilly	108056
The Gap - Enoggera	117364
Brisbane Inner	99944
Brisbane Inner - East	128388
Brisbane Inner - North	111956
Brisbane Inner - West	124072
Cairns - North	94588
Cairns - South	76388
Innisfail - Cassowary Coast	62972
Port Douglas - Daintree	68328
Tablelands (East) - Kuranda	63284
Darling Downs (West) - Maranoa	73632
Darling Downs - East	68484
Granite Belt	58604
Central Highlands (Qld)	106808
Rockhampton	78624
Biloela	91832
Gladstone	85228
Broadbeach - Burleigh	90376
Coolangatta	85020
Gold Coast - North	69212
Gold Coast Hinterland	90636
Mudgeeraba - Tallebudgera	111332
Nerang	92716
Ormeau - Oxenford	103948
Robina	88504
Southport	73528
Surfers Paradise	76232
Forest Lake - Oxley	82472
Ipswich Hinterland	73112
Ipswich Inner	80548
Springfield - Redbank	96408
Beaudesert	62348
Beenleigh	73008
Browns Plains	83044
Jimboomba	109512
Loganlea - Carbrook	86164
Springwood - Kingston	75036
Bowen Basin - North	104780
Mackay	96356
Whitsunday	81848
Bribie - Beachmere	53716
Caboolture	74464
Caboolture Hinterland	77064
Narangba - Burpengary	87724
Redcliffe	68640
The Hills District	125684
North Lakes	96720
Strathpine	83616
Far North	70980
Outback - North	104312
Outback - South	69888
Buderim	90428
Caloundra	80392
Maroochy	77948
Noosa	81380
Sunshine Coast Hinterland	84760
Nambour	79768
Noosa Hinterland	77792
Toowoomba	78104
Charters Towers - Ayr - Ingham	65728
Townsville	88452
Bundaberg	60840
Burnett	53092
Gympie - Cooloola	57980
Hervey Bay	57512
Maryborough	52104
Migratory - Offshore - Shipping (Qld)	90948
No usual address (Qld)	
Adelaide City	76596
Adelaide Hills	98540
Burnside	107588
Campbelltown (SA)	82992
Norwood - Payneham - St Peters	86528
Prospect - Walkerville	104780
Unley	103948
Gawler - Two Wells	77584
Playford	65260
Port Adelaide - East	80860
Salisbury	70928
Tea Tree Gully	84812
Holdfast Bay	83668
Marion	80860
Mitcham	103480
Onkaparinga	73528
Charles Sturt	81120
Port Adelaide - West	71968
West Torrens	82732
Barossa	76908
Lower North	59488
Mid North	54444
Yorke Peninsula	51064
Eyre Peninsula and South West	64740
Outback - North and East	72436
Fleurieu - Kangaroo Island	56056
Limestone Coast	68432
Murray and Mallee	57928
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Augusta - Margaret River - Busselton	76804
Bunbury	80600
Manjimup	64272
Mandurah	66872
Cottesloe - Claremont	145080
Perth City	108836
Bayswater - Bassendean	90324
Mundaring	95576
Swan	96616
Joondalup	112632
Stirling	92768
Wanneroo	98384
Armadale	92248
Belmont - Victoria Park	91416
Canning	93600
Gosnells	86112
Kalamunda	97032
Serpentine - Jarrahdale	108992
South Perth	104208
Cockburn	103376
Fremantle	101660
Kwinana	89232
Melville	109408
Rockingham	89648
Albany	68796
Wheat Belt - North	70148
Wheat Belt - South	71344
Kimberley	91624
East Pilbara	143728
West Pilbara	161928
Esperance	79976
Gascoyne	80704
Goldfields	114400
Mid West	75660
Migratory - Offshore - Shipping (WA)	117000
No usual address (WA)	
Brighton	70980
Hobart - North East	83252
Hobart - North West	68068
Hobart - South and West	89180
Hobart Inner	95680
Sorell - Dodges Ferry	73216
Launceston	69992
Meander Valley - West Tamar	62972
North East	57200
Central Highlands (Tas.)	65884
Huon - Bruny Island	64428
South East Coast	49712
Burnie - Ulverstone	60840
Devonport	63284
West Coast	62920
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin City	117364
Darwin Suburbs	111696
Litchfield	121680
Palmerston	114400
Alice Springs	98696
Barkly	77012
Daly - Tiwi - West Arnhem	60684
East Arnhem	100932
Katherine	88608
Migratory - Offshore - Shipping (NT)	10823800
No usual address (NT)	
Belconnen	115804
Canberra East	62712
Gungahlin	131924
North Canberra	121732
South Canberra	140972
Tuggeranong	119860
Weston Creek	123604
Woden Valley	123500
Molonglo	142168
Uriarra - Namadgi	159224
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Christmas Island	109668
Cocos (Keeling) Islands	130988
Jervis Bay	94900
Norfolk Island	61568
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
