SA3_NAME16	medianMortgageRepayment
Banyule	26004
Darebin - North	24000
Nillumbik - Kinglake	26004
Whittlesea - Wallan	22800
Keilor	26004
Macedon Ranges	24168
Moreland - North	24000
Sunbury	21000
Tullamarine - Broadmeadows	22008
Knox	24000
Manningham - East	30000
Maroondah	24000
Whitehorse - East	26400
Yarra Ranges	23400
Cardinia	22392
Casey - North	22800
Casey - South	23400
Dandenong	21600
Monash	28596
Brimbank	20400
Hobsons Bay	26004
Maribyrnong	25200
Melton - Bacchus Marsh	21600
Wyndham	23088
Frankston	21600
Mornington Peninsula	23868
Grampians	12516
Mildura	15396
Murray River - Swan Hill	12996
Campaspe	15600
Moira	15600
Shepparton	15600
Glenelg - Southern Grampians	12996
Colac - Corangamite	15600
Warrnambool	17160
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Capalaba	23400
Cleveland - Stradbroke	24000
Wynnum - Manly	25200
Bald Hills - Everton Park	24000
Chermside	25200
Nundah	23400
Sandgate	21600
Carindale	26400
Holland Park - Yeronga	25200
Mt Gravatt	25200
Nathan	25200
Rocklea - Acacia Ridge	22464
Sunnybank	21600
Centenary	24000
Kenmore - Brookfield - Moggill	27732
Sherwood - Indooroopilly	26004
The Gap - Enoggera	26004
Brisbane Inner	24000
Brisbane Inner - East	30000
Brisbane Inner - North	26004
Brisbane Inner - West	30156
Cairns - North	20796
Cairns - South	18204
Innisfail - Cassowary Coast	15600
Port Douglas - Daintree	18204
Tablelands (East) - Kuranda	17160
Darling Downs (West) - Maranoa	15600
Darling Downs - East	15600
Granite Belt	15600
Central Highlands (Qld)	18000
Rockhampton	18204
Biloela	15600
Gladstone	19200
Broadbeach - Burleigh	24228
Coolangatta	24000
Gold Coast - North	20796
Gold Coast Hinterland	23400
Mudgeeraba - Tallebudgera	26004
Nerang	23400
Ormeau - Oxenford	24000
Robina	22884
Southport	21000
Surfers Paradise	23400
Forest Lake - Oxley	19560
Ipswich Hinterland	18204
Ipswich Inner	18204
Springfield - Redbank	20520
Beaudesert	18204
Beenleigh	18720
Browns Plains	19200
Jimboomba	24000
Loganlea - Carbrook	20796
Springwood - Kingston	19656
Bowen Basin - North	15600
Mackay	20796
Whitsunday	20400
Bribie - Beachmere	19764
Caboolture	19500
Caboolture Hinterland	20580
Narangba - Burpengary	20796
Redcliffe	20796
The Hills District	24960
North Lakes	21840
Strathpine	19500
Far North	18204
Outback - North	18000
Outback - South	10920
Buderim	24000
Caloundra	23400
Maroochy	21840
Noosa	24000
Sunshine Coast Hinterland	22356
Nambour	21324
Noosa Hinterland	21600
Toowoomba	18204
Charters Towers - Ayr - Ingham	14556
Townsville	18204
Bundaberg	15600
Burnett	12996
Gympie - Cooloola	15912
Hervey Bay	17160
Maryborough	14148
Migratory - Offshore - Shipping (Qld)	
No usual address (Qld)	
Adelaide City	20796
Adelaide Hills	20796
Burnside	27600
Campbelltown (SA)	20832
Norwood - Payneham - St Peters	24000
Prospect - Walkerville	24000
Unley	26004
Gawler - Two Wells	18000
Playford	15600
Port Adelaide - East	19236
Salisbury	15600
Tea Tree Gully	18204
Holdfast Bay	23400
Marion	20400
Mitcham	23904
Onkaparinga	17424
Charles Sturt	20796
Port Adelaide - West	18204
West Torrens	20940
Barossa	16800
Lower North	12972
Mid North	10656
Yorke Peninsula	12996
Eyre Peninsula and South West	14040
Outback - North and East	13656
Fleurieu - Kangaroo Island	15600
Limestone Coast	12996
Murray and Mallee	12996
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Augusta - Margaret River - Busselton	20796
Bunbury	19392
Manjimup	16644
Mandurah	20796
Cottesloe - Claremont	39516
Perth City	26004
Bayswater - Bassendean	22260
Mundaring	23400
Swan	22104
Joondalup	24960
Stirling	23400
Wanneroo	22776
Armadale	21000
Belmont - Victoria Park	22104
Canning	21840
Gosnells	20796
Kalamunda	22884
Serpentine - Jarrahdale	23652
South Perth	26400
Cockburn	23400
Fremantle	26004
Kwinana	20688
Melville	26400
Rockingham	20796
Albany	17880
Wheat Belt - North	17100
Wheat Belt - South	13260
Kimberley	26004
East Pilbara	17760
West Pilbara	24000
Esperance	18204
Gascoyne	20796
Goldfields	18204
Mid West	18204
Migratory - Offshore - Shipping (WA)	20796
No usual address (WA)	
Brighton	16800
Hobart - North East	18456
Hobart - North West	15600
Hobart - South and West	19764
Hobart Inner	21600
Sorell - Dodges Ferry	16896
Launceston	15600
Meander Valley - West Tamar	15600
North East	14376
Central Highlands (Tas.)	14400
Huon - Bruny Island	15600
South East Coast	13200
Burnie - Ulverstone	14400
Devonport	15600
West Coast	12636
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin City	24000
Darwin Suburbs	24336
Litchfield	27000
Palmerston	24444
Alice Springs	21600
Barkly	13044
Daly - Tiwi - West Arnhem	16152
East Arnhem	19968
Katherine	19380
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Belconnen	24000
Canberra East	20544
Gungahlin	25476
North Canberra	24960
South Canberra	27300
Tuggeranong	24000
Weston Creek	27012
Woden Valley	26004
Molonglo	25188
Uriarra - Namadgi	27552
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Christmas Island	15600
Cocos (Keeling) Islands	23664
Jervis Bay	22188
Norfolk Island	15600
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
