SA3_NAME21	persons
Tea Tree Gully	96660
Holdfast Bay	35711
Marion	96326
Mitcham	66290
Onkaparinga	176533
Charles Sturt	118442
Port Adelaide - West	60848
West Torrens	65057
Barossa	37975
Lower North	22691
Mid North	27164
Yorke Peninsula	26652
Eyre Peninsula and South West	57092
Outback - North and East	25560
Fleurieu - Kangaroo Island	55593
Limestone Coast	66851
Murray and Mallee	71259
Migratory - Offshore - Shipping (SA)	12
No usual address (SA)	3377
Augusta - Margaret River - Busselton	57332
Bunbury	107549
Manjimup	23863
Mandurah	107641
Cottesloe - Claremont	71735
Perth City	110530
Bayswater - Bassendean	84462
Mundaring	43792
Swan	148324
Joondalup	160641
Stirling	208149
Wanneroo	208506
Armadale	94184
Belmont - Victoria Park	75312
Canning	99139
Gosnells	126376
Kalamunda	58762
Serpentine - Jarrahdale	32242
South Perth	43448
Cockburn	115824
Fremantle	39910
Kwinana	45867
Melville	106127
Rockingham	135678
Albany	61880
Wheat Belt - North	55937
Wheat Belt - South	19357
Kimberley	35092
East Pilbara	25443
West Pilbara	29594
Esperance	15970
Gascoyne	9537
Goldfields	38267
Mid West	54981
Migratory - Offshore - Shipping (WA)	514
No usual address (WA)	8055
Brighton	19589
Hobart - North East	59161
Hobart - North West	58008
Hobart - South and West	36641
Hobart Inner	55163
Sorell - Dodges Ferry	18515
Launceston	87345
Meander Valley - West Tamar	24254
North East	39600
Central Highlands (Tas.)	12440
Huon - Bruny Island	21707
South East Coast	7582
Burnie - Ulverstone	50028
Devonport	48293
West Coast	17841
Migratory - Offshore - Shipping (Tas.)	19
No usual address (Tas.)	1377
Darwin City	27044
Darwin Suburbs	54701
Litchfield	20983
Palmerston	37176
Alice Springs	36471
Barkly	5287
Daly - Tiwi - West Arnhem	15805
East Arnhem	12798
Katherine	18739
Migratory - Offshore - Shipping (NT)	99
No usual address (NT)	3500
Belconnen	106061
Canberra East	1934
Gungahlin	87682
North Canberra	61188
South Canberra	31592
Tuggeranong	89461
Weston Creek	24630
Woden Valley	39279
Molonglo	11435
Uriarra - Namadgi	625
No usual address (ACT)	605
Christmas Island	1692
Cocos (Keeling) Islands	593
Jervis Bay	310
Norfolk Island	2188
No usual address (OT)	11
