SED_NAME21	PrivateDwelling	persons
Franklin (Pembroke)	0	1529
Franklin (Pembroke)	1	30119
Franklin (Rumney)	0	1690
Franklin (Rumney)	1	25557
Lyons (Derwent)	0	1758
Lyons (Derwent)	1	20342
Lyons (Launceston)	0	459
Lyons (Launceston)	1	9848
Lyons (McIntyre)	0	2123
Lyons (McIntyre)	1	28187
Lyons (Montgomery)	0	786
Lyons (Montgomery)	1	4543
Lyons (Prosser)	0	2838
Lyons (Prosser)	1	31473
Lyons (Rumney)	0	373
Lyons (Rumney)	1	9465
Migratory - Offshore - Shipping (Tas.)	0	366
Arafura	0	2487
Arafura	1	7981
Araluen	0	1942
Araluen	1	8968
Arnhem	0	3695
Arnhem	1	8048
Barkly	0	4324
Barkly	1	7152
Blain	0	799
Blain	1	7729
Braitling	0	1387
Braitling	1	7889
Brennan	0	532
Brennan	1	8228
Casuarina	0	2439
Casuarina	1	8289
Daly	0	4378
Daly	1	8279
Drysdale	0	1327
Drysdale	1	7416
Fannie Bay	0	1075
Fannie Bay	1	7484
Fong Lim	0	1975
Fong Lim	1	7307
Goyder	0	1941
Goyder	1	8626
Gwoja	0	3171
Gwoja	1	6958
Johnston	0	627
Johnston	1	8133
Karama	0	1195
Karama	1	7720
Katherine	0	3402
Katherine	1	7320
Mulka	0	1599
Mulka	1	8304
Namatjira	0	4038
Namatjira	1	8583
Nelson	0	6390
Nelson	1	7696
Nightcliff	0	606
Nightcliff	1	8219
Port Darwin	0	6206
Port Darwin	1	9380
Sanderson	0	951
Sanderson	1	7559
Spillett	0	698
Spillett	1	10658
Wanguri	0	606
Wanguri	1	9119
Migratory - Offshore - Shipping (NT)	0	470
Migratory - Offshore - Shipping (NT)	1	12
Brindabella	0	2302
Brindabella	1	79735
Ginninderra	0	4908
Ginninderra	1	89662
Kurrajong	0	13897
Kurrajong	1	75544
Murrumbidgee	0	4267
Murrumbidgee	1	84121
Yerrabi	0	2511
Yerrabi	1	95354
Unclassified (OT)	0	1771
Unclassified (OT)	1	3647
