SED_NAME16	AgeStudent	students
Heathcote	25+	2597
Heffron	0-4	1547
Heffron	5-14	6941
Heffron	15-19	3410
Heffron	20-24	7387
Heffron	25+	10434
Holsworthy	0-4	1724
Holsworthy	5-14	12725
Holsworthy	15-19	5133
Holsworthy	20-24	2527
Holsworthy	25+	3102
Hornsby	0-4	1588
Hornsby	5-14	11292
Hornsby	15-19	4766
Hornsby	20-24	2600
Hornsby	25+	3639
Keira	0-4	1596
Keira	5-14	10285
Keira	15-19	4537
Keira	20-24	2878
Keira	25+	3435
Kiama	0-4	1540
Kiama	5-14	9047
Kiama	15-19	3275
Kiama	20-24	1256
Kiama	25+	2450
Kogarah	0-4	1395
Kogarah	5-14	8847
Kogarah	15-19	3744
Kogarah	20-24	4562
Kogarah	25+	5791
Ku-ring-gai	0-4	1623
Ku-ring-gai	5-14	11880
Ku-ring-gai	15-19	5501
Ku-ring-gai	20-24	2897
Ku-ring-gai	25+	3497
Lake Macquarie	0-4	1412
Lake Macquarie	5-14	8750
Lake Macquarie	15-19	3167
Lake Macquarie	20-24	1477
Lake Macquarie	25+	2512
Lakemba	0-4	1719
Lakemba	5-14	12505
Lakemba	15-19	4822
Lakemba	20-24	3160
Lakemba	25+	4993
Lane Cove	0-4	1662
Lane Cove	5-14	10481
Lane Cove	15-19	4407
Lane Cove	20-24	2651
Lane Cove	25+	4163
Lismore	0-4	1038
Lismore	5-14	8314
Lismore	15-19	2947
Lismore	20-24	947
Lismore	25+	2717
Liverpool	0-4	1441
Liverpool	5-14	12577
Liverpool	15-19	5249
Liverpool	20-24	2853
Liverpool	25+	3961
Londonderry	0-4	2686
Londonderry	5-14	17225
Londonderry	15-19	5010
Londonderry	20-24	2165
Londonderry	25+	4160
Macquarie Fields	0-4	2283
Macquarie Fields	5-14	15626
Macquarie Fields	15-19	5267
Macquarie Fields	20-24	2727
Macquarie Fields	25+	4628
Maitland	0-4	1969
Maitland	5-14	12352
Maitland	15-19	3989
Maitland	20-24	1737
Maitland	25+	3387
Manly	0-4	1653
Manly	5-14	10288
Manly	15-19	4217
Manly	20-24	2142
Manly	25+	3485
Maroubra	0-4	1514
Maroubra	5-14	9380
Maroubra	15-19	3873
Maroubra	20-24	2693
Maroubra	25+	4179
Miranda	0-4	1597
Miranda	5-14	9640
Miranda	15-19	3992
Miranda	20-24	1847
Miranda	25+	2641
Monaro	0-4	1479
Monaro	5-14	10035
Monaro	15-19	3484
Monaro	20-24	1462
Monaro	25+	3738
Mount Druitt	0-4	1612
Mount Druitt	5-14	13167
Mount Druitt	15-19	4847
Mount Druitt	20-24	2463
Mount Druitt	25+	3504
Mulgoa	0-4	1825
Mulgoa	5-14	12441
Mulgoa	15-19	5118
Mulgoa	20-24	2220
Mulgoa	25+	2530
Murray	0-4	1343
Murray	5-14	9706
Murray	15-19	3436
Murray	20-24	855
Murray	25+	2029
Myall Lakes	0-4	985
Myall Lakes	5-14	7515
Myall Lakes	15-19	2443
Myall Lakes	20-24	581
Myall Lakes	25+	1733
Newcastle	0-4	1230
Newcastle	5-14	7463
Newcastle	15-19	2830
Newcastle	20-24	3056
Newcastle	25+	4560
Newtown	0-4	792
Newtown	5-14	4393
Newtown	15-19	2534
Newtown	20-24	5286
Newtown	25+	7305
North Shore	0-4	1105
North Shore	5-14	6437
North Shore	15-19	2766
North Shore	20-24	2038
North Shore	25+	4289
Northern Tablelands	0-4	1234
Northern Tablelands	5-14	8804
Northern Tablelands	15-19	3214
Northern Tablelands	20-24	1465
Northern Tablelands	25+	2823
Oatley	0-4	1337
Oatley	5-14	8972
Oatley	15-19	4057
Oatley	20-24	2586
Oatley	25+	3051
Orange	0-4	1494
Orange	5-14	10789
Orange	15-19	3450
Orange	20-24	1093
Orange	25+	2593
Oxley	0-4	1132
Oxley	5-14	8220
Oxley	15-19	2737
Oxley	20-24	646
Oxley	25+	2129
Parramatta	0-4	2095
Parramatta	5-14	12293
Parramatta	15-19	4089
Parramatta	20-24	4265
Parramatta	25+	7045
Penrith	0-4	1591
Penrith	5-14	10119
Penrith	15-19	3589
Penrith	20-24	1890
Penrith	25+	3196
Pittwater	0-4	1321
Pittwater	5-14	9114
Pittwater	15-19	4004
Pittwater	20-24	1820
Pittwater	25+	2180
Port Macquarie	0-4	1064
Port Macquarie	5-14	8316
Port Macquarie	15-19	3312
Port Macquarie	20-24	1227
Port Macquarie	25+	2600
Port Stephens	0-4	1104
Port Stephens	5-14	8409
Port Stephens	15-19	3002
Port Stephens	20-24	991
Port Stephens	25+	2037
Prospect	0-4	1553
Prospect	5-14	11417
Prospect	15-19	4404
Prospect	20-24	2440
Prospect	25+	3402
Riverstone	0-4	3018
Riverstone	5-14	19450
Riverstone	15-19	6421
Riverstone	20-24	3379
Riverstone	25+	4798
Rockdale	0-4	1463
Rockdale	5-14	8046
Rockdale	15-19	3421
Rockdale	20-24	3598
Rockdale	25+	6328
Ryde	0-4	1739
Ryde	5-14	9792
Ryde	15-19	3985
Ryde	20-24	4160
Ryde	25+	6691
Seven Hills	0-4	1696
Seven Hills	5-14	10600
Seven Hills	15-19	3936
Seven Hills	20-24	2479
Seven Hills	25+	3951
Shellharbour	0-4	1736
Shellharbour	5-14	10854
Shellharbour	15-19	4131
Shellharbour	20-24	1566
Shellharbour	25+	2657
South Coast	0-4	1210
South Coast	5-14	7553
South Coast	15-19	2517
South Coast	20-24	728
South Coast	25+	2043
Strathfield	0-4	1387
Strathfield	5-14	8649
Strathfield	15-19	4063
Strathfield	20-24	6888
Strathfield	25+	7671
Summer Hill	0-4	1112
Summer Hill	5-14	6895
Summer Hill	15-19	2910
Summer Hill	20-24	2835
Summer Hill	25+	5360
Swansea	0-4	1292
Swansea	5-14	8307
Swansea	15-19	2974
Swansea	20-24	1189
Swansea	25+	2009
Sydney	0-4	745
Sydney	5-14	3382
Sydney	15-19	1655
Sydney	20-24	3850
Sydney	25+	10292
Tamworth	0-4	1466
Tamworth	5-14	10325
Tamworth	15-19	3236
Tamworth	20-24	857
Tamworth	25+	2352
Terrigal	0-4	1488
Terrigal	5-14	9565
Terrigal	15-19	3932
Terrigal	20-24	1632
Terrigal	25+	2454
The Entrance	0-4	1438
The Entrance	5-14	9062
The Entrance	15-19	3288
The Entrance	20-24	1364
The Entrance	25+	2579
Tweed	0-4	1202
Tweed	5-14	8629
Tweed	15-19	3024
Tweed	20-24	1092
Tweed	25+	2640
Upper Hunter	0-4	1311
Upper Hunter	5-14	9963
Upper Hunter	15-19	3223
Upper Hunter	20-24	874
Upper Hunter	25+	2070
Vaucluse	0-4	1344
Vaucluse	5-14	7882
Vaucluse	15-19	3474
Vaucluse	20-24	2128
Vaucluse	25+	4007
Wagga Wagga	0-4	1624
Wagga Wagga	5-14	10343
Wagga Wagga	15-19	3769
Wagga Wagga	20-24	2002
Wagga Wagga	25+	3178
Wakehurst	0-4	1726
Wakehurst	5-14	10562
Wakehurst	15-19	4584
Wakehurst	20-24	2436
Wakehurst	25+	3160
Wallsend	0-4	1540
Wallsend	5-14	9767
Wallsend	15-19	4393
Wallsend	20-24	3773
Wallsend	25+	4275
Willoughby	0-4	1683
Willoughby	5-14	10800
Willoughby	15-19	4261
Willoughby	20-24	2637
Willoughby	25+	4193
Wollondilly	0-4	1720
Wollondilly	5-14	10641
Wollondilly	15-19	3957
Wollondilly	20-24	1339
Wollondilly	25+	2195
Wollongong	0-4	1311
Wollongong	5-14	7869
Wollongong	15-19	3479
Wollongong	20-24	3455
Wollongong	25+	4178
Wyong	0-4	1632
Wyong	5-14	10179
Wyong	15-19	3675
Wyong	20-24	1390
Wyong	25+	2591
No usual address (NSW)	0-4	65
No usual address (NSW)	5-14	425
No usual address (NSW)	15-19	188
No usual address (NSW)	20-24	130
No usual address (NSW)	25+	337
Albert Park (Southern Metropolitan)	0-4	910
Albert Park (Southern Metropolitan)	5-14	4829
Albert Park (Southern Metropolitan)	15-19	2135
Albert Park (Southern Metropolitan)	20-24	2964
Albert Park (Southern Metropolitan)	25+	6136
Altona (Western Metropolitan)	0-4	2556
Altona (Western Metropolitan)	5-14	16183
Altona (Western Metropolitan)	15-19	4894
Altona (Western Metropolitan)	20-24	2571
Altona (Western Metropolitan)	25+	4952
Bass (Eastern Victoria)	0-4	2352
Bass (Eastern Victoria)	5-14	15320
Bass (Eastern Victoria)	15-19	4635
Bass (Eastern Victoria)	20-24	1946
Bass (Eastern Victoria)	25+	4459
Bayswater (Eastern Metropolitan)	0-4	1184
Bayswater (Eastern Metropolitan)	5-14	7211
Bayswater (Eastern Metropolitan)	15-19	2766
Bayswater (Eastern Metropolitan)	20-24	1467
Bayswater (Eastern Metropolitan)	25+	2466
Bellarine (Western Victoria)	0-4	1062
Bellarine (Western Victoria)	5-14	8058
Bellarine (Western Victoria)	15-19	2908
Bellarine (Western Victoria)	20-24	1071
Bellarine (Western Victoria)	25+	2094
Benambra (Northern Victoria)	0-4	1231
Benambra (Northern Victoria)	5-14	8596
Benambra (Northern Victoria)	15-19	3104
Benambra (Northern Victoria)	20-24	1082
Benambra (Northern Victoria)	25+	2460
Bendigo East (Northern Victoria)	0-4	1286
Bendigo East (Northern Victoria)	5-14	9216
Bendigo East (Northern Victoria)	15-19	3301
Bendigo East (Northern Victoria)	20-24	1613
Bendigo East (Northern Victoria)	25+	2354
Bendigo West (Northern Victoria)	0-4	860
Bendigo West (Northern Victoria)	5-14	6759
Bendigo West (Northern Victoria)	15-19	2457
Bendigo West (Northern Victoria)	20-24	932
Bendigo West (Northern Victoria)	25+	2122
Bentleigh (Southern Metropolitan)	0-4	1262
Bentleigh (Southern Metropolitan)	5-14	8992
Bentleigh (Southern Metropolitan)	15-19	3950
Bentleigh (Southern Metropolitan)	20-24	2064
Bentleigh (Southern Metropolitan)	25+	2456
Box Hill (Eastern Metropolitan)	0-4	1053
Box Hill (Eastern Metropolitan)	5-14	7771
Box Hill (Eastern Metropolitan)	15-19	4137
Box Hill (Eastern Metropolitan)	20-24	3519
Box Hill (Eastern Metropolitan)	25+	4283
Brighton (Southern Metropolitan)	0-4	907
Brighton (Southern Metropolitan)	5-14	7108
Brighton (Southern Metropolitan)	15-19	3596
Brighton (Southern Metropolitan)	20-24	1934
Brighton (Southern Metropolitan)	25+	2333
Broadmeadows (Northern Metropolitan)	0-4	1197
Broadmeadows (Northern Metropolitan)	5-14	9092
Broadmeadows (Northern Metropolitan)	15-19	3623
Broadmeadows (Northern Metropolitan)	20-24	2373
Broadmeadows (Northern Metropolitan)	25+	3655
Brunswick (Northern Metropolitan)	0-4	989
Brunswick (Northern Metropolitan)	5-14	5534
Brunswick (Northern Metropolitan)	15-19	2271
Brunswick (Northern Metropolitan)	20-24	3359
Brunswick (Northern Metropolitan)	25+	6155
Bulleen (Eastern Metropolitan)	0-4	1033
Bulleen (Eastern Metropolitan)	5-14	6743
Bulleen (Eastern Metropolitan)	15-19	3340
Bulleen (Eastern Metropolitan)	20-24	2245
Bulleen (Eastern Metropolitan)	25+	2785
Bundoora (Northern Metropolitan)	0-4	1038
Bundoora (Northern Metropolitan)	5-14	6224
Bundoora (Northern Metropolitan)	15-19	2986
Bundoora (Northern Metropolitan)	20-24	2497
Bundoora (Northern Metropolitan)	25+	2934
Buninyong (Western Victoria)	0-4	1186
Buninyong (Western Victoria)	5-14	8499
Buninyong (Western Victoria)	15-19	2919
Buninyong (Western Victoria)	20-24	1317
Buninyong (Western Victoria)	25+	2436
Burwood (Southern Metropolitan)	0-4	1167
Burwood (Southern Metropolitan)	5-14	7886
Burwood (Southern Metropolitan)	15-19	4234
Burwood (Southern Metropolitan)	20-24	3581
Burwood (Southern Metropolitan)	25+	3458
Carrum (South-Eastern Metropolitan)	0-4	1440
Carrum (South-Eastern Metropolitan)	5-14	8038
Carrum (South-Eastern Metropolitan)	15-19	2976
Carrum (South-Eastern Metropolitan)	20-24	1307
Carrum (South-Eastern Metropolitan)	25+	2478
Caulfield (Southern Metropolitan)	0-4	1292
Caulfield (Southern Metropolitan)	5-14	7079
Caulfield (Southern Metropolitan)	15-19	3006
Caulfield (Southern Metropolitan)	20-24	2668
Caulfield (Southern Metropolitan)	25+	3667
Clarinda (South-Eastern Metropolitan)	0-4	1214
Clarinda (South-Eastern Metropolitan)	5-14	7120
Clarinda (South-Eastern Metropolitan)	15-19	3087
Clarinda (South-Eastern Metropolitan)	20-24	3424
Clarinda (South-Eastern Metropolitan)	25+	4434
Cranbourne (South-Eastern Metropolitan)	0-4	3056
Cranbourne (South-Eastern Metropolitan)	5-14	19620
Cranbourne (South-Eastern Metropolitan)	15-19	6082
Cranbourne (South-Eastern Metropolitan)	20-24	3183
Cranbourne (South-Eastern Metropolitan)	25+	5708
Croydon (Eastern Metropolitan)	0-4	1223
Croydon (Eastern Metropolitan)	5-14	7132
Croydon (Eastern Metropolitan)	15-19	2731
Croydon (Eastern Metropolitan)	20-24	1423
Croydon (Eastern Metropolitan)	25+	2349
Dandenong (South-Eastern Metropolitan)	0-4	1061
Dandenong (South-Eastern Metropolitan)	5-14	8058
Dandenong (South-Eastern Metropolitan)	15-19	3252
Dandenong (South-Eastern Metropolitan)	20-24	2321
Dandenong (South-Eastern Metropolitan)	25+	4054
Eildon (Northern Victoria)	0-4	871
Eildon (Northern Victoria)	5-14	6766
Eildon (Northern Victoria)	15-19	2610
Eildon (Northern Victoria)	20-24	820
Eildon (Northern Victoria)	25+	1670
Eltham (Eastern Metropolitan)	0-4	1212
Eltham (Eastern Metropolitan)	5-14	7841
Eltham (Eastern Metropolitan)	15-19	3301
Eltham (Eastern Metropolitan)	20-24	1569
Eltham (Eastern Metropolitan)	25+	1888
Essendon (Western Metropolitan)	0-4	1125
Essendon (Western Metropolitan)	5-14	7033
Essendon (Western Metropolitan)	15-19	3138
Essendon (Western Metropolitan)	20-24	2526
Essendon (Western Metropolitan)	25+	3737
Euroa (Northern Victoria)	0-4	891
Euroa (Northern Victoria)	5-14	6706
Euroa (Northern Victoria)	15-19	2509
Euroa (Northern Victoria)	20-24	784
Euroa (Northern Victoria)	25+	1708
Evelyn (Eastern Victoria)	0-4	1213
Evelyn (Eastern Victoria)	5-14	7327
Evelyn (Eastern Victoria)	15-19	3102
Evelyn (Eastern Victoria)	20-24	1333
Evelyn (Eastern Victoria)	25+	1912
Ferntree Gully (Eastern Metropolitan)	0-4	1024
Ferntree Gully (Eastern Metropolitan)	5-14	6754
Ferntree Gully (Eastern Metropolitan)	15-19	2961
Ferntree Gully (Eastern Metropolitan)	20-24	1625
Ferntree Gully (Eastern Metropolitan)	25+	2268
Footscray (Western Metropolitan)	0-4	1261
Footscray (Western Metropolitan)	5-14	7221
Footscray (Western Metropolitan)	15-19	3031
Footscray (Western Metropolitan)	20-24	2970
Footscray (Western Metropolitan)	25+	5846
Forest Hill (Eastern Metropolitan)	0-4	1047
Forest Hill (Eastern Metropolitan)	5-14	7119
Forest Hill (Eastern Metropolitan)	15-19	3355
Forest Hill (Eastern Metropolitan)	20-24	2195
Forest Hill (Eastern Metropolitan)	25+	2562
Frankston (South-Eastern Metropolitan)	0-4	1063
Frankston (South-Eastern Metropolitan)	5-14	6859
Frankston (South-Eastern Metropolitan)	15-19	2678
Frankston (South-Eastern Metropolitan)	20-24	1332
Frankston (South-Eastern Metropolitan)	25+	2351
Geelong (Western Victoria)	0-4	1133
Geelong (Western Victoria)	5-14	6876
Geelong (Western Victoria)	15-19	2707
Geelong (Western Victoria)	20-24	1952
Geelong (Western Victoria)	25+	3179
Gembrook (Eastern Victoria)	0-4	1835
Gembrook (Eastern Victoria)	5-14	11188
Gembrook (Eastern Victoria)	15-19	4259
Gembrook (Eastern Victoria)	20-24	1987
Gembrook (Eastern Victoria)	25+	3129
Gippsland East (Eastern Victoria)	0-4	837
Gippsland East (Eastern Victoria)	5-14	6411
Gippsland East (Eastern Victoria)	15-19	2139
Gippsland East (Eastern Victoria)	20-24	495
Gippsland East (Eastern Victoria)	25+	1528
Gippsland South (Eastern Victoria)	0-4	845
Gippsland South (Eastern Victoria)	5-14	6396
Gippsland South (Eastern Victoria)	15-19	2332
Gippsland South (Eastern Victoria)	20-24	597
Gippsland South (Eastern Victoria)	25+	1486
Hastings (Eastern Victoria)	0-4	1369
Hastings (Eastern Victoria)	5-14	8534
Hastings (Eastern Victoria)	15-19	3303
Hastings (Eastern Victoria)	20-24	1324
Hastings (Eastern Victoria)	25+	2068
Hawthorn (Southern Metropolitan)	0-4	961
Hawthorn (Southern Metropolitan)	5-14	6632
Hawthorn (Southern Metropolitan)	15-19	3761
Hawthorn (Southern Metropolitan)	20-24	3322
Hawthorn (Southern Metropolitan)	25+	3505
Ivanhoe (Eastern Metropolitan)	0-4	1227
Ivanhoe (Eastern Metropolitan)	5-14	7692
Ivanhoe (Eastern Metropolitan)	15-19	3243
Ivanhoe (Eastern Metropolitan)	20-24	2113
Ivanhoe (Eastern Metropolitan)	25+	3101
Kew (Southern Metropolitan)	0-4	899
Kew (Southern Metropolitan)	5-14	7878
Kew (Southern Metropolitan)	15-19	4695
Kew (Southern Metropolitan)	20-24	2929
Kew (Southern Metropolitan)	25+	2628
Keysborough (South-Eastern Metropolitan)	0-4	1225
Keysborough (South-Eastern Metropolitan)	5-14	8684
Keysborough (South-Eastern Metropolitan)	15-19	4030
Keysborough (South-Eastern Metropolitan)	20-24	2692
Keysborough (South-Eastern Metropolitan)	25+	3046
Kororoit (Western Metropolitan)	0-4	1939
Kororoit (Western Metropolitan)	5-14	14371
Kororoit (Western Metropolitan)	15-19	5301
Kororoit (Western Metropolitan)	20-24	2830
Kororoit (Western Metropolitan)	25+	4068
Lara (Western Victoria)	0-4	1150
Lara (Western Victoria)	5-14	7677
Lara (Western Victoria)	15-19	3197
Lara (Western Victoria)	20-24	1451
Lara (Western Victoria)	25+	2425
Lowan (Western Victoria)	0-4	875
Lowan (Western Victoria)	5-14	6295
Lowan (Western Victoria)	15-19	2256
Lowan (Western Victoria)	20-24	530
Lowan (Western Victoria)	25+	1339
Macedon (Northern Victoria)	0-4	1020
Macedon (Northern Victoria)	5-14	8188
Macedon (Northern Victoria)	15-19	3119
Macedon (Northern Victoria)	20-24	946
Macedon (Northern Victoria)	25+	1917
Malvern (Southern Metropolitan)	0-4	902
Malvern (Southern Metropolitan)	5-14	5854
Malvern (Southern Metropolitan)	15-19	3220
Malvern (Southern Metropolitan)	20-24	2756
Malvern (Southern Metropolitan)	25+	2828
Melbourne (Northern Metropolitan)	0-4	892
Melbourne (Northern Metropolitan)	5-14	4607
Melbourne (Northern Metropolitan)	15-19	4926
Melbourne (Northern Metropolitan)	20-24	14828
Melbourne (Northern Metropolitan)	25+	15314
Melton (Western Victoria)	0-4	2178
Melton (Western Victoria)	5-14	14135
Melton (Western Victoria)	15-19	4243
Melton (Western Victoria)	20-24	1780
Melton (Western Victoria)	25+	3521
Mildura (Northern Victoria)	0-4	1075
Mildura (Northern Victoria)	5-14	7518
Mildura (Northern Victoria)	15-19	2547
Mildura (Northern Victoria)	20-24	759
Mildura (Northern Victoria)	25+	1838
Mill Park (Northern Metropolitan)	0-4	1332
Mill Park (Northern Metropolitan)	5-14	8774
Mill Park (Northern Metropolitan)	15-19	3767
Mill Park (Northern Metropolitan)	20-24	2064
Mill Park (Northern Metropolitan)	25+	2902
Monbulk (Eastern Victoria)	0-4	1073
Monbulk (Eastern Victoria)	5-14	7422
Monbulk (Eastern Victoria)	15-19	3011
Monbulk (Eastern Victoria)	20-24	1286
Monbulk (Eastern Victoria)	25+	1935
Mordialloc (South-Eastern Metropolitan)	0-4	1250
Mordialloc (South-Eastern Metropolitan)	5-14	8255
Mordialloc (South-Eastern Metropolitan)	15-19	3455
Mordialloc (South-Eastern Metropolitan)	20-24	1654
Mordialloc (South-Eastern Metropolitan)	25+	2260
Mornington (Eastern Victoria)	0-4	1089
Mornington (Eastern Victoria)	5-14	8328
Mornington (Eastern Victoria)	15-19	3550
Mornington (Eastern Victoria)	20-24	1300
Mornington (Eastern Victoria)	25+	1681
Morwell (Eastern Victoria)	0-4	1042
Morwell (Eastern Victoria)	5-14	7627
Morwell (Eastern Victoria)	15-19	2720
Morwell (Eastern Victoria)	20-24	961
Morwell (Eastern Victoria)	25+	2029
Mount Waverley (Eastern Metropolitan)	0-4	1011
Mount Waverley (Eastern Metropolitan)	5-14	8089
Mount Waverley (Eastern Metropolitan)	15-19	3956
Mount Waverley (Eastern Metropolitan)	20-24	2830
Mount Waverley (Eastern Metropolitan)	25+	3078
Mulgrave (South-Eastern Metropolitan)	0-4	969
Mulgrave (South-Eastern Metropolitan)	5-14	6682
Mulgrave (South-Eastern Metropolitan)	15-19	2976
Mulgrave (South-Eastern Metropolitan)	20-24	2188
Mulgrave (South-Eastern Metropolitan)	25+	2747
Murray Plains (Northern Victoria)	0-4	845
Murray Plains (Northern Victoria)	5-14	7265
Murray Plains (Northern Victoria)	15-19	2560
Murray Plains (Northern Victoria)	20-24	739
Murray Plains (Northern Victoria)	25+	1455
Narracan (Eastern Victoria)	0-4	1183
Narracan (Eastern Victoria)	5-14	9075
Narracan (Eastern Victoria)	15-19	3286
Narracan (Eastern Victoria)	20-24	1133
Narracan (Eastern Victoria)	25+	2170
Narre Warren North (South-Eastern Metropolitan)	0-4	1145
Narre Warren North (South-Eastern Metropolitan)	5-14	7959
Narre Warren North (South-Eastern Metropolitan)	15-19	3441
Narre Warren North (South-Eastern Metropolitan)	20-24	1997
Narre Warren North (South-Eastern Metropolitan)	25+	2557
Narre Warren South (South-Eastern Metropolitan)	0-4	1475
Narre Warren South (South-Eastern Metropolitan)	5-14	13003
Narre Warren South (South-Eastern Metropolitan)	15-19	5636
Narre Warren South (South-Eastern Metropolitan)	20-24	2784
Narre Warren South (South-Eastern Metropolitan)	25+	3542
Nepean (Eastern Victoria)	0-4	826
Nepean (Eastern Victoria)	5-14	5943
Nepean (Eastern Victoria)	15-19	2251
Nepean (Eastern Victoria)	20-24	902
Nepean (Eastern Victoria)	25+	1575
Niddrie (Western Metropolitan)	0-4	1050
Niddrie (Western Metropolitan)	5-14	6946
Niddrie (Western Metropolitan)	15-19	3108
Niddrie (Western Metropolitan)	20-24	1620
Niddrie (Western Metropolitan)	25+	1834
Northcote (Northern Metropolitan)	0-4	1116
Northcote (Northern Metropolitan)	5-14	6539
Northcote (Northern Metropolitan)	15-19	2746
Northcote (Northern Metropolitan)	20-24	1936
Northcote (Northern Metropolitan)	25+	4534
Oakleigh (Southern Metropolitan)	0-4	1137
Oakleigh (Southern Metropolitan)	5-14	6559
Oakleigh (Southern Metropolitan)	15-19	3445
Oakleigh (Southern Metropolitan)	20-24	5031
Oakleigh (Southern Metropolitan)	25+	4881
Ovens Valley (Northern Victoria)	0-4	853
Ovens Valley (Northern Victoria)	5-14	6542
Ovens Valley (Northern Victoria)	15-19	2379
Ovens Valley (Northern Victoria)	20-24	610
Ovens Valley (Northern Victoria)	25+	1591
Pascoe Vale (Northern Metropolitan)	0-4	1526
Pascoe Vale (Northern Metropolitan)	5-14	7967
Pascoe Vale (Northern Metropolitan)	15-19	3006
Pascoe Vale (Northern Metropolitan)	20-24	2705
Pascoe Vale (Northern Metropolitan)	25+	4622
Polwarth (Western Victoria)	0-4	1015
Polwarth (Western Victoria)	5-14	7464
Polwarth (Western Victoria)	15-19	2810
Polwarth (Western Victoria)	20-24	757
Polwarth (Western Victoria)	25+	1563
Prahran (Southern Metropolitan)	0-4	703
Prahran (Southern Metropolitan)	5-14	3135
Prahran (Southern Metropolitan)	15-19	1603
