SED_NAME21	MotorVehicles.min	occupied_private_dwellings
Lara (Western Victoria)	3	3123
Lara (Western Victoria)	4	1858
Lowan (Western Victoria)		438
Lowan (Western Victoria)	0	1194
Lowan (Western Victoria)	1	7551
Lowan (Western Victoria)	2	8404
Lowan (Western Victoria)	3	3700
Lowan (Western Victoria)	4	2625
Macedon (Northern Victoria)		281
Macedon (Northern Victoria)	0	521
Macedon (Northern Victoria)	1	6108
Macedon (Northern Victoria)	2	9766
Macedon (Northern Victoria)	3	4069
Macedon (Northern Victoria)	4	2847
Malvern (Southern Metropolitan)		292
Malvern (Southern Metropolitan)	0	2174
Malvern (Southern Metropolitan)	1	10567
Malvern (Southern Metropolitan)	2	8251
Malvern (Southern Metropolitan)	3	2042
Malvern (Southern Metropolitan)	4	1044
Melbourne (Northern Metropolitan)		975
Melbourne (Northern Metropolitan)	0	27011
Melbourne (Northern Metropolitan)	1	22374
Melbourne (Northern Metropolitan)	2	5667
Melbourne (Northern Metropolitan)	3	856
Melbourne (Northern Metropolitan)	4	354
Melton (Western Victoria)		531
Melton (Western Victoria)	0	1409
Melton (Western Victoria)	1	10637
Melton (Western Victoria)	2	12829
Melton (Western Victoria)	3	4442
Melton (Western Victoria)	4	2550
Mildura (Northern Victoria)		602
Mildura (Northern Victoria)	0	1464
Mildura (Northern Victoria)	1	8005
Mildura (Northern Victoria)	2	8945
Mildura (Northern Victoria)	3	3558
Mildura (Northern Victoria)	4	2226
Mill Park (Northern Metropolitan)		303
Mill Park (Northern Metropolitan)	0	736
Mill Park (Northern Metropolitan)	1	7076
Mill Park (Northern Metropolitan)	2	9711
Mill Park (Northern Metropolitan)	3	3551
Mill Park (Northern Metropolitan)	4	2114
Monbulk (Eastern Victoria)		175
Monbulk (Eastern Victoria)	0	465
Monbulk (Eastern Victoria)	1	5022
Monbulk (Eastern Victoria)	2	8888
Monbulk (Eastern Victoria)	3	3393
Monbulk (Eastern Victoria)	4	2444
Mordialloc (South-Eastern Metropolitan)		203
Mordialloc (South-Eastern Metropolitan)	0	1390
Mordialloc (South-Eastern Metropolitan)	1	9295
Mordialloc (South-Eastern Metropolitan)	2	10347
Mordialloc (South-Eastern Metropolitan)	3	2610
Mordialloc (South-Eastern Metropolitan)	4	1304
Mornington (Eastern Victoria)		234
Mornington (Eastern Victoria)	0	829
Mornington (Eastern Victoria)	1	7474
Mornington (Eastern Victoria)	2	10382
Mornington (Eastern Victoria)	3	3224
Mornington (Eastern Victoria)	4	1927
Morwell (Eastern Victoria)		485
Morwell (Eastern Victoria)	0	1597
Morwell (Eastern Victoria)	1	9179
Morwell (Eastern Victoria)	2	9580
Morwell (Eastern Victoria)	3	3560
Morwell (Eastern Victoria)	4	2132
Mount Waverley (Eastern Metropolitan)		233
Mount Waverley (Eastern Metropolitan)	0	1116
Mount Waverley (Eastern Metropolitan)	1	8144
Mount Waverley (Eastern Metropolitan)	2	9279
Mount Waverley (Eastern Metropolitan)	3	2743
Mount Waverley (Eastern Metropolitan)	4	1146
Mulgrave (South-Eastern Metropolitan)		346
Mulgrave (South-Eastern Metropolitan)	0	1398
Mulgrave (South-Eastern Metropolitan)	1	7353
Mulgrave (South-Eastern Metropolitan)	2	9038
Mulgrave (South-Eastern Metropolitan)	3	2747
Mulgrave (South-Eastern Metropolitan)	4	1471
Murray Plains (Northern Victoria)		559
Murray Plains (Northern Victoria)	0	1286
Murray Plains (Northern Victoria)	1	7792
Murray Plains (Northern Victoria)	2	9182
Murray Plains (Northern Victoria)	3	3773
Murray Plains (Northern Victoria)	4	2471
Narracan (Eastern Victoria)		477
Narracan (Eastern Victoria)	0	1282
Narracan (Eastern Victoria)	1	8867
Narracan (Eastern Victoria)	2	10873
Narracan (Eastern Victoria)	3	4390
Narracan (Eastern Victoria)	4	3036
Narre Warren North (South-Eastern Metropolitan)		305
Narre Warren North (South-Eastern Metropolitan)	0	752
Narre Warren North (South-Eastern Metropolitan)	1	6103
Narre Warren North (South-Eastern Metropolitan)	2	9014
Narre Warren North (South-Eastern Metropolitan)	3	3537
Narre Warren North (South-Eastern Metropolitan)	4	2244
Narre Warren South (South-Eastern Metropolitan)		324
Narre Warren South (South-Eastern Metropolitan)	0	620
Narre Warren South (South-Eastern Metropolitan)	1	6284
Narre Warren South (South-Eastern Metropolitan)	2	11228
Narre Warren South (South-Eastern Metropolitan)	3	4410
Narre Warren South (South-Eastern Metropolitan)	4	2596
Nepean (Eastern Victoria)		439
Nepean (Eastern Victoria)	0	971
Nepean (Eastern Victoria)	1	9529
Nepean (Eastern Victoria)	2	10991
Nepean (Eastern Victoria)	3	3265
Nepean (Eastern Victoria)	4	1675
Niddrie (Western Metropolitan)		267
Niddrie (Western Metropolitan)	0	1270
Niddrie (Western Metropolitan)	1	7764
Niddrie (Western Metropolitan)	2	9367
Niddrie (Western Metropolitan)	3	2760
Niddrie (Western Metropolitan)	4	1537
Northcote (Northern Metropolitan)		231
Northcote (Northern Metropolitan)	0	3591
Northcote (Northern Metropolitan)	1	13530
Northcote (Northern Metropolitan)	2	7898
Northcote (Northern Metropolitan)	3	1722
Northcote (Northern Metropolitan)	4	751
Oakleigh (Southern Metropolitan)		343
Oakleigh (Southern Metropolitan)	0	3030
Oakleigh (Southern Metropolitan)	1	12460
