SED_NAME21	medianTotalPersonalIncome
Gladstone	41340
Glass House	37180
Greenslopes	57720
Gregory	49244
Gympie	28184
Hervey Bay	28288
Hill	33384
Hinchinbrook	43992
Inala	34268
Ipswich	39572
Ipswich West	39572
Jordan	49660
Kawana	39832
Keppel	41132
Kurwongbah	42848
Lockyer	34528
Logan	39936
Lytton	46592
Macalister	38948
Mackay	43368
Maiwar	47320
Mansfield	44044
Maroochydore	41496
Maryborough	27716
McConnel	57616
Mermaid Beach	43680
Miller	56368
Mirani	42380
Moggill	52988
Morayfield	34112
Mount Ommaney	48360
Mudgeeraba	41496
Mulgrave	40092
Mundingburra	43472
Murrumba	43160
Nanango	28132
Nicklin	35464
Ninderry	39936
Noosa	38220
Nudgee	50492
Oodgeroo	41600
Pine Rivers	45396
Pumicestone	30576
Redcliffe	36244
Redlands	37180
Rockhampton	38480
Sandgate	43160
Scenic Rim	35932
South Brisbane	52052
Southern Downs	32188
Southport	36140
Springwood	46176
Stafford	52156
Stretton	37388
Surfers Paradise	42432
Theodore	42744
Thuringowa	40924
Toohey	39104
Toowoomba North	38012
Toowoomba South	39000
Townsville	45552
Traeger	46124
Warrego	39728
Waterford	35464
Whitsunday	46072
Woodridge	31928
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	62192
Adelaide	45448
Badcoe	42276
Black	44408
Bragg	51064
Chaffey	32864
Cheltenham	39052
Colton	44824
Croydon	34476
Davenport	40820
Dunstan	47736
Elder	41340
Elizabeth	30524
Enfield	41184
Finniss	29016
Flinders	37544
Florey	35152
Frome	35672
Gibson	39832
Giles	35516
Hammond	31824
Hartley	38272
Heysen	47268
Hurtle Vale	35568
Kaurna	36764
Kavel	42744
King	41184
Lee	38688
Light	37804
Mackillop	36972
Mawson	34892
Morialta	42588
Morphett	43680
Mount Gambier	37700
Narungga	28912
Newland	38012
Playford	33800
Port Adelaide	39312
Ramsay	29016
Reynell	33436
Schubert	39728
Stuart	31096
Taylor	34424
Torrens	38740
Unley	51636
Waite	49296
West Torrens	40924
Wright	39572
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	94224
Albany (South West)	36920
Armadale (East Metropolitan)	35932
Balcatta (North Metropolitan)	45656
Baldivis (South Metropolitan)	47268
Bassendean (East Metropolitan)	39572
Bateman (South Metropolitan)	48412
Belmont (East Metropolitan)	47164
Bicton (South Metropolitan)	52416
Bunbury (South West)	39416
Burns Beach (North Metropolitan)	46384
Butler (North Metropolitan)	42172
Cannington (South Metropolitan)	39364
Carine (North Metropolitan)	51220
Central Wheatbelt (Agricultural)	36452
Churchlands (North Metropolitan)	55068
Cockburn (South Metropolitan)	49348
Collie-Preston (South West)	38116
Cottesloe (North Metropolitan)	62348
Darling Range (East Metropolitan)	46228
Dawesville (South West)	33488
Forrestfield (East Metropolitan)	42796
Fremantle (South Metropolitan)	46540
Geraldton (Agricultural)	40456
Hillarys (North Metropolitan)	48256
Jandakot (South Metropolitan)	52364
Joondalup (North Metropolitan)	45916
Kalamunda (East Metropolitan)	43264
Kalgoorlie (Mining and Pastoral)	62140
Kimberley (Mining and Pastoral)	44356
Kingsley (North Metropolitan)	44616
Kwinana (South Metropolitan)	44512
Landsdale (North Metropolitan)	45864
Mandurah (South West)	32188
Maylands (East Metropolitan)	51532
Midland (East Metropolitan)	41808
Mirrabooka (East Metropolitan)	32188
Moore (Agricultural)	37752
Morley (East Metropolitan)	40144
Mount Lawley (East Metropolitan)	48776
Murray-Wellington (South West)	35308
Nedlands (North Metropolitan)	57512
North West Central (Mining and Pastoral)	51844
Perth (North Metropolitan)	61204
Pilbara (Mining and Pastoral)	82524
Riverton (South Metropolitan)	40612
Rockingham (South Metropolitan)	35464
Roe (Agricultural)	41600
Scarborough (North Metropolitan)	58968
South Perth (South Metropolitan)	52520
Southern River (South Metropolitan)	41184
Swan Hills (East Metropolitan)	46280
Thornlie (East Metropolitan)	34268
Vasse (South West)	39364
Victoria Park (South Metropolitan)	46228
Wanneroo (North Metropolitan)	44564
Warnbro (South Metropolitan)	42120
Warren-Blackwood (South West)	35516
West Swan (East Metropolitan)	45136
Willagee (South Metropolitan)	40612
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	110396
Bass (Launceston)	40560
Bass (McIntyre)	30940
Bass (Rosevears)	37804
Bass (Windermere)	30888
Braddon (Mersey)	32968
Braddon (Montgomery)	33280
Braddon (Murchison)	33072
Clark (Derwent)	36556
Clark (Elwick)	36088
Clark (Hobart)	47112
Clark (Huon)	47632
Clark (Nelson)	44200
Franklin (Huon)	36452
Franklin (Nelson)	40352
Franklin (Pembroke)	42640
Franklin (Rumney)	42952
Lyons (Derwent)	30212
Lyons (Launceston)	39832
Lyons (McIntyre)	31200
Lyons (Montgomery)	32084
Lyons (Prosser)	34944
Lyons (Rumney)	42692
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	116948
Arafura	14144
Araluen	62660
Arnhem	16432
Barkly	23192
Blain	56888
Braitling	59488
Brennan	60684
Casuarina	53300
Daly	23452
Drysdale	48568
Fannie Bay	63700
Fong Lim	67288
Goyder	54444
Gwoja	16016
Johnston	49972
Karama	43108
Katherine	53092
Mulka	19032
Namatjira	38272
Nelson	61620
Nightcliff	59852
Port Darwin	65260
Sanderson	52780
Spillett	66976
Wanguri	60580
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	76856
Brindabella	59592
Ginninderra	57460
Kurrajong	69732
Murrumbidgee	66664
Yerrabi	61568
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Unclassified (OT)	43212
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
