SED_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
Albury	USA	1990	17
Albury	USA	2000	27
Albury	USA	2010	37
Albury	USA	2015	24
Albury	USA	2016	7
Albury	USA	2018	4
Albury	USA	2020	9
Albury	VNM		13
Albury	VNM	1980	3
Albury	VNM	1990	5
Albury	VNM	2000	10
Albury	VNM	2010	14
Albury	VNM	2015	14
Albury	VNM	2016	4
Albury	VNM	2017	16
Albury	VNM	2018	7
Albury	VNM	2019	8
Albury	VNM	2020	7
Albury	VNM	2021	4
Albury	ZAF	1970	6
Albury	ZAF	1980	13
Albury	ZAF	1990	17
Albury	ZAF	2000	45
Albury	ZAF	2010	62
Albury	ZAF	2015	27
Albury	ZAF	2016	5
Albury	ZAF	2017	7
Albury	ZAF	2018	3
Albury	ZAF	2019	13
Albury	ZAF	2020	4
Auburn			280
Auburn		1951	27
Auburn		1960	64
Auburn		1970	652
Auburn		1980	1257
Auburn		1990	1127
Auburn		2000	1401
Auburn		2010	1483
Auburn		2015	987
Auburn		2016	301
Auburn		2017	341
Auburn		2018	394
Auburn		2019	428
Auburn		2020	155
Auburn		2021	42
Auburn	AFG		52
Auburn	AFG	1980	4
Auburn	AFG	1990	46
Auburn	AFG	2000	243
Auburn	AFG	2010	668
Auburn	AFG	2015	902
Auburn	AFG	2016	92
Auburn	AFG	2017	85
Auburn	AFG	2018	103
Auburn	AFG	2019	141
Auburn	AFG	2020	55
Auburn	AFG	2021	19
Auburn	BGD		4
Auburn	BGD	1990	12
Auburn	BGD	2000	63
Auburn	BGD	2010	226
Auburn	BGD	2015	145
Auburn	BGD	2016	27
Auburn	BGD	2017	33
Auburn	BGD	2018	42
Auburn	BGD	2019	15
Auburn	BGD	2020	5
Auburn	BGD	2021	3
Auburn	CAN		3
Auburn	CAN	1980	3
Auburn	CAN	1990	10
Auburn	CAN	2000	5
Auburn	CAN	2010	11
Auburn	CAN	2015	16
Auburn	CAN	2016	8
Auburn	CAN	2017	4
Auburn	CAN	2018	3
Auburn	CAN	2019	3
Auburn	CAN	2020	4
Auburn	CHN		551
Auburn	CHN	1951	3
Auburn	CHN	1960	40
Auburn	CHN	1970	80
Auburn	CHN	1980	130
Auburn	CHN	1990	1241
Auburn	CHN	2000	1909
Auburn	CHN	2010	4618
Auburn	CHN	2015	2734
Auburn	CHN	2016	701
Auburn	CHN	2017	1201
Auburn	CHN	2018	1072
Auburn	CHN	2019	732
Auburn	CHN	2020	155
Auburn	CHN	2021	44
Auburn	DEU		3
Auburn	DEU	1951	19
Auburn	DEU	1960	7
Auburn	DEU	1970	11
Auburn	DEU	1980	6
Auburn	DEU	1990	10
Auburn	DEU	2000	24
Auburn	DEU	2010	42
Auburn	DEU	2015	17
Auburn	DEU	2016	3
Auburn	DEU	2017	5
Auburn	DEU	2019	7
Auburn	DEU	2021	5
Auburn	EGY		7
Auburn	EGY	1951	3
Auburn	EGY	1970	36
Auburn	EGY	1980	31
Auburn	EGY	1990	51
Auburn	EGY	2000	41
Auburn	EGY	2010	92
Auburn	EGY	2015	52
Auburn	EGY	2016	14
Auburn	EGY	2017	17
Auburn	EGY	2018	27
Auburn	EGY	2019	13
Auburn	EGY	2020	14
Auburn	EGY	2021	5
Auburn	FJI		19
Auburn	FJI	1980	45
Auburn	FJI	1990	127
Auburn	FJI	2000	110
Auburn	FJI	2010	79
Auburn	FJI	2015	33
Auburn	FJI	2016	11
Auburn	FJI	2017	8
Auburn	FJI	2018	22
Auburn	FJI	2019	15
Auburn	GBR		24
Auburn	GBR	1951	4
Auburn	GBR	1960	42
Auburn	GBR	1970	119
Auburn	GBR	1980	77
Auburn	GBR	1990	89
Auburn	GBR	2000	73
Auburn	GBR	2010	117
Auburn	GBR	2015	96
Auburn	GBR	2016	21
Auburn	GBR	2017	17
Auburn	GBR	2018	18
Auburn	GBR	2019	20
Auburn	GBR	2020	7
Auburn	GBR	2021	7
Auburn	GRC		4
Auburn	GRC	1960	28
Auburn	GRC	1970	108
Auburn	GRC	1980	25
Auburn	GRC	2000	6
Auburn	GRC	2015	10
Auburn	GRC	2016	5
Auburn	GRC	2021	4
Auburn	HKG		17
Auburn	HKG	1970	7
Auburn	HKG	1980	75
Auburn	HKG	1990	271
Auburn	HKG	2000	336
Auburn	HKG	2010	220
Auburn	HKG	2015	140
Auburn	HKG	2016	42
Auburn	HKG	2017	32
Auburn	HKG	2018	42
Auburn	HKG	2019	35
Auburn	HKG	2020	31
Auburn	HKG	2021	7
Auburn	HRV		17
Auburn	HRV	1960	14
Auburn	HRV	1970	174
Auburn	HRV	1980	73
Auburn	HRV	1990	15
Auburn	HRV	2000	20
Auburn	HRV	2010	7
Auburn	HRV	2015	3
Auburn	IDN		17
Auburn	IDN	1980	33
Auburn	IDN	1990	65
Auburn	IDN	2000	181
Auburn	IDN	2010	215
Auburn	IDN	2015	101
Auburn	IDN	2016	29
Auburn	IDN	2017	14
Auburn	IDN	2018	12
Auburn	IDN	2019	27
Auburn	IDN	2020	15
Auburn	IDN	2021	4
Auburn	IND		79
Auburn	IND	1970	17
Auburn	IND	1980	48
Auburn	IND	1990	106
Auburn	IND	2000	254
Auburn	IND	2010	934
Auburn	IND	2015	660
Auburn	IND	2016	310
Auburn	IND	2017	327
Auburn	IND	2018	531
Auburn	IND	2019	527
Auburn	IND	2020	135
Auburn	IND	2021	40
Auburn	IRL		7
Auburn	IRL	1960	3
Auburn	IRL	1970	19
Auburn	IRL	1980	8
Auburn	IRL	1990	8
Auburn	IRL	2000	11
Auburn	IRL	2010	29
Auburn	IRL	2015	31
Auburn	IRL	2018	5
Auburn	IRL	2019	5
Auburn	IRL	2021	5
Auburn	IRN		26
Auburn	IRN	1980	3
Auburn	IRN	1990	28
Auburn	IRN	2000	69
Auburn	IRN	2010	200
Auburn	IRN	2015	290
Auburn	IRN	2016	53
Auburn	IRN	2017	38
Auburn	IRN	2018	53
Auburn	IRN	2019	60
Auburn	IRN	2020	30
Auburn	IRN	2021	14
Auburn	IRQ		32
Auburn	IRQ	1970	3
Auburn	IRQ	1980	8
Auburn	IRQ	1990	8
Auburn	IRQ	2000	399
Auburn	IRQ	2010	292
Auburn	IRQ	2015	206
Auburn	IRQ	2016	26
Auburn	IRQ	2017	22
Auburn	IRQ	2018	16
Auburn	IRQ	2019	15
Auburn	IRQ	2020	4
Auburn	IRQ	2021	5
Auburn	ITA		18
Auburn	ITA	1960	103
Auburn	ITA	1970	129
Auburn	ITA	1980	41
Auburn	ITA	1990	12
Auburn	ITA	2000	19
Auburn	ITA	2010	20
Auburn	ITA	2015	37
Auburn	ITA	2016	12
Auburn	ITA	2017	8
Auburn	ITA	2018	9
Auburn	ITA	2019	9
Auburn	JPN		6
Auburn	JPN	1980	3
Auburn	JPN	1990	9
Auburn	JPN	2000	36
Auburn	JPN	2010	55
Auburn	JPN	2015	34
Auburn	JPN	2016	14
Auburn	JPN	2017	7
Auburn	JPN	2018	9
Auburn	JPN	2019	8
Auburn	JPN	2020	3
Auburn	JPN	2021	3
Auburn	KOR		179
Auburn	KOR	1980	148
Auburn	KOR	1990	587
Auburn	KOR	2000	1128
Auburn	KOR	2010	2502
Auburn	KOR	2015	1155
Auburn	KOR	2016	256
Auburn	KOR	2017	244
Auburn	KOR	2018	256
Auburn	KOR	2019	245
Auburn	KOR	2020	77
