SED_NAME16	MaxSchoolingCompleted	adults
Coffs Harbour	Year 12	28367
Coogee	Did not go to school	243
Coogee	Year 8	998
Coogee	Year 9	1510
Coogee	Year 10	5372
Coogee	Year 11	2555
Coogee	Year 12	54357
Cootamundra	Did not go to school	220
Cootamundra	Year 8	3449
Cootamundra	Year 9	5883
Cootamundra	Year 10	19607
Cootamundra	Year 11	4415
Cootamundra	Year 12	19633
Cronulla	Did not go to school	172
Cronulla	Year 8	1234
Cronulla	Year 9	3048
Cronulla	Year 10	14200
Cronulla	Year 11	3664
Cronulla	Year 12	39550
Davidson	Did not go to school	268
Davidson	Year 8	1034
Davidson	Year 9	2121
Davidson	Year 10	6305
Davidson	Year 11	2909
Davidson	Year 12	50107
Drummoyne	Did not go to school	705
Drummoyne	Year 8	2315
Drummoyne	Year 9	2144
Drummoyne	Year 10	8387
Drummoyne	Year 11	2689
Drummoyne	Year 12	49154
Dubbo	Did not go to school	223
Dubbo	Year 8	3035
Dubbo	Year 9	4853
Dubbo	Year 10	18966
Dubbo	Year 11	4560
Dubbo	Year 12	26567
East Hills	Did not go to school	1250
East Hills	Year 8	3024
East Hills	Year 9	3396
East Hills	Year 10	12979
East Hills	Year 11	3444
East Hills	Year 12	38390
Epping	Did not go to school	497
Epping	Year 8	1102
Epping	Year 9	2262
Epping	Year 10	6585
Epping	Year 11	2832
Epping	Year 12	55809
Fairfield	Did not go to school	6394
Fairfield	Year 8	7286
Fairfield	Year 9	4694
Fairfield	Year 10	10171
Fairfield	Year 11	4105
Fairfield	Year 12	36755
Gosford	Did not go to school	280
Gosford	Year 8	2272
Gosford	Year 9	4805
Gosford	Year 10	17497
Gosford	Year 11	4354
Gosford	Year 12	32040
Goulburn	Did not go to school	233
Goulburn	Year 8	2643
Goulburn	Year 9	4780
Goulburn	Year 10	18069
Goulburn	Year 11	4522
Goulburn	Year 12	31446
Granville	Did not go to school	2936
Granville	Year 8	4209
Granville	Year 9	3172
Granville	Year 10	10800
Granville	Year 11	3441
Granville	Year 12	50774
Hawkesbury	Did not go to school	256
Hawkesbury	Year 8	2271
Hawkesbury	Year 9	4721
Hawkesbury	Year 10	19691
Hawkesbury	Year 11	4505
Hawkesbury	Year 12	28295
Heathcote	Did not go to school	165
Heathcote	Year 8	1234
Heathcote	Year 9	3283
Heathcote	Year 10	15342
Heathcote	Year 11	3724
Heathcote	Year 12	36459
Heffron	Did not go to school	1037
Heffron	Year 8	2258
Heffron	Year 9	1794
Heffron	Year 10	7220
Heffron	Year 11	3907
Heffron	Year 12	81371
Holsworthy	Did not go to school	1469
Holsworthy	Year 8	3251
Holsworthy	Year 9	3396
Holsworthy	Year 10	12583
Holsworthy	Year 11	4095
Holsworthy	Year 12	41185
Hornsby	Did not go to school	485
Hornsby	Year 8	1269
Hornsby	Year 9	2511
Hornsby	Year 10	9826
Hornsby	Year 11	3269
Hornsby	Year 12	48147
Keira	Did not go to school	357
Keira	Year 8	2438
Keira	Year 9	4318
Keira	Year 10	15127
Keira	Year 11	3997
Keira	Year 12	37420
Kiama	Did not go to school	198
Kiama	Year 8	2332
Kiama	Year 9	4945
Kiama	Year 10	18884
Kiama	Year 11	4630
Kiama	Year 12	29585
Kogarah	Did not go to school	1608
Kogarah	Year 8	3578
Kogarah	Year 9	2491
Kogarah	Year 10	8577
Kogarah	Year 11	2963
Kogarah	Year 12	55446
Ku-ring-gai	Did not go to school	349
Ku-ring-gai	Year 8	934
Ku-ring-gai	Year 9	1984
Ku-ring-gai	Year 10	5832
Ku-ring-gai	Year 11	2870
Ku-ring-gai	Year 12	55756
Lake Macquarie	Did not go to school	262
Lake Macquarie	Year 8	2672
Lake Macquarie	Year 9	5998
Lake Macquarie	Year 10	21197
Lake Macquarie	Year 11	5025
Lake Macquarie	Year 12	27282
Lakemba	Did not go to school	2910
Lakemba	Year 8	4815
Lakemba	Year 9	3136
Lakemba	Year 10	10076
Lakemba	Year 11	3387
Lakemba	Year 12	44210
Lane Cove	Did not go to school	384
Lane Cove	Year 8	1296
Lane Cove	Year 9	1880
Lane Cove	Year 10	6869
Lane Cove	Year 11	2850
Lane Cove	Year 12	56544
Lismore	Did not go to school	194
Lismore	Year 8	2798
Lismore	Year 9	4919
Lismore	Year 10	18147
Lismore	Year 11	4715
Lismore	Year 12	27182
Liverpool	Did not go to school	3277
Liverpool	Year 8	4872
Liverpool	Year 9	4075
Liverpool	Year 10	11885
Liverpool	Year 11	4430
Liverpool	Year 12	41829
Londonderry	Did not go to school	926
Londonderry	Year 8	3946
Londonderry	Year 9	6116
Londonderry	Year 10	21339
Londonderry	Year 11	5789
Londonderry	Year 12	44853
Macquarie Fields	Did not go to school	1095
Macquarie Fields	Year 8	2966
Macquarie Fields	Year 9	4416
Macquarie Fields	Year 10	16047
Macquarie Fields	Year 11	4836
Macquarie Fields	Year 12	51904
Maitland	Did not go to school	242
Maitland	Year 8	2778
Maitland	Year 9	6166
Maitland	Year 10	22375
Maitland	Year 11	5782
Maitland	Year 12	30263
Manly	Did not go to school	190
Manly	Year 8	903
Manly	Year 9	1870
Manly	Year 10	7205
Manly	Year 11	3047
Manly	Year 12	51958
Maroubra	Did not go to school	661
Maroubra	Year 8	2435
Maroubra	Year 9	2722
Maroubra	Year 10	9891
Maroubra	Year 11	3313
Maroubra	Year 12	48103
Miranda	Did not go to school	383
Miranda	Year 8	1783
Miranda	Year 9	3203
Miranda	Year 10	13511
Miranda	Year 11	3549
Miranda	Year 12	40007
Monaro	Did not go to school	273
Monaro	Year 8	2252
Monaro	Year 9	3349
Monaro	Year 10	13938
Monaro	Year 11	4323
Monaro	Year 12	40377
Mount Druitt	Did not go to school	1287
Mount Druitt	Year 8	3361
Mount Druitt	Year 9	4032
Mount Druitt	Year 10	13394
Mount Druitt	Year 11	4303
Mount Druitt	Year 12	40611
Mulgoa	Did not go to school	970
Mulgoa	Year 8	2736
Mulgoa	Year 9	3903
Mulgoa	Year 10	16623
Mulgoa	Year 11	4475
Mulgoa	Year 12	36975
Murray	Did not go to school	546
Murray	Year 8	4490
Murray	Year 9	6114
Murray	Year 10	18747
Murray	Year 11	7456
Murray	Year 12	25175
Myall Lakes	Did not go to school	177
Myall Lakes	Year 8	3471
Myall Lakes	Year 9	6879
Myall Lakes	Year 10	21834
Myall Lakes	Year 11	4422
Myall Lakes	Year 12	21586
Newcastle	Did not go to school	287
Newcastle	Year 8	1943
Newcastle	Year 9	3702
Newcastle	Year 10	13836
Newcastle	Year 11	3882
Newcastle	Year 12	40347
Newtown	Did not go to school	531
Newtown	Year 8	1359
Newtown	Year 9	1260
Newtown	Year 10	4782
Newtown	Year 11	2361
Newtown	Year 12	57350
North Shore	Did not go to school	168
North Shore	Year 8	503
North Shore	Year 9	1123
North Shore	Year 10	4472
North Shore	Year 11	2324
North Shore	Year 12	56658
Northern Tablelands	Did not go to school	397
Northern Tablelands	Year 8	3447
Northern Tablelands	Year 9	5008
Northern Tablelands	Year 10	16813
Northern Tablelands	Year 11	4221
Northern Tablelands	Year 12	26860
Oatley	Did not go to school	740
Oatley	Year 8	2310
Oatley	Year 9	2727
Oatley	Year 10	9967
Oatley	Year 11	2954
Oatley	Year 12	43545
Orange	Did not go to school	280
Orange	Year 8	3183
Orange	Year 9	5090
Orange	Year 10	18660
Orange	Year 11	4537
Orange	Year 12	27188
Oxley	Did not go to school	190
Oxley	Year 8	3529
Oxley	Year 9	6545
Oxley	Year 10	20404
Oxley	Year 11	4649
Oxley	Year 12	22867
Parramatta	Did not go to school	1145
Parramatta	Year 8	2331
Parramatta	Year 9	2686
Parramatta	Year 10	9008
Parramatta	Year 11	3402
Parramatta	Year 12	67273
Penrith	Did not go to school	391
Penrith	Year 8	2376
Penrith	Year 9	4703
Penrith	Year 10	17983
Penrith	Year 11	4749
Penrith	Year 12	33303
Pittwater	Did not go to school	141
Pittwater	Year 8	975
Pittwater	Year 9	2422
Pittwater	Year 10	10937
Pittwater	Year 11	3638
Pittwater	Year 12	40929
Port Macquarie	Did not go to school	157
Port Macquarie	Year 8	2903
Port Macquarie	Year 9	6188
Port Macquarie	Year 10	20902
Port Macquarie	Year 11	5098
Port Macquarie	Year 12	29187
Port Stephens	Did not go to school	194
Port Stephens	Year 8	2641
Port Stephens	Year 9	5951
Port Stephens	Year 10	21270
Port Stephens	Year 11	5079
Port Stephens	Year 12	24541
Prospect	Did not go to school	2349
Prospect	Year 8	4748
Prospect	Year 9	3740
Prospect	Year 10	11807
Prospect	Year 11	3453
Prospect	Year 12	40548
Riverstone	Did not go to school	645
Riverstone	Year 8	1950
Riverstone	Year 9	3153
Riverstone	Year 10	12735
Riverstone	Year 11	4319
Riverstone	Year 12	64579
Rockdale	Did not go to school	1393
Rockdale	Year 8	3426
Rockdale	Year 9	2517
Rockdale	Year 10	10200
Rockdale	Year 11	3706
Rockdale	Year 12	53234
Ryde	Did not go to school	971
Ryde	Year 8	2150
Ryde	Year 9	2238
Ryde	Year 10	7731
Ryde	Year 11	2751
Ryde	Year 12	64351
Seven Hills	Did not go to school	687
Seven Hills	Year 8	2249
Seven Hills	Year 9	3056
Seven Hills	Year 10	11656
Seven Hills	Year 11	3287
Seven Hills	Year 12	44886
Shellharbour	Did not go to school	451
Shellharbour	Year 8	3501
Shellharbour	Year 9	6205
Shellharbour	Year 10	23345
Shellharbour	Year 11	5536
Shellharbour	Year 12	28877
South Coast	Did not go to school	220
South Coast	Year 8	3242
South Coast	Year 9	6203
South Coast	Year 10	20874
South Coast	Year 11	4493
South Coast	Year 12	24583
Strathfield	Did not go to school	1535
Strathfield	Year 8	2890
Strathfield	Year 9	2210
Strathfield	Year 10	7102
Strathfield	Year 11	2986
Strathfield	Year 12	66053
Summer Hill	Did not go to school	1315
Summer Hill	Year 8	3248
Summer Hill	Year 9	1823
Summer Hill	Year 10	6571
Summer Hill	Year 11	2622
Summer Hill	Year 12	50778
Swansea	Did not go to school	166
Swansea	Year 8	2569
Swansea	Year 9	6102
Swansea	Year 10	21727
Swansea	Year 11	4616
Swansea	Year 12	23056
Sydney	Did not go to school	687
Sydney	Year 8	865
Sydney	Year 9	1191
Sydney	Year 10	4533
Sydney	Year 11	2653
Sydney	Year 12	69898
Tamworth	Did not go to school	271
Tamworth	Year 8	3286
Tamworth	Year 9	5887
Tamworth	Year 10	19820
Tamworth	Year 11	4739
Tamworth	Year 12	24930
Terrigal	Did not go to school	152
Terrigal	Year 8	1625
Terrigal	Year 9	3896
Terrigal	Year 10	16090
Terrigal	Year 11	4178
Terrigal	Year 12	34401
The Entrance	Did not go to school	214
The Entrance	Year 8	2270
The Entrance	Year 9	4729
The Entrance	Year 10	18343
The Entrance	Year 11	4369
The Entrance	Year 12	28239
Tweed	Did not go to school	195
Tweed	Year 8	2833
Tweed	Year 9	4940
Tweed	Year 10	18895
Tweed	Year 11	5249
Tweed	Year 12	30536
Upper Hunter	Did not go to school	201
Upper Hunter	Year 8	3092
Upper Hunter	Year 9	5864
Upper Hunter	Year 10	21591
Upper Hunter	Year 11	5181
Upper Hunter	Year 12	22314
Vaucluse	Did not go to school	152
Vaucluse	Year 8	675
Vaucluse	Year 9	1314
Vaucluse	Year 10	4278
Vaucluse	Year 11	2371
Vaucluse	Year 12	54713
Wagga Wagga	Did not go to school	466
Wagga Wagga	Year 8	2922
Wagga Wagga	Year 9	4851
Wagga Wagga	Year 10	17895
Wagga Wagga	Year 11	5103
Wagga Wagga	Year 12	29804
Wakehurst	Did not go to school	531
Wakehurst	Year 8	1661
Wakehurst	Year 9	2704
Wakehurst	Year 10	10964
Wakehurst	Year 11	3655
Wakehurst	Year 12	45305
Wallsend	Did not go to school	424
Wallsend	Year 8	2694
Wallsend	Year 9	5529
Wallsend	Year 10	17918
Wallsend	Year 11	4590
Wallsend	Year 12	36230
Willoughby	Did not go to school	494
Willoughby	Year 8	1207
Willoughby	Year 9	1759
Willoughby	Year 10	5199
Willoughby	Year 11	2579
Willoughby	Year 12	56875
Wollondilly	Did not go to school	208
Wollondilly	Year 8	2077
Wollondilly	Year 9	4862
Wollondilly	Year 10	20148
Wollondilly	Year 11	4883
Wollondilly	Year 12	30721
Wollongong	Did not go to school	972
Wollongong	Year 8	4121
Wollongong	Year 9	4508
Wollongong	Year 10	16531
Wollongong	Year 11	4343
Wollongong	Year 12	37438
Wyong	Did not go to school	320
Wyong	Year 8	3052
Wyong	Year 9	5915
Wyong	Year 10	20962
Wyong	Year 11	5126
Wyong	Year 12	26309
No usual address (NSW)	Did not go to school	75
No usual address (NSW)	Year 8	332
No usual address (NSW)	Year 9	576
No usual address (NSW)	Year 10	1883
No usual address (NSW)	Year 11	526
No usual address (NSW)	Year 12	3320
Albert Park (Southern Metropolitan)	Did not go to school	394
Albert Park (Southern Metropolitan)	Year 8	1315
Albert Park (Southern Metropolitan)	Year 9	1398
Albert Park (Southern Metropolitan)	Year 10	3964
Albert Park (Southern Metropolitan)	Year 11	4766
Albert Park (Southern Metropolitan)	Year 12	55922
Altona (Western Metropolitan)	Did not go to school	916
Altona (Western Metropolitan)	Year 8	3024
Altona (Western Metropolitan)	Year 9	3634
Altona (Western Metropolitan)	Year 10	8489
Altona (Western Metropolitan)	Year 11	7478
Altona (Western Metropolitan)	Year 12	55059
Bass (Eastern Victoria)	Did not go to school	743
Bass (Eastern Victoria)	Year 8	3738
Bass (Eastern Victoria)	Year 9	6234
Bass (Eastern Victoria)	Year 10	14665
Bass (Eastern Victoria)	Year 11	11759
Bass (Eastern Victoria)	Year 12	47516
Bayswater (Eastern Metropolitan)	Did not go to school	385
Bayswater (Eastern Metropolitan)	Year 8	2028
Bayswater (Eastern Metropolitan)	Year 9	2999
Bayswater (Eastern Metropolitan)	Year 10	7406
Bayswater (Eastern Metropolitan)	Year 11	6836
Bayswater (Eastern Metropolitan)	Year 12	30868
Bellarine (Western Victoria)	Did not go to school	154
Bellarine (Western Victoria)	Year 8	2191
Bellarine (Western Victoria)	Year 9	3841
Bellarine (Western Victoria)	Year 10	9638
Bellarine (Western Victoria)	Year 11	9530
Bellarine (Western Victoria)	Year 12	30577
Benambra (Northern Victoria)	Did not go to school	270
Benambra (Northern Victoria)	Year 8	2570
Benambra (Northern Victoria)	Year 9	4025
Benambra (Northern Victoria)	Year 10	12267
Benambra (Northern Victoria)	Year 11	8782
Benambra (Northern Victoria)	Year 12	25419
Bendigo East (Northern Victoria)	Did not go to school	349
Bendigo East (Northern Victoria)	Year 8	2790
Bendigo East (Northern Victoria)	Year 9	4181
Bendigo East (Northern Victoria)	Year 10	10132
Bendigo East (Northern Victoria)	Year 11	8606
Bendigo East (Northern Victoria)	Year 12	28202
Bendigo West (Northern Victoria)	Did not go to school	370
Bendigo West (Northern Victoria)	Year 8	2834
Bendigo West (Northern Victoria)	Year 9	4101
Bendigo West (Northern Victoria)	Year 10	9960
Bendigo West (Northern Victoria)	Year 11	7408
Bendigo West (Northern Victoria)	Year 12	24207
Bentleigh (Southern Metropolitan)	Did not go to school	422
Bentleigh (Southern Metropolitan)	Year 8	1947
Bentleigh (Southern Metropolitan)	Year 9	1869
Bentleigh (Southern Metropolitan)	Year 10	4422
Bentleigh (Southern Metropolitan)	Year 11	4564
Bentleigh (Southern Metropolitan)	Year 12	38550
Box Hill (Eastern Metropolitan)	Did not go to school	618
Box Hill (Eastern Metropolitan)	Year 8	1887
Box Hill (Eastern Metropolitan)	Year 9	2174
Box Hill (Eastern Metropolitan)	Year 10	4109
Box Hill (Eastern Metropolitan)	Year 11	4637
Box Hill (Eastern Metropolitan)	Year 12	45665
Brighton (Southern Metropolitan)	Did not go to school	189
Brighton (Southern Metropolitan)	Year 8	1040
Brighton (Southern Metropolitan)	Year 9	1362
Brighton (Southern Metropolitan)	Year 10	3426
Brighton (Southern Metropolitan)	Year 11	4219
Brighton (Southern Metropolitan)	Year 12	39359
Broadmeadows (Northern Metropolitan)	Did not go to school	2764
Broadmeadows (Northern Metropolitan)	Year 8	6242
Broadmeadows (Northern Metropolitan)	Year 9	3639
Broadmeadows (Northern Metropolitan)	Year 10	6141
Broadmeadows (Northern Metropolitan)	Year 11	4619
Broadmeadows (Northern Metropolitan)	Year 12	30160
Brunswick (Northern Metropolitan)	Did not go to school	893
Brunswick (Northern Metropolitan)	Year 8	2808
Brunswick (Northern Metropolitan)	Year 9	1410
Brunswick (Northern Metropolitan)	Year 10	3322
Brunswick (Northern Metropolitan)	Year 11	3627
Brunswick (Northern Metropolitan)	Year 12	50679
Bulleen (Eastern Metropolitan)	Did not go to school	780
Bulleen (Eastern Metropolitan)	Year 8	3353
Bulleen (Eastern Metropolitan)	Year 9	2304
Bulleen (Eastern Metropolitan)	Year 10	4593
Bulleen (Eastern Metropolitan)	Year 11	4583
Bulleen (Eastern Metropolitan)	Year 12	39059
Bundoora (Northern Metropolitan)	Did not go to school	714
Bundoora (Northern Metropolitan)	Year 8	2726
Bundoora (Northern Metropolitan)	Year 9	2632
Bundoora (Northern Metropolitan)	Year 10	5515
Bundoora (Northern Metropolitan)	Year 11	5230
Bundoora (Northern Metropolitan)	Year 12	32028
Buninyong (Western Victoria)	Did not go to school	183
Buninyong (Western Victoria)	Year 8	2484
Buninyong (Western Victoria)	Year 9	4305
Buninyong (Western Victoria)	Year 10	9821
Buninyong (Western Victoria)	Year 11	8043
Buninyong (Western Victoria)	Year 12	25912
Burwood (Southern Metropolitan)	Did not go to school	495
Burwood (Southern Metropolitan)	Year 8	1755
Burwood (Southern Metropolitan)	Year 9	1934
Burwood (Southern Metropolitan)	Year 10	3759
Burwood (Southern Metropolitan)	Year 11	4183
Burwood (Southern Metropolitan)	Year 12	42797
Carrum (South-Eastern Metropolitan)	Did not go to school	314
Carrum (South-Eastern Metropolitan)	Year 8	2235
Carrum (South-Eastern Metropolitan)	Year 9	3646
Carrum (South-Eastern Metropolitan)	Year 10	9367
Carrum (South-Eastern Metropolitan)	Year 11	7978
Carrum (South-Eastern Metropolitan)	Year 12	31135
Caulfield (Southern Metropolitan)	Did not go to school	273
Caulfield (Southern Metropolitan)	Year 8	1203
Caulfield (Southern Metropolitan)	Year 9	1415
Caulfield (Southern Metropolitan)	Year 10	3015
Caulfield (Southern Metropolitan)	Year 11	3577
Caulfield (Southern Metropolitan)	Year 12	44316
Clarinda (South-Eastern Metropolitan)	Did not go to school	2196
Clarinda (South-Eastern Metropolitan)	Year 8	4419
Clarinda (South-Eastern Metropolitan)	Year 9	2569
Clarinda (South-Eastern Metropolitan)	Year 10	5267
Clarinda (South-Eastern Metropolitan)	Year 11	4440
Clarinda (South-Eastern Metropolitan)	Year 12	41680
Cranbourne (South-Eastern Metropolitan)	Did not go to school	2076
Cranbourne (South-Eastern Metropolitan)	Year 8	4008
Cranbourne (South-Eastern Metropolitan)	Year 9	5580
Cranbourne (South-Eastern Metropolitan)	Year 10	13305
Cranbourne (South-Eastern Metropolitan)	Year 11	9837
Cranbourne (South-Eastern Metropolitan)	Year 12	55503
Croydon (Eastern Metropolitan)	Did not go to school	491
Croydon (Eastern Metropolitan)	Year 8	2074
Croydon (Eastern Metropolitan)	Year 9	2879
Croydon (Eastern Metropolitan)	Year 10	7058
Croydon (Eastern Metropolitan)	Year 11	6805
Croydon (Eastern Metropolitan)	Year 12	29306
Dandenong (South-Eastern Metropolitan)	Did not go to school	3440
Dandenong (South-Eastern Metropolitan)	Year 8	5012
Dandenong (South-Eastern Metropolitan)	Year 9	3147
Dandenong (South-Eastern Metropolitan)	Year 10	6809
Dandenong (South-Eastern Metropolitan)	Year 11	4885
Dandenong (South-Eastern Metropolitan)	Year 12	33607
Eildon (Northern Victoria)	Did not go to school	157
Eildon (Northern Victoria)	Year 8	2192
Eildon (Northern Victoria)	Year 9	4089
Eildon (Northern Victoria)	Year 10	9671
Eildon (Northern Victoria)	Year 11	8151
Eildon (Northern Victoria)	Year 12	23388
Eltham (Eastern Metropolitan)	Did not go to school	187
Eltham (Eastern Metropolitan)	Year 8	1400
Eltham (Eastern Metropolitan)	Year 9	2292
Eltham (Eastern Metropolitan)	Year 10	5468
Eltham (Eastern Metropolitan)	Year 11	6174
Eltham (Eastern Metropolitan)	Year 12	31498
Essendon (Western Metropolitan)	Did not go to school	705
Essendon (Western Metropolitan)	Year 8	2250
Essendon (Western Metropolitan)	Year 9	1836
Essendon (Western Metropolitan)	Year 10	4404
Essendon (Western Metropolitan)	Year 11	4996
Essendon (Western Metropolitan)	Year 12	42163
Euroa (Northern Victoria)	Did not go to school	225
Euroa (Northern Victoria)	Year 8	3451
Euroa (Northern Victoria)	Year 9	5132
Euroa (Northern Victoria)	Year 10	11399
Euroa (Northern Victoria)	Year 11	9174
Euroa (Northern Victoria)	Year 12	22642
Evelyn (Eastern Victoria)	Did not go to school	327
Evelyn (Eastern Victoria)	Year 8	1911
Evelyn (Eastern Victoria)	Year 9	3532
Evelyn (Eastern Victoria)	Year 10	8371
Evelyn (Eastern Victoria)	Year 11	7871
Evelyn (Eastern Victoria)	Year 12	25534
Ferntree Gully (Eastern Metropolitan)	Did not go to school	423
Ferntree Gully (Eastern Metropolitan)	Year 8	1830
Ferntree Gully (Eastern Metropolitan)	Year 9	2633
Ferntree Gully (Eastern Metropolitan)	Year 10	6417
Ferntree Gully (Eastern Metropolitan)	Year 11	5800
Ferntree Gully (Eastern Metropolitan)	Year 12	30762
Footscray (Western Metropolitan)	Did not go to school	1972
Footscray (Western Metropolitan)	Year 8	4255
Footscray (Western Metropolitan)	Year 9	2623
Footscray (Western Metropolitan)	Year 10	5614
Footscray (Western Metropolitan)	Year 11	4681
Footscray (Western Metropolitan)	Year 12	46953
Forest Hill (Eastern Metropolitan)	Did not go to school	676
Forest Hill (Eastern Metropolitan)	Year 8	2249
Forest Hill (Eastern Metropolitan)	Year 9	2210
Forest Hill (Eastern Metropolitan)	Year 10	4706
Forest Hill (Eastern Metropolitan)	Year 11	4518
Forest Hill (Eastern Metropolitan)	Year 12	34911
Frankston (South-Eastern Metropolitan)	Did not go to school	229
Frankston (South-Eastern Metropolitan)	Year 8	2170
Frankston (South-Eastern Metropolitan)	Year 9	3385
Frankston (South-Eastern Metropolitan)	Year 10	8109
Frankston (South-Eastern Metropolitan)	Year 11	6959
Frankston (South-Eastern Metropolitan)	Year 12	27108
Geelong (Western Victoria)	Did not go to school	307
Geelong (Western Victoria)	Year 8	2457
Geelong (Western Victoria)	Year 9	3398
Geelong (Western Victoria)	Year 10	7108
Geelong (Western Victoria)	Year 11	7502
Geelong (Western Victoria)	Year 12	31988
Gembrook (Eastern Victoria)	Did not go to school	307
Gembrook (Eastern Victoria)	Year 8	2225
Gembrook (Eastern Victoria)	Year 9	3903
Gembrook (Eastern Victoria)	Year 10	10192
Gembrook (Eastern Victoria)	Year 11	8794
Gembrook (Eastern Victoria)	Year 12	37492
Gippsland East (Eastern Victoria)	Did not go to school	158
Gippsland East (Eastern Victoria)	Year 8	2971
Gippsland East (Eastern Victoria)	Year 9	4974
Gippsland East (Eastern Victoria)	Year 10	11587
Gippsland East (Eastern Victoria)	Year 11	8788
Gippsland East (Eastern Victoria)	Year 12	20336
Gippsland South (Eastern Victoria)	Did not go to school	193
Gippsland South (Eastern Victoria)	Year 8	2715
Gippsland South (Eastern Victoria)	Year 9	4206
Gippsland South (Eastern Victoria)	Year 10	10387
Gippsland South (Eastern Victoria)	Year 11	8536
Gippsland South (Eastern Victoria)	Year 12	20024
Hastings (Eastern Victoria)	Did not go to school	232
Hastings (Eastern Victoria)	Year 8	2559
Hastings (Eastern Victoria)	Year 9	4645
Hastings (Eastern Victoria)	Year 10	11536
Hastings (Eastern Victoria)	Year 11	9371
Hastings (Eastern Victoria)	Year 12	27342
Hawthorn (Southern Metropolitan)	Did not go to school	211
Hawthorn (Southern Metropolitan)	Year 8	993
Hawthorn (Southern Metropolitan)	Year 9	1265
Hawthorn (Southern Metropolitan)	Year 10	2675
Hawthorn (Southern Metropolitan)	Year 11	3374
Hawthorn (Southern Metropolitan)	Year 12	44206
Ivanhoe (Eastern Metropolitan)	Did not go to school	542
Ivanhoe (Eastern Metropolitan)	Year 8	2316
Ivanhoe (Eastern Metropolitan)	Year 9	2199
Ivanhoe (Eastern Metropolitan)	Year 10	4629
Ivanhoe (Eastern Metropolitan)	Year 11	4736
Ivanhoe (Eastern Metropolitan)	Year 12	39196
Kew (Southern Metropolitan)	Did not go to school	437
Kew (Southern Metropolitan)	Year 8	1494
