SED_NAME21	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Auburn	(Other)		2	40
Auburn	(Other)		3	32
Auburn	(Other)		4	10
Auburn	(Other)		5	7
Auburn	(Other)		6	4
Auburn	Flat/apartment		0	5
Auburn	Flat/apartment	1 or 2 storey block		70
Auburn	Flat/apartment	1 or 2 storey block	0	61
Auburn	Flat/apartment	1 or 2 storey block	1	399
Auburn	Flat/apartment	1 or 2 storey block	2	1714
Auburn	Flat/apartment	1 or 2 storey block	3	227
Auburn	Flat/apartment	1 or 2 storey block	4	43
Auburn	Flat/apartment	1 or 2 storey block	5	3
Auburn	Flat/apartment	3 storey block		59
Auburn	Flat/apartment	3 storey block	0	9
Auburn	Flat/apartment	3 storey block	1	85
Auburn	Flat/apartment	3 storey block	2	1360
Auburn	Flat/apartment	3 storey block	3	558
Auburn	Flat/apartment	3 storey block	4	6
Auburn	Flat/apartment	3 storey block	6	8
Auburn	Flat/apartment	4-8 storey block		97
Auburn	Flat/apartment	4-8 storey block	0	70
Auburn	Flat/apartment	4-8 storey block	1	1488
Auburn	Flat/apartment	4-8 storey block	2	4264
Auburn	Flat/apartment	4-8 storey block	3	962
Auburn	Flat/apartment	4-8 storey block	4	48
Auburn	Flat/apartment	4-8 storey block	5	9
Auburn	Flat/apartment	4-8 storey block	6	5
Auburn	Flat/apartment	9 or more storey block		113
Auburn	Flat/apartment	9 or more storey block	0	18
Auburn	Flat/apartment	9 or more storey block	1	2061
Auburn	Flat/apartment	9 or more storey block	2	4265
Auburn	Flat/apartment	9 or more storey block	3	972
Auburn	Flat/apartment	9 or more storey block	4	49
Auburn	Flat/apartment	9 or more storey block	5	4
Auburn	Flat/apartment	Attached to a house		18
Auburn	Flat/apartment	Attached to a house	1	45
Auburn	Flat/apartment	Attached to a house	2	153
Auburn	Flat/apartment	Attached to a house	3	112
Auburn	Flat/apartment	Attached to a house	4	53
Auburn	Flat/apartment	Attached to a house	5	22
Auburn	Flat/apartment	Attached to a house	6	19
Auburn	Separate house			310
Auburn	Separate house		0	39
Auburn	Separate house		1	218
Auburn	Separate house		2	1801
Auburn	Separate house		3	5710
Auburn	Separate house		4	3870
Auburn	Separate house		5	1383
Auburn	Separate house		6	515
Ballina				13
Ballina			0	12
Ballina			1	54
Ballina			2	33
Ballina			3	24
Ballina			4	8
Ballina			5	5
Ballina			6	5
Ballina		1 storey		60
Ballina		1 storey	0	4
Ballina		1 storey	1	145
Ballina		1 storey	2	1236
Ballina		1 storey	3	1190
Ballina		1 storey	4	126
Ballina		1 storey	5	12
Ballina		1 storey	6	6
Ballina		2 storeys or more		37
Ballina		2 storeys or more	0	3
Ballina		2 storeys or more	1	177
Ballina		2 storeys or more	2	795
Ballina		2 storeys or more	3	1192
Ballina		2 storeys or more	4	147
Ballina		2 storeys or more	5	16
Ballina		2 storeys or more	6	7
Ballina	(Other)			54
Ballina	(Other)		0	68
Ballina	(Other)		1	253
Ballina	(Other)		2	287
Ballina	(Other)		3	78
Ballina	(Other)		4	4
Ballina	(Other)		5	4
Ballina	Flat/apartment		0	15
Ballina	Flat/apartment	1 or 2 storey block		22
Ballina	Flat/apartment	1 or 2 storey block	0	21
Ballina	Flat/apartment	1 or 2 storey block	1	257
Ballina	Flat/apartment	1 or 2 storey block	2	584
Ballina	Flat/apartment	1 or 2 storey block	3	268
Ballina	Flat/apartment	1 or 2 storey block	4	29
Ballina	Flat/apartment	1 or 2 storey block	6	4
Ballina	Flat/apartment	3 storey block		9
Ballina	Flat/apartment	3 storey block	1	28
Ballina	Flat/apartment	3 storey block	2	140
Ballina	Flat/apartment	3 storey block	3	60
Ballina	Flat/apartment	3 storey block	4	4
Ballina	Flat/apartment	4-8 storey block	1	10
Ballina	Flat/apartment	4-8 storey block	2	25
Ballina	Flat/apartment	4-8 storey block	3	37
Ballina	Flat/apartment	9 or more storey block	1	3
Ballina	Flat/apartment	9 or more storey block	2	12
Ballina	Flat/apartment	9 or more storey block	3	3
Ballina	Flat/apartment	Attached to a house	1	73
Ballina	Flat/apartment	Attached to a house	2	43
Ballina	Flat/apartment	Attached to a house	3	18
Ballina	Flat/apartment	Attached to a house	4	18
Ballina	Flat/apartment	Attached to a house	5	9
Ballina	Separate house			358
Ballina	Separate house		0	149
Ballina	Separate house		1	813
Ballina	Separate house		2	2696
Ballina	Separate house		3	9907
Ballina	Separate house		4	7513
Ballina	Separate house		5	1583
Ballina	Separate house		6	395
Balmain				5
Balmain			0	10
Balmain			1	20
Balmain			2	16
Balmain			3	13
Balmain			4	5
Balmain			6	9
Balmain		1 storey		34
Balmain		1 storey	0	9
Balmain		1 storey	1	322
Balmain		1 storey	2	1934
Balmain		1 storey	3	1728
Balmain		1 storey	4	589
Balmain		1 storey	5	66
Balmain		1 storey	6	10
Balmain		2 storeys or more		71
Balmain		2 storeys or more	0	75
Balmain		2 storeys or more	1	528
Balmain		2 storeys or more	2	2243
Balmain		2 storeys or more	3	3249
Balmain		2 storeys or more	4	1205
Balmain		2 storeys or more	5	206
Balmain		2 storeys or more	6	62
Balmain	(Other)			7
Balmain	(Other)		0	11
Balmain	(Other)		1	89
Balmain	(Other)		2	103
Balmain	(Other)		3	39
Balmain	(Other)		4	15
Balmain	(Other)		5	7
Balmain	Flat/apartment	1 or 2 storey block		58
Balmain	Flat/apartment	1 or 2 storey block	0	135
Balmain	Flat/apartment	1 or 2 storey block	1	723
Balmain	Flat/apartment	1 or 2 storey block	2	1118
Balmain	Flat/apartment	1 or 2 storey block	3	479
Balmain	Flat/apartment	1 or 2 storey block	4	63
Balmain	Flat/apartment	1 or 2 storey block	5	7
Balmain	Flat/apartment	1 or 2 storey block	6	5
Balmain	Flat/apartment	3 storey block		51
Balmain	Flat/apartment	3 storey block	0	291
Balmain	Flat/apartment	3 storey block	1	1201
Balmain	Flat/apartment	3 storey block	2	1862
Balmain	Flat/apartment	3 storey block	3	281
Balmain	Flat/apartment	3 storey block	4	27
Balmain	Flat/apartment	4-8 storey block		177
Balmain	Flat/apartment	4-8 storey block	0	267
Balmain	Flat/apartment	4-8 storey block	1	2020
Balmain	Flat/apartment	4-8 storey block	2	2356
Balmain	Flat/apartment	4-8 storey block	3	580
Balmain	Flat/apartment	4-8 storey block	4	42
Balmain	Flat/apartment	4-8 storey block	5	8
Balmain	Flat/apartment	9 or more storey block		37
Balmain	Flat/apartment	9 or more storey block	0	157
Balmain	Flat/apartment	9 or more storey block	1	1410
Balmain	Flat/apartment	9 or more storey block	2	1291
Balmain	Flat/apartment	9 or more storey block	3	315
Balmain	Flat/apartment	9 or more storey block	4	15
Balmain	Flat/apartment	9 or more storey block	6	7
Balmain	Flat/apartment	Attached to a house	1	13
Balmain	Flat/apartment	Attached to a house	2	32
Balmain	Flat/apartment	Attached to a house	3	9
Balmain	Flat/apartment	Attached to a house	4	3
Balmain	Flat/apartment	Attached to a house	5	4
Balmain	Separate house			44
Balmain	Separate house		0	16
Balmain	Separate house		1	145
Balmain	Separate house		2	1578
Balmain	Separate house		3	3236
Balmain	Separate house		4	1743
Balmain	Separate house		5	363
Balmain	Separate house		6	50
Bankstown				5
Bankstown			0	4
Bankstown			1	14
Bankstown			2	34
Bankstown			3	14
Bankstown			4	10
Bankstown			5	3
Bankstown		1 storey		12
Bankstown		1 storey	0	17
Bankstown		1 storey	1	76
Bankstown		1 storey	2	189
Bankstown		1 storey	3	430
Bankstown		1 storey	4	101
Bankstown		1 storey	5	17
Bankstown		2 storeys or more		52
Bankstown		2 storeys or more	0	5
Bankstown		2 storeys or more	1	119
Bankstown		2 storeys or more	2	398
Bankstown		2 storeys or more	3	1090
Bankstown		2 storeys or more	4	867
Bankstown		2 storeys or more	5	87
Bankstown		2 storeys or more	6	9
Bankstown	(Other)			8
Bankstown	(Other)		1	10
Bankstown	(Other)		2	79
Bankstown	(Other)		3	58
Bankstown	(Other)		4	3
Bankstown	Flat/apartment	1 or 2 storey block		53
Bankstown	Flat/apartment	1 or 2 storey block	0	97
Bankstown	Flat/apartment	1 or 2 storey block	1	519
Bankstown	Flat/apartment	1 or 2 storey block	2	518
Bankstown	Flat/apartment	1 or 2 storey block	3	267
Bankstown	Flat/apartment	1 or 2 storey block	4	56
Bankstown	Flat/apartment	1 or 2 storey block	5	5
Bankstown	Flat/apartment	3 storey block		84
Bankstown	Flat/apartment	3 storey block	0	46
Bankstown	Flat/apartment	3 storey block	1	203
Bankstown	Flat/apartment	3 storey block	2	2925
Bankstown	Flat/apartment	3 storey block	3	493
Bankstown	Flat/apartment	3 storey block	4	8
Bankstown	Flat/apartment	3 storey block	6	4
Bankstown	Flat/apartment	4-8 storey block		46
Bankstown	Flat/apartment	4-8 storey block	0	25
Bankstown	Flat/apartment	4-8 storey block	1	209
Bankstown	Flat/apartment	4-8 storey block	2	1648
Bankstown	Flat/apartment	4-8 storey block	3	265
Bankstown	Flat/apartment	4-8 storey block	4	5
Bankstown	Flat/apartment	9 or more storey block		28
Bankstown	Flat/apartment	9 or more storey block	0	5
Bankstown	Flat/apartment	9 or more storey block	1	69
Bankstown	Flat/apartment	9 or more storey block	2	835
Bankstown	Flat/apartment	9 or more storey block	3	177
Bankstown	Flat/apartment	Attached to a house		13
Bankstown	Flat/apartment	Attached to a house	1	27
Bankstown	Flat/apartment	Attached to a house	2	156
Bankstown	Flat/apartment	Attached to a house	3	78
Bankstown	Flat/apartment	Attached to a house	4	49
Bankstown	Flat/apartment	Attached to a house	5	22
Bankstown	Flat/apartment	Attached to a house	6	7
Bankstown	Separate house			329
Bankstown	Separate house		0	31
Bankstown	Separate house		1	174
Bankstown	Separate house		2	1911
Bankstown	Separate house		3	6625
Bankstown	Separate house		4	4388
Bankstown	Separate house		5	1478
Bankstown	Separate house		6	444
Barwon				30
Barwon			0	13
Barwon			1	55
Barwon			2	82
Barwon			3	84
Barwon			4	52
Barwon			5	30
Barwon			6	23
Barwon		1 storey		35
Barwon		1 storey	0	4
Barwon		1 storey	1	242
Barwon		1 storey	2	517
Barwon		1 storey	3	89
Barwon		1 storey	4	21
Barwon		1 storey	5	6
Barwon		1 storey	6	3
Barwon		2 storeys or more	1	9
Barwon		2 storeys or more	2	33
Barwon		2 storeys or more	3	14
Barwon		2 storeys or more	4	5
Barwon	(Other)			37
Barwon	(Other)		0	33
Barwon	(Other)		1	118
Barwon	(Other)		2	103
Barwon	(Other)		3	74
Barwon	(Other)		4	17
Barwon	(Other)		5	5
Barwon	(Other)		6	6
Barwon	Flat/apartment	1 or 2 storey block		18
Barwon	Flat/apartment	1 or 2 storey block	0	11
Barwon	Flat/apartment	1 or 2 storey block	1	227
Barwon	Flat/apartment	1 or 2 storey block	2	261
Barwon	Flat/apartment	1 or 2 storey block	3	31
Barwon	Flat/apartment	1 or 2 storey block	4	6
Barwon	Flat/apartment	Attached to a house	1	4
Barwon	Flat/apartment	Attached to a house	4	3
Barwon	Separate house			591
Barwon	Separate house		0	84
Barwon	Separate house		1	613
Barwon	Separate house		2	3633
Barwon	Separate house		3	11911
Barwon	Separate house		4	6487
Barwon	Separate house		5	1302
Barwon	Separate house		6	397
Bathurst				4
Bathurst			0	4
Bathurst			1	21
Bathurst			2	16
Bathurst			3	18
Bathurst			4	22
Bathurst			6	4
Bathurst		1 storey		61
Bathurst		1 storey	0	16
Bathurst		1 storey	1	243
Bathurst		1 storey	2	1007
Bathurst		1 storey	3	573
Bathurst		1 storey	4	70
Bathurst		1 storey	5	5
Bathurst		1 storey	6	7
Bathurst		2 storeys or more		20
Bathurst		2 storeys or more	0	5
Bathurst		2 storeys or more	1	118
Bathurst		2 storeys or more	2	142
Bathurst		2 storeys or more	3	160
Bathurst		2 storeys or more	4	36
Bathurst		2 storeys or more	5	5
Bathurst		2 storeys or more	6	4
Bathurst	(Other)			12
Bathurst	(Other)		0	17
Bathurst	(Other)		1	34
Bathurst	(Other)		2	26
Bathurst	(Other)		3	27
Bathurst	(Other)		4	12
Bathurst	(Other)		5	6
Bathurst	(Other)		6	8
Bathurst	Flat/apartment	1 or 2 storey block		24
Bathurst	Flat/apartment	1 or 2 storey block	0	20
Bathurst	Flat/apartment	1 or 2 storey block	1	191
Bathurst	Flat/apartment	1 or 2 storey block	2	496
Bathurst	Flat/apartment	1 or 2 storey block	3	93
Bathurst	Flat/apartment	1 or 2 storey block	4	13
Bathurst	Flat/apartment	1 or 2 storey block	6	4
Bathurst	Flat/apartment	3 storey block	1	7
Bathurst	Flat/apartment	3 storey block	2	17
Bathurst	Flat/apartment	9 or more storey block	3	3
Bathurst	Flat/apartment	Attached to a house		7
Bathurst	Flat/apartment	Attached to a house	1	8
Bathurst	Flat/apartment	Attached to a house	2	9
Bathurst	Flat/apartment	Attached to a house	3	5
Bathurst	Flat/apartment	Attached to a house	4	3
Bathurst	Separate house			410
Bathurst	Separate house		0	74
Bathurst	Separate house		1	436
Bathurst	Separate house		2	3048
Bathurst	Separate house		3	11191
Bathurst	Separate house		4	9195
Bathurst	Separate house		5	1930
Bathurst	Separate house		6	510
Baulkham Hills				8
Baulkham Hills			0	3
Baulkham Hills			1	7
Baulkham Hills			2	8
Baulkham Hills			3	22
Baulkham Hills			4	10
Baulkham Hills			5	10
Baulkham Hills			6	3
Baulkham Hills		1 storey		6
Baulkham Hills		1 storey	1	10
Baulkham Hills		1 storey	2	196
Baulkham Hills		1 storey	3	242
Baulkham Hills		1 storey	4	18
Baulkham Hills		1 storey	5	5
Baulkham Hills		2 storeys or more		13
Baulkham Hills		2 storeys or more	1	11
Baulkham Hills		2 storeys or more	2	351
Baulkham Hills		2 storeys or more	3	1584
Baulkham Hills		2 storeys or more	4	380
Baulkham Hills		2 storeys or more	5	43
Baulkham Hills		2 storeys or more	6	6
Baulkham Hills	Flat/apartment		0	3
Baulkham Hills	Flat/apartment	1 or 2 storey block		17
Baulkham Hills	Flat/apartment	1 or 2 storey block	0	6
Baulkham Hills	Flat/apartment	1 or 2 storey block	1	50
Baulkham Hills	Flat/apartment	1 or 2 storey block	2	206
Baulkham Hills	Flat/apartment	1 or 2 storey block	3	95
Baulkham Hills	Flat/apartment	1 or 2 storey block	4	4
Baulkham Hills	Flat/apartment	3 storey block		3
Baulkham Hills	Flat/apartment	3 storey block	1	12
Baulkham Hills	Flat/apartment	3 storey block	2	243
Baulkham Hills	Flat/apartment	3 storey block	3	167
Baulkham Hills	Flat/apartment	4-8 storey block		14
Baulkham Hills	Flat/apartment	4-8 storey block	0	5
Baulkham Hills	Flat/apartment	4-8 storey block	1	299
Baulkham Hills	Flat/apartment	4-8 storey block	2	740
Baulkham Hills	Flat/apartment	4-8 storey block	3	231
Baulkham Hills	Flat/apartment	4-8 storey block	4	15
Baulkham Hills	Flat/apartment	9 or more storey block		6
Baulkham Hills	Flat/apartment	9 or more storey block	1	105
Baulkham Hills	Flat/apartment	9 or more storey block	2	350
Baulkham Hills	Flat/apartment	9 or more storey block	3	88
Baulkham Hills	Flat/apartment	9 or more storey block	4	3
Baulkham Hills	Flat/apartment	Attached to a house	1	9
Baulkham Hills	Flat/apartment	Attached to a house	2	39
Baulkham Hills	Flat/apartment	Attached to a house	3	18
Baulkham Hills	Flat/apartment	Attached to a house	4	16
Baulkham Hills	Flat/apartment	Attached to a house	5	7
Baulkham Hills	Flat/apartment	Attached to a house	6	3
Baulkham Hills	Separate house			164
Baulkham Hills	Separate house		0	10
Baulkham Hills	Separate house		1	114
Baulkham Hills	Separate house		2	624
Baulkham Hills	Separate house		3	5329
Baulkham Hills	Separate house		4	11071
Baulkham Hills	Separate house		5	4492
Baulkham Hills	Separate house		6	955
Bega				12
Bega			0	7
Bega			1	22
Bega			2	32
Bega			3	30
Bega			4	20
Bega			5	4
Bega		1 storey		46
Bega		1 storey	0	3
Bega		1 storey	1	130
Bega		1 storey	2	815
Bega		1 storey	3	527
Bega		1 storey	4	31
Bega		1 storey	5	3
Bega		2 storeys or more		26
Bega		2 storeys or more	0	6
Bega		2 storeys or more	1	101
Bega		2 storeys or more	2	441
Bega		2 storeys or more	3	441
Bega		2 storeys or more	4	62
Bega		2 storeys or more	5	7
Bega		2 storeys or more	6	3
Bega	(Other)			20
Bega	(Other)		0	57
Bega	(Other)		1	179
Bega	(Other)		2	234
Bega	(Other)		3	53
Bega	(Other)		4	18
Bega	(Other)		5	4
Bega	Flat/apartment	1 or 2 storey block		35
Bega	Flat/apartment	1 or 2 storey block	0	15
Bega	Flat/apartment	1 or 2 storey block	1	178
Bega	Flat/apartment	1 or 2 storey block	2	887
Bega	Flat/apartment	1 or 2 storey block	3	348
Bega	Flat/apartment	1 or 2 storey block	4	28
Bega	Flat/apartment	1 or 2 storey block	5	4
Bega	Flat/apartment	3 storey block		3
Bega	Flat/apartment	3 storey block	1	13
Bega	Flat/apartment	3 storey block	2	56
Bega	Flat/apartment	3 storey block	3	23
Bega	Flat/apartment	4-8 storey block	2	28
Bega	Flat/apartment	4-8 storey block	3	15
Bega	Flat/apartment	Attached to a house		3
Bega	Flat/apartment	Attached to a house	1	11
Bega	Flat/apartment	Attached to a house	2	10
Bega	Flat/apartment	Attached to a house	3	7
Bega	Flat/apartment	Attached to a house	4	4
Bega	Flat/apartment	Attached to a house	5	3
Bega	Separate house			412
Bega	Separate house		0	156
Bega	Separate house		1	721
Bega	Separate house		2	3568
Bega	Separate house		3	11980
Bega	Separate house		4	7550
Bega	Separate house		5	1470
Bega	Separate house		6	349
Blacktown			1	14
Blacktown			2	12
Blacktown			3	5
Blacktown			5	5
Blacktown		1 storey		23
Blacktown		1 storey	0	22
Blacktown		1 storey	1	100
Blacktown		1 storey	2	275
Blacktown		1 storey	3	447
Blacktown		1 storey	4	133
Blacktown		1 storey	5	7
Blacktown		2 storeys or more		44
Blacktown		2 storeys or more	0	11
Blacktown		2 storeys or more	1	112
Blacktown		2 storeys or more	2	503
Blacktown		2 storeys or more	3	1359
Blacktown		2 storeys or more	4	604
Blacktown		2 storeys or more	5	46
Blacktown		2 storeys or more	6	6
Blacktown	(Other)		1	3
Blacktown	(Other)		2	14
Blacktown	(Other)		3	8
Blacktown	Flat/apartment		0	3
Blacktown	Flat/apartment	1 or 2 storey block		26
Blacktown	Flat/apartment	1 or 2 storey block	0	54
Blacktown	Flat/apartment	1 or 2 storey block	1	317
Blacktown	Flat/apartment	1 or 2 storey block	2	115
Blacktown	Flat/apartment	1 or 2 storey block	3	32
Blacktown	Flat/apartment	1 or 2 storey block	4	10
Blacktown	Flat/apartment	3 storey block	2	15
Blacktown	Flat/apartment	4-8 storey block		35
Blacktown	Flat/apartment	4-8 storey block	1	77
Blacktown	Flat/apartment	4-8 storey block	2	1800
Blacktown	Flat/apartment	4-8 storey block	3	91
Blacktown	Flat/apartment	9 or more storey block		7
Blacktown	Flat/apartment	9 or more storey block	1	16
Blacktown	Flat/apartment	9 or more storey block	2	146
Blacktown	Flat/apartment	9 or more storey block	3	49
Blacktown	Flat/apartment	9 or more storey block	4	3
Blacktown	Flat/apartment	Attached to a house		10
Blacktown	Flat/apartment	Attached to a house	1	12
Blacktown	Flat/apartment	Attached to a house	2	114
Blacktown	Flat/apartment	Attached to a house	3	68
Blacktown	Flat/apartment	Attached to a house	4	18
Blacktown	Flat/apartment	Attached to a house	5	7
Blacktown	Flat/apartment	Attached to a house	6	11
Blacktown	Separate house			348
Blacktown	Separate house		0	32
Blacktown	Separate house		1	287
Blacktown	Separate house		2	2444
Blacktown	Separate house		3	11284
Blacktown	Separate house		4	6613
Blacktown	Separate house		5	1560
Blacktown	Separate house		6	402
Blue Mountains				23
Blue Mountains			0	8
Blue Mountains			1	12
Blue Mountains			2	7
Blue Mountains			3	5
Blue Mountains			4	4
Blue Mountains			6	5
Blue Mountains		1 storey		7
Blue Mountains		1 storey	0	13
Blue Mountains		1 storey	1	121
Blue Mountains		1 storey	2	236
Blue Mountains		1 storey	3	307
Blue Mountains		1 storey	4	38
Blue Mountains		2 storeys or more		7
Blue Mountains		2 storeys or more	0	4
Blue Mountains		2 storeys or more	1	28
Blue Mountains		2 storeys or more	2	212
Blue Mountains		2 storeys or more	3	251
Blue Mountains		2 storeys or more	4	18
Blue Mountains		2 storeys or more	5	5
Blue Mountains		2 storeys or more	6	4
Blue Mountains	(Other)		1	11
Blue Mountains	(Other)		2	25
Blue Mountains	(Other)		3	11
Blue Mountains	(Other)		4	5
Blue Mountains	Flat/apartment	1 or 2 storey block		9
Blue Mountains	Flat/apartment	1 or 2 storey block	0	18
Blue Mountains	Flat/apartment	1 or 2 storey block	1	224
Blue Mountains	Flat/apartment	1 or 2 storey block	2	247
Blue Mountains	Flat/apartment	1 or 2 storey block	3	60
Blue Mountains	Flat/apartment	1 or 2 storey block	4	7
Blue Mountains	Flat/apartment	1 or 2 storey block	5	4
Blue Mountains	Flat/apartment	3 storey block	0	4
Blue Mountains	Flat/apartment	3 storey block	1	46
Blue Mountains	Flat/apartment	3 storey block	2	107
Blue Mountains	Flat/apartment	3 storey block	3	22
Blue Mountains	Flat/apartment	3 storey block	6	4
Blue Mountains	Flat/apartment	4-8 storey block	1	19
Blue Mountains	Flat/apartment	4-8 storey block	2	14
Blue Mountains	Flat/apartment	Attached to a house		3
Blue Mountains	Flat/apartment	Attached to a house	1	30
Blue Mountains	Flat/apartment	Attached to a house	2	51
Blue Mountains	Flat/apartment	Attached to a house	3	26
Blue Mountains	Flat/apartment	Attached to a house	4	13
Blue Mountains	Flat/apartment	Attached to a house	5	3
Blue Mountains	Separate house			209
Blue Mountains	Separate house		0	54
Blue Mountains	Separate house		1	428
Blue Mountains	Separate house		2	3159
Blue Mountains	Separate house		3	11479
Blue Mountains	Separate house		4	8188
Blue Mountains	Separate house		5	2186
Blue Mountains	Separate house		6	460
Cabramatta				7
Cabramatta			0	4
Cabramatta			1	8
Cabramatta			2	22
Cabramatta			3	14
Cabramatta			4	6
Cabramatta			5	3
Cabramatta			6	4
Cabramatta		1 storey		7
Cabramatta		1 storey	0	9
Cabramatta		1 storey	1	68
Cabramatta		1 storey	2	101
Cabramatta		1 storey	3	327
Cabramatta		1 storey	4	15
Cabramatta		1 storey	5	5
Cabramatta		1 storey	6	3
Cabramatta		2 storeys or more		50
Cabramatta		2 storeys or more	0	6
Cabramatta		2 storeys or more	1	162
Cabramatta		2 storeys or more	2	667
Cabramatta		2 storeys or more	3	1404
Cabramatta		2 storeys or more	4	285
Cabramatta		2 storeys or more	5	19
Cabramatta	(Other)		2	20
Cabramatta	(Other)		3	6
Cabramatta	Flat/apartment		0	3
Cabramatta	Flat/apartment	1 or 2 storey block		14
Cabramatta	Flat/apartment	1 or 2 storey block	0	5
Cabramatta	Flat/apartment	1 or 2 storey block	1	143
Cabramatta	Flat/apartment	1 or 2 storey block	2	433
Cabramatta	Flat/apartment	1 or 2 storey block	3	185
Cabramatta	Flat/apartment	1 or 2 storey block	4	11
Cabramatta	Flat/apartment	1 or 2 storey block	6	7
Cabramatta	Flat/apartment	3 storey block		44
Cabramatta	Flat/apartment	3 storey block	0	9
Cabramatta	Flat/apartment	3 storey block	1	124
Cabramatta	Flat/apartment	3 storey block	2	1310
Cabramatta	Flat/apartment	3 storey block	3	155
Cabramatta	Flat/apartment	3 storey block	4	3
Cabramatta	Flat/apartment	4-8 storey block		12
Cabramatta	Flat/apartment	4-8 storey block	1	48
Cabramatta	Flat/apartment	4-8 storey block	2	266
Cabramatta	Flat/apartment	4-8 storey block	3	11
Cabramatta	Flat/apartment	Attached to a house		5
Cabramatta	Flat/apartment	Attached to a house	1	35
Cabramatta	Flat/apartment	Attached to a house	2	158
Cabramatta	Flat/apartment	Attached to a house	3	75
Cabramatta	Flat/apartment	Attached to a house	4	33
Cabramatta	Flat/apartment	Attached to a house	5	27
Cabramatta	Flat/apartment	Attached to a house	6	3
Cabramatta	Separate house			296
Cabramatta	Separate house		0	20
Cabramatta	Separate house		1	175
Cabramatta	Separate house		2	1263
Cabramatta	Separate house		3	7469
Cabramatta	Separate house		4	6316
Cabramatta	Separate house		5	1897
Cabramatta	Separate house		6	611
Camden				6
Camden			1	11
Camden			2	18
Camden			3	24
Camden			4	49
Camden			5	13
Camden		1 storey		15
Camden		1 storey	0	6
Camden		1 storey	1	120
Camden		1 storey	2	309
Camden		1 storey	3	284
Camden		1 storey	4	141
Camden		1 storey	5	10
Camden		1 storey	6	3
Camden		2 storeys or more		22
Camden		2 storeys or more	0	4
Camden		2 storeys or more	1	164
Camden		2 storeys or more	2	252
Camden		2 storeys or more	3	441
Camden		2 storeys or more	4	465
Camden		2 storeys or more	5	63
Camden		2 storeys or more	6	3
Camden	(Other)			7
Camden	(Other)		0	8
Camden	(Other)		1	45
Camden	(Other)		2	87
Camden	(Other)		3	14
Camden	(Other)		4	4
Camden	Flat/apartment	1 or 2 storey block		9
Camden	Flat/apartment	1 or 2 storey block	1	45
Camden	Flat/apartment	1 or 2 storey block	2	147
Camden	Flat/apartment	1 or 2 storey block	3	25
Camden	Flat/apartment	1 or 2 storey block	4	14
Camden	Flat/apartment	3 storey block	2	15
Camden	Flat/apartment	3 storey block	3	12
Camden	Flat/apartment	4-8 storey block	1	7
Camden	Flat/apartment	4-8 storey block	2	17
Camden	Flat/apartment	4-8 storey block	3	11
Camden	Flat/apartment	Attached to a house	1	38
Camden	Flat/apartment	Attached to a house	2	26
Camden	Flat/apartment	Attached to a house	3	9
Camden	Flat/apartment	Attached to a house	4	38
Camden	Flat/apartment	Attached to a house	5	13
Camden	Flat/apartment	Attached to a house	6	11
Camden	Separate house			374
Camden	Separate house		0	35
Camden	Separate house		1	444
Camden	Separate house		2	926
Camden	Separate house		3	7651
Camden	Separate house		4	22898
Camden	Separate house		5	4396
