SED_NAME21	medianRent
Croydon (Eastern Metropolitan)	20332
Dandenong (South-Eastern Metropolitan)	16900
Eildon (Northern Victoria)	15860
Eltham (Eastern Metropolitan)	22360
Essendon (Western Metropolitan)	19240
Euroa (Northern Victoria)	13780
Evelyn (Eastern Victoria)	20384
Ferntree Gully (Eastern Metropolitan)	21372
Footscray (Western Metropolitan)	18460
Forest Hill (Eastern Metropolitan)	22776
Frankston (South-Eastern Metropolitan)	17992
Geelong (Western Victoria)	17160
Gembrook (Eastern Victoria)	19292
Gippsland East (Eastern Victoria)	13520
Gippsland South (Eastern Victoria)	13520
Hastings (Eastern Victoria)	18252
Hawthorn (Southern Metropolitan)	21892
Ivanhoe (Eastern Metropolitan)	20592
Kew (Southern Metropolitan)	26000
Keysborough (South-Eastern Metropolitan)	19292
Kororoit (Western Metropolitan)	19656
Lara (Western Victoria)	15600
Lowan (Western Victoria)	10920
Macedon (Northern Victoria)	19292
Malvern (Southern Metropolitan)	22152
Melbourne (Northern Metropolitan)	20280
Melton (Western Victoria)	17160
Mildura (Northern Victoria)	13000
Mill Park (Northern Metropolitan)	19292
Monbulk (Eastern Victoria)	20020
Mordialloc (South-Eastern Metropolitan)	21112
Mornington (Eastern Victoria)	22880
Morwell (Eastern Victoria)	12480
Mount Waverley (Eastern Metropolitan)	24804
Mulgrave (South-Eastern Metropolitan)	19760
Murray Plains (Northern Victoria)	11960
Narracan (Eastern Victoria)	15600
Narre Warren North (South-Eastern Metropolitan)	18772
Narre Warren South (South-Eastern Metropolitan)	20072
Nepean (Eastern Victoria)	19292
Niddrie (Western Metropolitan)	21112
Northcote (Northern Metropolitan)	21372
Oakleigh (Southern Metropolitan)	20800
Ovens Valley (Northern Victoria)	13520
Pascoe Vale (Northern Metropolitan)	20384
Polwarth (Western Victoria)	13520
Prahran (Southern Metropolitan)	21424
Preston (Northern Metropolitan)	19032
Richmond (Northern Metropolitan)	23400
Ringwood (Eastern Metropolitan)	20332
Ripon (Western Victoria)	12480
Rowville (South-Eastern Metropolitan)	22152
Sandringham (Southern Metropolitan)	22880
Shepparton (Northern Victoria)	13520
South Barwon (Western Victoria)	21372
South-West Coast (Western Victoria)	14404
St Albans (Western Metropolitan)	17212
Sunbury (Western Metropolitan)	19240
Sydenham (Western Metropolitan)	19812
Tarneit (Western Metropolitan)	19552
Thomastown (Northern Metropolitan)	18772
Warrandyte (Eastern Metropolitan)	24024
Wendouree (Western Victoria)	15600
Werribee (Western Metropolitan)	17680
Williamstown (Western Metropolitan)	22776
Yan Yean (Northern Victoria)	19812
Yuroke (Northern Metropolitan)	20280
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Algester	20280
Aspley	22360
Bancroft	19760
Barron River	19760
Bonney	21320
Broadwater	24960
Buderim	24440
Bulimba	23400
Bundaberg	14560
Bundamba	17420
Burdekin	11440
Burleigh	24700
Burnett	15600
Cairns	15600
Callide	12220
Caloundra	22360
Capalaba	20800
Chatsworth	23400
Clayfield	20540
Condamine	15340
Cook	9308
Coomera	23400
Cooper	23400
Currumbin	23400
Everton	22100
Ferny Grove	20800
Gaven	21840
Gladstone	14040
Glass House	19240
Greenslopes	20280
Gregory	11440
Gympie	15080
Hervey Bay	17160
Hill	13260
Hinchinbrook	16120
Inala	18200
Ipswich	15600
Ipswich West	15600
Jordan	20800
Kawana	23920
Keppel	17160
Kurwongbah	19500
Lockyer	15860
Logan	19240
Lytton	21320
Macalister	18200
Mackay	16640
Maiwar	21320
Mansfield	21840
Maroochydore	21840
Maryborough	14040
McConnel	22360
Mermaid Beach	25220
Miller	20800
Mirani	16640
Moggill	25480
Morayfield	17160
Mount Ommaney	21320
Mudgeeraba	26000
Mulgrave	17680
Mundingburra	16640
Murrumba	18980
Nanango	12480
Nicklin	19240
Ninderry	24960
Noosa	24440
Nudgee	19760
Oodgeroo	21840
Pine Rivers	19500
Pumicestone	18200
Redcliffe	18200
Redlands	22100
Rockhampton	14560
Sandgate	20280
Scenic Rim	16640
South Brisbane	22880
Southern Downs	13000
Southport	22360
Springwood	20800
Stafford	20020
Stretton	21320
Surfers Paradise	22360
Theodore	22880
Thuringowa	15600
Toohey	20800
Toowoomba North	15340
Toowoomba South	16640
Townsville	14560
Traeger	11440
Warrego	11440
Waterford	17940
Whitsunday	19240
Woodridge	17160
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	
Adelaide	19968
Badcoe	16120
Black	19240
Bragg	18980
Chaffey	10400
Cheltenham	15860
Colton	18096
Croydon	15600
Davenport	18200
Dunstan	17680
Elder	16120
Elizabeth	13520
Enfield	17680
Finniss	14560
Flinders	11336
Florey	16640
Frome	12480
Gibson	18200
Giles	9360
Hammond	12740
Hartley	17680
Heysen	18460
Hurtle Vale	15600
Kaurna	16640
Kavel	18200
King	16380
Lee	16380
Light	14976
Mackillop	10192
Mawson	15600
Morialta	18720
Morphett	16640
Mount Gambier	11440
Narungga	11960
Newland	17160
Playford	16120
Port Adelaide	15600
Ramsay	14040
Reynell	15600
Schubert	15080
Stuart	9620
Taylor	14300
Torrens	16380
Unley	18980
Waite	19240
West Torrens	16640
Wright	16640
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Albany (South West)	15600
Armadale (East Metropolitan)	15080
Balcatta (North Metropolitan)	16900
Baldivis (South Metropolitan)	18200
Bassendean (East Metropolitan)	17160
Bateman (South Metropolitan)	23296
Belmont (East Metropolitan)	18200
Bicton (South Metropolitan)	19760
Bunbury (South West)	15600
Burns Beach (North Metropolitan)	19760
Butler (North Metropolitan)	18200
Cannington (South Metropolitan)	17680
Carine (North Metropolitan)	23400
Central Wheatbelt (Agricultural)	10868
Churchlands (North Metropolitan)	18200
Cockburn (South Metropolitan)	20020
Collie-Preston (South West)	16120
Cottesloe (North Metropolitan)	23400
Darling Range (East Metropolitan)	19240
Dawesville (South West)	17680
Forrestfield (East Metropolitan)	18200
Fremantle (South Metropolitan)	18200
Geraldton (Agricultural)	13520
Hillarys (North Metropolitan)	20800
Jandakot (South Metropolitan)	22360
Joondalup (North Metropolitan)	19760
Kalamunda (East Metropolitan)	19240
Kalgoorlie (Mining and Pastoral)	15600
Kimberley (Mining and Pastoral)	10400
Kingsley (North Metropolitan)	20800
Kwinana (South Metropolitan)	17160
Landsdale (North Metropolitan)	21320
Mandurah (South West)	15600
Maylands (East Metropolitan)	16380
Midland (East Metropolitan)	15600
Mirrabooka (East Metropolitan)	15600
Moore (Agricultural)	13000
Morley (East Metropolitan)	18200
Mount Lawley (East Metropolitan)	17680
Murray-Wellington (South West)	15600
Nedlands (North Metropolitan)	21840
North West Central (Mining and Pastoral)	6760
Perth (North Metropolitan)	20800
Pilbara (Mining and Pastoral)	12012
Riverton (South Metropolitan)	21320
Rockingham (South Metropolitan)	15600
Roe (Agricultural)	11700
Scarborough (North Metropolitan)	20800
South Perth (South Metropolitan)	18720
Southern River (South Metropolitan)	19500
Swan Hills (East Metropolitan)	18720
Thornlie (East Metropolitan)	15600
Vasse (South West)	18980
Victoria Park (South Metropolitan)	17680
Wanneroo (North Metropolitan)	19760
Warnbro (South Metropolitan)	18200
Warren-Blackwood (South West)	14560
West Swan (East Metropolitan)	18720
Willagee (South Metropolitan)	17680
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	
Bass (Launceston)	16120
Bass (McIntyre)	10400
Bass (Rosevears)	15600
Bass (Windermere)	13000
Braddon (Mersey)	13000
Braddon (Montgomery)	13000
Braddon (Murchison)	11440
Clark (Derwent)	16640
Clark (Elwick)	17160
Clark (Hobart)	20280
Clark (Huon)	13000
Clark (Nelson)	20800
Franklin (Huon)	17160
Franklin (Nelson)	19760
Franklin (Pembroke)	19500
Franklin (Rumney)	17680
Lyons (Derwent)	13260
Lyons (Launceston)	15600
Lyons (McIntyre)	13000
Lyons (Montgomery)	11440
Lyons (Prosser)	15600
Lyons (Rumney)	19760
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Arafura	4160
Araluen	20800
Arnhem	4420
Barkly	5148
Blain	20280
Braitling	19760
Brennan	21840
Casuarina	18200
Daly	4680
Drysdale	15600
Fannie Bay	20280
Fong Lim	20800
Goyder	20800
Gwoja	4680
Johnston	17160
Karama	15600
Katherine	16120
Mulka	5200
Namatjira	9360
Nelson	19240
Nightcliff	18200
Port Darwin	22620
Sanderson	20800
Spillett	24440
Wanguri	19760
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Brindabella	22100
Ginninderra	22360
Kurrajong	24960
Murrumbidgee	23192
Yerrabi	24024
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Unclassified (OT)	10400
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
