SED_NAME16	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Auburn	15-19	0			M	2453
Auburn	15-19	1	0	1	F	129
Auburn	15-19	1	0	1	M	57
Auburn	15-19	1	1	0	F	7
Auburn	15-19	1	1	0	M	16
Auburn	20-24				F	434
Auburn	20-24				M	667
Auburn	20-24	0			F	4055
Auburn	20-24	0			M	4908
Auburn	20-24	1	0	1	F	148
Auburn	20-24	1	0	1	M	95
Auburn	20-24	1	1	0	F	183
Auburn	20-24	1	1	0	M	51
Auburn	25-34				F	1057
Auburn	25-34				M	1733
Auburn	25-34	0			F	8176
Auburn	25-34	0			M	11143
Auburn	25-34	1	0	1	F	200
Auburn	25-34	1	0	1	M	152
Auburn	25-34	1	1	0	F	3225
Auburn	25-34	1	1	0	M	1897
Auburn	25-34	1	1	1	F	32
Auburn	25-34	1	1	1	M	13
Auburn	35-44				F	689
Auburn	35-44				M	1239
Auburn	35-44	0			F	3367
Auburn	35-44	0			M	5214
Auburn	35-44	1	0	1	F	106
Auburn	35-44	1	0	1	M	81
Auburn	35-44	1	1	0	F	4078
Auburn	35-44	1	1	0	M	3460
Auburn	35-44	1	1	1	F	36
Auburn	35-44	1	1	1	M	23
Auburn	45-54				F	434
Auburn	45-54				M	748
Auburn	45-54	0			F	3850
Auburn	45-54	0			M	4033
Auburn	45-54	1	0	1	F	167
Auburn	45-54	1	0	1	M	49
Auburn	45-54	1	1	0	F	1546
Auburn	45-54	1	1	0	M	1680
Auburn	45-54	1	1	1	F	30
Auburn	45-54	1	1	1	M	20
Auburn	55-64				F	384
Auburn	55-64				M	492
Auburn	55-64	0			F	4627
Auburn	55-64	0			M	4572
Auburn	55-64	1	0	1	F	449
Auburn	55-64	1	0	1	M	173
Auburn	55-64	1	1	0	F	242
Auburn	55-64	1	1	0	M	434
Auburn	55-64	1	1	1	F	22
Auburn	55-64	1	1	1	M	9
Auburn	65-74				F	226
Auburn	65-74				M	274
Auburn	65-74	0			F	3010
Auburn	65-74	0			M	3056
Auburn	65-74	1	0	1	F	352
Auburn	65-74	1	0	1	M	199
Auburn	65-74	1	1	0	F	59
Auburn	65-74	1	1	0	M	93
Auburn	65-74	1	1	1	F	6
Auburn	75-84				F	122
Auburn	75-84				M	158
Auburn	75-84	0			F	1507
Auburn	75-84	0			M	1457
Auburn	75-84	1	0	1	F	60
Auburn	75-84	1	0	1	M	38
Auburn	75-84	1	1	0	F	19
Auburn	75-84	1	1	0	M	13
Auburn	85+				F	86
Auburn	85+				M	108
Auburn	85+	0			F	630
Auburn	85+	0			M	443
Auburn	85+	1	0	1	F	5
Auburn	85+	1	0	1	M	5
Ballina	15-19				F	164
Ballina	15-19				M	215
Ballina	15-19	0			F	1675
Ballina	15-19	0			M	1841
Ballina	15-19	1	0	1	F	127
Ballina	15-19	1	0	1	M	78
Ballina	15-19	1	1	0	F	13
Ballina	15-19	1	1	0	M	7
Ballina	20-24				F	174
Ballina	20-24				M	143
Ballina	20-24	0			F	1390
Ballina	20-24	0			M	1409
Ballina	20-24	1	0	1	F	96
Ballina	20-24	1	0	1	M	47
Ballina	20-24	1	1	0	F	72
Ballina	20-24	1	1	0	M	32
Ballina	20-24	1	1	1	F	7
Ballina	25-34				F	460
Ballina	25-34				M	444
Ballina	25-34	0			F	2879
Ballina	25-34	0			M	2867
Ballina	25-34	1	0	1	F	206
Ballina	25-34	1	0	1	M	91
Ballina	25-34	1	1	0	F	1307
Ballina	25-34	1	1	0	M	808
Ballina	25-34	1	1	1	F	53
Ballina	25-34	1	1	1	M	24
Ballina	35-44				F	428
Ballina	35-44				M	449
Ballina	35-44	0			F	1598
Ballina	35-44	0			M	1948
Ballina	35-44	1	0	1	F	195
Ballina	35-44	1	0	1	M	97
Ballina	35-44	1	1	0	F	3062
Ballina	35-44	1	1	0	M	2369
Ballina	35-44	1	1	1	F	164
Ballina	35-44	1	1	1	M	84
Ballina	45-54				F	439
Ballina	45-54				M	393
Ballina	45-54	0			F	3145
Ballina	45-54	0			M	2746
Ballina	45-54	1	0	1	F	294
Ballina	45-54	1	0	1	M	117
Ballina	45-54	1	1	0	F	1967
Ballina	45-54	1	1	0	M	1852
Ballina	45-54	1	1	1	F	89
Ballina	45-54	1	1	1	M	66
Ballina	55-64				F	413
Ballina	55-64				M	405
Ballina	55-64	0			F	4688
Ballina	55-64	0			M	4344
Ballina	55-64	1	0	1	F	854
Ballina	55-64	1	0	1	M	344
Ballina	55-64	1	1	0	F	178
Ballina	55-64	1	1	0	M	444
Ballina	55-64	1	1	1	F	16
Ballina	55-64	1	1	1	M	15
Ballina	65-74				F	337
Ballina	65-74				M	383
Ballina	65-74	0			F	4347
Ballina	65-74	0			M	4486
Ballina	65-74	1	0	1	F	971
Ballina	65-74	1	0	1	M	546
Ballina	65-74	1	1	0	F	39
Ballina	65-74	1	1	0	M	91
Ballina	65-74	1	1	1	F	5
Ballina	75-84				F	236
Ballina	75-84				M	198
Ballina	75-84	0			F	2569
Ballina	75-84	0			M	2322
Ballina	75-84	1	0	1	F	153
Ballina	75-84	1	0	1	M	96
Ballina	75-84	1	1	0	F	13
Ballina	75-84	1	1	0	M	17
Ballina	85+				F	231
Ballina	85+				M	101
Ballina	85+	0			F	1283
Ballina	85+	0			M	795
Ballina	85+	1	0	1	F	8
Ballina	85+	1	0	1	M	10
Ballina	85+	1	1	0	M	5
Balmain	15-19				F	83
Balmain	15-19				M	85
Balmain	15-19	0			F	1468
Balmain	15-19	0			M	1539
Balmain	15-19	1	0	1	F	58
Balmain	15-19	1	0	1	M	38
Balmain	15-19	1	1	0	F	4
Balmain	20-24				F	182
Balmain	20-24				M	190
Balmain	20-24	0			F	2750
Balmain	20-24	0			M	2318
Balmain	20-24	1	0	1	F	58
Balmain	20-24	1	0	1	M	29
Balmain	20-24	1	1	0	F	8
Balmain	20-24	1	1	0	M	9
Balmain	20-24	1	1	1	F	5
Balmain	25-34				F	481
Balmain	25-34				M	460
Balmain	25-34	0			F	6431
Balmain	25-34	0			M	6282
Balmain	25-34	1	0	1	F	114
Balmain	25-34	1	0	1	M	60
Balmain	25-34	1	1	0	F	985
Balmain	25-34	1	1	0	M	603
Balmain	25-34	1	1	1	F	14
Balmain	25-34	1	1	1	M	3
Balmain	35-44				F	352
Balmain	35-44				M	383
Balmain	35-44	0			F	3129
Balmain	35-44	0			M	3582
Balmain	35-44	1	0	1	F	114
Balmain	35-44	1	0	1	M	52
Balmain	35-44	1	1	0	F	3648
Balmain	35-44	1	1	0	M	2999
Balmain	35-44	1	1	1	F	41
Balmain	35-44	1	1	1	M	15
Balmain	45-54				F	258
Balmain	45-54				M	300
Balmain	45-54	0			F	3291
Balmain	45-54	0			M	3047
Balmain	45-54	1	0	1	F	101
Balmain	45-54	1	0	1	M	37
Balmain	45-54	1	1	0	F	2469
Balmain	45-54	1	1	0	M	2384
Balmain	45-54	1	1	1	F	30
Balmain	45-54	1	1	1	M	27
Balmain	55-64				F	209
Balmain	55-64				M	250
Balmain	55-64	0			F	4004
Balmain	55-64	0			M	3544
Balmain	55-64	1	0	1	F	249
Balmain	55-64	1	0	1	M	100
Balmain	55-64	1	1	0	F	243
Balmain	55-64	1	1	0	M	443
Balmain	55-64	1	1	1	F	5
Balmain	55-64	1	1	1	M	3
Balmain	65-74				F	160
Balmain	65-74				M	167
Balmain	65-74	0			F	3090
Balmain	65-74	0			M	2726
Balmain	65-74	1	0	1	F	479
Balmain	65-74	1	0	1	M	232
Balmain	65-74	1	1	0	F	19
Balmain	65-74	1	1	0	M	58
Balmain	65-74	1	1	1	F	3
Balmain	65-74	1	1	1	M	6
Balmain	75-84				F	113
Balmain	75-84				M	112
Balmain	75-84	0			F	1551
Balmain	75-84	0			M	1287
Balmain	75-84	1	0	1	F	90
Balmain	75-84	1	0	1	M	66
Balmain	75-84	1	1	0	F	12
Balmain	75-84	1	1	0	M	6
Balmain	85+				F	105
Balmain	85+				M	68
Balmain	85+	0			F	544
Balmain	85+	0			M	357
Bankstown	15-19				F	262
Bankstown	15-19				M	306
Bankstown	15-19	0			F	2548
Bankstown	15-19	0			M	2848
Bankstown	15-19	1	0	1	F	148
Bankstown	15-19	1	0	1	M	57
Bankstown	15-19	1	1	0	F	15
Bankstown	15-19	1	1	0	M	11
Bankstown	20-24				F	290
Bankstown	20-24				M	410
Bankstown	20-24	0			F	2664
Bankstown	20-24	0			M	2941
Bankstown	20-24	1	0	1	F	101
Bankstown	20-24	1	0	1	M	68
Bankstown	20-24	1	1	0	F	238
Bankstown	20-24	1	1	0	M	60
Bankstown	20-24	1	1	1	F	9
Bankstown	25-34				F	699
Bankstown	25-34				M	876
Bankstown	25-34	0			F	3684
Bankstown	25-34	0			M	4899
Bankstown	25-34	1	0	1	F	141
Bankstown	25-34	1	0	1	M	98
Bankstown	25-34	1	1	0	F	2779
Bankstown	25-34	1	1	0	M	1433
Bankstown	25-34	1	1	1	F	22
Bankstown	25-34	1	1	1	M	14
Bankstown	35-44				F	617
Bankstown	35-44				M	774
Bankstown	35-44	0			F	2070
Bankstown	35-44	0			M	2765
Bankstown	35-44	1	0	1	F	87
Bankstown	35-44	1	0	1	M	50
Bankstown	35-44	1	1	0	F	3395
Bankstown	35-44	1	1	0	M	2605
Bankstown	35-44	1	1	1	F	29
Bankstown	35-44	1	1	1	M	8
Bankstown	45-54				F	460
Bankstown	45-54				M	556
Bankstown	45-54	0			F	3510
Bankstown	45-54	0			M	3199
Bankstown	45-54	1	0	1	F	135
Bankstown	45-54	1	0	1	M	50
Bankstown	45-54	1	1	0	F	1482
Bankstown	45-54	1	1	0	M	1566
Bankstown	45-54	1	1	1	F	26
Bankstown	45-54	1	1	1	M	13
Bankstown	55-64				F	372
Bankstown	55-64				M	398
Bankstown	55-64	0			F	4175
Bankstown	55-64	0			M	4207
Bankstown	55-64	1	0	1	F	400
Bankstown	55-64	1	0	1	M	118
Bankstown	55-64	1	1	0	F	194
Bankstown	55-64	1	1	0	M	448
Bankstown	55-64	1	1	1	F	13
Bankstown	55-64	1	1	1	M	8
Bankstown	65-74				F	296
Bankstown	65-74				M	266
Bankstown	65-74	0			F	3036
Bankstown	65-74	0			M	3011
Bankstown	65-74	1	0	1	F	286
Bankstown	65-74	1	0	1	M	149
Bankstown	65-74	1	1	0	F	34
Bankstown	65-74	1	1	0	M	57
Bankstown	65-74	1	1	1	F	6
Bankstown	65-74	1	1	1	M	3
Bankstown	75-84				F	224
Bankstown	75-84				M	195
Bankstown	75-84	0			F	1684
Bankstown	75-84	0			M	1549
Bankstown	75-84	1	0	1	F	38
Bankstown	75-84	1	0	1	M	46
Bankstown	75-84	1	1	0	F	11
Bankstown	75-84	1	1	0	M	13
Bankstown	85+				F	248
Bankstown	85+				M	110
Bankstown	85+	0			F	916
Bankstown	85+	0			M	629
Bankstown	85+	1	0	1	F	4
Bankstown	85+	1	0	1	M	3
Bankstown	85+	1	1	0	F	6
Barwon	15-19				F	324
Barwon	15-19				M	360
Barwon	15-19	0			F	1481
Barwon	15-19	0			M	1638
Barwon	15-19	1	0	1	F	136
Barwon	15-19	1	0	1	M	72
Barwon	15-19	1	1	0	F	33
Barwon	15-19	1	1	0	M	16
Barwon	20-24				F	256
Barwon	20-24				M	274
Barwon	20-24	0			F	1119
Barwon	20-24	0			M	1453
Barwon	20-24	1	0	1	F	106
Barwon	20-24	1	0	1	M	50
Barwon	20-24	1	1	0	F	230
Barwon	20-24	1	1	0	M	94
Barwon	20-24	1	1	1	F	9
Barwon	20-24	1	1	1	M	3
Barwon	25-34				F	577
Barwon	25-34				M	586
Barwon	25-34	0			F	1823
Barwon	25-34	0			M	2223
Barwon	25-34	1	0	1	F	151
Barwon	25-34	1	0	1	M	87
Barwon	25-34	1	1	0	F	1947
Barwon	25-34	1	1	0	M	1268
Barwon	25-34	1	1	1	F	117
Barwon	25-34	1	1	1	M	34
Barwon	35-44				F	566
Barwon	35-44				M	533
Barwon	35-44	0			F	1172
Barwon	35-44	0			M	1432
Barwon	35-44	1	0	1	F	136
Barwon	35-44	1	0	1	M	92
Barwon	35-44	1	1	0	F	2016
Barwon	35-44	1	1	0	M	1679
Barwon	35-44	1	1	1	F	92
Barwon	35-44	1	1	1	M	40
Barwon	45-54				F	585
Barwon	45-54				M	594
Barwon	45-54	0			F	2559
Barwon	45-54	0			M	2681
Barwon	45-54	1	0	1	F	394
Barwon	45-54	1	0	1	M	142
Barwon	45-54	1	1	0	F	883
Barwon	45-54	1	1	0	M	951
Barwon	45-54	1	1	1	F	30
Barwon	45-54	1	1	1	M	24
Barwon	55-64				F	607
Barwon	55-64				M	674
Barwon	55-64	0			F	3740
Barwon	55-64	0			M	4156
Barwon	55-64	1	0	1	F	868
Barwon	55-64	1	0	1	M	363
Barwon	55-64	1	1	0	F	86
Barwon	55-64	1	1	0	M	220
Barwon	55-64	1	1	1	F	8
Barwon	55-64	1	1	1	M	5
Barwon	65-74				F	492
Barwon	65-74				M	560
Barwon	65-74	0			F	3168
Barwon	65-74	0			M	3746
Barwon	65-74	1	0	1	F	531
Barwon	65-74	1	0	1	M	330
Barwon	65-74	1	1	0	F	29
Barwon	65-74	1	1	0	M	38
Barwon	65-74	1	1	1	F	5
Barwon	75-84				F	416
Barwon	75-84				M	362
Barwon	75-84	0			F	2165
Barwon	75-84	0			M	2060
Barwon	75-84	1	0	1	F	107
Barwon	75-84	1	0	1	M	70
Barwon	75-84	1	1	0	F	8
Barwon	75-84	1	1	0	M	5
Barwon	85+				F	250
Barwon	85+				M	132
Barwon	85+	0			F	1009
Barwon	85+	0			M	637
Barwon	85+	1	0	1	F	5
Barwon	85+	1	0	1	M	3
Barwon	85+	1	1	0	F	4
Bathurst	15-19				F	154
Bathurst	15-19				M	233
Bathurst	15-19	0			F	1925
Bathurst	15-19	0			M	2232
Bathurst	15-19	1	0	1	F	194
Bathurst	15-19	1	0	1	M	109
Bathurst	15-19	1	1	0	F	29
Bathurst	15-19	1	1	0	M	7
Bathurst	20-24				F	143
Bathurst	20-24				M	339
Bathurst	20-24	0			F	1615
Bathurst	20-24	0			M	1917
Bathurst	20-24	1	0	1	F	135
Bathurst	20-24	1	0	1	M	70
Bathurst	20-24	1	1	0	F	211
Bathurst	20-24	1	1	0	M	109
Bathurst	20-24	1	1	1	F	17
Bathurst	20-24	1	1	1	M	4
Bathurst	25-34				F	285
Bathurst	25-34				M	772
Bathurst	25-34	0			F	1950
Bathurst	25-34	0			M	2551
Bathurst	25-34	1	0	1	F	189
Bathurst	25-34	1	0	1	M	118
Bathurst	25-34	1	1	0	F	2056
Bathurst	25-34	1	1	0	M	1383
Bathurst	25-34	1	1	1	F	141
Bathurst	25-34	1	1	1	M	49
Bathurst	35-44				F	277
Bathurst	35-44				M	671
Bathurst	35-44	0			F	1171
Bathurst	35-44	0			M	1529
Bathurst	35-44	1	0	1	F	136
Bathurst	35-44	1	0	1	M	98
Bathurst	35-44	1	1	0	F	2633
Bathurst	35-44	1	1	0	M	2195
Bathurst	35-44	1	1	1	F	144
Bathurst	35-44	1	1	1	M	62
Bathurst	45-54				F	326
Bathurst	45-54				M	495
Bathurst	45-54	0			F	3074
Bathurst	45-54	0			M	2935
Bathurst	45-54	1	0	1	F	427
Bathurst	45-54	1	0	1	M	187
Bathurst	45-54	1	1	0	F	1287
Bathurst	45-54	1	1	0	M	1317
Bathurst	45-54	1	1	1	F	49
Bathurst	45-54	1	1	1	M	47
Bathurst	55-64				F	281
Bathurst	55-64				M	425
Bathurst	55-64	0			F	4047
Bathurst	55-64	0			M	4343
Bathurst	55-64	1	0	1	F	1019
Bathurst	55-64	1	0	1	M	420
Bathurst	55-64	1	1	0	F	126
Bathurst	55-64	1	1	0	M	262
Bathurst	55-64	1	1	1	F	8
Bathurst	55-64	1	1	1	M	8
Bathurst	65-74				F	308
Bathurst	65-74				M	371
Bathurst	65-74	0			F	3757
Bathurst	65-74	0			M	3987
Bathurst	65-74	1	0	1	F	689
Bathurst	65-74	1	0	1	M	459
Bathurst	65-74	1	1	0	F	34
Bathurst	65-74	1	1	0	M	58
Bathurst	65-74	1	1	1	F	6
Bathurst	75-84				F	234
Bathurst	75-84				M	238
Bathurst	75-84	0			F	2428
Bathurst	75-84	0			M	2327
Bathurst	75-84	1	0	1	F	114
Bathurst	75-84	1	0	1	M	87
Bathurst	75-84	1	1	0	F	7
Bathurst	75-84	1	1	0	M	7
Bathurst	85+				F	105
Bathurst	85+				M	51
Bathurst	85+	0			F	1117
Bathurst	85+	0			M	651
Bathurst	85+	1	0	1	F	10
Bathurst	85+	1	0	1	M	3
Bathurst	85+	1	1	0	M	3
Baulkham Hills	15-19				F	49
Baulkham Hills	15-19				M	58
Baulkham Hills	15-19	0			F	2414
Baulkham Hills	15-19	0			M	2671
Baulkham Hills	15-19	1	0	1	F	84
Baulkham Hills	15-19	1	0	1	M	69
Baulkham Hills	15-19	1	1	0	F	5
Baulkham Hills	15-19	1	1	0	M	7
Baulkham Hills	15-19	1	1	1	M	4
Baulkham Hills	20-24				F	50
Baulkham Hills	20-24				M	82
Baulkham Hills	20-24	0			F	2275
Baulkham Hills	20-24	0			M	2566
Baulkham Hills	20-24	1	0	1	F	86
Baulkham Hills	20-24	1	0	1	M	46
Baulkham Hills	20-24	1	1	0	F	23
Baulkham Hills	20-24	1	1	0	M	13
Baulkham Hills	25-34				F	157
Baulkham Hills	25-34				M	159
Baulkham Hills	25-34	0			F	2678
Baulkham Hills	25-34	0			M	3137
Baulkham Hills	25-34	1	0	1	F	91
Baulkham Hills	25-34	1	0	1	M	73
Baulkham Hills	25-34	1	1	0	F	1446
Baulkham Hills	25-34	1	1	0	M	821
Baulkham Hills	25-34	1	1	1	F	18
Baulkham Hills	25-34	1	1	1	M	10
Baulkham Hills	35-44				F	187
Baulkham Hills	35-44				M	211
Baulkham Hills	35-44	0			F	1520
Baulkham Hills	35-44	0			M	1942
Baulkham Hills	35-44	1	0	1	F	78
Baulkham Hills	35-44	1	0	1	M	41
Baulkham Hills	35-44	1	1	0	F	5471
Baulkham Hills	35-44	1	1	0	M	4443
Baulkham Hills	35-44	1	1	1	F	41
Baulkham Hills	35-44	1	1	1	M	32
Baulkham Hills	45-54				F	133
Baulkham Hills	45-54				M	135
Baulkham Hills	45-54	0			F	3377
Baulkham Hills	45-54	0			M	2920
Baulkham Hills	45-54	1	0	1	F	103
Baulkham Hills	45-54	1	0	1	M	38
Baulkham Hills	45-54	1	1	0	F	2539
Baulkham Hills	45-54	1	1	0	M	2722
Baulkham Hills	45-54	1	1	1	F	19
Baulkham Hills	45-54	1	1	1	M	19
Baulkham Hills	55-64				F	125
Baulkham Hills	55-64				M	112
Baulkham Hills	55-64	0			F	4391
Baulkham Hills	55-64	0			M	4279
Baulkham Hills	55-64	1	0	1	F	641
Baulkham Hills	55-64	1	0	1	M	224
Baulkham Hills	55-64	1	1	0	F	205
Baulkham Hills	55-64	1	1	0	M	423
Baulkham Hills	55-64	1	1	1	F	9
Baulkham Hills	55-64	1	1	1	M	6
Baulkham Hills	65-74				F	113
Baulkham Hills	65-74				M	104
Baulkham Hills	65-74	0			F	3615
Baulkham Hills	65-74	0			M	3467
Baulkham Hills	65-74	1	0	1	F	837
Baulkham Hills	65-74	1	0	1	M	507
Baulkham Hills	65-74	1	1	0	F	117
Baulkham Hills	65-74	1	1	0	M	114
Baulkham Hills	65-74	1	1	1	F	13
Baulkham Hills	65-74	1	1	1	M	3
Baulkham Hills	75-84				F	133
Baulkham Hills	75-84				M	90
Baulkham Hills	75-84	0			F	2222
Baulkham Hills	75-84	0			M	2180
Baulkham Hills	75-84	1	0	1	F	129
Baulkham Hills	75-84	1	0	1	M	128
Baulkham Hills	75-84	1	1	0	F	11
Baulkham Hills	75-84	1	1	0	M	14
Baulkham Hills	85+				F	156
Baulkham Hills	85+				M	73
Baulkham Hills	85+	0			F	756
Baulkham Hills	85+	0			M	551
Baulkham Hills	85+	1	0	1	F	3
Baulkham Hills	85+	1	0	1	M	3
Baulkham Hills	85+	1	1	0	F	3
Bega	15-19				F	189
Bega	15-19				M	237
Bega	15-19	0			F	1388
Bega	15-19	0			M	1634
Bega	15-19	1	0	1	F	118
Bega	15-19	1	0	1	M	67
Bega	15-19	1	1	0	F	11
Bega	15-19	1	1	0	M	7
Bega	15-19	1	1	1	F	3
Bega	20-24				F	111
Bega	20-24				M	131
Bega	20-24	0			F	872
Bega	20-24	0			M	1113
Bega	20-24	1	0	1	F	92
Bega	20-24	1	0	1	M	56
Bega	20-24	1	1	0	F	169
Bega	20-24	1	1	0	M	83
Bega	20-24	1	1	1	F	7
Bega	20-24	1	1	1	M	4
Bega	25-34				F	241
Bega	25-34				M	261
Bega	25-34	0			F	1383
Bega	25-34	0			M	1795
Bega	25-34	1	0	1	F	127
Bega	25-34	1	0	1	M	82
Bega	25-34	1	1	0	F	1338
Bega	25-34	1	1	0	M	855
Bega	25-34	1	1	1	F	83
Bega	25-34	1	1	1	M	25
Bega	35-44				F	276
Bega	35-44				M	244
Bega	35-44	0			F	1024
Bega	35-44	0			M	1271
Bega	35-44	1	0	1	F	116
Bega	35-44	1	0	1	M	85
Bega	35-44	1	1	0	F	2044
Bega	35-44	1	1	0	M	1597
Bega	35-44	1	1	1	F	162
Bega	35-44	1	1	1	M	71
Bega	45-54				F	330
Bega	45-54				M	352
Bega	45-54	0			F	2875
Bega	45-54	0			M	2676
Bega	45-54	1	0	1	F	326
Bega	45-54	1	0	1	M	124
Bega	45-54	1	1	0	F	1183
Bega	45-54	1	1	0	M	1148
Bega	45-54	1	1	1	F	45
Bega	45-54	1	1	1	M	50
Bega	55-64				F	425
Bega	55-64				M	453
Bega	55-64	0			F	5508
Bega	55-64	0			M	5043
Bega	55-64	1	0	1	F	941
Bega	55-64	1	0	1	M	416
Bega	55-64	1	1	0	F	154
Bega	55-64	1	1	0	M	311
Bega	55-64	1	1	1	F	13
Bega	55-64	1	1	1	M	4
Bega	65-74				F	424
Bega	65-74				M	487
Bega	65-74	0			F	5712
Bega	65-74	0			M	5991
Bega	65-74	1	0	1	F	767
Bega	65-74	1	0	1	M	533
Bega	65-74	1	1	0	F	41
Bega	65-74	1	1	0	M	82
Bega	65-74	1	1	1	F	12
Bega	65-74	1	1	1	M	5
Bega	75-84				F	316
Bega	75-84				M	285
Bega	75-84	0			F	3165
Bega	75-84	0			M	3091
Bega	75-84	1	0	1	F	126
Bega	75-84	1	0	1	M	100
Bega	75-84	1	1	0	F	5
Bega	75-84	1	1	0	M	7
Bega	85+				F	230
Bega	85+				M	137
Bega	85+	0			F	1291
Bega	85+	0			M	904
Bega	85+	1	0	1	F	9
Bega	85+	1	0	1	M	12
Bega	85+	1	1	0	M	3
Blacktown	15-19				F	194
Blacktown	15-19				M	197
Blacktown	15-19	0			F	2057
Blacktown	15-19	0			M	2397
Blacktown	15-19	1	0	1	F	142
Blacktown	15-19	1	0	1	M	77
Blacktown	15-19	1	1	0	F	15
Blacktown	15-19	1	1	0	M	14
Blacktown	20-24				F	245
Blacktown	20-24				M	297
Blacktown	20-24	0			F	2572
Blacktown	20-24	0			M	3220
Blacktown	20-24	1	0	1	F	178
Blacktown	20-24	1	0	1	M	74
Blacktown	20-24	1	1	0	F	185
Blacktown	20-24	1	1	0	M	74
Blacktown	20-24	1	1	1	F	10
Blacktown	20-24	1	1	1	M	9
Blacktown	25-34				F	575
Blacktown	25-34				M	704
Blacktown	25-34	0			F	4130
Blacktown	25-34	0			M	5449
Blacktown	25-34	1	0	1	F	177
Blacktown	25-34	1	0	1	M	132
Blacktown	25-34	1	1	0	F	2695
Blacktown	25-34	1	1	0	M	1493
Blacktown	25-34	1	1	1	F	28
Blacktown	25-34	1	1	1	M	16
Blacktown	35-44				F	505
Blacktown	35-44				M	492
Blacktown	35-44	0			F	2283
Blacktown	35-44	0			M	3182
Blacktown	35-44	1	0	1	F	95
Blacktown	35-44	1	0	1	M	70
Blacktown	35-44	1	1	0	F	4147
Blacktown	35-44	1	1	0	M	3589
Blacktown	35-44	1	1	1	F	58
Blacktown	35-44	1	1	1	M	40
Blacktown	45-54				F	324
Blacktown	45-54				M	345
Blacktown	45-54	0			F	3406
Blacktown	45-54	0			M	3416
Blacktown	45-54	1	0	1	F	209
Blacktown	45-54	1	0	1	M	82
Blacktown	45-54	1	1	0	F	1357
Blacktown	45-54	1	1	0	M	1478
Blacktown	45-54	1	1	1	F	25
Blacktown	45-54	1	1	1	M	11
Blacktown	55-64				F	234
Blacktown	55-64				M	285
Blacktown	55-64	0			F	3918
Blacktown	55-64	0			M	3979
Blacktown	55-64	1	0	1	F	506
Blacktown	55-64	1	0	1	M	176
Blacktown	55-64	1	1	0	F	170
Blacktown	55-64	1	1	0	M	310
Blacktown	55-64	1	1	1	F	15
Blacktown	55-64	1	1	1	M	3
Blacktown	65-74				F	193
Blacktown	65-74				M	186
Blacktown	65-74	0			F	3188
Blacktown	65-74	0			M	2985
