SED_NAME21	persons
Mornington (Eastern Victoria)	65261
Morwell (Eastern Victoria)	68256
Mount Waverley (Eastern Metropolitan)	65663
Mulgrave (South-Eastern Metropolitan)	63639
Murray Plains (Northern Victoria)	64766
Narracan (Eastern Victoria)	77157
Narre Warren North (South-Eastern Metropolitan)	67990
Narre Warren South (South-Eastern Metropolitan)	86498
Nepean (Eastern Victoria)	66960
Niddrie (Western Metropolitan)	61796
Northcote (Northern Metropolitan)	67269
Oakleigh (Southern Metropolitan)	73129
Ovens Valley (Northern Victoria)	59712
Pascoe Vale (Northern Metropolitan)	79479
Polwarth (Western Victoria)	65296
Prahran (Southern Metropolitan)	73559
Preston (Northern Metropolitan)	69342
Richmond (Northern Metropolitan)	75675
Ringwood (Eastern Metropolitan)	65551
Ripon (Western Victoria)	67957
Rowville (South-Eastern Metropolitan)	55451
Sandringham (Southern Metropolitan)	63903
Shepparton (Northern Victoria)	74598
South Barwon (Western Victoria)	92460
South-West Coast (Western Victoria)	65902
St Albans (Western Metropolitan)	75388
Sunbury (Western Metropolitan)	66327
Sydenham (Western Metropolitan)	80110
Tarneit (Western Metropolitan)	134306
Thomastown (Northern Metropolitan)	82511
Warrandyte (Eastern Metropolitan)	63284
Wendouree (Western Victoria)	62869
Werribee (Western Metropolitan)	90901
Williamstown (Western Metropolitan)	74303
Yan Yean (Northern Victoria)	102403
Yuroke (Northern Metropolitan)	131466
No usual address (Vic.)	9089
Migratory - Offshore - Shipping (Vic.)	38
Algester	62550
Aspley	54666
Bancroft	59341
Barron River	56646
Bonney	56471
Broadwater	49398
Buderim	55756
Bulimba	57671
Bundaberg	50553
Bundamba	71499
Burdekin	55948
Burleigh	50324
Burnett	50105
Cairns	58940
Callide	51039
Caloundra	56213
Capalaba	51498
Chatsworth	51712
Clayfield	58142
Condamine	55300
Cook	52543
Coomera	85984
Cooper	52501
Currumbin	48090
Everton	53032
Ferny Grove	52348
Gaven	50038
Gladstone	50317
Glass House	49865
Greenslopes	53645
Gregory	39495
Gympie	54257
Hervey Bay	54649
Hill	57110
Hinchinbrook	51236
Inala	65593
Ipswich	50518
Ipswich West	53840
Jordan	69120
Kawana	52460
Keppel	53492
Kurwongbah	57409
Lockyer	52833
Logan	65725
Lytton	54339
Macalister	60573
Mackay	55815
Maiwar	62446
Mansfield	57617
Maroochydore	50701
Maryborough	52928
McConnel	68240
Mermaid Beach	53734
Miller	50292
Mirani	50190
Moggill	50642
Morayfield	59080
Mount Ommaney	51820
Mudgeeraba	58707
Mulgrave	55923
Mundingburra	51205
Murrumba	68747
Nanango	52491
Nicklin	49746
Ninderry	56441
Noosa	49064
Nudgee	56175
Oodgeroo	44847
Pine Rivers	55600
Pumicestone	52240
Redcliffe	53092
Redlands	54021
Rockhampton	53919
Sandgate	54499
Scenic Rim	54621
South Brisbane	65224
Southern Downs	49822
Southport	57014
Springwood	53064
Stafford	56814
Stretton	59815
Surfers Paradise	55909
Theodore	59411
Thuringowa	52007
Toohey	57483
Toowoomba North	54728
Toowoomba South	57416
Townsville	50376
Traeger	43119
Warrego	42956
Waterford	61026
Whitsunday	54307
Woodridge	71179
No usual address (Qld)	14670
Migratory - Offshore - Shipping (Qld)	183
Adelaide	44627
Badcoe	40543
Black	35511
Bragg	37877
Chaffey	36729
Cheltenham	39078
Colton	37135
Croydon	42872
Davenport	36457
Dunstan	38393
Elder	39212
Elizabeth	40343
Enfield	43961
Finniss	34008
Flinders	35849
Florey	38652
Frome	38021
Gibson	38269
Giles	36268
Hammond	36988
Hartley	39757
Heysen	35264
Hurtle Vale	34938
Kaurna	39916
Kavel	38250
King	36515
Lee	33477
Light	36095
Mackillop	38777
Mawson	37216
Morialta	37128
Morphett	34870
Mount Gambier	35520
Narungga	32521
Newland	36373
Playford	41136
Port Adelaide	36150
Ramsay	43048
Reynell	35506
Schubert	37442
Stuart	34955
Taylor	41939
Torrens	42735
Unley	37901
Waite	37018
West Torrens	36874
Wright	36015
No usual address (SA)	3377
Migratory - Offshore - Shipping (SA)	12
Albany (South West)	38763
Armadale (East Metropolitan)	50888
Balcatta (North Metropolitan)	45295
Baldivis (South Metropolitan)	57344
Bassendean (East Metropolitan)	43217
Bateman (South Metropolitan)	44195
Belmont (East Metropolitan)	48411
Bicton (South Metropolitan)	39223
Bunbury (South West)	44242
Burns Beach (North Metropolitan)	45594
Butler (North Metropolitan)	56481
Cannington (South Metropolitan)	52916
Carine (North Metropolitan)	42494
Central Wheatbelt (Agricultural)	37453
Churchlands (North Metropolitan)	44359
Cockburn (South Metropolitan)	48164
Collie-Preston (South West)	44451
Cottesloe (North Metropolitan)	44128
Darling Range (East Metropolitan)	47752
Dawesville (South West)	42755
Forrestfield (East Metropolitan)	42371
Fremantle (South Metropolitan)	43870
Geraldton (Agricultural)	38940
Hillarys (North Metropolitan)	41866
Jandakot (South Metropolitan)	57203
Joondalup (North Metropolitan)	41137
Kalamunda (East Metropolitan)	39482
Kalgoorlie (Mining and Pastoral)	36906
Kimberley (Mining and Pastoral)	35352
Kingsley (North Metropolitan)	41711
Kwinana (South Metropolitan)	49705
Landsdale (North Metropolitan)	48598
Mandurah (South West)	46195
Maylands (East Metropolitan)	43449
Midland (East Metropolitan)	46900
Mirrabooka (East Metropolitan)	48121
Moore (Agricultural)	38315
Morley (East Metropolitan)	45426
Mount Lawley (East Metropolitan)	42377
Murray-Wellington (South West)	43391
Nedlands (North Metropolitan)	46676
North West Central (Mining and Pastoral)	22875
Perth (North Metropolitan)	53651
Pilbara (Mining and Pastoral)	47427
Riverton (South Metropolitan)	45908
Rockingham (South Metropolitan)	40861
Roe (Agricultural)	37662
Scarborough (North Metropolitan)	45753
South Perth (South Metropolitan)	43240
Southern River (South Metropolitan)	51193
Swan Hills (East Metropolitan)	49692
Thornlie (East Metropolitan)	48500
Vasse (South West)	44333
Victoria Park (South Metropolitan)	48622
Wanneroo (North Metropolitan)	49470
Warnbro (South Metropolitan)	49231
Warren-Blackwood (South West)	43443
West Swan (East Metropolitan)	52973
Willagee (South Metropolitan)	40484
No usual address (WA)	8055
Migratory - Offshore - Shipping (WA)	514
Bass (Launceston)	24397
Bass (McIntyre)	7745
Bass (Rosevears)	37609
Bass (Windermere)	40220
Braddon (Mersey)	38522
Braddon (Montgomery)	32493
Braddon (Murchison)	38536
Clark (Derwent)	16351
Clark (Elwick)	37278
Clark (Hobart)	36586
Clark (Huon)	353
Clark (Nelson)	21175
Franklin (Huon)	36230
Franklin (Nelson)	15850
Franklin (Pembroke)	32261
Franklin (Rumney)	27495
Lyons (Derwent)	22148
Lyons (Launceston)	10342
Lyons (McIntyre)	30772
Lyons (Montgomery)	5204
Lyons (Prosser)	34597
Lyons (Rumney)	9995
No usual address (Tas.)	1377
Migratory - Offshore - Shipping (Tas.)	19
Arafura	8629
Araluen	9965
Arnhem	9227
Barkly	8447
Blain	8687
Braitling	8785
Brennan	8902
Casuarina	9653
Daly	9699
Drysdale	8590
Fannie Bay	8081
Fong Lim	8071
Goyder	9457
Gwoja	7984
Johnston	8685
Karama	8459
Katherine	8626
Mulka	9478
Namatjira	10306
Nelson	9981
Nightcliff	8747
Port Darwin	11087
Sanderson	8221
Spillett	11418
Wanguri	9825
No usual address (NT)	3500
Migratory - Offshore - Shipping (NT)	99
Brindabella	82954
Ginninderra	95023
Kurrajong	88467
Murrumbidgee	88725
Yerrabi	98716
No usual address (ACT)	605
Unclassified (OT)	4778
No usual address (OT)	11
