SED_NAME21	Age	persons
Clarence	15-19	4092
Clarence	20-24	3580
Clarence	25-34	7499
Clarence	35-44	7735
Clarence	45-54	9332
Clarence	55-64	11733
Clarence	65-74	11651
Clarence	75-84	6572
Clarence	85+	2524
Coffs Harbour	0-4	4060
Coffs Harbour	5-14	9907
Coffs Harbour	15-19	4505
Coffs Harbour	20-24	3601
Coffs Harbour	25-34	8788
Coffs Harbour	35-44	9273
Coffs Harbour	45-54	9821
Coffs Harbour	55-64	10579
Coffs Harbour	65-74	10183
Coffs Harbour	75-84	5726
Coffs Harbour	85+	2320
Coogee	0-4	4489
Coogee	5-14	8465
Coogee	15-19	3413
Coogee	20-24	4268
Coogee	25-34	18084
Coogee	35-44	13545
Coogee	45-54	10811
Coogee	55-64	8041
Coogee	65-74	5876
Coogee	75-84	3698
Coogee	85+	1959
Cootamundra	0-4	3991
Cootamundra	5-14	9157
Cootamundra	15-19	4150
Cootamundra	20-24	3367
Cootamundra	25-34	7264
Cootamundra	35-44	7467
Cootamundra	45-54	8658
Cootamundra	55-64	10269
Cootamundra	65-74	9931
Cootamundra	75-84	5925
Cootamundra	85+	2266
Cronulla	0-4	4433
Cronulla	5-14	9692
Cronulla	15-19	4865
Cronulla	20-24	4522
Cronulla	25-34	9116
Cronulla	35-44	9963
Cronulla	45-54	11042
Cronulla	55-64	10139
Cronulla	65-74	8055
Cronulla	75-84	4469
Cronulla	85+	2102
Davidson	0-4	3652
Davidson	5-14	12769
Davidson	15-19	5942
Davidson	20-24	4465
Davidson	25-34	5368
Davidson	35-44	10375
Davidson	45-54	12680
Davidson	55-64	9756
Davidson	65-74	7746
Davidson	75-84	5827
Davidson	85+	2489
Drummoyne	0-4	4469
Drummoyne	5-14	8659
Drummoyne	15-19	3840
Drummoyne	20-24	4287
Drummoyne	25-34	12901
Drummoyne	35-44	12576
Drummoyne	45-54	10965
Drummoyne	55-64	9676
Drummoyne	65-74	7756
Drummoyne	75-84	4571
Drummoyne	85+	2140
Dubbo	0-4	5635
Dubbo	5-14	11644
Dubbo	15-19	4721
Dubbo	20-24	4323
Dubbo	25-34	11642
Dubbo	35-44	9931
Dubbo	45-54	9666
Dubbo	55-64	10007
Dubbo	65-74	8148
Dubbo	75-84	4966
Dubbo	85+	1842
East Hills	0-4	5190
East Hills	5-14	11282
East Hills	15-19	5435
East Hills	20-24	5174
East Hills	25-34	10359
East Hills	35-44	11250
East Hills	45-54	10610
East Hills	55-64	9961
East Hills	65-74	7258
East Hills	75-84	4263
East Hills	85+	2236
Epping	0-4	3904
Epping	5-14	12644
Epping	15-19	5607
Epping	20-24	5222
Epping	25-34	9443
Epping	35-44	12926
Epping	45-54	11792
Epping	55-64	10886
Epping	65-74	8255
Epping	75-84	4884
Epping	85+	2882
Fairfield	0-4	5363
Fairfield	5-14	12374
Fairfield	15-19	6456
Fairfield	20-24	6478
Fairfield	25-34	12585
Fairfield	35-44	11645
Fairfield	45-54	12037
Fairfield	55-64	11768
Fairfield	65-74	8272
Fairfield	75-84	4466
Fairfield	85+	1946
Gosford	0-4	4178
Gosford	5-14	8701
Gosford	15-19	4024
Gosford	20-24	4175
Gosford	25-34	9080
Gosford	35-44	9907
Gosford	45-54	10178
Gosford	55-64	10678
Gosford	65-74	9324
Gosford	75-84	5868
Gosford	85+	2423
Goulburn	0-4	4364
Goulburn	5-14	10206
Goulburn	15-19	4684
Goulburn	20-24	3795
Goulburn	25-34	8576
Goulburn	35-44	9073
Goulburn	45-54	10911
Goulburn	55-64	11725
Goulburn	65-74	10594
Goulburn	75-84	5844
Goulburn	85+	1996
Granville	0-4	7801
Granville	5-14	13448
Granville	15-19	5501
Granville	20-24	8039
Granville	25-34	20354
Granville	35-44	16733
Granville	45-54	11078
Granville	55-64	9519
Granville	65-74	6544
Granville	75-84	3633
Granville	85+	1416
Hawkesbury	0-4	4628
Hawkesbury	5-14	10337
Hawkesbury	15-19	5232
Hawkesbury	20-24	4913
Hawkesbury	25-34	9674
Hawkesbury	35-44	9116
Hawkesbury	45-54	10978
Hawkesbury	55-64	10086
Hawkesbury	65-74	7510
Hawkesbury	75-84	4153
Hawkesbury	85+	1388
Heathcote	0-4	4841
Heathcote	5-14	10350
Heathcote	15-19	4848
Heathcote	20-24	4359
Heathcote	25-34	8649
Heathcote	35-44	10686
Heathcote	45-54	10842
Heathcote	55-64	9483
Heathcote	65-74	7488
Heathcote	75-84	4338
Heathcote	85+	1810
Heffron	0-4	5874
Heffron	5-14	7401
Heffron	15-19	4055
Heffron	20-24	12697
Heffron	25-34	35990
Heffron	35-44	20424
Heffron	45-54	11749
Heffron	55-64	8601
Heffron	65-74	5849
Heffron	75-84	3363
Heffron	85+	1358
Holsworthy	0-4	6178
Holsworthy	5-14	13632
Holsworthy	15-19	6372
Holsworthy	20-24	6160
Holsworthy	25-34	11819
Holsworthy	35-44	12631
Holsworthy	45-54	11889
Holsworthy	55-64	9975
Holsworthy	65-74	6520
Holsworthy	75-84	3586
Holsworthy	85+	1534
Hornsby	0-4	4457
Hornsby	5-14	11616
Hornsby	15-19	5375
Hornsby	20-24	4718
Hornsby	25-34	8260
Hornsby	35-44	12238
Hornsby	45-54	12600
Hornsby	55-64	10406
Hornsby	65-74	7798
Hornsby	75-84	4590
Hornsby	85+	1550
Keira	0-4	4580
Keira	5-14	10758
Keira	15-19	5490
Keira	20-24	5521
Keira	25-34	9016
Keira	35-44	10559
Keira	45-54	10897
Keira	55-64	10015
Keira	65-74	8052
Keira	75-84	5069
Keira	85+	2319
Kiama	0-4	4471
Kiama	5-14	9635
Kiama	15-19	4456
Kiama	20-24	4031
Kiama	25-34	9129
Kiama	35-44	8985
Kiama	45-54	9367
Kiama	55-64	10858
Kiama	65-74	10277
Kiama	75-84	5637
Kiama	85+	2215
Kogarah	0-4	4869
Kogarah	5-14	9394
Kogarah	15-19	4308
Kogarah	20-24	7929
Kogarah	25-34	17323
Kogarah	35-44	13214
Kogarah	45-54	10781
Kogarah	55-64	10631
Kogarah	65-74	8062
Kogarah	75-84	4711
Kogarah	85+	2501
Ku-ring-gai	0-4	4314
Ku-ring-gai	5-14	12223
Ku-ring-gai	15-19	5902
Ku-ring-gai	20-24	4642
Ku-ring-gai	25-34	7950
Ku-ring-gai	35-44	12857
Ku-ring-gai	45-54	12520
Ku-ring-gai	55-64	9960
Ku-ring-gai	65-74	7733
Ku-ring-gai	75-84	5487
Ku-ring-gai	85+	3235
Lake Macquarie	0-4	4386
Lake Macquarie	5-14	9201
Lake Macquarie	15-19	4489
Lake Macquarie	20-24	4418
Lake Macquarie	25-34	8862
Lake Macquarie	35-44	8836
Lake Macquarie	45-54	9671
Lake Macquarie	55-64	10646
Lake Macquarie	65-74	10201
Lake Macquarie	75-84	6432
Lake Macquarie	85+	2573
Lakemba	0-4	7044
Lakemba	5-14	13948
Lakemba	15-19	6018
Lakemba	20-24	6689
Lakemba	25-34	15163
Lakemba	35-44	13334
Lakemba	45-54	10611
Lakemba	55-64	10080
Lakemba	65-74	7180
Lakemba	75-84	4146
Lakemba	85+	1786
Lane Cove	0-4	5019
Lane Cove	5-14	10834
Lane Cove	15-19	4771
Lane Cove	20-24	4671
Lane Cove	25-34	13224
Lane Cove	35-44	14576
Lane Cove	45-54	12049
Lane Cove	55-64	9649
Lane Cove	65-74	7498
Lane Cove	75-84	4538
Lane Cove	85+	2363
Lismore	0-4	3492
Lismore	5-14	9319
Lismore	15-19	4379
Lismore	20-24	3510
Lismore	25-34	7229
Lismore	35-44	8519
Lismore	45-54	10129
Lismore	55-64	12301
Lismore	65-74	10767
Lismore	75-84	5047
Lismore	85+	2052
Liverpool	0-4	6575
Liverpool	5-14	13978
Liverpool	15-19	6807
Liverpool	20-24	7255
Liverpool	25-34	14265
Liverpool	35-44	13606
Liverpool	45-54	12180
Liverpool	55-64	11325
Liverpool	65-74	6741
Liverpool	75-84	3236
Liverpool	85+	1012
Londonderry	0-4	10522
Londonderry	5-14	18981
Londonderry	15-19	7145
Londonderry	20-24	7633
Londonderry	25-34	19451
Londonderry	35-44	19785
Londonderry	45-54	13372
Londonderry	55-64	10644
Londonderry	65-74	7992
Londonderry	75-84	3960
Londonderry	85+	1060
Macquarie Fields	0-4	8965
Macquarie Fields	5-14	16936
Macquarie Fields	15-19	6728
Macquarie Fields	20-24	6940
Macquarie Fields	25-34	16732
Macquarie Fields	35-44	18530
Macquarie Fields	45-54	13009
Macquarie Fields	55-64	11749
Macquarie Fields	65-74	8227
Macquarie Fields	75-84	3493
Macquarie Fields	85+	1104
Maitland	0-4	6220
Maitland	5-14	13049
Maitland	15-19	5568
Maitland	20-24	5471
Maitland	25-34	12943
Maitland	35-44	12042
Maitland	45-54	10990
Maitland	55-64	9936
Maitland	65-74	8181
Maitland	75-84	4334
Maitland	85+	1494
Manly	0-4	4796
Manly	5-14	10652
Manly	15-19	4704
Manly	20-24	4059
Manly	25-34	12140
Manly	35-44	12692
Manly	45-54	12759
Manly	55-64	9690
Manly	65-74	6353
Manly	75-84	3803
Manly	85+	1558
Maroubra	0-4	4862
Maroubra	5-14	9954
Maroubra	15-19	4565
Maroubra	20-24	5353
Maroubra	25-34	13012
Maroubra	35-44	13151
Maroubra	45-54	11980
Maroubra	55-64	9937
Maroubra	65-74	7659
Maroubra	75-84	4978
Maroubra	85+	2118
Miranda	0-4	4553
Miranda	5-14	10023
Miranda	15-19	4634
Miranda	20-24	4288
Miranda	25-34	9352
Miranda	35-44	10881
Miranda	45-54	10857
Miranda	55-64	9612
Miranda	65-74	7904
Miranda	75-84	5344
Miranda	85+	2612
Monaro	0-4	5228
Monaro	5-14	10678
Monaro	15-19	4638
Monaro	20-24	4558
Monaro	25-34	12156
Monaro	35-44	11480
Monaro	45-54	12213
Monaro	55-64	11212
Monaro	65-74	7731
Monaro	75-84	3825
Monaro	85+	1253
Mount Druitt	0-4	6943
Mount Druitt	5-14	14688
Mount Druitt	15-19	6530
Mount Druitt	20-24	6761
Mount Druitt	25-34	13321
Mount Druitt	35-44	13392
Mount Druitt	45-54	11739
Mount Druitt	55-64	10265
Mount Druitt	65-74	6789
Mount Druitt	75-84	2881
Mount Druitt	85+	1162
Mulgoa	0-4	5938
Mulgoa	5-14	13169
Mulgoa	15-19	6400
Mulgoa	20-24	5882
Mulgoa	25-34	11451
Mulgoa	35-44	12416
Mulgoa	45-54	11784
Mulgoa	55-64	10663
Mulgoa	65-74	6727
Mulgoa	75-84	2498
Mulgoa	85+	711
Murray	0-4	5016
Murray	5-14	10864
Murray	15-19	5124
Murray	20-24	4210
Murray	25-34	10279
Murray	35-44	9432
Murray	45-54	10555
Murray	55-64	11797
Murray	65-74	10242
Murray	75-84	6005
Murray	85+	2392
Myall Lakes	0-4	3207
Myall Lakes	5-14	8313
Myall Lakes	15-19	3756
Myall Lakes	20-24	2849
Myall Lakes	25-34	6233
Myall Lakes	35-44	6816
Myall Lakes	45-54	8601
Myall Lakes	55-64	11726
Myall Lakes	65-74	13079
Myall Lakes	75-84	7924
Myall Lakes	85+	3075
Newcastle	0-4	3797
Newcastle	5-14	7818
Newcastle	15-19	3652
Newcastle	20-24	6420
Newcastle	25-34	13432
Newcastle	35-44	10377
Newcastle	45-54	9899
Newcastle	55-64	9934
Newcastle	65-74	8185
Newcastle	75-84	4280
Newcastle	85+	1877
Newtown	0-4	2715
Newtown	5-14	4614
Newtown	15-19	2946
Newtown	20-24	8842
Newtown	25-34	22274
Newtown	35-44	13360
Newtown	45-54	10020
Newtown	55-64	7405
Newtown	65-74	4704
Newtown	75-84	2487
Newtown	85+	954
North Shore	0-4	3558
North Shore	5-14	6726
North Shore	15-19	3048
North Shore	20-24	3939
North Shore	25-34	14653
North Shore	35-44	12771
North Shore	45-54	10411
North Shore	55-64	9161
North Shore	65-74	7710
North Shore	75-84	5110
North Shore	85+	1805
Northern Tablelands	0-4	4322
Northern Tablelands	5-14	10241
Northern Tablelands	15-19	5195
Northern Tablelands	20-24	4807
Northern Tablelands	25-34	9207
Northern Tablelands	35-44	8466
Northern Tablelands	45-54	9502
Northern Tablelands	55-64	10782
Northern Tablelands	65-74	9251
Northern Tablelands	75-84	5787
Northern Tablelands	85+	1980
Oatley	0-4	4090
Oatley	5-14	9409
Oatley	15-19	4658
Oatley	20-24	5070
Oatley	25-34	9694
Oatley	35-44	10482
Oatley	45-54	10594
Oatley	55-64	10233
Oatley	65-74	7822
Oatley	75-84	4680
Oatley	85+	2377
Orange	0-4	5261
Orange	5-14	11697
Orange	15-19	4954
Orange	20-24	4305
Orange	25-34	9663
Orange	35-44	9573
Orange	45-54	9684
Orange	55-64	9896
Orange	65-74	8607
Orange	75-84	5219
Orange	85+	2104
Oxley	0-4	3813
Oxley	5-14	9234
Oxley	15-19	4245
Oxley	20-24	3147
Oxley	25-34	7186
Oxley	35-44	7480
Oxley	45-54	9261
Oxley	55-64	12309
Oxley	65-74	12129
Oxley	75-84	6452
Oxley	85+	2346
Parramatta	0-4	7273
Parramatta	5-14	13150
Parramatta	15-19	4771
Parramatta	20-24	7693
Parramatta	25-34	22740
Parramatta	35-44	20294
Parramatta	45-54	12332
Parramatta	55-64	10927
Parramatta	65-74	7498
Parramatta	75-84	3767
Parramatta	85+	1622
Penrith	0-4	5386
Penrith	5-14	10873
Penrith	15-19	4910
Penrith	20-24	5931
Penrith	25-34	12689
Penrith	35-44	11803
Penrith	45-54	10361
Penrith	55-64	9114
Penrith	65-74	7696
Penrith	75-84	4237
Penrith	85+	1577
Pittwater	0-4	3586
Pittwater	5-14	9482
Pittwater	15-19	4662
Pittwater	20-24	3739
Pittwater	25-34	6134
Pittwater	35-44	8443
Pittwater	45-54	10881
Pittwater	55-64	10608
Pittwater	65-74	8967
Pittwater	75-84	5986
Pittwater	85+	2778
Port Macquarie	0-4	3370
Port Macquarie	5-14	8811
Port Macquarie	15-19	4487
Port Macquarie	20-24	3494
Port Macquarie	25-34	6740
Port Macquarie	35-44	7875
Port Macquarie	45-54	9623
Port Macquarie	55-64	11604
Port Macquarie	65-74	13034
Port Macquarie	75-84	8476
Port Macquarie	85+	3233
Port Stephens	0-4	3476
Port Stephens	5-14	9035
Port Stephens	15-19	4342
Port Stephens	20-24	3549
Port Stephens	25-34	6855
Port Stephens	35-44	7634
Port Stephens	45-54	9372
Port Stephens	55-64	11307
Port Stephens	65-74	11681
Port Stephens	75-84	7066
Port Stephens	85+	2101
Prospect	0-4	5468
Prospect	5-14	12281
Prospect	15-19	5269
Prospect	20-24	5370
Prospect	25-34	11674
Prospect	35-44	13453
Prospect	45-54	10721
Prospect	55-64	9779
Prospect	65-74	8241
Prospect	75-84	4582
Prospect	85+	1766
Riverstone	0-4	9685
Riverstone	5-14	20331
Riverstone	15-19	7599
Riverstone	20-24	7467
Riverstone	25-34	17759
Riverstone	35-44	24854
Riverstone	45-54	15319
Riverstone	55-64	9724
Riverstone	65-74	6375
Riverstone	75-84	2525
Riverstone	85+	683
Rockdale	0-4	5155
Rockdale	5-14	8662
Rockdale	15-19	4111
Rockdale	20-24	6780
Rockdale	25-34	19118
Rockdale	35-44	14220
Rockdale	45-54	11329
Rockdale	55-64	9756
Rockdale	65-74	7528
Rockdale	75-84	5020
Rockdale	85+	2277
Ryde	0-4	5568
Ryde	5-14	10242
Ryde	15-19	4414
Ryde	20-24	6952
Ryde	25-34	19104
Ryde	35-44	16731
Ryde	45-54	11295
Ryde	55-64	10745
Ryde	65-74	8239
Ryde	75-84	4428
Ryde	85+	2301
Seven Hills	0-4	5682
Seven Hills	5-14	11207
Seven Hills	15-19	4653
Seven Hills	20-24	5134
Seven Hills	25-34	12696
Seven Hills	35-44	14060
Seven Hills	45-54	10629
Seven Hills	55-64	8819
Seven Hills	65-74	7334
Seven Hills	75-84	4489
Seven Hills	85+	1726
Shellharbour	0-4	5194
Shellharbour	5-14	11535
Shellharbour	15-19	5651
Shellharbour	20-24	5281
Shellharbour	25-34	10609
Shellharbour	35-44	11021
Shellharbour	45-54	11184
Shellharbour	55-64	11043
Shellharbour	65-74	9284
Shellharbour	75-84	5708
Shellharbour	85+	1997
South Coast	0-4	3900
South Coast	5-14	8328
South Coast	15-19	3760
South Coast	20-24	3168
South Coast	25-34	7527
South Coast	35-44	7728
South Coast	45-54	8617
South Coast	55-64	11427
South Coast	65-74	12452
South Coast	75-84	7199
South Coast	85+	2556
Strathfield	0-4	4739
Strathfield	5-14	9203
Strathfield	15-19	4583
Strathfield	20-24	11196
Strathfield	25-34	23188
Strathfield	35-44	14091
Strathfield	45-54	11129
Strathfield	55-64	10305
Strathfield	65-74	7186
Strathfield	75-84	4317
Strathfield	85+	2294
Summer Hill	0-4	3644
Summer Hill	5-14	7222
Summer Hill	15-19	3326
Summer Hill	20-24	5419
Summer Hill	25-34	16444
Summer Hill	35-44	12827
Summer Hill	45-54	10790
Summer Hill	55-64	8901
Summer Hill	65-74	6338
Summer Hill	75-84	4016
Summer Hill	85+	2108
Swansea	0-4	3720
Swansea	5-14	8792
Swansea	15-19	4115
Swansea	20-24	3788
Swansea	25-34	7356
Swansea	35-44	7951
Swansea	45-54	9331
Swansea	55-64	10389
Swansea	65-74	10113
Swansea	75-84	6415
Swansea	85+	2152
Sydney	0-4	2779
Sydney	5-14	3671
Sydney	15-19	1975
Sydney	20-24	7541
Sydney	25-34	28413
Sydney	35-44	17913
Sydney	45-54	10828
Sydney	55-64	8864
Sydney	65-74	6655
Sydney	75-84	3485
Sydney	85+	1280
Tamworth	0-4	5038
Tamworth	5-14	11382
Tamworth	15-19	5031
Tamworth	20-24	4199
Tamworth	25-34	10170
Tamworth	35-44	9300
Tamworth	45-54	9424
Tamworth	55-64	9954
Tamworth	65-74	8798
Tamworth	75-84	5515
Tamworth	85+	2042
Terrigal	0-4	3944
Terrigal	5-14	10023
Terrigal	15-19	4805
Terrigal	20-24	3729
Terrigal	25-34	6642
Terrigal	35-44	8982
Terrigal	45-54	10304
Terrigal	55-64	10376
Terrigal	65-74	9873
Terrigal	75-84	6322
Terrigal	85+	2615
The Entrance	0-4	4374
The Entrance	5-14	9660
The Entrance	15-19	4415
The Entrance	20-24	4056
The Entrance	25-34	8743
The Entrance	35-44	9361
The Entrance	45-54	9496
The Entrance	55-64	9693
The Entrance	65-74	8704
The Entrance	75-84	5096
The Entrance	85+	2415
Tweed	0-4	3909
Tweed	5-14	9386
Tweed	15-19	4182
Tweed	20-24	3433
Tweed	25-34	7579
Tweed	35-44	9326
Tweed	45-54	9957
Tweed	55-64	11359
Tweed	65-74	11358
Tweed	75-84	7348
Tweed	85+	3311
Upper Hunter	0-4	4428
Upper Hunter	5-14	10829
Upper Hunter	15-19	4916
Upper Hunter	20-24	3993
Upper Hunter	25-34	9265
Upper Hunter	35-44	9296
Upper Hunter	45-54	10336
Upper Hunter	55-64	10852
Upper Hunter	65-74	8698
Upper Hunter	75-84	4595
Upper Hunter	85+	1626
Vaucluse	0-4	4012
Vaucluse	5-14	8349
Vaucluse	15-19	3903
Vaucluse	20-24	4054
Vaucluse	25-34	15753
Vaucluse	35-44	12021
Vaucluse	45-54	10363
Vaucluse	55-64	8161
Vaucluse	65-74	6947
Vaucluse	75-84	4489
Vaucluse	85+	1988
Wagga Wagga	0-4	5414
Wagga Wagga	5-14	11161
Wagga Wagga	15-19	5478
Wagga Wagga	20-24	5834
Wagga Wagga	25-34	11077
Wagga Wagga	35-44	9828
Wagga Wagga	45-54	9349
Wagga Wagga	55-64	9588
Wagga Wagga	65-74	7970
Wagga Wagga	75-84	4631
Wagga Wagga	85+	1993
Wakehurst	0-4	4775
Wakehurst	5-14	10931
Wakehurst	15-19	5269
Wakehurst	20-24	4818
Wakehurst	25-34	9404
Wakehurst	35-44	11721
Wakehurst	45-54	12734
Wakehurst	55-64	9782
Wakehurst	65-74	6851
Wakehurst	75-84	4831
Wakehurst	85+	2209
Wallsend	0-4	4940
Wallsend	5-14	10291
Wallsend	15-19	5783
Wallsend	20-24	7592
Wallsend	25-34	13034
Wallsend	35-44	11083
Wallsend	45-54	10070
Wallsend	55-64	9126
Wallsend	65-74	7783
Wallsend	75-84	4917
Wallsend	85+	2487
Willoughby	0-4	4728
Willoughby	5-14	11219
Willoughby	15-19	4607
Willoughby	20-24	4395
Willoughby	25-34	11425
Willoughby	35-44	14453
Willoughby	45-54	12489
Willoughby	55-64	9450
Willoughby	65-74	7721
Willoughby	75-84	4213
Willoughby	85+	2152
Wollondilly	0-4	5257
Wollondilly	5-14	11255
Wollondilly	15-19	5277
Wollondilly	20-24	4321
Wollondilly	25-34	9237
Wollondilly	35-44	9813
Wollondilly	45-54	10963
Wollondilly	55-64	10087
Wollondilly	65-74	9289
Wollondilly	75-84	5659
Wollondilly	85+	2002
Wollongong	0-4	4382
Wollongong	5-14	8466
Wollongong	15-19	4544
Wollongong	20-24	7487
Wollongong	25-34	13591
Wollongong	35-44	9960
Wollongong	45-54	9956
Wollongong	55-64	10470
Wollongong	65-74	8399
Wollongong	75-84	5544
Wollongong	85+	2497
Wyong	0-4	5201
Wyong	5-14	10907
Wyong	15-19	5297
Wyong	20-24	4900
Wyong	25-34	10098
Wyong	35-44	9874
Wyong	45-54	10377
Wyong	55-64	9756
Wyong	65-74	8440
Wyong	75-84	5445
Wyong	85+	2249
No usual address (NSW)	0-4	460
No usual address (NSW)	5-14	798
No usual address (NSW)	15-19	532
No usual address (NSW)	20-24	829
No usual address (NSW)	25-34	2187
No usual address (NSW)	35-44	1859
No usual address (NSW)	45-54	1678
No usual address (NSW)	55-64	1648
No usual address (NSW)	65-74	1055
No usual address (NSW)	75-84	277
No usual address (NSW)	85+	49
Albert Park (Southern Metropolitan)	0-4	3086
Albert Park (Southern Metropolitan)	5-14	5147
Albert Park (Southern Metropolitan)	15-19	2489
Albert Park (Southern Metropolitan)	20-24	5593
Albert Park (Southern Metropolitan)	25-34	20445
Albert Park (Southern Metropolitan)	35-44	14274
Albert Park (Southern Metropolitan)	45-54	10699
Albert Park (Southern Metropolitan)	55-64	8793
Albert Park (Southern Metropolitan)	65-74	6174
Albert Park (Southern Metropolitan)	75-84	3277
Albert Park (Southern Metropolitan)	85+	977
Altona (Western Metropolitan)	0-4	8201
Altona (Western Metropolitan)	5-14	17308
Altona (Western Metropolitan)	15-19	5853
Altona (Western Metropolitan)	20-24	5620
Altona (Western Metropolitan)	25-34	15432
Altona (Western Metropolitan)	35-44	21413
Altona (Western Metropolitan)	45-54	14192
Altona (Western Metropolitan)	55-64	9594
Altona (Western Metropolitan)	65-74	6750
Altona (Western Metropolitan)	75-84	3072
Altona (Western Metropolitan)	85+	1101
Bass (Eastern Victoria)	0-4	8900
Bass (Eastern Victoria)	5-14	16463
