SED_NAME21	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Baulkham Hills	1	2	7807
Baulkham Hills	1	3	5612
Baulkham Hills	1	4	6883
Baulkham Hills	1	5	2659
Baulkham Hills	1	6	1257
Bega	0	1	9644
Bega	0	2	700
Bega	0	3	76
Bega	0	4	18
Bega	0	5	4
Bega	1	2	12552
Bega	1	3	3360
Bega	1	4	2926
Bega	1	5	1268
Bega	1	6	686
Blacktown	0	1	5825
Blacktown	0	2	698
Blacktown	0	3	249
Blacktown	0	4	126
Blacktown	0	5	51
Blacktown	0	6	32
Blacktown	1	2	7363
Blacktown	1	3	5685
Blacktown	1	4	5568
Blacktown	1	5	2479
Blacktown	1	6	1695
Blue Mountains	0	1	7770
Blue Mountains	0	2	604
Blue Mountains	0	3	79
Blue Mountains	0	4	29
Blue Mountains	0	5	4
Blue Mountains	1	2	9727
Blue Mountains	1	3	4030
Blue Mountains	1	4	3902
Blue Mountains	1	5	1629
Blue Mountains	1	6	675
Cabramatta	0	1	3925
Cabramatta	0	2	436
Cabramatta	0	3	125
Cabramatta	0	4	41
Cabramatta	0	5	23
Cabramatta	0	6	14
Cabramatta	1	2	5502
Cabramatta	1	3	4457
Cabramatta	1	4	4629
Cabramatta	1	5	2649
Cabramatta	1	6	2602
Camden	0	1	5640
Camden	0	2	494
Camden	0	3	104
Camden	0	4	41
Camden	0	5	10
Camden	0	6	4
Camden	1	2	10417
Camden	1	3	7652
Camden	1	4	9290
Camden	1	5	4610
Camden	1	6	2371
Campbelltown	0	1	6261
Campbelltown	0	2	633
Campbelltown	0	3	87
Campbelltown	0	4	26
Campbelltown	0	5	14
Campbelltown	0	6	5
Campbelltown	1	2	7808
Campbelltown	1	3	5007
Campbelltown	1	4	4381
Campbelltown	1	5	2211
Campbelltown	1	6	1703
Canterbury	0	1	7322
Canterbury	0	2	1024
Canterbury	0	3	321
Canterbury	0	4	178
Canterbury	0	5	67
Canterbury	0	6	47
Canterbury	1	2	8912
Canterbury	1	3	5779
Canterbury	1	4	5286
Canterbury	1	5	2218
Canterbury	1	6	1394
Castle Hill	0	1	3527
Castle Hill	0	2	294
Castle Hill	0	3	57
Castle Hill	0	4	23
Castle Hill	0	5	13
Castle Hill	1	2	7908
Castle Hill	1	3	6138
Castle Hill	1	4	8463
Castle Hill	1	5	3660
Castle Hill	1	6	1701
Cessnock	0	1	7081
Cessnock	0	2	639
Cessnock	0	3	91
Cessnock	0	4	14
Cessnock	0	5	10
Cessnock	0	6	6
Cessnock	1	2	9660
Cessnock	1	3	5105
Cessnock	1	4	4953
Cessnock	1	5	2212
Cessnock	1	6	1140
Charlestown	0	1	7177
Charlestown	0	2	662
Charlestown	0	3	200
Charlestown	0	4	75
Charlestown	0	5	15
Charlestown	0	6	4
Charlestown	1	2	8994
Charlestown	1	3	4319
Charlestown	1	4	4747
Charlestown	1	5	1810
Charlestown	1	6	645
Clarence	0	1	8633
Clarence	0	2	850
Clarence	0	3	70
Clarence	0	4	24
Clarence	0	6	4
Clarence	1	2	10944
Clarence	1	3	3731
Clarence	1	4	3101
Clarence	1	5	1495
Clarence	1	6	910
Coffs Harbour	0	1	8195
Coffs Harbour	0	2	822
Coffs Harbour	0	3	147
Coffs Harbour	0	4	48
Coffs Harbour	0	5	16
Coffs Harbour	0	6	18
Coffs Harbour	1	2	10054
Coffs Harbour	1	3	4088
Coffs Harbour	1	4	3716
Coffs Harbour	1	5	1686
Coffs Harbour	1	6	989
Coogee	0	1	9776
Coogee	0	2	1982
Coogee	0	3	705
Coogee	0	4	158
Coogee	0	5	35
Coogee	0	6	20
Coogee	1	2	10080
Coogee	1	3	4466
Coogee	1	4	4297
Coogee	1	5	1342
Coogee	1	6	341
Cootamundra	0	1	8710
Cootamundra	0	2	549
Cootamundra	0	3	47
Cootamundra	0	4	19
Cootamundra	0	5	9
Cootamundra	0	6	4
Cootamundra	1	2	9907
Cootamundra	1	3	3324
Cootamundra	1	4	2856
Cootamundra	1	5	1659
Cootamundra	1	6	856
Cronulla	0	1	6929
Cronulla	0	2	602
Cronulla	0	3	90
Cronulla	0	4	20
Cronulla	0	5	3
Cronulla	0	6	6
Cronulla	1	2	9103
Cronulla	1	3	4190
Cronulla	1	4	5128
Cronulla	1	5	2204
Cronulla	1	6	745
Davidson	0	1	4253
Davidson	0	2	247
Davidson	0	3	48
Davidson	0	4	26
Davidson	0	5	12
Davidson	0	6	4
Davidson	1	2	7436
Davidson	1	3	4702
Davidson	1	4	6465
Davidson	1	5	2592
Davidson	1	6	937
Drummoyne	0	1	7961
Drummoyne	0	2	909
Drummoyne	0	3	219
Drummoyne	0	4	56
Drummoyne	0	5	18
Drummoyne	1	2	10602
Drummoyne	1	3	5182
Drummoyne	1	4	4807
Drummoyne	1	5	1636
Drummoyne	1	6	519
Dubbo	0	1	7984
Dubbo	0	2	709
Dubbo	0	3	143
Dubbo	0	4	40
Dubbo	0	5	16
Dubbo	0	6	13
Dubbo	1	2	9239
Dubbo	1	3	4232
Dubbo	1	4	3892
Dubbo	1	5	2031
Dubbo	1	6	1030
East Hills	0	1	5050
East Hills	0	2	392
East Hills	0	3	95
East Hills	0	4	40
East Hills	0	5	13
East Hills	0	6	10
East Hills	1	2	6774
East Hills	1	3	4536
East Hills	1	4	5118
East Hills	1	5	2609
East Hills	1	6	1768
Epping	0	1	4741
Epping	0	2	457
Epping	0	3	120
Epping	0	4	52
Epping	0	5	24
Epping	0	6	9
Epping	1	2	7980
Epping	1	3	5539
Epping	1	4	6840
Epping	1	5	2384
Epping	1	6	1132
Fairfield	0	1	5365
Fairfield	0	2	459
Fairfield	0	3	111
Fairfield	0	4	54
Fairfield	0	5	26
Fairfield	0	6	19
Fairfield	1	2	6001
Fairfield	1	3	4548
Fairfield	1	4	4610
Fairfield	1	5	3068
Fairfield	1	6	2992
Gosford	0	1	10255
Gosford	0	2	961
Gosford	0	3	141
Gosford	0	4	28
Gosford	0	5	6
Gosford	0	6	8
Gosford	1	2	10072
Gosford	1	3	4430
Gosford	1	4	3938
Gosford	1	5	1463
Gosford	1	6	690
Goulburn	0	1	8170
Goulburn	0	2	538
Goulburn	0	3	67
Goulburn	0	4	19
Goulburn	0	5	7
Goulburn	0	6	10
Goulburn	1	2	10652
Goulburn	1	3	4012
Goulburn	1	4	3932
Goulburn	1	5	1948
Goulburn	1	6	979
Granville	0	1	7124
Granville	0	2	1008
Granville	0	3	433
Granville	0	4	263
Granville	0	5	93
Granville	0	6	62
Granville	1	2	7365
Granville	1	3	5743
Granville	1	4	5653
Granville	1	5	2726
Granville	1	6	2318
Hawkesbury	0	1	5411
Hawkesbury	0	2	455
Hawkesbury	0	3	66
Hawkesbury	0	4	24
Hawkesbury	0	5	5
Hawkesbury	1	2	7789
Hawkesbury	1	3	4277
Hawkesbury	1	4	4435
Hawkesbury	1	5	2323
Hawkesbury	1	6	1469
Heathcote	0	1	5348
Heathcote	0	2	401
Heathcote	0	3	59
Heathcote	0	4	19
Heathcote	0	5	12
Heathcote	1	2	8422
Heathcote	1	3	4607
Heathcote	1	4	5542
Heathcote	1	5	2225
Heathcote	1	6	754
Heffron	0	1	14871
Heffron	0	2	3900
Heffron	0	3	1236
Heffron	0	4	392
Heffron	0	5	111
Heffron	0	6	61
Heffron	1	2	16056
Heffron	1	3	6459
Heffron	1	4	4425
Heffron	1	5	1308
Heffron	1	6	615
Holsworthy	0	1	4103
Holsworthy	0	2	334
Holsworthy	0	3	49
Holsworthy	0	4	19
Holsworthy	0	5	13
Holsworthy	0	6	4
Holsworthy	1	2	6370
Holsworthy	1	3	4911
Holsworthy	1	4	5954
Holsworthy	1	5	2999
Holsworthy	1	6	2038
Hornsby	0	1	5406
Hornsby	0	2	447
Hornsby	0	3	101
Hornsby	0	4	40
Hornsby	0	5	18
Hornsby	0	6	5
Hornsby	1	2	8292
Hornsby	1	3	5373
Hornsby	1	4	6074
Hornsby	1	5	2203
Hornsby	1	6	1012
Keira	0	1	7358
Keira	0	2	574
Keira	0	3	234
Keira	0	4	160
Keira	0	5	46
Keira	0	6	44
Keira	1	2	8984
Keira	1	3	4527
Keira	1	4	5252
Keira	1	5	2085
Keira	1	6	718
Kiama	0	1	6574
Kiama	0	2	500
Kiama	0	3	78
Kiama	0	4	34
Kiama	0	5	5
Kiama	0	6	5
Kiama	1	2	10563
Kiama	1	3	4122
Kiama	1	4	4265
Kiama	1	5	1879
Kiama	1	6	868
Kogarah	0	1	6794
Kogarah	0	2	947
Kogarah	0	3	395
Kogarah	0	4	219
Kogarah	0	5	88
Kogarah	0	6	47
Kogarah	1	2	8400
Kogarah	1	3	6175
Kogarah	1	4	5450
Kogarah	1	5	2268
Kogarah	1	6	1364
Ku-ring-gai	0	1	5780
Ku-ring-gai	0	2	384
Ku-ring-gai	0	3	65
Ku-ring-gai	0	4	35
Ku-ring-gai	0	5	13
Ku-ring-gai	0	6	7
Ku-ring-gai	1	2	8783
Ku-ring-gai	1	3	5685
Ku-ring-gai	1	4	6342
Ku-ring-gai	1	5	2248
Ku-ring-gai	1	6	777
Lake Macquarie	0	1	7583
Lake Macquarie	0	2	618
Lake Macquarie	0	3	89
Lake Macquarie	0	4	28
Lake Macquarie	0	5	14
Lake Macquarie	1	2	10528
Lake Macquarie	1	3	4510
Lake Macquarie	1	4	4151
Lake Macquarie	1	5	1729
Lake Macquarie	1	6	871
Lakemba	0	1	6131
Lakemba	0	2	686
Lakemba	0	3	279
Lakemba	0	4	161
Lakemba	0	5	72
Lakemba	0	6	62
Lakemba	1	2	6003
Lakemba	1	3	4644
Lakemba	1	4	4672
Lakemba	1	5	3062
Lakemba	1	6	2843
Lane Cove	0	1	9189
Lane Cove	0	2	897
Lane Cove	0	3	156
Lane Cove	0	4	35
Lane Cove	0	5	19
Lane Cove	0	6	10
Lane Cove	1	2	10266
Lane Cove	1	3	5379
Lane Cove	1	4	5504
Lane Cove	1	5	2022
Lane Cove	1	6	628
Lismore	0	1	9150
Lismore	0	2	1006
Lismore	0	3	162
Lismore	0	4	38
Lismore	0	5	13
Lismore	0	6	7
Lismore	1	2	9934
Lismore	1	3	3833
Lismore	1	4	3254
Lismore	1	5	1499
Lismore	1	6	860
Liverpool	0	1	6335
Liverpool	0	2	584
Liverpool	0	3	86
Liverpool	0	4	29
Liverpool	0	5	8
Liverpool	0	6	5
Liverpool	1	2	6445
Liverpool	1	3	5179
Liverpool	1	4	5516
Liverpool	1	5	3052
Liverpool	1	6	2573
Londonderry	0	1	7458
Londonderry	0	2	852
Londonderry	0	3	120
Londonderry	0	4	33
Londonderry	0	5	16
Londonderry	0	6	7
Londonderry	1	2	9310
Londonderry	1	3	7148
Londonderry	1	4	7185
Londonderry	1	5	3349
Londonderry	1	6	2490
Macquarie Fields	0	1	5764
Macquarie Fields	0	2	560
Macquarie Fields	0	3	84
Macquarie Fields	0	4	29
Macquarie Fields	0	5	14
Macquarie Fields	0	6	4
Macquarie Fields	1	2	8357
Macquarie Fields	1	3	6847
Macquarie Fields	1	4	7489
Macquarie Fields	1	5	3344
Macquarie Fields	1	6	2309
Maitland	0	1	7256
Maitland	0	2	652
Maitland	0	3	107
Maitland	0	4	30
Maitland	0	5	16
Maitland	0	6	6
Maitland	1	2	10215
Maitland	1	3	5476
Maitland	1	4	5444
Maitland	1	5	2369
Maitland	1	6	1084
Manly	0	1	7408
Manly	0	2	1086
Manly	0	3	341
Manly	0	4	71
Manly	0	5	26
Manly	0	6	13
Manly	1	2	9633
Manly	1	3	4628
Manly	1	4	5463
Manly	1	5	1976
Manly	1	6	574
Maroubra	0	1	8561
Maroubra	0	2	1054
Maroubra	0	3	276
Maroubra	0	4	76
Maroubra	0	5	33
Maroubra	0	6	13
Maroubra	1	2	9081
Maroubra	1	3	5236
Maroubra	1	4	5488
Maroubra	1	5	1859
Maroubra	1	6	708
Miranda	0	1	6645
Miranda	0	2	508
Miranda	0	3	79
Miranda	0	4	19
Miranda	0	5	17
Miranda	0	6	6
Miranda	1	2	8812
Miranda	1	3	4729
Miranda	1	4	5277
Miranda	1	5	2117
Miranda	1	6	774
Monaro	0	1	8208
Monaro	0	2	631
Monaro	0	3	124
Monaro	0	4	70
Monaro	0	5	11
Monaro	0	6	24
Monaro	1	2	9737
Monaro	1	3	4723
Monaro	1	4	4797
Monaro	1	5	1970
Monaro	1	6	847
Mount Druitt	0	1	4307
Mount Druitt	0	2	487
Mount Druitt	0	3	80
Mount Druitt	0	4	33
Mount Druitt	0	5	11
Mount Druitt	0	6	6
Mount Druitt	1	2	6123
Mount Druitt	1	3	5158
Mount Druitt	1	4	5631
Mount Druitt	1	5	3072
Mount Druitt	1	6	2458
Mulgoa	0	1	3145
Mulgoa	0	2	293
Mulgoa	0	3	33
Mulgoa	0	4	13
Mulgoa	0	5	4
Mulgoa	0	6	3
Mulgoa	1	2	6623
Mulgoa	1	3	4951
Mulgoa	1	4	6072
Mulgoa	1	5	3166
Mulgoa	1	6	1905
Murray	0	1	8656
Murray	0	2	559
Murray	0	3	118
Murray	0	4	31
Murray	0	5	16
Murray	0	6	19
Murray	1	2	10651
Murray	1	3	4027
Murray	1	4	3846
Murray	1	5	2037
Murray	1	6	1011
Myall Lakes	0	1	9705
Myall Lakes	0	2	791
Myall Lakes	0	3	73
Myall Lakes	0	4	17
Myall Lakes	0	5	18
Myall Lakes	0	6	8
Myall Lakes	1	2	11758
Myall Lakes	1	3	3511
Myall Lakes	1	4	2928
Myall Lakes	1	5	1329
Myall Lakes	1	6	742
Newcastle	0	1	11094
Newcastle	0	2	1574
Newcastle	0	3	679
Newcastle	0	4	210
Newcastle	0	5	51
Newcastle	0	6	21
Newcastle	1	2	10366
Newcastle	1	3	4084
Newcastle	1	4	3627
Newcastle	1	5	1281
Newcastle	1	6	383
Newtown	0	1	13477
Newtown	0	2	2408
Newtown	0	3	1311
Newtown	0	4	621
Newtown	0	5	154
Newtown	0	6	40
Newtown	1	2	10251
Newtown	1	3	3329
Newtown	1	4	2528
Newtown	1	5	648
Newtown	1	6	169
North Shore	0	1	13185
North Shore	0	2	1176
North Shore	0	3	317
North Shore	0	4	41
North Shore	0	5	11
North Shore	0	6	9
North Shore	1	2	12248
North Shore	1	3	4213
North Shore	1	4	3312
North Shore	1	5	972
North Shore	1	6	257
Northern Tablelands	0	1	8985
Northern Tablelands	0	2	738
Northern Tablelands	0	3	128
Northern Tablelands	0	4	62
Northern Tablelands	0	5	10
Northern Tablelands	0	6	7
Northern Tablelands	1	2	9949
Northern Tablelands	1	3	3596
Northern Tablelands	1	4	3208
Northern Tablelands	1	5	1583
Northern Tablelands	1	6	857
Oatley	0	1	5817
Oatley	0	2	431
Oatley	0	3	116
Oatley	0	4	56
Oatley	0	5	16
Oatley	0	6	10
Oatley	1	2	7513
Oatley	1	3	4787
Oatley	1	4	5189
Oatley	1	5	2197
Oatley	1	6	1086
Orange	0	1	8652
Orange	0	2	612
Orange	0	3	126
Orange	0	4	41
Orange	0	5	16
Orange	0	6	4
Orange	1	2	9714
Orange	1	3	4002
Orange	1	4	3818
Orange	1	5	2105
Orange	1	6	980
Oxley	0	1	8718
Oxley	0	2	860
Oxley	0	3	76
Oxley	0	4	16
Oxley	0	6	5
Oxley	1	2	10654
Oxley	1	3	3804
Oxley	1	4	3083
Oxley	1	5	1524
Oxley	1	6	947
Parramatta	0	1	9773
Parramatta	0	2	1562
Parramatta	0	3	523
Parramatta	0	4	219
Parramatta	0	5	71
Parramatta	0	6	36
Parramatta	1	2	10456
Parramatta	1	3	7799
Parramatta	1	4	6475
Parramatta	1	5	2291
Parramatta	1	6	1185
Penrith	0	1	8745
Penrith	0	2	784
Penrith	0	3	103
Penrith	0	4	26
Penrith	0	5	18
Penrith	0	6	9
Penrith	1	2	9125
Penrith	1	3	5014
Penrith	1	4	4617
Penrith	1	5	1988
Penrith	1	6	1012
Pittwater	0	1	6167
Pittwater	0	2	387
Pittwater	0	3	82
Pittwater	0	4	27
Pittwater	0	5	21
Pittwater	0	6	4
Pittwater	1	2	8687
Pittwater	1	3	3982
Pittwater	1	4	4790
Pittwater	1	5	2064
Pittwater	1	6	774
Port Macquarie	0	1	9695
Port Macquarie	0	2	775
Port Macquarie	0	3	137
Port Macquarie	0	4	39
Port Macquarie	0	5	15
Port Macquarie	0	6	8
Port Macquarie	1	2	12715
Port Macquarie	1	3	3907
Port Macquarie	1	4	3504
Port Macquarie	1	5	1493
Port Macquarie	1	6	711
Port Stephens	0	1	7697
Port Stephens	0	2	614
Port Stephens	0	3	66
Port Stephens	0	4	22
Port Stephens	0	5	6
Port Stephens	1	2	11310
Port Stephens	1	3	3820
Port Stephens	1	4	3501
Port Stephens	1	5	1633
Port Stephens	1	6	883
Prospect	0	1	4726
Prospect	0	2	371
Prospect	0	3	97
Prospect	0	4	57
Prospect	0	5	43
Prospect	0	6	30
Prospect	1	2	6664
Prospect	1	3	5295
Prospect	1	4	5846
Prospect	1	5	2682
Prospect	1	6	1776
Riverstone	0	1	3939
Riverstone	0	2	483
Riverstone	0	3	161
Riverstone	0	4	61
Riverstone	0	5	26
Riverstone	0	6	12
Riverstone	1	2	7676
Riverstone	1	3	8004
Riverstone	1	4	10329
Riverstone	1	5	3654
Riverstone	1	6	1971
Rockdale	0	1	9083
Rockdale	0	2	1482
Rockdale	0	3	439
Rockdale	0	4	180
Rockdale	0	5	50
Rockdale	0	6	40
Rockdale	1	2	10338
Rockdale	1	3	5606
Rockdale	1	4	4759
Rockdale	1	5	1958
Rockdale	1	6	1109
Ryde	0	1	10031
Ryde	0	2	1304
Ryde	0	3	330
Ryde	0	4	146
Ryde	0	5	48
Ryde	0	6	48
Ryde	1	2	11185
Ryde	1	3	6411
Ryde	1	4	5627
Ryde	1	5	1920
Ryde	1	6	950
Seven Hills	0	1	6165
Seven Hills	0	2	637
Seven Hills	0	3	207
Seven Hills	0	4	91
Seven Hills	0	5	47
Seven Hills	0	6	27
Seven Hills	1	2	8066
Seven Hills	1	3	5458
Seven Hills	1	4	5798
Seven Hills	1	5	2188
Seven Hills	1	6	1114
Shellharbour	0	1	7310
Shellharbour	0	2	576
Shellharbour	0	3	85
Shellharbour	0	4	40
Shellharbour	1	2	10600
Shellharbour	1	3	5206
Shellharbour	1	4	5273
Shellharbour	1	5	2227
Shellharbour	1	6	1043
South Coast	0	1	8881
South Coast	0	2	717
South Coast	0	3	87
South Coast	0	4	31
South Coast	0	5	10
South Coast	0	6	4
South Coast	1	2	11776
South Coast	1	3	3759
South Coast	1	4	3229
South Coast	1	5	1410
South Coast	1	6	685
Strathfield	0	1	8053
Strathfield	0	2	1775
Strathfield	0	3	832
Strathfield	0	4	477
Strathfield	0	5	210
Strathfield	0	6	114
Strathfield	1	2	9447
Strathfield	1	3	6353
Strathfield	1	4	5513
Strathfield	1	5	2163
Strathfield	1	6	1201
Summer Hill	0	1	10168
Summer Hill	0	2	1555
Summer Hill	0	3	505
Summer Hill	0	4	228
Summer Hill	0	5	59
Summer Hill	0	6	46
Summer Hill	1	2	9673
Summer Hill	1	3	4717
Summer Hill	1	4	3977
Summer Hill	1	5	1189
Summer Hill	1	6	574
Swansea	0	1	7952
Swansea	0	2	620
Swansea	0	3	48
Swansea	0	4	13
Swansea	1	2	10209
Swansea	1	3	4018
Swansea	1	4	4007
Swansea	1	5	1665
Swansea	1	6	689
Sydney	0	1	19275
Sydney	0	2	2547
Sydney	0	3	1016
Sydney	0	4	545
Sydney	0	5	196
Sydney	0	6	92
Sydney	1	2	13213
Sydney	1	3	3457
Sydney	1	4	2221
Sydney	1	5	625
Sydney	1	6	267
Tamworth	0	1	8635
Tamworth	0	2	709
Tamworth	0	3	112
Tamworth	0	4	43
Tamworth	0	5	24
Tamworth	0	6	11
Tamworth	1	2	9908
Tamworth	1	3	4170
Tamworth	1	4	3858
Tamworth	1	5	1851
Tamworth	1	6	919
Terrigal	0	1	6806
Terrigal	0	2	469
Terrigal	0	3	102
Terrigal	0	4	42
Terrigal	0	5	7
Terrigal	0	6	5
Terrigal	1	2	9517
Terrigal	1	3	4073
Terrigal	1	4	4695
Terrigal	1	5	1992
Terrigal	1	6	854
The Entrance	0	1	7681
The Entrance	0	2	652
The Entrance	0	3	93
The Entrance	0	4	31
The Entrance	0	5	9
The Entrance	0	6	10
The Entrance	1	2	8973
The Entrance	1	3	4338
The Entrance	1	4	4248
The Entrance	1	5	1767
The Entrance	1	6	867
Tweed	0	1	9103
Tweed	0	2	928
Tweed	0	3	159
Tweed	0	4	33
Tweed	0	5	14
Tweed	0	6	8
Tweed	1	2	10836
Tweed	1	3	4084
Tweed	1	4	4025
Tweed	1	5	1673
Tweed	1	6	760
Upper Hunter	0	1	7631
Upper Hunter	0	2	594
Upper Hunter	0	3	75
Upper Hunter	0	4	17
Upper Hunter	0	5	7
Upper Hunter	0	6	5
Upper Hunter	1	2	9745
Upper Hunter	1	3	3966
Upper Hunter	1	4	3935
Upper Hunter	1	5	2007
Upper Hunter	1	6	931
Vaucluse	0	1	9561
Vaucluse	0	2	1898
Vaucluse	0	3	554
Vaucluse	0	4	122
Vaucluse	0	5	32
Vaucluse	0	6	8
Vaucluse	1	2	9967
Vaucluse	1	3	4078
Vaucluse	1	4	3915
Vaucluse	1	5	1561
Vaucluse	1	6	454
Wagga Wagga	0	1	8484
Wagga Wagga	0	2	751
Wagga Wagga	0	3	198
Wagga Wagga	0	4	70
Wagga Wagga	0	5	24
Wagga Wagga	0	6	11
Wagga Wagga	1	2	9626
Wagga Wagga	1	3	4218
Wagga Wagga	1	4	3964
Wagga Wagga	1	5	1988
Wagga Wagga	1	6	1012
Wakehurst	0	1	6420
Wakehurst	0	2	622
Wakehurst	0	3	133
Wakehurst	0	4	66
Wakehurst	0	5	21
Wakehurst	0	6	12
Wakehurst	1	2	7952
Wakehurst	1	3	4704
Wakehurst	1	4	6018
Wakehurst	1	5	2278
Wakehurst	1	6	970
Wallsend	0	1	8475
Wallsend	0	2	1041
Wallsend	0	3	499
Wallsend	0	4	186
Wallsend	0	5	92
Wallsend	0	6	46
Wallsend	1	2	9552
Wallsend	1	3	4996
Wallsend	1	4	4668
Wallsend	1	5	1842
Wallsend	1	6	824
Willoughby	0	1	8401
Willoughby	0	2	890
Willoughby	0	3	257
Willoughby	0	4	100
Willoughby	0	5	24
Willoughby	0	6	18
Willoughby	1	2	9726
Willoughby	1	3	5363
Willoughby	1	4	5776
Willoughby	1	5	1789
Willoughby	1	6	575
Wollondilly	0	1	6027
Wollondilly	0	2	411
Wollondilly	0	3	55
Wollondilly	0	4	17
Wollondilly	0	5	12
Wollondilly	1	2	9399
Wollondilly	1	3	4194
Wollondilly	1	4	4775
Wollondilly	1	5	2446
Wollondilly	1	6	1370
Wollongong	0	1	10679
Wollongong	0	2	1404
Wollongong	0	3	565
Wollongong	0	4	171
Wollongong	0	5	60
Wollongong	0	6	26
Wollongong	1	2	10385
Wollongong	1	3	4480
Wollongong	1	4	3958
Wollongong	1	5	1573
Wollongong	1	6	848
Wyong	0	1	7425
Wyong	0	2	761
Wyong	0	3	109
Wyong	0	4	35
Wyong	0	5	12
Wyong	0	6	5
Wyong	1	2	9009
Wyong	1	3	4658
Wyong	1	4	4499
Wyong	1	5	2104
Wyong	1	6	1142
Albert Park (Southern Metropolitan)	0	1	16660
Albert Park (Southern Metropolitan)	0	2	2228
Albert Park (Southern Metropolitan)	0	3	554
Albert Park (Southern Metropolitan)	0	4	117
Albert Park (Southern Metropolitan)	0	5	21
Albert Park (Southern Metropolitan)	0	6	10
Albert Park (Southern Metropolitan)	1	2	12519
Albert Park (Southern Metropolitan)	1	3	3750
Albert Park (Southern Metropolitan)	1	4	2579
Albert Park (Southern Metropolitan)	1	5	666
Albert Park (Southern Metropolitan)	1	6	138
Altona (Western Metropolitan)	0	1	6602
Altona (Western Metropolitan)	0	2	704
Altona (Western Metropolitan)	0	3	190
Altona (Western Metropolitan)	0	4	95
Altona (Western Metropolitan)	0	5	36
Altona (Western Metropolitan)	0	6	11
Altona (Western Metropolitan)	1	2	9139
Altona (Western Metropolitan)	1	3	7303
Altona (Western Metropolitan)	1	4	8131
Altona (Western Metropolitan)	1	5	2665
Altona (Western Metropolitan)	1	6	1363
Bass (Eastern Victoria)	0	1	9420
Bass (Eastern Victoria)	0	2	768
Bass (Eastern Victoria)	0	3	137
Bass (Eastern Victoria)	0	4	33
Bass (Eastern Victoria)	0	5	20
Bass (Eastern Victoria)	0	6	8
Bass (Eastern Victoria)	1	2	12451
Bass (Eastern Victoria)	1	3	6383
Bass (Eastern Victoria)	1	4	6881
Bass (Eastern Victoria)	1	5	2992
Bass (Eastern Victoria)	1	6	1637
Bayswater (Eastern Metropolitan)	0	1	6311
Bayswater (Eastern Metropolitan)	0	2	578
Bayswater (Eastern Metropolitan)	0	3	94
Bayswater (Eastern Metropolitan)	0	4	34
Bayswater (Eastern Metropolitan)	0	5	15
Bayswater (Eastern Metropolitan)	1	2	7420
Bayswater (Eastern Metropolitan)	1	3	4137
Bayswater (Eastern Metropolitan)	1	4	3949
Bayswater (Eastern Metropolitan)	1	5	1371
Bayswater (Eastern Metropolitan)	1	6	537
Bellarine (Western Victoria)	0	1	6987
Bellarine (Western Victoria)	0	2	442
Bellarine (Western Victoria)	0	3	65
Bellarine (Western Victoria)	0	4	23
Bellarine (Western Victoria)	0	5	6
Bellarine (Western Victoria)	1	2	10716
Bellarine (Western Victoria)	1	3	3558
Bellarine (Western Victoria)	1	4	3813
Bellarine (Western Victoria)	1	5	1573
Bellarine (Western Victoria)	1	6	459
Benambra (Northern Victoria)	0	1	7455
Benambra (Northern Victoria)	0	2	529
Benambra (Northern Victoria)	0	3	86
Benambra (Northern Victoria)	0	4	14
Benambra (Northern Victoria)	0	5	5
Benambra (Northern Victoria)	1	2	9292
