SED_NAME21	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
Clarence	0	0	1	0	238
Clarence	0	0	1	1	114
Clarence	0	1	0	0	1571
Clarence	0	1	0	1	183
Clarence	0	1	1	0	222
Clarence	0	1	1	1	45
Clarence	1	0	0	1	1537
Clarence	1	0	1	0	408
Clarence	1	0	1	1	245
Clarence	1	1	0	0	3380
Clarence	1	1	0	1	302
Clarence	1	1	1	0	643
Clarence	1	1	1	1	129
Coffs Harbour					271
Coffs Harbour	0	0	0	1	1454
Coffs Harbour	0	0	1	0	315
Coffs Harbour	0	0	1	1	107
Coffs Harbour	0	1	0	0	1622
Coffs Harbour	0	1	0	1	170
Coffs Harbour	0	1	1	0	265
Coffs Harbour	0	1	1	1	46
Coffs Harbour	1	0	0	1	1504
Coffs Harbour	1	0	1	0	544
Coffs Harbour	1	0	1	1	281
Coffs Harbour	1	1	0	0	4213
Coffs Harbour	1	1	0	1	265
Coffs Harbour	1	1	1	0	758
Coffs Harbour	1	1	1	1	124
Coogee					375
Coogee	0	0	0	1	850
Coogee	0	0	1	0	405
Coogee	0	0	1	1	93
Coogee	0	1	0	0	947
Coogee	0	1	0	1	17
Coogee	0	1	1	0	185
Coogee	0	1	1	1	8
Coogee	1	0	0	1	971
Coogee	1	0	1	0	968
Coogee	1	0	1	1	306
Coogee	1	1	0	0	5551
Coogee	1	1	0	1	67
Coogee	1	1	1	0	811
Coogee	1	1	1	1	53
Cootamundra					295
Cootamundra	0	0	0	1	1043
Cootamundra	0	0	1	0	218
Cootamundra	0	0	1	1	79
Cootamundra	0	1	0	0	1268
Cootamundra	0	1	0	1	152
Cootamundra	0	1	1	0	221
Cootamundra	0	1	1	1	40
Cootamundra	1	0	0	1	1305
Cootamundra	1	0	1	0	435
Cootamundra	1	0	1	1	248
Cootamundra	1	1	0	0	3520
Cootamundra	1	1	0	1	273
Cootamundra	1	1	1	0	728
Cootamundra	1	1	1	1	198
Cronulla					207
Cronulla	0	0	0	1	1140
Cronulla	0	0	1	0	311
Cronulla	0	0	1	1	145
Cronulla	0	1	0	0	802
Cronulla	0	1	0	1	41
Cronulla	0	1	1	0	176
Cronulla	0	1	1	1	28
Cronulla	1	0	0	1	2101
Cronulla	1	0	1	0	1010
Cronulla	1	0	1	1	780
Cronulla	1	1	0	0	5405
Cronulla	1	1	0	1	178
Cronulla	1	1	1	0	1033
Cronulla	1	1	1	1	139
Davidson					185
Davidson	0	0	0	1	864
Davidson	0	0	1	0	467
Davidson	0	0	1	1	113
Davidson	0	1	0	0	716
Davidson	0	1	0	1	42
Davidson	0	1	1	0	238
Davidson	0	1	1	1	28
Davidson	1	0	0	1	1941
Davidson	1	0	1	0	1865
Davidson	1	0	1	1	872
Davidson	1	1	0	0	6469
Davidson	1	1	0	1	135
Davidson	1	1	1	0	1649
Davidson	1	1	1	1	93
Drummoyne					406
Drummoyne	0	0	0	1	1283
Drummoyne	0	0	1	0	442
Drummoyne	0	0	1	1	115
Drummoyne	0	1	0	0	868
Drummoyne	0	1	0	1	38
Drummoyne	0	1	1	0	163
Drummoyne	0	1	1	1	25
Drummoyne	1	0	0	1	1750
Drummoyne	1	0	1	0	1042
Drummoyne	1	0	1	1	509
Drummoyne	1	1	0	0	5838
Drummoyne	1	1	0	1	104
Drummoyne	1	1	1	0	885
Drummoyne	1	1	1	1	89
Dubbo					327
Dubbo	0	0	0	1	1192
Dubbo	0	0	1	0	227
Dubbo	0	0	1	1	82
Dubbo	0	1	0	0	1729
Dubbo	0	1	0	1	197
Dubbo	0	1	1	0	217
Dubbo	0	1	1	1	39
Dubbo	1	0	0	1	1444
Dubbo	1	0	1	0	505
Dubbo	1	0	1	1	281
Dubbo	1	1	0	0	4959
Dubbo	1	1	0	1	287
Dubbo	1	1	1	0	809
Dubbo	1	1	1	1	172
East Hills					348
East Hills	0	0	0	1	1745
East Hills	0	0	1	0	341
East Hills	0	0	1	1	226
East Hills	0	1	0	0	1034
East Hills	0	1	0	1	105
East Hills	0	1	1	0	267
East Hills	0	1	1	1	83
East Hills	1	0	0	1	2573
East Hills	1	0	1	0	981
East Hills	1	0	1	1	813
East Hills	1	1	0	0	5370
East Hills	1	1	0	1	284
East Hills	1	1	1	0	1151
East Hills	1	1	1	1	252
Epping					250
Epping	0	0	0	1	981
Epping	0	0	1	0	455
Epping	0	0	1	1	157
Epping	0	1	0	0	756
Epping	0	1	0	1	33
Epping	0	1	1	0	193
Epping	0	1	1	1	15
Epping	1	0	0	1	2534
Epping	1	0	1	0	1885
Epping	1	0	1	1	883
Epping	1	1	0	0	6993
Epping	1	1	0	1	141
Epping	1	1	1	0	1595
Epping	1	1	1	1	99
Fairfield					563
Fairfield	0	0	0	1	2527
Fairfield	0	0	1	0	454
Fairfield	0	0	1	1	330
Fairfield	0	1	0	0	1371
Fairfield	0	1	0	1	197
Fairfield	0	1	1	0	363
Fairfield	0	1	1	1	120
Fairfield	1	0	0	1	3062
Fairfield	1	0	1	0	922
Fairfield	1	0	1	1	871
Fairfield	1	1	0	0	4692
Fairfield	1	1	0	1	404
Fairfield	1	1	1	0	1310
Fairfield	1	1	1	1	417
Gosford					340
Gosford	0	0	0	1	1696
Gosford	0	0	1	0	367
Gosford	0	0	1	1	129
Gosford	0	1	0	0	1533
Gosford	0	1	0	1	141
Gosford	0	1	1	0	261
Gosford	0	1	1	1	55
Gosford	1	0	0	1	1642
Gosford	1	0	1	0	576
Gosford	1	0	1	1	342
Gosford	1	1	0	0	4353
Gosford	1	1	0	1	198
Gosford	1	1	1	0	653
Gosford	1	1	1	1	121
Goulburn					234
Goulburn	0	0	0	1	1215
Goulburn	0	0	1	0	267
Goulburn	0	0	1	1	125
Goulburn	0	1	0	0	1138
Goulburn	0	1	0	1	170
Goulburn	0	1	1	0	190
Goulburn	0	1	1	1	42
Goulburn	1	0	0	1	1749
Goulburn	1	0	1	0	657
Goulburn	1	0	1	1	368
Goulburn	1	1	0	0	4623
Goulburn	1	1	0	1	333
Goulburn	1	1	1	0	819
Goulburn	1	1	1	1	176
Granville					634
Granville	0	0	0	1	1874
Granville	0	0	1	0	398
Granville	0	0	1	1	213
Granville	0	1	0	0	1245
Granville	0	1	0	1	118
Granville	0	1	1	0	241
Granville	0	1	1	1	85
Granville	1	0	0	1	2333
Granville	1	0	1	0	829
Granville	1	0	1	1	689
Granville	1	1	0	0	7588
Granville	1	1	0	1	301
Granville	1	1	1	0	1167
Granville	1	1	1	1	311
Hawkesbury					212
Hawkesbury	0	0	0	1	1337
Hawkesbury	0	0	1	0	268
Hawkesbury	0	0	1	1	136
Hawkesbury	0	1	0	0	1094
Hawkesbury	0	1	0	1	116
Hawkesbury	0	1	1	0	193
Hawkesbury	0	1	1	1	56
Hawkesbury	1	0	0	1	2402
Hawkesbury	1	0	1	0	679
Hawkesbury	1	0	1	1	706
Hawkesbury	1	1	0	0	4902
Hawkesbury	1	1	0	1	422
Hawkesbury	1	1	1	0	912
Hawkesbury	1	1	1	1	215
Heathcote					184
Heathcote	0	0	0	1	1190
Heathcote	0	0	1	0	314
Heathcote	0	0	1	1	152
Heathcote	0	1	0	0	951
Heathcote	0	1	0	1	85
Heathcote	0	1	1	0	200
Heathcote	0	1	1	1	33
Heathcote	1	0	0	1	2233
Heathcote	1	0	1	0	896
Heathcote	1	0	1	1	739
Heathcote	1	1	0	0	5908
Heathcote	1	1	0	1	224
Heathcote	1	1	1	0	1048
Heathcote	1	1	1	1	171
Heffron					903
Heffron	0	0	0	1	1369
Heffron	0	0	1	0	443
Heffron	0	0	1	1	117
Heffron	0	1	0	0	1110
Heffron	0	1	0	1	61
Heffron	0	1	1	0	127
Heffron	0	1	1	1	14
Heffron	1	0	0	1	1296
Heffron	1	0	1	0	756
Heffron	1	0	1	1	312
Heffron	1	1	0	0	6462
Heffron	1	1	0	1	104
Heffron	1	1	1	0	618
Heffron	1	1	1	1	51
Holsworthy					271
Holsworthy	0	0	0	1	1640
Holsworthy	0	0	1	0	352
Holsworthy	0	0	1	1	193
Holsworthy	0	1	0	0	1217
Holsworthy	0	1	0	1	143
Holsworthy	0	1	1	0	248
Holsworthy	0	1	1	1	88
Holsworthy	1	0	0	1	2803
Holsworthy	1	0	1	0	1050
Holsworthy	1	0	1	1	918
Holsworthy	1	1	0	0	6324
Holsworthy	1	1	0	1	388
Holsworthy	1	1	1	0	1472
Holsworthy	1	1	1	1	349
Hornsby					265
Hornsby	0	0	0	1	1202
Hornsby	0	0	1	0	426
Hornsby	0	0	1	1	163
Hornsby	0	1	0	0	851
Hornsby	0	1	0	1	59
Hornsby	0	1	1	0	194
Hornsby	0	1	1	1	31
Hornsby	1	0	0	1	2240
Hornsby	1	0	1	0	1423
Hornsby	1	0	1	1	793
Hornsby	1	1	0	0	6571
Hornsby	1	1	0	1	165
Hornsby	1	1	1	0	1365
Hornsby	1	1	1	1	132
Keira					290
Keira	0	0	0	1	1406
Keira	0	0	1	0	353
Keira	0	0	1	1	156
Keira	0	1	0	0	1120
Keira	0	1	0	1	106
Keira	0	1	1	0	241
Keira	0	1	1	1	40
Keira	1	0	0	1	1893
Keira	1	0	1	0	954
Keira	1	0	1	1	594
Keira	1	1	0	0	5514
Keira	1	1	0	1	178
Keira	1	1	1	0	1059
Keira	1	1	1	1	153
Kiama					262
Kiama	0	0	0	1	1213
Kiama	0	0	1	0	259
Kiama	0	0	1	1	110
Kiama	0	1	0	0	1227
Kiama	0	1	0	1	118
Kiama	0	1	1	0	205
Kiama	0	1	1	1	40
Kiama	1	0	0	1	1921
Kiama	1	0	1	0	628
Kiama	1	0	1	1	453
Kiama	1	1	0	0	4696
Kiama	1	1	0	1	272
Kiama	1	1	1	0	815
Kiama	1	1	1	1	159
Kogarah					670
Kogarah	0	0	0	1	1824
Kogarah	0	0	1	0	524
Kogarah	0	0	1	1	205
Kogarah	0	1	0	0	1000
Kogarah	0	1	0	1	101
Kogarah	0	1	1	0	200
Kogarah	0	1	1	1	37
Kogarah	1	0	0	1	2493
Kogarah	1	0	1	0	1133
Kogarah	1	0	1	1	642
Kogarah	1	1	0	0	6037
Kogarah	1	1	0	1	200
Kogarah	1	1	1	0	880
Kogarah	1	1	1	1	149
Ku-ring-gai					239
Ku-ring-gai	0	0	0	1	963
Ku-ring-gai	0	0	1	0	545
Ku-ring-gai	0	0	1	1	164
Ku-ring-gai	0	1	0	0	897
Ku-ring-gai	0	1	0	1	28
Ku-ring-gai	0	1	1	0	263
Ku-ring-gai	0	1	1	1	21
Ku-ring-gai	1	0	0	1	1827
Ku-ring-gai	1	0	1	0	1907
Ku-ring-gai	1	0	1	1	716
Ku-ring-gai	1	1	0	0	7110
Ku-ring-gai	1	1	0	1	109
Ku-ring-gai	1	1	1	0	1486
Ku-ring-gai	1	1	1	1	95
Lake Macquarie					298
Lake Macquarie	0	0	0	1	1574
Lake Macquarie	0	0	1	0	315
Lake Macquarie	0	0	1	1	155
Lake Macquarie	0	1	0	0	1506
Lake Macquarie	0	1	0	1	182
Lake Macquarie	0	1	1	0	235
Lake Macquarie	0	1	1	1	41
Lake Macquarie	1	0	0	1	2017
Lake Macquarie	1	0	1	0	608
Lake Macquarie	1	0	1	1	459
Lake Macquarie	1	1	0	0	4302
Lake Macquarie	1	1	0	1	305
Lake Macquarie	1	1	1	0	721
Lake Macquarie	1	1	1	1	144
Lakemba					478
Lakemba	0	0	0	1	1865
Lakemba	0	0	1	0	364
Lakemba	0	0	1	1	244
Lakemba	0	1	0	0	1237
Lakemba	0	1	0	1	135
Lakemba	0	1	1	0	279
Lakemba	0	1	1	1	112
Lakemba	1	0	0	1	2576
Lakemba	1	0	1	0	844
Lakemba	1	0	1	1	775
Lakemba	1	1	0	0	6100
Lakemba	1	1	0	1	346
Lakemba	1	1	1	0	1381
Lakemba	1	1	1	1	390
Lane Cove					345
Lane Cove	0	0	0	1	1019
Lane Cove	0	0	1	0	432
Lane Cove	0	0	1	1	134
Lane Cove	0	1	0	0	976
Lane Cove	0	1	0	1	30
Lane Cove	0	1	1	0	181
Lane Cove	0	1	1	1	17
Lane Cove	1	0	0	1	1579
Lane Cove	1	0	1	0	1391
Lane Cove	1	0	1	1	615
Lane Cove	1	1	0	0	6811
Lane Cove	1	1	0	1	99
Lane Cove	1	1	1	0	1191
Lane Cove	1	1	1	1	93
Lismore					301
Lismore	0	0	0	1	1537
Lismore	0	0	1	0	355
Lismore	0	0	1	1	118
Lismore	0	1	0	0	1574
Lismore	0	1	0	1	188
Lismore	0	1	1	0	280
Lismore	0	1	1	1	58
Lismore	1	0	0	1	1463
Lismore	1	0	1	0	499
Lismore	1	0	1	1	247
Lismore	1	1	0	0	3502
Lismore	1	1	0	1	270
Lismore	1	1	1	0	656
Lismore	1	1	1	1	137
Liverpool					490
Liverpool	0	0	0	1	2204
Liverpool	0	0	1	0	458
Liverpool	0	0	1	1	299
Liverpool	0	1	0	0	1786
Liverpool	0	1	0	1	228
Liverpool	0	1	1	0	422
Liverpool	0	1	1	1	131
Liverpool	1	0	0	1	2912
Liverpool	1	0	1	0	921
Liverpool	1	0	1	1	915
Liverpool	1	1	0	0	5722
Liverpool	1	1	0	1	405
Liverpool	1	1	1	0	1357
Liverpool	1	1	1	1	440
Londonderry					554
Londonderry	0	0	0	1	2442
Londonderry	0	0	1	0	372
Londonderry	0	0	1	1	204
Londonderry	0	1	0	0	2676
Londonderry	0	1	0	1	322
Londonderry	0	1	1	0	422
Londonderry	0	1	1	1	153
Londonderry	1	0	0	1	2416
Londonderry	1	0	1	0	746
Londonderry	1	0	1	1	665
Londonderry	1	1	0	0	9552
Londonderry	1	1	0	1	510
Londonderry	1	1	1	0	1391
Londonderry	1	1	1	1	351
Macquarie Fields					457
Macquarie Fields	0	0	0	1	2010
Macquarie Fields	0	0	1	0	378
Macquarie Fields	0	0	1	1	237
Macquarie Fields	0	1	0	0	1763
Macquarie Fields	0	1	0	1	230
Macquarie Fields	0	1	1	0	328
Macquarie Fields	0	1	1	1	88
Macquarie Fields	1	0	0	1	2957
Macquarie Fields	1	0	1	0	1165
Macquarie Fields	1	0	1	1	876
Macquarie Fields	1	1	0	0	9239
Macquarie Fields	1	1	0	1	445
Macquarie Fields	1	1	1	0	1595
Macquarie Fields	1	1	1	1	327
Maitland					350
Maitland	0	0	0	1	1490
Maitland	0	0	1	0	342
Maitland	0	0	1	1	169
Maitland	0	1	0	0	1971
Maitland	0	1	0	1	186
Maitland	0	1	1	0	335
Maitland	0	1	1	1	72
Maitland	1	0	0	1	2012
Maitland	1	0	1	0	700
Maitland	1	0	1	1	502
Maitland	1	1	0	0	6230
Maitland	1	1	0	1	426
Maitland	1	1	1	0	1045
Maitland	1	1	1	1	189
Manly					233
Manly	0	0	0	1	849
Manly	0	0	1	0	423
Manly	0	0	1	1	124
Manly	0	1	0	0	900
Manly	0	1	0	1	28
Manly	0	1	1	0	178
Manly	0	1	1	1	11
Manly	1	0	0	1	1305
Manly	1	0	1	0	1288
Manly	1	0	1	1	534
Manly	1	1	0	0	6447
Manly	1	1	0	1	110
Manly	1	1	1	0	1158
Manly	1	1	1	1	102
Maroubra					453
Maroubra	0	0	0	1	1607
Maroubra	0	0	1	0	435
Maroubra	0	0	1	1	165
Maroubra	0	1	0	0	1119
Maroubra	0	1	0	1	85
Maroubra	0	1	1	0	204
Maroubra	0	1	1	1	27
Maroubra	1	0	0	1	1976
Maroubra	1	0	1	0	1096
Maroubra	1	0	1	1	584
Maroubra	1	1	0	0	5928
Maroubra	1	1	0	1	160
Maroubra	1	1	1	0	1017
Maroubra	1	1	1	1	94
Miranda					272
Miranda	0	0	0	1	1303
Miranda	0	0	1	0	348
Miranda	0	0	1	1	151
Miranda	0	1	0	0	902
Miranda	0	1	0	1	76
Miranda	0	1	1	0	220
Miranda	0	1	1	1	25
Miranda	1	0	0	1	2242
Miranda	1	0	1	0	963
Miranda	1	0	1	1	658
Miranda	1	1	0	0	5681
Miranda	1	1	0	1	195
Miranda	1	1	1	0	1054
Miranda	1	1	1	1	160
Monaro					270
Monaro	0	0	0	1	1092
Monaro	0	0	1	0	267
Monaro	0	0	1	1	102
Monaro	0	1	0	0	1250
Monaro	0	1	0	1	102
Monaro	0	1	1	0	189
Monaro	0	1	1	1	36
Monaro	1	0	0	1	1779
Monaro	1	0	1	0	773
Monaro	1	0	1	1	483
Monaro	1	1	0	0	5815
Monaro	1	1	0	1	263
Monaro	1	1	1	0	964
Monaro	1	1	1	1	160
Mount Druitt					426
Mount Druitt	0	0	0	1	1926
Mount Druitt	0	0	1	0	337
Mount Druitt	0	0	1	1	214
Mount Druitt	0	1	0	0	1767
Mount Druitt	0	1	0	1	202
Mount Druitt	0	1	1	0	312
Mount Druitt	0	1	1	1	120
Mount Druitt	1	0	0	1	2823
Mount Druitt	1	0	1	0	918
Mount Druitt	1	0	1	1	857
Mount Druitt	1	1	0	0	6135
Mount Druitt	1	1	0	1	503
Mount Druitt	1	1	1	0	1344
Mount Druitt	1	1	1	1	391
Mulgoa					235
Mulgoa	0	0	0	1	1376
Mulgoa	0	0	1	0	292
Mulgoa	0	0	1	1	174
Mulgoa	0	1	0	0	1231
Mulgoa	0	1	0	1	148
Mulgoa	0	1	1	0	273
Mulgoa	0	1	1	1	73
Mulgoa	1	0	0	1	3153
Mulgoa	1	0	1	0	978
Mulgoa	1	0	1	1	954
Mulgoa	1	1	0	0	6186
Mulgoa	1	1	0	1	462
Mulgoa	1	1	1	0	1401
Mulgoa	1	1	1	1	345
Murray					306
Murray	0	0	0	1	1137
Murray	0	0	1	0	202
Murray	0	0	1	1	106
Murray	0	1	0	0	1272
Murray	0	1	0	1	140
Murray	0	1	1	0	213
Murray	0	1	1	1	45
Murray	1	0	0	1	1720
Murray	1	0	1	0	551
Murray	1	0	1	1	405
Murray	1	1	0	0	4669
Murray	1	1	0	1	304
Murray	1	1	1	0	868
Murray	1	1	1	1	186
Myall Lakes					287
Myall Lakes	0	0	0	1	1511
Myall Lakes	0	0	1	0	256
Myall Lakes	0	0	1	1	81
Myall Lakes	0	1	0	0	1495
Myall Lakes	0	1	0	1	204
Myall Lakes	0	1	1	0	235
Myall Lakes	0	1	1	1	63
Myall Lakes	1	0	0	1	1472
Myall Lakes	1	0	1	0	379
Myall Lakes	1	0	1	1	226
Myall Lakes	1	1	0	0	2949
Myall Lakes	1	1	0	1	297
Myall Lakes	1	1	1	0	548
Myall Lakes	1	1	1	1	119
Newcastle					399
Newcastle	0	0	0	1	1210
Newcastle	0	0	1	0	378
Newcastle	0	0	1	1	116
Newcastle	0	1	0	0	1192
Newcastle	0	1	0	1	77
Newcastle	0	1	1	0	189
Newcastle	0	1	1	1	22
Newcastle	1	0	0	1	1128
Newcastle	1	0	1	0	715
Newcastle	1	0	1	1	272
Newcastle	1	1	0	0	4330
Newcastle	1	1	0	1	108
Newcastle	1	1	1	0	661
Newcastle	1	1	1	1	60
Newtown					506
Newtown	0	0	0	1	686
Newtown	0	0	1	0	311
Newtown	0	0	1	1	63
Newtown	0	1	0	0	637
Newtown	0	1	0	1	24
Newtown	0	1	1	0	102
Newtown	0	1	1	1	11
Newtown	1	0	0	1	536
Newtown	1	0	1	0	522
Newtown	1	0	1	1	157
Newtown	1	1	0	0	3410
