SA4_NAME21	Age5yr	ChildrenEverBorn	females
Central Coast	50-54	3	2445
Central Coast	50-54	4	897
Central Coast	50-54	5	264
Central Coast	50-54	6	147
Central Coast	55-59		551
Central Coast	55-59	0	1465
Central Coast	55-59	1	1409
Central Coast	55-59	2	4250
Central Coast	55-59	3	2639
Central Coast	55-59	4	940
Central Coast	55-59	5	280
Central Coast	55-59	6	141
Central Coast	60-64		494
Central Coast	60-64	0	1386
Central Coast	60-64	1	1355
Central Coast	60-64	2	4412
Central Coast	60-64	3	2858
Central Coast	60-64	4	1003
Central Coast	60-64	5	278
Central Coast	60-64	6	131
Central Coast	65-69		643
Central Coast	65-69	0	1180
Central Coast	65-69	1	1181
Central Coast	65-69	2	4127
Central Coast	65-69	3	2734
Central Coast	65-69	4	954
Central Coast	65-69	5	215
Central Coast	65-69	6	101
Central Coast	70-74		763
Central Coast	70-74	0	979
Central Coast	70-74	1	1007
Central Coast	70-74	2	3955
Central Coast	70-74	3	2603
Central Coast	70-74	4	964
Central Coast	70-74	5	267
Central Coast	70-74	6	122
Central Coast	75-79		784
Central Coast	75-79	0	695
Central Coast	75-79	1	679
Central Coast	75-79	2	2696
Central Coast	75-79	3	2068
Central Coast	75-79	4	834
Central Coast	75-79	5	254
Central Coast	75-79	6	117
Central Coast	80-84		777
Central Coast	80-84	0	405
Central Coast	80-84	1	403
Central Coast	80-84	2	1579
Central Coast	80-84	3	1400
Central Coast	80-84	4	727
Central Coast	80-84	5	241
Central Coast	80-84	6	183
Central Coast	85+		1379
Central Coast	85+	0	486
Central Coast	85+	1	432
Central Coast	85+	2	1482
Central Coast	85+	3	1358
Central Coast	85+	4	836
Central Coast	85+	5	336
Central Coast	85+	6	299
Central West	15-19		665
Central West	15-19	0	5270
Central West	15-19	1	65
Central West	15-19	2	6
Central West	20-24		501
Central West	20-24	0	3993
Central West	20-24	1	560
Central West	20-24	2	241
Central West	20-24	3	46
Central West	20-24	4	12
Central West	25-29		432
Central West	25-29	0	3094
Central West	25-29	1	1086
Central West	25-29	2	952
Central West	25-29	3	396
Central West	25-29	4	112
Central West	25-29	5	33
Central West	25-29	6	17
Central West	30-34		481
Central West	30-34	0	1729
Central West	30-34	1	1184
Central West	30-34	2	1728
Central West	30-34	3	915
Central West	30-34	4	306
Central West	30-34	5	78
Central West	30-34	6	52
Central West	35-39		451
Central West	35-39	0	1024
Central West	35-39	1	816
Central West	35-39	2	1975
Central West	35-39	3	1280
Central West	35-39	4	490
Central West	35-39	5	164
Central West	35-39	6	99
Central West	40-44		423
Central West	40-44	0	722
Central West	40-44	1	633
Central West	40-44	2	1863
Central West	40-44	3	1367
Central West	40-44	4	572
Central West	40-44	5	158
Central West	40-44	6	138
Central West	45-49		465
Central West	45-49	0	791
Central West	45-49	1	683
Central West	45-49	2	2094
Central West	45-49	3	1537
Central West	45-49	4	639
Central West	45-49	5	200
Central West	45-49	6	152
Central West	50-54		476
Central West	50-54	0	787
Central West	50-54	1	695
Central West	50-54	2	2211
Central West	50-54	3	1625
Central West	50-54	4	628
Central West	50-54	5	237
Central West	50-54	6	142
Central West	55-59		481
Central West	55-59	0	840
Central West	55-59	1	680
Central West	55-59	2	2214
Central West	55-59	3	1698
Central West	55-59	4	724
Central West	55-59	5	235
Central West	55-59	6	130
Central West	60-64		468
Central West	60-64	0	803
Central West	60-64	1	632
Central West	60-64	2	2163
Central West	60-64	3	1748
Central West	60-64	4	845
Central West	60-64	5	235
Central West	60-64	6	116
Central West	65-69		431
Central West	65-69	0	601
Central West	65-69	1	511
Central West	65-69	2	1991
Central West	65-69	3	1610
Central West	65-69	4	771
Central West	65-69	5	194
Central West	65-69	6	123
Central West	70-74		503
Central West	70-74	0	512
Central West	70-74	1	476
Central West	70-74	2	1958
Central West	70-74	3	1473
Central West	70-74	4	754
Central West	70-74	5	228
Central West	70-74	6	131
Central West	75-79		464
Central West	75-79	0	350
Central West	75-79	1	269
Central West	75-79	2	1216
Central West	75-79	3	1165
Central West	75-79	4	585
Central West	75-79	5	223
Central West	75-79	6	120
Central West	80-84		390
Central West	80-84	0	251
Central West	80-84	1	153
Central West	80-84	2	651
Central West	80-84	3	776
Central West	80-84	4	515
Central West	80-84	5	199
Central West	80-84	6	185
Central West	85+		469
Central West	85+	0	269
Central West	85+	1	193
Central West	85+	2	638
Central West	85+	3	722
Central West	85+	4	546
Central West	85+	5	305
Central West	85+	6	286
Coffs Harbour - Grafton	15-19		435
Coffs Harbour - Grafton	15-19	0	3376
Coffs Harbour - Grafton	15-19	1	32
Coffs Harbour - Grafton	15-19	2	4
Coffs Harbour - Grafton	20-24		303
Coffs Harbour - Grafton	20-24	0	2328
Coffs Harbour - Grafton	20-24	1	298
Coffs Harbour - Grafton	20-24	2	135
Coffs Harbour - Grafton	20-24	3	18
Coffs Harbour - Grafton	20-24	4	3
Coffs Harbour - Grafton	25-29		339
Coffs Harbour - Grafton	25-29	0	1856
Coffs Harbour - Grafton	25-29	1	618
Coffs Harbour - Grafton	25-29	2	505
Coffs Harbour - Grafton	25-29	3	188
Coffs Harbour - Grafton	25-29	4	53
Coffs Harbour - Grafton	25-29	5	17
Coffs Harbour - Grafton	25-29	6	3
Coffs Harbour - Grafton	30-34		338
Coffs Harbour - Grafton	30-34	0	1160
Coffs Harbour - Grafton	30-34	1	747
Coffs Harbour - Grafton	30-34	2	1055
Coffs Harbour - Grafton	30-34	3	474
Coffs Harbour - Grafton	30-34	4	182
Coffs Harbour - Grafton	30-34	5	51
Coffs Harbour - Grafton	30-34	6	22
Coffs Harbour - Grafton	35-39		335
Coffs Harbour - Grafton	35-39	0	697
Coffs Harbour - Grafton	35-39	1	601
Coffs Harbour - Grafton	35-39	2	1322
Coffs Harbour - Grafton	35-39	3	738
Coffs Harbour - Grafton	35-39	4	294
Coffs Harbour - Grafton	35-39	5	76
Coffs Harbour - Grafton	35-39	6	59
Coffs Harbour - Grafton	40-44		304
Coffs Harbour - Grafton	40-44	0	574
Coffs Harbour - Grafton	40-44	1	527
Coffs Harbour - Grafton	40-44	2	1391
Coffs Harbour - Grafton	40-44	3	848
Coffs Harbour - Grafton	40-44	4	304
Coffs Harbour - Grafton	40-44	5	100
Coffs Harbour - Grafton	40-44	6	61
Coffs Harbour - Grafton	45-49		320
Coffs Harbour - Grafton	45-49	0	608
Coffs Harbour - Grafton	45-49	1	540
Coffs Harbour - Grafton	45-49	2	1608
Coffs Harbour - Grafton	45-49	3	933
Coffs Harbour - Grafton	45-49	4	383
Coffs Harbour - Grafton	45-49	5	124
Coffs Harbour - Grafton	45-49	6	85
Coffs Harbour - Grafton	50-54		299
Coffs Harbour - Grafton	50-54	0	623
Coffs Harbour - Grafton	50-54	1	607
Coffs Harbour - Grafton	50-54	2	1658
Coffs Harbour - Grafton	50-54	3	1018
Coffs Harbour - Grafton	50-54	4	420
Coffs Harbour - Grafton	50-54	5	142
Coffs Harbour - Grafton	50-54	6	111
Coffs Harbour - Grafton	55-59		329
Coffs Harbour - Grafton	55-59	0	751
Coffs Harbour - Grafton	55-59	1	593
Coffs Harbour - Grafton	55-59	2	1747
Coffs Harbour - Grafton	55-59	3	1163
Coffs Harbour - Grafton	55-59	4	493
Coffs Harbour - Grafton	55-59	5	128
Coffs Harbour - Grafton	55-59	6	85
Coffs Harbour - Grafton	60-64		312
Coffs Harbour - Grafton	60-64	0	769
Coffs Harbour - Grafton	60-64	1	576
Coffs Harbour - Grafton	60-64	2	1957
Coffs Harbour - Grafton	60-64	3	1334
Coffs Harbour - Grafton	60-64	4	565
Coffs Harbour - Grafton	60-64	5	164
Coffs Harbour - Grafton	60-64	6	89
Coffs Harbour - Grafton	65-69		344
Coffs Harbour - Grafton	65-69	0	676
Coffs Harbour - Grafton	65-69	1	527
Coffs Harbour - Grafton	65-69	2	1829
Coffs Harbour - Grafton	65-69	3	1361
Coffs Harbour - Grafton	65-69	4	553
Coffs Harbour - Grafton	65-69	5	134
Coffs Harbour - Grafton	65-69	6	73
Coffs Harbour - Grafton	70-74		338
Coffs Harbour - Grafton	70-74	0	490
Coffs Harbour - Grafton	70-74	1	422
Coffs Harbour - Grafton	70-74	2	1745
Coffs Harbour - Grafton	70-74	3	1212
Coffs Harbour - Grafton	70-74	4	469
Coffs Harbour - Grafton	70-74	5	156
Coffs Harbour - Grafton	70-74	6	71
Coffs Harbour - Grafton	75-79		305
Coffs Harbour - Grafton	75-79	0	309
Coffs Harbour - Grafton	75-79	1	262
Coffs Harbour - Grafton	75-79	2	1155
Coffs Harbour - Grafton	75-79	3	890
Coffs Harbour - Grafton	75-79	4	410
Coffs Harbour - Grafton	75-79	5	139
Coffs Harbour - Grafton	75-79	6	68
Coffs Harbour - Grafton	80-84		287
Coffs Harbour - Grafton	80-84	0	191
Coffs Harbour - Grafton	80-84	1	150
Coffs Harbour - Grafton	80-84	2	627
Coffs Harbour - Grafton	80-84	3	590
Coffs Harbour - Grafton	80-84	4	392
Coffs Harbour - Grafton	80-84	5	146
Coffs Harbour - Grafton	80-84	6	110
Coffs Harbour - Grafton	85+		441
Coffs Harbour - Grafton	85+	0	172
Coffs Harbour - Grafton	85+	1	169
Coffs Harbour - Grafton	85+	2	588
Coffs Harbour - Grafton	85+	3	579
Coffs Harbour - Grafton	85+	4	420
Coffs Harbour - Grafton	85+	5	186
Coffs Harbour - Grafton	85+	6	159
Far West and Orana	15-19		477
Far West and Orana	15-19	0	2600
Far West and Orana	15-19	1	50
Far West and Orana	15-19	2	5
Far West and Orana	20-24		404
Far West and Orana	20-24	0	1996
Far West and Orana	20-24	1	365
Far West and Orana	20-24	2	136
Far West and Orana	20-24	3	35
Far West and Orana	20-24	4	7
Far West and Orana	25-29		469
Far West and Orana	25-29	0	1885
Far West and Orana	25-29	1	662
Far West and Orana	25-29	2	591
Far West and Orana	25-29	3	256
Far West and Orana	25-29	4	82
Far West and Orana	25-29	5	18
Far West and Orana	25-29	6	8
Far West and Orana	30-34		454
Far West and Orana	30-34	0	1055
Far West and Orana	30-34	1	743
Far West and Orana	30-34	2	937
Far West and Orana	30-34	3	501
Far West and Orana	30-34	4	176
Far West and Orana	30-34	5	43
Far West and Orana	30-34	6	31
Far West and Orana	35-39		449
Far West and Orana	35-39	0	501
Far West and Orana	35-39	1	439
Far West and Orana	35-39	2	1021
Far West and Orana	35-39	3	646
Far West and Orana	35-39	4	300
Far West and Orana	35-39	5	84
Far West and Orana	35-39	6	65
Far West and Orana	40-44		403
Far West and Orana	40-44	0	375
Far West and Orana	40-44	1	317
Far West and Orana	40-44	2	854
Far West and Orana	40-44	3	661
Far West and Orana	40-44	4	322
Far West and Orana	40-44	5	103
Far West and Orana	40-44	6	96
Far West and Orana	45-49		362
Far West and Orana	45-49	0	362
Far West and Orana	45-49	1	311
Far West and Orana	45-49	2	929
Far West and Orana	45-49	3	692
Far West and Orana	45-49	4	347
Far West and Orana	45-49	5	127
Far West and Orana	45-49	6	108
Far West and Orana	50-54		411
Far West and Orana	50-54	0	395
Far West and Orana	50-54	1	313
Far West and Orana	50-54	2	1085
Far West and Orana	50-54	3	787
Far West and Orana	50-54	4	374
Far West and Orana	50-54	5	132
Far West and Orana	50-54	6	114
Far West and Orana	55-59		397
Far West and Orana	55-59	0	421
Far West and Orana	55-59	1	322
Far West and Orana	55-59	2	1152
Far West and Orana	55-59	3	891
Far West and Orana	55-59	4	402
Far West and Orana	55-59	5	98
Far West and Orana	55-59	6	93
Far West and Orana	60-64		385
Far West and Orana	60-64	0	377
Far West and Orana	60-64	1	309
Far West and Orana	60-64	2	1241
Far West and Orana	60-64	3	924
Far West and Orana	60-64	4	440
Far West and Orana	60-64	5	135
Far West and Orana	60-64	6	84
Far West and Orana	65-69		368
Far West and Orana	65-69	0	271
Far West and Orana	65-69	1	230
Far West and Orana	65-69	2	974
Far West and Orana	65-69	3	825
Far West and Orana	65-69	4	404
Far West and Orana	65-69	5	133
Far West and Orana	65-69	6	80
Far West and Orana	70-74		342
Far West and Orana	70-74	0	216
Far West and Orana	70-74	1	185
Far West and Orana	70-74	2	886
Far West and Orana	70-74	3	710
Far West and Orana	70-74	4	386
Far West and Orana	70-74	5	114
Far West and Orana	70-74	6	79
Far West and Orana	75-79		314
Far West and Orana	75-79	0	160
Far West and Orana	75-79	1	130
Far West and Orana	75-79	2	577
Far West and Orana	75-79	3	543
Far West and Orana	75-79	4	330
Far West and Orana	75-79	5	132
Far West and Orana	75-79	6	86
Far West and Orana	80-84		298
Far West and Orana	80-84	0	96
Far West and Orana	80-84	1	63
Far West and Orana	80-84	2	322
Far West and Orana	80-84	3	408
Far West and Orana	80-84	4	286
Far West and Orana	80-84	5	130
Far West and Orana	80-84	6	112
Far West and Orana	85+		370
Far West and Orana	85+	0	84
Far West and Orana	85+	1	82
Far West and Orana	85+	2	288
Far West and Orana	85+	3	344
Far West and Orana	85+	4	297
Far West and Orana	85+	5	143
Far West and Orana	85+	6	152
Hunter Valley exc Newcastle	15-19		673
Hunter Valley exc Newcastle	15-19	0	7617
Hunter Valley exc Newcastle	15-19	1	82
Hunter Valley exc Newcastle	15-19	2	10
Hunter Valley exc Newcastle	15-19	6	3
Hunter Valley exc Newcastle	20-24		558
Hunter Valley exc Newcastle	20-24	0	6111
Hunter Valley exc Newcastle	20-24	1	779
Hunter Valley exc Newcastle	20-24	2	336
Hunter Valley exc Newcastle	20-24	3	55
Hunter Valley exc Newcastle	20-24	4	15
Hunter Valley exc Newcastle	20-24	6	6
Hunter Valley exc Newcastle	25-29		511
Hunter Valley exc Newcastle	25-29	0	4605
Hunter Valley exc Newcastle	25-29	1	1729
Hunter Valley exc Newcastle	25-29	2	1377
Hunter Valley exc Newcastle	25-29	3	487
Hunter Valley exc Newcastle	25-29	4	147
Hunter Valley exc Newcastle	25-29	5	36
Hunter Valley exc Newcastle	25-29	6	18
Hunter Valley exc Newcastle	30-34		459
Hunter Valley exc Newcastle	30-34	0	2573
Hunter Valley exc Newcastle	30-34	1	1895
Hunter Valley exc Newcastle	30-34	2	2799
Hunter Valley exc Newcastle	30-34	3	1278
Hunter Valley exc Newcastle	30-34	4	352
Hunter Valley exc Newcastle	30-34	5	105
Hunter Valley exc Newcastle	30-34	6	61
Hunter Valley exc Newcastle	35-39		422
Hunter Valley exc Newcastle	35-39	0	1487
Hunter Valley exc Newcastle	35-39	1	1391
Hunter Valley exc Newcastle	35-39	2	3309
Hunter Valley exc Newcastle	35-39	3	1815
Hunter Valley exc Newcastle	35-39	4	614
Hunter Valley exc Newcastle	35-39	5	150
Hunter Valley exc Newcastle	35-39	6	116
Hunter Valley exc Newcastle	40-44		422
Hunter Valley exc Newcastle	40-44	0	1026
Hunter Valley exc Newcastle	40-44	1	1012
Hunter Valley exc Newcastle	40-44	2	3022
Hunter Valley exc Newcastle	40-44	3	1878
Hunter Valley exc Newcastle	40-44	4	749
Hunter Valley exc Newcastle	40-44	5	232
Hunter Valley exc Newcastle	40-44	6	148
Hunter Valley exc Newcastle	45-49		442
Hunter Valley exc Newcastle	45-49	0	1016
Hunter Valley exc Newcastle	45-49	1	1087
Hunter Valley exc Newcastle	45-49	2	3300
Hunter Valley exc Newcastle	45-49	3	2091
Hunter Valley exc Newcastle	45-49	4	798
Hunter Valley exc Newcastle	45-49	5	263
Hunter Valley exc Newcastle	45-49	6	184
Hunter Valley exc Newcastle	50-54		411
Hunter Valley exc Newcastle	50-54	0	1074
Hunter Valley exc Newcastle	50-54	1	1027
Hunter Valley exc Newcastle	50-54	2	3454
Hunter Valley exc Newcastle	50-54	3	2146
Hunter Valley exc Newcastle	50-54	4	776
Hunter Valley exc Newcastle	50-54	5	225
Hunter Valley exc Newcastle	50-54	6	159
Hunter Valley exc Newcastle	55-59		440
Hunter Valley exc Newcastle	55-59	0	1008
Hunter Valley exc Newcastle	55-59	1	937
Hunter Valley exc Newcastle	55-59	2	3525
Hunter Valley exc Newcastle	55-59	3	2194
Hunter Valley exc Newcastle	55-59	4	854
Hunter Valley exc Newcastle	55-59	5	231
Hunter Valley exc Newcastle	55-59	6	168
Hunter Valley exc Newcastle	60-64		405
Hunter Valley exc Newcastle	60-64	0	923
Hunter Valley exc Newcastle	60-64	1	911
Hunter Valley exc Newcastle	60-64	2	3503
Hunter Valley exc Newcastle	60-64	3	2475
Hunter Valley exc Newcastle	60-64	4	910
Hunter Valley exc Newcastle	60-64	5	251
Hunter Valley exc Newcastle	60-64	6	139
Hunter Valley exc Newcastle	65-69		456
Hunter Valley exc Newcastle	65-69	0	804
Hunter Valley exc Newcastle	65-69	1	684
Hunter Valley exc Newcastle	65-69	2	3193
Hunter Valley exc Newcastle	65-69	3	2377
Hunter Valley exc Newcastle	65-69	4	872
Hunter Valley exc Newcastle	65-69	5	236
Hunter Valley exc Newcastle	65-69	6	125
Hunter Valley exc Newcastle	70-74		507
Hunter Valley exc Newcastle	70-74	0	633
Hunter Valley exc Newcastle	70-74	1	582
Hunter Valley exc Newcastle	70-74	2	2823
Hunter Valley exc Newcastle	70-74	3	2048
Hunter Valley exc Newcastle	70-74	4	856
Hunter Valley exc Newcastle	70-74	5	252
Hunter Valley exc Newcastle	70-74	6	122
Hunter Valley exc Newcastle	75-79		502
Hunter Valley exc Newcastle	75-79	0	418
Hunter Valley exc Newcastle	75-79	1	370
Hunter Valley exc Newcastle	75-79	2	1809
Hunter Valley exc Newcastle	75-79	3	1455
Hunter Valley exc Newcastle	75-79	4	694
Hunter Valley exc Newcastle	75-79	5	205
Hunter Valley exc Newcastle	75-79	6	134
Hunter Valley exc Newcastle	80-84		391
Hunter Valley exc Newcastle	80-84	0	259
Hunter Valley exc Newcastle	80-84	1	187
Hunter Valley exc Newcastle	80-84	2	949
Hunter Valley exc Newcastle	80-84	3	847
Hunter Valley exc Newcastle	80-84	4	537
Hunter Valley exc Newcastle	80-84	5	225
Hunter Valley exc Newcastle	80-84	6	149
Hunter Valley exc Newcastle	85+		590
Hunter Valley exc Newcastle	85+	0	229
Hunter Valley exc Newcastle	85+	1	252
Hunter Valley exc Newcastle	85+	2	772
Hunter Valley exc Newcastle	85+	3	799
Hunter Valley exc Newcastle	85+	4	552
Hunter Valley exc Newcastle	85+	5	241
Hunter Valley exc Newcastle	85+	6	247
Illawarra	15-19		708
Illawarra	15-19	0	8666
Illawarra	15-19	1	41
Illawarra	15-19	2	4
Illawarra	20-24		741
Illawarra	20-24	0	9048
Illawarra	20-24	1	485
Illawarra	20-24	2	181
Illawarra	20-24	3	20
Illawarra	20-24	4	14
Illawarra	25-29		601
Illawarra	25-29	0	6669
Illawarra	25-29	1	1356
Illawarra	25-29	2	912
Illawarra	25-29	3	271
Illawarra	25-29	4	69
Illawarra	25-29	5	15
Illawarra	25-29	6	4
Illawarra	30-34		493
Illawarra	30-34	0	3748
Illawarra	30-34	1	2235
Illawarra	30-34	2	2493
Illawarra	30-34	3	906
Illawarra	30-34	4	234
Illawarra	30-34	5	58
Illawarra	30-34	6	18
Illawarra	35-39		447
Illawarra	35-39	0	1896
Illawarra	35-39	1	1644
Illawarra	35-39	2	3761
Illawarra	35-39	3	1664
Illawarra	35-39	4	458
Illawarra	35-39	5	131
Illawarra	35-39	6	86
Illawarra	40-44		407
Illawarra	40-44	0	1299
Illawarra	40-44	1	1289
Illawarra	40-44	2	3927
Illawarra	40-44	3	1881
Illawarra	40-44	4	600
Illawarra	40-44	5	159
Illawarra	40-44	6	117
Illawarra	45-49		430
Illawarra	45-49	0	1265
Illawarra	45-49	1	1269
Illawarra	45-49	2	4265
Illawarra	45-49	3	2085
Illawarra	45-49	4	678
Illawarra	45-49	5	187
Illawarra	45-49	6	125
Illawarra	50-54		333
Illawarra	50-54	0	1263
Illawarra	50-54	1	1195
Illawarra	50-54	2	3913
Illawarra	50-54	3	2108
Illawarra	50-54	4	723
Illawarra	50-54	5	198
Illawarra	50-54	6	121
Illawarra	55-59		365
Illawarra	55-59	0	1180
Illawarra	55-59	1	1148
Illawarra	55-59	2	4014
Illawarra	55-59	3	2335
Illawarra	55-59	4	713
Illawarra	55-59	5	219
Illawarra	55-59	6	123
Illawarra	60-64		376
Illawarra	60-64	0	1065
Illawarra	60-64	1	1024
Illawarra	60-64	2	3926
Illawarra	60-64	3	2462
Illawarra	60-64	4	886
Illawarra	60-64	5	226
Illawarra	60-64	6	108
Illawarra	65-69		433
Illawarra	65-69	0	785
Illawarra	65-69	1	847
Illawarra	65-69	2	3396
Illawarra	65-69	3	2320
Illawarra	65-69	4	832
Illawarra	65-69	5	239
Illawarra	65-69	6	122
Illawarra	70-74		433
Illawarra	70-74	0	627
Illawarra	70-74	1	656
Illawarra	70-74	2	3046
Illawarra	70-74	3	2082
Illawarra	70-74	4	719
Illawarra	70-74	5	202
Illawarra	70-74	6	97
Illawarra	75-79		469
Illawarra	75-79	0	359
Illawarra	75-79	1	427
Illawarra	75-79	2	2127
Illawarra	75-79	3	1645
Illawarra	75-79	4	685
Illawarra	75-79	5	224
Illawarra	75-79	6	105
Illawarra	80-84		488
Illawarra	80-84	0	289
Illawarra	80-84	1	309
Illawarra	80-84	2	1313
Illawarra	80-84	3	1222
Illawarra	80-84	4	581
Illawarra	80-84	5	229
Illawarra	80-84	6	143
Illawarra	85+		871
Illawarra	85+	0	242
Illawarra	85+	1	321
Illawarra	85+	2	1292
Illawarra	85+	3	1181
Illawarra	85+	4	616
Illawarra	85+	5	311
Illawarra	85+	6	209
Mid North Coast	15-19		636
Mid North Coast	15-19	0	5245
Mid North Coast	15-19	1	56
Mid North Coast	15-19	2	4
Mid North Coast	20-24		401
Mid North Coast	20-24	0	3396
Mid North Coast	20-24	1	467
Mid North Coast	20-24	2	206
Mid North Coast	20-24	3	51
Mid North Coast	20-24	4	6
Mid North Coast	25-29		401
Mid North Coast	25-29	0	2444
Mid North Coast	25-29	1	905
Mid North Coast	25-29	2	725
Mid North Coast	25-29	3	294
Mid North Coast	25-29	4	79
Mid North Coast	25-29	5	21
Mid North Coast	25-29	6	8
Mid North Coast	30-34		410
Mid North Coast	30-34	0	1431
Mid North Coast	30-34	1	974
Mid North Coast	30-34	2	1458
Mid North Coast	30-34	3	672
Mid North Coast	30-34	4	266
Mid North Coast	30-34	5	77
Mid North Coast	30-34	6	59
Mid North Coast	35-39		389
Mid North Coast	35-39	0	895
Mid North Coast	35-39	1	795
Mid North Coast	35-39	2	1832
Mid North Coast	35-39	3	1018
Mid North Coast	35-39	4	398
Mid North Coast	35-39	5	122
Mid North Coast	35-39	6	95
Mid North Coast	40-44		411
Mid North Coast	40-44	0	818
Mid North Coast	40-44	1	724
Mid North Coast	40-44	2	1903
Mid North Coast	40-44	3	1152
Mid North Coast	40-44	4	452
Mid North Coast	40-44	5	181
Mid North Coast	40-44	6	118
Mid North Coast	45-49		425
Mid North Coast	45-49	0	854
Mid North Coast	45-49	1	778
Mid North Coast	45-49	2	2217
Mid North Coast	45-49	3	1458
Mid North Coast	45-49	4	590
Mid North Coast	45-49	5	203
Mid North Coast	45-49	6	122
Mid North Coast	50-54		421
