SA4_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Capital Region	75-84		M	819
Capital Region	75-84	Did not go to school	F	79
Capital Region	75-84	Did not go to school	M	71
Capital Region	75-84	Year 8 or below	F	939
Capital Region	75-84	Year 8 or below	M	1032
Capital Region	75-84	Year 9	F	1072
Capital Region	75-84	Year 9	M	1061
Capital Region	75-84	Year 10	F	2613
Capital Region	75-84	Year 10	M	2072
Capital Region	75-84	Year 11	F	477
Capital Region	75-84	Year 11	M	361
Capital Region	75-84	Year 12	F	2166
Capital Region	75-84	Year 12	M	2494
Capital Region	85+		F	598
Capital Region	85+		M	387
Capital Region	85+	Did not go to school	F	56
Capital Region	85+	Did not go to school	M	36
Capital Region	85+	Year 8 or below	F	641
Capital Region	85+	Year 8 or below	M	420
Capital Region	85+	Year 9	F	531
Capital Region	85+	Year 9	M	288
Capital Region	85+	Year 10	F	836
Capital Region	85+	Year 10	M	495
Capital Region	85+	Year 11	F	152
Capital Region	85+	Year 11	M	91
Capital Region	85+	Year 12	F	628
Capital Region	85+	Year 12	M	605
Central Coast	15-19		F	412
Central Coast	15-19		M	469
Central Coast	15-19	Did not go to school	F	8
Central Coast	15-19	Did not go to school	M	6
Central Coast	15-19	Year 8 or below	F	32
Central Coast	15-19	Year 8 or below	M	69
Central Coast	15-19	Year 9	F	192
Central Coast	15-19	Year 9	M	277
Central Coast	15-19	Year 10	F	866
Central Coast	15-19	Year 10	M	1425
Central Coast	15-19	Year 11	F	474
Central Coast	15-19	Year 11	M	641
Central Coast	15-19	Year 12	F	2199
Central Coast	15-19	Year 12	M	1913
Central Coast	20-24		F	436
Central Coast	20-24		M	462
Central Coast	20-24	Did not go to school	F	7
Central Coast	20-24	Did not go to school	M	21
Central Coast	20-24	Year 8 or below	F	19
Central Coast	20-24	Year 8 or below	M	42
Central Coast	20-24	Year 9	F	147
Central Coast	20-24	Year 9	M	232
Central Coast	20-24	Year 10	F	1124
Central Coast	20-24	Year 10	M	1517
Central Coast	20-24	Year 11	F	798
Central Coast	20-24	Year 11	M	1082
Central Coast	20-24	Year 12	F	6553
Central Coast	20-24	Year 12	M	6017
Central Coast	25-34		F	993
Central Coast	25-34		M	1091
Central Coast	25-34	Did not go to school	F	34
Central Coast	25-34	Did not go to school	M	42
Central Coast	25-34	Year 8 or below	F	104
Central Coast	25-34	Year 8 or below	M	158
Central Coast	25-34	Year 9	F	383
Central Coast	25-34	Year 9	M	478
Central Coast	25-34	Year 10	F	3197
Central Coast	25-34	Year 10	M	3982
Central Coast	25-34	Year 11	F	1264
Central Coast	25-34	Year 11	M	1590
Central Coast	25-34	Year 12	F	13518
Central Coast	25-34	Year 12	M	11258
Central Coast	35-44		F	1019
Central Coast	35-44		M	1027
Central Coast	35-44	Did not go to school	F	44
Central Coast	35-44	Did not go to school	M	57
Central Coast	35-44	Year 8 or below	F	135
Central Coast	35-44	Year 8 or below	M	215
Central Coast	35-44	Year 9	F	532
Central Coast	35-44	Year 9	M	709
Central Coast	35-44	Year 10	F	3456
Central Coast	35-44	Year 10	M	4495
Central Coast	35-44	Year 11	F	1384
Central Coast	35-44	Year 11	M	1611
Central Coast	35-44	Year 12	F	14873
Central Coast	35-44	Year 12	M	11788
Central Coast	45-54		F	957
Central Coast	45-54		M	1125
Central Coast	45-54	Did not go to school	F	59
Central Coast	45-54	Did not go to school	M	62
Central Coast	45-54	Year 8 or below	F	264
Central Coast	45-54	Year 8 or below	M	383
Central Coast	45-54	Year 9	F	866
Central Coast	45-54	Year 9	M	1119
Central Coast	45-54	Year 10	F	7003
Central Coast	45-54	Year 10	M	7239
Central Coast	45-54	Year 11	F	1437
Central Coast	45-54	Year 11	M	1398
Central Coast	45-54	Year 12	F	12199
Central Coast	45-54	Year 12	M	10046
Central Coast	55-64		F	1047
Central Coast	55-64		M	1068
Central Coast	55-64	Did not go to school	F	81
Central Coast	55-64	Did not go to school	M	90
Central Coast	55-64	Year 8 or below	F	738
Central Coast	55-64	Year 8 or below	M	749
Central Coast	55-64	Year 9	F	1657
Central Coast	55-64	Year 9	M	1417
Central Coast	55-64	Year 10	F	9871
Central Coast	55-64	Year 10	M	9145
Central Coast	55-64	Year 11	F	1278
Central Coast	55-64	Year 11	M	1181
Central Coast	55-64	Year 12	F	8909
Central Coast	55-64	Year 12	M	7623
Central Coast	65-74		F	1445
Central Coast	65-74		M	1188
Central Coast	65-74	Did not go to school	F	86
Central Coast	65-74	Did not go to school	M	119
Central Coast	65-74	Year 8 or below	F	1349
Central Coast	65-74	Year 8 or below	M	1230
Central Coast	65-74	Year 9	F	2958
Central Coast	65-74	Year 9	M	2191
Central Coast	65-74	Year 10	F	8695
Central Coast	65-74	Year 10	M	6133
Central Coast	65-74	Year 11	F	891
Central Coast	65-74	Year 11	M	879
Central Coast	65-74	Year 12	F	6371
Central Coast	65-74	Year 12	M	7143
Central Coast	75-84		F	1711
Central Coast	75-84		M	1166
Central Coast	75-84	Did not go to school	F	83
Central Coast	75-84	Did not go to school	M	101
Central Coast	75-84	Year 8 or below	F	1256
Central Coast	75-84	Year 8 or below	M	1112
Central Coast	75-84	Year 9	F	2127
Central Coast	75-84	Year 9	M	1795
Central Coast	75-84	Year 10	F	5106
Central Coast	75-84	Year 10	M	3641
Central Coast	75-84	Year 11	F	571
Central Coast	75-84	Year 11	M	546
Central Coast	75-84	Year 12	F	2985
Central Coast	75-84	Year 12	M	3475
Central Coast	85+		F	1495
Central Coast	85+		M	768
Central Coast	85+	Did not go to school	F	81
Central Coast	85+	Did not go to school	M	46
Central Coast	85+	Year 8 or below	F	974
Central Coast	85+	Year 8 or below	M	527
Central Coast	85+	Year 9	F	1152
Central Coast	85+	Year 9	M	540
Central Coast	85+	Year 10	F	1740
Central Coast	85+	Year 10	M	934
Central Coast	85+	Year 11	F	193
Central Coast	85+	Year 11	M	149
Central Coast	85+	Year 12	F	980
Central Coast	85+	Year 12	M	959
Central West	15-19		F	363
Central West	15-19		M	454
Central West	15-19	Did not go to school	M	5
Central West	15-19	Year 8 or below	F	28
Central West	15-19	Year 8 or below	M	60
Central West	15-19	Year 9	F	144
Central West	15-19	Year 9	M	223
Central West	15-19	Year 10	F	520
Central West	15-19	Year 10	M	966
Central West	15-19	Year 11	F	279
Central West	15-19	Year 11	M	465
Central West	15-19	Year 12	F	1206
Central West	15-19	Year 12	M	943
Central West	20-24		F	373
Central West	20-24		M	630
Central West	20-24	Did not go to school	M	11
Central West	20-24	Year 8 or below	F	19
Central West	20-24	Year 8 or below	M	43
Central West	20-24	Year 9	F	107
Central West	20-24	Year 9	M	200
Central West	20-24	Year 10	F	644
Central West	20-24	Year 10	M	1124
Central West	20-24	Year 11	F	464
Central West	20-24	Year 11	M	661
Central West	20-24	Year 12	F	3737
Central West	20-24	Year 12	M	3137
Central West	25-34		F	856
Central West	25-34		M	1334
Central West	25-34	Did not go to school	F	17
Central West	25-34	Did not go to school	M	39
Central West	25-34	Year 8 or below	F	87
Central West	25-34	Year 8 or below	M	129
Central West	25-34	Year 9	F	328
Central West	25-34	Year 9	M	411
Central West	25-34	Year 10	F	2125
Central West	25-34	Year 10	M	3239
Central West	25-34	Year 11	F	881
Central West	25-34	Year 11	M	936
Central West	25-34	Year 12	F	8279
Central West	25-34	Year 12	M	6176
Central West	35-44		F	837
Central West	35-44		M	1298
Central West	35-44	Did not go to school	F	26
Central West	35-44	Did not go to school	M	34
Central West	35-44	Year 8 or below	F	110
Central West	35-44	Year 8 or below	M	207
Central West	35-44	Year 9	F	374
Central West	35-44	Year 9	M	492
Central West	35-44	Year 10	F	2101
Central West	35-44	Year 10	M	3233
Central West	35-44	Year 11	F	837
Central West	35-44	Year 11	M	955
Central West	35-44	Year 12	F	7893
Central West	35-44	Year 12	M	5720
Central West	45-54		F	895
Central West	45-54		M	1151
Central West	45-54	Did not go to school	F	30
Central West	45-54	Did not go to school	M	41
Central West	45-54	Year 8 or below	F	192
Central West	45-54	Year 8 or below	M	343
Central West	45-54	Year 9	F	577
Central West	45-54	Year 9	M	739
Central West	45-54	Year 10	F	3863
Central West	45-54	Year 10	M	4684
Central West	45-54	Year 11	F	916
Central West	45-54	Year 11	M	852
Central West	45-54	Year 12	F	6871
Central West	45-54	Year 12	M	5023
Central West	55-64		F	922
Central West	55-64		M	1171
Central West	55-64	Did not go to school	F	36
Central West	55-64	Did not go to school	M	54
Central West	55-64	Year 8 or below	F	506
Central West	55-64	Year 8 or below	M	719
Central West	55-64	Year 9	F	1037
Central West	55-64	Year 9	M	1143
Central West	55-64	Year 10	F	5818
Central West	55-64	Year 10	M	6308
Central West	55-64	Year 11	F	808
Central West	55-64	Year 11	M	640
Central West	55-64	Year 12	F	4869
Central West	55-64	Year 12	M	3871
Central West	65-74		F	987
Central West	65-74		M	1112
Central West	65-74	Did not go to school	F	75
Central West	65-74	Did not go to school	M	77
Central West	65-74	Year 8 or below	F	956
Central West	65-74	Year 8 or below	M	1324
Central West	65-74	Year 9	F	1537
Central West	65-74	Year 9	M	1658
Central West	65-74	Year 10	F	4830
Central West	65-74	Year 10	M	4107
Central West	65-74	Year 11	F	525
Central West	65-74	Year 11	M	490
Central West	65-74	Year 12	F	3346
Central West	65-74	Year 12	M	3611
Central West	75-84		F	933
Central West	75-84		M	847
Central West	75-84	Did not go to school	F	53
Central West	75-84	Did not go to school	M	74
Central West	75-84	Year 8 or below	F	811
Central West	75-84	Year 8 or below	M	981
Central West	75-84	Year 9	F	1122
Central West	75-84	Year 9	M	1144
Central West	75-84	Year 10	F	2683
Central West	75-84	Year 10	M	2099
Central West	75-84	Year 11	F	352
Central West	75-84	Year 11	M	261
Central West	75-84	Year 12	F	1564
Central West	75-84	Year 12	M	1564
Central West	85+		F	573
Central West	85+		M	314
Central West	85+	Did not go to school	F	31
Central West	85+	Did not go to school	M	26
Central West	85+	Year 8 or below	F	671
Central West	85+	Year 8 or below	M	457
Central West	85+	Year 9	F	584
Central West	85+	Year 9	M	351
Central West	85+	Year 10	F	989
Central West	85+	Year 10	M	492
Central West	85+	Year 11	F	84
Central West	85+	Year 11	M	64
Central West	85+	Year 12	F	477
Central West	85+	Year 12	M	373
Coffs Harbour - Grafton	15-19		F	248
Coffs Harbour - Grafton	15-19		M	272
Coffs Harbour - Grafton	15-19	Did not go to school	F	4
Coffs Harbour - Grafton	15-19	Did not go to school	M	5
Coffs Harbour - Grafton	15-19	Year 8 or below	F	25
Coffs Harbour - Grafton	15-19	Year 8 or below	M	40
Coffs Harbour - Grafton	15-19	Year 9	F	84
Coffs Harbour - Grafton	15-19	Year 9	M	182
Coffs Harbour - Grafton	15-19	Year 10	F	386
Coffs Harbour - Grafton	15-19	Year 10	M	552
Coffs Harbour - Grafton	15-19	Year 11	F	192
Coffs Harbour - Grafton	15-19	Year 11	M	285
Coffs Harbour - Grafton	15-19	Year 12	F	729
Coffs Harbour - Grafton	15-19	Year 12	M	564
Coffs Harbour - Grafton	20-24		F	219
Coffs Harbour - Grafton	20-24		M	347
Coffs Harbour - Grafton	20-24	Did not go to school	F	16
Coffs Harbour - Grafton	20-24	Did not go to school	M	7
Coffs Harbour - Grafton	20-24	Year 8 or below	F	22
Coffs Harbour - Grafton	20-24	Year 8 or below	M	32
Coffs Harbour - Grafton	20-24	Year 9	F	74
Coffs Harbour - Grafton	20-24	Year 9	M	112
Coffs Harbour - Grafton	20-24	Year 10	F	430
Coffs Harbour - Grafton	20-24	Year 10	M	621
Coffs Harbour - Grafton	20-24	Year 11	F	294
Coffs Harbour - Grafton	20-24	Year 11	M	404
Coffs Harbour - Grafton	20-24	Year 12	F	2016
Coffs Harbour - Grafton	20-24	Year 12	M	1750
Coffs Harbour - Grafton	25-34		F	618
Coffs Harbour - Grafton	25-34		M	967
Coffs Harbour - Grafton	25-34	Did not go to school	F	67
Coffs Harbour - Grafton	25-34	Did not go to school	M	67
Coffs Harbour - Grafton	25-34	Year 8 or below	F	88
Coffs Harbour - Grafton	25-34	Year 8 or below	M	130
Coffs Harbour - Grafton	25-34	Year 9	F	204
Coffs Harbour - Grafton	25-34	Year 9	M	226
Coffs Harbour - Grafton	25-34	Year 10	F	1160
Coffs Harbour - Grafton	25-34	Year 10	M	1642
Coffs Harbour - Grafton	25-34	Year 11	F	503
Coffs Harbour - Grafton	25-34	Year 11	M	640
Coffs Harbour - Grafton	25-34	Year 12	F	4965
Coffs Harbour - Grafton	25-34	Year 12	M	3725
Coffs Harbour - Grafton	35-44		F	595
Coffs Harbour - Grafton	35-44		M	849
Coffs Harbour - Grafton	35-44	Did not go to school	F	58
Coffs Harbour - Grafton	35-44	Did not go to school	M	65
Coffs Harbour - Grafton	35-44	Year 8 or below	F	138
Coffs Harbour - Grafton	35-44	Year 8 or below	M	198
Coffs Harbour - Grafton	35-44	Year 9	F	240
Coffs Harbour - Grafton	35-44	Year 9	M	318
Coffs Harbour - Grafton	35-44	Year 10	F	1481
Coffs Harbour - Grafton	35-44	Year 10	M	1876
Coffs Harbour - Grafton	35-44	Year 11	F	544
Coffs Harbour - Grafton	35-44	Year 11	M	556
Coffs Harbour - Grafton	35-44	Year 12	F	5180
Coffs Harbour - Grafton	35-44	Year 12	M	3847
Coffs Harbour - Grafton	45-54		F	584
Coffs Harbour - Grafton	45-54		M	788
Coffs Harbour - Grafton	45-54	Did not go to school	F	59
Coffs Harbour - Grafton	45-54	Did not go to school	M	39
Coffs Harbour - Grafton	45-54	Year 8 or below	F	158
Coffs Harbour - Grafton	45-54	Year 8 or below	M	210
Coffs Harbour - Grafton	45-54	Year 9	F	406
Coffs Harbour - Grafton	45-54	Year 9	M	468
Coffs Harbour - Grafton	45-54	Year 10	F	2726
Coffs Harbour - Grafton	45-54	Year 10	M	2805
Coffs Harbour - Grafton	45-54	Year 11	F	717
Coffs Harbour - Grafton	45-54	Year 11	M	661
Coffs Harbour - Grafton	45-54	Year 12	F	4821
Coffs Harbour - Grafton	45-54	Year 12	M	3655
Coffs Harbour - Grafton	55-64		F	616
Coffs Harbour - Grafton	55-64		M	769
Coffs Harbour - Grafton	55-64	Did not go to school	F	64
Coffs Harbour - Grafton	55-64	Did not go to school	M	47
Coffs Harbour - Grafton	55-64	Year 8 or below	F	330
Coffs Harbour - Grafton	55-64	Year 8 or below	M	433
Coffs Harbour - Grafton	55-64	Year 9	F	799
Coffs Harbour - Grafton	55-64	Year 9	M	779
Coffs Harbour - Grafton	55-64	Year 10	F	4521
Coffs Harbour - Grafton	55-64	Year 10	M	4382
Coffs Harbour - Grafton	55-64	Year 11	F	795
Coffs Harbour - Grafton	55-64	Year 11	M	629
Coffs Harbour - Grafton	55-64	Year 12	F	3929
Coffs Harbour - Grafton	55-64	Year 12	M	3141
Coffs Harbour - Grafton	65-74		F	721
Coffs Harbour - Grafton	65-74		M	704
Coffs Harbour - Grafton	65-74	Did not go to school	F	51
Coffs Harbour - Grafton	65-74	Did not go to school	M	45
Coffs Harbour - Grafton	65-74	Year 8 or below	F	565
Coffs Harbour - Grafton	65-74	Year 8 or below	M	723
Coffs Harbour - Grafton	65-74	Year 9	F	1350
Coffs Harbour - Grafton	65-74	Year 9	M	1248
Coffs Harbour - Grafton	65-74	Year 10	F	4111
Coffs Harbour - Grafton	65-74	Year 10	M	3331
Coffs Harbour - Grafton	65-74	Year 11	F	546
Coffs Harbour - Grafton	65-74	Year 11	M	596
Coffs Harbour - Grafton	65-74	Year 12	F	3066
Coffs Harbour - Grafton	65-74	Year 12	M	3592
Coffs Harbour - Grafton	75-84		F	714
Coffs Harbour - Grafton	75-84		M	566
Coffs Harbour - Grafton	75-84	Did not go to school	F	20
Coffs Harbour - Grafton	75-84	Did not go to school	M	26
Coffs Harbour - Grafton	75-84	Year 8 or below	F	570
Coffs Harbour - Grafton	75-84	Year 8 or below	M	664
Coffs Harbour - Grafton	75-84	Year 9	F	935
Coffs Harbour - Grafton	75-84	Year 9	M	864
Coffs Harbour - Grafton	75-84	Year 10	F	2182
Coffs Harbour - Grafton	75-84	Year 10	M	1646
Coffs Harbour - Grafton	75-84	Year 11	F	310
Coffs Harbour - Grafton	75-84	Year 11	M	271
Coffs Harbour - Grafton	75-84	Year 12	F	1295
Coffs Harbour - Grafton	75-84	Year 12	M	1417
Coffs Harbour - Grafton	85+		F	572
Coffs Harbour - Grafton	85+		M	295
Coffs Harbour - Grafton	85+	Did not go to school	F	34
Coffs Harbour - Grafton	85+	Did not go to school	M	18
Coffs Harbour - Grafton	85+	Year 8 or below	F	508
Coffs Harbour - Grafton	85+	Year 8 or below	M	341
Coffs Harbour - Grafton	85+	Year 9	F	433
Coffs Harbour - Grafton	85+	Year 9	M	250
Coffs Harbour - Grafton	85+	Year 10	F	693
Coffs Harbour - Grafton	85+	Year 10	M	406
Coffs Harbour - Grafton	85+	Year 11	F	90
Coffs Harbour - Grafton	85+	Year 11	M	56
Coffs Harbour - Grafton	85+	Year 12	F	393
Coffs Harbour - Grafton	85+	Year 12	M	390
Far West and Orana	15-19		F	330
Far West and Orana	15-19		M	434
Far West and Orana	15-19	Did not go to school	F	4
Far West and Orana	15-19	Year 8 or below	F	20
Far West and Orana	15-19	Year 8 or below	M	35
Far West and Orana	15-19	Year 9	F	76
Far West and Orana	15-19	Year 9	M	144
Far West and Orana	15-19	Year 10	F	277
Far West and Orana	15-19	Year 10	M	546
Far West and Orana	15-19	Year 11	F	190
Far West and Orana	15-19	Year 11	M	213
Far West and Orana	15-19	Year 12	F	587
Far West and Orana	15-19	Year 12	M	449
Far West and Orana	20-24		F	352
Far West and Orana	20-24		M	440
Far West and Orana	20-24	Did not go to school	M	6
Far West and Orana	20-24	Year 8 or below	F	21
Far West and Orana	20-24	Year 8 or below	M	33
Far West and Orana	20-24	Year 9	F	70
Far West and Orana	20-24	Year 9	M	111
Far West and Orana	20-24	Year 10	F	389
Far West and Orana	20-24	Year 10	M	580
Far West and Orana	20-24	Year 11	F	288
Far West and Orana	20-24	Year 11	M	359
Far West and Orana	20-24	Year 12	F	1826
Far West and Orana	20-24	Year 12	M	1499
Far West and Orana	25-34		F	887
Far West and Orana	25-34		M	1163
Far West and Orana	25-34	Did not go to school	F	10
Far West and Orana	25-34	Did not go to school	M	16
Far West and Orana	25-34	Year 8 or below	F	69
Far West and Orana	25-34	Year 8 or below	M	94
Far West and Orana	25-34	Year 9	F	236
Far West and Orana	25-34	Year 9	M	306
Far West and Orana	25-34	Year 10	F	1214
Far West and Orana	25-34	Year 10	M	1773
Far West and Orana	25-34	Year 11	F	520
Far West and Orana	25-34	Year 11	M	509
Far West and Orana	25-34	Year 12	F	4970
Far West and Orana	25-34	Year 12	M	3716
Far West and Orana	35-44		F	838
Far West and Orana	35-44		M	975
Far West and Orana	35-44	Did not go to school	F	11
Far West and Orana	35-44	Did not go to school	M	19
Far West and Orana	35-44	Year 8 or below	F	66
Far West and Orana	35-44	Year 8 or below	M	138
Far West and Orana	35-44	Year 9	F	250
Far West and Orana	35-44	Year 9	M	288
Far West and Orana	35-44	Year 10	F	1179
Far West and Orana	35-44	Year 10	M	1605
Far West and Orana	35-44	Year 11	F	469
Far West and Orana	35-44	Year 11	M	501
Far West and Orana	35-44	Year 12	F	3819
Far West and Orana	35-44	Year 12	M	2824
Far West and Orana	45-54		F	773
Far West and Orana	45-54		M	883
Far West and Orana	45-54	Did not go to school	F	16
Far West and Orana	45-54	Did not go to school	M	26
Far West and Orana	45-54	Year 8 or below	F	151
Far West and Orana	45-54	Year 8 or below	M	242
Far West and Orana	45-54	Year 9	F	392
Far West and Orana	45-54	Year 9	M	438
Far West and Orana	45-54	Year 10	F	1944
Far West and Orana	45-54	Year 10	M	2320
Far West and Orana	45-54	Year 11	F	504
Far West and Orana	45-54	Year 11	M	461
Far West and Orana	45-54	Year 12	F	3065
Far West and Orana	45-54	Year 12	M	2232
Far West and Orana	55-64		F	788
Far West and Orana	55-64		M	905
Far West and Orana	55-64	Did not go to school	F	26
Far West and Orana	55-64	Did not go to school	M	42
Far West and Orana	55-64	Year 8 or below	F	402
Far West and Orana	55-64	Year 8 or below	M	532
Far West and Orana	55-64	Year 9	F	638
Far West and Orana	55-64	Year 9	M	754
Far West and Orana	55-64	Year 10	F	3115
Far West and Orana	55-64	Year 10	M	3344
Far West and Orana	55-64	Year 11	F	472
Far West and Orana	55-64	Year 11	M	390
Far West and Orana	55-64	Year 12	F	2220
Far West and Orana	55-64	Year 12	M	1594
Far West and Orana	65-74		F	738
Far West and Orana	65-74		M	836
Far West and Orana	65-74	Did not go to school	F	33
Far West and Orana	65-74	Did not go to school	M	55
Far West and Orana	65-74	Year 8 or below	F	644
Far West and Orana	65-74	Year 8 or below	M	927
Far West and Orana	65-74	Year 9	F	854
Far West and Orana	65-74	Year 9	M	894
Far West and Orana	65-74	Year 10	F	2352
Far West and Orana	65-74	Year 10	M	2079
Far West and Orana	65-74	Year 11	F	292
Far West and Orana	65-74	Year 11	M	253
Far West and Orana	65-74	Year 12	F	1295
Far West and Orana	65-74	Year 12	M	1373
Far West and Orana	75-84		F	671
Far West and Orana	75-84		M	556
Far West and Orana	75-84	Did not go to school	F	35
Far West and Orana	75-84	Did not go to school	M	50
Far West and Orana	75-84	Year 8 or below	F	533
Far West and Orana	75-84	Year 8 or below	M	638
Far West and Orana	75-84	Year 9	F	574
Far West and Orana	75-84	Year 9	M	550
Far West and Orana	75-84	Year 10	F	1351
Far West and Orana	75-84	Year 10	M	962
Far West and Orana	75-84	Year 11	F	142
Far West and Orana	75-84	Year 11	M	122
Far West and Orana	75-84	Year 12	F	670
Far West and Orana	75-84	Year 12	M	641
Far West and Orana	85+		F	422
Far West and Orana	85+		M	233
Far West and Orana	85+	Did not go to school	F	8
Far West and Orana	85+	Did not go to school	M	15
Far West and Orana	85+	Year 8 or below	F	352
Far West and Orana	85+	Year 8 or below	M	270
Far West and Orana	85+	Year 9	F	279
Far West and Orana	85+	Year 9	M	167
Far West and Orana	85+	Year 10	F	443
Far West and Orana	85+	Year 10	M	231
Far West and Orana	85+	Year 11	F	54
Far West and Orana	85+	Year 11	M	34
Far West and Orana	85+	Year 12	F	203
Far West and Orana	85+	Year 12	M	154
Hunter Valley exc Newcastle	15-19		F	356
Hunter Valley exc Newcastle	15-19		M	471
Hunter Valley exc Newcastle	15-19	Did not go to school	F	6
Hunter Valley exc Newcastle	15-19	Did not go to school	M	8
Hunter Valley exc Newcastle	15-19	Year 8 or below	F	50
Hunter Valley exc Newcastle	15-19	Year 8 or below	M	75
Hunter Valley exc Newcastle	15-19	Year 9	F	228
Hunter Valley exc Newcastle	15-19	Year 9	M	295
Hunter Valley exc Newcastle	15-19	Year 10	F	1026
Hunter Valley exc Newcastle	15-19	Year 10	M	1376
Hunter Valley exc Newcastle	15-19	Year 11	F	557
Hunter Valley exc Newcastle	15-19	Year 11	M	837
Hunter Valley exc Newcastle	15-19	Year 12	F	1630
Hunter Valley exc Newcastle	15-19	Year 12	M	1560
Hunter Valley exc Newcastle	20-24		F	400
Hunter Valley exc Newcastle	20-24		M	613
Hunter Valley exc Newcastle	20-24	Did not go to school	F	16
Hunter Valley exc Newcastle	20-24	Did not go to school	M	15
Hunter Valley exc Newcastle	20-24	Year 8 or below	F	43
Hunter Valley exc Newcastle	20-24	Year 8 or below	M	72
Hunter Valley exc Newcastle	20-24	Year 9	F	176
Hunter Valley exc Newcastle	20-24	Year 9	M	293
Hunter Valley exc Newcastle	20-24	Year 10	F	1284
Hunter Valley exc Newcastle	20-24	Year 10	M	1639
Hunter Valley exc Newcastle	20-24	Year 11	F	896
Hunter Valley exc Newcastle	20-24	Year 11	M	1108
Hunter Valley exc Newcastle	20-24	Year 12	F	5033
Hunter Valley exc Newcastle	20-24	Year 12	M	4570
Hunter Valley exc Newcastle	25-34		F	869
Hunter Valley exc Newcastle	25-34		M	1588
Hunter Valley exc Newcastle	25-34	Did not go to school	F	26
Hunter Valley exc Newcastle	25-34	Did not go to school	M	53
