SA4_NAME16	DwellingStructure	DwellingSubtype	HouseholdComposition	occupied_private_dwellings
Central Coast	Flat/apartment		One parent family with children	65
Central Coast	Flat/apartment		Other family	3
Central Coast	Flat/apartment	1 or 2 storey block	Couple family with children	592
Central Coast	Flat/apartment	1 or 2 storey block	Couple family with no children	1291
Central Coast	Flat/apartment	1 or 2 storey block	Group household	203
Central Coast	Flat/apartment	1 or 2 storey block	Lone-person household	3578
Central Coast	Flat/apartment	1 or 2 storey block	One parent family with children	747
Central Coast	Flat/apartment	1 or 2 storey block	Other family	66
Central Coast	Flat/apartment	3 storey block	Couple family with children	143
Central Coast	Flat/apartment	3 storey block	Couple family with no children	356
Central Coast	Flat/apartment	3 storey block	Group household	86
Central Coast	Flat/apartment	3 storey block	Lone-person household	737
Central Coast	Flat/apartment	3 storey block	One parent family with children	183
Central Coast	Flat/apartment	3 storey block	Other family	14
Central Coast	Flat/apartment	4-8 storey block	Couple family with children	224
Central Coast	Flat/apartment	4-8 storey block	Couple family with no children	744
Central Coast	Flat/apartment	4-8 storey block	Group household	157
Central Coast	Flat/apartment	4-8 storey block	Lone-person household	1067
Central Coast	Flat/apartment	4-8 storey block	One parent family with children	239
Central Coast	Flat/apartment	4-8 storey block	Other family	37
Central Coast	Flat/apartment	9 or more storey block	Couple family with children	56
Central Coast	Flat/apartment	9 or more storey block	Couple family with no children	188
Central Coast	Flat/apartment	9 or more storey block	Group household	34
Central Coast	Flat/apartment	9 or more storey block	Lone-person household	250
Central Coast	Flat/apartment	9 or more storey block	One parent family with children	54
Central Coast	Flat/apartment	9 or more storey block	Other family	7
Central Coast	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	893
Central Coast	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	1461
Central Coast	Semi-detached, row/terrace house, townhouse etc.		Group household	211
Central Coast	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	2462
Central Coast	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	1015
Central Coast	Semi-detached, row/terrace house, townhouse etc.		Other family	69
Central Coast	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	703
Central Coast	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	2356
Central Coast	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	259
Central Coast	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	5217
Central Coast	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	1003
Central Coast	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	96
Central Coast	Separate house		Couple family with children	34716
Central Coast	Separate house		Couple family with no children	28924
Central Coast	Separate house		Group household	2816
Central Coast	Separate house		Lone-person household	21660
Central Coast	Separate house		One parent family with children	14186
Central Coast	Separate house		Other family	922
Central West			Couple family with children	69
Central West			Couple family with no children	63
Central West			Group household	10
Central West			Lone-person household	124
Central West			One parent family with children	20
Central West			Other family	6
Central West	(Other)	Cabin household	Couple family with children	3
Central West	(Other)	Cabin household	Couple family with no children	21
Central West	(Other)	Cabin household	Lone-person household	81
Central West	(Other)	Cabin household	One parent family with children	6
Central West	(Other)	Caravan	Couple family with children	3
Central West	(Other)	Caravan	Couple family with no children	27
Central West	(Other)	Caravan	Group household	8
Central West	(Other)	Caravan	Lone-person household	107
Central West	(Other)	Caravan	One parent family with children	5
Central West	(Other)	Caravan	Other family	5
Central West	(Other)	House or flat attached to a shop, office, etc	Couple family with children	103
Central West	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	89
Central West	(Other)	House or flat attached to a shop, office, etc	Group household	16
Central West	(Other)	House or flat attached to a shop, office, etc	Lone-person household	109
Central West	(Other)	House or flat attached to a shop, office, etc	One parent family with children	26
Central West	(Other)	House or flat attached to a shop, office, etc	Other family	3
Central West	(Other)	Improvised home, tent sleepers	Couple family with children	4
Central West	(Other)	Improvised home, tent sleepers	Couple family with no children	3
Central West	(Other)	Improvised home, tent sleepers	Lone-person household	3
Central West	(Other)	Improvised home, tent sleepers	One parent family with children	3
Central West	Flat/apartment		Couple family with children	5
Central West	Flat/apartment		Couple family with no children	15
Central West	Flat/apartment		Lone-person household	27
Central West	Flat/apartment		One parent family with children	3
Central West	Flat/apartment	1 or 2 storey block	Couple family with children	100
Central West	Flat/apartment	1 or 2 storey block	Couple family with no children	294
Central West	Flat/apartment	1 or 2 storey block	Group household	86
Central West	Flat/apartment	1 or 2 storey block	Lone-person household	1507
Central West	Flat/apartment	1 or 2 storey block	One parent family with children	114
Central West	Flat/apartment	1 or 2 storey block	Other family	16
Central West	Flat/apartment	3 storey block	Couple family with no children	8
Central West	Flat/apartment	3 storey block	Group household	13
Central West	Flat/apartment	3 storey block	Lone-person household	70
Central West	Flat/apartment	3 storey block	One parent family with children	6
Central West	Flat/apartment	9 or more storey block	Couple family with children	3
Central West	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	53
Central West	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	99
Central West	Semi-detached, row/terrace house, townhouse etc.		Group household	34
Central West	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	484
Central West	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	95
Central West	Semi-detached, row/terrace house, townhouse etc.		Other family	10
Central West	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	371
Central West	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	827
Central West	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	169
Central West	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	2856
Central West	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	415
Central West	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	50
Central West	Separate house		Couple family with children	20678
Central West	Separate house		Couple family with no children	21521
Central West	Separate house		Group household	1805
Central West	Separate house		Lone-person household	18186
Central West	Separate house		One parent family with children	8490
Central West	Separate house		Other family	695
Coffs Harbour - Grafton			Couple family with children	33
Coffs Harbour - Grafton			Couple family with no children	58
Coffs Harbour - Grafton			Group household	7
Coffs Harbour - Grafton			Lone-person household	109
Coffs Harbour - Grafton			One parent family with children	29
Coffs Harbour - Grafton	(Other)	Cabin household	Couple family with children	21
Coffs Harbour - Grafton	(Other)	Cabin household	Couple family with no children	173
Coffs Harbour - Grafton	(Other)	Cabin household	Group household	15
Coffs Harbour - Grafton	(Other)	Cabin household	Lone-person household	410
Coffs Harbour - Grafton	(Other)	Cabin household	One parent family with children	30
Coffs Harbour - Grafton	(Other)	Cabin household	Other family	4
Coffs Harbour - Grafton	(Other)	Caravan	Couple family with children	14
Coffs Harbour - Grafton	(Other)	Caravan	Couple family with no children	96
Coffs Harbour - Grafton	(Other)	Caravan	Group household	18
Coffs Harbour - Grafton	(Other)	Caravan	Lone-person household	162
Coffs Harbour - Grafton	(Other)	Caravan	One parent family with children	10
Coffs Harbour - Grafton	(Other)	Caravan	Other family	5
Coffs Harbour - Grafton	(Other)	House or flat attached to a shop, office, etc	Couple family with children	48
Coffs Harbour - Grafton	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	61
Coffs Harbour - Grafton	(Other)	House or flat attached to a shop, office, etc	Group household	10
Coffs Harbour - Grafton	(Other)	House or flat attached to a shop, office, etc	Lone-person household	54
Coffs Harbour - Grafton	(Other)	House or flat attached to a shop, office, etc	One parent family with children	15
Coffs Harbour - Grafton	(Other)	House or flat attached to a shop, office, etc	Other family	5
Coffs Harbour - Grafton	(Other)	Improvised home, tent sleepers	Couple family with children	3
Coffs Harbour - Grafton	(Other)	Improvised home, tent sleepers	Couple family with no children	5
Coffs Harbour - Grafton	(Other)	Improvised home, tent sleepers	Lone-person household	17
Coffs Harbour - Grafton	Flat/apartment		Couple family with children	17
Coffs Harbour - Grafton	Flat/apartment		Couple family with no children	30
Coffs Harbour - Grafton	Flat/apartment		Group household	9
Coffs Harbour - Grafton	Flat/apartment		Lone-person household	68
Coffs Harbour - Grafton	Flat/apartment		One parent family with children	8
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	Couple family with children	261
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	Couple family with no children	488
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	Group household	139
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	Lone-person household	1812
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	One parent family with children	395
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	Other family	47
Coffs Harbour - Grafton	Flat/apartment	3 storey block	Couple family with children	43
Coffs Harbour - Grafton	Flat/apartment	3 storey block	Couple family with no children	102
Coffs Harbour - Grafton	Flat/apartment	3 storey block	Group household	23
Coffs Harbour - Grafton	Flat/apartment	3 storey block	Lone-person household	235
Coffs Harbour - Grafton	Flat/apartment	3 storey block	One parent family with children	66
Coffs Harbour - Grafton	Flat/apartment	3 storey block	Other family	7
Coffs Harbour - Grafton	Flat/apartment	4-8 storey block	Couple family with children	12
Coffs Harbour - Grafton	Flat/apartment	4-8 storey block	Couple family with no children	76
Coffs Harbour - Grafton	Flat/apartment	4-8 storey block	Group household	12
Coffs Harbour - Grafton	Flat/apartment	4-8 storey block	Lone-person household	171
Coffs Harbour - Grafton	Flat/apartment	4-8 storey block	One parent family with children	11
Coffs Harbour - Grafton	Flat/apartment	4-8 storey block	Other family	3
Coffs Harbour - Grafton	Flat/apartment	9 or more storey block	Couple family with children	3
Coffs Harbour - Grafton	Flat/apartment	9 or more storey block	Couple family with no children	47
Coffs Harbour - Grafton	Flat/apartment	9 or more storey block	Group household	4
Coffs Harbour - Grafton	Flat/apartment	9 or more storey block	Lone-person household	53
Coffs Harbour - Grafton	Flat/apartment	9 or more storey block	One parent family with children	6
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	282
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	494
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.		Group household	112
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	795
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	310
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.		Other family	29
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	271
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	643
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	115
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	1610
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	374
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	19
Coffs Harbour - Grafton	Separate house		Couple family with children	12229
Coffs Harbour - Grafton	Separate house		Couple family with no children	15146
Coffs Harbour - Grafton	Separate house		Group household	1484
Coffs Harbour - Grafton	Separate house		Lone-person household	10244
Coffs Harbour - Grafton	Separate house		One parent family with children	5750
Coffs Harbour - Grafton	Separate house		Other family	426
Far West and Orana			Couple family with children	83
Far West and Orana			Couple family with no children	80
Far West and Orana			Group household	17
Far West and Orana			Lone-person household	206
Far West and Orana			One parent family with children	31
Far West and Orana			Other family	3
Far West and Orana	(Other)	Cabin household	Couple family with no children	10
Far West and Orana	(Other)	Cabin household	Group household	5
Far West and Orana	(Other)	Cabin household	Lone-person household	18
Far West and Orana	(Other)	Caravan	Couple family with children	11
Far West and Orana	(Other)	Caravan	Couple family with no children	24
Far West and Orana	(Other)	Caravan	Group household	3
Far West and Orana	(Other)	Caravan	Lone-person household	70
Far West and Orana	(Other)	Caravan	One parent family with children	4
Far West and Orana	(Other)	House or flat attached to a shop, office, etc	Couple family with children	21
Far West and Orana	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	27
Far West and Orana	(Other)	House or flat attached to a shop, office, etc	Group household	4
Far West and Orana	(Other)	House or flat attached to a shop, office, etc	Lone-person household	37
Far West and Orana	(Other)	House or flat attached to a shop, office, etc	One parent family with children	13
Far West and Orana	(Other)	Improvised home, tent sleepers	Couple family with children	10
Far West and Orana	(Other)	Improvised home, tent sleepers	Couple family with no children	54
Far West and Orana	(Other)	Improvised home, tent sleepers	Group household	17
Far West and Orana	(Other)	Improvised home, tent sleepers	Lone-person household	127
Far West and Orana	(Other)	Improvised home, tent sleepers	One parent family with children	12
Far West and Orana	Flat/apartment		Couple family with children	4
Far West and Orana	Flat/apartment		Couple family with no children	9
Far West and Orana	Flat/apartment		Group household	3
Far West and Orana	Flat/apartment		Lone-person household	4
Far West and Orana	Flat/apartment		One parent family with children	6
Far West and Orana	Flat/apartment	1 or 2 storey block	Couple family with children	140
Far West and Orana	Flat/apartment	1 or 2 storey block	Couple family with no children	251
Far West and Orana	Flat/apartment	1 or 2 storey block	Group household	63
Far West and Orana	Flat/apartment	1 or 2 storey block	Lone-person household	1112
Far West and Orana	Flat/apartment	1 or 2 storey block	One parent family with children	82
Far West and Orana	Flat/apartment	1 or 2 storey block	Other family	11
Far West and Orana	Flat/apartment	3 storey block	Couple family with no children	4
Far West and Orana	Flat/apartment	3 storey block	Lone-person household	11
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	17
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	19
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.		Group household	5
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	46
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	11
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	167
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	418
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	62
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	1196
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	163
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	23
Far West and Orana	Separate house		Couple family with children	9930
Far West and Orana	Separate house		Couple family with no children	10470
Far West and Orana	Separate house		Group household	1029
Far West and Orana	Separate house		Lone-person household	10063
Far West and Orana	Separate house		One parent family with children	5047
Far West and Orana	Separate house		Other family	478
Hunter Valley exc Newcastle			Couple family with children	46
Hunter Valley exc Newcastle			Couple family with no children	65
Hunter Valley exc Newcastle			Group household	13
Hunter Valley exc Newcastle			Lone-person household	127
Hunter Valley exc Newcastle			One parent family with children	18
Hunter Valley exc Newcastle			Other family	5
Hunter Valley exc Newcastle	(Other)	Cabin household	Couple family with children	22
Hunter Valley exc Newcastle	(Other)	Cabin household	Couple family with no children	101
Hunter Valley exc Newcastle	(Other)	Cabin household	Group household	28
Hunter Valley exc Newcastle	(Other)	Cabin household	Lone-person household	183
Hunter Valley exc Newcastle	(Other)	Cabin household	One parent family with children	36
Hunter Valley exc Newcastle	(Other)	Cabin household	Other family	11
Hunter Valley exc Newcastle	(Other)	Caravan	Couple family with children	5
Hunter Valley exc Newcastle	(Other)	Caravan	Couple family with no children	75
Hunter Valley exc Newcastle	(Other)	Caravan	Group household	19
Hunter Valley exc Newcastle	(Other)	Caravan	Lone-person household	312
Hunter Valley exc Newcastle	(Other)	Caravan	One parent family with children	21
Hunter Valley exc Newcastle	(Other)	Caravan	Other family	4
Hunter Valley exc Newcastle	(Other)	House or flat attached to a shop, office, etc	Couple family with children	8
Hunter Valley exc Newcastle	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	35
Hunter Valley exc Newcastle	(Other)	House or flat attached to a shop, office, etc	Group household	9
Hunter Valley exc Newcastle	(Other)	House or flat attached to a shop, office, etc	Lone-person household	69
Hunter Valley exc Newcastle	(Other)	House or flat attached to a shop, office, etc	One parent family with children	18
Hunter Valley exc Newcastle	(Other)	House or flat attached to a shop, office, etc	Other family	4
Hunter Valley exc Newcastle	(Other)	Improvised home, tent sleepers	Couple family with children	8
Hunter Valley exc Newcastle	(Other)	Improvised home, tent sleepers	Lone-person household	14
Hunter Valley exc Newcastle	(Other)	Improvised home, tent sleepers	One parent family with children	4
Hunter Valley exc Newcastle	Flat/apartment		Couple family with children	29
Hunter Valley exc Newcastle	Flat/apartment		Couple family with no children	55
Hunter Valley exc Newcastle	Flat/apartment		Group household	8
Hunter Valley exc Newcastle	Flat/apartment		Lone-person household	67
Hunter Valley exc Newcastle	Flat/apartment		One parent family with children	32
Hunter Valley exc Newcastle	Flat/apartment		Other family	3
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	Couple family with children	81
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	Couple family with no children	221
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	Group household	58
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	Lone-person household	1060
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	One parent family with children	135
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	Other family	18
Hunter Valley exc Newcastle	Flat/apartment	3 storey block	Couple family with children	13
Hunter Valley exc Newcastle	Flat/apartment	3 storey block	Couple family with no children	69
Hunter Valley exc Newcastle	Flat/apartment	3 storey block	Group household	12
Hunter Valley exc Newcastle	Flat/apartment	3 storey block	Lone-person household	132
Hunter Valley exc Newcastle	Flat/apartment	3 storey block	One parent family with children	19
Hunter Valley exc Newcastle	Flat/apartment	4-8 storey block	Couple family with children	22
Hunter Valley exc Newcastle	Flat/apartment	4-8 storey block	Couple family with no children	173
Hunter Valley exc Newcastle	Flat/apartment	4-8 storey block	Group household	18
Hunter Valley exc Newcastle	Flat/apartment	4-8 storey block	Lone-person household	211
Hunter Valley exc Newcastle	Flat/apartment	4-8 storey block	One parent family with children	40
Hunter Valley exc Newcastle	Flat/apartment	4-8 storey block	Other family	4
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	364
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	787
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.		Group household	112
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	1380
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	464
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.		Other family	30
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	671
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	1548
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	211
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	3914
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	928
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	69
Hunter Valley exc Newcastle	Separate house		Couple family with children	30833
Hunter Valley exc Newcastle	Separate house		Couple family with no children	28330
Hunter Valley exc Newcastle	Separate house		Group household	2131
Hunter Valley exc Newcastle	Separate house		Lone-person household	18774
Hunter Valley exc Newcastle	Separate house		One parent family with children	12052
Hunter Valley exc Newcastle	Separate house		Other family	842
Illawarra			Couple family with children	44
Illawarra			Couple family with no children	38
Illawarra			Group household	9
Illawarra			Lone-person household	97
Illawarra			One parent family with children	25
Illawarra	(Other)	Cabin household	Couple family with children	12
Illawarra	(Other)	Cabin household	Couple family with no children	51
Illawarra	(Other)	Cabin household	Group household	6
Illawarra	(Other)	Cabin household	Lone-person household	148
Illawarra	(Other)	Cabin household	One parent family with children	17
Illawarra	(Other)	Cabin household	Other family	10
Illawarra	(Other)	Caravan	Couple family with children	9
Illawarra	(Other)	Caravan	Couple family with no children	71
Illawarra	(Other)	Caravan	Group household	7
Illawarra	(Other)	Caravan	Lone-person household	204
Illawarra	(Other)	Caravan	One parent family with children	21
Illawarra	(Other)	House or flat attached to a shop, office, etc	Couple family with children	66
Illawarra	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	82
Illawarra	(Other)	House or flat attached to a shop, office, etc	Group household	31
Illawarra	(Other)	House or flat attached to a shop, office, etc	Lone-person household	160
Illawarra	(Other)	House or flat attached to a shop, office, etc	One parent family with children	38
Illawarra	(Other)	House or flat attached to a shop, office, etc	Other family	10
Illawarra	Flat/apartment		Couple family with children	88
Illawarra	Flat/apartment		Couple family with no children	110
Illawarra	Flat/apartment		Group household	16
Illawarra	Flat/apartment		Lone-person household	139
Illawarra	Flat/apartment		One parent family with children	49
Illawarra	Flat/apartment		Other family	3
Illawarra	Flat/apartment	1 or 2 storey block	Couple family with children	695
Illawarra	Flat/apartment	1 or 2 storey block	Couple family with no children	1298
Illawarra	Flat/apartment	1 or 2 storey block	Group household	429
Illawarra	Flat/apartment	1 or 2 storey block	Lone-person household	3697
Illawarra	Flat/apartment	1 or 2 storey block	One parent family with children	745
Illawarra	Flat/apartment	1 or 2 storey block	Other family	94
Illawarra	Flat/apartment	3 storey block	Couple family with children	270
Illawarra	Flat/apartment	3 storey block	Couple family with no children	732
Illawarra	Flat/apartment	3 storey block	Group household	366
Illawarra	Flat/apartment	3 storey block	Lone-person household	1625
Illawarra	Flat/apartment	3 storey block	One parent family with children	279
Illawarra	Flat/apartment	3 storey block	Other family	38
Illawarra	Flat/apartment	4-8 storey block	Couple family with children	369
Illawarra	Flat/apartment	4-8 storey block	Couple family with no children	1381
Illawarra	Flat/apartment	4-8 storey block	Group household	389
Illawarra	Flat/apartment	4-8 storey block	Lone-person household	1766
Illawarra	Flat/apartment	4-8 storey block	One parent family with children	274
Illawarra	Flat/apartment	4-8 storey block	Other family	60
Illawarra	Flat/apartment	9 or more storey block	Couple family with children	219
Illawarra	Flat/apartment	9 or more storey block	Couple family with no children	775
Illawarra	Flat/apartment	9 or more storey block	Group household	224
Illawarra	Flat/apartment	9 or more storey block	Lone-person household	746
