SA4_NAME16	MotorVehicles.min	occupied_private_dwellings
Adelaide - Central and Hills		1156
Adelaide - Central and Hills	0	10583
Adelaide - Central and Hills	1	45560
Adelaide - Central and Hills	2	43713
Adelaide - Central and Hills	3	13599
Adelaide - Central and Hills	4	7896
Adelaide - North		2293
Adelaide - North	0	11788
Adelaide - North	1	59230
Adelaide - North	2	61312
Adelaide - North	3	20970
Adelaide - North	4	11685
Adelaide - South		1520
Adelaide - South	0	9267
Adelaide - South	1	53215
Adelaide - South	2	56251
Adelaide - South	3	17825
Adelaide - South	4	9432
Adelaide - West		1158
Adelaide - West	0	8952
Adelaide - West	1	38648
Adelaide - West	2	34369
Adelaide - West	3	10383
Adelaide - West	4	5245
Barossa - Yorke - Mid North		745
Barossa - Yorke - Mid North	0	2085
Barossa - Yorke - Mid North	1	14800
Barossa - Yorke - Mid North	2	16760
Barossa - Yorke - Mid North	3	6892
Barossa - Yorke - Mid North	4	4743
South Australia - Outback		774
South Australia - Outback	0	2718
South Australia - Outback	1	10843
South Australia - Outback	2	10880
South Australia - Outback	3	4109
South Australia - Outback	4	2353
South Australia - South East		1274
South Australia - South East	0	3805
South Australia - South East	1	26222
South Australia - South East	2	27924
South Australia - South East	3	11171
South Australia - South East	4	7190
Bunbury		1107
Bunbury	0	2473
Bunbury	1	22327
Bunbury	2	27744
Bunbury	3	10474
Bunbury	4	5842
Mandurah		662
Mandurah	0	1947
Mandurah	1	15863
Mandurah	2	15176
Mandurah	3	5248
Mandurah	4	2852
Perth - Inner		708
Perth - Inner	0	6868
Perth - Inner	1	31627
Perth - Inner	2	24248
Perth - Inner	3	6307
Perth - Inner	4	3010
Perth - North East		1234
Perth - North East	0	4494
Perth - North East	1	32652
Perth - North East	2	39572
Perth - North East	3	13924
Perth - North East	4	8405
Perth - North West		2397
Perth - North West	0	8484
Perth - North West	1	70356
Perth - North West	2	87186
Perth - North West	3	28003
Perth - North West	4	14957
Perth - South East		2457
Perth - South East	0	9039
Perth - South East	1	63873
Perth - South East	2	74431
Perth - South East	3	25575
Perth - South East	4	14674
Perth - South West		1924
Perth - South West	0	7327
Perth - South West	1	55329
Perth - South West	2	65996
Perth - South West	3	20968
Perth - South West	4	10866
Western Australia - Wheat Belt		1006
Western Australia - Wheat Belt	0	1847
Western Australia - Wheat Belt	1	15139
Western Australia - Wheat Belt	2	18559
Western Australia - Wheat Belt	3	8264
Western Australia - Wheat Belt	4	6045
Western Australia - Outback (North)		753
Western Australia - Outback (North)	0	2459
Western Australia - Outback (North)	1	7442
Western Australia - Outback (North)	2	8740
Western Australia - Outback (North)	3	3335
Western Australia - Outback (North)	4	1708
Western Australia - Outback (South)		923
Western Australia - Outback (South)	0	2173
Western Australia - Outback (South)	1	13253
Western Australia - Outback (South)	2	15127
Western Australia - Outback (South)	3	5799
Western Australia - Outback (South)	4	3562
Hobart		1206
Hobart	0	6549
Hobart	1	34159
Hobart	2	33276
Hobart	3	12249
Hobart	4	7531
Launceston and North East		1109
Launceston and North East	0	3370
Launceston and North East	1	20614
Launceston and North East	2	21214
Launceston and North East	3	8662
Launceston and North East	4	5380
South East		279
South East	0	416
South East	1	4603
South East	2	6217
South East	3	2755
South East	4	1924
West and North West		768
West and North West	0	2679
West and North West	1	16315
West and North West	2	16577
West and North West	3	6574
West and North West	4	3971
Darwin		968
Darwin	0	2579
Darwin	1	15735
Darwin	2	18287
Darwin	3	6310
Darwin	4	3413
Northern Territory - Outback		797
Northern Territory - Outback	0	5045
Northern Territory - Outback	1	8224
Northern Territory - Outback	2	6061
Northern Territory - Outback	3	2095
Northern Territory - Outback	4	1136
Australian Capital Territory		1484
Australian Capital Territory	0	9273
Australian Capital Territory	1	65446
Australian Capital Territory	2	64634
Australian Capital Territory	3	18290
Australian Capital Territory	4	9278
Other Territories		61
Other Territories	0	62
Other Territories	1	558
Other Territories	2	524
Other Territories	3	208
Other Territories	4	115
