SA4_NAME21	AgeStudent	students
Cairns	15-19	9980
Cairns	20-24	2826
Cairns	25+	9263
Darling Downs - Maranoa	0-4	1546
Darling Downs - Maranoa	5-14	15767
Darling Downs - Maranoa	15-19	4541
Darling Downs - Maranoa	20-24	1047
Darling Downs - Maranoa	25+	2908
Central Queensland	0-4	3468
Central Queensland	5-14	30319
Central Queensland	15-19	9228
Central Queensland	20-24	2337
Central Queensland	25+	6456
Gold Coast	0-4	10606
Gold Coast	5-14	73075
Gold Coast	15-19	28192
Gold Coast	20-24	14826
Gold Coast	25+	28284
Ipswich	0-4	6465
Ipswich	5-14	50602
Ipswich	15-19	16773
Ipswich	20-24	6302
Ipswich	25+	13639
Logan - Beaudesert	0-4	6247
Logan - Beaudesert	5-14	49336
Logan - Beaudesert	15-19	16393
Logan - Beaudesert	20-24	5838
Logan - Beaudesert	25+	12202
Mackay - Isaac - Whitsunday	0-4	2643
Mackay - Isaac - Whitsunday	5-14	22310
Mackay - Isaac - Whitsunday	15-19	6570
Mackay - Isaac - Whitsunday	20-24	1750
Mackay - Isaac - Whitsunday	25+	4894
Moreton Bay - North	0-4	3898
Moreton Bay - North	5-14	31237
Moreton Bay - North	15-19	10670
Moreton Bay - North	20-24	3235
Moreton Bay - North	25+	7806
Moreton Bay - South	0-4	4355
Moreton Bay - South	5-14	31534
Moreton Bay - South	15-19	11279
Moreton Bay - South	20-24	4207
Moreton Bay - South	25+	8615
Queensland - Outback	0-4	1121
Queensland - Outback	5-14	10143
Queensland - Outback	15-19	2147
Queensland - Outback	20-24	475
Queensland - Outback	25+	1908
Sunshine Coast	0-4	5761
Sunshine Coast	5-14	45756
Sunshine Coast	15-19	16957
Sunshine Coast	20-24	6090
Sunshine Coast	25+	14049
Toowoomba	0-4	2520
Toowoomba	5-14	20942
Toowoomba	15-19	7946
Toowoomba	20-24	3173
Toowoomba	25+	7022
Townsville	0-4	3530
Townsville	5-14	28404
Townsville	15-19	10355
Townsville	20-24	4484
Townsville	25+	8224
Wide Bay	0-4	3355
Wide Bay	5-14	32857
Wide Bay	15-19	10686
Wide Bay	20-24	2282
Wide Bay	25+	7410
No usual address (Qld)	0-4	63
No usual address (Qld)	5-14	721
No usual address (Qld)	15-19	212
No usual address (Qld)	20-24	112
No usual address (Qld)	25+	369
Adelaide - Central and Hills	0-4	4400
Adelaide - Central and Hills	5-14	33940
Adelaide - Central and Hills	15-19	15810
Adelaide - Central and Hills	20-24	12222
Adelaide - Central and Hills	25+	16126
Adelaide - North	0-4	7099
Adelaide - North	5-14	56221
Adelaide - North	15-19	20347
Adelaide - North	20-24	11173
Adelaide - North	25+	19369
Adelaide - South	0-4	5585
Adelaide - South	5-14	41970
