SA4_NAME16	HomeCensusNight	persons
Queensland - Outback	0	5930
Queensland - Outback	1	73897
Sunshine Coast	0	18147
Sunshine Coast	1	380701
Toowoomba	0	7121
Toowoomba	1	154939
Townsville	0	12473
Townsville	1	221804
Wide Bay	0	16622
Wide Bay	1	291117
Migratory - Offshore - Shipping (Qld)	0	70
Migratory - Offshore - Shipping (Qld)	1	112
No usual address (Qld)	0	14670
Adelaide - Central and Hills	0	11297
Adelaide - Central and Hills	1	301083
Adelaide - North	0	14238
Adelaide - North	1	441464
Adelaide - South	0	14397
Adelaide - South	1	360464
Adelaide - West	0	8539
Adelaide - West	1	235804
Barossa - Yorke - Mid North	0	6601
Barossa - Yorke - Mid North	1	107889
South Australia - Outback	0	5752
South Australia - Outback	1	76893
South Australia - South East	0	11040
South Australia - South East	1	182668
Migratory - Offshore - Shipping (SA)	1	12
No usual address (SA)	0	3377
Bunbury	0	15100
Bunbury	1	173645
Mandurah	0	8559
Mandurah	1	99072
Perth - Inner	0	9725
Perth - Inner	1	172537
Perth - North East	0	13233
Perth - North East	1	263347
Perth - North West	0	25912
Perth - North West	1	551384
Perth - South East	0	22605
Perth - South East	1	506866
Perth - South West	0	22628
Perth - South West	1	420778
Western Australia - Wheat Belt	0	11168
Western Australia - Wheat Belt	1	126013
Western Australia - Outback (North)	0	5807
Western Australia - Outback (North)	1	84314
Western Australia - Outback (South)	0	8787
Western Australia - Outback (South)	1	109964
Migratory - Offshore - Shipping (WA)	0	5
Migratory - Offshore - Shipping (WA)	1	511
No usual address (WA)	0	8055
Hobart	0	10626
Hobart	1	236459
Launceston and North East	0	7326
Launceston and North East	1	143870
South East	0	2590
South East	1	39145
West and North West	0	6411
West and North West	1	109747
Migratory - Offshore - Shipping (Tas.)	1	16
No usual address (Tas.)	0	1377
Darwin	0	7997
Darwin	1	131901
Northern Territory - Outback	0	5477
Northern Territory - Outback	1	83626
Migratory - Offshore - Shipping (NT)	1	95
No usual address (NT)	0	3500
Australian Capital Territory	0	15636
Australian Capital Territory	1	438251
No usual address (ACT)	0	605
Other Territories	0	275
Other Territories	1	4505
No usual address (OT)	0	11
