SA4_NAME16	HomeCensusNight	Sex	persons
Western Australia - Outback (South)	0	F	3715
Western Australia - Outback (South)	0	M	5073
Western Australia - Outback (South)	1	F	53460
Western Australia - Outback (South)	1	M	56505
Migratory - Offshore - Shipping (WA)	0	M	3
Migratory - Offshore - Shipping (WA)	1	F	57
Migratory - Offshore - Shipping (WA)	1	M	455
No usual address (WA)	0	F	3416
No usual address (WA)	0	M	4639
Hobart	0	F	5205
Hobart	0	M	5419
Hobart	1	F	121355
Hobart	1	M	115100
Launceston and North East	0	F	3492
Launceston and North East	0	M	3837
Launceston and North East	1	F	73368
Launceston and North East	1	M	70503
South East	0	F	1220
South East	0	M	1370
South East	1	F	19195
South East	1	M	19950
West and North West	0	F	2990
West and North West	0	M	3418
West and North West	1	F	56353
West and North West	1	M	53393
Migratory - Offshore - Shipping (Tas.)	1	M	13
No usual address (Tas.)	0	F	616
No usual address (Tas.)	0	M	758
Darwin	0	F	3318
Darwin	0	M	4678
Darwin	1	F	65841
Darwin	1	M	66061
Northern Territory - Outback	0	F	2760
Northern Territory - Outback	0	M	2713
Northern Territory - Outback	1	F	41463
Northern Territory - Outback	1	M	42163
Migratory - Offshore - Shipping (NT)	1	F	15
Migratory - Offshore - Shipping (NT)	1	M	84
No usual address (NT)	0	F	1675
No usual address (NT)	0	M	1826
Australian Capital Territory	0	F	7668
Australian Capital Territory	0	M	7963
Australian Capital Territory	1	F	222200
Australian Capital Territory	1	M	216056
No usual address (ACT)	0	F	273
No usual address (ACT)	0	M	336
Other Territories	0	F	139
Other Territories	0	M	136
Other Territories	1	F	2129
Other Territories	1	M	2376
No usual address (OT)	0	F	4
No usual address (OT)	0	M	6
