SA4_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Coffs Harbour - Grafton	Separate house		2	5214
Coffs Harbour - Grafton	Separate house		3	20450
Coffs Harbour - Grafton	Separate house		4	14093
Coffs Harbour - Grafton	Separate house		5	2848
Coffs Harbour - Grafton	Separate house		6	700
Far West and Orana				49
Far West and Orana			0	15
Far West and Orana			1	69
Far West and Orana			2	85
Far West and Orana			3	93
Far West and Orana			4	63
Far West and Orana			5	30
Far West and Orana			6	15
Far West and Orana		1 storey		68
Far West and Orana		1 storey	0	6
Far West and Orana		1 storey	1	273
Far West and Orana		1 storey	2	1221
Far West and Orana		1 storey	3	360
Far West and Orana		1 storey	4	78
Far West and Orana		1 storey	5	14
Far West and Orana		1 storey	6	6
Far West and Orana		2 storeys or more	1	11
Far West and Orana		2 storeys or more	2	48
Far West and Orana		2 storeys or more	3	24
Far West and Orana		2 storeys or more	4	5
Far West and Orana		2 storeys or more	6	6
Far West and Orana	(Other)			44
Far West and Orana	(Other)		0	41
Far West and Orana	(Other)		1	127
Far West and Orana	(Other)		2	123
Far West and Orana	(Other)		3	89
Far West and Orana	(Other)		4	30
Far West and Orana	(Other)		5	9
Far West and Orana	(Other)		6	6
Far West and Orana	Flat/apartment	1 or 2 storey block		52
Far West and Orana	Flat/apartment	1 or 2 storey block	0	25
Far West and Orana	Flat/apartment	1 or 2 storey block	1	500
Far West and Orana	Flat/apartment	1 or 2 storey block	2	928
Far West and Orana	Flat/apartment	1 or 2 storey block	3	110
Far West and Orana	Flat/apartment	1 or 2 storey block	4	21
Far West and Orana	Flat/apartment	1 or 2 storey block	6	3
Far West and Orana	Flat/apartment	3 storey block	1	5
Far West and Orana	Flat/apartment	3 storey block	2	6
Far West and Orana	Flat/apartment	Attached to a house	1	3
Far West and Orana	Flat/apartment	Attached to a house	2	8
Far West and Orana	Flat/apartment	Attached to a house	3	3
Far West and Orana	Flat/apartment	Attached to a house	4	9
Far West and Orana	Separate house			768
Far West and Orana	Separate house		0	101
Far West and Orana	Separate house		1	694
Far West and Orana	Separate house		2	4328
Far West and Orana	Separate house		3	16634
Far West and Orana	Separate house		4	11845
Far West and Orana	Separate house		5	2126
Far West and Orana	Separate house		6	526
Hunter Valley exc Newcastle				16
Hunter Valley exc Newcastle			0	13
Hunter Valley exc Newcastle			1	60
Hunter Valley exc Newcastle			2	72
Hunter Valley exc Newcastle			3	72
Hunter Valley exc Newcastle			4	37
Hunter Valley exc Newcastle			5	14
Hunter Valley exc Newcastle			6	3
Hunter Valley exc Newcastle		1 storey		143
Hunter Valley exc Newcastle		1 storey	0	6
Hunter Valley exc Newcastle		1 storey	1	563
Hunter Valley exc Newcastle		1 storey	2	3712
Hunter Valley exc Newcastle		1 storey	3	2597
Hunter Valley exc Newcastle		1 storey	4	286
Hunter Valley exc Newcastle		1 storey	5	19
Hunter Valley exc Newcastle		1 storey	6	7
Hunter Valley exc Newcastle		2 storeys or more		57
Hunter Valley exc Newcastle		2 storeys or more	0	3
Hunter Valley exc Newcastle		2 storeys or more	1	336
Hunter Valley exc Newcastle		2 storeys or more	2	891
Hunter Valley exc Newcastle		2 storeys or more	3	1453
Hunter Valley exc Newcastle		2 storeys or more	4	359
Hunter Valley exc Newcastle		2 storeys or more	5	27
Hunter Valley exc Newcastle		2 storeys or more	6	16
Hunter Valley exc Newcastle	(Other)			42
Hunter Valley exc Newcastle	(Other)		0	85
Hunter Valley exc Newcastle	(Other)		1	358
Hunter Valley exc Newcastle	(Other)		2	340
Hunter Valley exc Newcastle	(Other)		3	116
Hunter Valley exc Newcastle	(Other)		4	27
Hunter Valley exc Newcastle	(Other)		5	3
Hunter Valley exc Newcastle	(Other)		6	5
Hunter Valley exc Newcastle	Flat/apartment		0	4
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block		54
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	0	17
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	1	510
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	2	756
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	3	192
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	4	31
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	5	6
Hunter Valley exc Newcastle	Flat/apartment	1 or 2 storey block	6	3
Hunter Valley exc Newcastle	Flat/apartment	3 storey block		5
Hunter Valley exc Newcastle	Flat/apartment	3 storey block	1	21
Hunter Valley exc Newcastle	Flat/apartment	3 storey block	2	142
Hunter Valley exc Newcastle	Flat/apartment	3 storey block	3	76
Hunter Valley exc Newcastle	Flat/apartment	3 storey block	4	3
Hunter Valley exc Newcastle	Flat/apartment	4-8 storey block		3
Hunter Valley exc Newcastle	Flat/apartment	4-8 storey block	1	28
Hunter Valley exc Newcastle	Flat/apartment	4-8 storey block	2	278
Hunter Valley exc Newcastle	Flat/apartment	4-8 storey block	3	147
Hunter Valley exc Newcastle	Flat/apartment	4-8 storey block	4	13
Hunter Valley exc Newcastle	Flat/apartment	Attached to a house	1	28
Hunter Valley exc Newcastle	Flat/apartment	Attached to a house	2	80
Hunter Valley exc Newcastle	Flat/apartment	Attached to a house	3	42
Hunter Valley exc Newcastle	Flat/apartment	Attached to a house	4	29
Hunter Valley exc Newcastle	Flat/apartment	Attached to a house	5	7
Hunter Valley exc Newcastle	Flat/apartment	Attached to a house	6	6
Hunter Valley exc Newcastle	Separate house			1077
Hunter Valley exc Newcastle	Separate house		0	162
Hunter Valley exc Newcastle	Separate house		1	1089
Hunter Valley exc Newcastle	Separate house		2	8389
Hunter Valley exc Newcastle	Separate house		3	37491
Hunter Valley exc Newcastle	Separate house		4	36942
Hunter Valley exc Newcastle	Separate house		5	6407
Hunter Valley exc Newcastle	Separate house		6	1403
Illawarra				19
Illawarra			0	10
Illawarra			1	40
Illawarra			2	58
Illawarra			3	58
Illawarra			4	11
Illawarra			5	4
Illawarra			6	9
Illawarra		1 storey		117
Illawarra		1 storey	0	40
Illawarra		1 storey	1	554
Illawarra		1 storey	2	2890
Illawarra		1 storey	3	2308
Illawarra		1 storey	4	225
Illawarra		1 storey	5	31
Illawarra		1 storey	6	5
Illawarra		2 storeys or more		116
Illawarra		2 storeys or more	0	13
Illawarra		2 storeys or more	1	596
Illawarra		2 storeys or more	2	2640
Illawarra		2 storeys or more	3	4781
Illawarra		2 storeys or more	4	594
Illawarra		2 storeys or more	5	44
Illawarra		2 storeys or more	6	17
Illawarra	(Other)			27
Illawarra	(Other)		0	26
Illawarra	(Other)		1	245
Illawarra	(Other)		2	451
Illawarra	(Other)		3	125
Illawarra	(Other)		4	38
Illawarra	(Other)		5	18
Illawarra	(Other)		6	6
Illawarra	Flat/apartment		0	7
Illawarra	Flat/apartment	1 or 2 storey block		133
Illawarra	Flat/apartment	1 or 2 storey block	0	63
Illawarra	Flat/apartment	1 or 2 storey block	1	1379
Illawarra	Flat/apartment	1 or 2 storey block	2	3963
Illawarra	Flat/apartment	1 or 2 storey block	3	1208
Illawarra	Flat/apartment	1 or 2 storey block	4	149
Illawarra	Flat/apartment	1 or 2 storey block	5	34
Illawarra	Flat/apartment	1 or 2 storey block	6	16
Illawarra	Flat/apartment	3 storey block		56
Illawarra	Flat/apartment	3 storey block	0	18
Illawarra	Flat/apartment	3 storey block	1	390
Illawarra	Flat/apartment	3 storey block	2	2273
Illawarra	Flat/apartment	3 storey block	3	535
Illawarra	Flat/apartment	3 storey block	4	26
Illawarra	Flat/apartment	3 storey block	5	3
Illawarra	Flat/apartment	4-8 storey block		61
Illawarra	Flat/apartment	4-8 storey block	0	27
Illawarra	Flat/apartment	4-8 storey block	1	561
Illawarra	Flat/apartment	4-8 storey block	2	2535
Illawarra	Flat/apartment	4-8 storey block	3	1015
Illawarra	Flat/apartment	4-8 storey block	4	35
Illawarra	Flat/apartment	4-8 storey block	6	3
Illawarra	Flat/apartment	9 or more storey block		23
Illawarra	Flat/apartment	9 or more storey block	0	12
Illawarra	Flat/apartment	9 or more storey block	1	242
Illawarra	Flat/apartment	9 or more storey block	2	1103
Illawarra	Flat/apartment	9 or more storey block	3	657
Illawarra	Flat/apartment	9 or more storey block	4	37
Illawarra	Flat/apartment	Attached to a house		7
Illawarra	Flat/apartment	Attached to a house	1	79
Illawarra	Flat/apartment	Attached to a house	2	139
Illawarra	Flat/apartment	Attached to a house	3	89
Illawarra	Flat/apartment	Attached to a house	4	61
Illawarra	Flat/apartment	Attached to a house	5	20
Illawarra	Flat/apartment	Attached to a house	6	8
Illawarra	Separate house			858
Illawarra	Separate house		0	88
Illawarra	Separate house		1	771
Illawarra	Separate house		2	6005
Illawarra	Separate house		3	37648
Illawarra	Separate house		4	29995
Illawarra	Separate house		5	6904
Illawarra	Separate house		6	1422
Mid North Coast				58
Mid North Coast			0	8
Mid North Coast			1	63
Mid North Coast			2	100
Mid North Coast			3	62
Mid North Coast			4	20
Mid North Coast			5	3
Mid North Coast			6	6
Mid North Coast		1 storey		275
Mid North Coast		1 storey	0	29
Mid North Coast		1 storey	1	493
Mid North Coast		1 storey	2	3387
Mid North Coast		1 storey	3	2464
Mid North Coast		1 storey	4	177
Mid North Coast		1 storey	5	20
Mid North Coast		1 storey	6	6
Mid North Coast		2 storeys or more		29
Mid North Coast		2 storeys or more	0	3
Mid North Coast		2 storeys or more	1	168
Mid North Coast		2 storeys or more	2	653
Mid North Coast		2 storeys or more	3	884
Mid North Coast		2 storeys or more	4	139
Mid North Coast		2 storeys or more	5	25
Mid North Coast		2 storeys or more	6	5
Mid North Coast	(Other)			205
Mid North Coast	(Other)		0	92
Mid North Coast	(Other)		1	397
Mid North Coast	(Other)		2	454
Mid North Coast	(Other)		3	129
Mid North Coast	(Other)		4	37
Mid North Coast	(Other)		5	8
Mid North Coast	(Other)		6	5
Mid North Coast	Flat/apartment		0	5
Mid North Coast	Flat/apartment	1 or 2 storey block		133
Mid North Coast	Flat/apartment	1 or 2 storey block	0	52
Mid North Coast	Flat/apartment	1 or 2 storey block	1	969
Mid North Coast	Flat/apartment	1 or 2 storey block	2	2381
Mid North Coast	Flat/apartment	1 or 2 storey block	3	632
Mid North Coast	Flat/apartment	1 or 2 storey block	4	42
Mid North Coast	Flat/apartment	1 or 2 storey block	5	12
Mid North Coast	Flat/apartment	1 or 2 storey block	6	10
Mid North Coast	Flat/apartment	3 storey block		28
Mid North Coast	Flat/apartment	3 storey block	0	8
Mid North Coast	Flat/apartment	3 storey block	1	103
Mid North Coast	Flat/apartment	3 storey block	2	864
Mid North Coast	Flat/apartment	3 storey block	3	192
Mid North Coast	Flat/apartment	3 storey block	4	9
Mid North Coast	Flat/apartment	4-8 storey block		31
Mid North Coast	Flat/apartment	4-8 storey block	0	14
Mid North Coast	Flat/apartment	4-8 storey block	1	164
Mid North Coast	Flat/apartment	4-8 storey block	2	823
Mid North Coast	Flat/apartment	4-8 storey block	3	326
Mid North Coast	Flat/apartment	4-8 storey block	4	14
Mid North Coast	Flat/apartment	9 or more storey block		4
Mid North Coast	Flat/apartment	9 or more storey block	1	15
Mid North Coast	Flat/apartment	9 or more storey block	2	103
Mid North Coast	Flat/apartment	9 or more storey block	3	93
Mid North Coast	Flat/apartment	Attached to a house	1	15
Mid North Coast	Flat/apartment	Attached to a house	2	23
Mid North Coast	Flat/apartment	Attached to a house	3	11
Mid North Coast	Flat/apartment	Attached to a house	4	30
Mid North Coast	Flat/apartment	Attached to a house	5	3
Mid North Coast	Separate house			1372
Mid North Coast	Separate house		0	277
Mid North Coast	Separate house		1	1394
Mid North Coast	Separate house		2	9217
Mid North Coast	Separate house		3	34107
Mid North Coast	Separate house		4	22571
Mid North Coast	Separate house		5	4235
Mid North Coast	Separate house		6	981
Murray				41
Murray			0	3
Murray			1	12
Murray			2	47
Murray			3	50
Murray			4	40
Murray			5	11
Murray			6	4
Murray		1 storey		142
Murray		1 storey	0	13
Murray		1 storey	1	634
Murray		1 storey	2	3560
Murray		1 storey	3	745
Murray		1 storey	4	53
Murray		1 storey	5	5
Murray		1 storey	6	7
Murray		2 storeys or more		7
Murray		2 storeys or more	1	126
Murray		2 storeys or more	2	194
Murray		2 storeys or more	3	111
Murray		2 storeys or more	4	18
Murray		2 storeys or more	5	6
Murray	(Other)			36
Murray	(Other)		0	17
Murray	(Other)		1	80
Murray	(Other)		2	81
Murray	(Other)		3	55
Murray	(Other)		4	19
Murray	(Other)		5	5
Murray	(Other)		6	3
Murray	Flat/apartment	1 or 2 storey block		25
Murray	Flat/apartment	1 or 2 storey block	0	5
Murray	Flat/apartment	1 or 2 storey block	1	112
Murray	Flat/apartment	1 or 2 storey block	2	196
Murray	Flat/apartment	1 or 2 storey block	3	39
Murray	Flat/apartment	1 or 2 storey block	4	3
Murray	Flat/apartment	1 or 2 storey block	6	3
Murray	Flat/apartment	3 storey block	0	4
Murray	Flat/apartment	3 storey block	1	9
Murray	Flat/apartment	3 storey block	2	64
Murray	Flat/apartment	4-8 storey block	2	22
Murray	Flat/apartment	4-8 storey block	3	4
Murray	Flat/apartment	Attached to a house	2	4
Murray	Flat/apartment	Attached to a house	3	3
Murray	Flat/apartment	Attached to a house	4	3
Murray	Separate house			713
Murray	Separate house		0	68
Murray	Separate house		1	472
Murray	Separate house		2	4578
Murray	Separate house		3	19397
Murray	Separate house		4	13335
Murray	Separate house		5	2061
Murray	Separate house		6	432
New England and North West				29
New England and North West			0	20
New England and North West			1	70
New England and North West			2	59
New England and North West			3	72
New England and North West			4	30
New England and North West			5	14
New England and North West			6	21
New England and North West		1 storey		165
New England and North West		1 storey	0	45
New England and North West		1 storey	1	696
New England and North West		1 storey	2	2667
New England and North West		1 storey	3	812
New England and North West		1 storey	4	108
New England and North West		1 storey	5	23
New England and North West		1 storey	6	15
New England and North West		2 storeys or more		16
New England and North West		2 storeys or more	0	5
New England and North West		2 storeys or more	1	156
New England and North West		2 storeys or more	2	401
New England and North West		2 storeys or more	3	128
New England and North West		2 storeys or more	4	20
New England and North West		2 storeys or more	5	3
New England and North West	(Other)			50
New England and North West	(Other)		0	77
New England and North West	(Other)		1	157
New England and North West	(Other)		2	86
New England and North West	(Other)		3	63
New England and North West	(Other)		4	32
New England and North West	(Other)		5	5
New England and North West	(Other)		6	12
New England and North West	Flat/apartment	1 or 2 storey block		41
New England and North West	Flat/apartment	1 or 2 storey block	0	25
New England and North West	Flat/apartment	1 or 2 storey block	1	401
New England and North West	Flat/apartment	1 or 2 storey block	2	632
New England and North West	Flat/apartment	1 or 2 storey block	3	122
New England and North West	Flat/apartment	1 or 2 storey block	4	22
New England and North West	Flat/apartment	1 or 2 storey block	5	4
New England and North West	Flat/apartment	1 or 2 storey block	6	3
New England and North West	Flat/apartment	3 storey block	1	7
New England and North West	Flat/apartment	3 storey block	2	53
New England and North West	Flat/apartment	3 storey block	3	7
New England and North West	Flat/apartment	4-8 storey block	2	23
New England and North West	Flat/apartment	4-8 storey block	3	3
New England and North West	Flat/apartment	Attached to a house	1	14
New England and North West	Flat/apartment	Attached to a house	2	15
New England and North West	Flat/apartment	Attached to a house	3	9
New England and North West	Flat/apartment	Attached to a house	4	3
New England and North West	Flat/apartment	Attached to a house	5	3
New England and North West	Flat/apartment	Attached to a house	6	4
New England and North West	Separate house			1117
New England and North West	Separate house		0	207
New England and North West	Separate house		1	1125
New England and North West	Separate house		2	6682
New England and North West	Separate house		3	27873
New England and North West	Separate house		4	19528
New England and North West	Separate house		5	3925
New England and North West	Separate house		6	997
Newcastle and Lake Macquarie				32
Newcastle and Lake Macquarie			0	18
Newcastle and Lake Macquarie			1	78
Newcastle and Lake Macquarie			2	60
Newcastle and Lake Macquarie			3	44
Newcastle and Lake Macquarie			4	21
Newcastle and Lake Macquarie			5	3
Newcastle and Lake Macquarie			6	6
Newcastle and Lake Macquarie		1 storey		187
Newcastle and Lake Macquarie		1 storey	0	21
Newcastle and Lake Macquarie		1 storey	1	1087
Newcastle and Lake Macquarie		1 storey	2	5384
Newcastle and Lake Macquarie		1 storey	3	2845
Newcastle and Lake Macquarie		1 storey	4	221
Newcastle and Lake Macquarie		1 storey	5	35
Newcastle and Lake Macquarie		1 storey	6	16
Newcastle and Lake Macquarie		2 storeys or more		136
Newcastle and Lake Macquarie		2 storeys or more	0	47
Newcastle and Lake Macquarie		2 storeys or more	1	746
Newcastle and Lake Macquarie		2 storeys or more	2	3122
Newcastle and Lake Macquarie		2 storeys or more	3	4183
Newcastle and Lake Macquarie		2 storeys or more	4	531
Newcastle and Lake Macquarie		2 storeys or more	5	92
Newcastle and Lake Macquarie		2 storeys or more	6	27
Newcastle and Lake Macquarie	(Other)			26
Newcastle and Lake Macquarie	(Other)		0	44
Newcastle and Lake Macquarie	(Other)		1	219
Newcastle and Lake Macquarie	(Other)		2	247
