SA4_NAME21	AgeStudent	Sex	students
Sydney - Ryde	0-4	M	1805
Sydney - Ryde	5-14	F	11053
Sydney - Ryde	5-14	M	11701
Sydney - Ryde	15-19	F	4597
Sydney - Ryde	15-19	M	4852
Sydney - Ryde	20-24	F	3808
Sydney - Ryde	20-24	M	3873
Sydney - Ryde	25+	F	6635
Sydney - Ryde	25+	M	4771
Sydney - South West	0-4	F	3845
Sydney - South West	0-4	M	4155
Sydney - South West	5-14	F	29792
Sydney - South West	5-14	M	31536
Sydney - South West	15-19	F	12845
Sydney - South West	15-19	M	12753
Sydney - South West	20-24	F	7176
Sydney - South West	20-24	M	6404
Sydney - South West	25+	F	10983
Sydney - South West	25+	M	7100
Sydney - Sutherland	0-4	F	2283
Sydney - Sutherland	0-4	M	2388
Sydney - Sutherland	5-14	F	13553
Sydney - Sutherland	5-14	M	14581
Sydney - Sutherland	15-19	F	5938
Sydney - Sutherland	15-19	M	6120
Sydney - Sutherland	20-24	F	2857
Sydney - Sutherland	20-24	M	2673
Sydney - Sutherland	25+	F	4532
Sydney - Sutherland	25+	M	2845
No usual address (NSW)	0-4	F	29
No usual address (NSW)	0-4	M	33
No usual address (NSW)	5-14	F	218
No usual address (NSW)	5-14	M	210
No usual address (NSW)	15-19	F	108
No usual address (NSW)	15-19	M	78
No usual address (NSW)	20-24	F	75
No usual address (NSW)	20-24	M	59
No usual address (NSW)	25+	F	208
No usual address (NSW)	25+	M	121
Ballarat	0-4	F	1406
Ballarat	0-4	M	1393
Ballarat	5-14	F	9821
Ballarat	5-14	M	10424
Ballarat	15-19	F	3770
Ballarat	15-19	M	3748
Ballarat	20-24	F	1792
Ballarat	20-24	M	1322
Ballarat	25+	F	3904
Ballarat	25+	M	2080
Bendigo	0-4	F	1237
Bendigo	0-4	M	1331
Bendigo	5-14	F	9425
Bendigo	5-14	M	10011
Bendigo	15-19	F	3556
Bendigo	15-19	M	3444
Bendigo	20-24	F	1649
Bendigo	20-24	M	1234
Bendigo	25+	F	3520
Bendigo	25+	M	1791
Geelong	0-4	F	2789
Geelong	0-4	M	2985
Geelong	5-14	F	18366
Geelong	5-14	M	19503
Geelong	15-19	F	7294
Geelong	15-19	M	7278
Geelong	20-24	F	4344
Geelong	20-24	M	3769
Geelong	25+	F	7606
Geelong	25+	M	4833
Hume	0-4	F	1386
Hume	0-4	M	1360
Hume	5-14	F	10024
Hume	5-14	M	10459
Hume	15-19	F	3784
Hume	15-19	M	3793
Hume	20-24	F	1271
Hume	20-24	M	1062
Hume	25+	F	3699
Hume	25+	M	1784
Latrobe - Gippsland	0-4	F	2061
Latrobe - Gippsland	0-4	M	2214
Latrobe - Gippsland	5-14	F	15578
Latrobe - Gippsland	5-14	M	16678
Latrobe - Gippsland	15-19	F	5761
Latrobe - Gippsland	15-19	M	5574
Latrobe - Gippsland	20-24	F	1962
Latrobe - Gippsland	20-24	M	1413
Latrobe - Gippsland	25+	F	5614
Latrobe - Gippsland	25+	M	2386
Melbourne - Inner	0-4	F	3610
Melbourne - Inner	0-4	M	3683
Melbourne - Inner	5-14	F	19782
Melbourne - Inner	5-14	M	20349
Melbourne - Inner	15-19	F	10731
Melbourne - Inner	15-19	M	9624
Melbourne - Inner	20-24	F	17814
Melbourne - Inner	20-24	M	15031
Melbourne - Inner	25+	F	28761
Melbourne - Inner	25+	M	21570
Melbourne - Inner East	0-4	F	2768
Melbourne - Inner East	0-4	M	2891
Melbourne - Inner East	5-14	F	20338
Melbourne - Inner East	5-14	M	21212
Melbourne - Inner East	15-19	F	10823
Melbourne - Inner East	15-19	M	11143
Melbourne - Inner East	20-24	F	8152
Melbourne - Inner East	20-24	M	8583
Melbourne - Inner East	25+	F	10124
Melbourne - Inner East	25+	M	7855
Melbourne - Inner South	0-4	F	3739
Melbourne - Inner South	0-4	M	3839
Melbourne - Inner South	5-14	F	24281
Melbourne - Inner South	5-14	M	25534
Melbourne - Inner South	15-19	F	11297
Melbourne - Inner South	15-19	M	11477
Melbourne - Inner South	20-24	F	7097
Melbourne - Inner South	20-24	M	7030
Melbourne - Inner South	25+	F	9984
Melbourne - Inner South	25+	M	6814
Melbourne - North East	0-4	F	5099
Melbourne - North East	0-4	M	5585
Melbourne - North East	5-14	F	31817
Melbourne - North East	5-14	M	33635
Melbourne - North East	15-19	F	12625
Melbourne - North East	15-19	M	12938
Melbourne - North East	20-24	F	7987
Melbourne - North East	20-24	M	7670
Melbourne - North East	25+	F	14054
Melbourne - North East	25+	M	9747
Melbourne - North West	0-4	F	4003
Melbourne - North West	0-4	M	4182
Melbourne - North West	5-14	F	26119
Melbourne - North West	5-14	M	27759
Melbourne - North West	15-19	F	10189
Melbourne - North West	15-19	M	10244
Melbourne - North West	20-24	F	5948
Melbourne - North West	20-24	M	5934
Melbourne - North West	25+	F	10866
Melbourne - North West	25+	M	7377
Melbourne - Outer East	0-4	F	4600
Melbourne - Outer East	0-4	M	4864
Melbourne - Outer East	5-14	F	29402
Melbourne - Outer East	5-14	M	31509
Melbourne - Outer East	15-19	F	12624
Melbourne - Outer East	15-19	M	13470
Melbourne - Outer East	20-24	F	6745
Melbourne - Outer East	20-24	M	6544
Melbourne - Outer East	25+	F	11494
Melbourne - Outer East	25+	M	7110
Melbourne - South East	0-4	F	7505
Melbourne - South East	0-4	M	8180
Melbourne - South East	5-14	F	52106
Melbourne - South East	5-14	M	55122
Melbourne - South East	15-19	F	21389
Melbourne - South East	15-19	M	21735
Melbourne - South East	20-24	F	14498
Melbourne - South East	20-24	M	14722
Melbourne - South East	25+	F	22939
Melbourne - South East	25+	M	16514
Melbourne - West	0-4	F	8397
Melbourne - West	0-4	M	8837
Melbourne - West	5-14	F	54642
Melbourne - West	5-14	M	57425
Melbourne - West	15-19	F	19292
Melbourne - West	15-19	M	19282
Melbourne - West	20-24	F	11682
Melbourne - West	20-24	M	11998
Melbourne - West	25+	F	23482
Melbourne - West	25+	M	16322
Mornington Peninsula	0-4	F	2537
Mornington Peninsula	0-4	M	2699
Mornington Peninsula	5-14	F	16775
Mornington Peninsula	5-14	M	17713
Mornington Peninsula	15-19	F	6580
Mornington Peninsula	15-19	M	6921
Mornington Peninsula	20-24	F	2982
Mornington Peninsula	20-24	M	2627
Mornington Peninsula	25+	F	6138
Mornington Peninsula	25+	M	3148
North West	0-4	F	1179
North West	0-4	M	1154
North West	5-14	F	8147
North West	5-14	M	8651
North West	15-19	F	2825
North West	15-19	M	2861
North West	20-24	F	936
North West	20-24	M	701
North West	25+	F	2637
North West	25+	M	1187
Shepparton	0-4	F	959
Shepparton	0-4	M	1050
Shepparton	5-14	F	7671
Shepparton	5-14	M	8133
Shepparton	15-19	F	2838
Shepparton	15-19	M	2941
Shepparton	20-24	F	1024
Shepparton	20-24	M	729
Shepparton	25+	F	2537
Shepparton	25+	M	1163
Warrnambool and South West	0-4	F	917
Warrnambool and South West	0-4	M	913
Warrnambool and South West	5-14	F	6839
Warrnambool and South West	5-14	M	7329
Warrnambool and South West	15-19	F	2674
Warrnambool and South West	15-19	M	2644
Warrnambool and South West	20-24	F	791
Warrnambool and South West	20-24	M	576
Warrnambool and South West	25+	F	2199
Warrnambool and South West	25+	M	1131
No usual address (Vic.)	0-4	F	23
No usual address (Vic.)	0-4	M	39
No usual address (Vic.)	5-14	F	203
No usual address (Vic.)	5-14	M	201
No usual address (Vic.)	15-19	F	85
No usual address (Vic.)	15-19	M	57
No usual address (Vic.)	20-24	F	75
No usual address (Vic.)	20-24	M	55
No usual address (Vic.)	25+	F	175
No usual address (Vic.)	25+	M	95
Brisbane - East	0-4	F	2009
Brisbane - East	0-4	M	2165
Brisbane - East	5-14	F	14532
Brisbane - East	5-14	M	15465
Brisbane - East	15-19	F	5822
Brisbane - East	15-19	M	5886
Brisbane - East	20-24	F	2282
Brisbane - East	20-24	M	1940
Brisbane - East	25+	F	4996
Brisbane - East	25+	M	2558
Brisbane - North	0-4	F	1965
Brisbane - North	0-4	M	2015
Brisbane - North	5-14	F	12393
Brisbane - North	5-14	M	13089
Brisbane - North	15-19	F	5006
Brisbane - North	15-19	M	4961
Brisbane - North	20-24	F	3144
Brisbane - North	20-24	M	2466
Brisbane - North	25+	F	6481
Brisbane - North	25+	M	4147
Brisbane - South	0-4	F	3113
Brisbane - South	0-4	M	3381
Brisbane - South	5-14	F	21566
Brisbane - South	5-14	M	22492
Brisbane - South	15-19	F	9028
Brisbane - South	15-19	M	8789
Brisbane - South	20-24	F	7232
Brisbane - South	20-24	M	6763
Brisbane - South	25+	F	12213
Brisbane - South	25+	M	9089
Brisbane - West	0-4	F	1550
Brisbane - West	0-4	M	1752
Brisbane - West	5-14	F	12538
Brisbane - West	5-14	M	13441
Brisbane - West	15-19	F	6259
Brisbane - West	15-19	M	6315
Brisbane - West	20-24	F	4023
Brisbane - West	20-24	M	3892
Brisbane - West	25+	F	5632
Brisbane - West	25+	M	3906
Brisbane Inner City	0-4	F	1912
Brisbane Inner City	0-4	M	1813
Brisbane Inner City	5-14	F	12538
Brisbane Inner City	5-14	M	12645
Brisbane Inner City	15-19	F	6954
Brisbane Inner City	15-19	M	6654
Brisbane Inner City	20-24	F	8804
Brisbane Inner City	20-24	M	7219
Brisbane Inner City	25+	F	12899
Brisbane Inner City	25+	M	9951
Cairns	0-4	F	1581
Cairns	0-4	M	1666
Cairns	5-14	F	14504
Cairns	5-14	M	15429
Cairns	15-19	F	5046
Cairns	15-19	M	4933
Cairns	20-24	F	1681
Cairns	20-24	M	1143
Cairns	25+	F	6260
Cairns	25+	M	3006
Darling Downs - Maranoa	0-4	F	762
Darling Downs - Maranoa	0-4	M	783
Darling Downs - Maranoa	5-14	F	7737
Darling Downs - Maranoa	5-14	M	8026
Darling Downs - Maranoa	15-19	F	2341
Darling Downs - Maranoa	15-19	M	2204
Darling Downs - Maranoa	20-24	F	634
Darling Downs - Maranoa	20-24	M	419
Darling Downs - Maranoa	25+	F	2066
Darling Downs - Maranoa	25+	M	845
Central Queensland	0-4	F	1713
Central Queensland	0-4	M	1750
Central Queensland	5-14	F	14823
Central Queensland	5-14	M	15499
Central Queensland	15-19	F	4621
Central Queensland	15-19	M	4602
Central Queensland	20-24	F	1412
Central Queensland	20-24	M	922
Central Queensland	25+	F	4488
Central Queensland	25+	M	1968
Gold Coast	0-4	F	5094
Gold Coast	0-4	M	5513
Gold Coast	5-14	F	35674
Gold Coast	5-14	M	37402
Gold Coast	15-19	F	14341
Gold Coast	15-19	M	13844
Gold Coast	20-24	F	8327
Gold Coast	20-24	M	6497
Gold Coast	25+	F	17883
Gold Coast	25+	M	10409
